* Measurement data measured by REW V5.31.3
* Source: A [plughw:4,0], Headset (Headset), 0, volume: 0.229
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 13/10/2024 12:46:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Performer 7 L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 42.472 -22.5145
0.732422 35.525 22.8327
1.098633 48.868 67.9645
1.464844 56.835 54.7972
1.831055 62.053 39.1156
2.197266 65.835 24.5085
2.563477 68.702 11.5879
2.929688 70.945 0.4670
3.295898 72.768 -8.9564
3.662109 74.315 -16.9598
4.028320 75.677 -23.9271
4.394531 76.898 -30.2194
4.760742 77.992 -36.0611
5.126953 78.962 -41.5187
5.493164 79.820 -46.5678
5.859375 80.587 -51.1833
6.225586 81.285 -55.3967
6.591797 81.932 -59.2924
6.958008 82.534 -62.9623
7.324219 83.091 -66.4597
7.690430 83.603 -69.7897
8.056641 84.073 -72.9353
8.422852 84.510 -75.8940
8.789062 84.920 -78.6945
9.155273 85.309 -81.3849
9.521484 85.675 -84.0034
9.887695 86.014 -86.5589
10.253906 86.326 -89.0324
10.620117 86.612 -91.3988
10.986328 86.879 -93.6484
11.352539 87.132 -95.7964
11.718750 87.374 -97.8734
12.084961 87.605 -99.9069
12.451172 87.822 -101.9072
12.817383 88.023 -103.8663
13.183594 88.210 -105.7681
13.549805 88.384 -107.6021
13.916016 88.548 -109.3694
14.282227 88.705 -111.0810
14.648438 88.855 -112.7488
15.014648 88.998 -114.3795
15.380859 89.134 -115.9728
15.747070 89.262 -117.5258
16.113281 89.383 -119.0374
16.479492 89.499 -120.5103
16.845703 89.610 -121.9484
17.211914 89.715 -123.3544
17.578125 89.816 -124.7295
17.944336 89.911 -126.0753
18.310547 90.002 -127.3952
18.676758 90.088 -128.6926
19.042969 90.168 -129.9667
19.409180 90.242 -131.2111
19.775391 90.310 -132.4166
20.141602 90.375 -133.5790
20.507812 90.439 -134.7048
20.874023 90.503 -135.8097
21.240234 90.566 -136.9098
21.606445 90.625 -138.0110
21.972656 90.679 -139.1052
22.338867 90.727 -140.1767
22.705078 90.771 -141.2138
23.071289 90.813 -142.2170
23.437500 90.855 -143.1976
23.803711 90.895 -144.1687
24.169922 90.933 -145.1347
24.536133 90.967 -146.0883
24.902344 90.996 -147.0158
25.268555 91.022 -147.9072
25.634766 91.048 -148.7625
26.000977 91.074 -149.5915
26.367188 91.102 -150.4073
26.733398 91.130 -151.2200
27.099609 91.156 -152.0330
27.465820 91.181 -152.8445
27.832031 91.203 -153.6502
28.198242 91.223 -154.4466
28.564453 91.239 -155.2314
28.930664 91.254 -156.0030
29.296875 91.266 -156.7604
29.663086 91.277 -157.5030
30.029297 91.287 -158.2306
30.395508 91.295 -158.9439
30.761719 91.303 -159.6433
31.127930 91.310 -160.3298
31.494141 91.317 -161.0049
31.860352 91.325 -161.6714
32.226562 91.332 -162.3329
32.592773 91.339 -162.9919
32.958984 91.344 -163.6480
33.325195 91.348 -164.2973
33.691406 91.350 -164.9340
34.057617 91.350 -165.5534
34.423828 91.351 -166.1550
34.790039 91.351 -166.7428
35.156250 91.353 -167.3229
35.522461 91.354 -167.9007
35.888672 91.355 -168.4786
36.254883 91.355 -169.0562
36.621094 91.352 -169.6304
36.987305 91.347 -170.1969
37.353516 91.340 -170.7508
37.719727 91.331 -171.2873
38.085938 91.322 -171.8043
38.452148 91.313 -172.3042
38.818359 91.306 -172.7940
39.184570 91.301 -173.2822
39.550781 91.296 -173.7750
39.916992 91.290 -174.2734
40.283203 91.284 -174.7743
40.649414 91.276 -175.2736
41.015625 91.268 -175.7684
41.381836 91.258 -176.2567
41.748047 91.248 -176.7365
42.114258 91.237 -177.2057
42.480469 91.226 -177.6651
42.846680 91.215 -178.1192
43.212891 91.205 -178.5738
43.579102 91.193 -179.0294
43.945312 91.179 -179.4775
44.311523 91.162 -179.9052
44.677734 91.145 179.6936
45.043945 91.131 179.3091
45.410156 91.120 178.9205
45.776367 91.109 178.5121
46.142578 91.095 178.0898
46.508789 91.076 177.6786
46.875000 91.056 177.3004
47.241211 91.039 176.9497
47.607422 91.029 176.5887
47.973633 91.021 176.1749
48.339844 91.006 175.7017
48.706055 90.978 175.2175
49.072266 90.937 174.8023
49.438477 90.893 174.5135
49.804688 90.863 174.3371
50.170898 90.855 174.1854
50.537109 90.866 173.9501
50.903320 90.881 173.5744
51.269531 90.886 173.0865
51.635742 90.873 172.5745
52.001953 90.846 172.1246
52.368164 90.817 171.7699
52.734375 90.796 171.4786
53.100586 90.784 171.1897
53.466797 90.777 170.8617
53.833008 90.767 170.4971
54.199219 90.751 170.1291
54.565430 90.731 169.7890
54.931641 90.712 169.4828
55.297852 90.694 169.1935
55.664062 90.679 168.9001
56.030273 90.663 168.5964
56.396484 90.645 168.2918
56.762695 90.626 167.9992
57.128906 90.606 167.7221
57.495117 90.587 167.4528
57.861328 90.570 167.1801
58.227539 90.553 166.8993
58.593750 90.535 166.6138
58.959961 90.516 166.3301
59.326172 90.496 166.0516
59.692383 90.477 165.7768
60.058594 90.458 165.5023
60.424805 90.439 165.2270
60.791016 90.421 164.9522
61.157227 90.402 164.6799
61.523438 90.383 164.4096
61.889648 90.365 164.1400
62.255859 90.346 163.8712
62.622070 90.327 163.6061
62.988281 90.307 163.3489
63.354492 90.288 163.1011
63.720703 90.269 162.8594
64.086914 90.252 162.6174
64.453125 90.235 162.3702
64.819336 90.217 162.1186
65.185547 90.197 161.8692
65.551758 90.176 161.6299
65.917969 90.155 161.4043
66.284180 90.135 161.1886
66.650391 90.116 160.9742
67.016602 90.099 160.7531
67.382812 90.081 160.5236
67.749023 90.062 160.2903
68.115234 90.042 160.0606
68.481445 90.022 159.8390
68.847656 90.002 159.6245
69.213867 89.983 159.4119
69.580078 89.965 159.1961
69.946289 89.946 158.9763
70.312500 89.927 158.7552
70.678711 89.908 158.5377
71.044922 89.888 158.3259
71.411133 89.869 158.1190
71.777344 89.850 157.9147
72.143555 89.831 157.7115
72.509766 89.811 157.5110
72.875977 89.792 157.3157
73.242188 89.773 157.1266
73.608398 89.755 156.9414
73.974609 89.737 156.7552
74.340820 89.720 156.5634
74.707031 89.703 156.3655
75.073242 89.684 156.1650
75.439453 89.663 155.9683
75.805664 89.642 155.7808
76.171875 89.620 155.6044
76.538086 89.599 155.4364
76.904297 89.580 155.2719
77.270508 89.561 155.1061
77.636719 89.544 154.9356
78.002930 89.526 154.7595
78.369141 89.508 154.5781
78.735352 89.490 154.3932
79.101562 89.471 154.2074
79.467773 89.451 154.0238
79.833984 89.430 153.8456
80.200195 89.410 153.6741
80.566406 89.390 153.5088
80.932617 89.370 153.3467
81.298828 89.352 153.1851
81.665039 89.333 153.0222
82.031250 89.315 152.8582
82.397461 89.297 152.6940
82.763672 89.278 152.5301
83.129883 89.260 152.3665
83.496094 89.241 152.2031
83.862305 89.222 152.0410
84.228516 89.203 151.8821
84.594727 89.183 151.7286
84.960938 89.164 151.5808
85.327148 89.145 151.4377
85.693359 89.127 151.2968
86.059570 89.109 151.1550
86.425781 89.093 151.0096
86.791992 89.076 150.8589
87.158203 89.059 150.7027
87.524414 89.040 150.5440
87.890625 89.021 150.3888
88.256836 89.000 150.2433
88.623047 88.980 150.1107
88.989258 88.961 149.9871
89.355469 88.944 149.8633
89.721680 88.929 149.7293
90.087891 88.913 149.5809
90.454102 88.896 149.4233
90.820312 88.877 149.2677
91.186523 88.856 149.1248
91.552734 88.835 148.9977
91.918945 88.816 148.8801
92.285156 88.799 148.7616
92.651367 88.783 148.6338
93.017578 88.767 148.4956
93.383789 88.749 148.3531
93.750000 88.731 148.2142
94.116211 88.711 148.0837
94.482422 88.693 147.9611
94.848633 88.675 147.8413
95.214844 88.658 147.7194
95.581055 88.641 147.5934
95.947266 88.623 147.4656
96.313477 88.605 147.3408
96.679688 88.586 147.2227
97.045898 88.568 147.1111
97.412109 88.551 147.0024
97.778320 88.535 146.8915
98.144531 88.519 146.7751
98.510742 88.503 146.6542
98.876953 88.486 146.5332
99.243164 88.468 146.4169
99.609375 88.450 146.3071
99.975586 88.433 146.2014
100.341797 88.417 146.0947
100.708008 88.402 145.9828
101.074219 88.386 145.8651
101.440430 88.369 145.7444
101.806641 88.352 145.6255
102.172852 88.334 145.5115
102.539062 88.316 145.4034
102.905273 88.299 145.2993
103.271484 88.282 145.1965
103.637695 88.266 145.0925
104.003906 88.250 144.9855
104.370117 88.234 144.8755
104.736328 88.218 144.7639
105.102539 88.201 144.6534
105.468750 88.183 144.5466
105.834961 88.165 144.4449
106.201172 88.148 144.3478
106.567383 88.131 144.2528
106.933594 88.115 144.1574
107.299805 88.098 144.0605
107.666016 88.082 143.9629
108.032227 88.066 143.8662
108.398438 88.050 143.7710
108.764648 88.034 143.6760
109.130859 88.018 143.5792
109.497070 88.002 143.4794
109.863281 87.986 143.3779
110.229492 87.969 143.2782
110.595703 87.951 143.1833
110.961914 87.934 143.0933
111.328125 87.918 143.0048
111.694336 87.903 142.9132
112.060547 87.887 142.8166
112.426758 87.871 142.7184
112.792969 87.853 142.6260
113.159180 87.836 142.5450
113.525391 87.820 142.4736
113.891602 87.806 142.4016
114.257812 87.795 142.3154
114.624023 87.783 142.2089
114.990234 87.768 142.0895
115.356445 87.750 141.9756
115.722656 87.730 141.8846
116.088867 87.710 141.8198
116.455078 87.695 141.7664
116.821289 87.684 141.7014
117.187500 87.673 141.6096
117.553711 87.660 141.4966
117.919922 87.642 141.3844
118.286133 87.622 141.2956
118.652344 87.602 141.2360
119.018555 87.587 141.1900
119.384766 87.576 141.1325
119.750977 87.565 141.0483
120.117188 87.553 140.9434
120.483398 87.536 140.8390
120.849609 87.518 140.7549
121.215820 87.500 140.6938
121.582031 87.486 140.6406
121.948242 87.475 140.5753
122.314453 87.464 140.4884
122.680664 87.450 140.3878
123.046875 87.434 140.2911
123.413086 87.416 140.2112
123.779297 87.399 140.1478
124.145508 87.385 140.0899
124.511719 87.372 140.0261
124.877930 87.358 139.9534
125.244141 87.344 139.8780
125.610352 87.330 139.8073
125.976562 87.316 139.7426
126.342773 87.303 139.6771
126.708984 87.291 139.6019
127.075195 87.278 139.5141
127.441406 87.263 139.4199
127.807617 87.246 139.3307
128.173828 87.228 139.2554
128.540039 87.210 139.1941
128.906250 87.194 139.1391
129.272461 87.180 139.0805
129.638672 87.166 139.0135
130.004883 87.152 138.9409
130.371094 87.136 138.8708
130.737305 87.121 138.8096
131.103516 87.106 138.7564
131.469727 87.095 138.7028
131.835938 87.085 138.6378
132.202148 87.075 138.5552
132.568359 87.063 138.4588
132.934570 87.049 138.3604
133.300781 87.032 138.2735
133.666992 87.015 138.2050
134.033203 86.999 138.1516
134.399414 86.985 138.1032
134.765625 86.973 138.0503
135.131836 86.960 137.9901
135.498047 86.947 137.9270
135.864258 86.933 137.8677
136.230469 86.919 137.8152
136.596680 86.906 137.7660
136.962891 86.893 137.7142
137.329102 86.881 137.6556
137.695312 86.869 137.5907
138.061523 86.855 137.5228
138.427734 86.841 137.4556
138.793945 86.826 137.3912
139.160156 86.812 137.3306
139.526367 86.797 137.2738
139.892578 86.784 137.2189
140.258789 86.771 137.1611
140.625000 86.760 137.0957
140.991211 86.747 137.0229
141.357422 86.733 136.9514
141.723633 86.719 136.8924
142.089844 86.706 136.8491
142.456055 86.696 136.8087
142.822266 86.689 136.7501
143.188477 86.681 136.6628
143.554688 86.667 136.5634
143.920898 86.648 136.4892
144.287109 86.628 136.4700
144.653320 86.613 136.4964
145.019531 86.609 136.5178
145.385742 86.611 136.4778
145.751953 86.608 136.3640
146.118164 86.592 136.2259
146.484375 86.564 136.1409
146.850586 86.536 136.1494
147.216797 86.520 136.2106
147.583008 86.518 136.2265
147.949219 86.518 136.1235
148.315430 86.500 135.9268
148.681641 86.458 135.7601
149.047852 86.400 135.7658
149.414062 86.351 135.9937
149.780273 86.338 136.3419
150.146484 86.365 136.6089
150.512695 86.414 136.6288
