* Measurement data measured by REW V5.31.3
* Source: A [plughw:4,0], Headset (Headset), 0, volume: 0.229
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 13/10/2024 12:45:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Performer 7 R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 34.604 173.6543
0.732422 40.038 134.5720
1.098633 47.168 97.4778
1.464844 53.516 72.7745
1.831055 58.557 54.6385
2.197266 62.546 39.8974
2.563477 65.744 27.3061
2.929688 68.350 16.3366
3.295898 70.511 6.7077
3.662109 72.341 -1.7986
4.028320 73.923 -9.3998
4.394531 75.313 -16.3081
4.760742 76.543 -22.6931
5.126953 77.634 -28.6520
5.493164 78.599 -34.2131
5.859375 79.457 -39.3698
6.225586 80.227 -44.1254
6.591797 80.930 -48.5194
6.958008 81.578 -52.6214
7.324219 82.178 -56.4992
7.690430 82.730 -60.1871
8.056641 83.235 -63.6804
8.422852 83.699 -66.9585
8.789062 84.132 -70.0174
9.155273 84.542 -72.8890
9.521484 84.934 -75.6310
9.887695 85.309 -78.2968
10.253906 85.660 -80.9088
10.620117 85.985 -83.4541
10.986328 86.283 -85.9024
11.352539 86.558 -88.2317
11.718750 86.818 -90.4435
12.084961 87.067 -92.5604
12.451172 87.306 -94.6121
12.817383 87.534 -96.6210
13.183594 87.751 -98.5964
13.549805 87.955 -100.5384
13.916016 88.147 -102.4434
14.282227 88.326 -104.3072
14.648438 88.493 -106.1258
15.014648 88.650 -107.8950
15.380859 88.797 -109.6118
15.747070 88.936 -111.2760
16.113281 89.068 -112.8902
16.479492 89.194 -114.4579
16.845703 89.315 -115.9818
17.211914 89.431 -117.4641
17.578125 89.543 -118.9088
17.944336 89.651 -120.3227
18.310547 89.756 -121.7136
18.676758 89.856 -123.0863
19.042969 89.950 -124.4393
19.409180 90.038 -125.7661
19.775391 90.120 -127.0594
20.141602 90.197 -128.3153
20.507812 90.270 -129.5352
20.874023 90.339 -130.7238
21.240234 90.406 -131.8858
21.606445 90.470 -133.0242
21.972656 90.531 -134.1402
22.338867 90.588 -135.2346
22.705078 90.644 -136.3091
23.071289 90.697 -137.3659
23.437500 90.748 -138.4078
23.803711 90.796 -139.4373
24.169922 90.842 -140.4561
24.536133 90.885 -141.4627
24.902344 90.924 -142.4522
25.268555 90.960 -143.4178
25.634766 90.993 -144.3555
26.000977 91.026 -145.2678
26.367188 91.060 -146.1636
26.733398 91.092 -147.0534
27.099609 91.123 -147.9410
27.465820 91.151 -148.8206
27.832031 91.175 -149.6803
28.198242 91.196 -150.5116
28.564453 91.218 -151.3165
28.930664 91.240 -152.1066
29.296875 91.262 -152.8952
29.663086 91.282 -153.6868
30.029297 91.298 -154.4745
30.395508 91.311 -155.2447
30.761719 91.321 -155.9882
31.127930 91.331 -156.7060
31.494141 91.342 -157.4080
31.860352 91.354 -158.1049
32.226562 91.365 -158.8007
32.592773 91.374 -159.4926
32.958984 91.383 -160.1769
33.325195 91.392 -160.8556
33.691406 91.401 -161.5365
34.057617 91.407 -162.2261
34.423828 91.410 -162.9197
34.790039 91.407 -163.5983
35.156250 91.400 -164.2377
35.522461 91.393 -164.8242
35.888672 91.390 -165.3680
36.254883 91.395 -165.9007
36.621094 91.405 -166.4579
36.987305 91.416 -167.0572
37.353516 91.423 -167.6879
37.719727 91.422 -168.3207
38.085938 91.418 -168.9290
38.452148 91.412 -169.5071
38.818359 91.407 -170.0687
39.184570 91.402 -170.6305
39.550781 91.395 -171.1926
39.916992 91.385 -171.7366
40.283203 91.373 -172.2422
40.649414 91.365 -172.7089
41.015625 91.363 -173.1628
41.381836 91.367 -173.6410
41.748047 91.372 -174.1644
42.114258 91.372 -174.7220
42.480469 91.364 -175.2799
42.846680 91.351 -175.8055
43.212891 91.337 -176.2872
43.579102 91.324 -176.7366
43.945312 91.315 -177.1732
44.311523 91.308 -177.6092
44.677734 91.300 -178.0460
45.043945 91.293 -178.4823
45.410156 91.286 -178.9208
45.776367 91.278 -179.3648
46.142578 91.267 -179.8103
46.508789 91.254 179.7545
46.875000 91.239 179.3376
47.241211 91.226 178.9313
47.607422 91.213 178.5155
47.973633 91.197 178.0794
48.339844 91.174 177.6430
48.706055 91.144 177.2543
49.072266 91.113 176.9539
49.438477 91.094 176.7319
49.804688 91.093 176.5150
50.170898 91.108 176.2057
50.537109 91.124 175.7512
50.903320 91.127 175.1844
51.269531 91.107 174.6055
51.635742 91.073 174.1154
52.001953 91.039 173.7486
52.368164 91.017 173.4534
52.734375 91.009 173.1380
53.100586 91.006 172.7449
53.466797 90.995 172.2926
53.833008 90.972 171.8532
54.199219 90.944 171.4889
54.565430 90.921 171.2005
54.931641 90.909 170.9283
55.297852 90.905 170.6058
55.664062 90.898 170.2170
56.030273 90.880 169.8104
56.396484 90.852 169.4585
56.762695 90.824 169.1975
57.128906 90.807 168.9951
57.495117 90.804 168.7734
57.861328 90.806 168.4690
58.227539 90.803 168.0809
58.593750 90.787 167.6682
58.959961 90.760 167.3030
59.326172 90.732 167.0164
59.692383 90.711 166.7766
60.058594 90.701 166.5181
60.424805 90.693 166.1960
60.791016 90.678 165.8214
61.157227 90.652 165.4530
61.523438 90.619 165.1506
61.889648 90.589 164.9291
62.255859 90.570 164.7464
62.622070 90.563 164.5344
62.988281 90.560 164.2500
63.354492 90.551 163.9044
63.720703 90.532 163.5514
64.086914 90.505 163.2463
64.453125 90.479 163.0064
64.819336 90.461 162.8020
65.185547 90.451 162.5815
65.551758 90.443 162.3109
65.917969 90.431 161.9965
66.284180 90.411 161.6769
66.650391 90.385 161.3932
67.016602 90.359 161.1615
67.382812 90.337 160.9651
67.749023 90.321 160.7699
68.115234 90.309 160.5487
68.481445 90.297 160.2960
68.847656 90.281 160.0259
69.213867 90.262 159.7589
69.580078 90.240 159.5078
69.946289 90.219 159.2743
70.312500 90.198 159.0519
70.678711 90.179 158.8332
71.044922 90.161 158.6136
71.411133 90.144 158.3908
71.777344 90.126 158.1639
72.143555 90.109 157.9328
72.509766 90.091 157.6994
72.875977 90.072 157.4683
73.242188 90.053 157.2437
73.608398 90.034 157.0266
73.974609 90.016 156.8127
74.340820 89.999 156.5955
74.707031 89.982 156.3711
75.073242 89.964 156.1418
75.439453 89.944 155.9156
75.805664 89.924 155.7010
76.171875 89.903 155.5009
76.538086 89.884 155.3102
76.904297 89.867 155.1195
77.270508 89.851 154.9211
77.636719 89.836 154.7141
78.002930 89.819 154.5043
78.369141 89.801 154.2983
78.735352 89.784 154.0974
79.101562 89.768 153.8943
79.467773 89.753 153.6790
79.833984 89.737 153.4465
80.200195 89.716 153.2055
80.566406 89.690 152.9780
80.932617 89.661 152.7894
81.298828 89.632 152.6537
81.665039 89.610 152.5611
82.031250 89.598 152.4776
82.397461 89.595 152.3588
82.763672 89.597 152.1716
83.129883 89.595 151.9114
83.496094 89.583 151.6056
83.862305 89.560 151.3012
84.228516 89.527 151.0436
84.594727 89.491 150.8575
84.960938 89.459 150.7380
85.327148 89.434 150.6568
85.693359 89.418 150.5771
86.059570 89.408 150.4706
86.425781 89.400 150.3255
86.791992 89.392 150.1458
87.158203 89.381 149.9437
87.524414 89.367 149.7316
87.890625 89.349 149.5184
88.256836 89.329 149.3099
88.623047 89.306 149.1110
88.989258 89.281 148.9269
89.355469 89.255 148.7632
89.721680 89.228 148.6239
90.087891 89.203 148.5092
90.454102 89.181 148.4148
90.820312 89.163 148.3323
91.186523 89.150 148.2495
91.552734 89.141 148.1518
91.918945 89.136 148.0256
92.285156 89.132 147.8615
92.651367 89.127 147.6581
93.017578 89.117 147.4235
93.383789 89.101 147.1732
93.750000 89.079 146.9257
94.116211 89.052 146.6975
94.482422 89.020 146.5011
94.848633 88.986 146.3444
95.214844 88.951 146.2315
95.581055 88.920 146.1614
95.947266 88.893 146.1255
96.313477 88.874 146.1069
96.679688 88.862 146.0838
97.045898 88.855 146.0380
97.412109 88.852 145.9614
97.778320 88.850 145.8559
98.144531 88.849 145.7261
98.510742 88.850 145.5700
98.876953 88.850 145.3766
99.243164 88.849 145.1340
99.609375 88.842 144.8438
99.975586 88.823 144.5283
100.341797 88.793 144.2269
100.708008 88.752 143.9799
101.074219 88.706 143.8121
101.440430 88.661 143.7242
101.806641 88.622 143.6991
102.172852 88.590 143.7148
102.539062 88.566 143.7538
102.905273 88.550 143.8029
103.271484 88.543 143.8472
103.637695 88.544 143.8657
104.003906 88.552 143.8348
104.370117 88.564 143.7380
104.736328 88.575 143.5729
105.102539 88.581 143.3507
105.468750 88.580 143.0894
105.834961 88.571 142.8076
106.201172 88.553 142.5209
106.567383 88.529 142.2441
106.933594 88.497 141.9922
107.299805 88.461 141.7794
107.666016 88.421 141.6149
108.032227 88.382 141.5002
108.398438 88.345 141.4289
108.764648 88.314 141.3899
109.130859 88.287 141.3706
109.497070 88.267 141.3585
109.863281 88.252 141.3411
110.229492 88.241 141.3073
110.595703 88.234 141.2498
110.961914 88.227 141.1680
111.328125 88.220 141.0674
111.694336 88.212 140.9564
112.060547 88.202 140.8413
112.426758 88.193 140.7237
112.792969 88.183 140.6016
113.159180 88.173 140.4727
113.525391 88.161 140.3380
113.891602 88.148 140.2017
114.257812 88.133 140.0686
114.624023 88.118 139.9413
114.990234 88.102 139.8185
115.356445 88.086 139.6972
115.722656 88.070 139.5749
116.088867 88.053 139.4518
116.455078 88.036 139.3305
116.821289 88.018 139.2137
117.187500 88.000 139.1022
117.553711 87.982 138.9949
117.919922 87.964 138.8906
118.286133 87.946 138.7895
118.652344 87.928 138.6931
119.018555 87.911 138.6018
119.384766 87.896 138.5133
119.750977 87.881 138.4227
120.117188 87.866 138.3263
120.483398 87.851 138.2253
120.849609 87.836 138.1253
121.215820 87.819 138.0320
121.582031 87.804 137.9459
121.948242 87.789 137.8612
122.314453 87.775 137.7703
122.680664 87.762 137.6703
123.046875 87.746 137.5661
123.413086 87.730 137.4658
123.779297 87.714 137.3741
124.145508 87.698 137.2879
124.511719 87.685 137.1987
124.877930 87.671 137.1002
125.244141 87.658 136.9926
125.610352 87.643 136.8823
125.976562 87.628 136.7763
126.342773 87.612 136.6769
126.708984 87.598 136.5823
127.075195 87.584 136.4889
127.441406 87.571 136.3947
127.807617 87.559 136.2988
128.173828 87.547 136.2006
128.540039 87.535 136.1007
128.906250 87.522 136.0030
129.272461 87.508 135.9142
129.638672 87.495 135.8393
130.004883 87.484 135.7748
130.371094 87.476 135.7083
130.737305 87.469 135.6260
131.103516 87.462 135.5248
131.469727 87.452 135.4174
131.835938 87.439 135.3236
132.202148 87.427 135.2543
132.568359 87.418 135.2010
132.934570 87.412 135.1424
133.300781 87.408 135.0622
133.666992 87.402 134.9645
134.033203 87.393 134.8699
134.399414 87.383 134.7976
134.765625 87.374 134.7477
135.131836 87.368 134.7020
135.498047 87.364 134.6418
135.864258 87.358 134.5673
136.230469 87.348 134.4982
136.596680 87.336 134.4561
136.962891 87.324 134.4440
137.329102 87.316 134.4423
137.695312 87.310 134.4266
138.061523 87.301 134.3899
138.427734 87.288 134.3480
138.793945 87.271 134.3230
139.160156 87.252 134.3213
139.526367 87.235 134.3268
139.892578 87.219 134.3166
140.258789 87.201 134.2830
140.625000 87.179 134.2388
140.991211 87.154 134.2008
141.357422 87.129 134.1691
141.723633 87.105 134.1244
142.089844 87.080 134.0499
142.456055 87.051 133.9546
142.822266 87.017 133.8720
143.188477 86.983 133.8302
143.554688 86.956 133.8188
143.920898 86.940 133.7889
144.287109 86.930 133.6926
144.653320 86.916 133.5283
145.019531 86.895 133.3480
145.385742 86.868 133.2141
145.751953 86.846 133.1403
146.118164 86.836 133.0746
146.484375 86.835 132.9460
146.850586 86.829 132.7381
147.216797 86.810 132.5200
147.583008 86.779 132.3962
147.949219 86.756 132.4100
148.315430 86.758 132.4817
148.681641 86.785 132.4473
149.047852 86.819 132.1851
149.414062 86.827 131.7213
149.780273 86.795 131.2275
150.146484 86.727 130.9144
150.512695 86.655 130.8926
