* Measurement data measured by REW V5.31.3
* Source: A [plughw:4,0], no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06/07/2026 6:42:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Performer8s L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 34.350 132.4502
0.732422 38.852 82.3819
1.098633 45.080 53.0147
1.464844 50.332 35.9149
1.831055 54.506 23.7743
2.197266 57.867 14.2039
2.563477 60.652 6.3111
2.929688 63.038 -0.4546
3.295898 65.138 -6.5825
3.662109 67.004 -12.4619
4.028320 68.650 -18.2787
4.394531 70.077 -23.9960
4.760742 71.298 -29.4310
5.126953 72.348 -34.3792
5.493164 73.276 -38.7303
5.859375 74.132 -42.5363
6.225586 74.953 -45.9923
6.591797 75.747 -49.3327
6.958008 76.503 -52.7117
7.324219 77.201 -56.1496
7.690430 77.830 -59.5632
8.056641 78.393 -62.8382
8.422852 78.902 -65.8944
8.789062 79.375 -68.7176
9.155273 79.826 -71.3523
9.521484 80.263 -73.8706
9.887695 80.684 -76.3387
10.253906 81.087 -78.7973
10.620117 81.464 -81.2565
10.986328 81.812 -83.7000
11.352539 82.129 -86.0926
11.718750 82.416 -88.3923
12.084961 82.681 -90.5673
12.451172 82.932 -92.6132
12.817383 83.177 -94.5614
13.183594 83.418 -96.4678
13.549805 83.655 -98.3856
13.916016 83.877 -100.3356
14.282227 84.080 -102.2944
14.648438 84.258 -104.2073
15.014648 84.418 -106.0193
15.380859 84.568 -107.7059
15.747070 84.717 -109.2866
16.113281 84.869 -110.8116
16.479492 85.022 -112.3314
16.845703 85.172 -113.8699
17.211914 85.312 -115.4164
17.578125 85.439 -116.9392
17.944336 85.557 -118.4084
18.310547 85.668 -119.8130
18.676758 85.777 -121.1637
19.042969 85.885 -122.4831
19.409180 85.991 -123.7924
19.775391 86.092 -125.1017
20.141602 86.186 -126.4069
20.507812 86.271 -127.6921
20.874023 86.347 -128.9356
21.240234 86.416 -130.1192
21.606445 86.483 -131.2391
21.972656 86.551 -132.3119
22.338867 86.624 -133.3703
22.705078 86.697 -134.4465
23.071289 86.767 -135.5526
23.437500 86.829 -136.6736
23.803711 86.882 -137.7793
24.169922 86.929 -138.8472
24.536133 86.973 -139.8793
24.902344 87.016 -140.8976
25.268555 87.057 -141.9207
25.634766 87.089 -142.9410
26.000977 87.113 -143.9241
26.367188 87.131 -144.8334
26.733398 87.151 -145.6600
27.099609 87.178 -146.4324
27.465820 87.213 -147.1957
27.832031 87.254 -147.9773
28.198242 87.295 -148.7732
28.564453 87.338 -149.5675
28.930664 87.386 -150.3681
29.296875 87.441 -151.2202
29.663086 87.495 -152.1769
30.029297 87.535 -153.2449
30.395508 87.548 -154.3526
30.761719 87.531 -155.3718
31.127930 87.499 -156.1879
31.494141 87.473 -156.7759
31.860352 87.473 -157.2280
32.226562 87.504 -157.6999
32.592773 87.550 -158.3103
32.958984 87.593 -159.0723
33.325195 87.616 -159.9044
33.691406 87.622 -160.7007
34.057617 87.620 -161.4026
34.423828 87.621 -162.0241
34.790039 87.629 -162.6197
35.156250 87.642 -163.2304
35.522461 87.654 -163.8554
35.888672 87.663 -164.4692
36.254883 87.674 -165.0607
36.621094 87.689 -165.6534
36.987305 87.708 -166.2877
37.353516 87.723 -166.9821
37.719727 87.728 -167.7106
38.085938 87.719 -168.4160
38.452148 87.702 -169.0490
38.818359 87.687 -169.6008
39.184570 87.678 -170.1051
39.550781 87.678 -170.6098
39.916992 87.681 -171.1431
40.283203 87.683 -171.7015
40.649414 87.681 -172.2635
41.015625 87.677 -172.8120
41.381836 87.674 -173.3461
41.748047 87.671 -173.8746
42.114258 87.669 -174.4036
42.480469 87.666 -174.9304
42.846680 87.662 -175.4485
43.212891 87.658 -175.9559
43.579102 87.654 -176.4561
43.945312 87.650 -176.9526
44.311523 87.646 -177.4429
44.677734 87.641 -177.9207
45.043945 87.637 -178.3845
45.410156 87.635 -178.8438
45.776367 87.634 -179.3143
46.142578 87.633 -179.8053
46.508789 87.627 179.6903
46.875000 87.615 179.1944
47.241211 87.599 178.7294
47.607422 87.582 178.3039
47.973633 87.567 177.9086
48.339844 87.555 177.5251
48.706055 87.545 177.1399
49.072266 87.535 176.7515
49.438477 87.526 176.3661
49.804688 87.518 175.9858
50.170898 87.512 175.6022
50.537109 87.509 175.2002
50.903320 87.505 174.7695
51.269531 87.499 174.3152
51.635742 87.487 173.8573
52.001953 87.472 173.4193
52.368164 87.455 173.0140
52.734375 87.442 172.6349
53.100586 87.433 172.2613
53.466797 87.426 171.8725
53.833008 87.420 171.4625
54.199219 87.410 171.0443
54.565430 87.396 170.6406
54.931641 87.381 170.2684
55.297852 87.367 169.9277
55.664062 87.357 169.6032
56.030273 87.350 169.2770
56.396484 87.344 168.9425
56.762695 87.337 168.6064
57.128906 87.331 168.2783
57.495117 87.326 167.9556
57.861328 87.324 167.6191
58.227539 87.323 167.2448
58.593750 87.317 166.8248
58.959961 87.302 166.3807
59.326172 87.276 165.9566
59.692383 87.243 165.5955
60.058594 87.210 165.3118
60.424805 87.185 165.0818
60.791016 87.169 164.8574
61.157227 87.160 164.5965
61.523438 87.153 164.2861
61.889648 87.141 163.9445
62.255859 87.125 163.6027
62.622070 87.108 163.2810
62.988281 87.091 162.9777
63.354492 87.078 162.6754
63.720703 87.066 162.3582
64.086914 87.053 162.0262
64.453125 87.037 161.6946
64.819336 87.019 161.3820
65.185547 87.001 161.0963
65.551758 86.986 160.8297
65.917969 86.975 160.5646
66.284180 86.966 160.2859
66.650391 86.957 159.9900
67.016602 86.946 159.6852
67.382812 86.932 159.3840
67.749023 86.918 159.0946
68.115234 86.903 158.8171
68.481445 86.888 158.5460
68.847656 86.874 158.2751
69.213867 86.860 158.0027
69.580078 86.845 157.7311
69.946289 86.830 157.4638
70.312500 86.814 157.2019
70.678711 86.799 156.9436
71.044922 86.785 156.6852
71.411133 86.771 156.4244
71.777344 86.756 156.1617
72.143555 86.742 155.8996
72.509766 86.726 155.6411
72.875977 86.712 155.3874
73.242188 86.697 155.1371
73.608398 86.683 154.8873
73.974609 86.670 154.6350
74.340820 86.657 154.3798
74.707031 86.642 154.1239
75.073242 86.627 153.8721
75.439453 86.610 153.6290
75.805664 86.594 153.3963
76.171875 86.579 153.1707
76.538086 86.565 152.9455
76.904297 86.552 152.7142
77.270508 86.538 152.4755
77.636719 86.523 152.2346
78.002930 86.506 152.0006
78.369141 86.488 151.7803
78.735352 86.471 151.5724
79.101562 86.457 151.3679
79.467773 86.445 151.1547
79.833984 86.433 150.9266
80.200195 86.419 150.6868
80.566406 86.404 150.4462
80.932617 86.387 150.2152
81.298828 86.370 149.9971
81.665039 86.355 149.7867
82.031250 86.341 149.5754
82.397461 86.327 149.3582
82.763672 86.313 149.1372
83.129883 86.299 148.9190
83.496094 86.284 148.7084
83.862305 86.269 148.5042
84.228516 86.256 148.2999
84.594727 86.243 148.0898
84.960938 86.230 147.8733
85.327148 86.214 147.6567
85.693359 86.198 147.4491
86.059570 86.180 147.2560
86.425781 86.164 147.0756
86.791992 86.150 146.8988
87.158203 86.137 146.7148
87.524414 86.125 146.5176
87.890625 86.111 146.3098
88.256836 86.095 146.1020
88.623047 86.078 145.9059
88.989258 86.061 145.7262
89.355469 86.046 145.5555
89.721680 86.035 145.3776
90.087891 86.024 145.1781
90.454102 86.012 144.9564
90.820312 85.996 144.7290
91.186523 85.976 144.5206
91.552734 85.956 144.3471
91.918945 85.939 144.2025
92.285156 85.929 144.0602
92.651367 85.923 143.8904
93.017578 85.917 143.6803
93.383789 85.907 143.4446
93.750000 85.890 143.2151
94.116211 85.870 143.0199
94.482422 85.851 142.8647
94.848633 85.836 142.7309
95.214844 85.827 142.5904
95.581055 85.820 142.4245
95.947266 85.812 142.2342
96.313477 85.800 142.0353
96.679688 85.785 141.8446
97.045898 85.770 141.6698
97.412109 85.755 141.5078
97.778320 85.741 141.3508
98.144531 85.728 141.1935
98.510742 85.715 141.0341
98.876953 85.702 140.8720
99.243164 85.690 140.7059
99.609375 85.677 140.5342
99.975586 85.664 140.3580
100.341797 85.649 140.1819
100.708008 85.633 140.0114
101.074219 85.618 139.8488
101.440430 85.603 139.6914
101.806641 85.589 139.5336
102.172852 85.575 139.3714
102.539062 85.561 139.2054
102.905273 85.547 139.0394
103.271484 85.533 138.8775
103.637695 85.518 138.7202
104.003906 85.505 138.5647
104.370117 85.493 138.4072
104.736328 85.480 138.2449
105.102539 85.468 138.0781
105.468750 85.455 137.9091
105.834961 85.441 137.7419
106.201172 85.426 137.5803
106.567383 85.411 137.4270
106.933594 85.397 137.2824
107.299805 85.384 137.1431
107.666016 85.372 137.0033
108.032227 85.361 136.8581
108.398438 85.350 136.7062
108.764648 85.339 136.5511
109.130859 85.326 136.3979
109.497070 85.314 136.2490
109.863281 85.302 136.1021
110.229492 85.291 135.9518
110.595703 85.279 135.7957
110.961914 85.266 135.6374
111.328125 85.252 135.4858
111.694336 85.237 135.3483
112.060547 85.224 135.2239
112.426758 85.213 135.1024
112.792969 85.204 134.9702
113.159180 85.196 134.8199
113.525391 85.186 134.6566
113.891602 85.172 134.4941
114.257812 85.157 134.3459
114.624023 85.143 134.2155
114.990234 85.130 134.0948
115.356445 85.120 133.9706
115.722656 85.110 133.8349
116.088867 85.099 133.6909
116.455078 85.086 133.5493
116.821289 85.073 133.4190
117.187500 85.061 133.2987
117.553711 85.052 133.1773
117.919922 85.043 133.0422
118.286133 85.035 132.8893
118.652344 85.023 132.7274
119.018555 85.008 132.5727
119.384766 84.992 132.4372
119.750977 84.978 132.3208
120.117188 84.966 132.2112
120.483398 84.956 132.0928
120.849609 84.947 131.9583
121.215820 84.936 131.8124
121.582031 84.923 131.6682
121.948242 84.909 131.5358
122.314453 84.896 131.4152
122.680664 84.885 131.2964
123.046875 84.875 131.1688
123.413086 84.864 131.0307
123.779297 84.850 130.8918
124.145508 84.836 130.7658
124.511719 84.822 130.6585
124.877930 84.811 130.5609
125.244141 84.804 130.4539
125.610352 84.797 130.3221
125.976562 84.789 130.1664
126.342773 84.776 130.0052
126.708984 84.760 129.8623
127.075195 84.744 129.7500
127.441406 84.730 129.6602
127.807617 84.722 129.5704
128.173828 84.716 129.4600
128.540039 84.709 129.3251
128.906250 84.700 129.1799
129.272461 84.688 129.0439
129.638672 84.676 128.9256
130.004883 84.667 128.8157
130.371094 84.661 128.6944
130.737305 84.655 128.5477
131.103516 84.646 128.3800
131.469727 84.631 128.2129
131.835938 84.612 128.0718
132.202148 84.593 127.9700
132.568359 84.577 127.9008
132.934570 84.566 127.8425
133.300781 84.560 127.7716
133.666992 84.555 127.6756
134.033203 84.550 127.5565
134.399414 84.542 127.4268
134.765625 84.531 127.3000
135.131836 84.520 127.1837
135.498047 84.508 127.0777
135.864258 84.498 126.9767
136.230469 84.488 126.8751
136.596680 84.478 126.7704
136.962891 84.469 126.6631
137.329102 84.460 126.5549
137.695312 84.450 126.4457
138.061523 84.441 126.3329
138.427734 84.432 126.2139
138.793945 84.422 126.0891
139.160156 84.411 125.9640
139.526367 84.398 125.8462
139.892578 84.385 125.7409
140.258789 84.372 125.6467
140.625000 84.362 125.5563
140.991211 84.353 125.4617
141.357422 84.344 125.3599
141.723633 84.335 125.2546
142.089844 84.326 125.1520
142.456055 84.316 125.0544
142.822266 84.309 124.9568
143.188477 84.302 124.8507
143.554688 84.296 124.7309
143.920898 84.287 124.6006
144.287109 84.276 124.4706
144.653320 84.264 124.3513
145.019531 84.252 124.2463
145.385742 84.241 124.1497
145.751953 84.231 124.0510
146.118164 84.223 123.9430
146.484375 84.213 123.8265
146.850586 84.202 123.7093
147.216797 84.190 123.6003
147.583008 84.178 123.5038
147.949219 84.166 123.4177
148.315430 84.157 123.3356
148.681641 84.149 123.2515
149.047852 84.142 123.1621
149.414062 84.135 123.0665
149.780273 84.128 122.9645
150.146484 84.121 122.8565
150.512695 84.113 122.7445
