* Measurement data measured by REW V5.31.3
* Source: A [plughw:4,0], no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06/07/2026 6:41:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Performer8s R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 36.787 131.6585
0.732422 40.990 81.1457
1.098633 46.996 50.8525
1.464844 52.159 33.0730
1.831055 56.316 20.2756
2.197266 59.681 9.8617
2.563477 62.448 0.9302
2.929688 64.765 -6.9011
3.295898 66.742 -13.8658
3.662109 68.457 -20.1526
4.028320 69.963 -25.9113
4.394531 71.296 -31.2406
4.760742 72.481 -36.1902
5.126953 73.542 -40.7841
5.493164 74.499 -45.0481
5.859375 75.373 -49.0240
6.225586 76.175 -52.7646
6.591797 76.914 -56.3175
6.958008 77.595 -59.7118
7.324219 78.223 -62.9603
7.690430 78.803 -66.0701
8.056641 79.340 -69.0527
8.422852 79.838 -71.9247
8.789062 80.300 -74.6999
9.155273 80.727 -77.3813
9.521484 81.122 -79.9628
9.887695 81.489 -82.4383
10.253906 81.833 -84.8122
10.620117 82.158 -87.1020
10.986328 82.467 -89.3307
11.352539 82.759 -91.5151
11.718750 83.033 -93.6579
12.084961 83.289 -95.7495
12.451172 83.529 -97.7769
12.817383 83.755 -99.7323
13.183594 83.970 -101.6178
13.549805 84.178 -103.4440
13.916016 84.378 -105.2264
14.282227 84.572 -106.9803
14.648438 84.756 -108.7158
15.014648 84.929 -110.4325
15.380859 85.088 -112.1157
15.747070 85.233 -113.7392
16.113281 85.367 -115.2766
16.479492 85.494 -116.7172
16.845703 85.621 -118.0780
17.211914 85.750 -119.4002
17.578125 85.880 -120.7289
17.944336 86.006 -122.0878
18.310547 86.119 -123.4659
18.676758 86.219 -124.8263
19.042969 86.305 -126.1309
19.409180 86.386 -127.3646
19.775391 86.464 -128.5421
20.141602 86.543 -129.6924
20.507812 86.620 -130.8355
20.874023 86.692 -131.9690
21.240234 86.760 -133.0768
21.606445 86.826 -134.1499
21.972656 86.893 -135.2006
22.338867 86.963 -136.2557
22.705078 87.030 -137.3348
23.071289 87.091 -138.4309
23.437500 87.143 -139.5125
23.803711 87.188 -140.5456
24.169922 87.232 -141.5186
24.536133 87.278 -142.4510
24.902344 87.328 -143.3778
25.268555 87.378 -144.3241
25.634766 87.423 -145.2883
26.000977 87.460 -146.2471
26.367188 87.489 -147.1729
26.733398 87.513 -148.0489
27.099609 87.535 -148.8730
27.465820 87.558 -149.6527
27.832031 87.584 -150.4010
28.198242 87.614 -151.1362
28.564453 87.649 -151.8821
28.930664 87.684 -152.6596
29.296875 87.717 -153.4728
29.663086 87.742 -154.3025
30.029297 87.761 -155.1165
30.395508 87.775 -155.8919
30.761719 87.791 -156.6317
31.127930 87.808 -157.3585
31.494141 87.826 -158.0892
31.860352 87.839 -158.8121
32.226562 87.850 -159.4934
32.592773 87.862 -160.1099
32.958984 87.885 -160.6840
33.325195 87.921 -161.2837
33.691406 87.964 -161.9804
34.057617 87.999 -162.7931
34.423828 88.013 -163.6645
34.790039 88.004 -164.4892
35.156250 87.980 -165.1763
35.522461 87.957 -165.7050
35.888672 87.948 -166.1360
36.254883 87.957 -166.5688
36.621094 87.973 -167.0757
36.987305 87.986 -167.6619
37.353516 87.988 -168.2761
37.719727 87.979 -168.8550
38.085938 87.967 -169.3671
38.452148 87.961 -169.8296
38.818359 87.964 -170.2905
39.184570 87.972 -170.7933
39.550781 87.980 -171.3513
39.916992 87.982 -171.9439
40.283203 87.977 -172.5357
40.649414 87.968 -173.0999
41.015625 87.960 -173.6323
41.381836 87.953 -174.1470
41.748047 87.948 -174.6593
42.114258 87.943 -175.1704
42.480469 87.937 -175.6669
42.846680 87.931 -176.1351
43.212891 87.928 -176.5781
43.579102 87.931 -177.0180
43.945312 87.935 -177.4793
44.311523 87.938 -177.9664
44.677734 87.935 -178.4561
45.043945 87.928 -178.9156
45.410156 87.921 -179.3335
45.776367 87.920 -179.7348
46.142578 87.923 179.8347
46.508789 87.925 179.3475
46.875000 87.916 178.8217
47.241211 87.896 178.3133
47.607422 87.867 177.8764
47.973633 87.840 177.5219
48.339844 87.823 177.2100
48.706055 87.815 176.8813
49.072266 87.810 176.5042
49.438477 87.801 176.0937
49.804688 87.788 175.6917
50.170898 87.775 175.3260
50.537109 87.767 174.9859
50.903320 87.767 174.6324
51.269531 87.770 174.2328
51.635742 87.771 173.7872
52.001953 87.766 173.3259
52.368164 87.755 172.8841
52.734375 87.742 172.4781
53.100586 87.730 172.1021
53.466797 87.721 171.7424
53.833008 87.713 171.3912
54.199219 87.706 171.0477
54.565430 87.702 170.7079
54.931641 87.699 170.3586
55.297852 87.696 169.9864
55.664062 87.688 169.5924
56.030273 87.674 169.1991
56.396484 87.654 168.8382
56.762695 87.632 168.5272
57.128906 87.614 168.2538
57.495117 87.602 167.9822
57.861328 87.594 167.6790
58.227539 87.583 167.3377
58.593750 87.566 166.9834
58.959961 87.542 166.6553
59.326172 87.517 166.3785
59.692383 87.498 166.1465
60.058594 87.487 165.9241
60.424805 87.484 165.6702
60.791016 87.484 165.3615
61.157227 87.480 165.0040
61.523438 87.471 164.6255
61.889648 87.456 164.2574
62.255859 87.438 163.9184
62.622070 87.420 163.6093
62.988281 87.404 163.3199
63.354492 87.390 163.0393
63.720703 87.378 162.7624
64.086914 87.367 162.4875
64.453125 87.358 162.2116
64.819336 87.349 161.9291
65.185547 87.339 161.6375
65.551758 87.327 161.3428
65.917969 87.313 161.0591
66.284180 87.297 160.7975
66.650391 87.283 160.5557
67.016602 87.271 160.3170
67.382812 87.262 160.0632
67.749023 87.251 159.7912
68.115234 87.236 159.5181
68.481445 87.219 159.2669
68.847656 87.203 159.0447
69.213867 87.193 158.8309
69.580078 87.187 158.5889
69.946289 87.182 158.2953
70.312500 87.171 157.9608
70.678711 87.150 157.6274
71.044922 87.122 157.3408
71.411133 87.094 157.1197
71.777344 87.073 156.9440
72.143555 87.061 156.7714
72.509766 87.054 156.5671
72.875977 87.047 156.3250
73.242188 87.037 156.0641
73.608398 87.024 155.8090
73.974609 87.010 155.5703
74.340820 86.999 155.3400
74.707031 86.989 155.1017
75.073242 86.980 154.8452
75.439453 86.968 154.5734
75.805664 86.952 154.3003
76.171875 86.933 154.0425
76.538086 86.911 153.8111
76.904297 86.891 153.6075
77.270508 86.873 153.4232
77.636719 86.859 153.2427
78.002930 86.848 153.0507
78.369141 86.837 152.8400
78.735352 86.824 152.6154
79.101562 86.809 152.3909
79.467773 86.793 152.1793
79.833984 86.778 151.9821
80.200195 86.765 151.7875
80.566406 86.754 151.5800
80.932617 86.743 151.3516
81.298828 86.730 151.1100
81.665039 86.713 150.8725
82.031250 86.694 150.6540
82.397461 86.676 150.4569
82.763672 86.661 150.2710
83.129883 86.648 150.0820
83.496094 86.636 149.8818
83.862305 86.624 149.6717
84.228516 86.611 149.4598
84.594727 86.596 149.2537
84.960938 86.581 149.0565
85.327148 86.567 148.8665
85.693359 86.554 148.6788
86.059570 86.542 148.4887
86.425781 86.530 148.2933
86.791992 86.517 148.0934
87.158203 86.503 147.8941
87.524414 86.488 147.7023
87.890625 86.473 147.5215
88.256836 86.459 147.3484
88.623047 86.446 147.1743
88.989258 86.434 146.9916
89.355469 86.421 146.8019
89.721680 86.406 146.6160
90.087891 86.390 146.4454
90.454102 86.375 146.2913
90.820312 86.365 146.1396
91.186523 86.357 145.9695
91.552734 86.349 145.7690
91.918945 86.337 145.5460
92.285156 86.320 145.3256
92.651367 86.299 145.1331
93.017578 86.279 144.9770
93.383789 86.264 144.8420
93.750000 86.253 144.7007
94.116211 86.245 144.5317
94.482422 86.235 144.3341
94.848633 86.221 144.1258
95.214844 86.204 143.9301
95.581055 86.185 143.7604
95.947266 86.167 143.6131
96.313477 86.154 143.4731
96.679688 86.142 143.3247
97.045898 86.132 143.1611
97.412109 86.121 142.9853
97.778320 86.108 142.8056
98.144531 86.094 142.6288
98.510742 86.079 142.4583
98.876953 86.063 142.2952
99.243164 86.048 142.1408
99.609375 86.032 141.9970
99.975586 86.018 141.8630
100.341797 86.006 141.7331
100.708008 85.996 141.5977
101.074219 85.986 141.4489
101.440430 85.976 141.2864
101.806641 85.964 141.1193
102.172852 85.949 140.9598
102.539062 85.934 140.8148
102.905273 85.921 140.6794
103.271484 85.909 140.5410
103.637695 85.898 140.3890
104.003906 85.885 140.2261
104.370117 85.870 140.0669
104.736328 85.852 139.9278
105.102539 85.837 139.8120
105.468750 85.826 139.7038
105.834961 85.819 139.5771
106.201172 85.813 139.4144
106.567383 85.804 139.2206
106.933594 85.789 139.0215
107.299805 85.769 138.8475
107.666016 85.748 138.7134
108.032227 85.732 138.6089
108.398438 85.720 138.5076
108.764648 85.713 138.3849
109.130859 85.705 138.2349
109.497070 85.694 138.0712
109.863281 85.680 137.9147
110.229492 85.665 137.7780
110.595703 85.652 137.6579
110.961914 85.641 137.5418
111.328125 85.631 137.4190
111.694336 85.621 137.2888
112.060547 85.611 137.1583
112.426758 85.601 137.0327
112.792969 85.592 136.9075
113.159180 85.584 136.7715
113.525391 85.575 136.6177
113.891602 85.563 136.4530
114.257812 85.547 136.2974
114.624023 85.529 136.1709
114.990234 85.513 136.0762
115.356445 85.502 135.9936
115.722656 85.497 135.8919
116.088867 85.493 135.7511
116.455078 85.485 135.5776
116.821289 85.471 135.4006
117.187500 85.454 135.2501
117.553711 85.437 135.1347
117.919922 85.424 135.0359
118.286133 85.416 134.9236
118.652344 85.409 134.7815
119.018555 85.398 134.6203
119.384766 85.383 134.4683
119.750977 85.366 134.3478
120.117188 85.352 134.2572
120.483398 85.343 134.1732
120.849609 85.338 134.0707
121.215820 85.333 133.9425
121.582031 85.325 133.8015
121.948242 85.316 133.6652
122.314453 85.306 133.5392
122.680664 85.297 133.4136
123.046875 85.287 133.2778
123.413086 85.275 133.1350
123.779297 85.260 133.0046
124.145508 85.243 132.9053
124.511719 85.230 132.8356
124.877930 85.222 132.7706
125.244141 85.218 132.6795
125.610352 85.213 132.5501
125.976562 85.205 132.3992
126.342773 85.191 132.2581
126.708984 85.175 132.1466
127.075195 85.163 132.0569
127.441406 85.155 131.9612
127.807617 85.148 131.8371
128.173828 85.138 131.6877
128.540039 85.124 131.5389
128.906250 85.107 131.4176
129.272461 85.092 131.3281
129.638672 85.082 131.2487
130.004883 85.076 131.1497
130.371094 85.070 131.0175
130.737305 85.061 130.8646
131.103516 85.048 130.7175
131.469727 85.032 130.5958
131.835938 85.018 130.4987
132.202148 85.007 130.4094
132.568359 84.999 130.3116
132.934570 84.990 130.2026
133.300781 84.980 130.0912
133.666992 84.970 129.9869
134.033203 84.961 129.8886
134.399414 84.954 129.7863
134.765625 84.947 129.6708
135.131836 84.939 129.5428
135.498047 84.928 129.4134
135.864258 84.916 129.2941
136.230469 84.903 129.1881
136.596680 84.893 129.0880
136.962891 84.883 128.9831
137.329102 84.874 128.8688
137.695312 84.863 128.7494
138.061523 84.852 128.6335
138.427734 84.840 128.5258
138.793945 84.829 128.4234
139.160156 84.820 128.3192
139.526367 84.810 128.2087
139.892578 84.800 128.0941
140.258789 84.790 127.9827
140.625000 84.779 127.8795
140.991211 84.769 127.7830
141.357422 84.760 127.6850
141.723633 84.752 127.5775
142.089844 84.743 127.4595
142.456055 84.732 127.3399
142.822266 84.718 127.2314
143.188477 84.705 127.1429
143.554688 84.692 127.0714
143.920898 84.683 127.0045
144.287109 84.676 126.9274
144.653320 84.670 126.8331
145.019531 84.663 126.7259
145.385742 84.654 126.6163
145.751953 84.645 126.5119
146.118164 84.637 126.4106
146.484375 84.629 126.3029
146.850586 84.623 126.1799
147.216797 84.615 126.0421
147.583008 84.604 125.8997
147.949219 84.590 125.7665
148.315430 84.576 125.6512
148.681641 84.562 125.5529
149.047852 84.551 125.4639
149.414062 84.541 125.3759
149.780273 84.532 125.2849
150.146484 84.524 125.1917
150.512695 84.516 125.0985
