* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.800. Timing signal peak level -18.6 dBFS, measurement signal peak level -17.6 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 08/10/2023 2:41:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0215 ms (-7.4 mm, -0.29 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: Phoenixcall L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 59.342 -131.1521
1.015000 59.239 -134.4797
1.030000 59.152 -137.7885
1.044000 59.086 -140.8525
1.060000 59.030 -144.3173
1.075000 58.999 -147.5215
1.090000 58.989 -150.6748
1.106000 59.004 -153.9860
1.120000 59.035 -156.9043
1.138000 59.097 -160.6994
1.150000 59.151 -163.2525
1.172000 59.276 -167.9719
1.180000 59.329 -169.6980
1.206000 59.528 -175.3329
1.220000 59.650 -178.3766
1.241000 59.851 177.0563
1.250000 59.943 175.1012
1.265000 60.104 171.8494
1.280000 60.274 168.6104
1.315000 60.696 161.1289
1.320000 60.759 160.0715
1.340000 61.016 155.8774
1.360000 61.279 151.7487
1.380000 61.547 147.6968
1.400000 61.816 143.7333
1.430000 62.220 137.9787
1.450000 62.485 134.2860
1.475000 62.812 129.8425
1.500000 63.157 125.5205
1.525000 63.523 121.3016
1.550000 63.908 117.1862
1.575000 64.307 113.1747
1.600000 64.718 109.2679
1.625000 65.137 105.4659
1.650000 65.560 101.7694
1.675000 65.984 98.1789
1.700000 66.406 94.6948
1.725000 66.822 91.3176
1.750000 67.230 88.0478
1.775000 67.625 84.8858
1.800000 68.004 81.8322
1.825000 68.363 78.8875
1.850000 68.705 76.0760
1.875000 69.039 73.4456
1.900000 69.366 70.9803
1.925000 69.685 68.6617
1.950000 69.997 66.4709
1.975000 70.303 64.3896
2.000000 70.601 62.3992
2.030000 70.951 60.1043
2.060000 71.291 57.8813
2.090000 71.623 55.6982
2.120000 71.946 53.5227
2.140000 72.157 52.0609
2.180000 72.568 49.0664
2.200000 72.768 47.5154
2.240000 73.155 44.3975
2.270000 73.434 42.0810
2.300000 73.704 39.7853
2.330000 73.964 37.5121
2.360000 74.216 35.2629
2.400000 74.539 32.3046
2.430000 74.773 30.1184
2.470000 75.073 27.2501
2.500000 75.292 25.1360
2.540000 75.573 22.3699
2.580000 75.845 19.6677
2.620000 76.105 17.0291
2.650000 76.290 15.0897
2.690000 76.527 12.5540
2.720000 76.697 10.6875
2.760000 76.913 8.2433
2.800000 77.118 5.8462
2.850000 77.360 2.9108
2.900000 77.586 0.0361
2.950000 77.798 -2.7833
3.000000 77.993 -5.5394
3.040000 78.136 -7.6965
3.070000 78.237 -9.2863
3.110000 78.362 -11.3683
3.150000 78.478 -13.4071
3.200000 78.609 -15.8944
3.250000 78.725 -18.3132
3.300000 78.828 -20.6631
3.350000 78.915 -22.9733
3.400000 78.986 -25.2480
3.450000 79.042 -27.4631
3.500000 79.084 -29.5945
3.550000 79.113 -31.6183
3.600000 79.132 -33.5103
3.650000 79.142 -35.2463
3.700000 79.139 -36.8270
3.750000 79.119 -38.2943
3.820000 79.067 -40.1438
3.870000 79.019 -41.3059
3.950000 78.939 -42.8635
4.000000 78.893 -43.6337
4.060000 78.843 -44.3332
4.120000 78.778 -44.7760
4.180000 78.706 -44.9878
4.250000 78.631 -44.9824
4.310000 78.591 -44.7951
4.370000 78.589 -44.4704
4.440000 78.641 -43.8809
4.500000 78.717 -43.0671
4.550000 78.802 -42.2416
4.620000 78.954 -40.9908
4.680000 79.118 -39.9512
4.750000 79.348 -38.9326
4.820000 79.633 -38.1260
4.870000 79.875 -37.5690
4.940000 80.251 -36.8665
5.000000 80.593 -36.3848
5.080000 81.055 -35.9974
5.150000 81.446 -35.9708
5.220000 81.847 -36.2319
5.300000 82.317 -36.8204
5.380000 82.783 -37.6569
5.450000 83.173 -38.5414
5.520000 83.534 -39.5362
5.600000 83.926 -40.9080
5.700000 84.386 -42.9041
5.800000 84.809 -45.0506
5.900000 85.186 -47.2031
6.000000 85.520 -49.4729
6.080000 85.757 -51.3408
6.150000 85.947 -52.9642
6.220000 86.120 -54.5371
6.300000 86.297 -56.2864
6.400000 86.483 -58.4501
6.500000 86.640 -60.5295
6.600000 86.778 -62.4611
6.700000 86.892 -64.2465
6.800000 86.983 -65.9052
6.900000 87.062 -67.4221
7.000000 87.140 -68.7803
7.100000 87.208 -69.9653
7.200000 87.271 -71.0116
7.300000 87.339 -71.9611
7.400000 87.417 -72.8207
7.500000 87.500 -73.5599
7.620000 87.608 -74.3688
7.750000 87.738 -75.2430
7.880000 87.885 -76.0704
8.000000 88.026 -76.8373
8.120000 88.166 -77.6633
8.250000 88.322 -78.6082
8.380000 88.474 -79.5814
8.500000 88.601 -80.5007
8.620000 88.720 -81.4531
8.750000 88.840 -82.4651
8.850000 88.923 -83.1997
9.000000 89.033 -84.2626
9.120000 89.115 -85.0466
9.250000 89.202 -85.7964
9.380000 89.284 -86.4575
9.500000 89.364 -87.0104
9.620000 89.453 -87.5057
9.750000 89.555 -87.9751
9.880000 89.667 -88.4431
10.000000 89.780 -88.8896
10.150000 89.934 -89.4570
10.300000 90.090 -90.1106
10.440000 90.242 -90.8041
10.600000 90.411 -91.6801
10.750000 90.558 -92.5957
10.900000 90.694 -93.5840
11.060000 90.821 -94.6479
11.200000 90.916 -95.6024
11.380000 91.020 -96.7725
11.500000 91.077 -97.5019
11.720000 91.165 -98.7203
11.800000 91.196 -99.1091
12.060000 91.287 -100.2061
12.200000 91.343 -100.7075
12.410000 91.433 -101.3621
12.500000 91.476 -101.6363
12.650000 91.554 -102.0710
12.800000 91.637 -102.5089
13.150000 91.839 -103.6193
13.200000 91.867 -103.7861
13.400000 91.979 -104.4810
13.600000 92.086 -105.1855
13.800000 92.186 -105.8900
14.000000 92.283 -106.5745
14.300000 92.423 -107.5618
14.500000 92.517 -108.2031
14.750000 92.633 -109.0189
15.000000 92.749 -109.8640
15.250000 92.856 -110.7534
15.500000 92.952 -111.6553
15.750000 93.035 -112.5455
16.000000 93.106 -113.3757
16.250000 93.175 -114.1274
16.500000 93.244 -114.8075
16.750000 93.323 -115.4387
17.000000 93.411 -116.0836
17.250000 93.505 -116.7697
17.500000 93.600 -117.5311
17.750000 93.688 -118.3544
18.000000 93.765 -119.2081
18.250000 93.829 -120.0555
18.500000 93.883 -120.8406
18.750000 93.935 -121.5542
19.000000 93.987 -122.1884
19.250000 94.047 -122.7742
19.500000 94.115 -123.3447
19.750000 94.189 -123.9249
20.000000 94.265 -124.5386
20.299999 94.353 -125.3032
20.600000 94.433 -126.0715
20.900000 94.505 -126.8070
21.200001 94.574 -127.4846
21.400000 94.621 -127.9090
21.799999 94.717 -128.7245
22.000000 94.766 -129.1316
22.400000 94.859 -129.9663
22.700001 94.921 -130.5975
23.000000 94.974 -131.2050
23.299999 95.023 -131.7709
23.600000 95.071 -132.3013
24.000000 95.137 -132.9913
24.299999 95.188 -133.5369
24.700001 95.250 -134.3316
25.000000 95.289 -134.9671
25.400000 95.326 -135.8240
25.799999 95.354 -136.6475
26.200001 95.382 -137.4355
26.500000 95.406 -138.0251
26.900000 95.445 -138.8407
27.200001 95.479 -139.4918
27.600000 95.527 -140.4319
28.000000 95.573 -141.4808
28.500000 95.609 -142.9457
29.000000 95.586 -144.3712
29.500000 95.505 -145.2827
30.000000 95.448 -145.2562
30.400000 95.507 -144.7012
30.700001 95.641 -144.2676
31.100000 95.913 -144.1564
31.500000 96.217 -144.8860
32.000000 96.506 -146.8937
32.500000 96.610 -149.3638
33.000000 96.542 -151.3242
33.500000 96.397 -152.2844
34.000000 96.282 -152.3704
34.500000 96.250 -152.1064
35.000000 96.286 -151.9545
35.500000 96.340 -152.1017
36.000000 96.376 -152.4509
36.500000 96.394 -152.8290
37.000000 96.415 -153.1695
37.500000 96.453 -153.5644
38.200001 96.521 -154.4314
38.700001 96.552 -155.2480
39.500000 96.566 -156.5196
40.000000 96.574 -157.2035
40.599998 96.597 -157.9795
41.200001 96.625 -158.7473
41.799999 96.655 -159.4711
42.500000 96.694 -160.2599
43.099998 96.727 -160.9327
43.700001 96.751 -161.5842
44.400002 96.770 -162.2743
45.000000 96.786 -162.8372
45.500000 96.796 -163.3176
46.200001 96.803 -163.9887
46.799999 96.808 -164.5441
47.500000 96.819 -165.2348
48.200001 96.823 -166.0125
48.700001 96.815 -166.5573
49.400002 96.802 -167.2006
50.000000 96.807 -167.6782
50.799999 96.832 -168.3802
51.500000 96.848 -169.0640
52.200001 96.856 -169.7050
53.000000 96.864 -170.3589
53.799999 96.875 -170.9842
54.500000 96.883 -171.5214
55.200001 96.890 -172.0676
56.000000 96.892 -172.7186
57.000000 96.879 -173.5059
58.000000 96.863 -174.2182
59.000000 96.853 -174.8904
60.000000 96.856 -175.5984
60.799999 96.856 -176.2333
61.500000 96.850 -176.7958
62.200001 96.838 -177.3137
63.000000 96.828 -177.8420
64.000000 96.822 -178.4575
65.000000 96.817 -179.0471
66.000000 96.818 -179.5928
67.000000 96.825 179.7879
68.000000 96.813 179.0693
69.000000 96.782 178.4172
70.000000 96.754 177.8301
71.000000 96.735 177.2405
72.000000 96.721 176.6210
73.000000 96.705 175.9886
74.000000 96.688 175.3944
75.000000 96.670 174.8385
76.199997 96.645 174.2010
77.500000 96.615 173.5228
78.800003 96.585 172.8188
80.000000 96.560 172.1545
81.199997 96.538 171.4942
82.500000 96.515 170.8500
83.800003 96.496 170.2739
85.000000 96.472 169.7335
86.199997 96.435 169.1727
87.500000 96.390 168.5215
88.500000 96.358 167.9761
90.000000 96.318 167.1531
91.199997 96.294 166.5776
92.500000 96.265 166.0865
93.800003 96.219 165.7170
95.000000 96.153 165.3790
96.199997 96.068 164.9072
97.500000 95.964 164.0719
98.800003 95.838 162.9101
100.000000 95.697 162.1799
101.500000 95.681 162.2838
103.000000 95.839 161.9983
104.400002 95.901 161.4573
106.000000 95.855 161.2655
107.500000 95.774 161.1924
109.000000 95.687 160.7704
110.599998 95.622 160.0926
112.000000 95.629 159.4189
113.800003 95.638 158.5350
115.000000 95.615 158.3221
117.199997 95.573 158.2576
118.000000 95.552 158.1173
120.599998 95.452 157.1424
122.000000 95.396 156.5995
124.099998 95.322 156.1138
125.000000 95.295 155.9960
126.500000 95.252 155.7189
128.000000 95.210 155.2057
131.500000 95.235 153.4861
132.000000 95.260 153.2084
134.000000 95.309 152.0090
136.000000 95.182 151.6378
138.000000 95.043 151.9539
140.000000 94.929 151.8521
143.000000 94.805 151.1318
145.000000 94.750 150.6699
147.500000 94.678 150.2045
150.000000 94.602 149.6392
152.500000 94.531 149.0830
155.000000 94.467 148.7007
157.500000 94.393 148.3346
160.000000 94.307 147.8586
162.500000 94.240 147.3707
165.000000 94.194 147.0117
167.500000 94.150 146.6884
170.000000 94.060 146.2606
172.500000 93.951 145.9078
175.000000 93.865 145.5687
177.500000 93.794 145.2698
180.000000 93.725 145.0098
182.500000 93.658 144.7637
185.000000 93.602 144.5474
187.500000 93.557 144.3476
190.000000 93.514 144.1328
192.500000 93.471 143.8776
195.000000 93.432 143.5362
197.500000 93.402 143.1089
200.000000 93.374 142.6289
203.000000 93.321 142.1527
206.000000 93.255 141.7919
209.000000 93.185 141.3446
212.000000 93.113 140.8560
214.000000 93.064 140.5503
218.000000 92.967 139.9686
220.000000 92.919 139.6816
224.000000 92.824 139.1292
227.000000 92.749 138.7340
230.000000 92.670 138.3322
233.000000 92.590 137.9276
236.000000 92.511 137.5743
240.000000 92.414 137.1785
243.000000 92.338 136.8877
247.000000 92.235 136.5095
250.000000 92.157 136.2283
254.000000 92.055 135.8373
258.000000 91.955 135.4653
262.000000 91.855 135.1063
265.000000 91.781 134.8328
269.000000 91.681 134.5052
272.000000 91.602 134.3228
276.000000 91.497 134.1085
280.000000 91.399 133.8893
285.000000 91.281 133.6144
