* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.800. Timing signal peak level -17.5 dBFS, measurement signal peak level -17.5 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 08/10/2023 2:38:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0258 ms (-8.9 mm, -0.35 in) using estimated IR delay relative to Acoustic reference on SPEAKER R with no timing offset
* Measurement: Phoenixcall R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 64.402 -78.0410
1.015000 64.132 -77.3803
1.030000 63.861 -76.5410
1.044000 63.608 -75.5881
1.060000 63.319 -74.2885
1.075000 63.050 -72.8561
1.090000 62.782 -71.2070
1.106000 62.494 -69.1754
1.120000 62.216 -67.0430
1.138000 61.820 -63.8201
1.150000 61.534 -61.3970
1.172000 60.977 -56.4485
1.180000 60.765 -54.5034
1.206000 60.052 -47.7270
1.220000 59.659 -43.8346
1.241000 59.067 -37.7504
1.250000 58.815 -35.0724
1.265000 58.400 -30.5418
1.280000 57.995 -25.9561
1.315000 57.114 -15.2306
1.320000 56.997 -13.7136
1.340000 56.563 -7.7336
1.360000 56.184 -1.9536
1.380000 55.870 3.5470
1.400000 55.633 8.6886
1.430000 55.441 15.5544
1.450000 55.438 19.4514
1.475000 55.592 23.4748
1.500000 55.940 26.9747
1.525000 56.462 30.0812
1.550000 57.136 32.8126
1.575000 57.935 35.1872
1.600000 58.835 37.2233
1.625000 59.812 38.9391
1.650000 60.840 40.3532
1.675000 61.896 41.4836
1.700000 62.955 42.3488
1.725000 63.992 42.9670
1.750000 64.982 43.3566
1.775000 65.902 43.5359
1.800000 66.725 43.5231
1.825000 67.428 43.3366
1.850000 68.017 42.8809
1.875000 68.557 41.9275
1.900000 69.053 40.5297
1.925000 69.511 38.7528
1.950000 69.933 36.6620
1.975000 70.324 34.3227
2.000000 70.688 31.8002
2.030000 71.094 28.6232
2.060000 71.472 25.3892
2.090000 71.831 22.2110
2.120000 72.176 19.2015
2.140000 72.402 17.3446
2.180000 72.852 14.1398
2.200000 73.080 12.8574
2.240000 73.517 10.7069
2.270000 73.818 9.3320
2.300000 74.099 8.1244
2.330000 74.362 7.0510
2.360000 74.609 6.0789
2.400000 74.916 4.8831
2.430000 75.132 4.0188
2.470000 75.406 2.8470
2.500000 75.602 1.9107
2.540000 75.856 0.5232
2.580000 76.103 -1.0822
2.620000 76.332 -2.8335
2.650000 76.491 -4.2096
2.690000 76.688 -6.1012
2.720000 76.825 -7.5442
2.760000 76.994 -9.4738
2.800000 77.151 -11.3793
2.850000 77.333 -13.6764
2.900000 77.501 -15.8185
2.950000 77.659 -17.7557
3.000000 77.797 -19.5798
3.040000 77.892 -20.9734
3.070000 77.956 -21.9778
3.110000 78.034 -23.2592
3.150000 78.104 -24.4708
3.200000 78.183 -25.8811
3.250000 78.257 -27.1683
3.300000 78.329 -28.3243
3.350000 78.391 -29.3240
3.400000 78.439 -30.1706
3.450000 78.477 -30.8890
3.500000 78.512 -31.5046
3.550000 78.547 -32.0423
3.600000 78.586 -32.5275
3.650000 78.636 -32.9852
3.700000 78.694 -33.4183
3.750000 78.753 -33.7885
3.820000 78.839 -34.2058
3.870000 78.907 -34.4378
3.950000 79.036 -34.7066
4.000000 79.133 -34.8176
4.060000 79.271 -34.8765
4.120000 79.430 -34.7649
4.180000 79.606 -34.5440
4.250000 79.830 -34.2583
4.310000 80.032 -34.0842
4.370000 80.241 -34.0628
4.440000 80.493 -34.2960
4.500000 80.726 -34.6393
4.550000 80.928 -35.0070
4.620000 81.216 -35.6256
4.680000 81.460 -36.2330
4.750000 81.735 -37.0067
4.820000 81.997 -37.8492
4.870000 82.184 -38.5104
4.940000 82.441 -39.5122
5.000000 82.654 -40.4351
5.080000 82.921 -41.7463
5.150000 83.134 -42.9640
5.220000 83.332 -44.2960
5.300000 83.540 -45.9266
5.380000 83.729 -47.6042
5.450000 83.878 -49.0543
5.520000 84.011 -50.4470
5.600000 84.142 -52.0364
5.700000 84.276 -54.0053
5.800000 84.386 -55.8862
5.900000 84.475 -57.6179
6.000000 84.536 -59.2422
6.080000 84.570 -60.4556
6.150000 84.594 -61.4386
6.220000 84.618 -62.3348
6.300000 84.642 -63.2446
6.400000 84.662 -64.2285
6.500000 84.682 -65.0659
6.600000 84.716 -65.7820
6.700000 84.764 -66.3341
6.800000 84.821 -66.7451
6.900000 84.894 -67.1060
7.000000 84.986 -67.4910
7.100000 85.101 -67.8383
7.200000 85.231 -68.1811
7.300000 85.370 -68.5838
7.400000 85.518 -69.0796
7.500000 85.679 -69.6331
7.620000 85.877 -70.3887
7.750000 86.080 -71.3486
7.880000 86.279 -72.4705
8.000000 86.453 -73.5831
8.120000 86.608 -74.7190
8.250000 86.758 -76.0179
8.380000 86.890 -77.3091
8.500000 86.997 -78.4353
8.620000 87.086 -79.5311
8.750000 87.174 -80.6391
8.850000 87.237 -81.4055
9.000000 87.322 -82.4350
9.120000 87.390 -83.1673
9.250000 87.472 -83.8646
9.380000 87.557 -84.4596
9.500000 87.644 -84.9718
9.620000 87.742 -85.4664
9.750000 87.858 -85.9653
9.880000 87.982 -86.4860
10.000000 88.102 -87.0059
10.150000 88.261 -87.6911
10.300000 88.417 -88.4483
10.440000 88.562 -89.2300
10.600000 88.720 -90.1766
10.750000 88.854 -91.1056
10.900000 88.977 -92.0670
11.060000 89.093 -93.0643
11.200000 89.180 -93.9246
11.380000 89.280 -94.9535
11.500000 89.337 -95.5794
11.720000 89.433 -96.6007
11.800000 89.467 -96.9221
12.060000 89.577 -97.8067
12.200000 89.643 -98.1978
12.410000 89.751 -98.6908
12.500000 89.803 -98.8949
12.650000 89.897 -99.2098
12.800000 89.999 -99.5342
13.150000 90.259 -100.4227
13.200000 90.296 -100.5706
13.400000 90.450 -101.2225
13.600000 90.596 -101.9547
13.800000 90.733 -102.7705
14.000000 90.854 -103.6158
14.300000 91.007 -104.8998
14.500000 91.090 -105.7039
14.750000 91.182 -106.6068
15.000000 91.266 -107.3797
15.250000 91.356 -108.0295
15.500000 91.457 -108.6169
15.750000 91.572 -109.1849
16.000000 91.699 -109.8060
16.250000 91.828 -110.5118
16.500000 91.953 -111.3031
16.750000 92.067 -112.1648
17.000000 92.165 -113.0360
17.250000 92.250 -113.8832
17.500000 92.325 -114.6641
17.750000 92.398 -115.3672
18.000000 92.472 -116.0096
18.250000 92.553 -116.6118
18.500000 92.640 -117.2224
18.750000 92.730 -117.8584
19.000000 92.818 -118.5352
19.250000 92.900 -119.2420
19.500000 92.974 -119.9529
19.750000 93.039 -120.6473
20.000000 93.098 -121.2939
20.299999 93.166 -122.0029
20.600000 93.236 -122.6504
20.900000 93.313 -123.2679
21.200001 93.396 -123.8974
21.400000 93.452 -124.3402
21.799999 93.560 -125.2823
22.000000 93.610 -125.7745
22.400000 93.697 -126.7673
22.700001 93.753 -127.4877
23.000000 93.803 -128.1662
23.299999 93.852 -128.8015
23.600000 93.902 -129.4032
24.000000 93.973 -130.1780
24.299999 94.029 -130.7599
24.700001 94.105 -131.5551
25.000000 94.160 -132.1674
25.400000 94.229 -132.9930
25.799999 94.291 -133.8049
26.200001 94.349 -134.5811
26.500000 94.391 -135.1352
26.900000 94.447 -135.8418
27.200001 94.489 -136.3553
27.600000 94.545 -137.0280
28.000000 94.600 -137.6930
28.500000 94.662 -138.5110
29.000000 94.713 -139.2883
29.500000 94.751 -139.9663
30.000000 94.788 -140.4726
30.400000 94.830 -140.7537
30.700001 94.878 -140.9328
31.100000 94.963 -141.2319
31.500000 95.065 -141.7026
32.000000 95.183 -142.5980
32.500000 95.260 -143.7127
33.000000 95.289 -144.7908
33.500000 95.295 -145.6729
34.000000 95.307 -146.3861
34.500000 95.331 -147.0584
35.000000 95.362 -147.7577
35.500000 95.391 -148.4631
36.000000 95.420 -149.1422
36.500000 95.454 -149.8119
37.000000 95.491 -150.5075
37.500000 95.524 -151.2245
38.200001 95.560 -152.1854
38.700001 95.584 -152.8143
39.500000 95.629 -153.7867
40.000000 95.655 -154.3963
40.599998 95.680 -155.0969
41.200001 95.705 -155.7362
41.799999 95.736 -156.3548
42.500000 95.775 -157.1284
43.099998 95.799 -157.8237
43.700001 95.814 -158.4847
44.400002 95.831 -159.1888
45.000000 95.850 -159.7658
45.500000 95.868 -160.2503
46.200001 95.895 -160.9609
46.799999 95.913 -161.6071
47.500000 95.920 -162.3230
48.200001 95.928 -162.9109
48.700001 95.947 -163.3087
49.400002 95.983 -163.9937
50.000000 95.998 -164.6907
50.799999 95.987 -165.5260
51.500000 95.978 -166.0842
52.200001 95.984 -166.6168
53.000000 95.993 -167.2807
53.799999 95.996 -167.9566
54.500000 95.995 -168.5448
55.200001 95.991 -169.1193
56.000000 95.986 -169.7455
57.000000 95.984 -170.5251
58.000000 95.980 -171.2923
59.000000 95.978 -172.0210
60.000000 95.976 -172.7181
60.799999 95.975 -173.2188
61.500000 95.979 -173.6323
62.200001 95.984 -174.0645
63.000000 95.983 -174.5771
64.000000 95.970 -175.2110
65.000000 95.935 -175.8355
66.000000 95.884 -176.2123
67.000000 95.888 -176.4271
68.000000 95.929 -177.0353
69.000000 95.937 -177.8739
70.000000 95.929 -178.6168
71.000000 95.925 -179.2993
72.000000 95.925 -179.9187
73.000000 95.931 179.4890
74.000000 95.935 178.8932
75.000000 95.929 178.3251
76.199997 95.916 177.7335
77.500000 95.907 177.1017
78.800003 95.890 176.3808
80.000000 95.862 175.7408
81.199997 95.842 175.1260
82.500000 95.821 174.3896
83.800003 95.796 173.7176
85.000000 95.780 173.0921
86.199997 95.753 172.4693
87.500000 95.715 171.8442
88.500000 95.682 171.3870
90.000000 95.637 170.6968
91.199997 95.611 170.0978
92.500000 95.587 169.4253
93.800003 95.566 168.8704
95.000000 95.550 168.4918
96.199997 95.527 168.2113
97.500000 95.476 168.0085
98.800003 95.412 168.0152
100.000000 95.406 167.9744
101.500000 95.424 167.0493
103.000000 95.362 165.8115
104.400002 95.291 165.0207
106.000000 95.247 164.5226
107.500000 95.220 164.1096
109.000000 95.172 163.6775
110.599998 95.114 163.1870
112.000000 95.075 162.7100
113.800003 95.049 162.0994
115.000000 95.035 161.7389
117.199997 94.990 161.2680
118.000000 94.968 161.1173
120.599998 94.897 160.5765
122.000000 94.873 160.2368
124.099998 94.844 159.7691
125.000000 94.829 159.5795
126.500000 94.800 159.2449
128.000000 94.783 158.8115
131.500000 94.885 157.4539
132.000000 94.917 157.2167
134.000000 94.982 156.0944
136.000000 94.869 155.6606
138.000000 94.753 155.7255
140.000000 94.670 155.3173
143.000000 94.591 154.1968
145.000000 94.554 153.5577
147.500000 94.488 152.9241
150.000000 94.411 152.2689
152.500000 94.341 151.4844
155.000000 94.274 150.7374
157.500000 94.207 150.0475
160.000000 94.132 149.3886
162.500000 94.054 148.7177
165.000000 93.974 147.9822
167.500000 93.887 147.2896
170.000000 93.808 146.8116
172.500000 93.737 146.3658
175.000000 93.658 145.8978
177.500000 93.578 145.3956
180.000000 93.497 144.8867
182.500000 93.414 144.3980
185.000000 93.329 143.9326
187.500000 93.242 143.5017
190.000000 93.152 143.1021
192.500000 93.061 142.7197
195.000000 92.972 142.3722
197.500000 92.886 142.0895
200.000000 92.806 141.8229
203.000000 92.710 141.4262
206.000000 92.612 141.0138
209.000000 92.518 140.6717
212.000000 92.425 140.3735
214.000000 92.362 140.1809
218.000000 92.241 139.8226
220.000000 92.182 139.6610
224.000000 92.066 139.3369
227.000000 91.977 139.0856
230.000000 91.889 138.8444
233.000000 91.803 138.6182
236.000000 91.719 138.4171
240.000000 91.612 138.1816
243.000000 91.533 138.0185
247.000000 91.433 137.8138
250.000000 91.363 137.6615
254.000000 91.267 137.4619
258.000000 91.170 137.2542
262.000000 91.070 137.0421
265.000000 90.992 136.8983
269.000000 90.890 136.7190
272.000000 90.817 136.5891
276.000000 90.715 136.4740
