* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), no input selected, L, volume: 0.800. Timing signal peak level -18.6 dBFS, measurement signal peak level -19.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 22/06/2023 7:18:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0245 ms (-8.4 mm, -0.33 in) using estimated IR delay relative to Acoustic reference on SPEAKER R with no timing offset
* Measurement: Phonix L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 82.510 140.5433
1.015000 82.346 140.5279
1.030000 82.188 140.5823
1.044000 82.048 140.7004
1.060000 81.896 140.9208
1.075000 81.763 141.2154
1.090000 81.641 141.6004
1.106000 81.522 142.1205
1.120000 81.419 142.6891
1.138000 81.285 143.5707
1.150000 81.197 144.2452
1.172000 81.036 145.6443
1.180000 80.978 146.2007
1.206000 80.796 148.1616
1.220000 80.702 149.3019
1.241000 80.568 151.1028
1.250000 80.513 151.9025
1.265000 80.426 153.2649
1.280000 80.345 154.6565
1.315000 80.182 157.9651
1.320000 80.162 158.4397
1.340000 80.092 160.3298
1.360000 80.039 162.1896
1.380000 80.003 163.9974
1.400000 79.987 165.7313
1.430000 80.002 168.1456
1.450000 80.041 169.5990
1.475000 80.126 171.2241
1.500000 80.258 172.8060
1.525000 80.434 174.3787
1.550000 80.650 175.9299
1.575000 80.899 177.4473
1.600000 81.177 178.9187
1.625000 81.477 -179.6682
1.650000 81.796 -178.3258
1.675000 82.126 -177.0664
1.700000 82.464 -175.9022
1.725000 82.804 -174.8455
1.750000 83.139 -173.9085
1.775000 83.466 -173.1037
1.800000 83.779 -172.4433
1.825000 84.071 -171.9396
1.850000 84.349 -171.6024
1.875000 84.631 -171.4259
1.900000 84.917 -171.3983
1.925000 85.206 -171.5077
1.950000 85.497 -171.7424
1.975000 85.787 -172.0905
2.000000 86.076 -172.5401
2.030000 86.419 -173.1972
2.060000 86.755 -173.9631
2.090000 87.083 -174.8174
2.120000 87.398 -175.7398
2.140000 87.602 -176.3824
2.180000 87.986 -177.7068
2.200000 88.167 -178.3772
2.240000 88.509 -179.8611
2.270000 88.751 178.8765
2.300000 88.982 177.5061
2.330000 89.203 176.0461
2.360000 89.413 174.5143
2.400000 89.680 172.3919
2.430000 89.870 170.7636
2.470000 90.111 168.5783
2.500000 90.284 166.9523
2.540000 90.504 164.8358
2.580000 90.715 162.8074
2.620000 90.911 160.8039
2.650000 91.048 159.3024
2.690000 91.219 157.2975
2.720000 91.339 155.7888
2.760000 91.487 153.7661
2.800000 91.623 151.7259
2.850000 91.777 149.1427
2.900000 91.915 146.5132
2.950000 92.037 143.8307
3.000000 92.142 141.1208
3.040000 92.213 138.9330
3.070000 92.259 137.2775
3.110000 92.311 135.0471
3.150000 92.351 132.7860
3.200000 92.385 129.9097
3.250000 92.402 126.9693
3.300000 92.401 123.9552
3.350000 92.384 120.7570
3.400000 92.350 117.3674
3.450000 92.300 113.8835
3.500000 92.231 110.4026
3.550000 92.142 107.0218
3.600000 92.032 103.8383
3.650000 91.899 100.9493
3.700000 91.746 98.5518
3.750000 91.580 96.7870
3.820000 91.316 94.8727
3.870000 91.098 93.5241
3.950000 90.688 90.6266
4.000000 90.386 87.9191
4.060000 89.978 83.1469
4.120000 89.558 76.1120
4.180000 89.106 67.7770
4.250000 88.500 57.9308
4.310000 87.879 50.6909
4.370000 87.134 45.7620
4.440000 86.025 43.5253
4.500000 84.791 43.0412
4.550000 83.651 43.7690
4.620000 82.030 46.9256
4.680000 80.755 51.9972
4.750000 79.581 61.1679
4.820000 78.742 75.8267
4.870000 78.219 90.3340
4.940000 77.659 113.6096
5.000000 77.399 133.8941
5.080000 77.474 157.3669
5.150000 78.050 171.0721
5.220000 79.320 -179.9135
5.300000 81.357 -173.5334
5.380000 83.581 -170.6867
5.450000 85.323 -170.5612
5.520000 86.588 -172.4400
5.600000 87.660 -179.2802
5.700000 88.681 167.6501
5.800000 89.500 154.3785
5.900000 90.258 145.6390
6.000000 90.880 140.4865
6.080000 91.279 137.4650
6.150000 91.576 134.9017
6.220000 91.839 131.8204
6.300000 92.098 127.5465
6.400000 92.336 121.8532
6.500000 92.493 115.9933
6.600000 92.584 110.2000
6.700000 92.609 104.3479
6.800000 92.562 98.4521
6.900000 92.447 92.8094
7.000000 92.267 87.6972
7.100000 92.023 83.0939
7.200000 91.711 78.8155
7.300000 91.332 74.6876
7.400000 90.882 70.4724
7.500000 90.362 66.1883
7.620000 89.650 61.6349
7.750000 88.768 58.2026
7.880000 87.744 56.0243
8.000000 86.748 55.3241
8.120000 85.749 56.2367
8.250000 84.584 59.0791
8.380000 83.553 63.1859
8.500000 82.905 67.8183
8.620000 82.481 73.6251
8.750000 82.230 79.9448
8.850000 82.183 84.0542
9.000000 82.400 89.5720
9.120000 82.648 93.5170
9.250000 82.841 97.2097
9.380000 83.028 100.3060
9.500000 83.245 103.1740
9.620000 83.515 106.4536
9.750000 83.856 110.2032
9.880000 84.318 113.6625
10.000000 84.909 116.5577
10.150000 85.803 119.7520
10.300000 86.730 121.5393
10.440000 87.649 121.8467
10.600000 88.661 120.8549
10.750000 89.482 118.5647
10.900000 90.208 115.1036
11.060000 90.832 110.7898
11.200000 91.254 106.3787
11.380000 91.628 100.3749
11.500000 91.771 96.2215
11.720000 91.824 88.5776
11.800000 91.778 85.8974
12.060000 91.401 77.6251
12.200000 91.072 73.8546
12.410000 90.435 69.1585
12.500000 90.144 67.6985
12.650000 89.603 65.9958
12.800000 89.092 65.0349
13.150000 88.239 65.4894
13.200000 88.175 65.5906
13.400000 88.103 66.1688
13.600000 88.189 65.9771
13.800000 88.411 64.5628
14.000000 88.601 62.0702
14.300000 88.751 56.6022
14.500000 88.689 52.5493
14.750000 88.460 47.9838
15.000000 88.092 44.4518
15.250000 87.702 42.5842
15.500000 87.430 42.0142
15.750000 87.342 42.3707
16.000000 87.488 42.7341
16.250000 87.742 42.5202
16.500000 88.033 41.6515
16.750000 88.251 40.2659
17.000000 88.381 39.0457
17.250000 88.448 38.2644
17.500000 88.497 38.2547
17.750000 88.611 38.7919
18.000000 88.799 39.5453
18.250000 89.070 40.1307
18.500000 89.350 40.1602
18.750000 89.592 39.7173
19.000000 89.751 38.8866
19.250000 89.805 38.1216
19.500000 89.782 37.6840
19.750000 89.707 37.7620
20.000000 89.642 38.3936
20.299999 89.625 39.5167
20.600000 89.688 40.6232
20.900000 89.805 41.2996
21.200001 89.912 41.3776
21.400000 89.951 41.2051
21.799999 89.946 40.6658
22.000000 89.911 40.4572
22.400000 89.824 40.3482
22.700001 89.787 40.4436
23.000000 89.796 40.4893
23.299999 89.842 40.3172
23.600000 89.908 39.8588
24.000000 89.998 38.8132
24.299999 90.048 37.8028
24.700001 90.078 36.3467
25.000000 90.072 35.3363
25.400000 90.040 34.3042
25.799999 90.016 33.7585
26.200001 90.041 33.5936
26.500000 90.095 33.5367
26.900000 90.190 33.3514
27.200001 90.246 33.1261
27.600000 90.274 32.9172
28.000000 90.261 33.1548
28.500000 90.281 34.2253
29.000000 90.434 35.5114
29.500000 90.691 36.1267
30.000000 90.944 35.6973
30.400000 91.094 34.6875
30.700001 91.163 33.5987
31.100000 91.172 31.7926
31.500000 91.060 29.8347
32.000000 90.735 28.0014
32.500000 90.322 27.8761
33.000000 90.096 29.3751
33.500000 90.217 30.9046
34.000000 90.522 30.8720
34.500000 90.746 29.4005
35.000000 90.811 27.7455
35.500000 90.814 26.7713
36.000000 90.851 26.2614
36.500000 90.905 25.7630
37.000000 90.920 25.3944
37.500000 90.922 25.5473
38.200001 91.051 26.2497
38.700001 91.221 26.2212
39.500000 91.364 25.0023
40.000000 91.339 24.3591
40.599998 91.297 24.1605
41.200001 91.324 24.0972
41.799999 91.383 23.6564
42.500000 91.402 22.7974
43.099998 91.368 22.2616
43.700001 91.340 22.1146
44.400002 91.367 22.1655
45.000000 91.430 22.0574
45.500000 91.477 21.8070
46.200001 91.516 21.3773
46.799999 91.538 21.0138
47.500000 91.556 20.4782
48.200001 91.545 19.7942
48.700001 91.515 19.3187
49.400002 91.463 18.7833
50.000000 91.425 18.4255
50.799999 91.386 18.1571
51.500000 91.398 18.2533
52.200001 91.498 18.3467
53.000000 91.638 17.8398
53.799999 91.667 17.1502
54.500000 91.642 17.1124
55.200001 91.647 17.3013
56.000000 91.622 17.2749
57.000000 91.480 17.6925
58.000000 91.392 18.6026
59.000000 91.329 19.2282
60.000000 91.330 20.3388
60.799999 91.493 21.1493
61.500000 91.704 21.4508
62.200001 91.955 21.6338
63.000000 92.320 21.7073
64.000000 92.807 21.1528
65.000000 93.273 20.3526
66.000000 93.727 18.4999
67.000000 93.817 15.2834
68.000000 93.522 13.7395
69.000000 93.295 13.8893
70.000000 93.189 13.6056
71.000000 93.078 12.8256
72.000000 92.970 11.8940
73.000000 92.897 11.1149
74.000000 92.907 10.4080
75.000000 92.951 9.5117
76.199997 92.962 8.6415
77.500000 92.969 8.2605
78.800003 92.997 7.9132
80.000000 92.992 7.3094
81.199997 92.943 6.6344
82.500000 92.860 6.1196
83.800003 92.820 6.0927
85.000000 92.873 6.0422
86.199997 92.938 5.5120
87.500000 92.938 4.7719
88.500000 92.923 4.3627
90.000000 92.921 3.7349
91.199997 92.924 3.1264
92.500000 92.896 2.4439
93.800003 92.831 2.1383
95.000000 92.797 2.1853
96.199997 92.795 2.0986
97.500000 92.776 1.6847
98.800003 92.719 1.2814
100.000000 92.693 1.1541
101.500000 92.742 0.7936
103.000000 92.761 0.1876
104.400002 92.766 -0.0484
106.000000 92.788 -0.3190
107.500000 92.778 -0.6567
109.000000 92.758 -0.9397
110.599998 92.749 -1.3077
112.000000 92.741 -1.6649
113.800003 92.738 -2.0593
115.000000 92.738 -2.3024
117.199997 92.743 -2.7147
118.000000 92.747 -2.9066
120.599998 92.754 -3.6034
122.000000 92.761 -3.9934
124.099998 92.762 -4.5739
125.000000 92.757 -4.8059
126.500000 92.742 -5.1897
128.000000 92.722 -5.5941
131.500000 92.683 -6.6797
132.000000 92.677 -6.8313
134.000000 92.642 -7.2830
136.000000 92.610 -7.5256
138.000000 92.578 -7.7775
140.000000 92.550 -8.1466
143.000000 92.501 -8.7792
145.000000 92.464 -9.1430
147.500000 92.398 -9.6114
150.000000 92.339 -10.0006
152.500000 92.329 -10.4245
155.000000 92.308 -10.8019
157.500000 92.270 -10.9787
160.000000 92.240 -11.2316
162.500000 92.215 -11.5735
165.000000 92.202 -11.8518
167.500000 92.174 -12.1582
170.000000 92.121 -12.3497
172.500000 92.082 -12.4411
175.000000 92.059 -12.4973
177.500000 92.055 -12.5554
180.000000 92.073 -12.7640
182.500000 92.096 -13.1638
185.000000 92.106 -13.6415
187.500000 92.100 -14.1223
190.000000 92.080 -14.6346
192.500000 92.046 -15.1847
195.000000 92.006 -15.7526
197.500000 91.966 -16.3526
200.000000 91.921 -16.8770
203.000000 91.875 -17.2433
206.000000 91.832 -17.5628
209.000000 91.778 -17.9128
212.000000 91.722 -18.2474
214.000000 91.687 -18.4630
218.000000 91.618 -18.9184
220.000000 91.584 -19.1338
224.000000 91.520 -19.5184
227.000000 91.469 -19.8106
230.000000 91.419 -20.1034
233.000000 91.369 -20.3912
236.000000 91.321 -20.6900
240.000000 91.252 -21.0489
243.000000 91.197 -21.2638
247.000000 91.129 -21.5867
250.000000 91.085 -21.8177
254.000000 91.025 -21.9994
258.000000 90.960 -22.1937
262.000000 90.893 -22.4337
265.000000 90.845 -22.5950
269.000000 90.790 -22.7864
272.000000 90.756 -22.9285
276.000000 90.708 -23.1073
280.000000 90.660 -23.3062
285.000000 90.601 -23.5883
290.000000 90.539 -23.8874
295.000000 90.469 -24.2003
300.000000 90.399 -24.4996
304.000000 90.345 -24.7122
307.000000 90.302 -24.8670
311.000000 90.244 -25.0608
315.000000 90.186 -25.2433
320.000000 90.112 -25.4602
325.000000 90.039 -25.6686
