* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), no input selected, L, volume: 0.800. Timing signal peak level -21.3 dBFS, measurement signal peak level -19.8 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 22/06/2023 7:17:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0225 ms (-7.7 mm, -0.3 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: Phonix R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 88.562 -86.1861
1.015000 88.487 -87.9179
1.030000 88.413 -89.6372
1.044000 88.345 -91.2276
1.060000 88.270 -93.0245
1.075000 88.201 -94.6855
1.090000 88.134 -96.3199
1.106000 88.066 -98.0316
1.120000 88.006 -99.5095
1.138000 87.928 -101.3876
1.150000 87.877 -102.6274
1.172000 87.782 -104.8790
1.180000 87.748 -105.6919
1.206000 87.638 -108.3176
1.220000 87.578 -109.7239
1.241000 87.491 -111.8280
1.250000 87.454 -112.7290
1.265000 87.392 -114.2314
1.280000 87.332 -115.7365
1.315000 87.194 -119.2707
1.320000 87.175 -119.7792
1.340000 87.099 -121.8258
1.360000 87.026 -123.8957
1.380000 86.956 -125.9939
1.400000 86.888 -128.1254
1.430000 86.792 -131.3960
1.450000 86.732 -133.6325
1.475000 86.662 -136.5016
1.500000 86.594 -139.4684
1.525000 86.528 -142.5233
1.550000 86.464 -145.6519
1.575000 86.402 -148.8396
1.600000 86.344 -152.0717
1.625000 86.290 -155.3339
1.650000 86.240 -158.6116
1.675000 86.196 -161.8902
1.700000 86.158 -165.1551
1.725000 86.125 -168.3919
1.750000 86.100 -171.5860
1.775000 86.083 -174.7229
1.800000 86.074 -177.7880
1.825000 86.073 179.2332
1.850000 86.082 176.3312
1.875000 86.103 173.4568
1.900000 86.133 170.6095
1.925000 86.173 167.7914
1.950000 86.220 165.0044
1.975000 86.274 162.2505
2.000000 86.333 159.5318
2.030000 86.411 156.3185
2.060000 86.493 153.1620
2.090000 86.578 150.0659
2.120000 86.664 147.0335
2.140000 86.721 145.0490
2.180000 86.832 141.1736
2.200000 86.884 139.2847
2.240000 86.993 135.5982
2.270000 87.080 132.9094
2.300000 87.170 130.2845
2.330000 87.263 127.7223
2.360000 87.358 125.2218
2.400000 87.485 121.9817
2.430000 87.579 119.6206
2.470000 87.703 116.5621
2.500000 87.793 114.3342
2.540000 87.907 111.4491
2.580000 88.013 108.6620
2.620000 88.115 105.9906
2.650000 88.189 104.0622
2.690000 88.286 101.5853
2.720000 88.357 99.7945
2.760000 88.448 97.4901
2.800000 88.535 95.2742
2.850000 88.639 92.6179
2.900000 88.737 90.0744
2.950000 88.828 87.6361
3.000000 88.912 85.3444
3.040000 88.973 83.6147
3.070000 89.017 82.3722
3.110000 89.072 80.7812
3.150000 89.125 79.2571
3.200000 89.186 77.4327
3.250000 89.245 75.6816
3.300000 89.301 73.9867
3.350000 89.353 72.3672
3.400000 89.400 70.8399
3.450000 89.442 69.3976
3.500000 89.482 68.0332
3.550000 89.520 66.7396
3.600000 89.558 65.5094
3.650000 89.597 64.3356
3.700000 89.638 63.2265
3.750000 89.677 62.2072
3.820000 89.732 60.9038
3.870000 89.771 60.0399
3.950000 89.833 58.7299
4.000000 89.872 57.9319
4.060000 89.919 56.9792
4.120000 89.967 56.0687
4.180000 90.015 55.2002
4.250000 90.071 54.2300
4.310000 90.118 53.4268
4.370000 90.163 52.6418
4.440000 90.214 51.7473
4.500000 90.257 51.0124
4.550000 90.292 50.4191
4.620000 90.340 49.6104
4.680000 90.377 48.9308
4.750000 90.414 48.1450
4.820000 90.445 47.3609
4.870000 90.465 46.8051
4.940000 90.488 46.0383
5.000000 90.504 45.3965
5.080000 90.517 44.5706
5.150000 90.520 43.8822
5.220000 90.516 43.2149
5.300000 90.504 42.4808
5.380000 90.483 41.7878
5.450000 90.457 41.2241
5.520000 90.424 40.7057
5.600000 90.377 40.1500
5.700000 90.304 39.5248
5.800000 90.218 39.0079
5.900000 90.120 38.6248
6.000000 90.007 38.3433
6.080000 89.907 38.2087
6.150000 89.816 38.1766
6.220000 89.724 38.2404
6.300000 89.613 38.4260
6.400000 89.464 38.8070
6.500000 89.316 39.3754
6.600000 89.183 40.1549
6.700000 89.057 41.1791
6.800000 88.938 42.4160
6.900000 88.847 43.8012
7.000000 88.799 45.2935
7.100000 88.785 46.9911
7.200000 88.806 48.7816
7.300000 88.869 50.5025
7.400000 88.981 52.0970
7.500000 89.142 53.6694
7.620000 89.376 55.3538
7.750000 89.657 56.7129
7.880000 89.984 57.6498
8.000000 90.295 58.1504
8.120000 90.585 58.2690
8.250000 90.892 57.9415
8.380000 91.171 57.2811
8.500000 91.388 56.4583
8.620000 91.572 55.3666
8.750000 91.731 54.0392
8.850000 91.821 52.9984
9.000000 91.904 51.3045
9.120000 91.932 49.9641
9.250000 91.928 48.6192
9.380000 91.884 47.3328
9.500000 91.824 46.2717
9.620000 91.749 45.3777
9.750000 91.647 44.5641
9.880000 91.545 43.9037
10.000000 91.455 43.4500
10.150000 91.346 43.0648
10.300000 91.258 42.7578
10.440000 91.197 42.5663
10.600000 91.147 42.3590
10.750000 91.119 42.0873
10.900000 91.107 41.7698
11.060000 91.093 41.3347
11.200000 91.084 40.8641
11.380000 91.065 40.2322
11.500000 91.044 39.7940
11.720000 90.996 39.0423
11.800000 90.976 38.8202
12.060000 90.911 38.2512
12.200000 90.891 38.0784
12.410000 90.882 37.9550
12.500000 90.893 37.9106
12.650000 90.930 37.8784
12.800000 90.987 37.8076
13.150000 91.190 37.2845
13.200000 91.222 37.1584
13.400000 91.356 36.5018
13.600000 91.478 35.6762
13.800000 91.579 34.6851
14.000000 91.653 33.6756
14.300000 91.711 32.2189
14.500000 91.721 31.4206
14.750000 91.723 30.6677
15.000000 91.722 30.1997
15.250000 91.742 29.9568
15.500000 91.786 29.8188
15.750000 91.855 29.7089
16.000000 91.941 29.5196
16.250000 92.029 29.2233
16.500000 92.110 28.8232
16.750000 92.176 28.3447
17.000000 92.221 27.8524
17.250000 92.249 27.3805
17.500000 92.260 26.9705
17.750000 92.261 26.6414
18.000000 92.261 26.3848
18.250000 92.262 26.1907
18.500000 92.265 26.0215
18.750000 92.273 25.8553
19.000000 92.285 25.6720
19.250000 92.297 25.4589
19.500000 92.309 25.2234
19.750000 92.318 24.9708
20.000000 92.327 24.7154
20.299999 92.338 24.4070
20.600000 92.353 24.0908
20.900000 92.371 23.7533
21.200001 92.389 23.3832
21.400000 92.400 23.1244
21.799999 92.416 22.6156
22.000000 92.422 22.3865
22.400000 92.435 22.0139
22.700001 92.453 21.7997
23.000000 92.482 21.5991
23.299999 92.518 21.3658
23.600000 92.553 21.0862
24.000000 92.585 20.6790
24.299999 92.595 20.4244
24.700001 92.598 20.2507
25.000000 92.606 20.2578
25.400000 92.643 20.3671
25.799999 92.710 20.4130
26.200001 92.788 20.2583
26.500000 92.840 20.0079
26.900000 92.888 19.5668
27.200001 92.908 19.2169
27.600000 92.921 18.7670
28.000000 92.923 18.3258
28.500000 92.908 17.7721
29.000000 92.869 17.3232
29.500000 92.826 17.1251
30.000000 92.822 17.1033
30.400000 92.854 16.9998
30.700001 92.885 16.7800
31.100000 92.910 16.3256
31.500000 92.899 15.8649
32.000000 92.856 15.6186
32.500000 92.849 15.7990
33.000000 92.922 15.9651
33.500000 93.030 15.6600
34.000000 93.090 14.9406
34.500000 93.078 14.3203
35.000000 93.047 14.1240
35.500000 93.063 14.1418
36.000000 93.115 13.9506
36.500000 93.147 13.4865
37.000000 93.135 13.0768
37.500000 93.117 12.9305
38.200001 93.138 12.7726
38.700001 93.144 12.4360
39.500000 93.071 12.2701
40.000000 93.062 12.6746
40.599998 93.161 12.9877
41.200001 93.270 12.4113
41.799999 93.262 11.4761
42.500000 93.175 11.1147
43.099998 93.192 11.1626
43.700001 93.271 10.6484
44.400002 93.302 9.4539
45.000000 93.281 8.5823
45.500000 93.279 7.9160
46.200001 93.253 6.7513
46.799999 93.135 6.1266
47.500000 93.035 6.8568
48.200001 93.205 8.0374
48.700001 93.418 8.0101
49.400002 93.583 6.8356
50.000000 93.557 6.0902
50.799999 93.506 6.2365
51.500000 93.538 6.4097
52.200001 93.540 6.1885
53.000000 93.484 6.0325
53.799999 93.454 5.8852
54.500000 93.425 5.3613
55.200001 93.340 4.7303
56.000000 93.216 4.4880
57.000000 93.185 4.8425
58.000000 93.331 4.8199
59.000000 93.475 3.8539
60.000000 93.475 2.8876
60.799999 93.445 2.7615
61.500000 93.453 2.8184
62.200001 93.466 2.7719
63.000000 93.462 2.6510
64.000000 93.412 2.5793
65.000000 93.373 3.1685
66.000000 93.500 3.5029
67.000000 93.533 2.5112
68.000000 93.352 2.3821
69.000000 93.248 3.4727
70.000000 93.250 4.7358
71.000000 93.376 6.1510
72.000000 93.666 6.8381
73.000000 93.973 6.0984
74.000000 94.142 4.3448
75.000000 94.119 2.7675
76.199997 94.018 2.5179
77.500000 94.142 3.0964
78.800003 94.315 2.2277
80.000000 94.312 1.0714
81.199997 94.273 -0.0535
82.500000 94.140 -1.3215
83.800003 94.013 -1.6742
85.000000 94.033 -1.3167
86.199997 94.280 -1.0639
87.500000 94.527 -2.6203
88.500000 94.493 -4.0017
90.000000 94.286 -4.7814
91.199997 94.110 -4.7700
92.500000 93.981 -4.7516
93.800003 93.892 -5.0923
95.000000 93.861 -5.5883
96.199997 93.840 -6.2668
97.500000 93.832 -6.5452
98.800003 93.895 -6.6340
100.000000 93.967 -6.9460
101.500000 93.982 -7.7531
103.000000 93.900 -8.4507
104.400002 93.831 -8.8817
106.000000 93.791 -9.3760
107.500000 93.780 -9.7316
109.000000 93.780 -10.0177
110.599998 93.758 -10.2568
112.000000 93.726 -10.4445
113.800003 93.678 -10.8359
115.000000 93.645 -11.1743
117.199997 93.597 -11.7529
118.000000 93.584 -11.9259
120.599998 93.543 -12.3706
122.000000 93.514 -12.6036
124.099998 93.465 -12.9911
125.000000 93.447 -13.1674
126.500000 93.423 -13.4597
128.000000 93.403 -13.7377
131.500000 93.344 -14.1799
132.000000 93.336 -14.2278
134.000000 93.308 -14.5266
136.000000 93.266 -14.9232
138.000000 93.226 -15.2727
140.000000 93.195 -15.5851
143.000000 93.159 -16.0222
145.000000 93.127 -16.2961
147.500000 93.077 -16.5162
150.000000 93.032 -16.7753
152.500000 92.978 -17.2427
155.000000 92.922 -17.7158
157.500000 92.876 -18.0759
160.000000 92.830 -18.3526
162.500000 92.775 -18.6099
165.000000 92.720 -18.8810
167.500000 92.673 -19.1348
170.000000 92.632 -19.3893
172.500000 92.580 -19.6039
175.000000 92.523 -19.7507
177.500000 92.468 -19.8564
180.000000 92.422 -19.9293
182.500000 92.385 -19.9517
185.000000 92.368 -19.9240
187.500000 92.368 -19.9688
190.000000 92.374 -20.1703
192.500000 92.370 -20.5026
195.000000 92.358 -20.8864
197.500000 92.337 -21.3186
200.000000 92.300 -21.6886
203.000000 92.255 -22.0471
206.000000 92.209 -22.4156
209.000000 92.159 -22.7693
212.000000 92.104 -23.0735
214.000000 92.064 -23.2634
218.000000 91.982 -23.6115
220.000000 91.946 -23.7634
224.000000 91.877 -24.0647
227.000000 91.822 -24.2239
230.000000 91.775 -24.3080
233.000000 91.738 -24.3933
236.000000 91.705 -24.5571
240.000000 91.657 -24.8914
243.000000 91.618 -25.1664
247.000000 91.562 -25.4547
250.000000 91.515 -25.6543
254.000000 91.446 -26.0079
258.000000 91.378 -26.3328
262.000000 91.314 -26.5781
265.000000 91.264 -26.7463
269.000000 91.195 -26.9487
272.000000 91.143 -27.0868
276.000000 91.074 -27.2666
280.000000 91.005 -27.4335
285.000000 90.924 -27.6133
290.000000 90.847 -27.7967
295.000000 90.767 -27.9653
300.000000 90.687 -28.1274
304.000000 90.626 -28.2426
307.000000 90.581 -28.3180
311.000000 90.520 -28.4164
315.000000 90.460 -28.5183
320.000000 90.389 -28.6400
