* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -30.4 dBFS, measurement signal peak level -27.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 20/05/2024 8:45:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0401 ms (-14 mm, -0.54 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: Pilgrim L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 41.330 116.1805
1.015000 41.532 114.7773
1.030000 41.735 113.4060
1.044000 41.924 112.1592
1.060000 42.139 110.7784
1.075000 42.340 109.5317
1.090000 42.540 108.3362
1.106000 42.752 107.1195
1.120000 42.940 106.0890
1.138000 43.184 104.8038
1.150000 43.349 103.9704
1.172000 43.655 102.4880
1.180000 43.767 101.9626
1.206000 44.134 100.3016
1.220000 44.334 99.4342
1.241000 44.635 98.1649
1.250000 44.765 97.6316
1.265000 44.982 96.7555
1.280000 45.199 95.8940
1.315000 45.706 93.9306
1.320000 45.778 93.6545
1.340000 46.067 92.5588
1.360000 46.355 91.4736
1.380000 46.641 90.3950
1.400000 46.925 89.3187
1.430000 47.346 87.7001
1.450000 47.622 86.6121
1.475000 47.962 85.2378
1.500000 48.300 83.8678
1.525000 48.637 82.5087
1.550000 48.973 81.1619
1.575000 49.307 79.8289
1.600000 49.640 78.5108
1.625000 49.970 77.2090
1.650000 50.298 75.9249
1.675000 50.624 74.6599
1.700000 50.946 73.4152
1.725000 51.266 72.1922
1.750000 51.582 70.9923
1.775000 51.894 69.8167
1.800000 52.202 68.6669
1.825000 52.505 67.5441
1.850000 52.805 66.4519
1.875000 53.100 65.3944
1.900000 53.392 64.3688
1.925000 53.681 63.3720
1.950000 53.967 62.4008
1.975000 54.249 61.4523
2.000000 54.528 60.5232
2.030000 54.858 59.4296
2.060000 55.184 58.3542
2.090000 55.505 57.2916
2.120000 55.822 56.2366
2.140000 56.031 55.5347
2.180000 56.443 54.1275
2.200000 56.647 53.4190
2.240000 57.047 52.0100
2.270000 57.342 50.9662
2.300000 57.631 49.9332
2.330000 57.917 48.9105
2.360000 58.198 47.8978
2.400000 58.566 46.5625
2.430000 58.837 45.5717
2.470000 59.194 44.2643
2.500000 59.457 43.2936
2.540000 59.802 42.0115
2.580000 60.141 40.7430
2.620000 60.474 39.4898
2.650000 60.718 38.5601
2.690000 61.038 37.3341
2.720000 61.274 36.4247
2.760000 61.583 35.2256
2.800000 61.885 34.0416
2.850000 62.256 32.5826
2.900000 62.619 31.1469
2.950000 62.975 29.7349
3.000000 63.322 28.3531
3.040000 63.593 27.2679
3.070000 63.792 26.4644
3.110000 64.054 25.4051
3.150000 64.310 24.3575
3.200000 64.624 23.0612
3.250000 64.932 21.7754
3.300000 65.234 20.4958
3.350000 65.530 19.2217
3.400000 65.818 17.9567
3.450000 66.098 16.7034
3.500000 66.373 15.4647
3.550000 66.642 14.2434
3.600000 66.905 13.0423
3.650000 67.164 11.8643
3.700000 67.418 10.7122
3.750000 67.666 9.5858
3.820000 68.004 8.0452
3.870000 68.240 6.9659
3.950000 68.607 5.2652
4.000000 68.832 4.2131
4.060000 69.097 2.9570
4.120000 69.355 1.7129
4.180000 69.607 0.4834
4.250000 69.894 -0.9303
4.310000 70.135 -2.1221
4.370000 70.371 -3.2939
4.440000 70.641 -4.6326
4.500000 70.868 -5.7546
4.550000 71.052 -6.6741
4.620000 71.306 -7.9421
4.680000 71.519 -9.0149
4.750000 71.763 -10.2552
4.820000 72.002 -11.4845
4.870000 72.169 -12.3528
4.940000 72.399 -13.5549
5.000000 72.592 -14.5728
5.080000 72.844 -15.9123
5.150000 73.061 -17.0679
5.220000 73.272 -18.2066
5.300000 73.508 -19.4883
5.380000 73.739 -20.7514
5.450000 73.937 -21.8430
5.520000 74.130 -22.9235
5.600000 74.347 -24.1428
5.700000 74.610 -25.6435
5.800000 74.866 -27.1190
5.900000 75.115 -28.5703
6.000000 75.356 -29.9969
6.080000 75.544 -31.1204
6.150000 75.706 -32.0903
6.220000 75.865 -33.0479
6.300000 76.042 -34.1265
6.400000 76.259 -35.4514
6.500000 76.470 -36.7524
6.600000 76.676 -38.0320
6.700000 76.877 -39.2895
6.800000 77.074 -40.5246
6.900000 77.266 -41.7390
7.000000 77.454 -42.9341
7.100000 77.638 -44.1074
7.200000 77.819 -45.2615
7.300000 77.996 -46.4001
7.400000 78.169 -47.5249
7.500000 78.339 -48.6335
7.620000 78.539 -49.9453
7.750000 78.750 -51.3468
7.880000 78.956 -52.7263
8.000000 79.141 -53.9819
8.120000 79.321 -55.2225
8.250000 79.512 -56.5488
8.380000 79.697 -57.8561
8.500000 79.863 -59.0459
8.620000 80.025 -60.2198
8.750000 80.195 -61.4723
8.850000 80.323 -62.4215
9.000000 80.509 -63.8226
9.120000 80.654 -64.9237
9.250000 80.807 -66.0961
9.380000 80.956 -67.2474
9.500000 81.091 -68.2925
9.620000 81.223 -69.3208
9.750000 81.362 -70.4154
9.880000 81.499 -71.4931
10.000000 81.623 -72.4735
10.150000 81.774 -73.6793
10.300000 81.922 -74.8681
10.440000 82.057 -75.9615
10.600000 82.208 -77.1949
10.750000 82.345 -78.3380
10.900000 82.480 -79.4674
11.060000 82.619 -80.6588
11.200000 82.738 -81.6899
11.380000 82.885 -82.9989
11.500000 82.981 -83.8613
11.720000 83.150 -85.4184
11.800000 83.209 -85.9762
12.060000 83.396 -87.7580
12.200000 83.493 -88.6954
12.410000 83.633 -90.0729
12.500000 83.692 -90.6525
12.650000 83.788 -91.6037
12.800000 83.883 -92.5389
13.150000 84.097 -94.6630
13.200000 84.127 -94.9616
13.400000 84.247 -96.1424
13.600000 84.364 -97.3110
13.800000 84.480 -98.4702
14.000000 84.592 -99.6250
14.300000 84.756 -101.3503
14.500000 84.859 -102.4962
14.750000 84.983 -103.9162
15.000000 85.098 -105.3177
15.250000 85.207 -106.6895
15.500000 85.310 -108.0249
15.750000 85.408 -109.3212
16.000000 85.502 -110.5773
16.250000 85.595 -111.8003
16.500000 85.686 -112.9955
16.750000 85.776 -114.1712
17.000000 85.865 -115.3345
17.250000 85.951 -116.4871
17.500000 86.034 -117.6304
17.750000 86.113 -118.7606
18.000000 86.189 -119.8746
18.250000 86.261 -120.9689
18.500000 86.330 -122.0410
18.750000 86.397 -123.0919
19.000000 86.461 -124.1226
19.250000 86.525 -125.1374
19.500000 86.587 -126.1397
19.750000 86.647 -127.1320
20.000000 86.705 -128.1165
20.299999 86.772 -129.2870
20.600000 86.835 -130.4439
20.900000 86.895 -131.5845
21.200001 86.951 -132.7068
21.400000 86.987 -133.4448
21.799999 87.057 -134.8990
22.000000 87.090 -135.6169
22.400000 87.154 -137.0375
22.700001 87.199 -138.0898
23.000000 87.241 -139.1284
23.299999 87.280 -140.1489
23.600000 87.317 -141.1488
24.000000 87.365 -142.4490
24.299999 87.400 -143.4027
24.700001 87.446 -144.6520
25.000000 87.479 -145.5748
25.400000 87.521 -146.7848
25.799999 87.561 -147.9645
26.200001 87.600 -149.1118
26.500000 87.629 -149.9568
26.900000 87.668 -151.0761
27.200001 87.697 -151.9182
27.600000 87.730 -153.0454
28.000000 87.757 -154.1612
28.500000 87.779 -155.5007
29.000000 87.798 -156.7565
29.500000 87.819 -157.9558
30.000000 87.844 -159.1562
30.400000 87.862 -160.1405
30.700001 87.872 -160.8896
31.100000 87.878 -161.8827
31.500000 87.878 -162.8453
32.000000 87.875 -163.9808
32.500000 87.875 -165.0512
33.000000 87.885 -166.1068
33.500000 87.901 -167.1997
34.000000 87.916 -168.3471
34.500000 87.923 -169.5181
35.000000 87.922 -170.6672
35.500000 87.917 -171.7697
36.000000 87.913 -172.8351
36.500000 87.908 -173.8815
37.000000 87.902 -174.9110
37.500000 87.893 -175.9097
38.200001 87.878 -177.2396
38.700001 87.869 -178.1507
39.500000 87.855 -179.5812
40.000000 87.846 179.5346
40.599998 87.831 178.4906
41.200001 87.815 177.4686
41.799999 87.797 176.4613
42.500000 87.773 175.2978
43.099998 87.749 174.3158
43.700001 87.723 173.3531
44.400002 87.691 172.2530
45.000000 87.662 171.3279
45.500000 87.639 170.5657
46.200001 87.606 169.5013
46.799999 87.576 168.5903
47.500000 87.539 167.5420
48.200001 87.501 166.5029
48.700001 87.472 165.7620
49.400002 87.424 164.7631
50.000000 87.381 163.9881
50.799999 87.338 163.0447
51.500000 87.313 162.2021
52.200001 87.290 161.3038
53.000000 87.253 160.2609
53.799999 87.208 159.2574
54.500000 87.165 158.4210
55.200001 87.121 157.6085
56.000000 87.068 156.6932
57.000000 86.999 155.5812
58.000000 86.932 154.5059
59.000000 86.868 153.4294
60.000000 86.804 152.3456
60.799999 86.750 151.5102
61.500000 86.705 150.8165
62.200001 86.662 150.1427
63.000000 86.616 149.3800
64.000000 86.558 148.4363
65.000000 86.496 147.5060
66.000000 86.429 146.6060
67.000000 86.361 145.7323
68.000000 86.293 144.8592
69.000000 86.223 143.9965
70.000000 86.151 143.1508
71.000000 86.079 142.3261
72.000000 86.007 141.5323
73.000000 85.938 140.7641
74.000000 85.869 140.0151
75.000000 85.803 139.2788
76.199997 85.724 138.4077
77.500000 85.638 137.4836
78.800003 85.553 136.5908
80.000000 85.475 135.7789
81.199997 85.395 134.9892
82.500000 85.307 134.1885
83.800003 85.224 133.4171
85.000000 85.150 132.7046
86.199997 85.075 132.0045
87.500000 84.994 131.2593
88.500000 84.932 130.6984
90.000000 84.838 129.8851
91.199997 84.763 129.2537
92.500000 84.683 128.5908
93.800003 84.606 127.9438
95.000000 84.537 127.3527
96.199997 84.469 126.7737
97.500000 84.397 126.1606
98.800003 84.326 125.5609
100.000000 84.259 125.0256
101.500000 84.175 124.3930
103.000000 84.094 123.7876
104.400002 84.020 123.2231
106.000000 83.936 122.5782
107.500000 83.858 121.9878
109.000000 83.783 121.4174
110.599998 83.706 120.8337
112.000000 83.641 120.3363
113.800003 83.559 119.7051
115.000000 83.503 119.2892
117.199997 83.398 118.5823
118.000000 83.363 118.3433
120.599998 83.256 117.5332
122.000000 83.197 117.0933
124.099998 83.112 116.4601
125.000000 83.077 116.1935
126.500000 83.020 115.7558
128.000000 82.965 115.3308
131.500000 82.840 114.3922
132.000000 82.821 114.2675
134.000000 82.748 113.7723
136.000000 82.678 113.2612
138.000000 82.614 112.7408
140.000000 82.557 112.2360
143.000000 82.472 111.5438
145.000000 82.414 111.0670
147.500000 82.342 110.3942
150.000000 82.267 109.7602
152.500000 82.210 109.3058
155.000000 82.161 108.8513
157.500000 82.104 108.3665
160.000000 82.048 107.8697
162.500000 81.999 107.3524
165.000000 81.951 106.8255
167.500000 81.904 106.3376
170.000000 81.863 105.8871
172.500000 81.824 105.4323
175.000000 81.785 104.9735
177.500000 81.747 104.5109
180.000000 81.711 104.0488
182.500000 81.678 103.5925
185.000000 81.646 103.1454
187.500000 81.615 102.7083
190.000000 81.588 102.2769
192.500000 81.564 101.8495
195.000000 81.538 101.4351
197.500000 81.511 101.0341
200.000000 81.488 100.6184
203.000000 81.464 100.0818
206.000000 81.442 99.5489
209.000000 81.420 99.0361
212.000000 81.399 98.5361
214.000000 81.386 98.2134
218.000000 81.362 97.5878
220.000000 81.352 97.2729
224.000000 81.333 96.6261
227.000000 81.319 96.1439
230.000000 81.305 95.6711
233.000000 81.294 95.2034
236.000000 81.284 94.7417
240.000000 81.270 94.1262
243.000000 81.262 93.6697
247.000000 81.253 93.1006
250.000000 81.247 92.6600
254.000000 81.236 92.0163
258.000000 81.228 91.3931
262.000000 81.224 90.7945
265.000000 81.221 90.3455
269.000000 81.215 89.7617
272.000000 81.212 89.3331
276.000000 81.209 88.7673
280.000000 81.206 88.2104
285.000000 81.202 87.5166
290.000000 81.202 86.8351
295.000000 81.205 86.1530
300.000000 81.208 85.4681
304.000000 81.207 84.9384
307.000000 81.207 84.5439
311.000000 81.209 84.0096
315.000000 81.210 83.4692
320.000000 81.211 82.8050
