* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -29.7 dBFS, measurement signal peak level -27.2 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 20/05/2024 8:42:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0401 ms (-14 mm, -0.54 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: Pilgrim R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 44.187 119.4217
1.015000 44.367 118.1023
1.030000 44.548 116.8087
1.044000 44.716 115.6283
1.060000 44.907 114.3156
1.075000 45.086 113.1243
1.090000 45.264 111.9755
1.106000 45.452 110.7988
1.120000 45.618 109.7965
1.138000 45.834 108.5392
1.150000 45.979 107.7194
1.172000 46.247 106.2521
1.180000 46.345 105.7293
1.206000 46.666 104.0662
1.220000 46.840 103.1916
1.241000 47.103 101.9042
1.250000 47.216 101.3606
1.265000 47.404 100.4643
1.280000 47.593 99.5789
1.315000 48.034 97.5475
1.320000 48.097 97.2604
1.340000 48.348 96.1182
1.360000 48.599 94.9828
1.380000 48.849 93.8509
1.400000 49.097 92.7191
1.430000 49.467 91.0144
1.450000 49.711 89.8684
1.475000 50.012 88.4209
1.500000 50.313 86.9688
1.525000 50.613 85.5177
1.550000 50.913 84.0704
1.575000 51.213 82.6292
1.600000 51.512 81.1968
1.625000 51.809 79.7758
1.650000 52.105 78.3685
1.675000 52.398 76.9777
1.700000 52.690 75.6059
1.725000 52.979 74.2555
1.750000 53.265 72.9293
1.775000 53.548 71.6296
1.800000 53.827 70.3591
1.825000 54.103 69.1204
1.850000 54.375 67.9159
1.875000 54.644 66.7456
1.900000 54.910 65.6066
1.925000 55.174 64.4960
1.950000 55.435 63.4111
1.975000 55.694 62.3490
2.000000 55.950 61.3069
2.030000 56.253 60.0786
2.060000 56.553 58.8700
2.090000 56.848 57.6762
2.120000 57.140 56.4922
2.140000 57.333 55.7060
2.180000 57.713 54.1343
2.200000 57.900 53.3460
2.240000 58.269 51.7806
2.270000 58.541 50.6221
2.300000 58.809 49.4763
2.330000 59.074 48.3431
2.360000 59.334 47.2220
2.400000 59.675 45.7456
2.430000 59.927 44.6517
2.470000 60.258 43.2102
2.500000 60.502 42.1415
2.540000 60.823 40.7324
2.580000 61.139 39.3412
2.620000 61.448 37.9699
2.650000 61.675 36.9546
2.690000 61.973 35.6182
2.720000 62.192 34.6287
2.760000 62.480 33.3259
2.800000 62.763 32.0418
2.850000 63.108 30.4621
2.900000 63.447 28.9100
2.950000 63.779 27.3857
3.000000 64.103 25.8967
3.040000 64.356 24.7296
3.070000 64.542 23.8668
3.110000 64.786 22.7311
3.150000 65.026 21.6099
3.200000 65.320 20.2254
3.250000 65.608 18.8551
3.300000 65.890 17.4945
3.350000 66.167 16.1436
3.400000 66.436 14.8061
3.450000 66.699 13.4846
3.500000 66.956 12.1815
3.550000 67.208 10.8991
3.600000 67.454 9.6399
3.650000 67.697 8.4064
3.700000 67.935 7.2016
3.750000 68.168 6.0258
3.820000 68.485 4.4215
3.870000 68.705 3.3001
3.950000 69.050 1.5380
4.000000 69.261 0.4506
4.060000 69.510 -0.8446
4.120000 69.753 -2.1237
4.180000 69.990 -3.3843
4.250000 70.260 -4.8296
4.310000 70.486 -6.0453
4.370000 70.709 -7.2381
4.440000 70.964 -8.5978
4.500000 71.177 -9.7341
4.550000 71.352 -10.6632
4.620000 71.592 -11.9413
4.680000 71.793 -13.0203
4.750000 72.025 -14.2655
4.820000 72.252 -15.4968
4.870000 72.411 -16.3643
4.940000 72.630 -17.5626
5.000000 72.814 -18.5755
5.080000 73.055 -19.9066
5.150000 73.262 -21.0540
5.220000 73.465 -22.1825
5.300000 73.692 -23.4504
5.380000 73.914 -24.6984
5.450000 74.105 -25.7771
5.520000 74.292 -26.8454
5.600000 74.502 -28.0505
5.700000 74.758 -29.5334
5.800000 75.006 -30.9926
5.900000 75.249 -32.4303
6.000000 75.484 -33.8459
6.080000 75.668 -34.9621
6.150000 75.826 -35.9266
6.220000 75.980 -36.8799
6.300000 76.153 -37.9554
6.400000 76.364 -39.2789
6.500000 76.569 -40.5797
6.600000 76.769 -41.8587
6.700000 76.963 -43.1161
6.800000 77.152 -44.3515
6.900000 77.336 -45.5643
7.000000 77.516 -46.7538
7.100000 77.692 -47.9190
7.200000 77.863 -49.0620
7.300000 78.031 -50.1850
7.400000 78.196 -51.2886
7.500000 78.357 -52.3711
7.620000 78.546 -53.6463
7.750000 78.747 -55.0027
7.880000 78.944 -56.3295
8.000000 79.121 -57.5341
8.120000 79.295 -58.7253
8.250000 79.480 -59.9968
8.380000 79.661 -61.2537
8.500000 79.824 -62.4053
8.620000 79.984 -63.5467
8.750000 80.152 -64.7727
8.850000 80.278 -65.7096
9.000000 80.461 -67.1050
9.120000 80.603 -68.2089
9.250000 80.751 -69.3911
9.380000 80.894 -70.5603
9.500000 81.020 -71.6215
9.620000 81.143 -72.6629
9.750000 81.271 -73.7709
9.880000 81.394 -74.8525
10.000000 81.505 -75.8247
10.150000 81.639 -77.0074
10.300000 81.770 -78.1539
10.440000 81.890 -79.1887
10.600000 82.025 -80.3398
10.750000 82.152 -81.3929
10.900000 82.278 -82.4224
11.060000 82.413 -83.5131
11.200000 82.530 -84.4580
11.380000 82.680 -85.6755
11.500000 82.779 -86.4927
11.720000 82.955 -87.9992
11.800000 83.017 -88.5516
12.060000 83.210 -90.3556
12.200000 83.307 -91.3227
12.410000 83.444 -92.7618
12.500000 83.499 -93.3639
12.650000 83.586 -94.3532
12.800000 83.669 -95.3131
13.150000 83.852 -97.4105
13.200000 83.878 -97.6949
13.400000 83.981 -98.7889
13.600000 84.087 -99.8410
13.800000 84.198 -100.8559
14.000000 84.314 -101.8727
14.300000 84.495 -103.4247
14.500000 84.618 -104.5105
14.750000 84.767 -105.9301
15.000000 84.905 -107.4166
15.250000 85.027 -108.9410
15.500000 85.131 -110.4569
15.750000 85.217 -111.9329
16.000000 85.288 -113.3242
16.250000 85.352 -114.6142
16.500000 85.412 -115.8035
16.750000 85.475 -116.9019
17.000000 85.543 -117.9466
17.250000 85.616 -118.9601
17.500000 85.694 -119.9703
17.750000 85.774 -120.9939
18.000000 85.852 -122.0293
18.250000 85.927 -123.0741
18.500000 85.997 -124.1123
18.750000 86.064 -125.1373
19.000000 86.127 -126.1431
19.250000 86.189 -127.1313
19.500000 86.251 -128.1088
19.750000 86.310 -129.0810
20.000000 86.368 -130.0551
20.299999 86.433 -131.2229
20.600000 86.492 -132.3813
20.900000 86.545 -133.5165
21.200001 86.593 -134.6151
21.400000 86.624 -135.3252
21.799999 86.685 -136.7017
22.000000 86.717 -137.3759
22.400000 86.780 -138.7153
22.700001 86.826 -139.7211
23.000000 86.869 -140.7269
23.299999 86.908 -141.7226
23.600000 86.943 -142.6985
24.000000 86.987 -143.9589
24.299999 87.019 -144.8747
24.700001 87.063 -146.0686
25.000000 87.096 -146.9554
25.400000 87.140 -148.1371
25.799999 87.181 -149.3203
26.200001 87.217 -150.4978
26.500000 87.241 -151.3702
26.900000 87.268 -152.5106
27.200001 87.286 -153.3436
27.600000 87.307 -154.4200
28.000000 87.327 -155.4573
28.500000 87.355 -156.7128
29.000000 87.385 -157.9558
29.500000 87.415 -159.2171
30.000000 87.438 -160.4938
30.400000 87.448 -161.4973
30.700001 87.451 -162.2218
31.100000 87.455 -163.1403
31.500000 87.462 -164.0170
32.000000 87.475 -165.1011
32.500000 87.489 -166.2152
33.000000 87.494 -167.3462
33.500000 87.490 -168.4424
34.000000 87.482 -169.4810
34.500000 87.476 -170.4950
35.000000 87.466 -171.5114
35.500000 87.449 -172.4975
36.000000 87.430 -173.3975
36.500000 87.421 -174.2250
37.000000 87.430 -175.0822
37.500000 87.444 -176.0578
38.200001 87.443 -177.5682
38.700001 87.422 -178.6108
39.500000 87.385 179.9106
40.000000 87.371 179.0379
40.599998 87.356 177.9838
41.200001 87.339 176.9424
41.799999 87.319 175.9421
42.500000 87.296 174.8164
43.099998 87.273 173.8722
43.700001 87.247 172.9568
44.400002 87.213 171.9367
45.000000 87.185 171.0822
45.500000 87.160 170.3603
46.200001 87.119 169.3447
46.799999 87.081 168.5107
47.500000 87.044 167.5538
48.200001 87.011 166.5063
48.700001 86.976 165.7236
49.400002 86.912 164.7475
50.000000 86.867 164.0693
50.799999 86.844 163.1537
51.500000 86.826 162.1998
52.200001 86.789 161.2505
53.000000 86.742 160.2951
53.799999 86.702 159.3622
54.500000 86.659 158.5411
55.200001 86.611 157.7778
56.000000 86.559 156.9502
57.000000 86.497 155.8763
58.000000 86.428 154.7935
59.000000 86.358 153.7552
60.000000 86.292 152.7685
60.799999 86.247 151.9838
61.500000 86.207 151.2695
62.200001 86.161 150.5537
63.000000 86.099 149.7953
64.000000 86.025 148.9376
65.000000 85.955 148.0857
66.000000 85.882 147.2176
67.000000 85.806 146.3851
68.000000 85.735 145.5861
69.000000 85.669 144.7793
70.000000 85.603 143.9846
71.000000 85.539 143.2096
72.000000 85.472 142.4395
73.000000 85.400 141.7067
74.000000 85.328 141.0208
75.000000 85.259 140.3502
76.199997 85.181 139.5410
77.500000 85.098 138.6577
78.800003 85.016 137.7881
80.000000 84.939 137.0228
81.199997 84.863 136.2928
82.500000 84.779 135.5211
83.800003 84.692 134.7719
85.000000 84.611 134.1024
86.199997 84.531 133.4550
87.500000 84.449 132.7700
88.500000 84.389 132.2457
90.000000 84.298 131.4854
91.199997 84.227 130.9044
92.500000 84.152 130.2859
93.800003 84.075 129.6682
95.000000 84.004 129.1143
96.199997 83.934 128.5810
97.500000 83.861 128.0207
98.800003 83.789 127.4810
100.000000 83.726 126.9911
101.500000 83.645 126.3846
103.000000 83.564 125.7989
104.400002 83.490 125.2714
106.000000 83.407 124.6913
107.500000 83.332 124.1580
109.000000 83.258 123.6346
110.599998 83.182 123.0849
112.000000 83.116 122.6088
113.800003 83.032 122.0172
115.000000 82.979 121.6378
117.199997 82.883 120.9552
118.000000 82.847 120.7169
120.599998 82.736 119.9846
122.000000 82.680 119.5988
124.099998 82.598 119.0264
125.000000 82.564 118.7864
126.500000 82.509 118.3937
128.000000 82.455 118.0071
131.500000 82.337 117.1181
132.000000 82.320 116.9939
134.000000 82.254 116.5076
136.000000 82.185 116.0619
138.000000 82.118 115.6312
140.000000 82.055 115.1808
143.000000 81.972 114.4996
145.000000 81.919 114.0917
147.500000 81.846 113.6887
150.000000 81.785 113.3020
152.500000 81.730 112.6893
155.000000 81.672 112.0858
157.500000 81.623 111.5817
160.000000 81.573 111.1107
162.500000 81.521 110.6493
165.000000 81.475 110.2034
167.500000 81.434 109.7662
170.000000 81.395 109.3161
172.500000 81.356 108.8588
175.000000 81.320 108.4184
177.500000 81.287 108.0033
180.000000 81.255 107.5831
182.500000 81.224 107.1538
185.000000 81.193 106.7342
187.500000 81.164 106.3287
190.000000 81.137 105.9254
192.500000 81.115 105.5150
195.000000 81.094 105.0829
197.500000 81.073 104.6434
200.000000 81.050 104.2364
203.000000 81.030 103.7902
206.000000 81.012 103.3395
209.000000 80.995 102.8726
212.000000 80.977 102.4018
214.000000 80.966 102.0924
218.000000 80.946 101.4715
220.000000 80.937 101.1616
224.000000 80.925 100.5444
227.000000 80.917 100.0815
230.000000 80.910 99.6199
233.000000 80.903 99.1646
236.000000 80.897 98.7203
240.000000 80.887 98.1293
243.000000 80.881 97.6866
247.000000 80.868 97.0845
250.000000 80.860 96.6377
254.000000 80.862 96.0594
258.000000 80.866 95.4904
262.000000 80.867 94.9336
265.000000 80.864 94.5277
269.000000 80.863 93.9450
272.000000 80.866 93.4833
276.000000 80.871 92.8991
280.000000 80.874 92.3445
285.000000 80.880 91.6801
290.000000 80.884 90.9896
295.000000 80.889 90.2844
300.000000 80.893 89.5996
304.000000 80.898 89.0695
307.000000 80.902 88.6746
311.000000 80.906 88.1483
315.000000 80.911 87.6306
320.000000 80.919 86.9936
