* Measurement data measured by REW V5.31.3
* Source: A [plughw:5,0], Headset (Headset), 0, volume: 0.100
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 20/04/2025 4:44:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: PolarNight Black Foam L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 33.735 153.7161
0.732422 32.398 127.2705
1.098633 30.639 101.8399
1.464844 29.447 81.5928
1.831055 30.150 69.4574
2.197266 32.757 58.9254
2.563477 35.692 45.1411
2.929688 37.893 29.6349
3.295898 39.002 14.9268
3.662109 38.872 4.0510
4.028320 37.567 3.2034
4.394531 36.925 21.8911
4.760742 40.057 41.5109
5.126953 44.015 42.9133
5.493164 47.033 35.4819
5.859375 49.143 25.3522
6.225586 50.553 15.0772
6.591797 51.438 6.0008
6.958008 51.964 -0.9599
7.324219 52.325 -5.2143
7.690430 52.757 -6.8186
8.056641 53.458 -6.8740
8.422852 54.446 -7.1113
8.789062 55.554 -8.6664
9.155273 56.580 -11.5146
9.521484 57.411 -14.8981
9.887695 58.044 -17.9272
10.253906 58.565 -20.0252
10.620117 59.091 -21.2383
10.986328 59.690 -22.1959
11.352539 60.324 -23.5702
11.718750 60.904 -25.5229
12.084961 61.367 -27.6858
12.451172 61.725 -29.5489
12.817383 62.049 -30.8914
13.183594 62.405 -31.9602
13.549805 62.796 -33.2200
13.916016 63.166 -34.8831
14.282227 63.461 -36.7084
14.648438 63.680 -38.2183
15.014648 63.888 -39.0932
15.380859 64.162 -39.4471
15.747070 64.539 -39.7360
16.113281 64.987 -40.3627
16.479492 65.456 -41.4179
16.845703 65.909 -42.7841
17.211914 66.336 -44.3547
17.578125 66.718 -46.0764
17.944336 67.029 -47.8040
18.310547 67.258 -49.1931
18.676758 67.449 -49.8524
19.042969 67.696 -49.7582
19.409180 68.076 -49.5530
19.775391 68.545 -50.1608
20.141602 68.945 -51.9342
20.507812 69.124 -54.2591
20.874023 69.038 -55.7994
21.240234 68.830 -55.1278
21.606445 68.844 -51.9969
21.972656 69.357 -48.5503
22.338867 70.227 -47.6526
22.705078 71.059 -50.0536
23.071289 71.570 -54.6001
23.437500 71.670 -59.5961
23.803711 71.418 -63.4394
24.169922 71.009 -65.0043
24.536133 70.727 -64.3109
24.902344 70.758 -62.8528
25.268555 71.030 -62.3600
25.634766 71.330 -63.2847
26.000977 71.520 -64.9441
26.367188 71.602 -66.4747
26.733398 71.658 -67.4964
27.099609 71.760 -68.2404
27.465820 71.900 -69.1356
27.832031 72.018 -70.2693
28.198242 72.077 -71.2826
28.564453 72.110 -71.7326
28.930664 72.202 -71.5730
29.296875 72.415 -71.3200
29.663086 72.716 -71.6393
30.029297 73.005 -72.7595
30.395508 73.196 -74.3350
30.761719 73.273 -75.7547
31.127930 73.295 -76.5617
31.494141 73.350 -76.7648
31.860352 73.489 -76.8321
32.226562 73.683 -77.2866
32.592773 73.856 -78.2664
32.958984 73.948 -79.4557
33.325195 73.959 -80.3455
33.691406 73.950 -80.5927
34.057617 74.008 -80.2956
34.423828 74.175 -79.9716
34.790039 74.419 -80.1726
35.156250 74.658 -81.0755
35.522461 74.822 -82.4164
35.888672 74.892 -83.7127
36.254883 74.906 -84.5569
36.621094 74.933 -84.8542
36.987305 75.030 -84.8860
37.353516 75.197 -85.1049
37.719727 75.386 -85.7966
38.085938 75.535 -86.9061
38.452148 75.610 -88.1221
38.818359 75.620 -89.0899
39.184570 75.609 -89.6121
39.550781 75.626 -89.7496
39.916992 75.695 -89.7626
40.283203 75.807 -89.9211
40.649414 75.929 -90.3407
41.015625 76.034 -90.9589
41.381836 76.110 -91.6298
41.748047 76.166 -92.2347
42.114258 76.216 -92.7407
42.480469 76.271 -93.1890
42.846680 76.333 -93.6408
43.212891 76.395 -94.1262
43.579102 76.452 -94.6314
43.945312 76.504 -95.1175
44.311523 76.553 -95.5516
44.677734 76.607 -95.9268
45.043945 76.672 -96.2664
45.410156 76.749 -96.6144
45.776367 76.839 -97.0189
46.142578 76.935 -97.5176
46.508789 77.030 -98.1254
46.875000 77.114 -98.8287
47.241211 77.180 -99.5854
47.607422 77.225 -100.3317
47.973633 77.251 -100.9975
48.339844 77.266 -101.5274
48.706055 77.280 -101.9022
49.072266 77.306 -102.1514
49.438477 77.349 -102.3421
49.804688 77.407 -102.5488
50.170898 77.475 -102.8157
50.537109 77.542 -103.1394
50.903320 77.604 -103.4817
51.269531 77.666 -103.8066
51.635742 77.734 -104.1173
52.001953 77.812 -104.4650
52.368164 77.896 -104.9184
52.734375 77.974 -105.5103
53.100586 78.031 -106.1990
53.466797 78.061 -106.8756
53.833008 78.071 -107.4189
54.199219 78.081 -107.7717
54.565430 78.112 -107.9923
54.931641 78.172 -108.2312
55.297852 78.249 -108.6317
55.664062 78.316 -109.2217
56.030273 78.352 -109.8826
56.396484 78.358 -110.4187
56.762695 78.355 -110.6899
57.128906 78.377 -110.7249
57.495117 78.444 -110.7227
57.861328 78.542 -110.9108
58.227539 78.636 -111.3663
58.593750 78.694 -111.9540
58.959961 78.715 -112.4257
59.326172 78.726 -112.6088
59.692383 78.769 -112.5592
60.058594 78.863 -112.5478
60.424805 78.985 -112.8540
60.791016 79.087 -113.5385
61.157227 79.129 -114.3917
61.523438 79.111 -115.0765
61.889648 79.070 -115.3565
62.255859 79.061 -115.2740
62.622070 79.112 -115.1334
62.988281 79.207 -115.2660
63.354492 79.298 -115.7760
63.720703 79.347 -116.4964
64.086914 79.351 -117.1521
64.453125 79.338 -117.5753
64.819336 79.344 -117.8197
65.185547 79.377 -118.0837
65.551758 79.417 -118.5076
65.917969 79.437 -119.0384
66.284180 79.430 -119.4834
66.650391 79.418 -119.6938
67.016602 79.436 -119.7192
67.382812 79.494 -119.7856
67.749023 79.572 -120.0952
68.115234 79.628 -120.6373
68.481445 79.642 -121.1889
68.847656 79.628 -121.4953
69.213867 79.628 -121.4892
69.580078 79.679 -121.3748
69.946289 79.773 -121.4734
70.312500 79.868 -121.9516
70.678711 79.918 -122.6889
71.044922 79.907 -123.3774
71.411133 79.862 -123.7484
71.777344 79.831 -123.7678
72.143555 79.848 -123.6589
72.509766 79.904 -123.7137
72.875977 79.963 -124.0539
73.242188 79.993 -124.5629
73.608398 79.990 -125.0160
73.974609 79.978 -125.2754
74.340820 79.988 -125.3980
74.707031 80.028 -125.5713
75.073242 80.078 -125.9353
75.439453 80.112 -126.4580
75.805664 80.117 -126.9710
76.171875 80.109 -127.3175
76.538086 80.116 -127.4888
76.904297 80.153 -127.6360
77.270508 80.211 -127.9375
77.636719 80.260 -128.4393
78.002930 80.277 -129.0102
78.369141 80.262 -129.4402
78.735352 80.243 -129.6020
79.101562 80.251 -129.5580
79.467773 80.301 -129.5238
79.833984 80.373 -129.7016
80.200195 80.434 -130.1277
80.566406 80.460 -130.6594
80.932617 80.451 -131.0906
81.298828 80.431 -131.3023
81.665039 80.429 -131.3444
82.031250 80.457 -131.3888
82.397461 80.499 -131.5885
82.763672 80.534 -131.9645
83.129883 80.543 -132.4077
83.496094 80.532 -132.7777
83.862305 80.517 -133.0103
84.228516 80.517 -133.1571
84.594727 80.536 -133.3311
84.960938 80.562 -133.6090
85.327148 80.582 -133.9769
85.693359 80.590 -134.3565
86.059570 80.592 -134.6771
86.425781 80.598 -134.9309
86.791992 80.615 -135.1697
87.158203 80.639 -135.4512
87.524414 80.660 -135.7864
87.890625 80.671 -136.1297
88.256836 80.672 -136.4149
88.623047 80.671 -136.6025
88.989258 80.678 -136.7031
89.355469 80.697 -136.7642
89.721680 80.727 -136.8371
90.087891 80.762 -136.9505
90.454102 80.799 -137.1096
90.820312 80.834 -137.3106
91.186523 80.866 -137.5534
91.552734 80.892 -137.8388
91.918945 80.907 -138.1560
92.285156 80.910 -138.4731
92.651367 80.902 -138.7461
93.017578 80.888 -138.9434
93.383789 80.879 -139.0703
93.750000 80.880 -139.1721
94.116211 80.891 -139.3074
94.482422 80.906 -139.5077
94.848633 80.917 -139.7582
95.214844 80.925 -140.0162
95.581055 80.933 -140.2561
95.947266 80.947 -140.4998
96.313477 80.969 -140.8012
96.679688 80.987 -141.1898
97.045898 80.991 -141.6237
97.412109 80.978 -141.9996
97.778320 80.960 -142.2250
98.144531 80.957 -142.3033
98.510742 80.983 -142.3570
98.876953 81.033 -142.5510
99.243164 81.081 -142.9657
99.609375 81.099 -143.5287
99.975586 81.078 -144.0558
100.341797 81.029 -144.3675
100.708008 80.982 -144.4034
101.074219 80.962 -144.2574
101.440430 80.974 -144.1028
101.806641 81.006 -144.0688
102.172852 81.040 -144.1743
102.539062 81.063 -144.3594
102.905273 81.078 -144.5637
103.271484 81.088 -144.7747
103.637695 81.096 -145.0123
104.003906 81.096 -145.2805
104.370117 81.084 -145.5417
104.736328 81.066 -145.7429
105.102539 81.049 -145.8642
105.468750 81.044 -145.9427
105.834961 81.051 -146.0446
106.201172 81.064 -146.2113
106.567383 81.075 -146.4331
106.933594 81.082 -146.6697
107.299805 81.089 -146.8963
107.666016 81.097 -147.1236
108.032227 81.107 -147.3766
108.398438 81.112 -147.6537
108.764648 81.109 -147.9119
109.130859 81.101 -148.0979
109.497070 81.099 -148.1982
109.863281 81.110 -148.2619
110.229492 81.135 -148.3705
110.595703 81.163 -148.5744
110.961914 81.181 -148.8551
111.328125 81.184 -149.1412
111.694336 81.177 -149.3650
112.060547 81.170 -149.5099
112.426758 81.169 -149.6148
112.792969 81.174 -149.7322
113.159180 81.179 -149.8826
113.525391 81.180 -150.0424
113.891602 81.179 -150.1763
114.257812 81.181 -150.2783
114.624023 81.192 -150.3856
114.990234 81.209 -150.5505
115.356445 81.223 -150.7956
115.722656 81.227 -151.0912
116.088867 81.218 -151.3733
116.455078 81.202 -151.5865
116.821289 81.187 -151.7194
117.187500 81.182 -151.8077
117.553711 81.187 -151.9048
117.919922 81.197 -152.0466
118.286133 81.206 -152.2363
118.652344 81.211 -152.4549
119.018555 81.209 -152.6803
119.384766 81.202 -152.8960
119.750977 81.189 -153.0842
120.117188 81.170 -153.2176
120.483398 81.151 -153.2663
120.849609 81.140 -153.2228
121.215820 81.147 -153.1274
121.582031 81.176 -153.0678
121.948242 81.222 -153.1414
122.314453 81.269 -153.4009
122.680664 81.300 -153.8205
123.046875 81.302 -154.3044
123.413086 81.277 -154.7312
123.779297 81.235 -155.0100
124.145508 81.194 -155.1184
124.511719 81.167 -155.1047
124.877930 81.159 -155.0522
125.244141 81.168 -155.0324
125.610352 81.184 -155.0776
125.976562 81.203 -155.1858
126.342773 81.222 -155.3444
126.708984 81.238 -155.5470
127.075195 81.249 -155.7906
127.441406 81.252 -156.0593
127.807617 81.244 -156.3166
128.173828 81.228 -156.5189
128.540039 81.212 -156.6467
128.906250 81.204 -156.7268
129.272461 81.206 -156.8236
129.638672 81.211 -156.9936
130.004883 81.208 -157.2372
130.371094 81.188 -157.4863
130.737305 81.154 -157.6435
131.103516 81.120 -157.6525
131.469727 81.103 -157.5505
131.835938 81.113 -157.4577
132.202148 81.138 -157.4966
132.568359 81.159 -157.7014
132.934570 81.158 -157.9877
133.300781 81.133 -158.2064
133.666992 81.101 -158.2464
134.033203 81.086 -158.1201
134.399414 81.105 -157.9680
134.765625 81.150 -157.9651
135.131836 81.198 -158.1975
135.498047 81.222 -158.6045
135.864258 81.211 -159.0222
136.230469 81.176 -159.2888
136.596680 81.142 -159.3454
136.962891 81.130 -159.2706
137.329102 81.147 -159.2236
137.695312 81.178 -159.3331
138.061523 81.202 -159.6163
138.427734 81.203 -159.9830
138.793945 81.178 -160.3019
139.160156 81.142 -160.4818
139.526367 81.110 -160.5159
139.892578 81.095 -160.4723
140.258789 81.098 -160.4413
140.625000 81.111 -160.4822
140.991211 81.126 -160.6019
141.357422 81.136 -160.7715
141.723633 81.140 -160.9569
142.089844 81.141 -161.1397
142.456055 81.139 -161.3184
142.822266 81.136 -161.4966
143.188477 81.130 -161.6706
143.554688 81.121 -161.8279
