* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -22.9 dBFS, measurement signal peak level -22.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 17/04/2024 9:41:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0600 ms (-21 mm, -0.81 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: Project ACE L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 38.841 111.0152
1.015000 39.083 109.9823
1.030000 39.323 108.9773
1.044000 39.545 108.0677
1.060000 39.795 107.0654
1.075000 40.026 106.1654
1.090000 40.254 105.3075
1.106000 40.493 104.4416
1.120000 40.700 103.7214
1.138000 40.965 102.8417
1.150000 41.140 102.2823
1.172000 41.460 101.3076
1.180000 41.575 100.9682
1.206000 41.948 99.9144
1.220000 42.146 99.3745
1.241000 42.443 98.5952
1.250000 42.569 98.2709
1.265000 42.778 97.7412
1.280000 42.986 97.2226
1.315000 43.467 96.0416
1.320000 43.535 95.8748
1.340000 43.806 95.2083
1.360000 44.075 94.5385
1.380000 44.341 93.8592
1.400000 44.606 93.1642
1.430000 44.999 92.0787
1.450000 45.259 91.3173
1.475000 45.580 90.3153
1.500000 45.898 89.2790
1.525000 46.213 88.2189
1.550000 46.524 87.1400
1.575000 46.831 86.0473
1.600000 47.136 84.9456
1.625000 47.436 83.8401
1.650000 47.734 82.7356
1.675000 48.028 81.6372
1.700000 48.320 80.5497
1.725000 48.608 79.4781
1.750000 48.892 78.4275
1.775000 49.174 77.4028
1.800000 49.453 76.4089
1.825000 49.729 75.4508
1.850000 50.001 74.5299
1.875000 50.271 73.6385
1.900000 50.536 72.7737
1.925000 50.798 71.9326
1.950000 51.057 71.1124
1.975000 51.313 70.3102
2.000000 51.565 69.5234
2.030000 51.865 68.5953
2.060000 52.160 67.6804
2.090000 52.452 66.7737
2.120000 52.739 65.8705
2.140000 52.929 65.2678
2.180000 53.305 64.0548
2.200000 53.491 63.4417
2.240000 53.857 62.2148
2.270000 54.127 61.2994
2.300000 54.392 60.3888
2.330000 54.654 59.4837
2.360000 54.913 58.5845
2.400000 55.251 57.3961
2.430000 55.502 56.5134
2.470000 55.831 55.3491
2.500000 56.074 54.4861
2.540000 56.395 53.3504
2.580000 56.711 52.2325
2.620000 57.021 51.1294
2.650000 57.250 50.3113
2.690000 57.550 49.2331
2.720000 57.772 48.4342
2.760000 58.063 47.3821
2.800000 58.350 46.3455
2.850000 58.702 45.0720
2.900000 59.049 43.8238
2.950000 59.390 42.6027
3.000000 59.724 41.4166
3.040000 59.986 40.4905
3.070000 60.179 39.8071
3.110000 60.434 38.9082
3.150000 60.685 38.0205
3.200000 60.994 36.9218
3.250000 61.298 35.8293
3.300000 61.598 34.7367
3.350000 61.893 33.6439
3.400000 62.182 32.5561
3.450000 62.467 31.4765
3.500000 62.746 30.4086
3.550000 63.021 29.3556
3.600000 63.292 28.3208
3.650000 63.559 27.3077
3.700000 63.823 26.3203
3.750000 64.082 25.3592
3.820000 64.438 24.0481
3.870000 64.687 23.1291
3.950000 65.079 21.6742
4.000000 65.320 20.7666
4.060000 65.605 19.6721
4.120000 65.885 18.5785
4.180000 66.159 17.4900
4.250000 66.474 16.2311
4.310000 66.738 15.1652
4.370000 66.999 14.1149
4.440000 67.297 12.9132
4.500000 67.548 11.9028
4.550000 67.754 11.0720
4.620000 68.037 9.9220
4.680000 68.275 8.9449
4.750000 68.548 7.8102
4.820000 68.816 6.6785
4.870000 69.003 5.8742
4.940000 69.262 4.7558
5.000000 69.479 3.8059
5.080000 69.762 2.5549
5.150000 70.006 1.4772
5.220000 70.244 0.4143
5.300000 70.510 -0.7837
5.380000 70.769 -1.9645
5.450000 70.992 -2.9840
5.520000 71.211 -3.9911
5.600000 71.456 -5.1265
5.700000 71.753 -6.5223
5.800000 72.044 -7.8918
5.900000 72.327 -9.2351
6.000000 72.603 -10.5515
6.080000 72.819 -11.5859
6.150000 73.004 -12.4778
6.220000 73.187 -13.3577
6.300000 73.393 -14.3475
6.400000 73.645 -15.5605
6.500000 73.891 -16.7513
6.600000 74.133 -17.9247
6.700000 74.370 -19.0799
6.800000 74.602 -20.2160
6.900000 74.830 -21.3354
7.000000 75.054 -22.4402
7.100000 75.274 -23.5277
7.200000 75.489 -24.6003
7.300000 75.701 -25.6614
7.400000 75.908 -26.7128
7.500000 76.112 -27.7527
7.620000 76.351 -28.9862
7.750000 76.604 -30.3059
7.880000 76.851 -31.6077
8.000000 77.073 -32.7945
8.120000 77.289 -33.9679
8.250000 77.518 -35.2237
8.380000 77.740 -36.4632
8.500000 77.941 -37.5930
8.620000 78.136 -38.7090
8.750000 78.342 -39.9023
8.850000 78.497 -40.8091
9.000000 78.723 -42.1512
9.120000 78.899 -43.2091
9.250000 79.085 -44.3394
9.380000 79.266 -45.4532
9.500000 79.429 -46.4661
9.620000 79.588 -47.4641
9.750000 79.755 -48.5285
9.880000 79.919 -49.5756
10.000000 80.066 -50.5263
10.150000 80.246 -51.6940
10.300000 80.422 -52.8395
10.440000 80.582 -53.8879
10.600000 80.760 -55.0649
10.750000 80.924 -56.1495
10.900000 81.085 -57.2162
11.060000 81.253 -58.3398
11.200000 81.397 -59.3099
11.380000 81.578 -60.5444
11.500000 81.696 -61.3605
11.720000 81.908 -62.8426
11.800000 81.983 -63.3779
12.060000 82.220 -65.1024
12.200000 82.343 -66.0206
12.410000 82.522 -67.3834
12.500000 82.597 -67.9606
12.650000 82.718 -68.9144
12.800000 82.836 -69.8562
13.150000 83.100 -72.0034
13.200000 83.136 -72.3044
13.400000 83.279 -73.4941
13.600000 83.418 -74.6623
13.800000 83.552 -75.8095
14.000000 83.682 -76.9374
14.300000 83.871 -78.5936
14.500000 83.992 -79.6743
14.750000 84.139 -80.9979
15.000000 84.281 -82.2908
15.250000 84.418 -83.5530
15.500000 84.552 -84.7873
15.750000 84.682 -85.9963
16.000000 84.810 -87.1846
16.250000 84.934 -88.3569
16.500000 85.055 -89.5151
16.750000 85.172 -90.6611
17.000000 85.285 -91.7936
17.250000 85.393 -92.9110
17.500000 85.497 -94.0113
17.750000 85.596 -95.0917
18.000000 85.691 -96.1511
18.250000 85.783 -97.1887
18.500000 85.870 -98.2039
18.750000 85.955 -99.1970
19.000000 86.037 -100.1683
19.250000 86.117 -101.1187
19.500000 86.194 -102.0500
19.750000 86.270 -102.9640
20.000000 86.344 -103.8638
20.299999 86.431 -104.9285
20.600000 86.514 -105.9793
20.900000 86.595 -107.0171
21.200001 86.672 -108.0408
21.400000 86.721 -108.7134
21.799999 86.815 -110.0326
22.000000 86.861 -110.6781
22.400000 86.948 -111.9413
22.700001 87.012 -112.8665
23.000000 87.073 -113.7757
23.299999 87.134 -114.6713
23.600000 87.192 -115.5549
24.000000 87.267 -116.7162
24.299999 87.320 -117.5738
24.700001 87.386 -118.6951
25.000000 87.432 -119.5131
25.400000 87.489 -120.5644
25.799999 87.545 -121.5678
26.200001 87.602 -122.5350
26.500000 87.646 -123.2508
26.900000 87.703 -124.2081
27.200001 87.744 -124.9317
27.600000 87.793 -125.8950
28.000000 87.835 -126.8373
28.500000 87.883 -127.9685
29.000000 87.928 -129.0633
29.500000 87.970 -130.1458
30.000000 88.006 -131.2077
30.400000 88.031 -132.0234
30.700001 88.050 -132.6140
31.100000 88.077 -133.3914
31.500000 88.106 -134.1812
32.000000 88.136 -135.1942
32.500000 88.155 -136.1830
33.000000 88.168 -137.0760
33.500000 88.189 -137.8770
34.000000 88.224 -138.6712
34.500000 88.262 -139.5280
35.000000 88.292 -140.4262
35.500000 88.311 -141.2907
36.000000 88.327 -142.0855
36.500000 88.346 -142.8398
37.000000 88.365 -143.5940
37.500000 88.381 -144.3474
38.200001 88.396 -145.3545
38.700001 88.406 -146.0393
39.500000 88.422 -147.1326
40.000000 88.427 -147.8112
40.599998 88.429 -148.5945
41.200001 88.431 -149.3456
41.799999 88.434 -150.0846
42.500000 88.436 -150.9327
43.099998 88.437 -151.6327
43.700001 88.439 -152.3067
44.400002 88.443 -153.0735
45.000000 88.445 -153.7249
45.500000 88.445 -154.2621
46.200001 88.440 -154.9851
46.799999 88.434 -155.5690
47.500000 88.427 -156.2447
48.200001 88.411 -156.9254
48.700001 88.392 -157.3676
49.400002 88.370 -157.8789
50.000000 88.367 -158.2964
50.799999 88.375 -158.9988
51.500000 88.367 -159.7125
52.200001 88.347 -160.3736
53.000000 88.327 -161.0433
53.799999 88.313 -161.7011
54.500000 88.301 -162.2697
55.200001 88.288 -162.8139
56.000000 88.273 -163.4067
57.000000 88.252 -164.1089
58.000000 88.229 -164.7783
59.000000 88.201 -165.4100
60.000000 88.174 -166.0178
60.799999 88.150 -166.5023
61.500000 88.128 -166.9117
62.200001 88.106 -167.3010
63.000000 88.085 -167.7389
64.000000 88.059 -168.2989
65.000000 88.029 -168.8392
66.000000 88.000 -169.3344
67.000000 87.974 -169.8216
68.000000 87.944 -170.3059
69.000000 87.913 -170.7660
70.000000 87.882 -171.2135
71.000000 87.849 -171.6438
72.000000 87.817 -172.0515
73.000000 87.785 -172.4445
74.000000 87.754 -172.8202
75.000000 87.723 -173.1832
76.199997 87.686 -173.6093
77.500000 87.645 -174.0565
78.800003 87.603 -174.4833
80.000000 87.566 -174.8667
81.199997 87.529 -175.2373
82.500000 87.490 -175.6106
83.800003 87.453 -175.9739
85.000000 87.417 -176.2981
86.199997 87.382 -176.6029
87.500000 87.345 -176.9243
88.500000 87.317 -177.1757
90.000000 87.272 -177.5407
91.199997 87.237 -177.8119
92.500000 87.199 -178.0894
93.800003 87.162 -178.3534
95.000000 87.128 -178.5866
96.199997 87.094 -178.8009
97.500000 87.060 -179.0240
98.800003 87.028 -179.2642
100.000000 86.994 -179.4936
101.500000 86.948 -179.7360
103.000000 86.905 -179.9436
104.400002 86.867 179.8730
106.000000 86.825 179.6657
107.500000 86.784 179.4746
109.000000 86.744 179.2930
110.599998 86.702 179.1092
112.000000 86.666 178.9580
113.800003 86.621 178.7773
115.000000 86.592 178.6650
117.199997 86.537 178.4765
118.000000 86.518 178.4130
120.599998 86.457 178.2019
122.000000 86.423 178.0918
124.099998 86.373 177.9506
125.000000 86.353 177.8984
126.500000 86.320 177.8180
128.000000 86.288 177.7395
131.500000 86.213 177.5517
132.000000 86.202 177.5244
134.000000 86.159 177.4241
136.000000 86.117 177.3635
138.000000 86.078 177.3292
140.000000 86.039 177.2895
143.000000 85.981 177.2075
145.000000 85.946 177.1712
147.500000 85.908 177.1924
150.000000 85.874 177.1914
152.500000 85.821 177.1310
155.000000 85.767 177.0991
157.500000 85.723 177.0729
160.000000 85.683 177.0739
162.500000 85.644 177.0999
165.000000 85.605 177.1331
167.500000 85.568 177.1632
170.000000 85.532 177.1869
172.500000 85.495 177.2137
175.000000 85.460 177.2518
177.500000 85.427 177.2996
180.000000 85.393 177.3575
182.500000 85.360 177.4183
185.000000 85.329 177.4754
187.500000 85.298 177.5328
190.000000 85.266 177.5986
192.500000 85.234 177.6783
195.000000 85.206 177.7727
197.500000 85.183 177.8720
200.000000 85.162 177.9475
203.000000 85.127 178.0256
206.000000 85.092 178.1357
209.000000 85.061 178.2545
212.000000 85.032 178.3696
214.000000 85.012 178.4446
218.000000 84.975 178.5933
220.000000 84.956 178.6707
224.000000 84.920 178.8370
227.000000 84.896 178.9685
230.000000 84.872 179.1116
233.000000 84.848 179.2546
236.000000 84.827 179.3823
240.000000 84.799 179.5513
243.000000 84.778 179.7023
247.000000 84.751 179.9476
250.000000 84.732 -179.8857
254.000000 84.707 -179.7488
258.000000 84.683 -179.5997
262.000000 84.661 -179.4211
265.000000 84.644 -179.2962
269.000000 84.623 -179.1080
272.000000 84.609 -178.9413
276.000000 84.590 -178.7314
280.000000 84.572 -178.5447
285.000000 84.551 -178.3113
290.000000 84.531 -178.0828
