* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -22.7 dBFS, measurement signal peak level -22.7 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 17/04/2024 9:42:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0481 ms (-17 mm, -0.65 in) using estimated IR delay relative to Acoustic reference on SPEAKER R with no timing offset
* Measurement: Project ACE R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 41.648 131.0023
1.015000 41.692 130.0409
1.030000 41.739 129.0942
1.044000 41.784 128.2261
1.060000 41.839 127.2554
1.075000 41.894 126.3686
1.090000 41.951 125.5071
1.106000 42.016 124.6173
1.120000 42.075 123.8551
1.138000 42.154 122.8937
1.150000 42.209 122.2636
1.172000 42.313 121.1290
1.180000 42.353 120.7225
1.206000 42.485 119.4216
1.220000 42.559 118.7324
1.241000 42.674 117.7114
1.250000 42.725 117.2780
1.265000 42.810 116.5602
1.280000 42.898 115.8474
1.315000 43.110 114.1978
1.320000 43.141 113.9632
1.340000 43.267 113.0258
1.360000 43.395 112.0883
1.380000 43.527 111.1485
1.400000 43.661 110.2038
1.430000 43.866 108.7728
1.450000 44.006 107.8060
1.475000 44.184 106.5792
1.500000 44.368 105.3341
1.525000 44.559 104.0751
1.550000 44.755 102.8058
1.575000 44.958 101.5303
1.600000 45.164 100.2524
1.625000 45.375 98.9759
1.650000 45.590 97.7047
1.675000 45.807 96.4428
1.700000 46.026 95.1939
1.725000 46.247 93.9620
1.750000 46.469 92.7509
1.775000 46.691 91.5645
1.800000 46.913 90.4066
1.825000 47.133 89.2812
1.850000 47.354 88.1893
1.875000 47.577 87.1250
1.900000 47.803 86.0858
1.925000 48.031 85.0696
1.950000 48.261 84.0742
1.975000 48.493 83.0974
2.000000 48.725 82.1370
2.030000 49.004 81.0032
2.060000 49.283 79.8861
2.090000 49.561 78.7820
2.120000 49.838 77.6872
2.140000 50.021 76.9606
2.180000 50.384 75.5102
2.200000 50.562 74.7843
2.240000 50.918 73.3432
2.270000 51.184 72.2761
2.300000 51.450 71.2205
2.330000 51.714 70.1761
2.360000 51.977 69.1428
2.400000 52.326 67.7817
2.430000 52.584 66.7731
2.470000 52.926 65.4442
2.500000 53.179 64.4591
2.540000 53.512 63.1607
2.580000 53.838 61.8791
2.620000 54.161 60.6156
2.650000 54.400 59.6800
2.690000 54.715 58.4485
2.720000 54.949 57.5367
2.760000 55.256 56.3366
2.800000 55.559 55.1541
2.850000 55.932 53.7007
2.900000 56.297 52.2741
2.950000 56.655 50.8750
3.000000 57.006 49.5088
3.040000 57.281 48.4384
3.070000 57.484 47.6474
3.110000 57.751 46.6073
3.150000 58.014 45.5819
3.200000 58.337 44.3180
3.250000 58.654 43.0705
3.300000 58.965 41.8359
3.350000 59.270 40.6137
3.400000 59.568 39.4070
3.450000 59.859 38.2178
3.500000 60.145 37.0484
3.550000 60.425 35.9009
3.600000 60.701 34.7775
3.650000 60.972 33.6802
3.700000 61.239 32.6121
3.750000 61.501 31.5738
3.820000 61.858 30.1635
3.870000 62.107 29.1817
3.950000 62.499 27.6451
4.000000 62.739 26.7000
4.060000 63.023 25.5772
4.120000 63.301 24.4738
4.180000 63.574 23.3911
4.250000 63.886 22.1540
4.310000 64.149 21.1161
4.370000 64.408 20.0988
4.440000 64.706 18.9403
4.500000 64.957 17.9756
4.550000 65.162 17.1886
4.620000 65.446 16.1073
4.680000 65.686 15.1945
4.750000 65.962 14.1395
4.820000 66.233 13.0943
4.870000 66.425 12.3581
4.940000 66.689 11.3407
5.000000 66.912 10.4798
5.080000 67.204 9.3457
5.150000 67.457 8.3649
5.220000 67.705 7.3977
5.300000 67.984 6.3083
5.380000 68.257 5.2327
5.450000 68.493 4.3004
5.520000 68.725 3.3745
5.600000 68.985 2.3264
5.700000 69.304 1.0318
5.800000 69.616 -0.2467
5.900000 69.920 -1.5104
6.000000 70.217 -2.7593
6.080000 70.450 -3.7471
6.150000 70.650 -4.6030
6.220000 70.847 -5.4508
6.300000 71.069 -6.4095
6.400000 71.339 -7.5929
6.500000 71.604 -8.7605
6.600000 71.863 -9.9133
6.700000 72.116 -11.0512
6.800000 72.363 -12.1740
6.900000 72.605 -13.2816
7.000000 72.843 -14.3738
7.100000 73.075 -15.4499
7.200000 73.303 -16.5111
7.300000 73.526 -17.5590
7.400000 73.744 -18.5943
7.500000 73.959 -19.6160
7.620000 74.210 -20.8251
7.750000 74.477 -22.1151
7.880000 74.737 -23.3837
8.000000 74.971 -24.5371
8.120000 75.201 -25.6752
8.250000 75.443 -26.8899
8.380000 75.681 -28.0868
8.500000 75.895 -29.1766
8.620000 76.105 -30.2513
8.750000 76.327 -31.4000
8.850000 76.495 -32.2731
9.000000 76.742 -33.5647
9.120000 76.934 -34.5840
9.250000 77.139 -35.6750
9.380000 77.340 -36.7517
9.500000 77.522 -37.7345
9.620000 77.700 -38.7073
9.750000 77.889 -39.7493
9.880000 78.075 -40.7814
10.000000 78.243 -41.7259
10.150000 78.449 -42.8950
10.300000 78.650 -44.0541
10.440000 78.833 -45.1267
10.600000 79.037 -46.3420
10.750000 79.223 -47.4722
10.900000 79.404 -48.5926
11.060000 79.590 -49.7746
11.200000 79.749 -50.7987
11.380000 79.946 -52.0956
11.500000 80.073 -52.9474
11.720000 80.298 -54.4788
11.800000 80.377 -55.0241
12.060000 80.627 -56.7555
12.200000 80.758 -57.6594
12.410000 80.948 -58.9801
12.500000 81.029 -59.5349
12.650000 81.161 -60.4428
12.800000 81.292 -61.3360
13.150000 81.592 -63.3764
13.200000 81.634 -63.6651
13.400000 81.801 -64.8131
13.600000 81.964 -65.9556
13.800000 82.123 -67.0953
14.000000 82.277 -68.2293
14.300000 82.498 -69.9165
14.500000 82.638 -71.0255
14.750000 82.807 -72.3877
15.000000 82.969 -73.7210
15.250000 83.125 -75.0247
15.500000 83.275 -76.3032
15.750000 83.420 -77.5585
16.000000 83.560 -78.7936
16.250000 83.695 -80.0050
16.500000 83.824 -81.1894
16.750000 83.947 -82.3409
17.000000 84.068 -83.4561
17.250000 84.186 -84.5377
17.500000 84.304 -85.5901
17.750000 84.421 -86.6284
18.000000 84.538 -87.6616
18.250000 84.654 -88.6996
18.500000 84.766 -89.7466
18.750000 84.873 -90.7964
19.000000 84.974 -91.8432
19.250000 85.068 -92.8708
19.500000 85.157 -93.8712
19.750000 85.242 -94.8382
20.000000 85.325 -95.7711
20.299999 85.424 -96.8564
20.600000 85.522 -97.9177
20.900000 85.620 -98.9692
21.200001 85.715 -100.0194
21.400000 85.776 -100.7177
21.799999 85.892 -102.1001
22.000000 85.946 -102.7789
22.400000 86.050 -104.1026
22.700001 86.124 -105.0641
23.000000 86.196 -106.0019
23.299999 86.266 -106.9202
23.600000 86.335 -107.8218
24.000000 86.424 -109.0008
24.299999 86.489 -109.8694
24.700001 86.573 -111.0104
25.000000 86.635 -111.8569
25.400000 86.713 -112.9768
25.799999 86.787 -114.0841
26.200001 86.854 -115.1689
26.500000 86.902 -115.9610
26.900000 86.963 -116.9844
27.200001 87.007 -117.7302
27.600000 87.067 -118.7045
28.000000 87.125 -119.6680
28.500000 87.195 -120.8654
29.000000 87.258 -122.0428
29.500000 87.316 -123.1795
30.000000 87.371 -124.2697
30.400000 87.415 -125.1203
30.700001 87.449 -125.7536
31.100000 87.491 -126.5968
31.500000 87.531 -127.4342
32.000000 87.575 -128.4559
32.500000 87.616 -129.4365
33.000000 87.656 -130.3820
33.500000 87.695 -131.3082
34.000000 87.732 -132.2200
34.500000 87.765 -133.1086
35.000000 87.796 -133.9672
35.500000 87.826 -134.8008
36.000000 87.856 -135.6194
36.500000 87.884 -136.4275
37.000000 87.910 -137.2260
37.500000 87.934 -138.0161
38.200001 87.962 -139.1069
38.700001 87.979 -139.8668
39.500000 88.004 -141.0388
40.000000 88.019 -141.7534
40.599998 88.036 -142.5978
41.200001 88.050 -143.4145
41.799999 88.066 -144.2017
42.500000 88.086 -145.1133
43.099998 88.099 -145.8952
43.700001 88.106 -146.6365
44.400002 88.114 -147.4279
45.000000 88.126 -148.0909
45.500000 88.135 -148.6620
46.200001 88.138 -149.4594
46.799999 88.135 -150.1061
47.500000 88.129 -150.8400
48.200001 88.113 -151.5379
48.700001 88.100 -151.9597
49.400002 88.098 -152.4517
50.000000 88.121 -152.9288
50.799999 88.152 -153.7956
51.500000 88.154 -154.6207
52.200001 88.144 -155.3438
53.000000 88.139 -156.0952
53.799999 88.135 -156.8425
54.500000 88.127 -157.4577
55.200001 88.118 -158.0278
56.000000 88.109 -158.6466
57.000000 88.097 -159.3853
58.000000 88.084 -160.1228
59.000000 88.066 -160.8443
60.000000 88.049 -161.5477
60.799999 88.033 -162.1193
61.500000 88.018 -162.6073
62.200001 88.002 -163.0741
63.000000 87.985 -163.5926
64.000000 87.964 -164.2173
65.000000 87.943 -164.8077
66.000000 87.924 -165.3875
67.000000 87.903 -165.9676
68.000000 87.878 -166.5300
69.000000 87.852 -167.0630
70.000000 87.827 -167.5799
71.000000 87.801 -168.0762
72.000000 87.776 -168.5491
73.000000 87.753 -169.0159
74.000000 87.727 -169.4712
75.000000 87.702 -169.9126
76.199997 87.670 -170.4289
77.500000 87.635 -170.9686
78.800003 87.601 -171.4943
80.000000 87.569 -171.9648
81.199997 87.536 -172.4065
82.500000 87.501 -172.8574
83.800003 87.466 -173.2981
85.000000 87.433 -173.6941
86.199997 87.399 -174.0833
87.500000 87.362 -174.4916
88.500000 87.334 -174.7949
90.000000 87.291 -175.2266
91.199997 87.257 -175.5492
92.500000 87.222 -175.8916
93.800003 87.187 -176.2302
95.000000 87.155 -176.5361
96.199997 87.124 -176.8268
97.500000 87.092 -177.1226
98.800003 87.062 -177.4211
100.000000 87.031 -177.7030
101.500000 86.986 -178.0102
103.000000 86.942 -178.2773
104.400002 86.902 -178.5234
106.000000 86.857 -178.8047
107.500000 86.816 -179.0647
109.000000 86.775 -179.3164
110.599998 86.733 -179.5750
112.000000 86.695 -179.7904
113.800003 86.648 179.9510
115.000000 86.618 179.7866
117.199997 86.565 179.4995
118.000000 86.545 179.4039
120.599998 86.483 179.1185
122.000000 86.449 178.9654
124.099998 86.397 178.7526
125.000000 86.376 178.6673
126.500000 86.342 178.5256
128.000000 86.307 178.3914
131.500000 86.223 178.1453
132.000000 86.211 178.1153
134.000000 86.168 177.9785
136.000000 86.127 177.8095
138.000000 86.084 177.6701
140.000000 86.042 177.5638
143.000000 85.979 177.4155
145.000000 85.939 177.3186
147.500000 85.900 177.2329
150.000000 85.862 177.1369
152.500000 85.804 177.0613
155.000000 85.744 177.0188
157.500000 85.693 176.9434
160.000000 85.649 176.8806
162.500000 85.606 176.8428
165.000000 85.562 176.8273
167.500000 85.521 176.8199
170.000000 85.479 176.8054
172.500000 85.437 176.7973
175.000000 85.398 176.7974
177.500000 85.360 176.8095
180.000000 85.321 176.8296
182.500000 85.281 176.8548
185.000000 85.243 176.8893
187.500000 85.207 176.9365
190.000000 85.170 176.9893
192.500000 85.135 177.0343
195.000000 85.103 177.0883
197.500000 85.075 177.1592
200.000000 85.046 177.2304
203.000000 85.006 177.3004
206.000000 84.967 177.3774
209.000000 84.930 177.4795
212.000000 84.896 177.5831
214.000000 84.874 177.6451
218.000000 84.832 177.7839
220.000000 84.811 177.8626
224.000000 84.770 178.0117
227.000000 84.741 178.1175
230.000000 84.716 178.2369
233.000000 84.693 178.3703
236.000000 84.669 178.5023
240.000000 84.634 178.6773
243.000000 84.609 178.8124
247.000000 84.583 179.0410
250.000000 84.565 179.2160
254.000000 84.537 179.3644
258.000000 84.512 179.5004
262.000000 84.492 179.6332
265.000000 84.480 179.7015
269.000000 84.458 179.8351
272.000000 84.439 179.9980
276.000000 84.416 -179.8006
280.000000 84.397 -179.6192
285.000000 84.374 -179.4037
290.000000 84.351 -179.2306
295.000000 84.326 -179.0728
