* Measurement data measured by REW V5.31.3
* Source: A [plughw:4,0], Headset (Headset), 0, volume: 0.229
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 13/10/2024 1:13:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Project M L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 31.789 148.3279
0.732422 38.640 117.4775
1.098633 45.221 92.9022
1.464844 50.668 73.5547
1.831055 55.060 57.7079
2.197266 58.619 44.3764
2.563477 61.544 33.0208
2.929688 63.998 23.2858
3.295898 66.103 14.8599
3.662109 67.951 7.4388
4.028320 69.597 0.7455
4.394531 71.075 -5.4242
4.760742 72.403 -11.1826
5.126953 73.598 -16.5676
5.493164 74.677 -21.5882
5.859375 75.660 -26.2673
6.225586 76.565 -30.6597
6.591797 77.402 -34.8372
6.958008 78.174 -38.8554
7.324219 78.879 -42.7270
7.690430 79.518 -46.4209
8.056641 80.097 -49.8881
8.422852 80.630 -53.0980
8.789062 81.131 -56.0644
9.155273 81.610 -58.8459
9.521484 82.074 -61.5213
9.887695 82.518 -64.1540
10.253906 82.937 -66.7694
10.620117 83.326 -69.3550
10.986328 83.682 -71.8777
11.352539 84.010 -74.3061
11.718750 84.313 -76.6245
12.084961 84.598 -78.8362
12.451172 84.868 -80.9571
12.817383 85.124 -83.0060
13.183594 85.368 -84.9959
13.549805 85.599 -86.9321
13.916016 85.817 -88.8132
14.282227 86.024 -90.6369
14.648438 86.222 -92.4053
15.014648 86.412 -94.1282
15.380859 86.595 -95.8198
15.747070 86.770 -97.4918
16.113281 86.936 -99.1462
16.479492 87.091 -100.7733
16.845703 87.234 -102.3568
17.211914 87.368 -103.8838
17.578125 87.496 -105.3511
17.944336 87.619 -106.7666
18.310547 87.739 -108.1423
18.676758 87.856 -109.4877
19.042969 87.969 -110.8071
19.409180 88.077 -112.1024
19.775391 88.181 -113.3769
20.141602 88.281 -114.6350
20.507812 88.374 -115.8769
20.874023 88.459 -117.0942
21.240234 88.537 -118.2709
21.606445 88.610 -119.3929
21.972656 88.681 -120.4591
22.338867 88.752 -121.4856
22.705078 88.826 -122.4990
23.071289 88.899 -123.5215
23.437500 88.969 -124.5587
23.803711 89.031 -125.5977
24.169922 89.087 -126.6168
24.536133 89.136 -127.5993
24.902344 89.183 -128.5422
25.268555 89.229 -129.4548
25.634766 89.276 -130.3507
26.000977 89.321 -131.2391
26.367188 89.365 -132.1222
26.733398 89.407 -132.9986
27.099609 89.446 -133.8669
27.465820 89.482 -134.7270
27.832031 89.514 -135.5754
28.198242 89.541 -136.4015
28.564453 89.564 -137.1890
28.930664 89.585 -137.9240
29.296875 89.608 -138.6063
29.663086 89.638 -139.2556
30.029297 89.674 -139.9061
30.395508 89.714 -140.5912
30.761719 89.753 -141.3252
31.127930 89.785 -142.0948
31.494141 89.806 -142.8657
31.860352 89.819 -143.6003
32.226562 89.827 -144.2773
32.592773 89.837 -144.9020
32.958984 89.850 -145.5004
33.325195 89.866 -146.1018
33.691406 89.883 -146.7198
34.057617 89.895 -147.3458
34.423828 89.904 -147.9580
34.790039 89.910 -148.5389
35.156250 89.918 -149.0901
35.522461 89.930 -149.6320
35.888672 89.944 -150.1899
36.254883 89.957 -150.7738
36.621094 89.964 -151.3700
36.987305 89.965 -151.9482
37.353516 89.963 -152.4823
37.719727 89.963 -152.9688
38.085938 89.968 -153.4302
38.452148 89.978 -153.9007
38.818359 89.989 -154.4036
39.184570 89.997 -154.9358
39.550781 89.998 -155.4708
39.916992 89.992 -155.9759
40.283203 89.984 -156.4318
40.649414 89.978 -156.8421
41.015625 89.977 -157.2296
41.381836 89.980 -157.6213
41.748047 89.987 -158.0345
42.114258 89.992 -158.4713
42.480469 89.995 -158.9211
42.846680 89.995 -159.3703
43.212891 89.993 -159.8103
43.579102 89.990 -160.2411
43.945312 89.987 -160.6676
44.311523 89.984 -161.0928
44.677734 89.979 -161.5116
45.043945 89.973 -161.9134
45.410156 89.969 -162.2922
45.776367 89.968 -162.6575
46.142578 89.971 -163.0341
46.508789 89.977 -163.4462
46.875000 89.977 -163.8940
47.241211 89.969 -164.3435
47.607422 89.952 -164.7418
47.973633 89.935 -165.0534
48.339844 89.927 -165.2942
48.706055 89.933 -165.5323
49.072266 89.950 -165.8470
49.438477 89.965 -166.2735
49.804688 89.964 -166.7738
50.170898 89.944 -167.2584
50.537109 89.910 -167.6427
50.903320 89.876 -167.9008
51.269531 89.853 -168.0793
51.635742 89.845 -168.2611
52.001953 89.844 -168.5054
52.368164 89.839 -168.8127
52.734375 89.826 -169.1367
53.100586 89.807 -169.4278
53.466797 89.789 -169.6710
53.833008 89.776 -169.8921
54.199219 89.770 -170.1312
54.565430 89.765 -170.4099
54.931641 89.757 -170.7179
55.297852 89.744 -171.0271
55.664062 89.729 -171.3152
56.030273 89.714 -171.5799
56.396484 89.702 -171.8347
56.762695 89.691 -172.0928
57.128906 89.681 -172.3556
57.495117 89.669 -172.6136
57.861328 89.657 -172.8575
58.227539 89.647 -173.0883
58.593750 89.639 -173.3170
58.959961 89.633 -173.5567
59.326172 89.626 -173.8121
59.692383 89.616 -174.0757
60.058594 89.603 -174.3325
60.424805 89.589 -174.5708
60.791016 89.575 -174.7906
61.157227 89.563 -175.0044
61.523438 89.553 -175.2289
61.889648 89.542 -175.4728
62.255859 89.528 -175.7295
62.622070 89.509 -175.9790
62.988281 89.487 -176.2010
63.354492 89.466 -176.3882
63.720703 89.448 -176.5517
64.086914 89.435 -176.7136
64.453125 89.425 -176.8924
64.819336 89.416 -177.0913
65.185547 89.404 -177.2992
65.551758 89.392 -177.5019
65.917969 89.379 -177.6939
66.284180 89.369 -177.8822
66.650391 89.359 -178.0784
67.016602 89.349 -178.2865
67.382812 89.336 -178.4980
67.749023 89.321 -178.6966
68.115234 89.305 -178.8711
68.481445 89.291 -179.0243
68.847656 89.280 -179.1723
69.213867 89.272 -179.3337
69.580078 89.263 -179.5167
69.946289 89.251 -179.7136
70.312500 89.235 -179.9055
70.678711 89.217 179.9255
71.044922 89.198 179.7854
71.411133 89.182 179.6645
71.777344 89.170 179.5438
72.143555 89.161 179.4062
72.509766 89.151 179.2460
72.875977 89.140 179.0712
73.242188 89.125 178.8973
73.608398 89.108 178.7374
73.974609 89.092 178.5941
74.340820 89.077 178.4588
74.707031 89.065 178.3187
75.073242 89.054 178.1655
75.439453 89.041 178.0016
75.805664 89.026 177.8382
76.171875 89.009 177.6879
76.538086 88.993 177.5562
76.904297 88.979 177.4376
77.270508 88.967 177.3194
77.636719 88.957 177.1902
78.002930 88.947 177.0467
78.369141 88.936 176.8956
78.735352 88.922 176.7480
79.101562 88.907 176.6115
79.467773 88.893 176.4860
79.833984 88.879 176.3646
80.200195 88.866 176.2405
80.566406 88.853 176.1125
80.932617 88.838 175.9858
81.298828 88.823 175.8671
81.665039 88.808 175.7581
82.031250 88.794 175.6531
82.397461 88.782 175.5433
82.763672 88.769 175.4229
83.129883 88.756 175.2952
83.496094 88.740 175.1696
83.862305 88.724 175.0557
84.228516 88.708 174.9557
84.594727 88.694 174.8632
84.960938 88.682 174.7667
85.327148 88.671 174.6580
85.693359 88.659 174.5367
86.059570 88.645 174.4101
86.425781 88.630 174.2883
86.791992 88.613 174.1794
87.158203 88.596 174.0859
87.524414 88.580 174.0045
87.890625 88.566 173.9277
88.256836 88.554 173.8475
88.623047 88.543 173.7588
88.989258 88.531 173.6614
89.355469 88.519 173.5607
89.721680 88.504 173.4644
90.087891 88.489 173.3779
90.454102 88.475 173.3005
90.820312 88.463 173.2255
91.186523 88.452 173.1444
91.552734 88.441 173.0529
91.918945 88.429 172.9527
92.285156 88.416 172.8506
92.651367 88.401 172.7532
93.017578 88.386 172.6632
93.383789 88.372 172.5797
93.750000 88.357 172.5006
94.116211 88.344 172.4243
94.482422 88.331 172.3494
94.848633 88.319 172.2737
95.214844 88.307 172.1938
95.581055 88.295 172.1079
95.947266 88.283 172.0187
96.313477 88.269 171.9335
96.679688 88.254 171.8594
97.045898 88.240 171.7978
97.412109 88.228 171.7409
97.778320 88.218 171.6768
98.144531 88.209 171.5970
98.510742 88.198 171.5043
98.876953 88.183 171.4113
99.243164 88.167 171.3336
99.609375 88.150 171.2792
99.975586 88.135 171.2430
100.341797 88.124 171.2092
100.708008 88.116 171.1602
101.074219 88.109 171.0862
101.440430 88.100 170.9910
101.806641 88.087 170.8896
102.172852 88.070 170.8004
102.539062 88.053 170.7353
102.905273 88.037 170.6937
103.271484 88.024 170.6622
103.637695 88.016 170.6215
104.003906 88.008 170.5576
104.370117 88.000 170.4703
104.736328 87.988 170.3738
105.102539 87.972 170.2885
105.468750 87.955 170.2287
105.834961 87.940 170.1937
106.201172 87.928 170.1684
106.567383 87.919 170.1327
106.933594 87.911 170.0753
107.299805 87.902 170.0005
107.666016 87.888 169.9255
108.032227 87.873 169.8682
108.398438 87.857 169.8353
108.764648 87.845 169.8174
109.130859 87.836 169.7951
109.497070 87.829 169.7523
109.863281 87.821 169.6866
110.229492 87.809 169.6106
110.595703 87.795 169.5424
110.961914 87.780 169.4932
111.328125 87.766 169.4599
111.694336 87.754 169.4288
112.060547 87.744 169.3874
112.426758 87.733 169.3345
112.792969 87.720 169.2814
113.159180 87.705 169.2412
113.525391 87.692 169.2176
113.891602 87.682 169.1999
114.257812 87.675 169.1711
114.624023 87.667 169.1219
114.990234 87.658 169.0584
115.356445 87.645 168.9983
115.722656 87.631 168.9566
116.088867 87.618 168.9343
116.455078 87.608 168.9175
116.821289 87.600 168.8896
117.187500 87.591 168.8441
117.553711 87.581 168.7894
117.919922 87.568 168.7405
118.286133 87.555 168.7056
118.652344 87.544 168.6797
119.018555 87.534 168.6487
119.384766 87.525 168.6023
119.750977 87.513 168.5429
120.117188 87.499 168.4851
120.483398 87.482 168.4457
120.849609 87.466 168.4327
121.215820 87.453 168.4394
121.582031 87.444 168.4488
121.948242 87.439 168.4423
122.314453 87.435 168.4088
122.680664 87.430 168.3498
123.046875 87.421 168.2776
123.413086 87.409 168.2097
123.779297 87.394 168.1606
124.145508 87.380 168.1357
124.511719 87.367 168.1286
124.877930 87.357 168.1258
125.244141 87.349 168.1147
125.610352 87.342 168.0911
125.976562 87.334 168.0590
126.342773 87.325 168.0260
126.708984 87.316 167.9955
127.075195 87.307 167.9642
127.441406 87.299 167.9256
127.807617 87.290 167.8766
128.173828 87.279 167.8213
128.540039 87.265 167.7692
128.906250 87.250 167.7291
129.272461 87.235 167.7039
129.638672 87.222 167.6900
130.004883 87.209 167.6806
130.371094 87.199 167.6693
130.737305 87.189 167.6530
131.103516 87.179 167.6319
131.469727 87.169 167.6087
131.835938 87.158 167.5870
132.202148 87.148 167.5692
132.568359 87.139 167.5540
132.934570 87.130 167.5375
133.300781 87.122 167.5153
133.666992 87.113 167.4874
134.033203 87.103 167.4594
134.399414 87.093 167.4390
134.765625 87.083 167.4285
135.131836 87.075 167.4214
135.498047 87.069 167.4056
135.864258 87.063 167.3732
136.230469 87.055 167.3286
136.596680 87.044 167.2865
136.962891 87.031 167.2619
137.329102 87.019 167.2583
137.695312 87.010 167.2649
138.061523 87.004 167.2640
138.427734 87.000 167.2441
138.793945 86.994 167.2069
139.160156 86.985 167.1653
139.526367 86.973 167.1346
139.892578 86.961 167.1234
140.258789 86.950 167.1296
140.625000 86.942 167.1418
140.991211 86.937 167.1454
141.357422 86.932 167.1300
141.723633 86.926 167.0964
142.089844 86.916 167.0580
142.456055 86.903 167.0336
142.822266 86.889 167.0334
143.188477 86.879 167.0483
143.554688 86.873 167.0535
143.920898 86.868 167.0275
144.287109 86.859 166.9727
144.653320 86.845 166.9181
145.019531 86.828 166.8960
145.385742 86.814 166.9115
145.751953 86.807 166.9317
146.118164 86.805 166.9120
146.484375 86.801 166.8395
146.850586 86.789 166.7537
147.216797 86.771 166.7192
147.583008 86.757 166.7645
147.949219 86.759 166.8394
148.315430 86.779 166.8363
148.681641 86.801 166.6720
149.047852 86.805 166.3651
