* Measurement data measured by REW V5.31.3
* Source: A [plughw:4,0], Headset (Headset), 0, volume: 0.229
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 13/10/2024 1:12:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Project M R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 25.897 -149.4667
0.732422 35.855 141.8866
1.098633 44.851 101.2217
1.464844 51.614 75.8857
1.831055 56.702 57.0798
2.197266 60.634 41.8382
2.563477 63.744 29.0471
2.929688 66.263 18.2017
3.295898 68.356 8.9839
3.662109 70.148 1.0955
4.028320 71.727 -5.7869
4.394531 73.146 -11.9777
4.760742 74.429 -17.7169
5.126953 75.583 -23.1308
5.493164 76.617 -28.2441
5.859375 77.542 -33.0315
6.225586 78.376 -37.4744
6.591797 79.138 -41.5956
6.958008 79.844 -45.4576
7.324219 80.502 -49.1335
7.690430 81.112 -52.6730
8.056641 81.674 -56.0891
8.422852 82.190 -59.3683
8.789062 82.665 -62.4935
9.155273 83.106 -65.4620
9.521484 83.518 -68.2867
9.887695 83.906 -70.9879
10.253906 84.273 -73.5847
10.620117 84.620 -76.0928
10.986328 84.949 -78.5284
11.352539 85.259 -80.9057
11.718750 85.549 -83.2289
12.084961 85.817 -85.4834
12.451172 86.064 -87.6404
12.817383 86.296 -89.6768
13.183594 86.520 -91.6005
13.549805 86.742 -93.4583
13.916016 86.962 -95.3140
14.282227 87.171 -97.2073
14.648438 87.360 -99.1248
15.014648 87.522 -101.0038
15.380859 87.661 -102.7711
15.747070 87.789 -104.3896
16.113281 87.916 -105.8826
16.479492 88.049 -107.3158
16.845703 88.183 -108.7520
17.211914 88.313 -110.2112
17.578125 88.431 -111.6675
17.944336 88.538 -113.0796
18.310547 88.640 -114.4281
18.676758 88.741 -115.7299
19.042969 88.842 -117.0210
19.409180 88.941 -118.3243
19.775391 89.030 -119.6313
20.141602 89.110 -120.9099
20.507812 89.181 -122.1304
20.874023 89.250 -123.2863
21.240234 89.319 -124.3955
21.606445 89.389 -125.4832
21.972656 89.457 -126.5626
22.338867 89.522 -127.6305
22.705078 89.582 -128.6764
23.071289 89.640 -129.6963
23.437500 89.695 -130.6955
23.803711 89.747 -131.6817
24.169922 89.795 -132.6550
24.536133 89.838 -133.6061
24.902344 89.878 -134.5236
25.268555 89.915 -135.4046
25.634766 89.952 -136.2578
26.000977 89.990 -137.0980
26.367188 90.028 -137.9363
26.733398 90.063 -138.7758
27.099609 90.095 -139.6122
27.465820 90.124 -140.4391
27.832031 90.148 -141.2502
28.198242 90.169 -142.0385
28.564453 90.188 -142.7966
28.930664 90.206 -143.5215
29.296875 90.226 -144.2209
29.663086 90.248 -144.9126
30.029297 90.270 -145.6157
30.395508 90.290 -146.3346
30.761719 90.303 -147.0511
31.127930 90.310 -147.7323
31.494141 90.314 -148.3522
31.860352 90.323 -148.9151
32.226562 90.341 -149.4595
32.592773 90.367 -150.0387
32.958984 90.394 -150.6876
33.325195 90.414 -151.3993
33.691406 90.422 -152.1285
34.057617 90.417 -152.8184
34.423828 90.407 -153.4335
34.790039 90.400 -153.9790
35.156250 90.399 -154.4922
35.522461 90.404 -155.0149
35.888672 90.411 -155.5646
36.254883 90.413 -156.1270
36.621094 90.412 -156.6719
36.987305 90.410 -157.1806
37.353516 90.413 -157.6634
37.719727 90.421 -158.1541
38.085938 90.430 -158.6838
38.452148 90.435 -159.2541
38.818359 90.430 -159.8300
39.184570 90.415 -160.3600
39.550781 90.397 -160.8099
39.916992 90.385 -161.1885
40.283203 90.383 -161.5436
40.649414 90.390 -161.9311
41.015625 90.396 -162.3768
41.381836 90.396 -162.8609
41.748047 90.386 -163.3345
42.114258 90.371 -163.7548
42.480469 90.357 -164.1144
42.846680 90.350 -164.4433
43.212891 90.350 -164.7861
43.579102 90.353 -165.1713
43.945312 90.353 -165.5961
44.311523 90.347 -166.0333
44.677734 90.334 -166.4510
45.043945 90.319 -166.8307
45.410156 90.306 -167.1735
45.776367 90.296 -167.4968
46.142578 90.291 -167.8246
46.508789 90.288 -168.1749
46.875000 90.281 -168.5486
47.241211 90.269 -168.9236
47.607422 90.251 -169.2609
47.973633 90.231 -169.5284
48.339844 90.219 -169.7291
48.706055 90.222 -169.9143
49.072266 90.238 -170.1625
49.438477 90.258 -170.5314
49.804688 90.267 -171.0156
50.170898 90.255 -171.5427
50.537109 90.223 -172.0131
50.903320 90.181 -172.3580
51.269531 90.144 -172.5805
51.635742 90.122 -172.7482
52.001953 90.113 -172.9437
52.368164 90.109 -173.2100
52.734375 90.099 -173.5317
53.100586 90.082 -173.8599
53.466797 90.059 -174.1531
53.833008 90.038 -174.4047
54.199219 90.022 -174.6381
54.565430 90.010 -174.8824
54.931641 90.000 -175.1508
55.297852 89.988 -175.4371
55.664062 89.974 -175.7275
56.030273 89.958 -176.0114
56.396484 89.940 -176.2834
56.762695 89.922 -176.5396
57.128906 89.904 -176.7764
57.495117 89.888 -176.9941
57.861328 89.874 -177.2027
58.227539 89.864 -177.4180
58.593750 89.855 -177.6516
58.959961 89.843 -177.9013
59.326172 89.828 -178.1514
59.692383 89.810 -178.3839
60.058594 89.792 -178.5918
60.424805 89.776 -178.7844
60.791016 89.762 -178.9788
61.157227 89.749 -179.1870
61.523438 89.734 -179.4062
61.889648 89.716 -179.6226
62.255859 89.695 -179.8207
62.622070 89.675 -179.9951
62.988281 89.658 179.8467
63.354492 89.644 179.6887
63.720703 89.633 179.5162
64.086914 89.622 179.3234
64.453125 89.608 179.1157
64.819336 89.592 178.9062
65.185547 89.574 178.7080
65.551758 89.555 178.5275
65.917969 89.538 178.3615
66.284180 89.523 178.2003
66.650391 89.509 178.0347
67.016602 89.495 177.8614
67.382812 89.480 177.6848
67.749023 89.465 177.5119
68.115234 89.450 177.3461
68.481445 89.436 177.1839
68.847656 89.422 177.0179
69.213867 89.409 176.8436
69.580078 89.395 176.6633
69.946289 89.378 176.4857
70.312500 89.361 176.3193
70.678711 89.343 176.1663
71.044922 89.328 176.0207
71.411133 89.313 175.8730
71.777344 89.299 175.7172
72.143555 89.285 175.5547
72.509766 89.268 175.3929
72.875977 89.251 175.2402
73.242188 89.233 175.0994
73.608398 89.216 174.9675
73.974609 89.200 174.8384
74.340820 89.184 174.7079
74.707031 89.168 174.5762
75.073242 89.152 174.4467
75.439453 89.135 174.3225
75.805664 89.119 174.2037
76.171875 89.104 174.0873
76.538086 89.089 173.9695
76.904297 89.074 173.8484
77.270508 89.059 173.7242
77.636719 89.044 173.5984
78.002930 89.028 173.4724
78.369141 89.011 173.3480
78.735352 88.994 173.2283
79.101562 88.977 173.1166
79.467773 88.960 173.0148
79.833984 88.944 172.9199
80.200195 88.931 172.8245
80.566406 88.919 172.7206
80.932617 88.907 172.6047
81.298828 88.894 172.4813
81.665039 88.879 172.3594
82.031250 88.863 172.2469
82.397461 88.848 172.1451
82.763672 88.833 172.0489
83.129883 88.820 171.9519
83.496094 88.806 171.8516
83.862305 88.793 171.7502
84.228516 88.778 171.6512
84.594727 88.764 171.5548
84.960938 88.750 171.4576
85.327148 88.736 171.3572
85.693359 88.720 171.2560
86.059570 88.703 171.1613
86.425781 88.685 171.0792
86.791992 88.669 171.0077
87.158203 88.655 170.9357
87.524414 88.642 170.8508
87.890625 88.628 170.7498
88.256836 88.611 170.6423
88.623047 88.591 170.5458
88.989258 88.571 170.4720
89.355469 88.553 170.4178
89.721680 88.540 170.3661
90.087891 88.529 170.2974
90.454102 88.518 170.2036
90.820312 88.505 170.0934
91.186523 88.489 169.9848
91.552734 88.471 169.8927
91.918945 88.453 169.8191
92.285156 88.438 169.7537
92.651367 88.425 169.6837
93.017578 88.413 169.6031
93.383789 88.400 169.5164
93.750000 88.385 169.4331
94.116211 88.370 169.3600
94.482422 88.356 169.2966
94.848633 88.343 169.2370
95.214844 88.331 169.1754
95.581055 88.319 169.1102
95.947266 88.307 169.0433
96.313477 88.295 168.9763
96.679688 88.284 168.9079
97.045898 88.272 168.8356
97.412109 88.258 168.7594
97.778320 88.243 168.6858
98.144531 88.226 168.6249
98.510742 88.209 168.5840
98.876953 88.195 168.5605
99.243164 88.184 168.5399
99.609375 88.176 168.5032
99.975586 88.169 168.4382
100.341797 88.159 168.3484
100.708008 88.145 168.2511
101.074219 88.126 168.1680
101.440430 88.107 168.1116
101.806641 88.089 168.0786
102.172852 88.074 168.0532
102.539062 88.062 168.0184
102.905273 88.051 167.9671
103.271484 88.038 167.9043
103.637695 88.024 167.8405
104.003906 88.010 167.7828
104.370117 87.995 167.7307
104.736328 87.981 167.6792
105.102539 87.968 167.6260
105.468750 87.954 167.5747
105.834961 87.939 167.5311
106.201172 87.926 167.4961
106.567383 87.915 167.4628
106.933594 87.905 167.4208
107.299805 87.895 167.3654
107.666016 87.884 167.3033
108.032227 87.870 167.2483
108.398438 87.855 167.2103
108.764648 87.843 167.1867
109.130859 87.832 167.1637
109.497070 87.823 167.1275
109.863281 87.814 167.0763
110.229492 87.801 167.0220
110.595703 87.787 166.9800
110.961914 87.773 166.9550
111.328125 87.761 166.9360
111.694336 87.752 166.9053
112.060547 87.742 166.8539
112.426758 87.729 166.7909
112.792969 87.713 166.7366
113.159180 87.695 166.7057
113.525391 87.680 166.6939
113.891602 87.668 166.6812
114.257812 87.658 166.6483
114.624023 87.646 166.5947
114.990234 87.631 166.5398
115.356445 87.612 166.5079
115.722656 87.596 166.5077
116.088867 87.584 166.5231
116.455078 87.578 166.5252
116.821289 87.574 166.4935
117.187500 87.568 166.4309
117.553711 87.557 166.3602
117.919922 87.543 166.3054
118.286133 87.528 166.2748
118.652344 87.517 166.2573
119.018555 87.507 166.2343
119.384766 87.498 166.1964
119.750977 87.487 166.1498
120.117188 87.474 166.1099
120.483398 87.460 166.0870
120.849609 87.447 166.0784
121.215820 87.438 166.0703
121.582031 87.429 166.0494
121.948242 87.421 166.0125
122.314453 87.410 165.9677
122.680664 87.398 165.9283
123.046875 87.384 165.9025
123.413086 87.372 165.8884
123.779297 87.362 165.8769
124.145508 87.354 165.8583
124.511719 87.345 165.8292
124.877930 87.336 165.7942
125.244141 87.326 165.7617
125.610352 87.315 165.7379
125.976562 87.305 165.7221
126.342773 87.297 165.7074
126.708984 87.289 165.6857
127.075195 87.282 165.6539
127.441406 87.272 165.6171
127.807617 87.261 165.5846
128.173828 87.248 165.5639
128.540039 87.235 165.5556
128.906250 87.223 165.5538
129.272461 87.212 165.5514
129.638672 87.201 165.5469
130.004883 87.189 165.5446
130.371094 87.177 165.5498
130.737305 87.166 165.5611
131.103516 87.157 165.5676
131.469727 87.150 165.5555
131.835938 87.142 165.5195
132.202148 87.130 165.4700
132.568359 87.114 165.4296
132.934570 87.095 165.4185
133.300781 87.079 165.4395
133.666992 87.069 165.4734
134.033203 87.065 165.4894
134.399414 87.062 165.4662
134.765625 87.058 165.4064
135.131836 87.048 165.3353
135.498047 87.033 165.2837
135.864258 87.017 165.2679
136.230469 87.004 165.2802
136.596680 86.996 165.2957
136.962891 86.991 165.2913
137.329102 86.986 165.2609
137.695312 86.977 165.2183
138.061523 86.964 165.1858
138.427734 86.949 165.1800
138.793945 86.936 165.2012
139.160156 86.926 165.2347
139.526367 86.920 165.2594
139.892578 86.917 165.2601
140.258789 86.912 165.2350
140.625000 86.904 165.1961
140.991211 86.893 165.1608
141.357422 86.880 165.1406
141.723633 86.869 165.1336
142.089844 86.860 165.1262
142.456055 86.852 165.1058
142.822266 86.843 165.0737
143.188477 86.831 165.0466
143.554688 86.818 165.0436
143.920898 86.809 165.0658
144.287109 86.804 165.0908
144.653320 86.804 165.0887
145.019531 86.803 165.0500
145.385742 86.796 164.9988
145.751953 86.784 164.9752
146.118164 86.772 164.9991
146.484375 86.767 165.0458
146.850586 86.768 165.0635
147.216797 86.766 165.0237
147.583008 86.752 164.9611
147.949219 86.726 164.9620
148.315430 86.697 165.0984
148.681641 86.685 165.3546
149.047852 86.702 165.6105
149.414062 86.742 165.7122
