* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 14/06/2023 9:13:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Quartet 00 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 63.497 73.6996
1.015000 63.662 72.1448
1.030000 63.831 70.6613
1.044000 63.992 69.3323
1.060000 64.180 67.8747
1.075000 64.361 66.5634
1.090000 64.544 65.3015
1.106000 64.743 64.0052
1.120000 64.919 62.9094
1.138000 65.148 61.5476
1.150000 65.302 60.6660
1.172000 65.587 59.0966
1.180000 65.691 58.5389
1.206000 66.030 56.7645
1.220000 66.212 55.8277
1.241000 66.486 54.4383
1.250000 66.603 53.8462
1.265000 66.797 52.8605
1.280000 66.989 51.8730
1.315000 67.431 49.5384
1.320000 67.494 49.1992
1.340000 67.739 47.8223
1.360000 67.981 46.4174
1.380000 68.222 45.0122
1.400000 68.463 43.6107
1.430000 68.824 41.5198
1.450000 69.063 40.1363
1.475000 69.361 38.4222
1.500000 69.657 36.7290
1.525000 69.951 35.0605
1.550000 70.242 33.4207
1.575000 70.530 31.8136
1.600000 70.814 30.2432
1.625000 71.094 28.7135
1.650000 71.371 27.2283
1.675000 71.642 25.7918
1.700000 71.909 24.4095
1.725000 72.172 23.0851
1.750000 72.431 21.8131
1.775000 72.687 20.5876
1.800000 72.940 19.4026
1.825000 73.189 18.2522
1.850000 73.434 17.1304
1.875000 73.677 16.0313
1.900000 73.916 14.9490
1.925000 74.151 13.8774
1.950000 74.383 12.8107
1.975000 74.612 11.7429
2.000000 74.838 10.6681
2.030000 75.105 9.3635
2.060000 75.366 8.0654
2.090000 75.623 6.7808
2.120000 75.874 5.5097
2.140000 76.039 4.6697
2.180000 76.362 3.0073
2.200000 76.521 2.1849
2.240000 76.832 0.5575
2.270000 77.061 -0.6480
2.300000 77.286 -1.8407
2.330000 77.507 -3.0206
2.360000 77.724 -4.1880
2.400000 78.007 -5.7253
2.430000 78.214 -6.8639
2.470000 78.483 -8.3624
2.500000 78.680 -9.4712
2.540000 78.937 -10.9291
2.580000 79.186 -12.3630
2.620000 79.430 -13.7723
2.650000 79.609 -14.8128
2.690000 79.843 -16.1779
2.720000 80.015 -17.1824
2.760000 80.238 -18.4935
2.800000 80.454 -19.7757
2.850000 80.715 -21.3439
2.900000 80.967 -22.8809
2.950000 81.212 -24.3942
3.000000 81.449 -25.8915
3.040000 81.633 -27.0829
3.070000 81.768 -27.9741
3.110000 81.943 -29.1562
3.150000 82.113 -30.3278
3.200000 82.318 -31.7714
3.250000 82.516 -33.1845
3.300000 82.708 -34.5592
3.350000 82.895 -35.8877
3.400000 83.076 -37.1640
3.450000 83.250 -38.3919
3.500000 83.418 -39.5778
3.550000 83.579 -40.7278
3.600000 83.736 -41.8482
3.650000 83.889 -42.9451
3.700000 84.039 -44.0247
3.750000 84.185 -45.0881
3.820000 84.381 -46.5402
3.870000 84.515 -47.5477
3.950000 84.724 -49.1003
4.000000 84.852 -50.0294
4.060000 85.004 -51.0973
4.120000 85.152 -52.1083
4.180000 85.295 -53.0700
4.250000 85.460 -54.1425
4.310000 85.599 -55.0306
4.370000 85.737 -55.9001
4.440000 85.898 -56.8864
4.500000 86.034 -57.6990
4.550000 86.146 -58.3567
4.620000 86.302 -59.2532
4.680000 86.436 -60.0045
4.750000 86.593 -60.8630
4.820000 86.750 -61.6889
4.870000 86.862 -62.2635
4.940000 87.018 -63.0553
5.000000 87.151 -63.7299
5.080000 87.328 -64.6334
5.150000 87.483 -65.4161
5.220000 87.638 -66.1926
5.300000 87.813 -67.0801
5.380000 87.986 -67.9757
5.450000 88.135 -68.7677
5.520000 88.283 -69.5634
5.600000 88.450 -70.4777
5.700000 88.653 -71.6283
5.800000 88.849 -72.7895
5.900000 89.039 -73.9611
6.000000 89.223 -75.1373
6.080000 89.363 -76.0779
6.150000 89.482 -76.9053
6.220000 89.597 -77.7347
6.300000 89.723 -78.6792
6.400000 89.874 -79.8447
6.500000 90.017 -80.9956
6.600000 90.151 -82.1336
6.700000 90.279 -83.2497
6.800000 90.400 -84.3397
6.900000 90.513 -85.4081
7.000000 90.620 -86.4498
7.100000 90.723 -87.4591
7.200000 90.820 -88.4370
7.300000 90.912 -89.3850
7.400000 91.002 -90.3040
7.500000 91.087 -91.1925
7.620000 91.186 -92.2198
7.750000 91.290 -93.2924
7.880000 91.390 -94.3218
8.000000 91.480 -95.2370
8.120000 91.568 -96.1275
8.250000 91.662 -97.0606
8.380000 91.754 -97.9678
8.500000 91.838 -98.7880
8.620000 91.920 -99.5891
8.750000 92.008 -100.4414
8.850000 92.075 -101.0872
9.000000 92.173 -102.0389
9.120000 92.250 -102.7899
9.250000 92.331 -103.5927
9.380000 92.411 -104.3851
9.500000 92.484 -105.1086
9.620000 92.554 -105.8241
9.750000 92.629 -106.5909
9.880000 92.702 -107.3498
10.000000 92.767 -108.0427
10.150000 92.847 -108.8983
10.300000 92.924 -109.7423
10.440000 92.993 -110.5182
10.600000 93.070 -111.3910
10.750000 93.139 -112.1948
10.900000 93.207 -112.9834
11.060000 93.277 -113.8084
11.200000 93.336 -114.5165
11.380000 93.411 -115.4087
11.500000 93.460 -115.9938
11.720000 93.548 -117.0461
11.800000 93.580 -117.4241
12.060000 93.680 -118.6348
12.200000 93.732 -119.2782
12.410000 93.809 -120.2320
12.500000 93.840 -120.6363
12.650000 93.892 -121.3049
12.800000 93.941 -121.9637
13.150000 94.049 -123.4585
13.200000 94.064 -123.6661
13.400000 94.121 -124.4814
13.600000 94.175 -125.2701
13.800000 94.229 -126.0341
14.000000 94.281 -126.7750
14.300000 94.359 -127.8544
14.500000 94.409 -128.5577
14.750000 94.471 -129.4240
15.000000 94.530 -130.2772
15.250000 94.585 -131.1130
15.500000 94.636 -131.9265
15.750000 94.683 -132.7107
16.000000 94.729 -133.4624
16.250000 94.774 -134.1846
16.500000 94.818 -134.8826
16.750000 94.864 -135.5664
17.000000 94.910 -136.2473
17.250000 94.955 -136.9303
17.500000 94.998 -137.6184
17.750000 95.038 -138.3095
18.000000 95.074 -138.9958
18.250000 95.106 -139.6701
18.500000 95.134 -140.3256
18.750000 95.160 -140.9561
19.000000 95.183 -141.5600
19.250000 95.206 -142.1384
19.500000 95.230 -142.6937
19.750000 95.254 -143.2312
20.000000 95.280 -143.7567
20.299999 95.312 -144.3782
20.600000 95.346 -144.9980
20.900000 95.380 -145.6219
21.200001 95.413 -146.2519
21.400000 95.433 -146.6739
21.799999 95.471 -147.5118
22.000000 95.487 -147.9224
22.400000 95.516 -148.7170
22.700001 95.537 -149.2859
23.000000 95.557 -149.8345
23.299999 95.578 -150.3686
23.600000 95.599 -150.8946
24.000000 95.626 -151.5888
24.299999 95.644 -152.1020
24.700001 95.667 -152.7692
25.000000 95.683 -153.2534
25.400000 95.704 -153.8797
25.799999 95.725 -154.4941
26.200001 95.747 -155.1078
26.500000 95.763 -155.5696
26.900000 95.781 -156.1830
27.200001 95.793 -156.6364
27.600000 95.807 -157.2271
28.000000 95.820 -157.8018
28.500000 95.836 -158.5033
29.000000 95.851 -159.1919
29.500000 95.864 -159.8647
30.000000 95.874 -160.5124
30.400000 95.882 -161.0077
30.700001 95.887 -161.3657
31.100000 95.896 -161.8288
31.500000 95.906 -162.2836
32.000000 95.920 -162.8538
32.500000 95.933 -163.4322
33.000000 95.943 -164.0082
33.500000 95.949 -164.5665
34.000000 95.954 -165.1049
34.500000 95.960 -165.6364
35.000000 95.965 -166.1702
35.500000 95.966 -166.6974
36.000000 95.965 -167.2007
36.500000 95.965 -167.6773
37.000000 95.968 -168.1438
37.500000 95.973 -168.6151
38.200001 95.977 -169.2756
38.700001 95.979 -169.7342
39.500000 95.983 -170.4547
40.000000 95.983 -170.9022
40.599998 95.980 -171.4123
41.200001 95.978 -171.8787
41.799999 95.980 -172.3365
42.500000 95.983 -172.9171
43.099998 95.976 -173.4337
43.700001 95.963 -173.9137
44.400002 95.949 -174.4207
45.000000 95.942 -174.8492
45.500000 95.937 -175.2183
46.200001 95.930 -175.7503
46.799999 95.923 -176.2088
47.500000 95.915 -176.7231
48.200001 95.912 -177.2137
48.700001 95.913 -177.5805
49.400002 95.912 -178.1390
50.000000 95.900 -178.5991
50.799999 95.881 -179.0870
51.500000 95.877 -179.4643
52.200001 95.876 -179.8958
53.000000 95.864 179.5936
53.799999 95.847 179.1355
54.500000 95.834 178.7397
55.200001 95.820 178.3300
56.000000 95.802 177.8640
57.000000 95.780 177.2746
58.000000 95.756 176.6854
59.000000 95.733 176.1136
60.000000 95.707 175.5620
60.799999 95.686 175.1538
61.500000 95.668 174.8163
62.200001 95.652 174.4870
63.000000 95.636 174.1031
64.000000 95.615 173.5723
65.000000 95.584 173.0090
66.000000 95.546 172.4939
67.000000 95.514 172.0235
68.000000 95.486 171.5516
69.000000 95.454 171.0917
70.000000 95.422 170.6839
71.000000 95.391 170.2883
72.000000 95.355 169.8870
73.000000 95.315 169.5016
74.000000 95.274 169.1025
75.000000 95.230 168.7001
76.199997 95.175 168.2402
77.500000 95.118 167.7819
78.800003 95.060 167.3652
80.000000 95.001 167.0579
81.199997 94.946 166.8000
82.500000 94.879 166.4707
83.800003 94.786 166.1895
85.000000 94.691 166.1042
86.199997 94.601 166.2000
87.500000 94.518 166.5656
88.500000 94.483 167.0782
90.000000 94.519 168.0330
91.199997 94.634 168.6441
92.500000 94.820 168.7795
93.800003 95.006 168.1907
95.000000 95.125 167.1913
96.199997 95.185 166.0440
97.500000 95.196 164.8546
98.800003 95.172 163.8238
100.000000 95.135 163.0055
101.500000 95.078 162.0958
103.000000 95.013 161.2963
104.400002 94.950 160.6412
106.000000 94.881 159.9803
107.500000 94.818 159.4247
109.000000 94.757 158.9177
110.599998 94.693 158.4045
112.000000 94.636 157.9723
113.800003 94.561 157.4415
115.000000 94.512 157.1120
117.199997 94.424 156.5570
118.000000 94.392 156.3713
120.599998 94.291 155.8343
122.000000 94.240 155.5885
124.099998 94.173 155.2482
125.000000 94.149 155.0994
126.500000 94.113 154.8310
128.000000 94.082 154.5240
131.500000 93.998 153.6931
132.000000 93.984 153.5679
134.000000 93.924 153.0658
136.000000 93.860 152.5804
138.000000 93.793 152.1333
140.000000 93.724 151.7154
143.000000 93.617 151.1093
145.000000 93.551 150.7193
147.500000 93.480 150.2851
150.000000 93.408 149.8488
152.500000 93.308 149.4325
155.000000 93.208 149.0689
157.500000 93.119 148.6837
160.000000 93.035 148.3213
162.500000 92.952 147.9897
165.000000 92.868 147.6595
167.500000 92.786 147.3348
170.000000 92.703 147.0308
172.500000 92.620 146.7454
175.000000 92.537 146.4622
177.500000 92.455 146.1860
180.000000 92.373 145.9193
182.500000 92.291 145.6710
185.000000 92.210 145.4340
187.500000 92.128 145.2078
190.000000 92.047 144.9958
192.500000 91.966 144.7862
195.000000 91.883 144.6038
197.500000 91.801 144.4399
200.000000 91.721 144.2906
203.000000 91.631 144.1241
206.000000 91.542 143.9798
209.000000 91.464 143.8660
212.000000 91.393 143.6499
214.000000 91.337 143.4933
218.000000 91.227 143.2856
220.000000 91.178 143.1561
224.000000 91.069 142.8430
227.000000 90.980 142.6238
230.000000 90.888 142.4276
233.000000 90.792 142.2740
236.000000 90.698 142.1661
240.000000 90.578 142.0941
243.000000 90.497 142.0694
247.000000 90.406 141.9846
250.000000 90.338 141.8608
254.000000 90.234 141.6737
258.000000 90.121 141.4748
262.000000 90.009 141.2930
265.000000 89.921 141.1798
269.000000 89.803 141.0479
272.000000 89.714 140.9681
276.000000 89.595 140.8953
280.000000 89.476 140.8453
285.000000 89.329 140.8149
290.000000 89.182 140.8246
295.000000 89.035 140.8615
300.000000 88.889 140.9320
304.000000 88.773 141.0144
307.000000 88.685 141.0866
311.000000 88.569 141.1931
315.000000 88.455 141.3189
