* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 14/06/2023 9:08:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Quartet 10 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 61.753 67.5431
1.015000 62.000 66.5175
1.030000 62.245 65.5560
1.044000 62.470 64.7118
1.060000 62.724 63.8048
1.075000 62.960 63.0054
1.090000 63.193 62.2505
1.106000 63.438 61.4888
1.120000 63.650 60.8547
1.138000 63.920 60.0774
1.150000 64.098 59.5790
1.172000 64.420 58.6975
1.180000 64.536 58.3849
1.206000 64.908 57.3862
1.220000 65.106 56.8531
1.241000 65.400 56.0489
1.250000 65.525 55.6997
1.265000 65.731 55.1080
1.280000 65.936 54.4997
1.315000 66.408 52.9895
1.320000 66.475 52.7608
1.340000 66.740 51.8061
1.360000 67.002 50.7893
1.380000 67.261 49.7349
1.400000 67.516 48.6493
1.430000 67.892 46.9736
1.450000 68.138 45.8323
1.475000 68.441 44.3874
1.500000 68.739 42.9314
1.525000 69.031 41.4742
1.550000 69.319 40.0256
1.575000 69.603 38.5955
1.600000 69.882 37.1938
1.625000 70.157 35.8304
1.650000 70.428 34.5152
1.675000 70.695 33.2581
1.700000 70.958 32.0622
1.725000 71.216 30.9115
1.750000 71.468 29.8004
1.775000 71.716 28.7242
1.800000 71.960 27.6781
1.825000 72.199 26.6575
1.850000 72.434 25.6575
1.875000 72.665 24.6736
1.900000 72.892 23.7010
1.925000 73.116 22.7348
1.950000 73.336 21.7706
1.975000 73.554 20.8034
2.000000 73.769 19.8286
2.030000 74.023 18.6440
2.060000 74.271 17.4572
2.090000 74.514 16.2742
2.120000 74.752 15.0965
2.140000 74.907 14.3152
2.180000 75.212 12.7640
2.200000 75.362 11.9950
2.240000 75.655 10.4728
2.270000 75.871 9.3468
2.300000 76.083 8.2360
2.330000 76.292 7.1422
2.360000 76.499 6.0668
2.400000 76.768 4.6557
2.430000 76.965 3.6125
2.470000 77.222 2.2424
2.500000 77.410 1.2308
2.540000 77.655 -0.0958
2.580000 77.895 -1.3964
2.620000 78.131 -2.6701
2.650000 78.305 -3.6072
2.690000 78.534 -4.8318
2.720000 78.703 -5.7278
2.760000 78.923 -6.8880
2.800000 79.139 -8.0146
2.850000 79.401 -9.3850
2.900000 79.658 -10.7245
2.950000 79.909 -12.0453
3.000000 80.155 -13.3594
3.040000 80.350 -14.4135
3.070000 80.493 -15.2037
3.110000 80.682 -16.2527
3.150000 80.867 -17.2941
3.200000 81.094 -18.5812
3.250000 81.316 -19.8476
3.300000 81.534 -21.0880
3.350000 81.749 -22.2977
3.400000 81.961 -23.4696
3.450000 82.169 -24.6003
3.500000 82.373 -25.6995
3.550000 82.573 -26.7773
3.600000 82.769 -27.8441
3.650000 82.962 -28.9100
3.700000 83.151 -29.9852
3.750000 83.337 -31.0712
3.820000 83.591 -32.5939
3.870000 83.768 -33.6778
3.950000 84.044 -35.3941
4.000000 84.211 -36.4493
4.060000 84.407 -37.6915
4.120000 84.597 -38.9100
4.180000 84.781 -40.1092
4.250000 84.990 -41.4882
4.310000 85.162 -42.6570
4.370000 85.329 -43.8172
4.440000 85.516 -45.1656
4.500000 85.669 -46.3150
4.550000 85.793 -47.2633
4.620000 85.960 -48.5685
4.680000 86.098 -49.6592
4.750000 86.252 -50.8937
4.820000 86.397 -52.0981
4.870000 86.497 -52.9388
4.940000 86.631 -54.0853
5.000000 86.742 -55.0370
5.080000 86.885 -56.2574
5.150000 87.003 -57.2834
5.220000 87.116 -58.2706
5.300000 87.240 -59.3497
5.380000 87.362 -60.3747
5.450000 87.466 -61.2239
5.520000 87.567 -62.0290
5.600000 87.680 -62.9013
5.700000 87.821 -63.9306
5.800000 87.964 -64.8899
5.900000 88.107 -65.7721
6.000000 88.252 -66.6088
6.080000 88.371 -67.2652
6.150000 88.477 -67.8194
6.220000 88.584 -68.3558
6.300000 88.708 -68.9589
6.400000 88.865 -69.7175
6.500000 89.024 -70.4775
6.600000 89.185 -71.2354
6.700000 89.345 -72.0059
6.800000 89.502 -72.8001
6.900000 89.658 -73.6123
7.000000 89.811 -74.4364
7.100000 89.959 -75.2678
7.200000 90.101 -76.1139
7.300000 90.239 -76.9656
7.400000 90.370 -77.8087
7.500000 90.495 -78.6440
7.620000 90.637 -79.6381
7.750000 90.784 -80.6792
7.880000 90.922 -81.6778
8.000000 91.043 -82.5641
8.120000 91.162 -83.4089
8.250000 91.286 -84.2745
8.380000 91.409 -85.1018
8.500000 91.524 -85.8368
8.620000 91.638 -86.5410
8.750000 91.762 -87.2928
8.850000 91.859 -87.8664
9.000000 92.006 -88.7182
9.120000 92.122 -89.4112
9.250000 92.248 -90.1738
9.380000 92.371 -90.9474
9.500000 92.480 -91.6748
9.620000 92.587 -92.4151
9.750000 92.697 -93.2185
9.880000 92.801 -94.0221
10.000000 92.891 -94.7618
10.150000 92.998 -95.6582
10.300000 93.095 -96.5275
10.440000 93.182 -97.2997
10.600000 93.276 -98.1271
10.750000 93.362 -98.8543
10.900000 93.449 -99.5295
11.060000 93.542 -100.2031
11.200000 93.629 -100.7682
11.380000 93.744 -101.4629
11.500000 93.825 -101.9319
11.720000 93.982 -102.8000
11.800000 94.039 -103.1324
12.060000 94.231 -104.2746
12.200000 94.331 -104.9392
12.410000 94.477 -105.9987
12.500000 94.535 -106.4690
12.650000 94.627 -107.2799
12.800000 94.710 -108.0985
13.150000 94.872 -109.9973
13.200000 94.891 -110.2588
13.400000 94.960 -111.2741
13.600000 95.021 -112.2098
13.800000 95.075 -113.0668
14.000000 95.128 -113.8379
14.300000 95.212 -114.8737
14.500000 95.275 -115.5104
14.750000 95.361 -116.2805
15.000000 95.453 -117.0654
15.250000 95.548 -117.8802
15.500000 95.641 -118.7300
15.750000 95.727 -119.6055
16.000000 95.807 -120.4816
16.250000 95.879 -121.3414
16.500000 95.946 -122.1723
16.750000 96.009 -122.9677
17.000000 96.072 -123.7344
17.250000 96.134 -124.4806
17.500000 96.196 -125.2139
17.750000 96.256 -125.9410
18.000000 96.314 -126.6601
18.250000 96.370 -127.3671
18.500000 96.423 -128.0571
18.750000 96.474 -128.7246
19.000000 96.525 -129.3696
19.250000 96.575 -129.9951
19.500000 96.626 -130.6059
19.750000 96.678 -131.2098
20.000000 96.730 -131.8120
20.299999 96.791 -132.5365
20.600000 96.850 -133.2635
20.900000 96.905 -133.9887
21.200001 96.956 -134.7049
21.400000 96.988 -135.1733
21.799999 97.047 -136.0807
22.000000 97.075 -136.5187
22.400000 97.130 -137.3674
22.700001 97.171 -137.9891
23.000000 97.211 -138.6070
23.299999 97.250 -139.2262
23.600000 97.286 -139.8468
24.000000 97.330 -140.6681
24.299999 97.360 -141.2716
24.700001 97.398 -142.0558
25.000000 97.426 -142.6328
25.400000 97.461 -143.3952
25.799999 97.495 -144.1476
26.200001 97.526 -144.8746
26.500000 97.550 -145.3958
26.900000 97.587 -146.0717
27.200001 97.620 -146.5870
27.600000 97.665 -147.3210
28.000000 97.703 -148.1121
28.500000 97.730 -149.0950
29.000000 97.740 -149.9118
29.500000 97.760 -150.5171
30.000000 97.812 -151.0737
30.400000 97.867 -151.6199
30.700001 97.905 -152.1111
31.100000 97.939 -152.8258
31.500000 97.951 -153.5033
32.000000 97.952 -154.1761
32.500000 97.962 -154.6746
33.000000 97.993 -155.1545
33.500000 98.029 -155.7273
34.000000 98.056 -156.3695
34.500000 98.071 -156.9969
35.000000 98.082 -157.5744
35.500000 98.097 -158.1365
36.000000 98.112 -158.7211
36.500000 98.123 -159.3210
37.000000 98.131 -159.9043
37.500000 98.139 -160.4612
38.200001 98.155 -161.2357
38.700001 98.165 -161.8009
39.500000 98.176 -162.6868
40.000000 98.182 -163.2132
40.599998 98.188 -163.8249
41.200001 98.193 -164.4098
41.799999 98.198 -164.9576
42.500000 98.211 -165.5829
43.099998 98.225 -166.1523
43.700001 98.233 -166.7475
44.400002 98.236 -167.4223
45.000000 98.238 -167.9694
45.500000 98.241 -168.4142
46.200001 98.245 -169.0341
46.799999 98.249 -169.5616
47.500000 98.250 -170.1523
48.200001 98.254 -170.6995
48.700001 98.261 -171.0869
49.400002 98.272 -171.6852
50.000000 98.270 -172.2371
50.799999 98.249 -172.8937
51.500000 98.232 -173.3485
52.200001 98.226 -173.7905
53.000000 98.220 -174.3591
53.799999 98.208 -174.9416
54.500000 98.196 -175.4347
55.200001 98.185 -175.9265
56.000000 98.172 -176.4849
57.000000 98.156 -177.1656
58.000000 98.139 -177.8325
59.000000 98.122 -178.4741
60.000000 98.103 -179.1221
60.799999 98.080 -179.6196
61.500000 98.058 179.9933
62.200001 98.042 179.6212
63.000000 98.026 179.1638
64.000000 97.999 178.5609
65.000000 97.966 177.9750
66.000000 97.929 177.4190
67.000000 97.889 176.9049
68.000000 97.848 176.4370
69.000000 97.805 176.0173
70.000000 97.761 175.6514
71.000000 97.714 175.3577
72.000000 97.672 175.1643
73.000000 97.645 175.0457
74.000000 97.636 174.9218
75.000000 97.639 174.7669
76.199997 97.657 174.5429
77.500000 97.693 174.1722
78.800003 97.728 173.6629
80.000000 97.755 173.0967
81.199997 97.769 172.4427
82.500000 97.768 171.7073
83.800003 97.752 170.9691
85.000000 97.727 170.3393
86.199997 97.699 169.7330
87.500000 97.655 169.1244
88.500000 97.619 168.7475
90.000000 97.579 168.2005
91.199997 97.541 167.6725
92.500000 97.484 167.1412
93.800003 97.431 166.6815
95.000000 97.390 166.2431
96.199997 97.348 165.7794
97.500000 97.301 165.3027
98.800003 97.248 164.8702
100.000000 97.196 164.5698
101.500000 97.143 164.3101
103.000000 97.103 164.0317
104.400002 97.064 163.7554
106.000000 97.018 163.4755
107.500000 96.984 163.2493
109.000000 96.956 163.0152
110.599998 96.938 162.7705
112.000000 96.933 162.4756
113.800003 96.929 161.9519
115.000000 96.919 161.5394
117.199997 96.879 160.7672
118.000000 96.856 160.5016
120.599998 96.761 159.8045
122.000000 96.705 159.5777
124.099998 96.648 159.4323
125.000000 96.642 159.3825
126.500000 96.648 159.2221
128.000000 96.664 158.9306
131.500000 96.671 157.7771
132.000000 96.665 157.5792
134.000000 96.624 156.7980
136.000000 96.568 156.0823
138.000000 96.507 155.4410
140.000000 96.443 154.8656
143.000000 96.343 154.1248
145.000000 96.276 153.6863
147.500000 96.187 153.1495
150.000000 96.101 152.6514
152.500000 96.033 152.1359
155.000000 95.965 151.6103
157.500000 95.889 151.1379
160.000000 95.808 150.6872
162.500000 95.727 150.2426
165.000000 95.647 149.8155
167.500000 95.566 149.4142
170.000000 95.487 149.0279
172.500000 95.407 148.6534
175.000000 95.329 148.2983
177.500000 95.251 147.9582
180.000000 95.173 147.6324
182.500000 95.097 147.3187
185.000000 95.021 147.0163
187.500000 94.945 146.7243
190.000000 94.871 146.4379
192.500000 94.796 146.1573
195.000000 94.722 145.8823
197.500000 94.646 145.6140
200.000000 94.571 145.3564
203.000000 94.484 145.0558
206.000000 94.398 144.7654
209.000000 94.310 144.4860
212.000000 94.224 144.2177
214.000000 94.167 144.0441
218.000000 94.052 143.7134
220.000000 93.994 143.5551
224.000000 93.881 143.2474
227.000000 93.795 143.0277
230.000000 93.709 142.8152
233.000000 93.624 142.6139
236.000000 93.540 142.4232
240.000000 93.429 142.1797
243.000000 93.346 142.0025
247.000000 93.233 141.7546
250.000000 93.149 141.5818
254.000000 93.041 141.4125
258.000000 92.932 141.2568
262.000000 92.824 141.0966
265.000000 92.743 140.9814
269.000000 92.635 140.8299
272.000000 92.554 140.7167
276.000000 92.445 140.5826
280.000000 92.338 140.4733
285.000000 92.207 140.3558
290.000000 92.076 140.2472
295.000000 91.943 140.1497
300.000000 91.811 140.0686
304.000000 91.706 140.0210
307.000000 91.628 139.9893
311.000000 91.523 139.9542
315.000000 91.420 139.9306
