* Measurement data measured by REW V5.31.3
* Source: A [plughw:5,0], Headset (Headset), 0, volume: 0.200
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 18/08/2025 9:19:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Que L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 36.336 137.5407
0.732422 39.666 93.5193
1.098633 44.859 63.3283
1.464844 49.744 44.6909
1.831055 53.847 31.3625
2.197266 57.232 20.5775
2.563477 60.022 11.3503
2.929688 62.332 3.3860
3.295898 64.269 -3.3710
3.662109 65.939 -8.9565
4.028320 67.436 -13.5136
4.394531 68.837 -17.3364
4.760742 70.183 -20.8118
5.126953 71.477 -24.2877
5.493164 72.700 -27.9615
5.859375 73.824 -31.8546
6.225586 74.835 -35.8605
6.591797 75.730 -39.8173
6.958008 76.521 -43.5723
7.324219 77.231 -47.0287
7.690430 77.886 -50.1710
8.056641 78.509 -53.0641
8.422852 79.112 -55.8206
8.789062 79.693 -58.5482
9.155273 80.243 -61.3023
9.521484 80.754 -64.0688
9.887695 81.221 -66.7857
10.253906 81.649 -69.3859
10.620117 82.050 -71.8401
10.986328 82.436 -74.1744
11.352539 82.811 -76.4523
11.718750 83.173 -78.7323
12.084961 83.513 -81.0307
12.451172 83.826 -83.3138
12.817383 84.110 -85.5219
13.183594 84.373 -87.6076
13.549805 84.625 -89.5631
13.916016 84.873 -91.4221
14.282227 85.120 -93.2364
14.648438 85.363 -95.0459
15.014648 85.597 -96.8624
15.380859 85.819 -98.6754
15.747070 86.029 -100.4683
16.113281 86.227 -102.2330
16.479492 86.415 -103.9703
16.845703 86.591 -105.6809
17.211914 86.756 -107.3558
17.578125 86.909 -108.9767
17.944336 87.053 -110.5267
18.310547 87.194 -112.0042
18.676758 87.335 -113.4297
19.042969 87.479 -114.8391
19.409180 87.621 -116.2662
19.775391 87.759 -117.7256
20.141602 87.886 -119.2058
20.507812 88.000 -120.6771
20.874023 88.103 -122.1087
21.240234 88.198 -123.4842
21.606445 88.289 -124.8079
21.972656 88.379 -126.0969
22.338867 88.466 -127.3672
22.705078 88.551 -128.6232
23.071289 88.631 -129.8589
23.437500 88.709 -131.0685
23.803711 88.786 -132.2565
24.169922 88.863 -133.4390
24.536133 88.938 -134.6319
24.902344 89.008 -135.8367
25.268555 89.070 -137.0342
25.634766 89.124 -138.1935
26.000977 89.174 -139.2908
26.367188 89.226 -140.3263
26.733398 89.283 -141.3259
27.099609 89.346 -142.3268
27.465820 89.411 -143.3553
27.832031 89.473 -144.4130
28.198242 89.528 -145.4792
28.564453 89.577 -146.5265
28.930664 89.621 -147.5377
29.296875 89.664 -148.5139
29.663086 89.708 -149.4698
30.029297 89.752 -150.4220
30.395508 89.794 -151.3773
30.761719 89.832 -152.3305
31.127930 89.864 -153.2682
31.494141 89.893 -154.1775
31.860352 89.919 -155.0521
32.226562 89.945 -155.8943
32.592773 89.972 -156.7130
32.958984 90.001 -157.5209
33.325195 90.032 -158.3297
33.691406 90.064 -159.1479
34.057617 90.094 -159.9788
34.423828 90.122 -160.8200
34.790039 90.147 -161.6654
35.156250 90.169 -162.5074
35.522461 90.187 -163.3387
35.888672 90.202 -164.1526
36.254883 90.215 -164.9435
36.621094 90.227 -165.7079
36.987305 90.240 -166.4472
37.353516 90.255 -167.1704
37.719727 90.272 -167.8912
38.085938 90.290 -168.6216
38.452148 90.306 -169.3634
38.818359 90.318 -170.1056
39.184570 90.327 -170.8304
39.550781 90.335 -171.5263
39.916992 90.344 -172.1976
40.283203 90.357 -172.8631
40.649414 90.371 -173.5438
41.015625 90.385 -174.2485
41.381836 90.395 -174.9676
41.748047 90.399 -175.6810
42.114258 90.401 -176.3715
42.480469 90.402 -177.0348
42.846680 90.405 -177.6794
43.212891 90.410 -178.3188
43.579102 90.417 -178.9641
43.945312 90.424 -179.6202
44.311523 90.430 179.7133
44.677734 90.433 179.0440
45.043945 90.432 178.3874
45.410156 90.429 177.7632
45.776367 90.427 177.1826
46.142578 90.430 176.6337
46.508789 90.442 176.0798
46.875000 90.457 175.4799
47.241211 90.469 174.8212
47.607422 90.469 174.1383
47.973633 90.457 173.4982
48.339844 90.440 172.9556
48.706055 90.431 172.5081
49.072266 90.437 172.0871
49.438477 90.457 171.6000
49.804688 90.478 170.9949
50.170898 90.486 170.2974
50.537109 90.475 169.5920
50.903320 90.449 168.9649
51.269531 90.421 168.4489
51.635742 90.402 168.0088
52.001953 90.395 167.5754
52.368164 90.394 167.0983
52.734375 90.392 166.5746
53.100586 90.386 166.0359
53.466797 90.377 165.5126
53.833008 90.369 165.0082
54.199219 90.364 164.5040
54.565430 90.360 163.9822
54.931641 90.355 163.4456
55.297852 90.347 162.9146
55.664062 90.337 162.4071
56.030273 90.330 161.9219
56.396484 90.326 161.4394
56.762695 90.325 160.9386
57.128906 90.322 160.4152
57.495117 90.316 159.8849
57.861328 90.305 159.3725
58.227539 90.292 158.8940
58.593750 90.281 158.4468
58.959961 90.275 158.0108
59.326172 90.272 157.5620
59.692383 90.269 157.0873
60.058594 90.262 156.5944
60.424805 90.249 156.1079
60.791016 90.233 155.6550
61.157227 90.218 155.2451
61.523438 90.209 154.8588
61.889648 90.205 154.4558
62.255859 90.204 154.0032
62.622070 90.197 153.5041
62.988281 90.179 153.0034
63.354492 90.152 152.5629
63.720703 90.126 152.2169
64.086914 90.110 151.9409
64.453125 90.111 151.6598
64.819336 90.122 151.2971
65.185547 90.131 150.8286
65.551758 90.127 150.3000
65.917969 90.108 149.7953
66.284180 90.082 149.3781
66.650391 90.061 149.0485
67.016602 90.054 148.7450
67.382812 90.056 148.3923
67.749023 90.060 147.9562
68.115234 90.054 147.4651
68.481445 90.037 146.9840
68.847656 90.014 146.5653
69.213867 89.994 146.2119
69.580078 89.984 145.8787
69.946289 89.982 145.5078
70.312500 89.980 145.0711
70.678711 89.971 144.5878
71.044922 89.951 144.1081
71.411133 89.924 143.6801
71.777344 89.898 143.3208
72.143555 89.877 143.0102
72.509766 89.867 142.7063
72.875977 89.862 142.3706
73.242188 89.859 141.9872
73.608398 89.852 141.5673
73.974609 89.838 141.1402
74.340820 89.819 140.7375
74.707031 89.798 140.3771
75.073242 89.780 140.0540
75.439453 89.767 139.7438
75.805664 89.759 139.4171
76.171875 89.750 139.0594
76.538086 89.738 138.6824
76.904297 89.721 138.3174
77.270508 89.701 137.9924
77.636719 89.685 137.7080
78.002930 89.677 137.4317
78.369141 89.675 137.1169
78.735352 89.674 136.7371
79.101562 89.666 136.3076
79.467773 89.646 135.8781
79.833984 89.619 135.5004
80.200195 89.592 135.1934
80.566406 89.572 134.9310
80.932617 89.562 134.6619
81.298828 89.556 134.3474
81.665039 89.549 133.9861
82.031250 89.536 133.6094
82.397461 89.517 133.2541
82.763672 89.499 132.9338
83.129883 89.485 132.6317
83.496094 89.475 132.3177
83.862305 89.467 131.9733
84.228516 89.455 131.6058
84.594727 89.438 131.2411
84.960938 89.417 130.9035
85.327148 89.397 130.5999
85.693359 89.381 130.3171
86.059570 89.369 130.0338
86.425781 89.359 129.7348
86.791992 89.349 129.4178
87.158203 89.337 129.0912
87.524414 89.322 128.7660
87.890625 89.306 128.4503
88.256836 89.289 128.1484
88.623047 89.272 127.8622
88.989258 89.256 127.5910
89.355469 89.241 127.3307
89.721680 89.229 127.0725
90.087891 89.220 126.8056
90.454102 89.211 126.5218
90.820312 89.201 126.2207
91.186523 89.189 125.9102
91.552734 89.174 125.6019
91.918945 89.157 125.3044
92.285156 89.139 125.0196
92.651367 89.122 124.7433
93.017578 89.106 124.4699
93.383789 89.090 124.1966
93.750000 89.074 123.9235
94.116211 89.059 123.6515
94.482422 89.044 123.3788
94.848633 89.030 123.1005
95.214844 89.017 122.8114
95.581055 89.004 122.5099
95.947266 88.989 122.2000
96.313477 88.971 121.8907
96.679688 88.952 121.5915
97.045898 88.933 121.3071
97.412109 88.916 121.0336
97.778320 88.900 120.7604
98.144531 88.886 120.4771
98.510742 88.869 120.1838
98.876953 88.849 119.8962
99.243164 88.826 119.6391
99.609375 88.804 119.4302
99.975586 88.787 119.2626
100.341797 88.779 119.1027
100.708008 88.779 118.9085
101.074219 88.780 118.6581
101.440430 88.776 118.3653
101.806641 88.764 118.0694
102.172852 88.748 117.8043
102.539062 88.732 117.5720
102.905273 88.720 117.3436
103.271484 88.708 117.0897
103.637695 88.691 116.8138
104.003906 88.665 116.5575
104.370117 88.636 116.3693
104.736328 88.612 116.2599
105.102539 88.602 116.1811
105.468750 88.608 116.0513
105.834961 88.619 115.8101
106.201172 88.623 115.4595
106.567383 88.613 115.0596
106.933594 88.587 114.6873
107.299805 88.553 114.3915
107.666016 88.522 114.1738
108.032227 88.498 114.0019
108.398438 88.483 113.8386
108.764648 88.474 113.6589
109.130859 88.470 113.4496
109.497070 88.468 113.2018
109.863281 88.465 112.9127
110.229492 88.456 112.5945
110.595703 88.440 112.2782
110.961914 88.417 112.0000
111.328125 88.394 111.7783
111.694336 88.374 111.6008
112.060547 88.361 111.4356
112.426758 88.352 111.2570
112.792969 88.343 111.0638
113.159180 88.333 110.8716
113.525391 88.325 110.6889
113.891602 88.320 110.5005
114.257812 88.317 110.2784
114.624023 88.311 110.0103
114.990234 88.296 109.7197
115.356445 88.271 109.4560
115.722656 88.242 109.2595
116.088867 88.219 109.1289
116.455078 88.205 109.0179
116.821289 88.202 108.8671
117.187500 88.200 108.6455
117.553711 88.192 108.3690
117.919922 88.175 108.0847
118.286133 88.151 107.8362
118.652344 88.127 107.6370
119.018555 88.109 107.4677
119.384766 88.096 107.2960
119.750977 88.086 107.1006
120.117188 88.075 106.8820
120.483398 88.062 106.6562
120.849609 88.048 106.4405
121.215820 88.033 106.2407
121.582031 88.021 106.0501
121.948242 88.011 105.8549
122.314453 88.002 105.6447
122.680664 87.992 105.4198
123.046875 87.979 105.1923
123.413086 87.963 104.9783
123.779297 87.947 104.7873
124.145508 87.933 104.6138
124.511719 87.922 104.4398
124.877930 87.914 104.2470
125.244141 87.904 104.0312
125.610352 87.890 103.8072
125.976562 87.873 103.5987
126.342773 87.854 103.4208
126.708984 87.839 103.2672
127.075195 87.828 103.1143
127.441406 87.820 102.9391
127.807617 87.811 102.7362
128.173828 87.799 102.5222
128.540039 87.783 102.3211
128.906250 87.766 102.1464
129.272461 87.752 101.9904
129.638672 87.742 101.8320
130.004883 87.733 101.6531
130.371094 87.724 101.4517
130.737305 87.712 101.2419
131.103516 87.696 101.0413
131.469727 87.681 100.8583
131.835938 87.666 100.6888
132.202148 87.653 100.5224
132.568359 87.641 100.3521
132.934570 87.629 100.1789
133.300781 87.617 100.0077
133.666992 87.606 99.8409
134.033203 87.595 99.6746
134.399414 87.586 99.5025
134.765625 87.577 99.3222
135.131836 87.566 99.1395
135.498047 87.554 98.9640
135.864258 87.542 98.8008
136.230469 87.531 98.6451
136.596680 87.522 98.4848
136.962891 87.513 98.3115
137.329102 87.502 98.1291
137.695312 87.487 97.9541
138.061523 87.471 97.8026
138.427734 87.456 97.6755
138.793945 87.446 97.5544
139.160156 87.438 97.4130
139.526367 87.430 97.2394
139.892578 87.417 97.0475
140.258789 87.400 96.8677
140.625000 87.381 96.7207
140.991211 87.367 96.5958
141.357422 87.359 96.4537
141.723633 87.354 96.2578
142.089844 87.343 96.0086
142.456055 87.321 95.7521
142.822266 87.290 95.5513
143.188477 87.260 95.4388
143.554688 87.241 95.3871
143.920898 87.237 95.3228
144.287109 87.242 95.1798
144.653320 87.244 94.9486
145.019531 87.234 94.6837
145.385742 87.212 94.4632
145.751953 87.189 94.3323
146.118164 87.175 94.2710
146.484375 87.175 94.2106
146.850586 87.183 94.0860
147.216797 87.188 93.8821
147.583008 87.184 93.6407
147.949219 87.167 93.4276
148.315430 87.146 93.2879
148.681641 87.129 93.2191
149.047852 87.122 93.1774
149.414062 87.124 93.1081
149.780273 87.130 92.9769
150.146484 87.133 92.7830
150.512695 87.127 92.5530
150.878906 87.112 92.3237
