* Measurement data measured by REW V5.31.3
* Source: A [plughw:5,0], Headset (Headset), 0, volume: 0.200
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 18/08/2025 9:18:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Que R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 39.939 124.5932
0.732422 43.497 82.6978
1.098633 47.180 53.8266
1.464844 50.323 34.0439
1.831055 52.903 21.2809
2.197266 55.225 14.5401
2.563477 57.725 11.7260
2.929688 60.550 9.1185
3.295898 63.414 4.1596
3.662109 65.970 -3.1446
4.028320 68.049 -11.5528
4.394531 69.636 -19.6888
4.760742 70.827 -26.4017
5.126953 71.805 -31.0386
5.493164 72.791 -33.8698
5.859375 73.908 -36.1383
6.225586 75.092 -39.1438
6.591797 76.174 -43.2493
6.958008 77.027 -47.8762
7.324219 77.630 -52.0616
7.690430 78.079 -55.0112
8.056641 78.537 -56.6050
8.422852 79.132 -57.6195
8.789062 79.848 -59.1723
9.155273 80.554 -61.7936
9.521484 81.118 -65.1522
9.887695 81.498 -68.4454
10.253906 81.752 -70.9142
10.620117 82.009 -72.3034
10.986328 82.390 -73.1163
11.352539 82.913 -74.3048
11.718750 83.480 -76.5285
12.084961 83.966 -79.7568
12.451172 84.288 -83.4452
12.817383 84.438 -86.8854
13.183594 84.474 -89.4957
13.549805 84.498 -91.0607
13.916016 84.608 -91.8704
14.282227 84.844 -92.5728
14.648438 85.163 -93.7432
15.014648 85.487 -95.5477
15.380859 85.754 -97.7587
15.747070 85.949 -99.9938
16.113281 86.103 -101.9680
16.479492 86.260 -103.6455
16.845703 86.450 -105.2214
17.211914 86.665 -106.9343
17.578125 86.872 -108.8619
17.944336 87.046 -110.8738
18.310547 87.188 -112.7601
18.676758 87.324 -114.4151
19.042969 87.482 -115.9288
19.409180 87.662 -117.5014
19.775391 87.837 -119.2493
20.141602 87.978 -121.0890
20.507812 88.076 -122.8019
20.874023 88.153 -124.2169
21.240234 88.243 -125.3602
21.606445 88.361 -126.4353
21.972656 88.491 -127.6319
22.338867 88.598 -128.9459
22.705078 88.668 -130.1902
23.071289 88.720 -131.1810
23.437500 88.792 -131.9376
23.803711 88.904 -132.7080
24.169922 89.035 -133.7608
24.536133 89.137 -135.1357
24.902344 89.177 -136.5938
25.268555 89.162 -137.7955
25.634766 89.143 -138.5653
26.000977 89.173 -139.0552
26.367188 89.267 -139.6420
26.733398 89.389 -140.6163
27.099609 89.485 -141.9628
27.465820 89.529 -143.4174
27.832031 89.534 -144.6965
28.198242 89.537 -145.7066
28.564453 89.569 -146.5861
28.930664 89.628 -147.5508
29.296875 89.687 -148.6876
29.663086 89.723 -149.8922
30.029297 89.737 -150.9844
30.395508 89.752 -151.8791
30.761719 89.792 -152.6662
31.127930 89.859 -153.5302
31.494141 89.928 -154.5838
31.860352 89.972 -155.7721
32.226562 89.981 -156.9187
32.592773 89.968 -157.8585
32.958984 89.960 -158.5533
33.325195 89.981 -159.1134
33.691406 90.032 -159.7134
34.057617 90.098 -160.4747
34.423828 90.157 -161.4066
34.790039 90.196 -162.4315
35.156250 90.211 -163.4478
35.522461 90.211 -164.3817
35.888672 90.206 -165.2072
36.254883 90.204 -165.9410
36.621094 90.212 -166.6257
36.987305 90.231 -167.3111
37.353516 90.255 -168.0356
37.719727 90.280 -168.8110
38.085938 90.299 -169.6187
38.452148 90.309 -170.4208
38.818359 90.315 -171.1815
39.184570 90.321 -171.8879
39.550781 90.331 -172.5565
39.916992 90.349 -173.2234
40.283203 90.371 -173.9243
40.649414 90.392 -174.6748
41.015625 90.406 -175.4608
41.381836 90.408 -176.2421
41.748047 90.401 -176.9689
42.114258 90.391 -177.6078
42.480469 90.389 -178.1664
42.846680 90.400 -178.6989
43.212891 90.425 -179.2818
43.579102 90.453 -179.9679
43.945312 90.472 179.2509
44.311523 90.473 178.4435
44.677734 90.459 177.6988
45.043945 90.440 177.0684
45.410156 90.430 176.5309
45.776367 90.435 176.0066
46.142578 90.450 175.4161
46.508789 90.463 174.7379
46.875000 90.463 174.0192
47.241211 90.451 173.3354
47.607422 90.435 172.7299
47.973633 90.424 172.1830
48.339844 90.422 171.6329
48.706055 90.421 171.0336
49.072266 90.413 170.3982
49.438477 90.393 169.7921
49.804688 90.368 169.2802
50.170898 90.350 168.8690
50.537109 90.351 168.4927
50.903320 90.368 168.0560
51.269531 90.390 167.5017
51.635742 90.403 166.8489
52.001953 90.401 166.1730
52.368164 90.389 165.5480
52.734375 90.375 164.9972
53.100586 90.368 164.4845
53.466797 90.369 163.9534
53.833008 90.368 163.3771
54.199219 90.361 162.7801
54.565430 90.344 162.2159
54.931641 90.325 161.7227
55.297852 90.312 161.2914
55.664062 90.308 160.8724
56.030273 90.311 160.4127
56.396484 90.313 159.8948
56.762695 90.306 159.3464
57.128906 90.289 158.8165
57.495117 90.268 158.3404
57.861328 90.248 157.9173
58.227539 90.234 157.5172
58.593750 90.224 157.1071
58.959961 90.216 156.6742
59.326172 90.208 156.2263
59.692383 90.199 155.7738
60.058594 90.192 155.3117
60.424805 90.186 154.8208
60.791016 90.178 154.2904
61.157227 90.163 153.7403
61.523438 90.139 153.2190
61.889648 90.113 152.7711
62.255859 90.095 152.3950
62.622070 90.093 152.0279
62.988281 90.104 151.5813
63.354492 90.114 151.0081
63.720703 90.106 150.3509
64.086914 90.073 149.7306
64.453125 90.024 149.2765
64.819336 89.982 149.0375
65.185547 89.968 148.9341
65.551758 89.990 148.7955
65.917969 90.033 148.4681
66.284180 90.069 147.9125
66.650391 90.078 147.2212
67.016602 90.052 146.5551
67.382812 90.003 146.0503
67.749023 89.953 145.7475
68.115234 89.921 145.5810
68.481445 89.913 145.4303
68.847656 89.921 145.1952
69.213867 89.932 144.8395
69.580078 89.937 144.3856
69.946289 89.931 143.8792
70.312500 89.912 143.3601
70.678711 89.884 142.8558
71.044922 89.846 142.3911
71.411133 89.804 141.9941
71.777344 89.763 141.6858
72.143555 89.732 141.4575
72.509766 89.720 141.2585
72.875977 89.726 141.0109
73.242188 89.743 140.6486
73.608398 89.757 140.1567
73.974609 89.759 139.5816
74.340820 89.743 139.0056
74.707031 89.716 138.5009
75.073242 89.688 138.0897
75.439453 89.668 137.7363
75.805664 89.657 137.3777
76.171875 89.647 136.9727
76.538086 89.629 136.5368
76.904297 89.598 136.1370
77.270508 89.558 135.8483
77.636719 89.524 135.7002
78.002930 89.509 135.6440
78.369141 89.518 135.5705
78.735352 89.544 135.3726
79.101562 89.569 135.0106
79.467773 89.577 134.5349
79.833984 89.563 134.0509
80.200195 89.535 133.6498
80.566406 89.506 133.3490
80.932617 89.488 133.0842
81.298828 89.478 132.7671
81.665039 89.461 132.3675
82.031250 89.427 131.9522
82.397461 89.376 131.6437
82.763672 89.328 131.5197
83.129883 89.306 131.5267
83.496094 89.321 131.4882
83.862305 89.356 131.2256
84.228516 89.380 130.7009
84.594727 89.365 130.0607
84.960938 89.310 129.5470
85.327148 89.244 129.3330
85.693359 89.207 129.3837
86.059570 89.223 129.4560
86.425781 89.278 129.2709
86.791992 89.328 128.7235
87.158203 89.336 127.9513
87.524414 89.291 127.2288
87.890625 89.218 126.7823
88.256836 89.155 126.6413
88.623047 89.132 126.6242
88.989258 89.145 126.4860
89.355469 89.162 126.1090
89.721680 89.155 125.5737
90.087891 89.115 125.0730
90.454102 89.060 124.7593
90.820312 89.017 124.6358
91.186523 89.002 124.5652
91.552734 89.011 124.3876
91.918945 89.023 124.0416
92.285156 89.018 123.5906
92.651367 88.995 123.1513
93.017578 88.964 122.7971
93.383789 88.937 122.5144
93.750000 88.919 122.2369
94.116211 88.903 121.9209
94.482422 88.880 121.5903
94.848633 88.849 121.3130
95.214844 88.822 121.1331
95.581055 88.810 121.0175
95.947266 88.818 120.8683
96.313477 88.836 120.5940
96.679688 88.846 120.1826
97.045898 88.835 119.7171
97.412109 88.803 119.3224
97.778320 88.764 119.0830
98.144531 88.738 118.9831
98.510742 88.736 118.9145
98.876953 88.753 118.7493
99.243164 88.772 118.4255
99.609375 88.775 117.9819
99.975586 88.755 117.5245
100.341797 88.718 117.1558
100.708008 88.677 116.9142
101.074219 88.646 116.7607
101.440430 88.627 116.6180
101.806641 88.616 116.4305
102.172852 88.603 116.1960
102.539062 88.585 115.9518
102.905273 88.565 115.7307
103.271484 88.548 115.5291
103.637695 88.536 115.3122
104.003906 88.526 115.0509
104.370117 88.510 114.7554
104.736328 88.485 114.4743
105.102539 88.458 114.2561
105.468750 88.436 114.1045
105.834961 88.429 113.9652
106.201172 88.432 113.7616
106.567383 88.436 113.4538
106.933594 88.428 113.0743
107.299805 88.402 112.7104
107.666016 88.366 112.4460
108.032227 88.334 112.3026
108.398438 88.317 112.2230
108.764648 88.318 112.1121
109.130859 88.325 111.9054
109.497070 88.325 111.6122
109.863281 88.312 111.3009
110.229492 88.289 111.0443
110.595703 88.267 110.8651
110.961914 88.256 110.7215
111.328125 88.254 110.5419
111.694336 88.254 110.2816
112.060547 88.246 109.9557
112.426758 88.223 109.6265
112.792969 88.191 109.3586
113.159180 88.159 109.1757
113.525391 88.136 109.0476
113.891602 88.124 108.9157
114.257812 88.118 108.7347
114.624023 88.112 108.4991
114.990234 88.100 108.2383
115.356445 88.082 107.9891
115.722656 88.064 107.7697
116.088867 88.047 107.5717
116.455078 88.034 107.3743
116.821289 88.022 107.1648
117.187500 88.009 106.9482
117.553711 87.994 106.7404
117.919922 87.980 106.5517
118.286133 87.967 106.3763
118.652344 87.959 106.1957
119.018555 87.952 105.9929
119.384766 87.943 105.7650
119.750977 87.930 105.5255
120.117188 87.913 105.2942
120.483398 87.893 105.0846
120.849609 87.873 104.8975
121.215820 87.855 104.7245
121.582031 87.839 104.5556
121.948242 87.824 104.3854
122.314453 87.811 104.2125
122.680664 87.799 104.0352
123.046875 87.788 103.8482
123.413086 87.779 103.6447
123.779297 87.769 103.4224
124.145508 87.756 103.1883
124.511719 87.740 102.9577
124.877930 87.722 102.7477
125.244141 87.703 102.5674
125.610352 87.688 102.4112
125.976562 87.678 102.2600
126.342773 87.671 102.0920
126.708984 87.664 101.8967
127.075195 87.654 101.6838
127.441406 87.638 101.4799
127.807617 87.618 101.3123
128.173828 87.600 101.1903
128.540039 87.589 101.0938
128.906250 87.586 100.9810
129.272461 87.587 100.8102
129.638672 87.586 100.5642
130.004883 87.575 100.2623
130.371094 87.550 99.9537
130.737305 87.512 99.6958
131.103516 87.471 99.5278
131.469727 87.434 99.4483
131.835938 87.411 99.4123
132.202148 87.402 99.3514
132.568359 87.400 99.2137
132.934570 87.395 98.9980
133.300781 87.381 98.7585
133.666992 87.359 98.5690
134.033203 87.339 98.4669
134.399414 87.335 98.4159
134.765625 87.348 98.3244
135.131836 87.368 98.1159
135.498047 87.378 97.7964
135.864258 87.370 97.4577
136.230469 87.345 97.2115
136.596680 87.322 97.1000
136.962891 87.314 97.0594
137.329102 87.321 96.9747
137.695312 87.327 96.7847
138.061523 87.317 96.5397
138.427734 87.290 96.3560
138.793945 87.260 96.3041
139.160156 87.245 96.3304
139.526367 87.249 96.2929
139.892578 87.255 96.0914
140.258789 87.239 95.7689
140.625000 87.195 95.4836
140.991211 87.139 95.3704
141.357422 87.102 95.4043
141.723633 87.097 95.3956
142.089844 87.106 95.1493
142.456055 87.092 94.6508
142.822266 87.028 94.1084
143.188477 86.921 93.8214
143.554688 86.815 93.9652
143.920898 86.762 94.4384
144.287109 86.783 94.9099
144.653320 86.857 95.0596
145.019531 86.935 94.7969
145.385742 86.979 94.2739
145.751953 86.981 93.7368
146.118164 86.959 93.3616
146.484375 86.938 93.1738
146.850586 86.935 93.0773
147.216797 86.949 92.9518
147.583008 86.965 92.7338
147.949219 86.971 92.4387
148.315430 86.957 92.1372
148.681641 86.922 91.9225
149.047852 86.877 91.8762
149.414062 86.839 92.0262
149.780273 86.828 92.3059
150.146484 86.854 92.5575
150.512695 86.906 92.6083
150.878906 86.958 92.3781
