* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 30/12/2022 7:17:29 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: RA10 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 70.626 13.8687
1.015000 70.816 12.5410
1.030000 71.002 11.3122
1.044000 71.173 10.2482
1.060000 71.364 9.1222
1.075000 71.541 8.1462
1.090000 71.714 7.2396
1.106000 71.896 6.3407
1.120000 72.052 5.6051
1.138000 72.250 4.7189
1.150000 72.380 4.1595
1.172000 72.614 3.1852
1.180000 72.698 2.8436
1.206000 72.967 1.7622
1.220000 73.110 1.1884
1.241000 73.321 0.3222
1.250000 73.410 -0.0553
1.265000 73.558 -0.6988
1.280000 73.705 -1.3667
1.315000 74.043 -3.0614
1.320000 74.091 -3.3231
1.340000 74.282 -4.4298
1.360000 74.471 -5.6293
1.380000 74.658 -6.8817
1.400000 74.841 -8.1775
1.430000 75.110 -10.1871
1.450000 75.285 -11.5604
1.475000 75.501 -13.3023
1.500000 75.712 -15.0595
1.525000 75.919 -16.8182
1.550000 76.122 -18.5644
1.575000 76.322 -20.2844
1.600000 76.517 -21.9644
1.625000 76.709 -23.5905
1.650000 76.897 -25.1489
1.675000 77.082 -26.6257
1.700000 77.263 -28.0159
1.725000 77.440 -29.3400
1.750000 77.612 -30.6066
1.775000 77.781 -31.8228
1.800000 77.945 -32.9961
1.825000 78.106 -34.1336
1.850000 78.263 -35.2426
1.875000 78.417 -36.3305
1.900000 78.567 -37.4045
1.925000 78.714 -38.4719
1.950000 78.859 -39.5399
1.975000 79.000 -40.6159
2.000000 79.140 -41.7071
2.030000 79.303 -43.0442
2.060000 79.462 -44.3900
2.090000 79.616 -45.7354
2.120000 79.765 -47.0775
2.140000 79.862 -47.9692
2.180000 80.050 -49.7418
2.200000 80.141 -50.6211
2.240000 80.319 -52.3617
2.270000 80.448 -53.6484
2.300000 80.574 -54.9161
2.330000 80.696 -56.1622
2.360000 80.816 -57.3841
2.400000 80.969 -58.9880
2.430000 81.079 -60.1753
2.470000 81.220 -61.7350
2.500000 81.322 -62.8853
2.540000 81.453 -64.3907
2.580000 81.578 -65.8604
2.620000 81.698 -67.2914
2.650000 81.786 -68.3371
2.690000 81.899 -69.6921
2.720000 81.981 -70.6754
2.760000 82.086 -71.9410
2.800000 82.184 -73.1607
2.850000 82.301 -74.6307
2.900000 82.412 -76.0517
2.950000 82.518 -77.4366
3.000000 82.620 -78.7981
3.040000 82.700 -79.8788
3.070000 82.757 -80.6850
3.110000 82.830 -81.7496
3.150000 82.900 -82.7977
3.200000 82.983 -84.0765
3.250000 83.064 -85.3109
3.300000 83.143 -86.4906
3.350000 83.222 -87.6053
3.400000 83.300 -88.6423
3.450000 83.376 -89.5981
3.500000 83.450 -90.4894
3.550000 83.522 -91.3336
3.600000 83.595 -92.1482
3.650000 83.668 -92.9506
3.700000 83.744 -93.7582
3.750000 83.820 -94.5663
3.820000 83.929 -95.6691
3.870000 84.007 -96.4375
3.950000 84.135 -97.6358
4.000000 84.215 -98.3664
4.060000 84.314 -99.2234
4.120000 84.416 -100.0413
4.180000 84.520 -100.8299
4.250000 84.642 -101.7363
4.310000 84.746 -102.5215
4.370000 84.849 -103.3327
4.440000 84.969 -104.3141
4.500000 85.073 -105.1710
4.550000 85.159 -105.8938
4.620000 85.277 -106.9158
4.680000 85.374 -107.7982
4.750000 85.482 -108.8338
4.820000 85.586 -109.8838
4.870000 85.659 -110.6399
4.940000 85.755 -111.7018
5.000000 85.833 -112.6106
5.080000 85.928 -113.8159
5.150000 86.003 -114.8788
5.220000 86.072 -115.9418
5.300000 86.144 -117.1398
5.380000 86.207 -118.3010
5.450000 86.254 -119.2894
5.520000 86.294 -120.2622
5.600000 86.333 -121.3408
5.700000 86.374 -122.6152
5.800000 86.407 -123.7921
5.900000 86.429 -124.8860
6.000000 86.449 -125.8974
6.080000 86.465 -126.6464
6.150000 86.478 -127.2513
6.220000 86.491 -127.8137
6.300000 86.506 -128.4146
6.400000 86.531 -129.1205
6.500000 86.563 -129.7593
6.600000 86.599 -130.3397
6.700000 86.642 -130.9060
6.800000 86.693 -131.4808
6.900000 86.751 -132.0403
7.000000 86.813 -132.6104
7.100000 86.877 -133.2181
7.200000 86.946 -133.8554
7.300000 87.015 -134.5201
7.400000 87.081 -135.2170
7.500000 87.143 -135.9548
7.620000 87.214 -136.8837
7.750000 87.281 -137.9087
7.880000 87.334 -138.9583
8.000000 87.374 -139.9331
8.120000 87.403 -140.8731
8.250000 87.422 -141.8660
8.380000 87.432 -142.8098
8.500000 87.436 -143.6148
8.620000 87.434 -144.3652
8.750000 87.430 -145.1147
8.850000 87.427 -145.6400
9.000000 87.422 -146.3562
9.120000 87.423 -146.8916
9.250000 87.428 -147.4254
9.380000 87.438 -147.9338
9.500000 87.452 -148.4029
9.620000 87.470 -148.8623
9.750000 87.492 -149.3681
9.880000 87.516 -149.8930
10.000000 87.539 -150.3887
10.150000 87.567 -151.0245
10.300000 87.592 -151.6814
10.440000 87.613 -152.2975
10.600000 87.632 -153.0028
10.750000 87.646 -153.6552
10.900000 87.657 -154.2862
11.060000 87.665 -154.9378
11.200000 87.672 -155.4825
11.380000 87.678 -156.1509
11.500000 87.684 -156.5800
11.720000 87.694 -157.3322
11.800000 87.699 -157.5998
12.060000 87.717 -158.4472
12.200000 87.727 -158.8977
12.410000 87.745 -159.5671
12.500000 87.752 -159.8531
12.650000 87.765 -160.3286
12.800000 87.778 -160.8025
13.150000 87.808 -161.9037
13.200000 87.812 -162.0608
13.400000 87.828 -162.6885
13.600000 87.844 -163.3185
13.800000 87.857 -163.9507
14.000000 87.868 -164.5865
14.300000 87.878 -165.5377
14.500000 87.880 -166.1629
14.750000 87.876 -166.9240
15.000000 87.867 -167.6473
15.250000 87.854 -168.3261
15.500000 87.839 -168.9577
15.750000 87.823 -169.5449
16.000000 87.810 -170.0990
16.250000 87.798 -170.6302
16.500000 87.788 -171.1470
16.750000 87.780 -171.6573
17.000000 87.772 -172.1633
17.250000 87.763 -172.6650
17.500000 87.755 -173.1614
17.750000 87.747 -173.6517
18.000000 87.739 -174.1374
18.250000 87.731 -174.6212
18.500000 87.723 -175.1063
18.750000 87.715 -175.5960
19.000000 87.705 -176.0902
19.250000 87.694 -176.5856
19.500000 87.680 -177.0773
19.750000 87.663 -177.5563
20.000000 87.645 -178.0159
20.299999 87.623 -178.5391
20.600000 87.601 -179.0348
20.900000 87.582 -179.5155
21.200001 87.565 -179.9959
21.400000 87.553 179.6792
21.799999 87.527 179.0271
22.000000 87.511 178.7094
22.400000 87.475 178.1127
22.700001 87.448 177.7088
23.000000 87.425 177.3315
23.299999 87.406 176.9583
23.600000 87.390 176.5660
24.000000 87.366 175.9985
24.299999 87.342 175.5584
24.700001 87.302 174.9999
25.000000 87.270 174.6237
25.400000 87.232 174.1680
25.799999 87.201 173.7104
26.200001 87.174 173.2071
26.500000 87.150 172.8062
26.900000 87.110 172.2855
27.200001 87.079 171.9320
27.600000 87.039 171.5116
28.000000 87.007 171.1156
28.500000 86.973 170.6087
29.000000 86.937 170.1147
29.500000 86.903 169.6734
30.000000 86.877 169.2290
30.400000 86.853 168.8222
30.700001 86.826 168.5043
31.100000 86.774 168.1384
31.500000 86.712 167.9254
32.000000 86.652 167.8671
32.500000 86.632 167.8264
33.000000 86.636 167.5341
33.500000 86.626 166.9224
34.000000 86.573 166.1282
34.500000 86.471 165.3556
35.000000 86.340 164.7970
35.500000 86.219 164.5106
36.000000 86.147 164.2579
36.500000 86.111 163.6290
37.000000 86.031 162.5402
37.500000 85.840 161.5591
38.200001 85.501 161.7982
38.700001 85.416 162.9934
39.500000 85.639 163.8992
40.000000 85.780 163.1395
40.599998 85.795 161.9215
41.200001 85.726 161.3334
41.799999 85.692 161.2010
42.500000 85.684 160.9206
43.099998 85.645 160.6240
43.700001 85.591 160.4877
44.400002 85.537 160.3684
45.000000 85.486 160.1816
45.500000 85.433 160.0220
46.200001 85.357 159.8252
46.799999 85.297 159.6246
47.500000 85.224 159.3752
48.200001 85.162 159.1784
48.700001 85.131 159.0256
49.400002 85.097 158.6962
50.000000 85.056 158.3448
50.799999 84.978 157.9851
51.500000 84.910 157.8491
52.200001 84.854 157.7709
53.000000 84.791 157.6415
53.799999 84.719 157.5098
54.500000 84.654 157.4230
55.200001 84.592 157.3363
56.000000 84.526 157.2036
57.000000 84.448 156.9833
58.000000 84.375 156.7530
59.000000 84.306 156.5449
60.000000 84.239 156.3795
60.799999 84.187 156.2841
61.500000 84.141 156.2079
62.200001 84.092 156.1302
63.000000 84.031 156.0538
64.000000 83.952 155.9858
65.000000 83.878 155.9098
66.000000 83.810 155.8023
67.000000 83.744 155.6709
68.000000 83.679 155.5616
69.000000 83.618 155.5049
70.000000 83.560 155.4592
71.000000 83.495 155.4496
72.000000 83.434 155.4796
73.000000 83.375 155.4407
74.000000 83.306 155.3489
75.000000 83.232 155.2760
76.199997 83.151 155.2269
77.500000 83.083 155.2086
78.800003 83.030 155.1745
80.000000 82.981 155.1024
81.199997 82.910 155.1058
82.500000 82.847 155.2639
83.800003 82.784 155.2668
85.000000 82.716 155.3200
86.199997 82.653 155.3508
87.500000 82.577 155.4422
88.500000 82.526 155.5562
90.000000 82.451 155.6251
91.199997 82.375 155.5811
92.500000 82.281 155.4370
93.800003 82.180 155.1718
95.000000 82.064 154.9645
96.199997 81.968 155.2152
97.500000 81.971 155.6274
98.800003 82.004 155.6605
100.000000 81.994 155.6703
101.500000 81.951 155.8693
103.000000 81.889 156.1067
104.400002 81.820 156.2731
106.000000 81.736 156.4547
107.500000 81.680 156.6788
109.000000 81.646 156.8081
110.599998 81.604 156.8273
112.000000 81.552 156.7883
113.800003 81.468 156.7477
115.000000 81.413 156.7711
117.199997 81.335 156.9426
118.000000 81.315 157.0220
120.599998 81.241 157.2862
122.000000 81.194 157.4599
124.099998 81.126 157.7308
125.000000 81.100 157.8275
126.500000 81.057 157.9424
128.000000 81.007 158.0313
131.500000 80.885 158.3067
132.000000 80.870 158.3539
134.000000 80.821 158.5373
136.000000 80.782 158.6896
138.000000 80.735 158.8223
140.000000 80.676 158.9981
143.000000 80.593 159.3193
145.000000 80.542 159.5387
147.500000 80.478 159.8611
150.000000 80.428 160.1980
152.500000 80.387 160.4100
155.000000 80.330 160.5462
157.500000 80.259 160.7420
160.000000 80.195 160.9569
162.500000 80.140 161.1851
165.000000 80.091 161.4547
167.500000 80.043 161.7308
170.000000 79.992 161.9690
172.500000 79.938 162.1852
175.000000 79.886 162.3960
177.500000 79.832 162.6111
180.000000 79.780 162.8526
182.500000 79.733 163.1143
185.000000 79.689 163.3781
187.500000 79.641 163.6523
190.000000 79.591 163.9314
192.500000 79.540 164.1996
195.000000 79.485 164.4676
197.500000 79.427 164.7513
200.000000 79.368 165.0486
203.000000 79.300 165.4075
206.000000 79.236 165.7758
209.000000 79.173 166.1839
212.000000 79.104 166.6390
214.000000 79.052 166.9846
218.000000 78.943 167.7961
220.000000 78.889 168.2642
224.000000 78.788 169.3625
227.000000 78.733 170.4032
230.000000 78.706 171.6879
233.000000 78.718 173.1965
236.000000 78.802 174.7577
240.000000 79.056 176.3509
243.000000 79.300 176.8121
247.000000 79.585 176.4109
250.000000 79.719 175.6292
254.000000 79.782 174.4604
258.000000 79.763 173.5418
262.000000 79.709 172.9613
265.000000 79.658 172.6932
269.000000 79.587 172.5004
272.000000 79.533 172.4445
276.000000 79.468 172.4524
280.000000 79.409 172.5374
285.000000 79.342 172.7301
290.000000 79.280 172.9855
295.000000 79.223 173.2724
300.000000 79.174 173.5652
304.000000 79.138 173.8009
307.000000 79.110 173.9772
311.000000 79.075 174.2158
315.000000 79.043 174.4605
320.000000 79.005 174.7912
325.000000 78.969 175.1362
