* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 30/12/2022 7:18:22 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: RA10 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 72.700 101.7398
1.015000 72.605 100.0230
1.030000 72.510 98.2963
1.044000 72.422 96.6726
1.060000 72.322 94.8026
1.075000 72.228 93.0361
1.090000 72.136 91.2568
1.106000 72.039 89.3452
1.120000 71.955 87.6611
1.138000 71.851 85.4807
1.150000 71.783 84.0178
1.172000 71.663 81.3169
1.180000 71.621 80.3289
1.206000 71.492 77.0968
1.220000 71.427 75.3435
1.241000 71.337 72.6971
1.250000 71.301 71.5571
1.265000 71.245 69.6494
1.280000 71.194 67.7325
1.315000 71.097 63.2252
1.320000 71.086 62.5775
1.340000 71.049 59.9777
1.360000 71.024 57.3449
1.380000 71.008 54.6326
1.400000 71.002 51.8509
1.430000 71.009 47.5771
1.450000 71.025 44.6800
1.475000 71.056 41.0281
1.500000 71.099 37.3666
1.525000 71.154 33.7216
1.550000 71.219 30.1190
1.575000 71.295 26.5850
1.600000 71.380 23.1457
1.625000 71.473 19.8270
1.650000 71.574 16.6550
1.675000 71.683 13.6558
1.700000 71.802 10.8291
1.725000 71.939 8.1126
1.750000 72.093 5.4978
1.775000 72.260 2.9803
1.800000 72.439 0.5558
1.825000 72.627 -1.7802
1.850000 72.821 -4.0320
1.875000 73.019 -6.2040
1.900000 73.219 -8.3006
1.925000 73.417 -10.3262
1.950000 73.613 -12.2852
1.975000 73.802 -14.1820
2.000000 73.983 -16.0210
2.030000 74.187 -18.1521
2.060000 74.386 -20.1536
2.090000 74.583 -22.0234
2.120000 74.778 -23.7745
2.140000 74.907 -24.8826
2.180000 75.161 -26.9739
2.200000 75.286 -27.9650
2.240000 75.533 -29.8575
2.270000 75.715 -31.2138
2.300000 75.894 -32.5308
2.330000 76.069 -33.8217
2.360000 76.241 -35.0987
2.400000 76.464 -36.7222
2.430000 76.626 -37.8636
2.470000 76.838 -39.2952
2.500000 76.993 -40.3091
2.540000 77.195 -41.5924
2.580000 77.394 -42.8104
2.620000 77.590 -43.9773
2.650000 77.735 -44.8275
2.690000 77.928 -45.9392
2.720000 78.071 -46.7444
2.760000 78.258 -47.7487
2.800000 78.442 -48.6865
2.850000 78.668 -49.7864
2.900000 78.889 -50.8313
2.950000 79.107 -51.8485
3.000000 79.322 -52.8652
3.040000 79.492 -53.6944
3.070000 79.618 -54.3124
3.110000 79.784 -55.1223
3.150000 79.948 -55.9184
3.200000 80.150 -56.8973
3.250000 80.348 -57.8625
3.300000 80.542 -58.8184
3.350000 80.732 -59.7693
3.400000 80.919 -60.7138
3.450000 81.102 -61.6405
3.500000 81.282 -62.5547
3.550000 81.458 -63.4628
3.600000 81.629 -64.3709
3.650000 81.796 -65.2854
3.700000 81.957 -66.2127
3.750000 82.113 -67.1557
3.820000 82.323 -68.4935
3.870000 82.467 -69.4550
3.950000 82.687 -70.9904
4.000000 82.819 -71.9406
4.060000 82.970 -73.0646
4.120000 83.113 -74.1798
4.180000 83.250 -75.2876
4.250000 83.400 -76.5679
4.310000 83.523 -77.6522
4.370000 83.639 -78.7223
4.440000 83.768 -79.9558
4.500000 83.871 -81.0026
4.550000 83.952 -81.8649
4.620000 84.061 -83.0527
4.680000 84.150 -84.0489
4.750000 84.250 -85.1816
4.820000 84.343 -86.2850
4.870000 84.407 -87.0569
4.940000 84.492 -88.1173
5.000000 84.563 -89.0093
5.080000 84.655 -90.1761
5.150000 84.733 -91.1694
5.220000 84.807 -92.1405
5.300000 84.890 -93.2314
5.380000 84.972 -94.3109
5.450000 85.042 -95.2453
5.520000 85.110 -96.1656
5.600000 85.187 -97.2057
5.700000 85.280 -98.4988
5.800000 85.370 -99.7896
5.900000 85.458 -101.0719
6.000000 85.541 -102.3485
6.080000 85.604 -103.3681
6.150000 85.656 -104.2622
6.220000 85.706 -105.1554
6.300000 85.760 -106.1695
6.400000 85.823 -107.4177
6.500000 85.879 -108.6493
6.600000 85.930 -109.8633
6.700000 85.976 -111.0451
6.800000 86.017 -112.1873
6.900000 86.054 -113.2973
7.000000 86.087 -114.3678
7.100000 86.120 -115.3905
7.200000 86.150 -116.3647
7.300000 86.180 -117.2962
7.400000 86.211 -118.1909
7.500000 86.245 -119.0445
7.620000 86.288 -120.0179
7.750000 86.339 -121.0394
7.880000 86.396 -122.0259
8.000000 86.453 -122.9131
8.120000 86.512 -123.8026
8.250000 86.581 -124.7629
8.380000 86.651 -125.7253
8.500000 86.715 -126.6251
8.620000 86.778 -127.5324
8.750000 86.843 -128.5128
8.850000 86.890 -129.2659
9.000000 86.956 -130.3898
9.120000 87.003 -131.2642
9.250000 87.049 -132.1898
9.380000 87.091 -133.0845
9.500000 87.127 -133.8717
9.620000 87.160 -134.6255
9.750000 87.194 -135.4056
9.880000 87.228 -136.1443
10.000000 87.258 -136.7934
10.150000 87.297 -137.5756
10.300000 87.337 -138.3216
10.440000 87.375 -139.0015
10.600000 87.418 -139.7655
10.750000 87.458 -140.4713
10.900000 87.496 -141.1753
11.060000 87.534 -141.9192
11.200000 87.564 -142.5616
11.380000 87.597 -143.3749
11.500000 87.616 -143.9008
11.720000 87.645 -144.8324
11.800000 87.654 -145.1581
12.060000 87.680 -146.1674
12.200000 87.693 -146.6856
12.410000 87.712 -147.4330
12.500000 87.720 -147.7496
12.650000 87.735 -148.2694
12.800000 87.749 -148.7900
13.150000 87.781 -150.0236
13.200000 87.785 -150.2030
13.400000 87.800 -150.9268
13.600000 87.810 -151.6539
13.800000 87.815 -152.3786
14.000000 87.817 -153.0907
14.300000 87.816 -154.1228
14.500000 87.814 -154.7852
14.750000 87.812 -155.5863
15.000000 87.814 -156.3726
15.250000 87.818 -157.1559
15.500000 87.824 -157.9443
15.750000 87.831 -158.7421
16.000000 87.836 -159.5412
16.250000 87.839 -160.3304
16.500000 87.840 -161.0992
16.750000 87.841 -161.8362
17.000000 87.841 -162.5388
17.250000 87.844 -163.2114
17.500000 87.849 -163.8600
17.750000 87.856 -164.4952
18.000000 87.863 -165.1236
18.250000 87.870 -165.7454
18.500000 87.874 -166.3580
18.750000 87.875 -166.9526
19.000000 87.873 -167.5201
19.250000 87.868 -168.0561
19.500000 87.862 -168.5591
19.750000 87.856 -169.0341
20.000000 87.851 -169.4918
20.299999 87.845 -170.0306
20.600000 87.839 -170.5709
20.900000 87.830 -171.1181
21.200001 87.818 -171.6691
21.400000 87.807 -172.0347
21.799999 87.782 -172.7540
22.000000 87.767 -173.1062
22.400000 87.737 -173.7982
22.700001 87.714 -174.3106
23.000000 87.692 -174.8208
23.299999 87.670 -175.3304
23.600000 87.649 -175.8407
24.000000 87.622 -176.5245
24.299999 87.603 -177.0407
24.700001 87.578 -177.7297
25.000000 87.559 -178.2386
25.400000 87.533 -178.8924
25.799999 87.508 -179.5070
26.200001 87.486 179.9155
26.500000 87.472 179.5005
26.900000 87.453 178.9654
27.200001 87.439 178.5780
27.600000 87.418 178.0838
28.000000 87.395 177.6152
28.500000 87.363 177.0572
29.000000 87.325 176.5235
29.500000 87.281 176.0165
30.000000 87.235 175.5195
30.400000 87.197 175.1024
30.700001 87.166 174.7681
31.100000 87.121 174.2992
31.500000 87.069 173.8242
32.000000 87.001 173.2427
32.500000 86.935 172.6689
33.000000 86.869 172.1226
33.500000 86.812 171.6748
34.000000 86.785 171.3217
34.500000 86.800 170.8832
35.000000 86.828 170.1860
35.500000 86.820 169.3833
36.000000 86.783 168.8974
36.500000 86.792 168.8598
37.000000 86.902 168.7390
37.500000 87.049 167.8346
38.200001 87.063 165.4381
38.700001 86.867 164.1485
39.500000 86.483 164.4975
40.000000 86.393 165.4453
40.599998 86.402 165.9858
41.200001 86.383 165.8168
41.799999 86.297 165.5807
42.500000 86.188 165.5132
43.099998 86.118 165.3666
43.700001 86.049 165.0473
44.400002 85.963 164.6013
45.000000 85.896 164.2086
45.500000 85.849 163.8636
46.200001 85.795 163.3511
46.799999 85.753 162.9100
47.500000 85.708 162.4450
48.200001 85.670 162.0295
48.700001 85.641 161.7335
49.400002 85.582 161.3715
50.000000 85.521 161.2117
50.799999 85.451 161.1819
51.500000 85.408 161.1196
52.200001 85.359 160.9512
53.000000 85.291 160.7244
53.799999 85.220 160.4986
54.500000 85.161 160.2827
55.200001 85.105 160.0446
56.000000 85.041 159.7617
57.000000 84.961 159.4686
58.000000 84.892 159.2490
59.000000 84.829 159.0171
60.000000 84.758 158.7906
60.799999 84.697 158.6339
61.500000 84.643 158.5069
62.200001 84.590 158.3834
63.000000 84.532 158.2342
64.000000 84.462 158.0210
65.000000 84.390 157.8109
66.000000 84.321 157.6320
67.000000 84.253 157.4814
68.000000 84.186 157.3730
69.000000 84.123 157.2736
70.000000 84.059 157.1463
71.000000 83.992 157.0222
72.000000 83.925 156.9125
73.000000 83.859 156.8149
74.000000 83.797 156.7368
75.000000 83.738 156.6517
76.199997 83.664 156.5433
77.500000 83.584 156.4547
78.800003 83.506 156.3275
80.000000 83.426 156.2508
81.199997 83.358 156.2883
82.500000 83.307 156.3054
83.800003 83.253 156.2379
85.000000 83.184 156.1885
86.199997 83.106 156.2384
87.500000 83.032 156.3497
88.500000 82.986 156.3581
90.000000 82.912 156.2846
91.199997 82.860 156.2279
92.500000 82.801 156.1618
93.800003 82.738 156.2237
95.000000 82.694 156.3720
96.199997 82.664 156.4258
97.500000 82.610 156.3290
98.800003 82.536 156.2847
100.000000 82.469 156.2877
101.500000 82.390 156.3075
103.000000 82.319 156.3885
104.400002 82.263 156.4389
106.000000 82.196 156.4494
107.500000 82.129 156.4507
109.000000 82.065 156.4853
110.599998 82.011 156.5605
112.000000 81.973 156.5903
113.800003 81.911 156.6381
115.000000 81.863 156.7119
117.199997 81.766 156.9266
118.000000 81.734 157.0283
120.599998 81.656 157.2658
122.000000 81.614 157.3259
124.099998 81.541 157.4444
125.000000 81.508 157.5095
126.500000 81.451 157.6262
128.000000 81.397 157.7454
131.500000 81.282 157.9436
132.000000 81.265 157.9828
134.000000 81.208 158.1761
136.000000 81.159 158.3250
138.000000 81.103 158.4487
140.000000 81.044 158.5968
143.000000 80.956 158.8344
145.000000 80.901 159.0001
147.500000 80.831 159.2131
150.000000 80.760 159.4954
152.500000 80.695 159.7668
155.000000 80.638 159.9579
157.500000 80.583 160.0833
160.000000 80.528 160.2404
162.500000 80.470 160.4349
165.000000 80.409 160.6708
167.500000 80.350 160.9249
170.000000 80.293 161.1683
172.500000 80.239 161.3850
175.000000 80.185 161.5823
177.500000 80.133 161.7968
180.000000 80.082 162.0355
182.500000 80.030 162.2895
185.000000 79.978 162.5302
187.500000 79.923 162.7549
190.000000 79.870 162.9863
192.500000 79.819 163.2330
195.000000 79.769 163.4998
197.500000 79.716 163.7783
200.000000 79.663 164.0609
203.000000 79.601 164.3787
206.000000 79.540 164.6939
209.000000 79.481 165.0493
212.000000 79.418 165.4186
214.000000 79.370 165.6793
218.000000 79.270 166.2814
220.000000 79.222 166.6220
224.000000 79.125 167.3721
227.000000 79.047 168.0215
230.000000 78.974 168.7997
233.000000 78.917 169.7460
236.000000 78.882 170.8561
240.000000 78.893 172.5777
243.000000 78.970 173.9304
247.000000 79.176 175.4243
250.000000 79.382 175.9858
254.000000 79.641 175.8238
258.000000 79.812 174.9748
262.000000 79.878 173.9648
265.000000 79.876 173.3086
269.000000 79.837 172.6828
272.000000 79.793 172.3815
276.000000 79.725 172.1251
280.000000 79.655 172.0030
285.000000 79.572 171.9973
290.000000 79.500 172.1107
295.000000 79.434 172.2964
300.000000 79.370 172.5229
304.000000 79.323 172.7316
307.000000 79.290 172.8909
311.000000 79.249 173.1194
315.000000 79.211 173.3779
320.000000 79.166 173.6992
325.000000 79.125 174.0143
330.000000 79.086 174.3338
