* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06/08/2022 7:41:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: S12 Modded 2 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 66.034 36.5117
1.015000 66.241 35.1749
1.030000 66.445 33.9509
1.044000 66.634 32.9031
1.060000 66.849 31.8086
1.075000 67.048 30.8739
1.090000 67.246 30.0190
1.106000 67.455 29.1860
1.120000 67.636 28.5161
1.138000 67.867 27.7245
1.150000 68.020 27.2339
1.172000 68.298 26.3956
1.180000 68.398 26.1063
1.206000 68.720 25.2033
1.220000 68.892 24.7295
1.241000 69.146 24.0171
1.250000 69.255 23.7063
1.265000 69.434 23.1744
1.280000 69.612 22.6178
1.315000 70.021 21.1774
1.320000 70.078 20.9509
1.340000 70.308 19.9811
1.360000 70.534 18.9140
1.380000 70.758 17.7982
1.400000 70.978 16.6436
1.430000 71.304 14.8530
1.450000 71.517 13.6299
1.475000 71.780 12.0798
1.500000 72.039 10.5182
1.525000 72.293 8.9580
1.550000 72.544 7.4122
1.575000 72.791 5.8938
1.600000 73.033 4.4159
1.625000 73.273 2.9914
1.650000 73.509 1.6333
1.675000 73.741 0.3546
1.700000 73.970 -0.8386
1.725000 74.194 -1.9628
1.750000 74.414 -3.0269
1.775000 74.630 -4.0389
1.800000 74.842 -5.0068
1.825000 75.051 -5.9386
1.850000 75.255 -6.8422
1.875000 75.457 -7.7258
1.900000 75.655 -8.5973
1.925000 75.850 -9.4646
1.950000 76.042 -10.3358
1.975000 76.231 -11.2190
2.000000 76.418 -12.1220
2.030000 76.639 -13.2399
2.060000 76.855 -14.3698
2.090000 77.066 -15.5019
2.120000 77.272 -16.6339
2.140000 77.407 -17.3876
2.180000 77.671 -18.8895
2.200000 77.800 -19.6366
2.240000 78.054 -21.1198
2.270000 78.240 -22.2202
2.300000 78.423 -23.3080
2.330000 78.602 -24.3811
2.360000 78.779 -25.4374
2.400000 79.008 -26.8296
2.430000 79.175 -27.8643
2.470000 79.393 -29.2290
2.500000 79.551 -30.2401
2.540000 79.758 -31.5694
2.580000 79.959 -32.8749
2.620000 80.155 -34.1539
2.650000 80.298 -35.0942
2.690000 80.487 -36.3207
2.720000 80.625 -37.2159
2.760000 80.803 -38.3738
2.800000 80.977 -39.4973
2.850000 81.186 -40.8645
2.900000 81.388 -42.2034
2.950000 81.584 -43.5281
3.000000 81.775 -44.8528
3.040000 81.924 -45.9218
3.070000 82.033 -46.7304
3.110000 82.174 -47.8127
3.150000 82.311 -48.8938
3.200000 82.478 -50.2334
3.250000 82.639 -51.5481
3.300000 82.796 -52.8250
3.350000 82.949 -54.0513
3.400000 83.098 -55.2157
3.450000 83.243 -56.3219
3.500000 83.382 -57.3828
3.550000 83.518 -58.4114
3.600000 83.651 -59.4206
3.650000 83.780 -60.4233
3.700000 83.908 -61.4325
3.750000 84.032 -62.4502
3.820000 84.201 -63.8697
3.870000 84.319 -64.8724
3.950000 84.501 -66.4422
4.000000 84.613 -67.3932
4.060000 84.745 -68.4946
4.120000 84.875 -69.5490
4.180000 85.001 -70.5664
4.250000 85.145 -71.7227
4.310000 85.266 -72.7011
4.370000 85.385 -73.6802
4.440000 85.521 -74.8249
4.500000 85.635 -75.7983
4.550000 85.728 -76.6025
4.620000 85.857 -77.7156
4.680000 85.964 -78.6560
4.750000 86.087 -79.7348
4.820000 86.207 -80.7939
4.870000 86.290 -81.5400
4.940000 86.405 -82.5726
5.000000 86.501 -83.4487
5.080000 86.625 -84.6070
5.150000 86.730 -85.6103
5.220000 86.831 -86.6023
5.300000 86.944 -87.7206
5.380000 87.053 -88.8206
5.450000 87.145 -89.7690
5.520000 87.233 -90.7056
5.600000 87.331 -91.7581
5.700000 87.449 -93.0416
5.800000 87.562 -94.2850
5.900000 87.669 -95.4916
6.000000 87.773 -96.6645
6.080000 87.854 -97.5806
6.150000 87.923 -98.3653
6.220000 87.990 -99.1341
6.300000 88.065 -99.9939
6.400000 88.158 -101.0413
6.500000 88.249 -102.0543
6.600000 88.339 -103.0361
6.700000 88.427 -103.9969
6.800000 88.514 -104.9420
6.900000 88.600 -105.8664
7.000000 88.686 -106.7741
7.100000 88.769 -107.6692
7.200000 88.852 -108.5496
7.300000 88.933 -109.4164
7.400000 89.012 -110.2725
7.500000 89.089 -111.1194
7.620000 89.179 -112.1214
7.750000 89.272 -113.1858
7.880000 89.362 -114.2287
8.000000 89.441 -115.1710
8.120000 89.517 -116.0901
8.250000 89.596 -117.0601
8.380000 89.672 -118.0039
8.500000 89.739 -118.8514
8.620000 89.804 -119.6762
8.750000 89.872 -120.5481
8.850000 89.923 -121.2035
9.000000 89.997 -122.1625
9.120000 90.054 -122.9141
9.250000 90.114 -123.7131
9.380000 90.170 -124.4951
9.500000 90.219 -125.2025
9.620000 90.266 -125.8965
9.750000 90.313 -126.6280
9.880000 90.356 -127.3375
10.000000 90.394 -127.9723
10.150000 90.437 -128.7302
10.300000 90.477 -129.4487
10.440000 90.513 -130.0846
10.600000 90.553 -130.7665
10.750000 90.591 -131.3724
10.900000 90.630 -131.9515
11.060000 90.674 -132.5459
11.200000 90.715 -133.0641
11.380000 90.769 -133.7253
11.500000 90.805 -134.1764
11.720000 90.871 -135.0226
11.800000 90.894 -135.3361
12.060000 90.961 -136.3793
12.200000 90.992 -136.9385
12.410000 91.031 -137.7687
12.500000 91.046 -138.1105
12.650000 91.068 -138.6639
12.800000 91.090 -139.1938
13.150000 91.145 -140.3380
13.200000 91.155 -140.4959
13.400000 91.196 -141.1236
13.600000 91.244 -141.7895
13.800000 91.297 -142.5066
14.000000 91.350 -143.3078
14.300000 91.416 -144.6552
14.500000 91.445 -145.6230
14.750000 91.457 -146.8652
15.000000 91.442 -148.0417
15.250000 91.408 -149.0865
15.500000 91.365 -149.9568
15.750000 91.325 -150.6372
16.000000 91.302 -151.1834
16.250000 91.300 -151.6650
16.500000 91.319 -152.1480
16.750000 91.354 -152.7011
17.000000 91.392 -153.3437
17.250000 91.427 -154.0584
17.500000 91.453 -154.8171
17.750000 91.467 -155.5701
18.000000 91.472 -156.2771
18.250000 91.471 -156.9212
18.500000 91.468 -157.4934
18.750000 91.467 -157.9999
19.000000 91.470 -158.4544
19.250000 91.477 -158.8674
19.500000 91.489 -159.2497
19.750000 91.506 -159.6143
20.000000 91.530 -159.9778
20.299999 91.565 -160.4359
20.600000 91.604 -160.9464
20.900000 91.640 -161.5262
21.200001 91.666 -162.1667
21.400000 91.675 -162.6090
21.799999 91.673 -163.4560
22.000000 91.664 -163.8306
22.400000 91.640 -164.4530
22.700001 91.627 -164.8231
23.000000 91.624 -165.1553
23.299999 91.630 -165.4982
23.600000 91.642 -165.8871
24.000000 91.658 -166.4911
24.299999 91.664 -166.9851
24.700001 91.662 -167.6512
25.000000 91.657 -168.1344
25.400000 91.650 -168.7527
25.799999 91.644 -169.3597
26.200001 91.639 -169.9733
26.500000 91.634 -170.4386
26.900000 91.625 -171.0538
27.200001 91.617 -171.5016
27.600000 91.606 -172.0694
28.000000 91.597 -172.6019
28.500000 91.590 -173.2311
29.000000 91.588 -173.8457
29.500000 91.589 -174.4609
30.000000 91.589 -175.0712
30.400000 91.586 -175.5479
30.700001 91.584 -175.8967
31.100000 91.577 -176.3488
31.500000 91.568 -176.7798
32.000000 91.551 -177.2727
32.500000 91.534 -177.7103
33.000000 91.519 -178.1211
33.500000 91.504 -178.5356
34.000000 91.484 -178.9442
34.500000 91.462 -179.3257
35.000000 91.444 -179.7116
35.500000 91.426 179.8379
36.000000 91.396 179.3417
36.500000 91.352 178.9119
37.000000 91.315 178.5988
37.500000 91.305 178.2667
38.200001 91.298 177.4379
38.700001 91.249 176.6992
39.500000 91.106 176.1039
40.000000 91.055 176.1940
40.599998 91.079 176.2501
41.200001 91.136 175.8503
41.799999 91.155 175.1564
42.500000 91.128 174.4667
43.099998 91.105 174.0438
43.700001 91.089 173.6141
44.400002 91.061 173.0670
45.000000 91.029 172.6226
45.500000 91.003 172.2472
46.200001 90.959 171.6717
46.799999 90.909 171.2220
47.500000 90.868 170.8088
48.200001 90.859 170.2144
48.700001 90.837 169.5591
49.400002 90.733 168.7245
50.000000 90.616 168.5569
50.799999 90.558 168.9273
51.500000 90.605 168.9971
52.200001 90.645 168.6350
53.000000 90.644 168.1623
53.799999 90.626 167.8254
54.500000 90.610 167.5795
55.200001 90.597 167.3208
56.000000 90.575 166.9333
57.000000 90.516 166.4741
58.000000 90.467 166.1786
59.000000 90.433 165.7170
60.000000 90.369 165.1641
60.799999 90.304 164.8074
61.500000 90.246 164.5361
62.200001 90.188 164.2863
63.000000 90.125 164.0187
64.000000 90.056 163.6515
65.000000 89.996 163.2242
66.000000 89.947 162.7645
67.000000 89.907 162.3012
68.000000 89.874 161.8724
69.000000 89.843 161.5039
70.000000 89.808 161.2227
71.000000 89.767 161.0226
72.000000 89.723 160.8470
73.000000 89.669 160.6149
74.000000 89.602 160.3682
75.000000 89.539 160.1143
76.199997 89.470 159.7185
77.500000 89.399 159.2706
78.800003 89.337 158.9144
80.000000 89.290 158.6388
81.199997 89.236 158.3726
82.500000 89.169 158.1533
83.800003 89.103 157.9178
85.000000 89.037 157.6533
86.199997 88.969 157.4270
87.500000 88.908 157.2244
88.500000 88.867 157.0686
90.000000 88.805 156.8452
91.199997 88.753 156.6556
92.500000 88.690 156.4198
93.800003 88.623 156.1647
95.000000 88.562 155.9362
96.199997 88.512 155.7361
97.500000 88.475 155.5282
98.800003 88.448 155.2499
100.000000 88.399 154.9272
101.500000 88.299 154.7824
103.000000 88.215 154.7998
104.400002 88.139 154.7302
106.000000 88.052 154.6166
107.500000 87.984 154.4937
109.000000 87.924 154.3353
110.599998 87.859 154.1894
112.000000 87.802 154.0986
113.800003 87.724 153.9843
115.000000 87.670 153.9250
117.199997 87.584 153.7929
118.000000 87.554 153.7210
120.599998 87.442 153.5334
122.000000 87.381 153.4833
124.099998 87.293 153.3966
125.000000 87.257 153.3381
126.500000 87.196 153.2169
128.000000 87.131 153.1164
131.500000 86.991 153.0618
132.000000 86.972 153.0595
134.000000 86.897 153.0420
136.000000 86.821 152.9837
138.000000 86.743 152.9260
140.000000 86.667 152.9066
143.000000 86.554 152.9090
145.000000 86.476 152.9012
147.500000 86.386 152.8453
150.000000 86.300 152.8146
152.500000 86.226 152.9774
155.000000 86.157 153.1050
157.500000 86.072 153.1781
160.000000 85.989 153.2327
162.500000 85.911 153.2712
165.000000 85.833 153.3279
167.500000 85.754 153.3959
170.000000 85.674 153.4631
172.500000 85.596 153.5302
175.000000 85.518 153.6054
177.500000 85.444 153.6971
180.000000 85.369 153.7993
182.500000 85.292 153.9167
185.000000 85.216 154.0461
187.500000 85.138 154.1789
190.000000 85.062 154.3211
192.500000 84.990 154.4756
195.000000 84.916 154.6979
197.500000 84.835 155.0204
200.000000 84.756 155.3326
203.000000 84.666 155.5250
206.000000 84.577 155.7590
209.000000 84.498 156.1938
212.000000 84.431 156.7485
214.000000 84.401 157.1353
218.000000 84.380 157.8492
220.000000 84.385 158.1090
224.000000 84.395 158.3115
227.000000 84.382 158.2620
230.000000 84.345 158.1835
233.000000 84.292 158.1570
236.000000 84.236 158.1924
240.000000 84.160 158.3008
243.000000 84.101 158.4026
247.000000 84.029 158.5618
250.000000 83.973 158.7079
254.000000 83.885 158.9864
258.000000 83.801 159.2744
262.000000 83.727 159.5479
265.000000 83.674 159.7633
269.000000 83.604 160.0689
272.000000 83.553 160.3093
276.000000 83.485 160.6264
280.000000 83.420 160.9304
285.000000 83.346 161.3174
290.000000 83.270 161.7377
295.000000 83.191 162.2383
300.000000 83.113 162.7817
304.000000 83.064 163.0308
307.000000 83.029 163.2054
311.000000 82.979 163.5164
315.000000 82.928 163.8653
320.000000 82.868 164.3099
