* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06/08/2022 7:32:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: S12 Modded R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 58.800 42.0274
1.015000 59.057 40.4941
1.030000 59.313 39.0994
1.044000 59.552 37.9132
1.060000 59.826 36.6837
1.075000 60.082 35.6433
1.090000 60.338 34.7017
1.106000 60.610 33.7953
1.120000 60.847 33.0761
1.138000 61.151 32.2397
1.150000 61.353 31.7296
1.172000 61.721 30.8748
1.180000 61.854 30.5849
1.206000 62.282 29.6964
1.220000 62.511 29.2390
1.241000 62.849 28.5592
1.250000 62.993 28.2645
1.265000 63.231 27.7612
1.280000 63.465 27.2341
1.315000 64.001 25.8582
1.320000 64.076 25.6397
1.340000 64.372 24.6964
1.360000 64.663 23.6517
1.380000 64.948 22.5712
1.400000 65.228 21.4640
1.430000 65.640 19.7650
1.450000 65.908 18.6143
1.475000 66.238 17.1650
1.500000 66.562 15.7131
1.525000 66.880 14.2688
1.550000 67.191 12.8422
1.575000 67.498 11.4438
1.600000 67.799 10.0836
1.625000 68.096 8.7719
1.650000 68.388 7.5190
1.675000 68.676 6.3350
1.700000 68.960 5.2264
1.725000 69.238 4.1838
1.750000 69.510 3.1990
1.775000 69.776 2.2643
1.800000 70.037 1.3719
1.825000 70.293 0.5141
1.850000 70.544 -0.3169
1.875000 70.791 -1.1289
1.900000 71.033 -1.9296
1.925000 71.272 -2.7268
1.950000 71.506 -3.5282
1.975000 71.738 -4.3416
2.000000 71.966 -5.1748
2.030000 72.235 -6.2083
2.060000 72.499 -7.2534
2.090000 72.756 -8.3004
2.120000 73.007 -9.3476
2.140000 73.171 -10.0450
2.180000 73.492 -11.4357
2.200000 73.648 -12.1281
2.240000 73.956 -13.5041
2.270000 74.182 -14.5267
2.300000 74.403 -15.5392
2.330000 74.621 -16.5400
2.360000 74.835 -17.5274
2.400000 75.114 -18.8331
2.430000 75.317 -19.8064
2.470000 75.580 -21.0934
2.500000 75.773 -22.0488
2.540000 76.023 -23.3067
2.580000 76.267 -24.5432
2.620000 76.505 -25.7549
2.650000 76.680 -26.6453
2.690000 76.909 -27.8053
2.720000 77.076 -28.6508
2.760000 77.294 -29.7438
2.800000 77.505 -30.8041
2.850000 77.761 -32.0944
2.900000 78.008 -33.3591
2.950000 78.247 -34.6123
3.000000 78.480 -35.8682
3.040000 78.663 -36.8843
3.070000 78.796 -37.6547
3.110000 78.969 -38.6880
3.150000 79.138 -39.7221
3.200000 79.342 -41.0052
3.250000 79.540 -42.2654
3.300000 79.733 -43.4893
3.350000 79.921 -44.6634
3.400000 80.105 -45.7764
3.450000 80.283 -46.8333
3.500000 80.455 -47.8467
3.550000 80.622 -48.8288
3.600000 80.785 -49.7921
3.650000 80.944 -50.7490
3.700000 81.100 -51.7119
3.750000 81.253 -52.6835
3.820000 81.460 -54.0396
3.870000 81.603 -54.9973
3.950000 81.826 -56.4940
4.000000 81.962 -57.3979
4.060000 82.123 -58.4408
4.120000 82.280 -59.4357
4.180000 82.432 -60.3926
4.250000 82.606 -61.4761
4.310000 82.752 -62.3895
4.370000 82.895 -63.3006
4.440000 83.059 -64.3617
4.500000 83.196 -65.2602
4.550000 83.308 -66.0001
4.620000 83.463 -67.0208
4.680000 83.592 -67.8800
4.750000 83.741 -68.8616
4.820000 83.886 -69.8198
4.870000 83.988 -70.4922
4.940000 84.128 -71.4201
5.000000 84.245 -72.2064
5.080000 84.398 -73.2458
5.150000 84.529 -74.1433
5.220000 84.657 -75.0291
5.300000 84.799 -76.0280
5.380000 84.938 -77.0137
5.450000 85.056 -77.8662
5.520000 85.171 -78.7091
5.600000 85.300 -79.6590
5.700000 85.455 -80.8238
5.800000 85.605 -81.9609
5.900000 85.749 -83.0718
6.000000 85.889 -84.1596
6.080000 85.998 -85.0153
6.150000 86.090 -85.7537
6.220000 86.180 -86.4817
6.300000 86.281 -87.2998
6.400000 86.403 -88.2996
6.500000 86.522 -89.2715
6.600000 86.638 -90.2185
6.700000 86.750 -91.1454
6.800000 86.861 -92.0549
6.900000 86.968 -92.9446
7.000000 87.073 -93.8164
7.100000 87.176 -94.6718
7.200000 87.277 -95.5087
7.300000 87.376 -96.3298
7.400000 87.473 -97.1397
7.500000 87.568 -97.9389
7.620000 87.680 -98.8824
7.750000 87.798 -99.8903
7.880000 87.914 -100.8841
8.000000 88.017 -101.7889
8.120000 88.118 -102.6839
8.250000 88.223 -103.6420
8.380000 88.325 -104.5876
8.500000 88.416 -105.4498
8.620000 88.503 -106.3018
8.750000 88.594 -107.2103
8.850000 88.662 -107.8985
9.000000 88.759 -108.9137
9.120000 88.833 -109.7092
9.250000 88.911 -110.5545
9.380000 88.985 -111.3821
9.500000 89.052 -112.1290
9.620000 89.116 -112.8600
9.750000 89.183 -113.6351
9.880000 89.248 -114.3929
10.000000 89.307 -115.0774
10.150000 89.377 -115.9147
10.300000 89.446 -116.7313
10.440000 89.508 -117.4772
10.600000 89.577 -118.3111
10.750000 89.640 -119.0756
10.900000 89.701 -119.8244
11.060000 89.765 -120.6061
11.200000 89.819 -121.2769
11.380000 89.887 -122.1214
11.500000 89.931 -122.6749
11.720000 90.010 -123.6696
11.800000 90.038 -124.0268
12.060000 90.129 -125.1705
12.200000 90.176 -125.7792
12.410000 90.244 -126.6832
12.500000 90.272 -127.0678
12.650000 90.318 -127.7054
12.800000 90.362 -128.3361
13.150000 90.457 -129.7761
13.200000 90.470 -129.9768
13.400000 90.519 -130.7669
13.600000 90.567 -131.5321
13.800000 90.613 -132.2750
14.000000 90.659 -132.9976
14.300000 90.729 -134.0632
14.500000 90.776 -134.7712
14.750000 90.834 -135.6650
15.000000 90.886 -136.5707
15.250000 90.932 -137.4753
15.500000 90.971 -138.3620
15.750000 91.001 -139.2051
16.000000 91.027 -139.9820
16.250000 91.053 -140.6920
16.500000 91.082 -141.3429
16.750000 91.120 -141.9604
17.000000 91.164 -142.5843
17.250000 91.213 -143.2374
17.500000 91.262 -143.9346
17.750000 91.305 -144.6742
18.000000 91.339 -145.4268
18.250000 91.363 -146.1638
18.500000 91.379 -146.8575
18.750000 91.390 -147.4840
19.000000 91.402 -148.0478
19.250000 91.418 -148.5645
19.500000 91.439 -149.0557
19.750000 91.466 -149.5527
20.000000 91.494 -150.0700
20.299999 91.527 -150.7195
20.600000 91.554 -151.3853
20.900000 91.574 -152.0395
21.200001 91.590 -152.6594
21.400000 91.600 -153.0501
21.799999 91.623 -153.7978
22.000000 91.636 -154.1675
22.400000 91.663 -154.9200
22.700001 91.682 -155.5019
23.000000 91.697 -156.0890
23.299999 91.708 -156.6675
23.600000 91.716 -157.2269
24.000000 91.726 -157.9402
24.299999 91.733 -158.4587
24.700001 91.742 -159.1395
25.000000 91.748 -159.6425
25.400000 91.754 -160.2951
25.799999 91.760 -160.9181
26.200001 91.768 -161.5169
26.500000 91.775 -161.9602
26.900000 91.786 -162.5550
27.200001 91.793 -163.0043
27.600000 91.800 -163.5971
28.000000 91.805 -164.1698
28.500000 91.810 -164.8528
29.000000 91.816 -165.5173
29.500000 91.820 -166.1739
30.000000 91.820 -166.8013
30.400000 91.820 -167.2658
30.700001 91.822 -167.5957
31.100000 91.828 -168.0321
31.500000 91.839 -168.4955
32.000000 91.848 -169.1351
32.500000 91.845 -169.8061
33.000000 91.829 -170.4264
33.500000 91.809 -170.9505
34.000000 91.795 -171.4127
34.500000 91.791 -171.8814
35.000000 91.787 -172.3882
35.500000 91.777 -172.9088
36.000000 91.765 -173.4105
36.500000 91.753 -173.8949
37.000000 91.741 -174.3836
37.500000 91.727 -174.8764
38.200001 91.702 -175.5266
38.700001 91.688 -175.9554
39.500000 91.674 -176.6547
40.000000 91.665 -177.1201
40.599998 91.648 -177.6722
41.200001 91.629 -178.1805
41.799999 91.612 -178.6409
42.500000 91.599 -179.1482
43.099998 91.590 -179.5903
43.700001 91.577 179.9586
44.400002 91.556 179.4636
45.000000 91.538 179.0684
45.500000 91.523 178.7282
46.200001 91.495 178.2318
46.799999 91.463 177.8342
47.500000 91.429 177.3835
48.200001 91.388 176.8729
48.700001 91.345 176.5374
49.400002 91.286 176.2703
50.000000 91.271 176.1384
50.799999 91.292 175.6928
51.500000 91.291 175.0266
52.200001 91.260 174.4193
53.000000 91.227 173.9107
53.799999 91.208 173.4204
54.500000 91.188 172.9890
55.200001 91.165 172.6054
56.000000 91.141 172.2044
57.000000 91.111 171.6969
58.000000 91.071 171.2014
59.000000 91.031 170.7698
60.000000 90.999 170.2860
60.799999 90.964 169.8360
61.500000 90.923 169.4896
62.200001 90.883 169.2229
63.000000 90.849 168.9504
64.000000 90.816 168.5510
65.000000 90.775 168.1203
66.000000 90.733 167.7269
67.000000 90.695 167.3164
68.000000 90.652 166.8723
69.000000 90.603 166.4585
70.000000 90.555 166.0900
71.000000 90.512 165.7559
72.000000 90.474 165.4287
73.000000 90.438 165.0855
74.000000 90.399 164.7412
75.000000 90.358 164.4018
76.199997 90.306 163.9922
77.500000 90.243 163.5855
78.800003 90.184 163.2239
80.000000 90.134 162.8873
81.199997 90.085 162.5490
82.500000 90.030 162.1861
83.800003 89.974 161.8396
85.000000 89.920 161.5366
86.199997 89.866 161.2526
87.500000 89.811 160.9568
88.500000 89.770 160.7175
90.000000 89.708 160.3554
91.199997 89.657 160.0894
92.500000 89.602 159.8262
93.800003 89.546 159.5847
95.000000 89.492 159.3636
96.199997 89.435 159.1248
97.500000 89.367 158.8484
98.800003 89.293 158.6112
100.000000 89.236 158.4778
101.500000 89.195 158.2377
103.000000 89.149 157.9119
104.400002 89.099 157.6652
106.000000 89.038 157.4406
107.500000 88.977 157.2414
109.000000 88.912 157.0372
110.599998 88.845 156.8155
112.000000 88.788 156.6293
113.800003 88.718 156.4162
115.000000 88.672 156.2859
117.199997 88.582 156.0432
118.000000 88.548 155.9549
120.599998 88.444 155.6588
122.000000 88.390 155.5154
124.099998 88.311 155.3481
125.000000 88.278 155.2806
126.500000 88.221 155.1624
128.000000 88.161 155.0388
131.500000 88.031 154.7458
132.000000 88.013 154.7061
134.000000 87.943 154.5667
136.000000 87.871 154.4630
138.000000 87.798 154.3802
140.000000 87.724 154.2913
143.000000 87.614 154.1631
145.000000 87.545 154.0771
147.500000 87.464 153.9817
150.000000 87.381 153.8876
152.500000 87.287 153.8640
155.000000 87.196 153.8760
157.500000 87.110 153.8606
160.000000 87.030 153.8501
162.500000 86.952 153.8652
165.000000 86.879 153.9035
167.500000 86.807 153.9178
170.000000 86.734 153.9302
172.500000 86.660 153.9438
175.000000 86.587 153.9518
177.500000 86.513 153.9597
180.000000 86.439 153.9838
182.500000 86.366 154.0301
185.000000 86.293 154.0865
187.500000 86.221 154.1511
190.000000 86.149 154.2345
192.500000 86.077 154.3387
195.000000 86.007 154.4561
197.500000 85.938 154.5751
200.000000 85.871 154.7183
203.000000 85.798 154.9494
206.000000 85.730 155.1893
209.000000 85.666 155.4099
212.000000 85.609 155.6077
214.000000 85.573 155.7294
218.000000 85.500 155.9650
220.000000 85.464 156.0835
224.000000 85.393 156.3221
227.000000 85.344 156.5113
230.000000 85.301 156.6979
233.000000 85.262 156.8533
236.000000 85.222 156.9593
240.000000 85.165 157.0437
243.000000 85.117 157.0923
247.000000 85.043 157.1366
250.000000 84.985 157.1952
254.000000 84.918 157.3439
258.000000 84.848 157.5139
262.000000 84.775 157.6919
265.000000 84.721 157.8345
269.000000 84.651 158.0337
272.000000 84.599 158.1908
276.000000 84.531 158.4023
280.000000 84.464 158.6209
285.000000 84.383 158.9379
290.000000 84.305 159.2584
295.000000 84.232 159.5300
300.000000 84.161 159.7982
304.000000 84.105 160.1002
307.000000 84.064 160.3300
311.000000 84.011 160.6031
315.000000 83.960 160.8645
