* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 22/04/2023 5:59:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: SA6II Off L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 72.415 149.8638
1.015000 72.564 149.9645
1.030000 72.716 150.0957
1.044000 72.863 150.2477
1.060000 73.035 150.4522
1.075000 73.200 150.6699
1.090000 73.368 150.9087
1.106000 73.551 151.1824
1.120000 73.713 151.4344
1.138000 73.925 151.7703
1.150000 74.068 151.9986
1.172000 74.333 152.4190
1.180000 74.430 152.5705
1.206000 74.748 153.0486
1.220000 74.919 153.2918
1.241000 75.178 153.6295
1.250000 75.288 153.7619
1.265000 75.472 153.9634
1.280000 75.656 154.1373
1.315000 76.079 154.4142
1.320000 76.139 154.4369
1.340000 76.376 154.4802
1.360000 76.612 154.4482
1.380000 76.849 154.3606
1.400000 77.088 154.2226
1.430000 77.449 153.9298
1.450000 77.691 153.6832
1.475000 77.993 153.3244
1.500000 78.295 152.9168
1.525000 78.595 152.4681
1.550000 78.893 151.9864
1.575000 79.188 151.4793
1.600000 79.478 150.9549
1.625000 79.763 150.4210
1.650000 80.042 149.8855
1.675000 80.313 149.3563
1.700000 80.578 148.8303
1.725000 80.839 148.2816
1.750000 81.096 147.7099
1.775000 81.348 147.1167
1.800000 81.597 146.5034
1.825000 81.842 145.8716
1.850000 82.082 145.2226
1.875000 82.318 144.5580
1.900000 82.550 143.8793
1.925000 82.777 143.1879
1.950000 83.000 142.4852
1.975000 83.218 141.7728
2.000000 83.431 141.0521
2.030000 83.681 140.1767
2.060000 83.924 139.2739
2.090000 84.160 138.3431
2.120000 84.389 137.3886
2.140000 84.539 136.7413
2.180000 84.829 135.4262
2.200000 84.970 134.7609
2.240000 85.244 133.4214
2.270000 85.442 132.4141
2.300000 85.636 131.4093
2.330000 85.824 130.4114
2.360000 86.007 129.4244
2.400000 86.242 128.1031
2.430000 86.410 127.1026
2.470000 86.626 125.7612
2.500000 86.781 124.7535
2.540000 86.979 123.4131
2.580000 87.169 122.0827
2.620000 87.350 120.7692
2.650000 87.481 119.7994
2.690000 87.650 118.5320
2.720000 87.771 117.5984
2.760000 87.925 116.3653
2.800000 88.069 115.1473
2.850000 88.238 113.6483
2.900000 88.395 112.1786
2.950000 88.543 110.7414
3.000000 88.683 109.3398
3.040000 88.790 108.2456
3.070000 88.865 107.4353
3.110000 88.959 106.3680
3.150000 89.047 105.3190
3.200000 89.149 104.0397
3.250000 89.243 102.8031
3.300000 89.334 101.6168
3.350000 89.421 100.4886
3.400000 89.505 99.4252
3.450000 89.582 98.4245
3.500000 89.652 97.4788
3.550000 89.719 96.5800
3.600000 89.785 95.7204
3.650000 89.850 94.8921
3.700000 89.918 94.0872
3.750000 89.987 93.3160
3.820000 90.080 92.3090
3.870000 90.147 91.6293
3.950000 90.256 90.5852
4.000000 90.328 89.9455
4.060000 90.418 89.1808
4.120000 90.514 88.4540
4.180000 90.613 87.7566
4.250000 90.732 86.9497
4.310000 90.835 86.2377
4.370000 90.940 85.4827
4.440000 91.064 84.5538
4.500000 91.175 83.7365
4.550000 91.268 83.0358
4.620000 91.397 82.0176
4.680000 91.502 81.1034
4.750000 91.617 79.9803
4.820000 91.731 78.7972
4.870000 91.809 77.9210
4.940000 91.912 76.6591
5.000000 91.992 75.5519
5.080000 92.082 74.0450
5.150000 92.150 72.6711
5.220000 92.207 71.2615
5.300000 92.257 69.6404
5.380000 92.288 68.0455
5.450000 92.298 66.6604
5.520000 92.294 65.2636
5.600000 92.273 63.6947
5.700000 92.223 61.8464
5.800000 92.146 60.1471
5.900000 92.040 58.5515
6.000000 91.916 57.1387
6.080000 91.812 56.1925
6.150000 91.709 55.4870
6.220000 91.599 54.8879
6.300000 91.473 54.3386
6.400000 91.332 53.8638
6.500000 91.202 53.6755
6.600000 91.085 53.7249
6.700000 90.999 53.8959
6.800000 90.958 54.1500
6.900000 90.954 54.5629
7.000000 90.984 54.9769
7.100000 91.047 55.2382
7.200000 91.153 55.4199
7.300000 91.287 55.4907
7.400000 91.430 55.3597
7.500000 91.581 54.9874
7.620000 91.777 54.2834
7.750000 91.973 53.2615
7.880000 92.144 51.9308
8.000000 92.282 50.5007
8.120000 92.387 49.0162
8.250000 92.463 47.2834
8.380000 92.505 45.5504
8.500000 92.514 44.0526
8.620000 92.493 42.6065
8.750000 92.452 41.2081
8.850000 92.409 40.2835
9.000000 92.328 39.1050
9.120000 92.270 38.3565
9.250000 92.211 37.7697
9.380000 92.166 37.3368
9.500000 92.150 37.0204
9.620000 92.153 36.8151
9.750000 92.178 36.5944
9.880000 92.229 36.3293
10.000000 92.295 36.0597
10.150000 92.386 35.5916
10.300000 92.491 34.9768
10.440000 92.585 34.3006
10.600000 92.683 33.3882
10.750000 92.761 32.4640
10.900000 92.820 31.5248
11.060000 92.866 30.5215
11.200000 92.892 29.7201
11.380000 92.910 28.7771
11.500000 92.919 28.2332
11.720000 92.931 27.4057
11.800000 92.939 27.1424
12.060000 92.975 26.4345
12.200000 93.005 26.0748
12.410000 93.062 25.5478
12.500000 93.087 25.2984
12.650000 93.133 24.8561
12.800000 93.176 24.3798
13.150000 93.247 23.1408
13.200000 93.253 22.9603
13.400000 93.263 22.2456
13.600000 93.254 21.6176
13.800000 93.230 21.0963
14.000000 93.196 20.7311
14.300000 93.150 20.4695
14.500000 93.133 20.4537
14.750000 93.139 20.5560
15.000000 93.180 20.6546
15.250000 93.250 20.6444
15.500000 93.341 20.4441
15.750000 93.437 19.9939
16.000000 93.520 19.3086
16.250000 93.578 18.4442
16.500000 93.605 17.4677
16.750000 93.597 16.4733
17.000000 93.562 15.5498
17.250000 93.506 14.7403
17.500000 93.438 14.0724
17.750000 93.369 13.5464
18.000000 93.305 13.1354
18.250000 93.249 12.8206
18.500000 93.203 12.5858
18.750000 93.169 12.4245
19.000000 93.151 12.3320
19.250000 93.155 12.2880
19.500000 93.184 12.2619
19.750000 93.241 12.1853
20.000000 93.322 11.9841
20.299999 93.438 11.5130
20.600000 93.554 10.7577
20.900000 93.648 9.7656
21.200001 93.706 8.6543
21.400000 93.724 7.9210
21.799999 93.723 6.6156
22.000000 93.713 6.0760
22.400000 93.689 5.2034
22.700001 93.678 4.6671
23.000000 93.670 4.1807
23.299999 93.664 3.7287
23.600000 93.654 3.3263
24.000000 93.642 2.9097
24.299999 93.640 2.6830
24.700001 93.659 2.4235
25.000000 93.686 2.1866
25.400000 93.729 1.7450
25.799999 93.764 1.1677
26.200001 93.780 0.5366
26.500000 93.782 0.0803
26.900000 93.781 -0.4772
27.200001 93.783 -0.8688
27.600000 93.793 -1.4133
28.000000 93.809 -2.0565
28.500000 93.816 -3.0673
29.000000 93.774 -4.1886
29.500000 93.673 -5.0832
30.000000 93.562 -5.4286
30.400000 93.519 -5.3699
30.700001 93.530 -5.3119
31.100000 93.589 -5.4705
31.500000 93.654 -6.0354
32.000000 93.675 -7.0943
32.500000 93.614 -7.9952
33.000000 93.536 -8.3714
33.500000 93.511 -8.4091
34.000000 93.548 -8.5578
34.500000 93.600 -9.0231
35.000000 93.632 -9.6968
35.500000 93.640 -10.4293
36.000000 93.628 -11.1702
36.500000 93.595 -11.8778
37.000000 93.546 -12.4606
37.500000 93.501 -12.8853
38.200001 93.472 -13.4470
38.700001 93.461 -13.9980
39.500000 93.405 -14.9992
40.000000 93.353 -15.4992
40.599998 93.303 -15.9525
41.200001 93.275 -16.4014
41.799999 93.255 -16.9401
42.500000 93.216 -17.5921
43.099998 93.176 -18.0334
43.700001 93.148 -18.3602
44.400002 93.137 -18.7638
45.000000 93.128 -19.1972
45.500000 93.113 -19.5656
46.200001 93.092 -20.0558
46.799999 93.077 -20.5477
47.500000 93.038 -21.2339
48.200001 92.968 -21.8040
48.700001 92.924 -22.0649
49.400002 92.896 -22.4190
50.000000 92.888 -22.8840
50.799999 92.861 -23.6486
51.500000 92.827 -24.2644
52.200001 92.800 -24.8418
53.000000 92.770 -25.5288
53.799999 92.729 -26.1820
54.500000 92.689 -26.6807
55.200001 92.650 -27.1294
56.000000 92.606 -27.6221
57.000000 92.550 -28.2518
58.000000 92.492 -28.8974
59.000000 92.435 -29.5660
60.000000 92.380 -30.2244
60.799999 92.342 -30.7507
61.500000 92.306 -31.2161
62.200001 92.263 -31.6198
63.000000 92.217 -31.9748
64.000000 92.169 -32.3906
65.000000 92.116 -32.8198
66.000000 92.058 -33.2998
67.000000 91.980 -33.7882
68.000000 91.913 -34.1176
69.000000 91.890 -34.5981
70.000000 91.852 -35.3897
71.000000 91.765 -36.0612
72.000000 91.682 -36.3834
73.000000 91.621 -36.6950
74.000000 91.538 -36.9482
75.000000 91.492 -37.0323
76.199997 91.478 -37.8880
77.500000 91.320 -39.1088
78.800003 91.179 -39.4764
80.000000 91.130 -39.6676
81.199997 91.127 -39.6510
82.500000 91.151 -39.5388
83.800003 91.194 -39.4734
85.000000 91.190 -39.9812
86.199997 91.098 -40.7026
87.500000 90.953 -41.5902
88.500000 90.835 -42.2461
90.000000 90.676 -43.0350
91.199997 90.589 -43.1975
92.500000 90.538 -43.2323
93.800003 90.455 -43.0770
95.000000 90.359 -42.6789
96.199997 90.288 -42.1164
97.500000 90.294 -41.8603
98.800003 90.299 -42.2390
100.000000 90.270 -42.2956
101.500000 90.343 -41.6114
103.000000 90.540 -41.1832
104.400002 90.705 -41.5479
106.000000 90.775 -42.7208
107.500000 90.742 -44.0465
109.000000 90.693 -45.2830
110.599998 90.662 -46.4784
112.000000 90.633 -47.4013
113.800003 90.561 -48.3561
115.000000 90.494 -48.8913
117.199997 90.348 -49.8457
118.000000 90.296 -50.1820
120.599998 90.144 -51.2042
122.000000 90.061 -51.6455
124.099998 89.925 -52.1146
125.000000 89.867 -52.2383
126.500000 89.781 -52.3535
128.000000 89.715 -52.3486
131.500000 89.678 -52.0544
132.000000 89.686 -52.0352
134.000000 89.739 -52.2217
136.000000 89.796 -52.8946
138.000000 89.828 -53.9417
140.000000 89.818 -55.1226
143.000000 89.725 -56.6976
145.000000 89.627 -57.5280
147.500000 89.485 -58.4795
150.000000 89.350 -59.3554
152.500000 89.248 -60.1623
155.000000 89.154 -60.7827
157.500000 89.055 -61.2698
160.000000 88.948 -61.7674
162.500000 88.847 -62.2978
165.000000 88.752 -62.8016
167.500000 88.660 -63.2516
170.000000 88.573 -63.6806
172.500000 88.495 -64.1108
175.000000 88.420 -64.5253
177.500000 88.344 -64.9200
180.000000 88.270 -65.3124
182.500000 88.200 -65.7000
185.000000 88.133 -66.0547
187.500000 88.069 -66.4022
190.000000 88.007 -66.7794
192.500000 87.945 -67.1823
195.000000 87.882 -67.5687
197.500000 87.819 -67.9196
200.000000 87.754 -68.2562
203.000000 87.675 -68.6793
206.000000 87.599 -69.0986
209.000000 87.523 -69.4795
212.000000 87.448 -69.8369
214.000000 87.399 -70.0719
218.000000 87.305 -70.5306
220.000000 87.259 -70.7462
224.000000 87.170 -71.1478
227.000000 87.106 -71.4325
230.000000 87.046 -71.7095
233.000000 86.988 -71.9737
236.000000 86.933 -72.2240
240.000000 86.861 -72.5470
243.000000 86.809 -72.7716
247.000000 86.737 -73.0008
250.000000 86.685 -73.1429
254.000000 86.624 -73.3442
258.000000 86.581 -73.4919
262.000000 86.561 -73.6302
265.000000 86.556 -73.8086
269.000000 86.551 -74.1824
272.000000 86.540 -74.5328
276.000000 86.514 -75.0203
280.000000 86.476 -75.4851
285.000000 86.423 -76.0176
290.000000 86.369 -76.4976
295.000000 86.316 -76.9392
300.000000 86.267 -77.3562
304.000000 86.232 -77.6730
307.000000 86.207 -77.9038
311.000000 86.174 -78.2101
315.000000 86.143 -78.5166
320.000000 86.105 -78.8907
325.000000 86.068 -79.2421
330.000000 86.032 -79.5733
335.000000 85.999 -79.8920
