* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 22/04/2023 6:00:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: SA6II On L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 77.388 170.4575
1.015000 77.542 170.1741
1.030000 77.696 169.8835
1.044000 77.841 169.6059
1.060000 78.006 169.2811
1.075000 78.161 168.9695
1.090000 78.317 168.6511
1.106000 78.483 168.3040
1.120000 78.628 167.9940
1.138000 78.814 167.5871
1.150000 78.938 167.3106
1.172000 79.164 166.7929
1.180000 79.246 166.6012
1.206000 79.512 165.9661
1.220000 79.655 165.6164
1.241000 79.867 165.0819
1.250000 79.957 164.8492
1.265000 80.107 164.4567
1.280000 80.255 164.0583
1.315000 80.598 163.1064
1.320000 80.646 162.9679
1.340000 80.837 162.4078
1.360000 81.027 161.8358
1.380000 81.215 161.2469
1.400000 81.402 160.6420
1.430000 81.680 159.7077
1.450000 81.864 159.0689
1.475000 82.092 158.2547
1.500000 82.317 157.4255
1.525000 82.539 156.5840
1.550000 82.758 155.7329
1.575000 82.973 154.8746
1.600000 83.185 154.0120
1.625000 83.393 153.1476
1.650000 83.596 152.2839
1.675000 83.795 151.4238
1.700000 83.990 150.5649
1.725000 84.181 149.6963
1.750000 84.367 148.8186
1.775000 84.551 147.9334
1.800000 84.730 147.0420
1.825000 84.906 146.1460
1.850000 85.078 145.2469
1.875000 85.247 144.3462
1.900000 85.411 143.4453
1.925000 85.573 142.5458
1.950000 85.731 141.6491
1.975000 85.885 140.7567
2.000000 86.036 139.8701
2.030000 86.213 138.8146
2.060000 86.384 137.7566
2.090000 86.549 136.6949
2.120000 86.709 135.6321
2.140000 86.813 134.9243
2.180000 87.014 133.5139
2.200000 87.111 132.8128
2.240000 87.299 131.4227
2.270000 87.435 130.3939
2.300000 87.567 129.3796
2.330000 87.696 128.3826
2.360000 87.820 127.4052
2.400000 87.979 126.1185
2.430000 88.091 125.1623
2.470000 88.234 123.9030
2.500000 88.336 122.9728
2.540000 88.466 121.7553
2.580000 88.590 120.5681
2.620000 88.710 119.4159
2.650000 88.796 118.5776
2.690000 88.909 117.4979
2.720000 88.991 116.7152
2.760000 89.093 115.7010
2.800000 89.188 114.7209
2.850000 89.300 113.5449
2.900000 89.407 112.4247
2.950000 89.511 111.3619
3.000000 89.616 110.3576
3.040000 89.701 109.5980
3.070000 89.764 109.0592
3.110000 89.844 108.3815
3.150000 89.922 107.7448
3.200000 90.019 106.9984
3.250000 90.118 106.2966
3.300000 90.220 105.6284
3.350000 90.329 104.9828
3.400000 90.445 104.3660
3.450000 90.565 103.8103
3.500000 90.689 103.2985
3.550000 90.816 102.8104
3.600000 90.949 102.3257
3.650000 91.087 101.8241
3.700000 91.230 101.2853
3.750000 91.380 100.7264
3.820000 91.602 99.9482
3.870000 91.767 99.3774
3.950000 92.036 98.4016
4.000000 92.204 97.7320
4.060000 92.404 96.8489
4.120000 92.608 95.8978
4.180000 92.815 94.8862
4.250000 93.055 93.6292
4.310000 93.255 92.4860
4.370000 93.444 91.2818
4.440000 93.656 89.7860
4.500000 93.832 88.4242
4.550000 93.974 87.2450
4.620000 94.161 85.5443
4.680000 94.309 84.0567
4.750000 94.464 82.2938
4.820000 94.604 80.4624
4.870000 94.695 79.1250
4.940000 94.808 77.2362
5.000000 94.892 75.6240
5.080000 94.982 73.5089
5.150000 95.041 71.6447
5.220000 95.082 69.7836
5.300000 95.110 67.7038
5.380000 95.118 65.7225
5.450000 95.107 64.0625
5.520000 95.078 62.4448
5.600000 95.028 60.6858
5.700000 94.949 58.6863
5.800000 94.850 56.9427
5.900000 94.727 55.4153
6.000000 94.600 54.1279
6.080000 94.506 53.2902
6.150000 94.423 52.7191
6.220000 94.340 52.2793
6.300000 94.255 51.8985
6.400000 94.177 51.5402
6.500000 94.132 51.3743
6.600000 94.115 51.3691
6.700000 94.127 51.3630
6.800000 94.176 51.2733
6.900000 94.262 51.1868
7.000000 94.368 51.0093
7.100000 94.481 50.6414
7.200000 94.611 50.0996
7.300000 94.749 49.4123
7.400000 94.875 48.5900
7.500000 94.987 47.6042
7.620000 95.109 46.2333
7.750000 95.207 44.6735
7.880000 95.265 43.0239
8.000000 95.287 41.4741
8.120000 95.279 40.0476
8.250000 95.231 38.5891
8.380000 95.159 37.3090
8.500000 95.079 36.3732
8.620000 94.980 35.6383
8.750000 94.878 35.0774
8.850000 94.808 34.8417
9.000000 94.715 34.7531
9.120000 94.672 34.7961
9.250000 94.657 35.0024
9.380000 94.672 35.2540
9.500000 94.716 35.4093
9.620000 94.789 35.5401
9.750000 94.883 35.5594
9.880000 94.990 35.3958
10.000000 95.099 35.1142
10.150000 95.225 34.5878
10.300000 95.342 33.8503
10.440000 95.433 33.0602
10.600000 95.512 32.0489
10.750000 95.562 31.0549
10.900000 95.588 30.0838
11.060000 95.591 29.0754
11.200000 95.578 28.2796
11.380000 95.541 27.3611
11.500000 95.511 26.8372
11.720000 95.443 26.0560
11.800000 95.419 25.8245
12.060000 95.342 25.2707
12.200000 95.308 25.0664
12.410000 95.268 24.8728
12.500000 95.257 24.8100
12.650000 95.246 24.7418
12.800000 95.245 24.6819
13.150000 95.280 24.5150
13.200000 95.289 24.4783
13.400000 95.331 24.2936
13.600000 95.380 24.0174
13.800000 95.431 23.6544
14.000000 95.480 23.2024
14.300000 95.541 22.4156
14.500000 95.571 21.8526
14.750000 95.598 21.1477
15.000000 95.617 20.4808
15.250000 95.635 19.8541
15.500000 95.656 19.2586
15.750000 95.683 18.6671
16.000000 95.714 18.0448
16.250000 95.746 17.3805
16.500000 95.776 16.6724
16.750000 95.798 15.9354
17.000000 95.811 15.2017
17.250000 95.817 14.4935
17.500000 95.816 13.8292
17.750000 95.813 13.2197
18.000000 95.810 12.6609
18.250000 95.807 12.1459
18.500000 95.807 11.6667
18.750000 95.809 11.2155
19.000000 95.812 10.7891
19.250000 95.817 10.3857
19.500000 95.824 10.0038
19.750000 95.834 9.6396
20.000000 95.846 9.2857
20.299999 95.865 8.8642
20.600000 95.887 8.4321
20.900000 95.910 7.9780
21.200001 95.932 7.4971
21.400000 95.945 7.1629
21.799999 95.965 6.4756
22.000000 95.972 6.1301
22.400000 95.978 5.4505
22.700001 95.979 4.9591
23.000000 95.979 4.4834
23.299999 95.977 4.0184
23.600000 95.976 3.5579
24.000000 95.972 2.9452
24.299999 95.967 2.4888
24.700001 95.958 1.8935
25.000000 95.950 1.4622
25.400000 95.939 0.9085
25.799999 95.930 0.3726
26.200001 95.922 -0.1531
26.500000 95.916 -0.5432
26.900000 95.910 -1.0600
27.200001 95.906 -1.4473
27.600000 95.900 -1.9663
28.000000 95.891 -2.4851
28.500000 95.876 -3.1111
29.000000 95.858 -3.6812
29.500000 95.845 -4.1981
30.000000 95.841 -4.7089
30.400000 95.841 -5.1430
30.700001 95.841 -5.4879
31.100000 95.839 -5.9679
31.500000 95.834 -6.4612
32.000000 95.821 -7.0842
32.500000 95.801 -7.6935
33.000000 95.773 -8.2502
33.500000 95.747 -8.7333
34.000000 95.730 -9.1827
34.500000 95.719 -9.6683
35.000000 95.703 -10.2080
35.500000 95.676 -10.7412
36.000000 95.642 -11.1998
36.500000 95.612 -11.5905
37.000000 95.589 -11.9757
37.500000 95.566 -12.3836
38.200001 95.527 -12.9277
38.700001 95.500 -13.2777
39.500000 95.460 -13.8460
40.000000 95.426 -14.1553
40.599998 95.391 -14.3493
41.200001 95.398 -14.4473
41.799999 95.447 -14.7656
42.500000 95.493 -15.5942
43.099998 95.482 -16.4294
43.700001 95.442 -17.1131
44.400002 95.395 -17.7509
45.000000 95.357 -18.2795
45.500000 95.321 -18.7041
46.200001 95.267 -19.2377
46.799999 95.224 -19.6718
47.500000 95.171 -20.1841
48.200001 95.115 -20.6635
48.700001 95.077 -20.9857
49.400002 95.026 -21.4491
50.000000 94.981 -21.8517
50.799999 94.918 -22.3468
51.500000 94.867 -22.7501
52.200001 94.816 -23.1444
53.000000 94.756 -23.5536
53.799999 94.695 -23.8990
54.500000 94.642 -24.1495
55.200001 94.587 -24.3434
56.000000 94.521 -24.4717
57.000000 94.436 -24.3814
58.000000 94.385 -23.9913
59.000000 94.383 -23.4876
60.000000 94.446 -22.9113
60.799999 94.571 -22.6653
61.500000 94.711 -22.9033
62.200001 94.837 -23.5889
63.000000 94.937 -24.7761
64.000000 94.964 -26.5421
65.000000 94.899 -27.9929
66.000000 94.837 -29.0199
67.000000 94.789 -29.9708
68.000000 94.744 -30.8651
69.000000 94.682 -31.7880
70.000000 94.584 -32.4663
71.000000 94.507 -32.8832
72.000000 94.454 -33.3910
73.000000 94.396 -34.0780
74.000000 94.308 -34.8708
75.000000 94.195 -35.4674
76.199997 94.094 -35.9295
77.500000 94.035 -36.4671
78.800003 93.992 -37.1751
80.000000 93.923 -37.9305
81.199997 93.819 -38.4844
82.500000 93.717 -38.9152
83.800003 93.615 -39.4214
85.000000 93.516 -39.7898
86.199997 93.444 -40.1300
87.500000 93.373 -40.5934
88.500000 93.311 -40.8943
90.000000 93.231 -41.1949
91.199997 93.177 -41.4610
92.500000 93.117 -41.8593
93.800003 93.023 -42.3452
95.000000 92.917 -42.4449
96.199997 92.873 -42.3024
97.500000 92.889 -42.2802
98.800003 92.960 -42.6539
100.000000 92.964 -43.5953
101.500000 92.840 -44.1733
103.000000 92.791 -44.1272
104.400002 92.796 -44.3520
106.000000 92.784 -45.0315
107.500000 92.671 -45.6831
109.000000 92.539 -45.7477
110.599998 92.441 -45.7559
112.000000 92.371 -45.8031
113.800003 92.317 -45.9616
115.000000 92.297 -46.1975
117.199997 92.268 -46.7756
118.000000 92.261 -47.0177
120.599998 92.226 -48.0654
122.000000 92.180 -48.6952
124.099998 92.091 -49.5388
125.000000 92.049 -49.8665
126.500000 91.973 -50.3663
128.000000 91.888 -50.7923
131.500000 91.688 -51.5190
132.000000 91.662 -51.6054
134.000000 91.560 -51.8927
136.000000 91.470 -52.0548
138.000000 91.398 -52.1074
140.000000 91.346 -52.1690
143.000000 91.307 -52.4294
145.000000 91.296 -52.8002
147.500000 91.271 -53.4068
150.000000 91.227 -54.1117
152.500000 91.165 -54.9771
155.000000 91.079 -55.8503
157.500000 90.980 -56.5649
160.000000 90.874 -57.1275
162.500000 90.768 -57.6074
165.000000 90.667 -58.0403
167.500000 90.571 -58.4346
170.000000 90.479 -58.8067
172.500000 90.388 -59.1867
175.000000 90.297 -59.5457
177.500000 90.208 -59.8775
180.000000 90.123 -60.1827
182.500000 90.044 -60.4637
185.000000 89.969 -60.7419
187.500000 89.896 -61.0333
190.000000 89.823 -61.3338
192.500000 89.751 -61.6332
195.000000 89.675 -61.9177
197.500000 89.595 -62.1974
200.000000 89.517 -62.4547
203.000000 89.439 -62.7382
206.000000 89.364 -63.0193
209.000000 89.284 -63.2809
212.000000 89.204 -63.5347
214.000000 89.152 -63.7051
218.000000 89.051 -64.0218
220.000000 89.001 -64.1637
224.000000 88.905 -64.4375
227.000000 88.835 -64.6409
230.000000 88.768 -64.8344
233.000000 88.702 -65.0213
236.000000 88.636 -65.2126
240.000000 88.552 -65.4652
243.000000 88.490 -65.6423
247.000000 88.407 -65.8819
250.000000 88.347 -66.0503
254.000000 88.275 -66.2141
258.000000 88.205 -66.3724
262.000000 88.135 -66.5457
265.000000 88.084 -66.6742
269.000000 88.019 -66.8443
272.000000 87.972 -66.9693
276.000000 87.911 -67.1221
280.000000 87.849 -67.2613
285.000000 87.773 -67.4229
290.000000 87.699 -67.5646
295.000000 87.629 -67.6784
300.000000 87.566 -67.7633
304.000000 87.520 -67.8168
307.000000 87.487 -67.8544
311.000000 87.447 -67.9055
315.000000 87.410 -67.9604
320.000000 87.369 -68.0286
325.000000 87.334 -68.1090
330.000000 87.302 -68.2245
335.000000 87.270 -68.3629
