* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 22/04/2023 5:56:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: SA6II On R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 75.046 155.8932
1.015000 75.317 155.6329
1.030000 75.583 155.3590
1.044000 75.825 155.0904
1.060000 76.095 154.7694
1.075000 76.343 154.4559
1.090000 76.584 154.1315
1.106000 76.836 153.7748
1.120000 77.051 153.4547
1.138000 77.322 153.0337
1.150000 77.499 152.7480
1.172000 77.817 152.2160
1.180000 77.930 152.0206
1.206000 78.292 151.3804
1.220000 78.483 151.0343
1.241000 78.764 150.5156
1.250000 78.883 150.2942
1.265000 79.080 149.9273
1.280000 79.275 149.5639
1.315000 79.724 148.7366
1.320000 79.787 148.6214
1.340000 80.041 148.1696
1.360000 80.292 147.7316
1.380000 80.538 147.3008
1.400000 80.777 146.8757
1.430000 81.127 146.2468
1.450000 81.354 145.8321
1.475000 81.631 145.3172
1.500000 81.902 144.8043
1.525000 82.166 144.2919
1.550000 82.424 143.7779
1.575000 82.677 143.2606
1.600000 82.925 142.7383
1.625000 83.170 142.2090
1.650000 83.410 141.6710
1.675000 83.648 141.1225
1.700000 83.882 140.5624
1.725000 84.110 139.9924
1.750000 84.332 139.4141
1.775000 84.550 138.8287
1.800000 84.762 138.2375
1.825000 84.970 137.6418
1.850000 85.173 137.0431
1.875000 85.372 136.4425
1.900000 85.567 135.8414
1.925000 85.758 135.2411
1.950000 85.946 134.6430
1.975000 86.132 134.0483
2.000000 86.314 133.4584
2.030000 86.530 132.7581
2.060000 86.740 132.0611
2.090000 86.944 131.3658
2.120000 87.143 130.6723
2.140000 87.272 130.2108
2.180000 87.525 129.2902
2.200000 87.648 128.8310
2.240000 87.889 127.9148
2.270000 88.065 127.2295
2.300000 88.237 126.5459
2.330000 88.407 125.8638
2.360000 88.573 125.1833
2.400000 88.788 124.2777
2.430000 88.944 123.6000
2.470000 89.146 122.6984
2.500000 89.293 122.0242
2.540000 89.484 121.1281
2.580000 89.668 120.2356
2.620000 89.847 119.3474
2.650000 89.979 118.6842
2.690000 90.150 117.8043
2.720000 90.275 117.1468
2.760000 90.437 116.2718
2.800000 90.592 115.3996
2.850000 90.779 114.3152
2.900000 90.959 113.2394
2.950000 91.132 112.1745
3.000000 91.299 111.1227
3.040000 91.429 110.2922
3.070000 91.524 109.6759
3.110000 91.646 108.8621
3.150000 91.763 108.0565
3.200000 91.905 107.0594
3.250000 92.041 106.0716
3.300000 92.172 105.0911
3.350000 92.299 104.1159
3.400000 92.422 103.1449
3.450000 92.539 102.1799
3.500000 92.651 101.2218
3.550000 92.759 100.2712
3.600000 92.862 99.3288
3.650000 92.962 98.3952
3.700000 93.059 97.4712
3.750000 93.152 96.5583
3.820000 93.275 95.2983
3.870000 93.359 94.4087
3.950000 93.486 92.9985
4.000000 93.561 92.1223
4.060000 93.648 91.0735
4.120000 93.731 90.0299
4.180000 93.808 88.9927
4.250000 93.894 87.7912
4.310000 93.963 86.7692
4.370000 94.029 85.7548
4.440000 94.100 84.5812
4.500000 94.158 83.5834
4.550000 94.202 82.7574
4.620000 94.261 81.6094
4.680000 94.308 80.6329
4.750000 94.358 79.5019
4.820000 94.404 78.3786
4.870000 94.434 77.5819
4.940000 94.472 76.4760
5.000000 94.502 75.5384
5.080000 94.538 74.3046
5.150000 94.564 73.2380
5.220000 94.588 72.1839
5.300000 94.610 70.9967
5.380000 94.629 69.8302
5.450000 94.643 68.8270
5.520000 94.654 67.8389
5.600000 94.663 66.7285
5.700000 94.672 65.3691
5.800000 94.677 64.0425
5.900000 94.679 62.7485
6.000000 94.679 61.4846
6.080000 94.678 60.4937
6.150000 94.676 59.6430
6.220000 94.674 58.8068
6.300000 94.670 57.8672
6.400000 94.665 56.7135
6.500000 94.659 55.5826
6.600000 94.652 54.4760
6.700000 94.644 53.3934
6.800000 94.635 52.3337
6.900000 94.625 51.2964
7.000000 94.614 50.2858
7.100000 94.602 49.3057
7.200000 94.589 48.3518
7.300000 94.574 47.4288
7.400000 94.559 46.5448
7.500000 94.543 45.7001
7.620000 94.523 44.7363
7.750000 94.503 43.7643
7.880000 94.484 42.8713
8.000000 94.469 42.1134
8.120000 94.459 41.4175
8.250000 94.452 40.7389
8.380000 94.453 40.1223
8.500000 94.461 39.5997
8.620000 94.476 39.1265
8.750000 94.501 38.6423
8.850000 94.526 38.2869
9.000000 94.573 37.7817
9.120000 94.617 37.3769
9.250000 94.671 36.9413
9.380000 94.732 36.4997
9.500000 94.790 36.0755
9.620000 94.853 35.6398
9.750000 94.921 35.1488
9.880000 94.990 34.6347
10.000000 95.055 34.1413
10.150000 95.132 33.4979
10.300000 95.207 32.8237
10.440000 95.272 32.1725
10.600000 95.339 31.4006
10.750000 95.394 30.6607
10.900000 95.439 29.9115
11.060000 95.476 29.1101
11.200000 95.498 28.4269
11.380000 95.513 27.5729
11.500000 95.515 27.0437
11.720000 95.502 26.1528
11.800000 95.495 25.8659
12.060000 95.459 25.0723
12.200000 95.441 24.7332
12.410000 95.414 24.3335
12.500000 95.407 24.1863
12.650000 95.400 23.9825
12.800000 95.399 23.7882
13.150000 95.426 23.3064
13.200000 95.432 23.2233
13.400000 95.459 22.8534
13.600000 95.486 22.4042
13.800000 95.509 21.8909
14.000000 95.522 21.3309
14.300000 95.525 20.4829
14.500000 95.519 19.9463
14.750000 95.505 19.3422
15.000000 95.496 18.8107
15.250000 95.495 18.3197
15.500000 95.506 17.8347
15.750000 95.527 17.3109
16.000000 95.552 16.7256
16.250000 95.576 16.0886
16.500000 95.593 15.4186
16.750000 95.603 14.7522
17.000000 95.608 14.1247
17.250000 95.611 13.5474
17.500000 95.615 13.0233
17.750000 95.623 12.5380
18.000000 95.636 12.0658
18.250000 95.652 11.5911
18.500000 95.669 11.1028
18.750000 95.683 10.6007
19.000000 95.690 10.1011
19.250000 95.691 9.6208
19.500000 95.684 9.1785
19.750000 95.673 8.7945
20.000000 95.661 8.4769
20.299999 95.648 8.1826
20.600000 95.643 7.9661
20.900000 95.650 7.7928
21.200001 95.671 7.6172
21.400000 95.692 7.4755
21.799999 95.743 7.0952
22.000000 95.770 6.8507
22.400000 95.819 6.2705
22.700001 95.850 5.7874
23.000000 95.875 5.2881
23.299999 95.899 4.7814
23.600000 95.922 4.2592
24.000000 95.950 3.5086
24.299999 95.965 2.8958
24.700001 95.966 2.0444
25.000000 95.950 1.4394
25.400000 95.909 0.7733
25.799999 95.860 0.3400
26.200001 95.826 0.1226
26.500000 95.817 0.0416
26.900000 95.829 -0.0602
27.200001 95.851 -0.1836
27.600000 95.885 -0.4386
28.000000 95.917 -0.7787
28.500000 95.948 -1.2640
29.000000 95.974 -1.7755
29.500000 96.002 -2.3344
30.000000 96.036 -3.0076
30.400000 96.064 -3.6723
30.700001 96.080 -4.2562
31.100000 96.089 -5.1399
31.500000 96.078 -6.0996
32.000000 96.030 -7.2838
32.500000 95.954 -8.2961
33.000000 95.874 -9.0299
33.500000 95.818 -9.5066
34.000000 95.804 -9.8726
34.500000 95.828 -10.3013
35.000000 95.867 -10.8929
35.500000 95.897 -11.6227
36.000000 95.903 -12.3727
36.500000 95.891 -13.0300
37.000000 95.872 -13.5638
37.500000 95.855 -14.0220
38.200001 95.831 -14.6516
38.700001 95.807 -15.1103
39.500000 95.755 -15.7979
40.000000 95.721 -16.1982
40.599998 95.685 -16.6929
41.200001 95.650 -17.2242
41.799999 95.616 -17.7748
42.500000 95.580 -18.4185
43.099998 95.553 -18.9766
43.700001 95.528 -19.5374
44.400002 95.499 -20.1632
45.000000 95.474 -20.6598
45.500000 95.454 -21.0496
46.200001 95.426 -21.5668
46.799999 95.400 -21.9892
47.500000 95.366 -22.4686
48.200001 95.326 -22.9233
48.700001 95.298 -23.2205
49.400002 95.267 -23.6344
50.000000 95.249 -24.0578
50.799999 95.218 -24.7488
51.500000 95.177 -25.3705
52.200001 95.132 -25.9271
53.000000 95.089 -26.5008
53.799999 95.054 -27.0527
54.500000 95.028 -27.5385
55.200001 95.000 -28.0287
56.000000 94.962 -28.5630
57.000000 94.912 -29.1877
58.000000 94.858 -29.8372
59.000000 94.792 -30.4789
60.000000 94.727 -31.0947
60.799999 94.677 -31.6002
61.500000 94.634 -32.0472
62.200001 94.593 -32.4966
63.000000 94.547 -33.0004
64.000000 94.492 -33.5756
65.000000 94.447 -34.1362
66.000000 94.399 -34.7013
67.000000 94.349 -35.2234
68.000000 94.297 -35.7442
69.000000 94.239 -36.2587
70.000000 94.178 -36.7637
71.000000 94.114 -37.2744
72.000000 94.046 -37.7718
73.000000 93.978 -38.2482
74.000000 93.914 -38.7076
75.000000 93.852 -39.1602
76.199997 93.777 -39.6687
77.500000 93.702 -40.1732
78.800003 93.628 -40.6876
80.000000 93.553 -41.1766
81.199997 93.467 -41.6419
82.500000 93.368 -42.0458
83.800003 93.275 -42.3679
85.000000 93.194 -42.6246
86.199997 93.112 -42.8110
87.500000 93.034 -42.8414
88.500000 92.997 -42.8350
90.000000 92.968 -42.9360
91.199997 92.965 -43.1665
92.500000 92.964 -43.6570
93.800003 92.941 -44.2821
95.000000 92.892 -44.7918
96.199997 92.830 -45.0823
97.500000 92.771 -45.1366
98.800003 92.730 -45.0405
100.000000 92.716 -44.8937
101.500000 92.745 -44.8241
103.000000 92.816 -45.2220
104.400002 92.871 -46.0587
106.000000 92.903 -47.2171
107.500000 92.911 -48.4395
109.000000 92.867 -49.6700
110.599998 92.778 -50.7413
112.000000 92.692 -51.5012
113.800003 92.584 -52.4076
115.000000 92.511 -52.9713
117.199997 92.383 -53.8836
118.000000 92.339 -54.1822
120.599998 92.202 -55.0429
122.000000 92.131 -55.5000
124.099998 92.016 -56.1588
125.000000 91.967 -56.4092
126.500000 91.890 -56.8099
128.000000 91.817 -57.1994
131.500000 91.649 -58.1072
132.000000 91.625 -58.2297
134.000000 91.531 -58.6766
136.000000 91.445 -59.0768
138.000000 91.364 -59.4703
140.000000 91.284 -59.8648
143.000000 91.172 -60.4861
145.000000 91.100 -60.9071
147.500000 91.008 -61.3875
150.000000 90.922 -61.8831
152.500000 90.830 -62.4931
155.000000 90.732 -63.0578
157.500000 90.641 -63.5647
160.000000 90.550 -64.0420
162.500000 90.460 -64.5073
165.000000 90.371 -64.9656
167.500000 90.284 -65.3983
170.000000 90.199 -65.7993
172.500000 90.116 -66.1830
175.000000 90.035 -66.5586
177.500000 89.956 -66.9321
180.000000 89.879 -67.2955
182.500000 89.806 -67.6309
185.000000 89.736 -67.9394
187.500000 89.669 -68.2507
190.000000 89.605 -68.5808
192.500000 89.542 -68.9186
195.000000 89.479 -69.2531
197.500000 89.412 -69.5788
200.000000 89.345 -69.8994
203.000000 89.267 -70.3099
206.000000 89.191 -70.7068
209.000000 89.115 -71.0520
212.000000 89.044 -71.3698
214.000000 89.000 -71.5801
218.000000 88.915 -72.0044
220.000000 88.874 -72.2218
224.000000 88.792 -72.6770
227.000000 88.732 -73.0317
230.000000 88.673 -73.3779
233.000000 88.613 -73.7117
236.000000 88.554 -74.0434
240.000000 88.476 -74.4841
243.000000 88.419 -74.8105
247.000000 88.346 -75.2361
250.000000 88.291 -75.5312
254.000000 88.214 -75.8677
258.000000 88.139 -76.1965
262.000000 88.071 -76.5209
265.000000 88.023 -76.7473
269.000000 87.960 -77.0368
272.000000 87.916 -77.2537
276.000000 87.862 -77.5460
280.000000 87.812 -77.8418
285.000000 87.751 -78.2331
290.000000 87.690 -78.6422
295.000000 87.628 -79.0415
300.000000 87.566 -79.4126
304.000000 87.518 -79.6934
307.000000 87.483 -79.9006
311.000000 87.437 -80.1717
315.000000 87.393 -80.4343
320.000000 87.342 -80.7495
325.000000 87.293 -81.0504
330.000000 87.247 -81.3379
335.000000 87.203 -81.6219
