* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.800. Timing signal peak level -22.6 dBFS, measurement signal peak level -19.7 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 13/07/2022 8:49:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.1098 ms (-38 mm, -1.48 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: SE215 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 76.683 -16.8274
1.015000 76.761 -17.0186
1.030000 76.839 -17.2101
1.044000 76.914 -17.3890
1.060000 77.000 -17.5936
1.075000 77.083 -17.7855
1.090000 77.166 -17.9773
1.106000 77.257 -18.1808
1.120000 77.338 -18.3527
1.138000 77.445 -18.5651
1.150000 77.518 -18.7021
1.172000 77.656 -18.9460
1.180000 77.708 -19.0328
1.206000 77.877 -19.3111
1.220000 77.971 -19.4598
1.241000 78.113 -19.6837
1.250000 78.175 -19.7807
1.265000 78.279 -19.9444
1.280000 78.384 -20.1119
1.315000 78.632 -20.5229
1.320000 78.668 -20.5845
1.340000 78.811 -20.8399
1.360000 78.955 -21.1115
1.380000 79.099 -21.4018
1.400000 79.243 -21.7134
1.430000 79.458 -22.2264
1.450000 79.600 -22.6026
1.475000 79.776 -23.1149
1.500000 79.954 -23.6679
1.525000 80.135 -24.2571
1.550000 80.318 -24.8796
1.575000 80.502 -25.5323
1.600000 80.687 -26.2123
1.625000 80.873 -26.9165
1.650000 81.058 -27.6419
1.675000 81.244 -28.3856
1.700000 81.428 -29.1446
1.725000 81.611 -29.9157
1.750000 81.792 -30.6962
1.775000 81.970 -31.4828
1.800000 82.146 -32.2727
1.825000 82.318 -33.0628
1.850000 82.487 -33.8560
1.875000 82.656 -34.6644
1.900000 82.823 -35.4873
1.925000 82.988 -36.3237
1.950000 83.153 -37.1726
1.975000 83.316 -38.0327
2.000000 83.477 -38.9030
2.030000 83.667 -39.9593
2.060000 83.855 -41.0268
2.090000 84.039 -42.1036
2.120000 84.220 -43.1878
2.140000 84.339 -43.9138
2.180000 84.570 -45.3708
2.200000 84.683 -46.1008
2.240000 84.904 -47.5786
2.270000 85.066 -48.7048
2.300000 85.225 -49.8436
2.330000 85.380 -50.9924
2.360000 85.532 -52.1486
2.400000 85.729 -53.6973
2.430000 85.873 -54.8609
2.470000 86.059 -56.4103
2.500000 86.195 -57.5675
2.540000 86.371 -59.0990
2.580000 86.540 -60.6147
2.620000 86.702 -62.1327
2.650000 86.820 -63.2735
2.690000 86.971 -64.7945
2.720000 87.081 -65.9327
2.760000 87.221 -67.4438
2.800000 87.356 -68.9433
2.850000 87.517 -70.7951
2.900000 87.670 -72.6142
2.950000 87.814 -74.3946
3.000000 87.949 -76.1524
3.040000 88.050 -77.5433
3.070000 88.123 -78.5761
3.110000 88.214 -79.9378
3.150000 88.301 -81.2799
3.200000 88.402 -82.9268
3.250000 88.498 -84.5359
3.300000 88.587 -86.1030
3.350000 88.670 -87.6362
3.400000 88.744 -89.1397
3.450000 88.810 -90.6091
3.500000 88.871 -92.0398
3.550000 88.927 -93.4274
3.600000 88.978 -94.7672
3.650000 89.027 -96.0548
3.700000 89.072 -97.2880
3.750000 89.110 -98.4711
3.820000 89.156 -100.0472
3.870000 89.185 -101.1181
3.950000 89.227 -102.7414
4.000000 89.252 -103.7026
4.060000 89.282 -104.8021
4.120000 89.310 -105.8324
4.180000 89.334 -106.7982
4.250000 89.361 -107.8528
4.310000 89.384 -108.7030
4.370000 89.411 -109.5112
4.440000 89.445 -110.3993
4.500000 89.475 -111.0952
4.550000 89.502 -111.6365
4.620000 89.540 -112.3495
4.680000 89.576 -112.9326
4.750000 89.620 -113.5975
4.820000 89.669 -114.2438
4.870000 89.706 -114.6808
4.940000 89.761 -115.2667
5.000000 89.809 -115.7530
5.080000 89.876 -116.3925
5.150000 89.934 -116.9550
5.220000 89.995 -117.5101
5.300000 90.067 -118.1330
5.380000 90.140 -118.7485
5.450000 90.203 -119.2850
5.520000 90.263 -119.8232
5.600000 90.332 -120.4390
5.700000 90.417 -121.2053
5.800000 90.498 -121.9627
5.900000 90.576 -122.7064
6.000000 90.650 -123.4405
6.080000 90.706 -124.0194
6.150000 90.754 -124.5180
6.220000 90.800 -125.0078
6.300000 90.851 -125.5557
6.400000 90.912 -126.2248
6.500000 90.969 -126.8794
6.600000 91.025 -127.5231
6.700000 91.078 -128.1543
6.800000 91.129 -128.7729
6.900000 91.176 -129.3826
7.000000 91.221 -129.9866
7.100000 91.262 -130.5847
7.200000 91.301 -131.1746
7.300000 91.336 -131.7540
7.400000 91.366 -132.3240
7.500000 91.392 -132.8872
7.620000 91.419 -133.5417
7.750000 91.441 -134.2109
7.880000 91.456 -134.8463
8.000000 91.466 -135.3930
8.120000 91.474 -135.8899
8.250000 91.479 -136.3750
8.380000 91.484 -136.8109
8.500000 91.491 -137.1693
8.620000 91.500 -137.4806
8.750000 91.514 -137.7904
8.850000 91.530 -138.0210
9.000000 91.560 -138.3365
9.120000 91.590 -138.5938
9.250000 91.628 -138.8989
9.380000 91.672 -139.2192
9.500000 91.715 -139.5462
9.620000 91.759 -139.9145
9.750000 91.808 -140.3520
9.880000 91.855 -140.8272
10.000000 91.896 -141.3034
10.150000 91.943 -141.9434
10.300000 91.982 -142.6057
10.440000 92.011 -143.2507
10.600000 92.037 -143.9924
10.750000 92.051 -144.6734
10.900000 92.059 -145.3423
11.060000 92.060 -146.0111
11.200000 92.056 -146.5623
11.380000 92.047 -147.2100
11.500000 92.040 -147.5985
11.720000 92.028 -148.2320
11.800000 92.025 -148.4368
12.060000 92.022 -149.0197
12.200000 92.027 -149.3004
12.410000 92.043 -149.6865
12.500000 92.054 -149.8551
12.650000 92.076 -150.1328
12.800000 92.102 -150.4228
13.150000 92.170 -151.1882
13.200000 92.179 -151.3061
13.400000 92.215 -151.8065
13.600000 92.244 -152.3179
13.800000 92.266 -152.8335
14.000000 92.280 -153.3110
14.300000 92.290 -153.9345
14.500000 92.295 -154.2615
14.750000 92.306 -154.5931
15.000000 92.327 -154.8572
15.250000 92.361 -155.1173
15.500000 92.404 -155.4241
15.750000 92.449 -155.8016
16.000000 92.489 -156.2656
16.250000 92.515 -156.7734
16.500000 92.525 -157.2903
16.750000 92.519 -157.7600
17.000000 92.504 -158.1364
17.250000 92.486 -158.4135
17.500000 92.473 -158.5894
17.750000 92.472 -158.7144
18.000000 92.484 -158.8277
18.250000 92.508 -158.9728
18.500000 92.538 -159.1908
18.750000 92.570 -159.4805
19.000000 92.597 -159.8403
19.250000 92.616 -160.2353
19.500000 92.627 -160.6360
19.750000 92.630 -161.0191
20.000000 92.630 -161.3605
20.299999 92.630 -161.7202
20.600000 92.635 -162.0412
20.900000 92.647 -162.3514
21.200001 92.662 -162.6783
21.400000 92.673 -162.9103
21.799999 92.690 -163.3918
22.000000 92.696 -163.6287
22.400000 92.703 -164.0631
22.700001 92.707 -164.3419
23.000000 92.714 -164.5859
23.299999 92.724 -164.8152
23.600000 92.737 -165.0470
24.000000 92.755 -165.3752
24.299999 92.766 -165.6310
24.700001 92.774 -165.9627
25.000000 92.777 -166.1890
25.400000 92.779 -166.4537
25.799999 92.785 -166.6911
26.200001 92.794 -166.9308
26.500000 92.802 -167.1293
26.900000 92.812 -167.4286
27.200001 92.815 -167.6736
27.600000 92.813 -168.0047
28.000000 92.805 -168.3032
28.500000 92.794 -168.5954
29.000000 92.796 -168.8385
29.500000 92.812 -169.1350
30.000000 92.826 -169.5341
30.400000 92.826 -169.8712
30.700001 92.820 -170.0861
31.100000 92.813 -170.2922
31.500000 92.818 -170.4438
32.000000 92.845 -170.6977
32.500000 92.870 -171.1344
33.000000 92.864 -171.6575
33.500000 92.824 -172.0322
34.000000 92.784 -172.1260
34.500000 92.778 -172.0698
35.000000 92.806 -172.1042
35.500000 92.839 -172.3463
36.000000 92.852 -172.6966
36.500000 92.845 -172.9992
37.000000 92.837 -173.2002
37.500000 92.839 -173.3586
38.200001 92.851 -173.6180
38.700001 92.860 -173.8330
39.500000 92.872 -174.2069
40.000000 92.872 -174.4488
40.599998 92.865 -174.6879
41.200001 92.863 -174.8362
41.799999 92.876 -174.9813
42.500000 92.899 -175.3078
43.099998 92.902 -175.7283
43.700001 92.874 -176.1275
44.400002 92.822 -176.3164
45.000000 92.810 -176.2094
45.500000 92.849 -176.1752
46.200001 92.934 -176.6427
46.799999 92.955 -177.4410
47.500000 92.906 -178.1453
48.200001 92.873 -178.4523
48.700001 92.873 -178.7483
49.400002 92.833 -179.3582
50.000000 92.743 -179.5524
50.799999 92.671 -179.0270
51.500000 92.717 -178.5888
52.200001 92.779 -178.6381
53.000000 92.800 -178.8730
53.799999 92.804 -179.0079
54.500000 92.806 -179.1457
55.200001 92.799 -179.2925
56.000000 92.788 -179.4314
57.000000 92.779 -179.6382
58.000000 92.770 -179.8908
59.000000 92.760 179.8398
60.000000 92.751 179.5740
60.799999 92.745 179.3715
61.500000 92.741 179.1937
62.200001 92.736 179.0112
63.000000 92.726 178.8079
64.000000 92.710 178.5734
65.000000 92.690 178.3642
66.000000 92.673 178.2076
67.000000 92.667 178.0429
68.000000 92.665 177.7999
69.000000 92.656 177.5447
70.000000 92.646 177.3334
71.000000 92.639 177.1469
72.000000 92.634 176.9675
73.000000 92.628 176.7766
74.000000 92.616 176.5541
75.000000 92.593 176.3359
76.199997 92.560 176.1181
77.500000 92.528 175.9164
78.800003 92.515 175.7069
80.000000 92.521 175.4297
81.199997 92.531 175.0285
82.500000 92.517 174.5875
83.800003 92.489 174.3764
85.000000 92.460 174.3340
86.199997 92.425 174.3917
87.500000 92.388 174.5534
88.500000 92.375 174.6262
90.000000 92.360 174.4139
91.199997 92.340 174.0291
92.500000 92.301 173.5612
93.800003 92.265 173.3741
95.000000 92.283 173.3994
96.199997 92.337 173.3276
97.500000 92.392 173.0614
98.800003 92.404 172.5798
100.000000 92.339 172.1817
101.500000 92.223 172.1818
103.000000 92.161 172.3421
104.400002 92.145 172.2303
106.000000 92.117 171.9098
107.500000 92.088 171.7716
109.000000 92.079 171.7610
110.599998 92.080 171.6254
112.000000 92.058 171.3354
113.800003 91.999 170.9139
115.000000 91.954 170.7230
117.199997 91.937 170.6214
118.000000 91.949 170.5402
120.599998 91.960 170.2317
122.000000 91.945 170.1145
124.099998 91.909 169.9624
125.000000 91.895 169.8755
126.500000 91.871 169.6909
128.000000 91.844 169.5139
131.500000 91.778 169.2490
132.000000 91.769 169.2117
134.000000 91.735 169.0164
136.000000 91.698 168.8135
138.000000 91.662 168.6462
140.000000 91.625 168.4857
143.000000 91.573 168.2535
145.000000 91.542 168.1632
147.500000 91.493 168.2301
150.000000 91.458 168.3178
152.500000 91.417 167.9473
155.000000 91.361 167.5475
157.500000 91.319 167.3249
160.000000 91.274 167.2228
162.500000 91.219 167.1500
165.000000 91.168 167.0668
167.500000 91.123 166.9554
170.000000 91.075 166.8492
172.500000 91.028 166.7798
175.000000 90.987 166.7302
177.500000 90.946 166.6950
180.000000 90.906 166.6830
182.500000 90.868 166.6877
185.000000 90.835 166.6978
187.500000 90.812 166.6790
190.000000 90.793 166.6075
192.500000 90.770 166.4925
195.000000 90.734 166.3270
197.500000 90.687 166.1372
200.000000 90.645 165.9745
203.000000 90.600 165.8024
206.000000 90.548 165.6834
209.000000 90.491 165.5894
212.000000 90.434 165.5139
214.000000 90.397 165.4718
218.000000 90.323 165.3953
220.000000 90.286 165.3604
224.000000 90.212 165.3051
227.000000 90.161 165.2746
230.000000 90.111 165.2672
233.000000 90.057 165.2641
236.000000 89.999 165.2585
240.000000 89.924 165.2563
243.000000 89.872 165.2695
247.000000 89.801 165.3745
250.000000 89.749 165.4611
254.000000 89.680 165.4186
258.000000 89.612 165.3847
262.000000 89.544 165.4297
265.000000 89.492 165.4727
269.000000 89.425 165.5304
272.000000 89.375 165.5777
