* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.800. Timing signal peak level -51.2 dBFS, measurement signal peak level -17.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 13/07/2022 8:48:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0537 ms (-18 mm, -0.73 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: SE215 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 74.521 28.7493
1.015000 74.746 26.7091
1.030000 74.968 24.7456
1.044000 75.171 22.9894
1.060000 75.400 21.0814
1.075000 75.610 19.3968
1.090000 75.814 17.8214
1.106000 76.027 16.2699
1.120000 76.211 15.0206
1.138000 76.445 13.5523
1.150000 76.600 12.6534
1.172000 76.882 11.1569
1.180000 76.984 10.6573
1.206000 77.312 9.1792
1.220000 77.487 8.4650
1.241000 77.746 7.4836
1.250000 77.856 7.0914
1.265000 78.038 6.4695
1.280000 78.219 5.8804
1.315000 78.635 4.5894
1.320000 78.693 4.4103
1.340000 78.926 3.6955
1.360000 79.156 2.9695
1.380000 79.382 2.2137
1.400000 79.606 1.4097
1.430000 79.935 0.0725
1.450000 80.151 -0.9335
1.475000 80.416 -2.3419
1.500000 80.676 -3.8443
1.525000 80.931 -5.4097
1.550000 81.180 -7.0261
1.575000 81.425 -8.6815
1.600000 81.665 -10.3642
1.625000 81.900 -12.0622
1.650000 82.131 -13.7636
1.675000 82.358 -15.4565
1.700000 82.580 -17.1290
1.725000 82.799 -18.7694
1.750000 83.014 -20.3655
1.775000 83.225 -21.9056
1.800000 83.433 -23.3778
1.825000 83.638 -24.7701
1.850000 83.839 -26.0787
1.875000 84.036 -27.3205
1.900000 84.228 -28.5033
1.925000 84.416 -29.6343
1.950000 84.601 -30.7208
1.975000 84.781 -31.7698
2.000000 84.958 -32.7885
2.030000 85.165 -33.9812
2.060000 85.368 -35.1530
2.090000 85.566 -36.3165
2.120000 85.759 -37.4839
2.140000 85.886 -38.2705
2.180000 86.135 -39.8804
2.200000 86.256 -40.7108
2.240000 86.494 -42.3925
2.270000 86.666 -43.6584
2.300000 86.833 -44.9257
2.330000 86.996 -46.1923
2.360000 87.155 -47.4560
2.400000 87.359 -49.1326
2.430000 87.508 -50.3811
2.470000 87.701 -52.0294
2.500000 87.842 -53.2506
2.540000 88.024 -54.8547
2.580000 88.201 -56.4287
2.620000 88.370 -57.9874
2.650000 88.493 -59.1474
2.690000 88.650 -60.6791
2.720000 88.764 -61.8150
2.760000 88.910 -63.3097
2.800000 89.050 -64.7785
2.850000 89.218 -66.5732
2.900000 89.378 -68.3160
2.950000 89.531 -69.9995
3.000000 89.675 -71.6165
3.040000 89.783 -72.8677
3.070000 89.861 -73.7852
3.110000 89.960 -74.9852
3.150000 90.055 -76.1638
3.200000 90.167 -77.6157
3.250000 90.273 -79.0542
3.300000 90.374 -80.4906
3.350000 90.468 -81.9343
3.400000 90.555 -83.3773
3.450000 90.635 -84.8061
3.500000 90.709 -86.2070
3.550000 90.778 -87.5663
3.600000 90.843 -88.8703
3.650000 90.905 -90.1055
3.700000 90.964 -91.2616
3.750000 91.017 -92.3460
3.820000 91.083 -93.7656
3.870000 91.126 -94.7245
3.950000 91.190 -96.1944
4.000000 91.229 -97.0905
4.060000 91.274 -98.1575
4.120000 91.315 -99.2007
4.180000 91.353 -100.2111
4.250000 91.395 -101.3401
4.310000 91.431 -102.2578
4.370000 91.467 -103.1225
4.440000 91.512 -104.0519
4.500000 91.550 -104.7736
4.550000 91.581 -105.3335
4.620000 91.626 -106.0730
4.680000 91.666 -106.6834
4.750000 91.715 -107.3911
4.820000 91.767 -108.0967
4.870000 91.806 -108.5843
4.940000 91.861 -109.2482
5.000000 91.911 -109.8041
5.080000 91.978 -110.5333
5.150000 92.039 -111.1654
5.220000 92.101 -111.7815
5.300000 92.175 -112.4690
5.380000 92.250 -113.1501
5.450000 92.315 -113.7500
5.520000 92.378 -114.3608
5.600000 92.451 -115.0661
5.700000 92.542 -115.9534
5.800000 92.630 -116.8449
5.900000 92.712 -117.7397
6.000000 92.791 -118.6451
6.080000 92.850 -119.3706
6.150000 92.900 -120.0002
6.220000 92.947 -120.6199
6.300000 92.997 -121.3173
6.400000 93.055 -122.1792
6.500000 93.108 -123.0238
6.600000 93.157 -123.8444
6.700000 93.201 -124.6436
6.800000 93.241 -125.4218
6.900000 93.277 -126.1719
7.000000 93.312 -126.8872
7.100000 93.343 -127.5677
7.200000 93.373 -128.2186
7.300000 93.401 -128.8452
7.400000 93.429 -129.4489
7.500000 93.456 -130.0262
7.620000 93.489 -130.6914
7.750000 93.524 -131.3858
7.880000 93.560 -132.0470
8.000000 93.594 -132.6382
8.120000 93.627 -133.2218
8.250000 93.664 -133.8398
8.380000 93.701 -134.4476
8.500000 93.734 -135.0045
8.620000 93.766 -135.5557
8.750000 93.799 -136.1454
8.850000 93.824 -136.5938
9.000000 93.858 -137.2592
9.120000 93.884 -137.7809
9.250000 93.909 -138.3332
9.380000 93.933 -138.8736
9.500000 93.953 -139.3578
9.620000 93.972 -139.8255
9.750000 93.991 -140.3153
9.880000 94.009 -140.7881
10.000000 94.026 -141.2085
10.150000 94.046 -141.7137
10.300000 94.067 -142.2020
10.440000 94.087 -142.6407
10.600000 94.110 -143.1289
10.750000 94.133 -143.5790
10.900000 94.156 -144.0206
11.060000 94.180 -144.4876
11.200000 94.202 -144.8924
11.380000 94.229 -145.4069
11.500000 94.246 -145.7469
11.720000 94.277 -146.3599
11.800000 94.288 -146.5783
12.060000 94.321 -147.2728
12.200000 94.339 -147.6354
12.410000 94.365 -148.1660
12.500000 94.377 -148.3903
12.650000 94.396 -148.7585
12.800000 94.415 -149.1240
13.150000 94.460 -149.9759
13.200000 94.466 -150.0978
13.400000 94.489 -150.5874
13.600000 94.509 -151.0726
13.800000 94.526 -151.5525
14.000000 94.540 -152.0138
14.300000 94.555 -152.6635
14.500000 94.563 -153.0576
14.750000 94.575 -153.5100
15.000000 94.588 -153.9218
15.250000 94.606 -154.3117
15.500000 94.628 -154.6997
15.750000 94.652 -155.0972
16.000000 94.676 -155.5162
16.250000 94.698 -155.9502
16.500000 94.715 -156.3914
16.750000 94.728 -156.8251
17.000000 94.736 -157.2346
17.250000 94.741 -157.6148
17.500000 94.746 -157.9607
17.750000 94.752 -158.2805
18.000000 94.760 -158.5830
18.250000 94.770 -158.8783
18.500000 94.782 -159.1783
18.750000 94.794 -159.4847
19.000000 94.806 -159.7989
19.250000 94.816 -160.1150
19.500000 94.823 -160.4264
19.750000 94.829 -160.7281
20.000000 94.834 -161.0149
20.299999 94.841 -161.3417
20.600000 94.848 -161.6550
20.900000 94.858 -161.9639
21.200001 94.868 -162.2771
21.400000 94.874 -162.4897
21.799999 94.884 -162.9164
22.000000 94.887 -163.1246
22.400000 94.892 -163.5157
22.700001 94.895 -163.7806
23.000000 94.901 -164.0248
23.299999 94.910 -164.2628
23.600000 94.922 -164.5092
24.000000 94.938 -164.8674
24.299999 94.949 -165.1570
24.700001 94.956 -165.5490
25.000000 94.957 -165.8248
25.400000 94.955 -166.1480
25.799999 94.955 -166.4237
26.200001 94.961 -166.6785
26.500000 94.967 -166.8721
26.900000 94.978 -167.1408
27.200001 94.985 -167.3469
27.600000 94.996 -167.6223
28.000000 95.007 -167.9037
28.500000 95.020 -168.2828
29.000000 95.025 -168.6796
29.500000 95.021 -169.0309
30.000000 95.019 -169.2978
30.400000 95.025 -169.4932
30.700001 95.034 -169.6670
31.100000 95.040 -169.9516
31.500000 95.033 -170.2487
32.000000 95.006 -170.4915
32.500000 94.987 -170.5035
33.000000 95.008 -170.4366
33.500000 95.063 -170.5625
34.000000 95.110 -170.9934
34.500000 95.116 -171.5513
35.000000 95.088 -171.9855
35.500000 95.058 -172.2112
36.000000 95.047 -172.3523
36.500000 95.051 -172.5475
37.000000 95.054 -172.8115
37.500000 95.050 -173.0728
38.200001 95.048 -173.3761
38.700001 95.054 -173.5930
39.500000 95.066 -173.9919
40.000000 95.070 -174.2388
40.599998 95.073 -174.5126
41.200001 95.074 -174.7688
41.799999 95.071 -174.9906
42.500000 95.068 -175.1909
43.099998 95.069 -175.3655
43.700001 95.066 -175.5836
44.400002 95.051 -175.8365
45.000000 95.038 -176.0262
45.500000 95.030 -176.2217
46.200001 95.011 -176.5763
46.799999 94.984 -176.8375
47.500000 94.973 -177.0781
48.200001 94.982 -177.5542
48.700001 94.964 -178.0470
49.400002 94.882 -178.4847
50.000000 94.825 -178.3493
50.799999 94.863 -177.9905
51.500000 94.945 -178.1433
52.200001 94.987 -178.5524
53.000000 94.998 -178.8539
53.799999 95.013 -179.0296
54.500000 95.024 -179.2046
55.200001 95.025 -179.3775
56.000000 95.019 -179.5714
57.000000 95.001 -179.8040
58.000000 94.985 179.9679
59.000000 94.972 179.6759
60.000000 94.958 179.3784
60.799999 94.952 179.1605
61.500000 94.952 178.9615
62.200001 94.950 178.7506
63.000000 94.943 178.5312
64.000000 94.929 178.3498
65.000000 94.924 178.2313
66.000000 94.926 178.0569
67.000000 94.921 177.8099
68.000000 94.908 177.5673
69.000000 94.896 177.3316
70.000000 94.885 177.0970
71.000000 94.877 176.8808
72.000000 94.872 176.6537
73.000000 94.862 176.4297
74.000000 94.849 176.2444
75.000000 94.837 176.0612
76.199997 94.817 175.8385
77.500000 94.798 175.6385
78.800003 94.785 175.3801
80.000000 94.767 175.1309
81.199997 94.747 174.9281
82.500000 94.727 174.7767
83.800003 94.717 174.6340
85.000000 94.708 174.4320
86.199997 94.691 174.1906
87.500000 94.672 173.9460
88.500000 94.661 173.7286
90.000000 94.639 173.4011
91.199997 94.623 173.1583
92.500000 94.604 172.9276
93.800003 94.588 172.7116
95.000000 94.570 172.5244
96.199997 94.557 172.3810
97.500000 94.555 172.1788
98.800003 94.542 171.8846
100.000000 94.510 171.7143
101.500000 94.480 171.6818
103.000000 94.462 171.6345
104.400002 94.445 171.5654
106.000000 94.428 171.4237
107.500000 94.410 171.2426
109.000000 94.397 171.0511
110.599998 94.387 170.8080
112.000000 94.374 170.5786
113.800003 94.350 170.3099
115.000000 94.332 170.1458
117.199997 94.299 169.8663
118.000000 94.289 169.7582
120.599998 94.249 169.4360
122.000000 94.229 169.2958
124.099998 94.198 169.0817
125.000000 94.182 168.9839
126.500000 94.154 168.8137
128.000000 94.127 168.6284
131.500000 94.063 168.1357
132.000000 94.053 168.0763
134.000000 94.015 167.9233
136.000000 93.989 167.7997
138.000000 93.961 167.6503
140.000000 93.927 167.5075
143.000000 93.871 167.2939
145.000000 93.835 167.1122
147.500000 93.806 166.7958
150.000000 93.764 166.4473
152.500000 93.704 166.4757
155.000000 93.658 166.5911
157.500000 93.609 166.5962
160.000000 93.571 166.5938
162.500000 93.557 166.6701
165.000000 93.566 166.7346
167.500000 93.579 166.6091
170.000000 93.578 166.2978
172.500000 93.560 165.8951
175.000000 93.527 165.4967
177.500000 93.485 165.1616
180.000000 93.440 164.8944
182.500000 93.393 164.6697
185.000000 93.346 164.4770
187.500000 93.299 164.3078
190.000000 93.252 164.1537
192.500000 93.206 164.0103
195.000000 93.161 163.8809
197.500000 93.116 163.7634
200.000000 93.072 163.6494
203.000000 93.018 163.5213
206.000000 92.964 163.4025
209.000000 92.912 163.2880
212.000000 92.861 163.1680
214.000000 92.827 163.0932
218.000000 92.758 162.9667
220.000000 92.724 162.9093
224.000000 92.655 162.8040
227.000000 92.603 162.7172
230.000000 92.550 162.6289
233.000000 92.499 162.5669
236.000000 92.450 162.5232
240.000000 92.383 162.4631
243.000000 92.331 162.4228
247.000000 92.253 162.3556
250.000000 92.197 162.3117
254.000000 92.139 162.2960
258.000000 92.079 162.2911
262.000000 92.014 162.2871
265.000000 91.965 162.2946
269.000000 91.899 162.2953
272.000000 91.848 162.2972
276.000000 91.781 162.3201
280.000000 91.714 162.3599
