* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 18/12/2024 9:13:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ST2 L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 41.983 159.7617
0.732422 40.614 134.7324
1.098633 39.876 101.0574
1.464844 41.774 69.2651
1.831055 45.321 51.4473
2.197266 49.129 42.3135
2.563477 52.718 35.5404
2.929688 55.868 28.7350
3.295898 58.497 21.6693
3.662109 60.620 14.8199
4.028320 62.311 8.7738
4.394531 63.689 3.9891
4.760742 64.895 0.6015
5.126953 66.063 -1.7305
5.493164 67.261 -3.7261
5.859375 68.467 -6.0646
6.225586 69.606 -8.9981
6.591797 70.615 -12.3193
6.958008 71.475 -15.5883
7.324219 72.221 -18.4043
7.690430 72.918 -20.6172
8.056641 73.630 -22.4084
8.422852 74.377 -24.1620
8.789062 75.133 -26.1930
9.155273 75.855 -28.5626
9.521484 76.509 -31.1055
9.887695 77.095 -33.5931
10.253906 77.635 -35.8899
10.620117 78.155 -38.0181
10.986328 78.662 -40.0980
11.352539 79.149 -42.2239
11.718750 79.598 -44.3787
12.084961 80.003 -46.4503
12.451172 80.375 -48.3233
12.817383 80.734 -49.9699
13.183594 81.100 -51.4725
13.549805 81.476 -52.9625
13.916016 81.850 -54.5282
14.282227 82.209 -56.1697
14.648438 82.547 -57.8286
15.014648 82.868 -59.4538
15.380859 83.179 -61.0446
15.747070 83.483 -62.6416
16.113281 83.777 -64.2819
16.479492 84.051 -65.9604
16.845703 84.302 -67.6296
17.211914 84.532 -69.2317
17.578125 84.746 -70.7327
17.944336 84.953 -72.1350
18.310547 85.157 -73.4622
18.676758 85.359 -74.7382
19.042969 85.560 -75.9774
19.409180 85.760 -77.1910
19.775391 85.960 -78.3957
20.141602 86.157 -79.6105
20.507812 86.349 -80.8457
20.874023 86.533 -82.0953
21.240234 86.707 -83.3423
21.606445 86.873 -84.5724
21.972656 87.031 -85.7829
22.338867 87.181 -86.9764
22.705078 87.323 -88.1489
23.071289 87.457 -89.2841
23.437500 87.586 -90.3650
23.803711 87.714 -91.3936
24.169922 87.846 -92.3989
24.536133 87.980 -93.4233
24.902344 88.111 -94.4920
25.268555 88.233 -95.5922
25.634766 88.341 -96.6787
26.000977 88.439 -97.7040
26.367188 88.534 -98.6504
26.733398 88.633 -99.5409
27.099609 88.738 -100.4211
27.465820 88.845 -101.3259
27.832031 88.949 -102.2586
28.198242 89.046 -103.1957
28.564453 89.137 -104.1112
28.930664 89.226 -104.9980
29.296875 89.315 -105.8694
29.663086 89.402 -106.7434
30.029297 89.485 -107.6231
30.395508 89.562 -108.4932
30.761719 89.634 -109.3327
31.127930 89.703 -110.1335
31.494141 89.773 -110.9069
31.860352 89.843 -111.6728
32.226562 89.912 -112.4422
32.592773 89.977 -113.2084
32.958984 90.037 -113.9552
33.325195 90.096 -114.6742
33.691406 90.156 -115.3744
34.057617 90.216 -116.0753
34.423828 90.275 -116.7884
34.790039 90.329 -117.5056
35.156250 90.378 -118.2062
35.522461 90.426 -118.8780
35.888672 90.475 -119.5318
36.254883 90.526 -120.1956
36.621094 90.574 -120.8884
36.987305 90.616 -121.5978
37.353516 90.648 -122.2817
37.719727 90.676 -122.8978
38.085938 90.707 -123.4389
38.452148 90.748 -123.9457
38.818359 90.801 -124.4824
39.184570 90.856 -125.0919
39.550781 90.906 -125.7659
39.916992 90.944 -126.4521
40.283203 90.972 -127.0926
40.649414 90.999 -127.6622
41.015625 91.033 -128.1824
41.381836 91.074 -128.7015
41.748047 91.120 -129.2594
42.114258 91.164 -129.8635
42.480469 91.201 -130.4906
42.846680 91.231 -131.1070
43.212891 91.256 -131.6877
43.579102 91.279 -132.2257
43.945312 91.303 -132.7293
44.311523 91.332 -133.2155
44.677734 91.363 -133.7042
45.043945 91.396 -134.2127
45.410156 91.428 -134.7483
45.776367 91.455 -135.3023
46.142578 91.476 -135.8520
46.508789 91.492 -136.3721
46.875000 91.506 -136.8519
47.241211 91.524 -137.3042
47.607422 91.545 -137.7570
47.973633 91.568 -138.2338
48.339844 91.588 -138.7352
48.706055 91.603 -139.2375
49.072266 91.612 -139.7100
49.438477 91.621 -140.1373
49.804688 91.635 -140.5311
50.170898 91.655 -140.9229
50.537109 91.679 -141.3437
50.903320 91.703 -141.8044
51.269531 91.723 -142.2915
51.635742 91.736 -142.7770
52.001953 91.744 -143.2355
52.368164 91.751 -143.6565
52.734375 91.760 -144.0466
53.100586 91.773 -144.4227
53.466797 91.789 -144.8021
53.833008 91.806 -145.1951
54.199219 91.822 -145.6026
54.565430 91.837 -146.0185
54.931641 91.848 -146.4329
55.297852 91.858 -146.8363
55.664062 91.866 -147.2233
56.030273 91.874 -147.5945
56.396484 91.884 -147.9563
56.762695 91.896 -148.3182
57.128906 91.908 -148.6874
57.495117 91.919 -149.0651
57.861328 91.928 -149.4461
58.227539 91.936 -149.8231
58.593750 91.943 -150.1916
58.959961 91.949 -150.5526
59.326172 91.956 -150.9094
59.692383 91.961 -151.2626
60.058594 91.965 -151.6070
60.424805 91.969 -151.9364
60.791016 91.975 -152.2509
61.157227 91.983 -152.5614
61.523438 91.994 -152.8855
61.889648 92.005 -153.2347
62.255859 92.013 -153.6033
62.622070 92.015 -153.9698
62.988281 92.013 -154.3090
63.354492 92.011 -154.6105
63.720703 92.013 -154.8866
64.086914 92.020 -155.1653
64.453125 92.030 -155.4711
64.819336 92.039 -155.8086
65.185547 92.043 -156.1608
65.551758 92.042 -156.5017
65.917969 92.039 -156.8155
66.284180 92.038 -157.1057
66.650391 92.040 -157.3911
67.016602 92.044 -157.6907
67.382812 92.047 -158.0098
67.749023 92.046 -158.3366
68.115234 92.042 -158.6502
68.481445 92.036 -158.9357
68.847656 92.033 -159.1939
69.213867 92.033 -159.4408
69.580078 92.037 -159.6980
69.946289 92.042 -159.9788
70.312500 92.045 -160.2806
70.678711 92.045 -160.5870
71.044922 92.041 -160.8791
71.411133 92.036 -161.1473
71.777344 92.034 -161.3965
72.143555 92.033 -161.6411
72.509766 92.035 -161.8947
72.875977 92.036 -162.1604
73.242188 92.035 -162.4310
73.608398 92.033 -162.6959
73.974609 92.030 -162.9498
74.340820 92.028 -163.1961
74.707031 92.027 -163.4424
75.073242 92.027 -163.6938
75.439453 92.025 -163.9486
75.805664 92.023 -164.2013
76.171875 92.020 -164.4484
76.538086 92.017 -164.6913
76.904297 92.015 -164.9348
77.270508 92.013 -165.1817
77.636719 92.010 -165.4294
78.002930 92.006 -165.6724
78.369141 92.001 -165.9073
78.735352 91.997 -166.1364
79.101562 91.994 -166.3656
79.467773 91.992 -166.5997
79.833984 91.988 -166.8372
80.200195 91.983 -167.0718
80.566406 91.977 -167.2974
80.932617 91.971 -167.5139
81.298828 91.967 -167.7270
81.665039 91.963 -167.9431
82.031250 91.958 -168.1636
82.397461 91.952 -168.3833
82.763672 91.946 -168.5951
83.129883 91.940 -168.7965
83.496094 91.935 -168.9931
83.862305 91.932 -169.1941
84.228516 91.929 -169.4054
84.594727 91.924 -169.6246
84.960938 91.919 -169.8427
85.327148 91.912 -170.0519
85.693359 91.906 -170.2519
86.059570 91.901 -170.4502
86.425781 91.898 -170.6556
86.791992 91.894 -170.8710
87.158203 91.888 -171.0906
87.524414 91.881 -171.3041
87.890625 91.873 -171.5052
88.256836 91.865 -171.6956
88.623047 91.860 -171.8834
88.989258 91.855 -172.0765
89.355469 91.850 -172.2756
89.721680 91.843 -172.4747
90.087891 91.836 -172.6658
90.454102 91.828 -172.8457
90.820312 91.823 -173.0188
91.186523 91.818 -173.1945
91.552734 91.815 -173.3804
91.918945 91.811 -173.5772
92.285156 91.804 -173.7780
92.651367 91.796 -173.9731
93.017578 91.787 -174.1562
93.383789 91.779 -174.3283
93.750000 91.772 -174.4968
94.116211 91.766 -174.6698
94.482422 91.759 -174.8500
94.848633 91.752 -175.0334
95.214844 91.743 -175.2118
95.581055 91.734 -175.3798
95.947266 91.726 -175.5391
96.313477 91.719 -175.6982
96.679688 91.714 -175.8655
97.045898 91.708 -176.0437
97.412109 91.700 -176.2265
97.778320 91.691 -176.4038
98.144531 91.680 -176.5682
98.510742 91.671 -176.7209
98.876953 91.664 -176.8699
99.243164 91.657 -177.0249
99.609375 91.651 -177.1902
99.975586 91.644 -177.3622
100.341797 91.635 -177.5323
100.708008 91.625 -177.6926
101.074219 91.615 -177.8408
101.440430 91.606 -177.9811
101.806641 91.599 -178.1217
102.172852 91.593 -178.2700
102.539062 91.587 -178.4278
102.905273 91.579 -178.5910
103.271484 91.570 -178.7516
103.637695 91.560 -178.9027
104.003906 91.550 -179.0435
104.370117 91.542 -179.1796
104.736328 91.535 -179.3195
105.102539 91.528 -179.4686
105.468750 91.521 -179.6253
105.834961 91.511 -179.7825
106.201172 91.501 -179.9324
106.567383 91.490 179.9276
106.933594 91.480 179.7951
107.299805 91.471 179.6649
107.666016 91.462 179.5336
108.032227 91.454 179.4011
108.398438 91.445 179.2680
108.764648 91.437 179.1339
109.130859 91.430 178.9967
109.497070 91.421 178.8555
109.863281 91.412 178.7128
110.229492 91.402 178.5733
110.595703 91.392 178.4406
110.961914 91.383 178.3135
111.328125 91.374 178.1872
111.694336 91.366 178.0569
112.060547 91.358 177.9214
112.426758 91.349 177.7837
112.792969 91.340 177.6470
113.159180 91.331 177.5124
113.525391 91.321 177.3788
113.891602 91.312 177.2452
114.257812 91.302 177.1129
114.624023 91.291 176.9848
114.990234 91.281 176.8618
115.356445 91.271 176.7419
115.722656 91.262 176.6212
116.088867 91.253 176.4980
116.455078 91.243 176.3739
116.821289 91.234 176.2520
117.187500 91.224 176.1330
117.553711 91.215 176.0140
117.919922 91.206 175.8912
118.286133 91.196 175.7645
118.652344 91.185 175.6391
119.018555 91.173 175.5220
119.384766 91.161 175.4166
119.750977 91.151 175.3198
120.117188 91.142 175.2236
120.483398 91.135 175.1212
120.849609 91.128 175.0099
121.215820 91.120 174.8919
121.582031 91.112 174.7697
121.948242 91.103 174.6445
122.314453 91.094 174.5172
122.680664 91.083 174.3906
123.046875 91.071 174.2703
123.413086 91.058 174.1613
123.779297 91.046 174.0641
124.145508 91.035 173.9736
124.511719 91.026 173.8820
124.877930 91.018 173.7840
125.244141 91.009 173.6807
125.610352 91.000 173.5764
125.976562 90.991 173.4748
126.342773 90.982 173.3755
126.708984 90.974 173.2749
127.075195 90.966 173.1699
127.441406 90.958 173.0607
127.807617 90.949 172.9507
128.173828 90.939 172.8430
128.540039 90.929 172.7389
128.906250 90.919 172.6374
129.272461 90.909 172.5379
129.638672 90.899 172.4409
130.004883 90.889 172.3470
130.371094 90.879 172.2551
130.737305 90.870 172.1623
131.103516 90.861 172.0664
131.469727 90.851 171.9686
131.835938 90.841 171.8740
132.202148 90.830 171.7874
132.568359 90.820 171.7083
132.934570 90.812 171.6298
133.300781 90.805 171.5418
133.666992 90.798 171.4385
134.033203 90.789 171.3239
134.399414 90.778 171.2097
134.765625 90.764 171.1079
135.131836 90.750 171.0229
135.498047 90.738 170.9487
135.864258 90.728 170.8736
136.230469 90.718 170.7894
136.596680 90.708 170.6971
136.962891 90.697 170.6056
137.329102 90.684 170.5235
137.695312 90.673 170.4517
138.061523 90.664 170.3818
138.427734 90.657 170.3026
138.793945 90.649 170.2090
139.160156 90.640 170.1058
139.526367 90.629 170.0055
139.892578 90.616 169.9185
140.258789 90.604 169.8456
140.625000 90.595 169.7782
140.991211 90.587 169.7042
141.357422 90.580 169.6174
141.723633 90.571 169.5212
142.089844 90.561 169.4252
142.456055 90.550 169.3376
142.822266 90.539 169.2592
143.188477 90.529 169.1843
143.554688 90.520 169.1056
143.920898 90.510 169.0209
144.287109 90.500 168.9341
144.653320 90.488 168.8516
145.019531 90.477 168.7765
145.385742 90.466 168.7062
145.751953 90.457 168.6345
146.118164 90.447 168.5564
146.484375 90.438 168.4725
