* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 18/12/2024 9:14:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ST2 R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 35.693 129.4107
0.732422 38.915 93.4814
1.098633 42.253 70.6809
1.464844 45.381 56.5422
1.831055 48.358 47.5341
2.197266 51.236 40.9235
2.563477 53.969 34.9640
2.929688 56.474 28.9468
3.295898 58.697 22.8507
3.662109 60.633 16.9406
4.028320 62.313 11.5233
4.394531 63.793 6.8147
4.760742 65.141 2.8573
5.126953 66.418 -0.5125
5.493164 67.655 -3.6013
5.859375 68.850 -6.6998
6.225586 69.972 -9.9288
6.591797 70.997 -13.1999
6.958008 71.922 -16.3066
7.324219 72.770 -19.0780
7.690430 73.579 -21.5076
8.056641 74.375 -23.7686
8.422852 75.156 -26.0854
8.789062 75.894 -28.5564
9.155273 76.562 -31.0823
9.521484 77.161 -33.4517
9.887695 77.719 -35.5177
10.253906 78.273 -37.3413
10.620117 78.842 -39.1766
10.986328 79.406 -41.2778
11.352539 79.918 -43.6864
11.718750 80.344 -46.1793
12.084961 80.687 -48.4026
12.451172 80.994 -50.1028
12.817383 81.328 -51.3318
13.183594 81.729 -52.4627
13.549805 82.181 -53.9388
13.916016 82.624 -55.9541
14.282227 82.997 -58.3493
14.648438 83.279 -60.7497
15.014648 83.492 -62.7981
15.380859 83.690 -64.3548
15.747070 83.921 -65.5684
16.113281 84.199 -66.7515
16.479492 84.499 -68.1438
16.845703 84.782 -69.7621
17.211914 85.027 -71.4406
17.578125 85.238 -72.9851
17.944336 85.441 -74.3139
18.310547 85.656 -75.5012
18.676758 85.890 -76.7030
19.042969 86.127 -78.0325
19.409180 86.348 -79.4880
19.775391 86.539 -80.9756
20.141602 86.704 -82.3871
20.507812 86.855 -83.6693
20.874023 87.004 -84.8430
21.240234 87.157 -85.9707
21.606445 87.311 -87.1063
21.972656 87.461 -88.2659
22.338867 87.602 -89.4326
22.705078 87.735 -90.5815
23.071289 87.861 -91.6981
23.437500 87.984 -92.7825
23.803711 88.106 -93.8432
24.169922 88.228 -94.8904
24.536133 88.349 -95.9353
24.902344 88.469 -96.9881
25.268555 88.585 -98.0526
25.634766 88.694 -99.1185
26.000977 88.796 -100.1611
26.367188 88.892 -101.1534
26.733398 88.987 -102.0858
27.099609 89.086 -102.9774
27.465820 89.189 -103.8673
27.832031 89.293 -104.7875
28.198242 89.390 -105.7372
28.564453 89.475 -106.6784
28.930664 89.550 -107.5590
29.296875 89.622 -108.3496
29.663086 89.701 -109.0696
30.029297 89.791 -109.7823
30.395508 89.889 -110.5588
30.761719 89.984 -111.4339
31.127930 90.064 -112.3841
31.494141 90.124 -113.3398
31.860352 90.167 -114.2235
32.226562 90.202 -114.9915
32.592773 90.243 -115.6572
32.958984 90.295 -116.2813
33.325195 90.358 -116.9343
33.691406 90.423 -117.6543
34.057617 90.482 -118.4287
34.423828 90.530 -119.2088
34.790039 90.572 -119.9465
35.156250 90.612 -120.6278
35.522461 90.659 -121.2803
35.888672 90.711 -121.9495
36.254883 90.762 -122.6602
36.621094 90.806 -123.3947
36.987305 90.841 -124.1045
37.353516 90.870 -124.7464
37.719727 90.904 -125.3172
38.085938 90.947 -125.8570
38.452148 90.997 -126.4193
38.818359 91.049 -127.0314
39.184570 91.097 -127.6776
39.550781 91.137 -128.3189
39.916992 91.173 -128.9287
40.283203 91.211 -129.5146
40.649414 91.252 -130.1078
41.015625 91.291 -130.7308
41.381836 91.324 -131.3736
41.748047 91.348 -132.0004
42.114258 91.367 -132.5788
42.480469 91.387 -133.1071
42.846680 91.412 -133.6131
43.212891 91.440 -134.1288
43.579102 91.467 -134.6633
43.945312 91.491 -135.1997
44.311523 91.512 -135.7162
44.677734 91.534 -136.2102
45.043945 91.559 -136.7013
45.410156 91.585 -137.2106
45.776367 91.608 -137.7368
46.142578 91.626 -138.2538
46.508789 91.640 -138.7334
46.875000 91.658 -139.1728
47.241211 91.681 -139.6018
47.607422 91.710 -140.0615
47.973633 91.737 -140.5711
48.339844 91.757 -141.1118
48.706055 91.767 -141.6388
49.072266 91.770 -142.1115
49.438477 91.774 -142.5185
49.804688 91.783 -142.8808
50.170898 91.799 -143.2359
50.537109 91.820 -143.6157
50.903320 91.843 -144.0342
51.269531 91.862 -144.4855
51.635742 91.875 -144.9501
52.001953 91.882 -145.4013
52.368164 91.885 -145.8152
52.734375 91.888 -146.1839
53.100586 91.898 -146.5246
53.466797 91.915 -146.8771
53.833008 91.936 -147.2812
54.199219 91.954 -147.7487
54.565430 91.961 -148.2491
54.931641 91.956 -148.7229
55.297852 91.945 -149.1176
55.664062 91.937 -149.4226
56.030273 91.941 -149.6785
56.396484 91.958 -149.9518
56.762695 91.982 -150.2921
57.128906 92.004 -150.7039
57.495117 92.018 -151.1512
57.861328 92.023 -151.5865
58.227539 92.024 -151.9823
58.593750 92.026 -152.3415
58.959961 92.030 -152.6853
59.326172 92.036 -153.0301
59.692383 92.041 -153.3751
60.058594 92.045 -153.7083
60.424805 92.050 -154.0231
60.791016 92.058 -154.3303
61.157227 92.069 -154.6530
61.523438 92.081 -155.0092
61.889648 92.088 -155.3951
62.255859 92.087 -155.7835
62.622070 92.080 -156.1390
62.988281 92.071 -156.4405
63.354492 92.066 -156.6952
63.720703 92.068 -156.9345
64.086914 92.075 -157.1942
64.453125 92.084 -157.4923
64.819336 92.091 -157.8201
65.185547 92.092 -158.1517
65.551758 92.090 -158.4642
65.917969 92.089 -158.7538
66.284180 92.091 -159.0367
66.650391 92.096 -159.3349
67.016602 92.099 -159.6581
67.382812 92.098 -159.9948
67.749023 92.093 -160.3195
68.115234 92.084 -160.6104
68.481445 92.078 -160.8645
68.847656 92.076 -161.0997
69.213867 92.078 -161.3427
69.580078 92.083 -161.6123
69.946289 92.087 -161.9079
70.312500 92.086 -162.2127
70.678711 92.082 -162.5056
71.044922 92.076 -162.7751
71.411133 92.072 -163.0237
71.777344 92.070 -163.2643
72.143555 92.070 -163.5097
72.509766 92.070 -163.7654
72.875977 92.070 -164.0285
73.242188 92.069 -164.2927
73.608398 92.067 -164.5539
73.974609 92.065 -164.8123
74.340820 92.062 -165.0700
74.707031 92.059 -165.3270
75.073242 92.056 -165.5799
75.439453 92.051 -165.8251
75.805664 92.047 -166.0624
76.171875 92.045 -166.2970
76.538086 92.043 -166.5359
76.904297 92.040 -166.7826
77.270508 92.037 -167.0334
77.636719 92.031 -167.2793
78.002930 92.024 -167.5121
78.369141 92.017 -167.7303
78.735352 92.012 -167.9401
79.101562 92.009 -168.1507
79.467773 92.006 -168.3680
79.833984 92.003 -168.5919
80.200195 91.999 -168.8185
80.566406 91.995 -169.0442
80.932617 91.989 -169.2685
81.298828 91.983 -169.4917
81.665039 91.976 -169.7116
82.031250 91.968 -169.9230
82.397461 91.960 -170.1219
82.763672 91.954 -170.3101
83.129883 91.950 -170.4974
83.496094 91.948 -170.6961
83.862305 91.946 -170.9123
84.228516 91.941 -171.1410
84.594727 91.934 -171.3688
84.960938 91.926 -171.5828
85.327148 91.917 -171.7801
85.693359 91.910 -171.9688
86.059570 91.905 -172.1609
86.425781 91.900 -172.3630
86.791992 91.894 -172.5709
87.158203 91.886 -172.7744
87.524414 91.877 -172.9656
87.890625 91.870 -173.1460
88.256836 91.865 -173.3247
88.623047 91.860 -173.5112
88.989258 91.855 -173.7070
89.355469 91.849 -173.9052
89.721680 91.841 -174.0965
90.087891 91.834 -174.2772
90.454102 91.828 -174.4530
90.820312 91.823 -174.6339
91.186523 91.817 -174.8255
91.552734 91.811 -175.0237
91.918945 91.801 -175.2172
92.285156 91.791 -175.3965
92.651367 91.782 -175.5613
93.017578 91.774 -175.7217
93.383789 91.768 -175.8901
93.750000 91.762 -176.0714
94.116211 91.753 -176.2584
94.482422 91.742 -176.4368
94.848633 91.731 -176.5958
95.214844 91.721 -176.7374
95.581055 91.714 -176.8757
95.947266 91.710 -177.0275
96.313477 91.706 -177.2008
96.679688 91.700 -177.3896
97.045898 91.691 -177.5781
97.412109 91.681 -177.7529
97.778320 91.670 -177.9116
98.144531 91.662 -178.0642
98.510742 91.656 -178.2247
98.876953 91.650 -178.4002
99.243164 91.641 -178.5855
99.609375 91.630 -178.7666
99.975586 91.618 -178.9309
100.341797 91.606 -179.0758
100.708008 91.596 -179.2099
101.074219 91.589 -179.3465
101.440430 91.583 -179.4939
101.806641 91.576 -179.6502
102.172852 91.567 -179.8064
102.539062 91.558 -179.9545
102.905273 91.549 179.9064
103.271484 91.541 179.7699
103.637695 91.535 179.6282
104.003906 91.527 179.4788
104.370117 91.519 179.3264
104.736328 91.509 179.1790
105.102539 91.499 179.0418
105.468750 91.489 178.9134
105.834961 91.480 178.7876
106.201172 91.472 178.6581
106.567383 91.465 178.5218
106.933594 91.457 178.3795
107.299805 91.448 178.2340
107.666016 91.438 178.0885
108.032227 91.426 177.9464
108.398438 91.415 177.8110
108.764648 91.403 177.6835
109.130859 91.393 177.5607
109.497070 91.384 177.4358
109.863281 91.375 177.3029
110.229492 91.365 177.1631
110.595703 91.353 177.0267
110.961914 91.340 176.9066
111.328125 91.329 176.8072
111.694336 91.321 176.7177
112.060547 91.318 176.6160
112.426758 91.316 176.4832
112.792969 91.313 176.3177
113.159180 91.305 176.1375
113.525391 91.291 175.9697
113.891602 91.275 175.8333
114.257812 91.260 175.7292
114.624023 91.248 175.6421
114.990234 91.240 175.5529
115.356445 91.234 175.4509
115.722656 91.227 175.3366
116.088867 91.219 175.2175
116.455078 91.210 175.1006
116.821289 91.201 174.9885
117.187500 91.193 174.8801
117.553711 91.185 174.7718
117.919922 91.177 174.6584
118.286133 91.170 174.5345
118.652344 91.162 174.3982
119.018555 91.151 174.2541
119.384766 91.137 174.1149
119.750977 91.120 173.9946
120.117188 91.104 173.8984
120.483398 91.091 173.8174
120.849609 91.082 173.7331
121.215820 91.074 173.6298
121.582031 91.065 173.5064
121.948242 91.054 173.3765
122.314453 91.040 173.2573
122.680664 91.027 173.1556
123.046875 91.016 173.0638
123.413086 91.007 172.9669
123.779297 90.999 172.8560
124.145508 90.990 172.7345
124.511719 90.979 172.6146
124.877930 90.967 172.5064
125.244141 90.956 172.4109
125.610352 90.947 172.3214
125.976562 90.939 172.2296
126.342773 90.932 172.1322
126.708984 90.925 172.0294
127.075195 90.918 171.9218
127.441406 90.911 171.8082
127.807617 90.902 171.6896
128.173828 90.891 171.5722
128.540039 90.878 171.4664
128.906250 90.865 171.3792
129.272461 90.854 171.3062
129.638672 90.845 171.2326
130.004883 90.838 171.1427
130.371094 90.829 171.0335
130.737305 90.816 170.9191
131.103516 90.800 170.8214
131.469727 90.784 170.7529
131.835938 90.772 170.7051
132.202148 90.764 170.6522
132.568359 90.760 170.5689
132.934570 90.754 170.4494
133.300781 90.743 170.3126
133.666992 90.726 170.1891
134.033203 90.707 170.1011
134.399414 90.691 170.0470
134.765625 90.681 170.0039
135.131836 90.675 169.9443
135.498047 90.670 169.8546
135.864258 90.663 169.7423
136.230469 90.653 169.6280
136.596680 90.640 169.5293
136.962891 90.628 169.4495
137.329102 90.618 169.3779
137.695312 90.611 169.2996
138.061523 90.604 169.2071
138.427734 90.595 169.1039
138.793945 90.585 169.0004
139.160156 90.572 168.9060
139.526367 90.559 168.8236
139.892578 90.547 168.7509
140.258789 90.536 168.6834
140.625000 90.525 168.6179
140.991211 90.515 168.5515
141.357422 90.507 168.4805
141.723633 90.498 168.4013
142.089844 90.489 168.3124
142.456055 90.479 168.2180
142.822266 90.466 168.1265
143.188477 90.453 168.0463
143.554688 90.440 167.9795
143.920898 90.428 167.9203
144.287109 90.419 167.8586
144.653320 90.411 167.7869
145.019531 90.402 167.7053
145.385742 90.392 167.6211
145.751953 90.381 167.5424
146.118164 90.370 167.4722
146.484375 90.360 167.4068
146.850586 90.351 167.3391
