* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -30.6 dBFS, measurement signal peak level -16.4 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 18/03/2024 9:26:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0233 ms (-8.0 mm, -0.31 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: Scarlet Mini L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 69.791 -139.3713
1.015000 70.040 -141.0931
1.030000 70.286 -142.7458
1.044000 70.512 -144.2198
1.060000 70.766 -145.8159
1.075000 70.999 -147.2194
1.090000 71.227 -148.5258
1.106000 71.464 -149.8042
1.120000 71.670 -150.8230
1.138000 71.931 -152.0045
1.150000 72.103 -152.7178
1.172000 72.416 -153.8854
1.180000 72.529 -154.2686
1.206000 72.892 -155.3799
1.220000 73.085 -155.9032
1.241000 73.371 -156.6058
1.250000 73.492 -156.8810
1.265000 73.693 -157.3111
1.280000 73.893 -157.7118
1.315000 74.351 -158.5743
1.320000 74.415 -158.6933
1.340000 74.672 -159.1693
1.360000 74.925 -159.6588
1.380000 75.176 -160.1795
1.400000 75.424 -160.7488
1.430000 75.789 -161.7322
1.450000 76.030 -162.4996
1.475000 76.326 -163.6062
1.500000 76.617 -164.8084
1.525000 76.903 -166.0770
1.550000 77.183 -167.3999
1.575000 77.459 -168.7653
1.600000 77.729 -170.1614
1.625000 77.995 -171.5762
1.650000 78.256 -172.9980
1.675000 78.513 -174.4147
1.700000 78.766 -175.8147
1.725000 79.015 -177.1859
1.750000 79.260 -178.5165
1.775000 79.501 -179.7947
1.800000 79.740 178.9914
1.825000 79.975 177.8537
1.850000 80.207 176.7954
1.875000 80.434 175.7983
1.900000 80.657 174.8550
1.925000 80.876 173.9588
1.950000 81.090 173.1031
1.975000 81.301 172.2812
2.000000 81.508 171.4865
2.030000 81.752 170.5592
2.060000 81.991 169.6499
2.090000 82.226 168.7471
2.120000 82.456 167.8392
2.140000 82.608 167.2253
2.180000 82.906 165.9620
2.200000 83.053 165.3058
2.240000 83.340 163.9713
2.270000 83.550 162.9640
2.300000 83.755 161.9536
2.330000 83.956 160.9424
2.360000 84.153 159.9326
2.400000 84.408 158.5923
2.430000 84.596 157.5944
2.470000 84.841 156.2781
2.500000 85.021 155.3044
2.540000 85.257 154.0284
2.580000 85.488 152.7807
2.620000 85.712 151.5473
2.650000 85.876 150.6306
2.690000 86.088 149.4217
2.720000 86.244 148.5263
2.760000 86.447 147.3498
2.800000 86.645 146.1954
2.850000 86.886 144.7874
2.900000 87.121 143.4231
2.950000 87.351 142.1090
3.000000 87.573 140.8563
3.040000 87.745 139.8926
3.070000 87.870 139.1879
3.110000 88.035 138.2674
3.150000 88.195 137.3626
3.200000 88.391 136.2438
3.250000 88.583 135.1267
3.300000 88.771 133.9987
3.350000 88.954 132.8550
3.400000 89.132 131.7055
3.450000 89.304 130.5606
3.500000 89.472 129.4308
3.550000 89.637 128.3264
3.600000 89.798 127.2579
3.650000 89.957 126.2357
3.700000 90.113 125.2697
3.750000 90.266 124.3578
3.820000 90.474 123.1493
3.870000 90.619 122.3181
3.950000 90.847 121.0098
4.000000 90.986 120.1866
4.060000 91.152 119.1774
4.120000 91.314 118.1594
4.180000 91.474 117.1432
4.250000 91.656 115.9705
4.310000 91.809 114.9856
4.370000 91.960 114.0280
4.440000 92.134 112.9555
4.500000 92.280 112.0736
4.550000 92.400 111.3581
4.620000 92.565 110.3749
4.680000 92.704 109.5391
4.750000 92.864 108.5588
4.820000 93.020 107.5671
4.870000 93.129 106.8581
4.940000 93.280 105.8686
5.000000 93.407 105.0266
5.080000 93.572 103.9181
5.150000 93.713 102.9663
5.220000 93.851 102.0300
5.300000 94.004 100.9756
5.380000 94.153 99.9360
5.450000 94.280 99.0367
5.520000 94.404 98.1455
5.600000 94.541 97.1376
5.700000 94.707 95.8954
5.800000 94.868 94.6750
5.900000 95.023 93.4781
6.000000 95.173 92.3030
6.080000 95.289 91.3793
6.150000 95.388 90.5839
6.220000 95.485 89.8012
6.300000 95.594 88.9240
6.400000 95.726 87.8524
6.500000 95.855 86.8023
6.600000 95.980 85.7671
6.700000 96.103 84.7468
6.800000 96.223 83.7436
6.900000 96.339 82.7561
7.000000 96.454 81.7835
7.100000 96.565 80.8287
7.200000 96.675 79.8881
7.300000 96.781 78.9565
7.400000 96.885 78.0310
7.500000 96.987 77.1140
7.620000 97.105 76.0258
7.750000 97.229 74.8632
7.880000 97.348 73.7172
8.000000 97.454 72.6737
8.120000 97.557 71.6438
8.250000 97.663 70.5431
8.380000 97.766 69.4594
8.500000 97.858 68.4756
8.620000 97.946 67.5071
8.750000 98.039 66.4746
8.850000 98.108 65.6919
9.000000 98.209 64.5377
9.120000 98.287 63.6286
9.250000 98.369 62.6563
9.380000 98.449 61.6983
9.500000 98.521 60.8244
9.620000 98.591 59.9598
9.750000 98.664 59.0343
9.880000 98.735 58.1185
10.000000 98.799 57.2808
10.150000 98.876 56.2449
10.300000 98.950 55.2222
10.440000 99.017 54.2795
10.600000 99.089 53.2167
10.750000 99.155 52.2347
10.900000 99.218 51.2667
11.060000 99.282 50.2501
11.200000 99.336 49.3744
11.380000 99.404 48.2651
11.500000 99.447 47.5360
11.720000 99.524 46.2187
11.800000 99.551 45.7452
12.060000 99.636 44.2263
12.200000 99.679 43.4189
12.410000 99.742 42.2218
12.500000 99.767 41.7137
12.650000 99.809 40.8732
12.800000 99.848 40.0418
13.150000 99.932 38.1397
13.200000 99.944 37.8729
13.400000 99.986 36.8178
13.600000 100.026 35.7841
13.800000 100.064 34.7725
14.000000 100.099 33.7822
14.300000 100.149 32.3354
14.500000 100.180 31.3940
14.750000 100.217 30.2387
15.000000 100.252 29.1050
15.250000 100.285 27.9891
15.500000 100.315 26.8901
15.750000 100.342 25.8077
16.000000 100.367 24.7427
16.250000 100.388 23.6962
16.500000 100.407 22.6691
16.750000 100.423 21.6620
17.000000 100.436 20.6753
17.250000 100.447 19.7083
17.500000 100.456 18.7603
17.750000 100.464 17.8301
18.000000 100.470 16.9166
18.250000 100.474 16.0191
18.500000 100.477 15.1359
18.750000 100.479 14.2660
19.000000 100.479 13.4084
19.250000 100.478 12.5620
19.500000 100.476 11.7267
19.750000 100.472 10.9022
20.000000 100.467 10.0892
20.299999 100.458 9.1298
20.600000 100.448 8.1887
20.900000 100.436 7.2665
21.200001 100.422 6.3628
21.400000 100.413 5.7696
21.799999 100.393 4.6031
22.000000 100.382 4.0289
22.400000 100.359 2.8978
22.700001 100.340 2.0658
23.000000 100.319 1.2501
23.299999 100.298 0.4523
23.600000 100.276 -0.3287
24.000000 100.246 -1.3481
24.299999 100.223 -2.1021
24.700001 100.191 -3.0984
25.000000 100.165 -3.8376
25.400000 100.126 -4.8031
25.799999 100.083 -5.7292
26.200001 100.038 -6.6069
26.500000 100.006 -7.2388
26.900000 99.966 -8.0631
27.200001 99.937 -8.6810
27.600000 99.898 -9.5127
28.000000 99.855 -10.3447
28.500000 99.795 -11.3552
29.000000 99.734 -12.3164
29.500000 99.675 -13.2507
30.000000 99.616 -14.1863
30.400000 99.566 -14.9297
30.700001 99.526 -15.4731
31.100000 99.474 -16.1738
31.500000 99.424 -16.8607
32.000000 99.363 -17.7380
32.500000 99.296 -18.6453
33.000000 99.215 -19.5167
33.500000 99.127 -20.2704
34.000000 99.046 -20.8999
34.500000 98.983 -21.4937
35.000000 98.930 -22.1404
35.500000 98.873 -22.8513
36.000000 98.806 -23.5649
36.500000 98.728 -24.2189
37.000000 98.648 -24.7878
37.500000 98.571 -25.2749
38.200001 98.476 -25.8508
38.700001 98.423 -26.2366
39.500000 98.359 -26.9564
40.000000 98.319 -27.5021
40.599998 98.259 -28.2105
41.200001 98.188 -28.9101
41.799999 98.107 -29.5604
42.500000 98.010 -30.2307
43.099998 97.931 -30.7244
43.700001 97.862 -31.1729
44.400002 97.797 -31.6978
45.000000 97.749 -32.1788
45.500000 97.713 -32.6066
46.200001 97.666 -33.2616
46.799999 97.625 -33.8904
47.500000 97.565 -34.6694
48.200001 97.493 -35.4233
48.700001 97.440 -35.9342
49.400002 97.364 -36.6482
50.000000 97.292 -37.2681
50.799999 97.185 -38.0374
51.500000 97.089 -38.6205
52.200001 96.998 -39.1646
53.000000 96.898 -39.7834
53.799999 96.797 -40.3903
54.500000 96.708 -40.9074
55.200001 96.619 -41.4094
56.000000 96.516 -41.9526
57.000000 96.391 -42.5955
58.000000 96.269 -43.2170
59.000000 96.149 -43.8160
60.000000 96.030 -44.3999
60.799999 95.936 -44.8520
61.500000 95.855 -45.2357
62.200001 95.774 -45.6128
63.000000 95.682 -46.0348
64.000000 95.567 -46.5416
65.000000 95.452 -47.0214
66.000000 95.340 -47.4729
67.000000 95.232 -47.9280
68.000000 95.121 -48.3940
69.000000 95.007 -48.8291
70.000000 94.895 -49.2368
71.000000 94.785 -49.6345
72.000000 94.677 -50.0226
73.000000 94.570 -50.4038
74.000000 94.464 -50.7732
75.000000 94.359 -51.1263
76.199997 94.234 -51.5322
77.500000 94.101 -51.9570
78.800003 93.969 -52.3678
80.000000 93.848 -52.7334
81.199997 93.727 -53.0870
82.500000 93.597 -53.4495
83.800003 93.469 -53.7960
85.000000 93.353 -54.1084
86.199997 93.237 -54.4115
87.500000 93.112 -54.7235
88.500000 93.018 -54.9552
90.000000 92.879 -55.2986
91.199997 92.768 -55.5648
92.500000 92.647 -55.8353
93.800003 92.528 -56.0850
95.000000 92.420 -56.3052
96.199997 92.312 -56.5208
97.500000 92.196 -56.7536
98.800003 92.081 -56.9830
100.000000 91.975 -57.1813
101.500000 91.845 -57.4131
103.000000 91.718 -57.6297
104.400002 91.601 -57.8217
106.000000 91.467 -58.0315
107.500000 91.340 -58.2137
109.000000 91.216 -58.3855
110.599998 91.084 -58.5652
112.000000 90.971 -58.7191
113.800003 90.826 -58.9044
115.000000 90.731 -59.0168
117.199997 90.557 -59.2111
118.000000 90.495 -59.2770
120.599998 90.292 -59.4672
122.000000 90.185 -59.5583
124.099998 90.026 -59.6838
125.000000 89.958 -59.7327
126.500000 89.845 -59.8109
128.000000 89.733 -59.8861
131.500000 89.478 -60.0319
132.000000 89.443 -60.0485
134.000000 89.302 -60.1150
136.000000 89.155 -60.1729
138.000000 89.007 -60.1975
140.000000 88.862 -60.2172
143.000000 88.650 -60.2174
145.000000 88.507 -60.1927
147.500000 88.321 -60.1627
150.000000 88.136 -60.0947
152.500000 87.971 -60.0314
155.000000 87.805 -59.9767
157.500000 87.632 -59.8406
160.000000 87.457 -59.6633
162.500000 87.275 -59.4448
165.000000 87.090 -59.1506
167.500000 86.900 -58.7656
170.000000 86.709 -58.2246
172.500000 86.526 -57.4658
175.000000 86.361 -56.4240
177.500000 86.243 -55.0856
180.000000 86.214 -53.6261
182.500000 86.297 -52.4879
185.000000 86.439 -52.1211
187.500000 86.551 -52.5407
190.000000 86.580 -53.3960
192.500000 86.526 -54.3025
195.000000 86.415 -55.0240
197.500000 86.273 -55.4994
200.000000 86.118 -55.7625
203.000000 85.945 -55.8911
206.000000 85.790 -55.9537
209.000000 85.637 -55.9320
212.000000 85.484 -55.8217
214.000000 85.386 -55.7200
218.000000 85.198 -55.4730
220.000000 85.109 -55.3316
224.000000 84.934 -55.0262
227.000000 84.808 -54.7764
230.000000 84.687 -54.5037
233.000000 84.570 -54.2070
236.000000 84.459 -53.9230
240.000000 84.318 -53.6066
243.000000 84.216 -53.3646
247.000000 84.081 -53.0368
250.000000 83.986 -52.7928
254.000000 83.882 -52.4810
258.000000 83.788 -52.2118
262.000000 83.696 -52.0020
265.000000 83.634 -51.9048
269.000000 83.565 -51.8949
272.000000 83.520 -51.9612
276.000000 83.479 -52.2365
280.000000 83.442 -53.0253
285.000000 83.321 -54.6031
290.000000 83.185 -56.8828
