* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.800. Timing signal peak level -23.9 dBFS, measurement signal peak level -23.8 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 22/11/2022 9:56:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0384 ms (-13 mm, -0.52 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: Serratus Fiio Bal L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 53.762 -147.2745
1.015000 53.865 -148.4468
1.030000 53.963 -149.5880
1.044000 54.052 -150.6214
1.060000 54.148 -151.7609
1.075000 54.235 -152.7847
1.090000 54.317 -153.7612
1.106000 54.399 -154.7479
1.120000 54.467 -155.5721
1.138000 54.548 -156.5837
1.150000 54.599 -157.2301
1.172000 54.684 -158.3616
1.180000 54.713 -158.7571
1.206000 54.798 -159.9904
1.220000 54.840 -160.6246
1.241000 54.896 -161.5424
1.250000 54.919 -161.9250
1.265000 54.953 -162.5501
1.280000 54.985 -163.1620
1.315000 55.048 -164.5521
1.320000 55.056 -164.7478
1.340000 55.086 -165.5269
1.360000 55.112 -166.3049
1.380000 55.135 -167.0876
1.400000 55.156 -167.8813
1.430000 55.182 -169.1052
1.450000 55.198 -169.9522
1.475000 55.216 -171.0575
1.500000 55.229 -172.2261
1.525000 55.237 -173.4468
1.550000 55.239 -174.7043
1.575000 55.236 -175.9838
1.600000 55.227 -177.2698
1.625000 55.213 -178.5475
1.650000 55.193 -179.8016
1.675000 55.168 178.9830
1.700000 55.138 177.8214
1.725000 55.103 176.7286
1.750000 55.062 175.7200
1.775000 55.017 174.8105
1.800000 54.966 174.0153
1.825000 54.910 173.3494
1.850000 54.845 172.8041
1.875000 54.765 172.3301
1.900000 54.672 171.9265
1.925000 54.569 171.5945
1.950000 54.457 171.3354
1.975000 54.340 171.1505
2.000000 54.219 171.0411
2.030000 54.075 171.0113
2.060000 53.933 171.0942
2.090000 53.800 171.2921
2.120000 53.679 171.6071
2.140000 53.608 171.8834
2.180000 53.492 172.5979
2.200000 53.451 173.0379
2.240000 53.374 174.2036
2.270000 53.316 175.3276
2.300000 53.262 176.6262
2.330000 53.217 178.0638
2.360000 53.183 179.6049
2.400000 53.161 -178.2408
2.430000 53.168 -176.5965
2.470000 53.215 -174.4337
2.500000 53.283 -172.8799
2.540000 53.424 -170.9667
2.580000 53.633 -169.2766
2.620000 53.919 -167.5740
2.650000 54.179 -166.2735
2.690000 54.575 -164.5484
2.720000 54.901 -163.2888
2.760000 55.363 -161.6955
2.800000 55.843 -160.2467
2.850000 56.449 -158.7156
2.900000 57.034 -157.5874
2.950000 57.580 -156.9517
3.000000 58.132 -156.7745
3.040000 58.583 -156.9134
3.070000 58.924 -157.1599
3.110000 59.379 -157.6520
3.150000 59.828 -158.3010
3.200000 60.375 -159.2832
3.250000 60.899 -160.3959
3.300000 61.389 -161.5760
3.350000 61.850 -162.9275
3.400000 62.291 -164.5161
3.450000 62.712 -166.2880
3.500000 63.115 -168.1890
3.550000 63.499 -170.1651
3.600000 63.866 -172.1624
3.650000 64.216 -174.1268
3.700000 64.549 -176.0517
3.750000 64.861 -178.0195
3.820000 65.269 179.1637
3.870000 65.539 177.1198
3.950000 65.941 173.8195
4.000000 66.174 171.7523
4.060000 66.437 169.2702
4.120000 66.678 166.7430
4.180000 66.897 164.1882
4.250000 67.128 161.2088
4.310000 67.307 158.6873
4.370000 67.469 156.2245
4.440000 67.639 153.4385
4.500000 67.764 151.0866
4.550000 67.854 149.1559
4.620000 67.963 146.5090
4.680000 68.040 144.3030
4.750000 68.116 141.8164
4.820000 68.173 139.4147
4.870000 68.201 137.7369
4.940000 68.224 135.4579
5.000000 68.232 133.5856
5.080000 68.230 131.2327
5.150000 68.220 129.3309
5.220000 68.195 127.5588
5.300000 68.150 125.6849
5.380000 68.097 123.9775
5.450000 68.050 122.6242
5.520000 68.007 121.4083
5.600000 67.953 120.2094
5.700000 67.883 118.9569
5.800000 67.827 117.9113
5.900000 67.798 117.0200
6.000000 67.789 116.3672
6.080000 67.797 115.9637
6.150000 67.815 115.6423
6.220000 67.846 115.3048
6.300000 67.899 114.9196
6.400000 67.992 114.4940
6.500000 68.102 114.0477
6.600000 68.217 113.4919
6.700000 68.343 112.8176
6.800000 68.480 112.0602
6.900000 68.614 111.2216
7.000000 68.732 110.2982
7.100000 68.843 109.2639
7.200000 68.943 108.1599
7.300000 69.025 107.0406
7.400000 69.084 105.9172
7.500000 69.123 104.7505
7.620000 69.145 103.3900
7.750000 69.132 102.0710
7.880000 69.079 100.8453
8.000000 69.004 99.8965
8.120000 68.907 99.2209
8.250000 68.769 98.7337
8.380000 68.620 98.5883
8.500000 68.486 98.8430
8.620000 68.343 99.4466
8.750000 68.214 100.4414
8.850000 68.152 101.4459
9.000000 68.098 103.4127
9.120000 68.113 105.1378
9.250000 68.210 107.0233
9.380000 68.382 109.0181
9.500000 68.589 110.6873
9.620000 68.843 112.0586
9.750000 69.174 113.3128
9.880000 69.517 114.2192
10.000000 69.834 114.6719
10.150000 70.238 114.8044
10.300000 70.607 114.6017
10.440000 70.919 114.0580
10.600000 71.236 113.2234
10.750000 71.485 112.3727
10.900000 71.693 111.4388
11.060000 71.889 110.5721
11.200000 72.031 109.9052
11.380000 72.212 109.1992
11.500000 72.337 108.8679
11.720000 72.587 108.3606
11.800000 72.696 108.1743
12.060000 73.095 107.4969
12.200000 73.339 106.8707
12.410000 73.730 105.5829
12.500000 73.891 104.8367
12.650000 74.161 103.3366
12.800000 74.406 101.5705
13.150000 74.827 96.4862
13.200000 74.865 95.7109
13.400000 74.960 92.4377
13.600000 74.958 89.2703
13.800000 74.852 86.3006
14.000000 74.663 83.9248
14.300000 74.254 81.7225
14.500000 73.947 81.5384
14.750000 73.657 82.6641
15.000000 73.541 85.1279
15.250000 73.732 88.1125
15.500000 74.178 90.6791
15.750000 74.823 92.3196
16.000000 75.525 92.5259
16.250000 76.182 91.5489
16.500000 76.747 89.6244
16.750000 77.181 87.1708
17.000000 77.485 84.6681
17.250000 77.671 82.3687
17.500000 77.760 80.5631
17.750000 77.801 79.4325
18.000000 77.827 78.9500
18.250000 77.876 79.0770
18.500000 77.980 79.5328
18.750000 78.135 80.1176
19.000000 78.335 80.6448
19.250000 78.548 80.9630
19.500000 78.753 81.1087
19.750000 78.935 81.1119
20.000000 79.085 81.0981
20.299999 79.233 81.1603
20.600000 79.356 81.3732
20.900000 79.469 81.7434
21.200001 79.585 82.2196
21.400000 79.666 82.5570
21.799999 79.837 83.2159
22.000000 79.927 83.5024
22.400000 80.109 83.9253
22.700001 80.242 84.0731
23.000000 80.360 84.0704
23.299999 80.459 83.9710
23.600000 80.539 83.8505
24.000000 80.636 83.7525
24.299999 80.724 83.7135
24.700001 80.880 83.5352
25.000000 81.022 83.1286
25.400000 81.210 82.0742
25.799999 81.346 80.5361
26.200001 81.404 78.8778
26.500000 81.410 77.7967
26.900000 81.407 76.7264
27.200001 81.426 76.1661
27.600000 81.504 75.5615
28.000000 81.636 74.8903
28.500000 81.841 73.7841
29.000000 82.050 72.3878
29.500000 82.230 70.7726
30.000000 82.339 69.1521
30.400000 82.367 68.1630
30.700001 82.368 67.7780
31.100000 82.390 67.8245
31.500000 82.491 68.3268
32.000000 82.760 68.9346
32.500000 83.119 68.7903
33.000000 83.441 67.7144
33.500000 83.650 66.1202
34.000000 83.744 64.5774
34.500000 83.768 63.4317
35.000000 83.774 62.7086
35.500000 83.799 62.2107
36.000000 83.838 61.7161
36.500000 83.871 61.1842
37.000000 83.891 60.7796
37.500000 83.931 60.6291
38.200001 84.093 60.4512
38.700001 84.261 59.8143
39.500000 84.415 57.8263
40.000000 84.389 56.7591
40.599998 84.318 56.3913
41.200001 84.350 56.7293
41.799999 84.498 56.8085
42.500000 84.656 56.0009
43.099998 84.683 55.1463
43.700001 84.665 54.7762
44.400002 84.708 54.7504
45.000000 84.813 54.4349
45.500000 84.896 53.7698
46.200001 84.947 52.6133
46.799999 84.962 51.9930
47.500000 85.101 51.7355
48.200001 85.417 50.7311
48.700001 85.625 48.9678
49.400002 85.679 45.8525
50.000000 85.513 44.2985
50.799999 85.358 44.8326
51.500000 85.517 45.9025
52.200001 85.774 45.9366
53.000000 85.955 45.2169
53.799999 86.027 44.6945
54.500000 86.062 44.5157
55.200001 86.108 44.4507
56.000000 86.189 44.1279
57.000000 86.248 43.1028
58.000000 86.260 42.1753
59.000000 86.342 41.1858
60.000000 86.406 39.7849
60.799999 86.430 38.9244
61.500000 86.470 38.3793
62.200001 86.520 37.9006
63.000000 86.591 37.4955
64.000000 86.731 36.8990
65.000000 86.844 35.7409
66.000000 86.872 34.5753
67.000000 86.893 33.7123
68.000000 86.935 32.8368
69.000000 86.966 31.9023
70.000000 86.976 31.1495
71.000000 86.993 30.6364
72.000000 87.029 30.2033
73.000000 87.074 29.6491
74.000000 87.092 28.8930
75.000000 87.074 28.1884
76.199997 87.066 27.5039
77.500000 87.098 26.6910
78.800003 87.165 25.7235
80.000000 87.214 24.6699
81.199997 87.233 23.7768
82.500000 87.253 22.9874
83.800003 87.259 22.2406
85.000000 87.269 21.6368
86.199997 87.297 20.9005
87.500000 87.315 19.9776
88.500000 87.324 19.3326
90.000000 87.344 18.5544
91.199997 87.377 18.0152
92.500000 87.408 17.3140
93.800003 87.401 16.5466
95.000000 87.372 15.9373
96.199997 87.353 15.3601
97.500000 87.345 14.6521
98.800003 87.342 13.8824
100.000000 87.338 13.1852
101.500000 87.330 12.4352
103.000000 87.323 11.7838
104.400002 87.309 11.1822
106.000000 87.278 10.5196
107.500000 87.252 9.9110
109.000000 87.226 9.3181
110.599998 87.214 8.7340
112.000000 87.205 8.1837
113.800003 87.179 7.5580
115.000000 87.162 7.1605
117.199997 87.119 6.3552
118.000000 87.095 6.0382
120.599998 87.004 5.2020
122.000000 86.981 4.8142
124.099998 86.955 4.0598
125.000000 86.944 3.7490
126.500000 86.932 3.2173
128.000000 86.917 2.6576
131.500000 86.863 1.6644
132.000000 86.859 1.5530
134.000000 86.844 1.0969
136.000000 86.818 0.5701
138.000000 86.778 0.0707
140.000000 86.734 -0.3562
143.000000 86.670 -1.0925
145.000000 86.592 -1.7841
147.500000 86.478 -2.8414
150.000000 86.357 -3.7082
152.500000 86.339 -3.8359
155.000000 86.334 -4.0771
157.500000 86.255 -4.2466
160.000000 86.169 -4.5142
162.500000 86.087 -4.9552
165.000000 86.003 -5.2781
167.500000 85.915 -5.5854
170.000000 85.815 -5.8856
172.500000 85.724 -6.1992
175.000000 85.645 -6.4819
177.500000 85.573 -6.7623
180.000000 85.497 -7.0428
182.500000 85.438 -7.3372
185.000000 85.387 -7.6436
187.500000 85.332 -7.8124
190.000000 85.268 -7.9906
192.500000 85.199 -8.2595
195.000000 85.143 -8.4582
197.500000 85.110 -8.4768
200.000000 85.075 -8.5518
203.000000 84.995 -8.8814
206.000000 84.919 -9.1407
209.000000 84.872 -9.3181
212.000000 84.813 -9.5936
214.000000 84.762 -9.7770
218.000000 84.674 -9.8784
220.000000 84.638 -9.9491
224.000000 84.549 -10.3390
227.000000 84.489 -10.5412
230.000000 84.437 -10.4480
233.000000 84.376 -10.2322
236.000000 84.313 -10.1105
240.000000 84.248 -10.1362
243.000000 84.213 -10.3213
247.000000 84.200 -10.9017
250.000000 84.177 -11.2426
254.000000 84.067 -11.2950
258.000000 83.959 -11.5002
262.000000 83.873 -11.8222
265.000000 83.772 -12.0230
269.000000 83.606 -12.2626
272.000000 83.487 -12.2272
276.000000 83.336 -11.8342
280.000000 83.191 -11.2992
285.000000 83.051 -10.5604
290.000000 82.939 -9.9148
295.000000 82.835 -9.3066
300.000000 82.739 -8.6263
304.000000 82.684 -7.9050
307.000000 82.665 -7.2872
311.000000 82.683 -6.5454
315.000000 82.733 -6.1589
