* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.800. Timing signal peak level -23.5 dBFS, measurement signal peak level -23.4 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 22/11/2022 9:50:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0337 ms (-12 mm, -0.45 in) using estimated IR delay relative to Acoustic reference on SPEAKER R with no timing offset
* Measurement: Serratus Fiio Bal R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 40.265 -24.4725
1.015000 39.986 -27.7016
1.030000 39.749 -31.0058
1.044000 39.569 -34.1543
1.060000 39.419 -37.8248
1.075000 39.336 -41.3323
1.090000 39.315 -44.9002
1.106000 39.364 -48.7967
1.120000 39.465 -52.4339
1.138000 39.668 -57.4358
1.150000 39.845 -60.9536
1.172000 40.249 -67.7349
1.180000 40.419 -70.2944
1.206000 41.049 -78.8955
1.220000 41.431 -83.6716
1.241000 42.051 -90.9692
1.250000 42.332 -94.1307
1.265000 42.816 -99.4245
1.280000 43.317 -104.7271
1.315000 44.530 -116.9897
1.320000 44.706 -118.7150
1.340000 45.410 -125.5119
1.360000 46.107 -132.0964
1.380000 46.788 -138.4077
1.400000 47.443 -144.3851
1.430000 48.355 -152.5921
1.450000 48.902 -157.4689
1.475000 49.508 -162.8230
1.500000 50.090 -167.5963
1.525000 50.663 -171.8907
1.550000 51.227 -175.7449
1.575000 51.781 -179.1972
1.600000 52.322 177.7140
1.625000 52.851 174.9499
1.650000 53.366 172.4723
1.675000 53.865 170.2426
1.700000 54.349 168.2224
1.725000 54.814 166.3730
1.750000 55.261 164.6561
1.775000 55.688 163.0332
1.800000 56.094 161.4658
1.825000 56.478 159.9154
1.850000 56.838 158.4542
1.875000 57.173 157.3064
1.900000 57.484 156.4426
1.925000 57.774 155.8222
1.950000 58.044 155.4045
1.975000 58.295 155.1492
2.000000 58.531 155.0153
2.030000 58.794 154.9580
2.060000 59.038 154.9471
2.090000 59.268 154.9124
2.120000 59.486 154.7838
2.140000 59.626 154.6111
2.180000 59.897 153.9638
2.200000 60.030 153.4481
2.240000 60.276 152.1141
2.270000 60.441 150.9250
2.300000 60.589 149.6155
2.330000 60.723 148.2229
2.360000 60.844 146.7840
2.400000 60.987 144.8580
2.430000 61.083 143.4558
2.470000 61.198 141.7133
2.500000 61.277 140.5499
2.540000 61.374 139.2604
2.580000 61.463 138.3332
2.620000 61.530 137.6650
2.650000 61.565 137.2997
2.690000 61.597 136.9730
2.720000 61.611 136.8345
2.760000 61.623 136.7714
2.800000 61.630 136.8239
2.850000 61.640 137.0135
2.900000 61.661 137.2943
2.950000 61.698 137.6366
3.000000 61.729 138.1707
3.040000 61.750 138.7333
3.070000 61.765 139.2176
3.110000 61.788 139.9260
3.150000 61.819 140.6827
3.200000 61.875 141.6579
3.250000 61.957 142.6191
3.300000 62.075 143.5176
3.350000 62.229 144.4446
3.400000 62.415 145.4530
3.450000 62.625 146.4917
3.500000 62.853 147.5100
3.550000 63.094 148.4568
3.600000 63.339 149.2814
3.650000 63.583 149.9327
3.700000 63.829 150.4036
3.750000 64.094 150.7693
3.820000 64.483 151.0989
3.870000 64.763 151.1953
3.950000 65.195 151.0898
4.000000 65.441 150.8514
4.060000 65.705 150.3600
4.120000 65.953 149.5713
4.180000 66.185 148.5535
4.250000 66.431 147.1934
4.310000 66.616 145.9797
4.370000 66.775 144.8140
4.440000 66.923 143.5549
4.500000 67.019 142.4320
4.550000 67.080 141.4817
4.620000 67.138 140.1726
4.680000 67.167 139.1110
4.750000 67.178 137.9957
4.820000 67.159 136.9896
4.870000 67.121 136.2881
4.940000 67.045 135.3818
5.000000 66.967 134.7234
5.080000 66.861 134.0961
5.150000 66.779 133.8571
5.220000 66.682 133.9322
5.300000 66.560 134.3178
5.380000 66.453 134.9164
5.450000 66.394 135.5273
5.520000 66.384 136.1666
5.600000 66.418 137.1299
5.700000 66.518 138.5230
5.800000 66.675 139.7791
5.900000 66.887 140.5778
6.000000 67.181 141.0937
6.080000 67.451 141.2990
6.150000 67.690 141.2808
6.220000 67.913 141.0399
6.300000 68.156 140.4393
6.400000 68.461 139.2570
6.500000 68.744 137.7646
6.600000 68.980 136.1422
6.700000 69.164 134.2906
6.800000 69.308 132.2231
6.900000 69.414 130.1736
7.000000 69.482 128.3345
7.100000 69.500 126.5590
7.200000 69.485 124.9133
7.300000 69.464 123.5372
7.400000 69.439 122.5281
7.500000 69.392 121.8216
7.620000 69.356 121.2861
7.750000 69.398 121.0342
7.880000 69.506 121.2671
8.000000 69.667 121.5570
8.120000 69.903 121.5994
8.250000 70.252 121.5545
8.380000 70.638 121.2017
8.500000 70.990 120.3826
8.620000 71.362 119.1500
8.750000 71.740 117.4985
8.850000 71.983 116.0495
9.000000 72.296 113.4607
9.120000 72.491 111.3497
9.250000 72.628 109.2126
9.380000 72.697 107.1096
9.500000 72.719 105.4975
9.620000 72.701 104.3565
9.750000 72.632 103.5319
9.880000 72.578 103.2208
10.000000 72.553 103.5181
10.150000 72.548 104.5174
10.300000 72.655 105.7337
10.440000 72.873 107.1958
10.600000 73.211 108.7272
10.750000 73.609 109.5869
10.900000 74.070 110.0319
11.060000 74.524 109.8179
11.200000 74.903 109.0102
11.380000 75.307 107.5677
11.500000 75.508 106.3451
11.720000 75.755 104.0029
11.800000 75.801 103.2678
12.060000 75.817 101.2814
12.200000 75.777 100.8389
12.410000 75.674 100.9191
12.500000 75.654 101.2294
12.650000 75.637 102.1945
12.800000 75.674 103.3733
13.150000 76.068 106.2567
13.200000 76.146 106.5527
13.400000 76.526 107.4070
13.600000 76.918 107.5820
13.800000 77.292 106.9543
14.000000 77.601 105.8372
14.300000 77.923 103.4613
14.500000 78.036 101.7758
14.750000 78.091 99.8343
15.000000 78.065 98.2192
15.250000 78.000 97.0624
15.500000 77.927 96.3324
15.750000 77.866 95.9954
16.000000 77.846 95.9666
16.250000 77.883 96.0916
16.500000 77.984 96.2394
16.750000 78.156 96.2186
17.000000 78.373 95.7960
17.250000 78.607 94.8985
17.500000 78.820 93.4430
17.750000 78.963 91.6036
18.000000 79.017 89.6362
18.250000 78.967 87.8273
18.500000 78.834 86.7125
18.750000 78.676 86.4636
19.000000 78.550 87.2276
19.250000 78.571 88.6899
19.500000 78.757 90.2654
19.750000 79.111 91.4942
20.000000 79.540 91.7201
20.299999 80.027 90.6699
20.600000 80.379 88.4763
20.900000 80.534 85.8272
21.200001 80.495 83.5880
21.400000 80.398 82.7108
21.799999 80.167 82.5790
22.000000 80.102 83.1945
22.400000 80.184 84.9738
22.700001 80.406 85.9489
23.000000 80.667 86.1357
23.299999 80.885 85.7009
23.600000 81.032 85.0314
24.000000 81.144 84.3793
24.299999 81.227 84.2587
24.700001 81.407 84.3107
25.000000 81.592 84.1334
25.400000 81.844 83.3090
25.799999 82.019 82.0406
26.200001 82.105 80.9490
26.500000 82.153 80.5166
26.900000 82.266 80.3919
27.200001 82.412 80.3366
27.600000 82.661 79.8728
28.000000 82.883 78.8090
28.500000 83.027 77.2208
29.000000 83.055 76.4105
29.500000 83.122 76.6982
30.000000 83.341 77.3038
30.400000 83.593 77.3687
30.700001 83.782 77.0609
31.100000 83.997 76.3312
31.500000 84.160 75.4861
32.000000 84.317 74.5190
32.500000 84.452 73.6579
33.000000 84.569 72.8559
33.500000 84.674 72.1914
34.000000 84.798 71.6768
34.500000 84.959 71.0530
35.000000 85.120 70.0450
35.500000 85.212 68.7796
36.000000 85.216 67.8223
36.500000 85.201 67.6504
37.000000 85.282 68.1298
37.500000 85.507 68.5585
38.200001 85.926 67.8477
38.700001 86.149 66.3789
39.500000 86.255 63.9662
40.000000 86.242 63.1938
40.599998 86.273 62.9584
41.200001 86.392 62.7729
41.799999 86.531 62.2969
42.500000 86.666 61.7257
43.099998 86.802 61.4155
43.700001 86.973 61.0112
44.400002 87.169 60.2553
45.000000 87.309 59.4890
45.500000 87.402 58.8394
46.200001 87.490 58.0515
46.799999 87.555 57.6213
47.500000 87.652 57.0875
48.200001 87.693 56.2518
48.700001 87.655 55.9449
49.400002 87.657 56.5405
50.000000 87.863 57.1051
50.799999 88.243 55.8855
51.500000 88.382 53.6062
52.200001 88.388 51.9536
53.000000 88.461 50.8191
53.799999 88.591 49.5216
54.500000 88.684 48.4263
55.200001 88.777 47.5477
56.000000 88.877 46.7071
57.000000 88.994 46.1424
58.000000 89.173 45.6196
59.000000 89.292 44.4215
60.000000 89.280 43.4630
60.799999 89.298 43.1460
61.500000 89.376 42.7147
62.200001 89.471 41.8745
63.000000 89.552 40.6075
64.000000 89.624 39.0164
65.000000 89.698 37.5122
66.000000 89.746 36.0035
67.000000 89.735 34.9547
68.000000 89.769 34.5697
69.000000 89.873 33.9750
70.000000 89.941 32.9592
71.000000 89.956 31.9485
72.000000 89.970 31.1184
73.000000 90.019 30.1482
74.000000 90.043 28.9110
75.000000 90.045 27.9155
76.199997 90.097 26.8236
77.500000 90.150 25.4501
78.800003 90.163 24.2328
80.000000 90.195 23.4883
81.199997 90.271 22.5197
82.500000 90.304 21.2786
83.800003 90.320 20.2205
85.000000 90.349 19.2865
86.199997 90.388 18.1295
87.500000 90.370 16.6869
88.500000 90.322 15.9033
90.000000 90.332 15.0850
91.199997 90.360 14.0099
92.500000 90.334 12.9056
93.800003 90.307 11.9196
95.000000 90.262 11.1235
96.199997 90.253 10.5189
97.500000 90.276 9.5354
98.800003 90.262 8.3936
100.000000 90.235 7.4208
101.500000 90.170 6.2900
103.000000 90.089 5.5222
104.400002 90.050 4.9661
106.000000 90.042 4.1017
107.500000 90.018 3.1242
109.000000 90.001 2.1768
110.599998 89.962 0.9187
112.000000 89.867 0.0049
113.800003 89.771 -0.7350
115.000000 89.723 -1.3473
117.199997 89.601 -2.2444
118.000000 89.574 -2.4529
120.599998 89.525 -3.4411
122.000000 89.481 -4.0771
124.099998 89.396 -5.0204
125.000000 89.357 -5.3843
126.500000 89.304 -5.9804
128.000000 89.264 -6.7003
131.500000 89.093 -8.3235
132.000000 89.072 -8.4565
134.000000 89.016 -9.0834
136.000000 88.945 -9.9685
138.000000 88.850 -10.8027
140.000000 88.787 -11.4819
143.000000 88.713 -12.2096
145.000000 88.621 -12.3755
147.500000 88.443 -12.7369
150.000000 88.273 -13.4409
152.500000 88.220 -14.5784
155.000000 88.155 -15.4597
157.500000 88.052 -15.7817
160.000000 87.941 -16.1953
162.500000 87.844 -16.8234
165.000000 87.751 -17.3564
167.500000 87.631 -17.6926
170.000000 87.503 -17.9384
172.500000 87.397 -18.2461
175.000000 87.307 -18.5861
177.500000 87.225 -18.9003
180.000000 87.137 -19.1885
182.500000 87.038 -19.4288
185.000000 86.943 -19.6585
187.500000 86.865 -19.9403
190.000000 86.791 -20.2518
192.500000 86.701 -20.5502
195.000000 86.596 -20.8257
197.500000 86.492 -21.0690
200.000000 86.394 -21.1876
203.000000 86.289 -21.2245
206.000000 86.182 -21.2562
209.000000 86.092 -21.2627
212.000000 86.005 -21.4003
214.000000 85.932 -21.5216
218.000000 85.791 -21.6564
220.000000 85.747 -21.7698
224.000000 85.672 -22.0206
227.000000 85.606 -22.0447
230.000000 85.524 -22.0916
233.000000 85.427 -22.2085
236.000000 85.329 -22.2653
240.000000 85.205 -22.2339
243.000000 85.122 -22.3117
247.000000 85.041 -22.5188
250.000000 84.972 -22.5908
254.000000 84.824 -22.3145
258.000000 84.707 -21.9648
262.000000 84.638 -21.7694
265.000000 84.572 -21.5447
269.000000 84.461 -21.1689
272.000000 84.390 -20.9226
276.000000 84.316 -20.5702
280.000000 84.248 -20.1208
285.000000 84.211 -19.5885
290.000000 84.221 -19.4728
295.000000 84.195 -19.7426
300.000000 84.113 -20.0962
304.000000 84.023 -20.3372
307.000000 83.951 -20.4302
311.000000 83.852 -20.4305
315.000000 83.757 -20.3762
320.000000 83.643 -20.3059
325.000000 83.533 -20.2129
