* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.800. Timing signal peak level -21.7 dBFS, measurement signal peak level -21.7 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 22/11/2022 9:46:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0374 ms (-13 mm, -0.5 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: Serratus Stock L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 59.303 -156.4821
1.015000 59.380 -157.4397
1.030000 59.453 -158.3919
1.044000 59.518 -159.2739
1.060000 59.586 -160.2718
1.075000 59.646 -161.1954
1.090000 59.701 -162.1053
1.106000 59.755 -163.0595
1.120000 59.796 -163.8860
1.138000 59.842 -164.9401
1.150000 59.869 -165.6383
1.172000 59.910 -166.9106
1.180000 59.923 -167.3714
1.206000 59.954 -168.8641
1.220000 59.967 -169.6662
1.241000 59.979 -170.8693
1.250000 59.982 -171.3855
1.265000 59.984 -172.2475
1.280000 59.984 -173.1124
1.315000 59.972 -175.1470
1.320000 59.969 -175.4401
1.340000 59.956 -176.6202
1.360000 59.940 -177.8142
1.380000 59.921 -179.0245
1.400000 59.901 179.7466
1.430000 59.867 177.8630
1.450000 59.844 176.5770
1.475000 59.816 174.9332
1.500000 59.784 173.2617
1.525000 59.747 171.5663
1.550000 59.706 169.8477
1.575000 59.661 168.1060
1.600000 59.611 166.3419
1.625000 59.555 164.5557
1.650000 59.495 162.7479
1.675000 59.430 160.9189
1.700000 59.360 159.0692
1.725000 59.285 157.1992
1.750000 59.203 155.3092
1.775000 59.117 153.3998
1.800000 59.024 151.4714
1.825000 58.926 149.5245
1.850000 58.821 147.5624
1.875000 58.709 145.5914
1.900000 58.589 143.6090
1.925000 58.462 141.6124
1.950000 58.329 139.5988
1.975000 58.191 137.5653
2.000000 58.048 135.5092
2.030000 57.871 133.0082
2.060000 57.689 130.4657
2.090000 57.503 127.8770
2.120000 57.313 125.2371
2.140000 57.186 123.4464
2.180000 56.930 119.7848
2.200000 56.801 117.9110
2.240000 56.537 114.0930
2.270000 56.331 111.1733
2.300000 56.119 108.2052
2.330000 55.902 105.1885
2.360000 55.683 102.1230
2.400000 55.387 97.9594
2.430000 55.165 94.7794
2.470000 54.871 90.4625
2.500000 54.653 87.1669
2.540000 54.369 82.6953
2.580000 54.094 78.1266
2.620000 53.824 73.4016
2.650000 53.624 69.7629
2.690000 53.360 64.8115
2.720000 53.163 61.0407
2.760000 52.903 55.9633
2.800000 52.645 50.8589
2.850000 52.323 44.4905
2.900000 52.002 38.1954
2.950000 51.682 32.0425
3.000000 51.371 26.0863
3.040000 51.127 21.4121
3.070000 50.946 17.9267
3.110000 50.704 13.2666
3.150000 50.459 8.5463
3.200000 50.145 2.4854
3.250000 49.816 -3.8445
3.300000 49.467 -10.5391
3.350000 49.076 -17.4732
3.400000 48.646 -24.5508
3.450000 48.197 -31.8267
3.500000 47.750 -39.3560
3.550000 47.325 -47.1935
3.600000 46.943 -55.3943
3.650000 46.626 -64.0134
3.700000 46.359 -73.2365
3.750000 46.087 -83.2598
3.820000 45.746 -98.1393
3.870000 45.569 -108.9973
3.950000 45.483 -126.0032
4.000000 45.596 -135.9722
4.060000 45.959 -146.9981
4.120000 46.608 -157.6927
4.180000 47.462 -168.0173
4.250000 48.592 -179.3513
4.310000 49.569 171.7530
4.370000 50.455 163.8064
4.440000 51.313 155.9814
4.500000 52.004 150.5115
4.550000 52.556 146.6516
4.620000 53.288 142.0352
4.680000 53.874 138.5501
4.750000 54.505 134.6985
4.820000 55.070 131.0532
4.870000 55.432 128.8033
4.940000 55.892 126.0680
5.000000 56.252 124.0284
5.080000 56.697 121.6130
5.150000 57.065 119.6736
5.220000 57.394 117.9925
5.300000 57.726 116.4144
5.380000 58.032 115.1589
5.450000 58.293 114.2892
5.520000 58.560 113.6160
5.600000 58.852 113.2020
5.700000 59.203 113.1007
5.800000 59.561 113.2299
5.900000 59.950 113.3856
6.000000 60.364 113.7395
6.080000 60.706 114.1058
6.150000 61.011 114.4054
6.220000 61.318 114.6183
6.300000 61.678 114.7695
6.400000 62.144 114.9042
6.500000 62.606 114.9101
6.600000 63.043 114.7130
6.700000 63.460 114.2684
6.800000 63.861 113.6326
6.900000 64.230 112.8831
7.000000 64.557 112.0769
7.100000 64.846 111.1327
7.200000 65.099 110.1258
7.300000 65.314 109.1732
7.400000 65.487 108.3103
7.500000 65.618 107.4594
7.620000 65.735 106.6046
7.750000 65.825 106.0671
7.880000 65.862 105.8712
8.000000 65.884 106.0119
8.120000 65.928 106.5294
8.250000 65.976 107.5570
8.380000 66.064 108.8125
8.500000 66.214 110.0339
8.620000 66.420 111.4399
8.750000 66.691 112.8232
8.850000 66.932 113.5932
9.000000 67.362 114.4559
9.120000 67.715 114.7687
9.250000 68.076 114.5858
9.380000 68.434 113.9208
9.500000 68.728 113.0076
9.620000 68.968 111.8218
9.750000 69.182 110.2027
9.880000 69.335 108.4986
10.000000 69.413 106.8908
10.150000 69.435 104.8209
10.300000 69.384 103.0757
10.440000 69.259 101.6940
10.600000 69.069 100.6091
10.750000 68.861 100.3016
10.900000 68.635 100.5727
11.060000 68.468 101.4570
11.200000 68.370 102.8173
11.380000 68.369 104.7001
11.500000 68.472 106.0021
11.720000 68.799 108.0447
11.800000 68.951 108.4775
12.060000 69.543 108.9662
12.200000 69.840 108.5085
12.410000 70.253 107.0213
12.500000 70.395 106.2427
12.650000 70.588 104.6544
12.800000 70.728 102.9922
13.150000 70.839 99.4695
13.200000 70.839 99.0767
13.400000 70.793 97.8036
13.600000 70.738 97.1058
13.800000 70.694 97.0732
14.000000 70.718 97.4354
14.300000 70.903 98.4856
14.500000 71.138 99.0897
14.750000 71.501 99.3992
15.000000 71.908 99.0709
15.250000 72.287 98.0876
15.500000 72.608 96.6841
15.750000 72.857 95.0223
16.000000 73.028 93.3641
16.250000 73.136 91.8907
16.500000 73.193 90.6877
16.750000 73.221 89.8373
17.000000 73.242 89.3186
17.250000 73.269 89.0901
17.500000 73.313 89.0916
17.750000 73.382 89.2178
18.000000 73.476 89.4075
18.250000 73.595 89.5958
18.500000 73.733 89.7097
18.750000 73.884 89.7159
19.000000 74.043 89.5833
19.250000 74.196 89.2959
19.500000 74.336 88.8868
19.750000 74.456 88.3881
20.000000 74.549 87.8942
20.299999 74.635 87.4289
20.600000 74.709 87.1968
20.900000 74.798 87.2269
21.200001 74.930 87.4234
21.400000 75.048 87.5209
21.799999 75.332 87.4053
22.000000 75.481 87.1103
22.400000 75.739 86.0357
22.700001 75.869 85.0039
23.000000 75.936 84.0532
23.299999 75.963 83.3812
23.600000 75.979 83.0358
24.000000 76.025 82.9626
24.299999 76.090 82.9858
24.700001 76.195 82.9022
25.000000 76.264 82.7573
25.400000 76.329 82.6407
25.799999 76.394 82.8216
26.200001 76.512 83.2252
26.500000 76.650 83.4470
26.900000 76.881 83.3342
27.200001 77.055 82.8518
27.600000 77.243 81.7820
28.000000 77.364 80.5372
28.500000 77.447 79.1722
29.000000 77.513 78.1802
29.500000 77.601 77.4502
30.000000 77.722 76.8470
30.400000 77.844 76.3916
30.700001 77.950 76.0236
31.100000 78.101 75.4395
31.500000 78.247 74.7440
32.000000 78.402 73.8411
32.500000 78.533 73.0938
33.000000 78.667 72.5249
33.500000 78.810 71.9678
34.000000 78.935 71.3428
34.500000 79.027 70.8215
35.000000 79.113 70.5751
35.500000 79.235 70.4874
36.000000 79.394 70.2465
36.500000 79.552 69.7120
37.000000 79.684 69.0226
37.500000 79.800 68.3282
38.200001 79.956 67.2099
38.700001 80.033 66.1980
39.500000 80.031 64.8748
40.000000 80.010 64.6803
40.599998 80.069 64.8763
41.200001 80.221 64.7880
41.799999 80.367 64.1301
42.500000 80.460 63.2498
43.099998 80.542 62.8555
43.700001 80.693 62.4266
44.400002 80.894 61.3453
45.000000 81.017 60.2031
45.500000 81.111 59.4033
46.200001 81.257 58.3204
46.799999 81.336 57.4581
47.500000 81.422 57.6591
48.200001 81.825 58.7367
48.700001 82.286 58.2690
49.400002 82.707 54.7147
50.000000 82.590 51.3380
50.799999 82.070 50.8461
51.500000 81.922 53.1317
52.200001 82.097 54.4258
53.000000 82.264 54.1583
53.799999 82.327 53.4256
54.500000 82.341 52.6548
55.200001 82.342 51.9800
56.000000 82.400 51.2155
57.000000 82.487 49.7936
58.000000 82.542 48.8495
59.000000 82.685 48.3986
60.000000 82.861 47.9454
60.799999 83.003 47.5269
61.500000 83.108 46.9766
62.200001 83.171 46.2670
63.000000 83.181 45.3887
64.000000 83.133 44.5457
65.000000 83.139 43.9031
66.000000 83.191 42.7603
67.000000 83.219 41.5804
68.000000 83.295 40.6880
69.000000 83.397 39.8231
70.000000 83.504 39.2231
71.000000 83.626 38.6885
72.000000 83.717 38.1136
73.000000 83.780 37.5739
74.000000 83.820 36.9814
75.000000 83.848 36.3958
76.199997 83.900 35.5551
77.500000 83.947 34.3953
78.800003 83.972 33.3486
80.000000 83.999 32.5668
81.199997 84.024 31.8866
82.500000 84.049 31.2484
83.800003 84.086 30.5446
85.000000 84.107 29.6988
86.199997 84.098 28.9120
87.500000 84.105 28.3049
88.500000 84.138 27.8242
90.000000 84.185 26.8925
91.199997 84.205 26.1528
92.500000 84.224 25.3191
93.800003 84.221 24.4914
95.000000 84.211 23.9103
96.199997 84.212 23.4738
97.500000 84.225 23.0949
98.800003 84.252 22.6545
100.000000 84.266 22.0348
101.500000 84.240 21.1071
103.000000 84.194 20.2706
104.400002 84.167 19.6290
106.000000 84.169 18.9846
107.500000 84.173 18.3582
109.000000 84.154 17.7379
110.599998 84.122 17.0714
112.000000 84.098 16.4204
113.800003 84.085 15.6008
115.000000 84.088 15.1348
117.199997 84.099 14.5370
118.000000 84.101 14.3102
120.599998 84.028 13.1979
122.000000 83.957 12.6360
124.099998 83.910 12.0757
125.000000 83.922 11.9622
126.500000 83.979 11.7845
128.000000 84.019 11.4282
131.500000 83.928 10.4338
132.000000 83.909 10.2545
134.000000 83.835 9.4720
136.000000 83.774 8.8721
138.000000 83.743 8.5839
140.000000 83.726 8.2259
143.000000 83.687 7.3693
145.000000 83.677 6.9577
147.500000 83.711 6.9363
150.000000 83.755 6.6370
152.500000 83.606 5.8545
155.000000 83.432 5.4318
157.500000 83.350 4.9257
160.000000 83.314 4.3987
162.500000 83.274 3.9990
165.000000 83.227 3.7472
167.500000 83.176 3.4463
170.000000 83.121 3.0835
172.500000 83.064 2.6601
175.000000 83.006 2.3469
177.500000 82.955 2.1500
180.000000 82.900 2.0558
182.500000 82.848 1.9463
185.000000 82.800 1.5780
187.500000 82.749 1.1088
190.000000 82.697 0.9358
192.500000 82.640 1.1212
195.000000 82.582 1.2076
197.500000 82.530 0.8582
200.000000 82.481 0.3995
203.000000 82.422 0.2615
206.000000 82.361 0.2939
209.000000 82.318 0.2007
212.000000 82.292 0.2441
214.000000 82.275 0.3248
218.000000 82.212 0.0692
220.000000 82.163 -0.0751
224.000000 82.057 0.2201
227.000000 81.989 0.4755
230.000000 81.951 0.3951
233.000000 81.933 0.2105
236.000000 81.910 0.0724
240.000000 81.862 0.0239
243.000000 81.799 -0.0272
247.000000 81.693 -0.6673
250.000000 81.646 -1.2155
254.000000 81.647 -1.0103
258.000000 81.641 -0.7446
262.000000 81.584 -0.8640
265.000000 81.532 -0.7583
269.000000 81.457 -0.4011
272.000000 81.402 -0.0861
276.000000 81.363 0.3121
280.000000 81.339 0.5476
285.000000 81.332 0.8683
290.000000 81.371 1.1084
295.000000 81.425 1.0382
300.000000 81.430 0.4145
304.000000 81.384 -0.4346
307.000000 81.312 -1.1818
311.000000 81.146 -2.0637
315.000000 80.881 -2.4155
320.000000 80.551 -1.9095
325.000000 80.391 -0.5934
330.000000 80.312 0.9010
335.000000 80.269 2.0723
340.000000 80.287 2.9630
