* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.800. Timing signal peak level -21.7 dBFS, measurement signal peak level -21.6 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 22/11/2022 9:42:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0324 ms (-11 mm, -0.44 in) using estimated IR delay relative to Acoustic reference on SPEAKER R with no timing offset
* Measurement: Serratus Stock R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 55.598 30.2251
1.015000 55.656 27.8808
1.030000 55.713 25.5824
1.044000 55.765 23.4844
1.060000 55.822 21.1497
1.075000 55.873 19.0289
1.090000 55.922 16.9806
1.106000 55.972 14.8817
1.120000 56.013 13.1106
1.138000 56.063 10.9145
1.150000 56.095 9.4969
1.172000 56.149 6.9844
1.180000 56.168 6.0960
1.206000 56.227 3.2886
1.220000 56.257 1.8207
1.241000 56.299 -0.3352
1.250000 56.317 -1.2453
1.265000 56.346 -2.7479
1.280000 56.374 -4.2373
1.315000 56.438 -7.6899
1.320000 56.447 -8.1834
1.340000 56.483 -10.1658
1.360000 56.519 -12.1707
1.380000 56.556 -14.2107
1.400000 56.594 -16.2980
1.430000 56.654 -19.5446
1.450000 56.696 -21.8042
1.475000 56.752 -24.7529
1.500000 56.808 -27.8091
1.525000 56.865 -30.9515
1.550000 56.922 -34.1661
1.575000 56.979 -37.4393
1.600000 57.037 -40.7570
1.625000 57.095 -44.1056
1.650000 57.154 -47.4712
1.675000 57.213 -50.8398
1.700000 57.273 -54.1978
1.725000 57.335 -57.5313
1.750000 57.397 -60.8263
1.775000 57.460 -64.0692
1.800000 57.524 -67.2460
1.825000 57.590 -70.3429
1.850000 57.656 -73.3632
1.875000 57.725 -76.3421
1.900000 57.794 -79.2837
1.925000 57.865 -82.1904
1.950000 57.936 -85.0649
1.975000 58.009 -87.9095
2.000000 58.082 -90.7268
2.030000 58.171 -94.0750
2.060000 58.261 -97.3917
2.090000 58.351 -100.6814
2.120000 58.442 -103.9482
2.140000 58.503 -106.1156
2.180000 58.624 -110.4308
2.200000 58.685 -112.5811
2.240000 58.809 -116.8675
2.270000 58.904 -120.0652
2.300000 59.001 -123.2440
2.330000 59.098 -126.4003
2.360000 59.196 -129.5303
2.400000 59.327 -133.6564
2.430000 59.423 -136.7108
2.470000 59.549 -140.7225
2.500000 59.640 -143.6810
2.540000 59.757 -147.5513
2.580000 59.868 -151.3317
2.620000 59.977 -155.0400
2.650000 60.057 -157.7765
2.690000 60.162 -161.3639
2.720000 60.238 -164.0078
2.760000 60.336 -167.4692
2.800000 60.429 -170.8564
2.850000 60.537 -174.9835
2.900000 60.634 -178.9886
2.950000 60.719 177.1326
3.000000 60.795 173.3899
3.040000 60.849 170.4895
3.070000 60.885 168.3655
3.110000 60.929 165.5977
3.150000 60.966 162.8988
3.200000 61.004 159.6141
3.250000 61.033 156.4190
3.300000 61.051 153.3033
3.350000 61.058 150.2580
3.400000 61.054 147.2900
3.450000 61.040 144.4122
3.500000 61.016 141.6374
3.550000 60.985 138.9782
3.600000 60.947 136.4476
3.650000 60.903 134.0583
3.700000 60.852 131.8195
3.750000 60.789 129.7231
3.820000 60.688 127.0089
3.870000 60.609 125.2146
3.950000 60.477 122.5668
4.000000 60.397 121.0363
4.060000 60.303 119.3196
4.120000 60.204 117.7699
4.180000 60.102 116.3767
4.250000 59.984 114.9245
4.310000 59.889 113.8071
4.370000 59.805 112.7875
4.440000 59.724 111.7316
4.500000 59.663 110.9990
4.550000 59.619 110.4832
4.620000 59.566 109.8548
4.680000 59.528 109.3560
4.750000 59.490 108.7591
4.820000 59.464 108.1355
4.870000 59.455 107.7120
4.940000 59.450 107.1439
5.000000 59.448 106.6736
5.080000 59.439 106.0598
5.150000 59.417 105.5208
5.220000 59.392 104.9361
5.300000 59.357 104.2572
5.380000 59.312 103.6467
5.450000 59.258 103.2339
5.520000 59.186 102.9765
5.600000 59.076 102.7486
5.700000 58.912 102.6474
5.800000 58.746 102.9475
5.900000 58.596 103.8505
6.000000 58.423 105.3618
6.080000 58.295 106.9028
6.150000 58.219 108.4232
6.220000 58.200 110.0466
6.300000 58.250 112.1501
6.400000 58.391 115.2086
6.500000 58.617 118.3046
6.600000 58.926 120.9679
6.700000 59.350 123.2454
6.800000 59.867 125.2554
6.900000 60.409 126.8196
7.000000 60.920 127.7632
7.100000 61.440 128.0600
7.200000 61.954 127.8846
7.300000 62.429 127.4255
7.400000 62.844 126.7297
7.500000 63.218 125.6659
7.620000 63.612 124.1982
7.750000 63.967 122.7151
7.880000 64.241 121.1813
8.000000 64.445 119.8835
8.120000 64.619 118.8942
8.250000 64.757 118.0869
8.380000 64.882 117.5686
8.500000 65.016 117.4092
8.620000 65.151 117.5716
8.750000 65.326 117.9006
8.850000 65.498 118.1681
9.000000 65.810 118.7346
9.120000 66.089 119.0852
9.250000 66.421 119.1750
9.380000 66.785 119.0634
9.500000 67.118 118.7141
9.620000 67.433 118.0607
9.750000 67.766 117.0525
9.880000 68.064 115.8546
10.000000 68.298 114.5847
10.150000 68.545 112.7895
10.300000 68.734 111.0218
10.440000 68.853 109.3645
10.600000 68.936 107.6029
10.750000 68.968 106.2085
10.900000 68.960 105.0269
11.060000 68.936 104.0988
11.200000 68.896 103.5710
11.380000 68.849 103.2006
11.500000 68.825 103.1547
11.720000 68.800 103.3759
11.800000 68.801 103.5168
12.060000 68.834 104.2187
12.200000 68.869 104.6918
12.410000 68.947 105.5349
12.500000 68.993 105.9451
12.650000 69.083 106.7103
12.800000 69.202 107.5079
13.150000 69.624 109.3760
13.200000 69.701 109.5771
13.400000 70.056 110.2421
13.600000 70.444 110.4000
13.800000 70.856 109.9327
14.000000 71.232 108.8471
14.300000 71.690 106.1544
14.500000 71.881 103.8824
14.750000 71.979 101.0107
15.000000 71.923 98.3991
15.250000 71.741 96.6316
15.500000 71.514 95.9278
15.750000 71.303 96.3089
16.000000 71.212 97.5544
16.250000 71.270 98.9955
16.500000 71.462 100.2823
16.750000 71.735 100.9530
17.000000 72.011 101.0584
17.250000 72.265 100.7534
17.500000 72.478 100.2921
17.750000 72.678 99.9006
18.000000 72.884 99.5425
18.250000 73.118 99.1644
18.500000 73.372 98.5045
18.750000 73.617 97.4938
19.000000 73.826 96.0752
19.250000 73.954 94.4308
19.500000 73.998 92.8522
19.750000 73.959 91.5730
20.000000 73.871 90.9475
20.299999 73.781 91.0647
20.600000 73.780 91.8988
20.900000 73.917 92.9414
21.200001 74.167 93.5631
21.400000 74.348 93.5624
21.799999 74.663 92.7448
22.000000 74.768 92.1196
22.400000 74.866 91.0187
22.700001 74.883 90.6570
23.000000 74.909 90.7584
23.299999 74.977 91.1190
23.600000 75.092 91.5204
24.000000 75.296 91.8638
24.299999 75.464 91.9175
24.700001 75.696 91.7428
25.000000 75.872 91.4073
25.400000 76.095 90.5912
25.799999 76.261 89.3333
26.200001 76.323 87.9290
26.500000 76.302 87.1197
26.900000 76.231 86.7244
27.200001 76.208 86.9639
27.600000 76.283 87.6476
28.000000 76.481 88.0819
28.500000 76.775 87.6743
29.000000 76.981 86.6506
29.500000 77.109 85.9371
30.000000 77.282 85.7676
30.400000 77.496 85.5684
30.700001 77.676 85.1284
31.100000 77.883 84.1241
31.500000 78.011 82.9391
32.000000 78.070 81.8849
32.500000 78.117 81.6917
33.000000 78.257 81.9619
33.500000 78.483 81.9810
34.000000 78.703 81.4561
34.500000 78.855 80.7298
35.000000 78.957 80.2431
35.500000 79.069 80.0794
36.000000 79.222 79.9668
36.500000 79.397 79.6674
37.000000 79.563 79.1739
37.500000 79.712 78.5901
38.200001 79.889 77.7131
38.700001 79.979 77.1325
39.500000 80.078 76.8019
40.000000 80.175 77.0715
40.599998 80.380 77.4577
41.200001 80.637 77.2977
41.799999 80.843 76.4906
42.500000 80.950 75.3929
43.099998 80.986 74.8756
43.700001 81.057 74.5602
44.400002 81.178 73.7416
45.000000 81.233 72.5764
45.500000 81.232 71.6734
46.200001 81.244 70.8594
46.799999 81.344 70.3430
47.500000 81.576 69.4394
48.200001 81.883 67.8061
48.700001 82.079 66.0411
49.400002 82.183 63.2645
50.000000 82.108 61.8635
50.799999 82.068 62.3593
51.500000 82.290 63.4050
52.200001 82.575 63.5815
53.000000 82.793 63.4565
53.799999 82.995 63.6146
54.500000 83.181 63.4043
55.200001 83.309 62.7961
56.000000 83.392 62.0124
57.000000 83.460 60.9616
58.000000 83.527 60.0098
59.000000 83.674 58.9655
60.000000 83.824 57.4158
60.799999 83.894 56.2937
61.500000 83.948 55.6485
62.200001 84.024 55.2791
63.000000 84.156 54.9506
64.000000 84.338 54.1338
65.000000 84.431 53.2065
66.000000 84.540 52.7211
67.000000 84.712 51.8054
68.000000 84.822 50.3915
69.000000 84.884 49.1247
70.000000 84.948 48.0410
71.000000 85.027 47.0161
72.000000 85.109 45.9351
73.000000 85.178 44.8476
74.000000 85.236 43.8473
75.000000 85.300 42.9499
76.199997 85.386 41.8266
77.500000 85.456 40.6149
78.800003 85.520 39.5640
80.000000 85.580 38.6027
81.199997 85.628 37.6183
82.500000 85.674 36.5557
83.800003 85.713 35.3976
85.000000 85.744 34.3157
86.199997 85.780 33.1707
87.500000 85.804 31.8857
88.500000 85.812 30.9763
90.000000 85.834 29.7592
91.199997 85.856 28.7303
92.500000 85.854 27.6517
93.800003 85.855 26.7019
95.000000 85.860 25.8033
96.199997 85.861 24.8984
97.500000 85.860 23.9545
98.800003 85.860 23.0265
100.000000 85.852 22.1766
101.500000 85.829 21.1993
103.000000 85.804 20.2913
104.400002 85.777 19.4543
106.000000 85.743 18.4897
107.500000 85.709 17.5944
109.000000 85.677 16.6935
110.599998 85.636 15.7434
112.000000 85.594 15.0109
113.800003 85.545 14.2041
115.000000 85.515 13.6780
117.199997 85.451 12.6843
118.000000 85.422 12.3006
120.599998 85.309 11.1566
122.000000 85.259 10.6321
124.099998 85.200 9.8162
125.000000 85.173 9.4606
126.500000 85.121 8.8997
128.000000 85.063 8.3596
131.500000 84.900 7.2916
132.000000 84.881 7.1536
134.000000 84.820 6.4709
136.000000 84.765 5.6584
138.000000 84.715 4.9429
140.000000 84.668 4.4189
143.000000 84.562 3.7122
145.000000 84.487 3.0784
147.500000 84.447 1.9155
150.000000 84.376 0.7506
152.500000 84.246 0.9318
155.000000 84.157 1.2404
157.500000 84.051 0.9921
160.000000 83.957 0.5338
162.500000 83.877 0.2152
165.000000 83.797 -0.0649
167.500000 83.710 -0.4044
170.000000 83.635 -0.6818
172.500000 83.572 -0.8942
175.000000 83.500 -1.1431
177.500000 83.412 -1.4286
180.000000 83.329 -1.6698
182.500000 83.256 -1.8658
185.000000 83.183 -2.0112
187.500000 83.105 -2.1557
190.000000 83.030 -2.3114
192.500000 82.966 -2.4926
195.000000 82.895 -2.6377
197.500000 82.807 -2.6628
200.000000 82.714 -2.7019
203.000000 82.591 -2.8447
206.000000 82.459 -2.8548
209.000000 82.327 -2.6143
212.000000 82.220 -2.2776
214.000000 82.153 -2.1550
218.000000 81.966 -1.8524
220.000000 81.848 -1.4340
224.000000 81.619 0.0214
227.000000 81.483 1.5814
230.000000 81.435 3.5800
233.000000 81.546 5.7519
236.000000 81.822 7.4413
240.000000 82.281 7.8747
243.000000 82.579 6.8885
247.000000 82.830 5.1600
250.000000 82.885 4.0784
254.000000 82.789 2.6458
258.000000 82.656 1.4812
262.000000 82.569 0.6606
265.000000 82.509 0.1880
269.000000 82.418 -0.1284
272.000000 82.340 -0.2204
276.000000 82.237 -0.2762
280.000000 82.156 -0.2709
285.000000 82.071 -0.3449
290.000000 81.968 -0.5668
295.000000 81.856 -0.7144
300.000000 81.748 -0.6658
304.000000 81.664 -0.5509
307.000000 81.608 -0.3918
311.000000 81.540 -0.0969
315.000000 81.479 0.1955
320.000000 81.409 0.5029
325.000000 81.344 0.8173
330.000000 81.286 1.1216
