* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -31.7 dBFS, measurement signal peak level -28.8 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 31/03/2024 9:50:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0330 ms (-11 mm, -0.45 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: Singolo L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 43.566 120.8566
1.015000 43.682 119.8955
1.030000 43.799 118.9578
1.044000 43.908 118.1065
1.060000 44.034 117.1652
1.075000 44.152 116.3166
1.090000 44.270 115.5039
1.106000 44.396 114.6792
1.120000 44.507 113.9881
1.138000 44.653 113.1371
1.150000 44.751 112.5915
1.172000 44.932 111.6324
1.180000 44.999 111.2959
1.206000 45.218 110.2417
1.220000 45.337 109.6964
1.241000 45.518 108.9031
1.250000 45.596 108.5709
1.265000 45.726 108.0261
1.280000 45.858 107.4903
1.315000 46.167 106.2637
1.320000 46.212 106.0900
1.340000 46.391 105.3960
1.360000 46.570 104.6994
1.380000 46.751 103.9953
1.400000 46.932 103.2786
1.430000 47.205 102.1690
1.450000 47.387 101.3990
1.475000 47.615 100.3963
1.500000 47.846 99.3670
1.525000 48.080 98.3198
1.550000 48.316 97.2582
1.575000 48.554 96.1860
1.600000 48.794 95.1070
1.625000 49.035 94.0248
1.650000 49.276 92.9431
1.675000 49.519 91.8658
1.700000 49.761 90.7965
1.725000 50.003 89.7389
1.750000 50.245 88.6967
1.775000 50.485 87.6738
1.800000 50.724 86.6737
1.825000 50.961 85.7002
1.850000 51.197 84.7550
1.875000 51.433 83.8333
1.900000 51.670 82.9326
1.925000 51.906 82.0503
1.950000 52.142 81.1839
1.975000 52.378 80.3309
2.000000 52.613 79.4888
2.030000 52.894 78.4890
2.060000 53.174 77.4969
2.090000 53.452 76.5082
2.120000 53.728 75.5184
2.140000 53.911 74.8558
2.180000 54.273 73.5183
2.200000 54.452 72.8408
2.240000 54.807 71.4796
2.270000 55.072 70.4580
2.300000 55.336 69.4365
2.330000 55.597 68.4156
2.360000 55.857 67.3962
2.400000 56.200 66.0400
2.430000 56.455 65.0261
2.470000 56.790 63.6796
2.500000 57.039 62.6747
2.540000 57.366 61.3424
2.580000 57.688 60.0195
2.620000 58.006 58.7011
2.650000 58.242 57.7150
2.690000 58.552 56.4049
2.720000 58.782 55.4266
2.760000 59.084 54.1291
2.800000 59.382 52.8406
2.850000 59.748 51.2447
2.900000 60.106 49.6676
2.950000 60.457 48.1120
3.000000 60.800 46.5776
3.040000 61.070 45.3637
3.070000 61.269 44.4606
3.110000 61.530 43.2653
3.150000 61.787 42.0788
3.200000 62.101 40.6067
3.250000 62.409 39.1446
3.300000 62.711 37.6903
3.350000 63.005 36.2381
3.400000 63.292 34.7891
3.450000 63.571 33.3492
3.500000 63.845 31.9242
3.550000 64.112 30.5200
3.600000 64.373 29.1424
3.650000 64.629 27.7973
3.700000 64.878 26.4871
3.750000 65.122 25.2059
3.820000 65.452 23.4566
3.870000 65.681 22.2364
3.950000 66.037 20.3293
4.000000 66.254 19.1628
4.060000 66.509 17.7855
4.120000 66.757 16.4324
4.180000 66.997 15.1071
4.250000 67.270 13.6017
4.310000 67.498 12.3510
4.370000 67.723 11.1411
4.440000 67.981 9.7867
4.500000 68.197 8.6746
4.550000 68.373 7.7785
4.620000 68.615 6.5644
4.680000 68.820 5.5558
4.750000 69.057 4.4088
4.820000 69.292 3.2958
4.870000 69.458 2.5277
4.940000 69.687 1.4851
5.000000 69.882 0.6169
5.080000 70.141 -0.5118
5.150000 70.367 -1.4784
5.220000 70.593 -2.4120
5.300000 70.849 -3.4434
5.380000 71.104 -4.4514
5.450000 71.327 -5.3263
5.520000 71.548 -6.2033
5.600000 71.801 -7.1926
5.700000 72.116 -8.4142
5.800000 72.428 -9.6358
5.900000 72.735 -10.8731
6.000000 73.039 -12.1192
6.080000 73.279 -13.1211
6.150000 73.486 -14.0022
6.220000 73.689 -14.8883
6.300000 73.916 -15.9092
6.400000 74.194 -17.1962
6.500000 74.465 -18.4885
6.600000 74.727 -19.7784
6.700000 74.980 -21.0720
6.800000 75.224 -22.3673
6.900000 75.460 -23.6509
7.000000 75.687 -24.9117
7.100000 75.905 -26.1585
7.200000 76.115 -27.3869
7.300000 76.318 -28.5886
7.400000 76.515 -29.7592
7.500000 76.705 -30.9036
7.620000 76.925 -32.2395
7.750000 77.157 -33.6360
7.880000 77.382 -34.9779
8.000000 77.585 -36.1774
8.120000 77.785 -37.3462
8.250000 77.998 -38.5708
8.380000 78.209 -39.7675
8.500000 78.401 -40.8584
8.620000 78.592 -41.9291
8.750000 78.796 -43.0791
8.850000 78.950 -43.9642
9.000000 79.180 -45.2853
9.120000 79.360 -46.3416
9.250000 79.551 -47.4904
9.380000 79.738 -48.6415
9.500000 79.906 -49.7036
9.620000 80.070 -50.7655
9.750000 80.242 -51.9160
9.880000 80.409 -53.0597
10.000000 80.558 -54.1084
10.150000 80.737 -55.4102
10.300000 80.911 -56.6923
10.440000 81.066 -57.8718
10.600000 81.238 -59.1963
10.750000 81.393 -60.4113
10.900000 81.544 -61.6017
11.060000 81.701 -62.8429
11.200000 81.835 -63.9040
11.380000 82.003 -65.2393
11.500000 82.114 -66.1106
11.720000 82.315 -67.6772
11.800000 82.387 -68.2391
12.060000 82.620 -70.0393
12.200000 82.744 -71.0026
12.410000 82.928 -72.4413
12.500000 83.006 -73.0605
12.650000 83.134 -74.0947
12.800000 83.259 -75.1323
13.150000 83.535 -77.5700
13.200000 83.572 -77.9168
13.400000 83.715 -79.3041
13.600000 83.848 -80.6658
13.800000 83.971 -81.9947
14.000000 84.087 -83.2690
14.300000 84.248 -85.0691
14.500000 84.352 -86.1854
14.750000 84.482 -87.5068
15.000000 84.616 -88.7602
15.250000 84.754 -89.9864
15.500000 84.895 -91.2153
15.750000 85.034 -92.4613
16.000000 85.168 -93.7344
16.250000 85.293 -95.0134
16.500000 85.407 -96.2821
16.750000 85.512 -97.5138
17.000000 85.610 -98.6918
17.250000 85.704 -99.8178
17.500000 85.797 -100.8971
17.750000 85.893 -101.9584
18.000000 85.988 -103.0171
18.250000 86.082 -104.0902
18.500000 86.171 -105.1805
18.750000 86.252 -106.2744
19.000000 86.326 -107.3594
19.250000 86.393 -108.4089
19.500000 86.455 -109.4159
19.750000 86.516 -110.3764
20.000000 86.579 -111.3018
20.299999 86.658 -112.3951
20.600000 86.740 -113.4972
20.900000 86.823 -114.6290
21.200001 86.900 -115.7914
21.400000 86.947 -116.5710
21.799999 87.029 -118.1112
22.000000 87.066 -118.8582
22.400000 87.135 -120.2900
22.700001 87.186 -121.3154
23.000000 87.237 -122.3123
23.299999 87.288 -123.2899
23.600000 87.339 -124.2510
24.000000 87.406 -125.5074
24.299999 87.456 -126.4340
24.700001 87.523 -127.6615
25.000000 87.572 -128.5878
25.400000 87.632 -129.8343
25.799999 87.680 -131.0714
26.200001 87.718 -132.2597
26.500000 87.742 -133.1032
26.900000 87.774 -134.1693
27.200001 87.799 -134.9423
27.600000 87.833 -135.9606
28.000000 87.866 -136.9728
28.500000 87.903 -138.2143
29.000000 87.940 -139.4322
29.500000 87.977 -140.6735
30.000000 88.005 -141.9565
30.400000 88.015 -142.9630
30.700001 88.017 -143.6703
31.100000 88.022 -144.5385
31.500000 88.036 -145.3659
32.000000 88.066 -146.4587
32.500000 88.088 -147.6630
33.000000 88.083 -148.8477
33.500000 88.064 -149.8469
34.000000 88.060 -150.6624
34.500000 88.083 -151.4747
35.000000 88.115 -152.4182
35.500000 88.130 -153.4436
36.000000 88.128 -154.4054
36.500000 88.124 -155.2535
37.000000 88.132 -156.0720
37.500000 88.142 -156.9485
38.200001 88.137 -158.2255
38.700001 88.120 -159.0660
39.500000 88.098 -160.2608
40.000000 88.091 -160.9963
40.599998 88.083 -161.9067
41.200001 88.070 -162.8175
41.799999 88.055 -163.7056
42.500000 88.036 -164.7177
43.099998 88.017 -165.5640
43.700001 87.999 -166.3828
44.400002 87.978 -167.3104
45.000000 87.960 -168.0957
45.500000 87.944 -168.7442
46.200001 87.919 -169.6328
46.799999 87.895 -170.3727
47.500000 87.864 -171.2116
48.200001 87.829 -172.0102
48.700001 87.804 -172.5494
49.400002 87.774 -173.2868
50.000000 87.750 -173.9423
50.799999 87.711 -174.8483
51.500000 87.668 -175.6030
52.200001 87.624 -176.2921
53.000000 87.583 -177.0504
53.799999 87.547 -177.8377
54.500000 87.511 -178.5523
55.200001 87.469 -179.2553
56.000000 87.417 -179.9990
57.000000 87.356 179.1367
58.000000 87.296 178.2678
59.000000 87.230 177.4332
60.000000 87.165 176.6597
60.799999 87.116 176.0399
61.500000 87.072 175.4907
62.200001 87.027 174.9462
63.000000 86.974 174.3298
64.000000 86.903 173.5917
65.000000 86.833 172.9193
66.000000 86.769 172.2501
67.000000 86.701 171.5745
68.000000 86.628 170.9351
69.000000 86.554 170.3253
70.000000 86.478 169.7388
71.000000 86.402 169.1790
72.000000 86.328 168.6404
73.000000 86.256 168.0954
74.000000 86.183 167.5410
75.000000 86.105 167.0060
76.199997 86.007 166.4242
77.500000 85.900 165.8773
78.800003 85.792 165.4442
80.000000 85.704 165.1266
81.199997 85.626 164.7435
82.500000 85.531 164.2554
83.800003 85.432 163.8233
85.000000 85.355 163.3688
86.199997 85.276 162.8184
87.500000 85.183 162.1861
88.500000 85.104 161.6944
90.000000 84.969 161.0900
91.199997 84.862 160.7634
92.500000 84.754 160.4519
93.800003 84.641 160.1213
95.000000 84.522 159.8364
96.199997 84.393 159.6216
97.500000 84.247 159.4695
98.800003 84.099 159.3974
100.000000 83.963 159.3875
101.500000 83.792 159.4534
103.000000 83.622 159.7474
104.400002 83.499 160.2343
106.000000 83.412 160.7970
107.500000 83.361 161.1136
109.000000 83.291 161.1289
110.599998 83.157 161.0591
112.000000 82.995 161.1339
113.800003 82.743 161.7199
115.000000 82.577 162.6057
117.199997 82.383 165.2949
118.000000 82.377 166.5208
120.599998 82.676 170.1112
122.000000 82.981 170.9335
124.099998 83.405 170.4091
125.000000 83.542 169.8271
126.500000 83.716 168.7585
128.000000 83.849 167.6879
131.500000 84.025 164.9787
132.000000 84.036 164.5513
134.000000 84.021 162.6715
136.000000 83.887 161.0464
138.000000 83.718 159.9883
140.000000 83.551 159.1638
143.000000 83.308 158.2083
145.000000 83.159 157.7484
147.500000 82.981 157.3442
150.000000 82.805 157.0798
152.500000 82.635 156.9341
155.000000 82.474 156.8526
157.500000 82.319 156.8073
160.000000 82.169 156.7918
162.500000 82.026 156.8297
165.000000 81.887 156.9161
167.500000 81.750 157.0435
170.000000 81.614 157.2160
172.500000 81.481 157.4243
175.000000 81.354 157.6510
177.500000 81.229 157.9113
180.000000 81.105 158.2162
182.500000 80.983 158.5495
185.000000 80.865 158.9270
187.500000 80.751 159.3567
190.000000 80.639 159.8253
192.500000 80.536 160.3423
195.000000 80.449 160.9701
197.500000 80.368 161.7257
200.000000 80.278 162.5454
203.000000 80.200 163.4102
206.000000 80.171 163.9340
209.000000 80.152 164.3878
212.000000 80.116 164.8506
214.000000 80.081 165.1509
218.000000 80.005 165.8052
220.000000 79.970 166.1960
224.000000 79.919 167.0254
227.000000 79.902 167.5408
230.000000 79.894 167.9183
233.000000 79.870 168.2563
236.000000 79.831 168.6371
240.000000 79.773 169.1622
243.000000 79.731 169.5949
247.000000 79.679 170.2167
250.000000 79.644 170.7068
254.000000 79.608 171.4105
258.000000 79.579 172.1235
262.000000 79.559 172.8236
265.000000 79.550 173.3449
269.000000 79.541 174.0183
272.000000 79.536 174.5007
276.000000 79.535 175.1218
280.000000 79.540 175.7332
285.000000 79.558 176.4871
290.000000 79.582 177.1948
295.000000 79.611 177.8345
300.000000 79.644 178.4331
304.000000 79.671 178.8853
307.000000 79.693 179.2061
