* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -32.1 dBFS, measurement signal peak level -29.0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 31/03/2024 9:51:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0354 ms (-12 mm, -0.48 in) using estimated IR delay relative to Acoustic reference on SPEAKER R with no timing offset
* Measurement: Singolo R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 41.784 122.5218
1.015000 41.886 121.5986
1.030000 41.988 120.6986
1.044000 42.085 119.8823
1.060000 42.198 118.9806
1.075000 42.304 118.1687
1.090000 42.411 117.3924
1.106000 42.527 116.6059
1.120000 42.631 115.9484
1.138000 42.766 115.1409
1.150000 42.858 114.6244
1.172000 43.030 113.7192
1.180000 43.094 113.4022
1.206000 43.304 112.4121
1.220000 43.419 111.9014
1.241000 43.594 111.1600
1.250000 43.670 110.8501
1.265000 43.797 110.3423
1.280000 43.926 109.8435
1.315000 44.232 108.7028
1.320000 44.276 108.5413
1.340000 44.453 107.8960
1.360000 44.632 107.2477
1.380000 44.813 106.5913
1.400000 44.995 105.9219
1.430000 45.269 104.8820
1.450000 45.453 104.1576
1.475000 45.684 103.2109
1.500000 45.919 102.2381
1.525000 46.158 101.2478
1.550000 46.401 100.2434
1.575000 46.647 99.2282
1.600000 46.896 98.2056
1.625000 47.146 97.1792
1.650000 47.399 96.1522
1.675000 47.653 95.1280
1.700000 47.907 94.1101
1.725000 48.161 93.1019
1.750000 48.415 92.1067
1.775000 48.668 91.1280
1.800000 48.920 90.1691
1.825000 49.170 89.2334
1.850000 49.418 88.3226
1.875000 49.667 87.4324
1.900000 49.917 86.5605
1.925000 50.168 85.7044
1.950000 50.418 84.8619
1.975000 50.669 84.0305
2.000000 50.919 83.2080
2.030000 51.219 82.2293
2.060000 51.517 81.2558
2.090000 51.813 80.2835
2.120000 52.108 79.3083
2.140000 52.302 78.6545
2.180000 52.687 77.3329
2.200000 52.877 76.6627
2.240000 53.255 75.3125
2.270000 53.536 74.2958
2.300000 53.816 73.2767
2.330000 54.094 72.2560
2.360000 54.369 71.2349
2.400000 54.733 69.8741
2.430000 55.003 68.8552
2.470000 55.359 67.5010
2.500000 55.622 66.4896
2.540000 55.969 65.1487
2.580000 56.309 63.8173
2.620000 56.644 62.4885
2.650000 56.892 61.4931
2.690000 57.219 60.1693
2.720000 57.461 59.1799
2.760000 57.779 57.8667
2.800000 58.091 56.5621
2.850000 58.475 54.9464
2.900000 58.851 53.3505
2.950000 59.219 51.7778
3.000000 59.579 50.2264
3.040000 59.860 48.9988
3.070000 60.068 48.0855
3.110000 60.341 46.8768
3.150000 60.609 45.6775
3.200000 60.937 44.1901
3.250000 61.259 42.7141
3.300000 61.573 41.2476
3.350000 61.880 39.7853
3.400000 62.180 38.3279
3.450000 62.471 36.8810
3.500000 62.756 35.4499
3.550000 63.035 34.0399
3.600000 63.308 32.6566
3.650000 63.575 31.3053
3.700000 63.837 29.9889
3.750000 64.092 28.7024
3.820000 64.438 26.9466
3.870000 64.679 25.7213
3.950000 65.054 23.8039
4.000000 65.283 22.6284
4.060000 65.553 21.2375
4.120000 65.815 19.8699
4.180000 66.070 18.5287
4.250000 66.360 17.0012
4.310000 66.603 15.7271
4.370000 66.843 14.4883
4.440000 67.118 13.0926
4.500000 67.347 11.9399
4.550000 67.535 11.0063
4.620000 67.794 9.7345
4.680000 68.012 8.6714
4.750000 68.264 7.4550
4.820000 68.512 6.2651
4.870000 68.687 5.4369
4.940000 68.928 4.3044
5.000000 69.133 3.3558
5.080000 69.402 2.1175
5.150000 69.636 1.0549
5.220000 69.867 0.0204
5.300000 70.129 -1.1305
5.380000 70.387 -2.2571
5.450000 70.610 -3.2307
5.520000 70.831 -4.1984
5.600000 71.082 -5.2876
5.700000 71.390 -6.6265
5.800000 71.694 -7.9497
5.900000 71.992 -9.2659
6.000000 72.285 -10.5710
6.080000 72.516 -11.6067
6.150000 72.714 -12.5075
6.220000 72.909 -13.4041
6.300000 73.129 -14.4238
6.400000 73.397 -15.6903
6.500000 73.660 -16.9465
6.600000 73.915 -18.1914
6.700000 74.164 -19.4272
6.800000 74.406 -20.6526
6.900000 74.641 -21.8629
7.000000 74.871 -23.0542
7.100000 75.093 -24.2293
7.200000 75.310 -25.3871
7.300000 75.521 -26.5257
7.400000 75.727 -27.6440
7.500000 75.926 -28.7434
7.620000 76.160 -30.0362
7.750000 76.406 -31.4017
7.880000 76.644 -32.7304
8.000000 76.859 -33.9274
8.120000 77.069 -35.0979
8.250000 77.291 -36.3337
8.380000 77.509 -37.5422
8.500000 77.706 -38.6375
8.620000 77.901 -39.7099
8.750000 78.107 -40.8547
8.850000 78.265 -41.7276
9.000000 78.497 -43.0188
9.120000 78.680 -44.0441
9.250000 78.874 -45.1530
9.380000 79.066 -46.2568
9.500000 79.239 -47.2752
9.620000 79.408 -48.2961
9.750000 79.588 -49.4027
9.880000 79.763 -50.5089
10.000000 79.920 -51.5310
10.150000 80.109 -52.8080
10.300000 80.291 -54.0749
10.440000 80.454 -55.2503
10.600000 80.633 -56.5769
10.750000 80.794 -57.7977
10.900000 80.949 -58.9979
11.060000 81.109 -60.2482
11.200000 81.244 -61.3168
11.380000 81.414 -62.6613
11.500000 81.525 -63.5378
11.720000 81.725 -65.1158
11.800000 81.797 -65.6837
12.060000 82.028 -67.5087
12.200000 82.149 -68.4904
12.410000 82.327 -69.9607
12.500000 82.401 -70.5918
12.650000 82.522 -71.6463
12.800000 82.638 -72.6967
13.150000 82.888 -75.1180
13.200000 82.922 -75.4555
13.400000 83.050 -76.7865
13.600000 83.172 -78.0670
13.800000 83.287 -79.2893
14.000000 83.400 -80.4517
14.300000 83.569 -82.0882
14.500000 83.684 -83.1215
14.750000 83.833 -84.3798
15.000000 83.986 -85.6188
15.250000 84.142 -86.8701
15.500000 84.297 -88.1425
15.750000 84.449 -89.4382
16.000000 84.594 -90.7510
16.250000 84.730 -92.0624
16.500000 84.858 -93.3613
16.750000 84.978 -94.6326
17.000000 85.092 -95.8683
17.250000 85.200 -97.0679
17.500000 85.305 -98.2319
17.750000 85.407 -99.3685
18.000000 85.507 -100.4832
18.250000 85.605 -101.5824
18.500000 85.700 -102.6728
18.750000 85.792 -103.7569
19.000000 85.880 -104.8369
19.250000 85.963 -105.9123
19.500000 86.040 -106.9795
19.750000 86.112 -108.0345
20.000000 86.177 -109.0685
20.299999 86.249 -110.2696
20.600000 86.315 -111.4174
20.900000 86.379 -112.5073
21.200001 86.444 -113.5456
21.400000 86.489 -114.2215
21.799999 86.586 -115.5661
22.000000 86.636 -116.2505
22.400000 86.735 -117.6661
22.700001 86.802 -118.7624
23.000000 86.862 -119.8638
23.299999 86.913 -120.9397
23.600000 86.960 -121.9733
24.000000 87.022 -123.2855
24.299999 87.071 -124.2469
24.700001 87.138 -125.5443
25.000000 87.184 -126.5430
25.400000 87.232 -127.8803
25.799999 87.262 -129.1392
26.200001 87.283 -130.2402
26.500000 87.303 -130.9596
26.900000 87.347 -131.8361
27.200001 87.392 -132.4971
27.600000 87.461 -133.4511
28.000000 87.525 -134.4964
28.500000 87.586 -135.8395
29.000000 87.632 -137.1126
29.500000 87.676 -138.3272
30.000000 87.719 -139.5765
30.400000 87.741 -140.6155
30.700001 87.745 -141.3868
31.100000 87.738 -142.3412
31.500000 87.725 -143.1721
32.000000 87.718 -144.0591
32.500000 87.732 -144.8936
33.000000 87.761 -145.8001
33.500000 87.792 -146.8159
34.000000 87.812 -147.9038
34.500000 87.820 -148.9993
35.000000 87.818 -150.0530
35.500000 87.814 -151.0466
36.000000 87.814 -152.0029
36.500000 87.817 -152.9617
37.000000 87.817 -153.9353
37.500000 87.808 -154.8844
38.200001 87.788 -156.0689
38.700001 87.782 -156.8112
39.500000 87.796 -157.9975
40.000000 87.807 -158.8058
40.599998 87.810 -159.8125
41.200001 87.801 -160.7896
41.799999 87.786 -161.7115
42.500000 87.765 -162.7339
43.099998 87.745 -163.5773
43.700001 87.724 -164.3915
44.400002 87.700 -165.3078
45.000000 87.682 -166.0791
45.500000 87.669 -166.7307
46.200001 87.647 -167.6624
46.799999 87.623 -168.4422
47.500000 87.594 -169.2893
48.200001 87.571 -170.1243
48.700001 87.553 -170.7481
49.400002 87.516 -171.6085
50.000000 87.476 -172.2548
50.799999 87.433 -173.0144
51.500000 87.404 -173.7027
52.200001 87.368 -174.4165
53.000000 87.318 -175.1703
53.799999 87.275 -175.8573
54.500000 87.245 -176.4656
55.200001 87.219 -177.1199
56.000000 87.184 -177.9184
57.000000 87.125 -178.8775
58.000000 87.066 -179.7351
59.000000 87.009 179.4310
60.000000 86.945 178.6557
60.799999 86.894 178.0993
61.500000 86.853 177.6313
62.200001 86.813 177.1500
63.000000 86.763 176.5721
64.000000 86.692 175.8699
65.000000 86.625 175.2312
66.000000 86.568 174.5687
67.000000 86.509 173.8687
68.000000 86.450 173.2102
69.000000 86.397 172.5796
70.000000 86.343 171.9367
71.000000 86.283 171.3095
72.000000 86.215 170.7270
73.000000 86.146 170.1908
74.000000 86.078 169.6454
75.000000 86.003 169.0778
76.199997 85.905 168.4565
77.500000 85.804 167.8714
78.800003 85.715 167.3501
80.000000 85.640 166.8768
81.199997 85.565 166.4104
82.500000 85.478 165.9589
83.800003 85.392 165.5262
85.000000 85.309 165.1151
86.199997 85.225 164.6991
87.500000 85.133 164.2001
88.500000 85.055 163.8028
90.000000 84.939 163.2826
91.199997 84.854 162.8730
92.500000 84.761 162.4239
93.800003 84.664 162.0015
95.000000 84.571 161.6562
96.199997 84.478 161.3291
97.500000 84.371 160.9843
98.800003 84.259 160.6913
100.000000 84.156 160.4664
101.500000 84.028 160.1887
103.000000 83.891 159.9193
104.400002 83.752 159.7122
106.000000 83.580 159.5566
107.500000 83.411 159.5226
109.000000 83.242 159.5645
110.599998 83.049 159.6784
112.000000 82.857 159.9301
113.800003 82.584 160.7691
115.000000 82.413 161.7643
117.199997 82.191 164.5398
118.000000 82.166 165.8541
120.599998 82.424 170.2047
122.000000 82.756 171.6435
124.099998 83.305 171.6543
125.000000 83.506 170.9643
126.500000 83.759 169.2692
128.000000 83.891 167.3295
131.500000 83.818 163.9988
132.000000 83.786 163.6526
134.000000 83.620 162.2910
136.000000 83.431 161.1255
138.000000 83.278 160.1280
140.000000 83.143 159.4199
143.000000 82.937 158.8862
145.000000 82.793 158.6456
147.500000 82.624 158.3698
150.000000 82.471 158.1716
152.500000 82.314 158.1052
155.000000 82.163 158.0617
157.500000 82.017 157.9974
160.000000 81.876 158.0835
162.500000 81.741 158.2330
165.000000 81.602 158.3953
167.500000 81.466 158.6055
170.000000 81.339 158.8302
172.500000 81.211 159.0680
175.000000 81.084 159.3621
177.500000 80.959 159.7299
180.000000 80.836 160.1843
182.500000 80.717 160.7093
185.000000 80.607 161.2928
187.500000 80.508 161.9576
190.000000 80.432 162.6989
192.500000 80.381 163.4517
195.000000 80.355 164.1313
197.500000 80.348 164.6909
200.000000 80.354 165.0995
203.000000 80.347 165.3534
206.000000 80.307 165.4780
209.000000 80.249 165.6137
212.000000 80.179 165.8058
214.000000 80.126 165.9719
218.000000 80.014 166.4105
220.000000 79.960 166.6789
224.000000 79.854 167.2949
227.000000 79.777 167.8346
230.000000 79.708 168.4347
233.000000 79.648 169.0817
236.000000 79.605 169.7846
240.000000 79.579 170.7016
243.000000 79.569 171.2938
247.000000 79.557 171.9553
250.000000 79.543 172.4078
254.000000 79.520 173.0107
258.000000 79.493 173.6473
262.000000 79.467 174.3388
265.000000 79.452 174.8606
269.000000 79.441 175.5386
272.000000 79.438 176.0450
276.000000 79.439 176.7132
280.000000 79.446 177.3602
285.000000 79.462 178.1401
290.000000 79.485 178.8911
295.000000 79.516 179.6028
300.000000 79.553 -179.7375
304.000000 79.587 -179.2511
307.000000 79.615 -178.9047
