* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -26.6 dBFS, measurement signal peak level -23.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 16/06/2024 6:58:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.0123 ms (4.2 mm, 0.17 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: SplendorII DSP L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 38.030 39.8698
1.015000 38.115 39.3394
1.030000 38.196 38.8233
1.044000 38.270 38.3564
1.060000 38.350 37.8424
1.075000 38.421 37.3817
1.090000 38.489 36.9438
1.106000 38.557 36.5014
1.120000 38.611 36.1223
1.138000 38.673 35.6424
1.150000 38.711 35.3274
1.172000 38.770 34.7613
1.180000 38.790 34.5593
1.206000 38.845 33.9182
1.220000 38.870 33.5833
1.241000 38.903 33.0955
1.250000 38.915 32.8921
1.265000 38.935 32.5609
1.280000 38.952 32.2399
1.315000 38.988 31.5333
1.320000 38.993 31.4375
1.340000 39.013 31.0675
1.360000 39.033 30.7197
1.380000 39.055 30.3954
1.400000 39.079 30.0954
1.430000 39.123 29.6937
1.450000 39.158 29.4596
1.475000 39.210 29.2067
1.500000 39.261 28.9968
1.525000 39.308 28.8279
1.550000 39.353 28.6984
1.575000 39.397 28.6064
1.600000 39.442 28.5503
1.625000 39.489 28.5283
1.650000 39.539 28.5387
1.675000 39.594 28.5797
1.700000 39.654 28.6497
1.725000 39.721 28.7467
1.750000 39.796 28.8692
1.775000 39.881 29.0154
1.800000 39.976 29.1835
1.825000 40.083 29.3718
1.850000 40.201 29.5938
1.875000 40.327 29.8798
1.900000 40.460 30.2221
1.925000 40.600 30.6110
1.950000 40.748 31.0372
1.975000 40.903 31.4910
2.000000 41.065 31.9631
2.030000 41.269 32.5403
2.060000 41.485 33.1137
2.090000 41.711 33.6668
2.120000 41.947 34.1833
2.140000 42.111 34.4992
2.180000 42.453 35.0407
2.200000 42.631 35.2570
2.240000 43.011 35.6452
2.270000 43.315 35.9161
2.300000 43.634 36.1652
2.330000 43.965 36.3884
2.360000 44.306 36.5816
2.400000 44.773 36.7854
2.430000 45.128 36.8927
2.470000 45.605 36.9672
2.500000 45.962 36.9663
2.540000 46.434 36.8818
2.580000 46.896 36.6924
2.620000 47.364 36.3896
2.650000 47.719 36.0945
2.690000 48.196 35.6211
2.720000 48.556 35.2137
2.760000 49.036 34.6114
2.800000 49.514 33.9541
2.850000 50.104 33.0758
2.900000 50.682 32.1593
2.950000 51.245 31.2222
3.000000 51.799 30.2076
3.040000 52.237 29.3384
3.070000 52.562 28.6588
3.110000 52.991 27.7229
3.150000 53.414 26.7612
3.200000 53.934 25.5363
3.250000 54.443 24.3024
3.300000 54.940 23.0767
3.350000 55.425 21.8359
3.400000 55.900 20.5626
3.450000 56.364 19.2674
3.500000 56.819 17.9609
3.550000 57.262 16.6536
3.600000 57.696 15.3561
3.650000 58.120 14.0791
3.700000 58.533 12.8218
3.750000 58.936 11.5651
3.820000 59.482 9.8144
3.870000 59.861 8.5765
3.950000 60.447 6.6311
4.000000 60.803 5.4448
4.060000 61.219 4.0551
4.120000 61.620 2.6872
4.180000 62.008 1.3442
4.250000 62.446 -0.1828
4.310000 62.810 -1.4502
4.370000 63.166 -2.6725
4.440000 63.569 -4.0377
4.500000 63.901 -5.1633
4.550000 64.171 -6.0702
4.620000 64.538 -7.2914
4.680000 64.844 -8.2924
4.750000 65.196 -9.4060
4.820000 65.541 -10.4569
4.870000 65.780 -11.1677
4.940000 66.107 -12.1127
5.000000 66.382 -12.8814
5.080000 66.745 -13.8558
5.150000 67.060 -14.6670
5.220000 67.371 -15.4216
5.300000 67.720 -16.2227
5.380000 68.066 -16.9803
5.450000 68.366 -17.6251
5.520000 68.665 -18.2653
5.600000 69.006 -18.9640
5.700000 69.429 -19.8012
5.800000 69.846 -20.6350
5.900000 70.255 -21.4994
6.000000 70.661 -22.3760
6.080000 70.981 -23.0864
6.150000 71.255 -23.7191
6.220000 71.522 -24.3660
6.300000 71.820 -25.1280
6.400000 72.182 -26.1091
6.500000 72.532 -27.1046
6.600000 72.865 -28.0962
6.700000 73.181 -29.0976
6.800000 73.482 -30.1048
6.900000 73.769 -31.0869
7.000000 74.041 -32.0184
7.100000 74.298 -32.9188
7.200000 74.541 -33.7793
7.300000 74.776 -34.5812
7.400000 75.004 -35.3110
7.500000 75.221 -35.9767
7.620000 75.476 -36.7063
7.750000 75.754 -37.4222
7.880000 76.029 -38.0383
8.000000 76.284 -38.5721
8.120000 76.545 -39.1189
8.250000 76.832 -39.6920
8.380000 77.120 -40.3002
8.500000 77.383 -40.9392
8.620000 77.647 -41.6333
8.750000 77.924 -42.4510
8.850000 78.126 -43.1358
9.000000 78.416 -44.2607
9.120000 78.633 -45.1957
9.250000 78.846 -46.2199
9.380000 79.039 -47.2736
9.500000 79.203 -48.2085
9.620000 79.352 -49.0783
9.750000 79.496 -49.9707
9.880000 79.634 -50.7751
10.000000 79.759 -51.4144
10.150000 79.909 -52.1027
10.300000 80.070 -52.7165
10.440000 80.232 -53.1957
10.600000 80.430 -53.7349
10.750000 80.633 -54.2991
10.900000 80.850 -54.9111
11.060000 81.082 -55.7218
11.200000 81.289 -56.5615
11.380000 81.539 -57.7891
11.500000 81.692 -58.7210
11.720000 81.940 -60.5352
11.800000 82.016 -61.1983
12.060000 82.217 -63.3392
12.200000 82.301 -64.3472
12.410000 82.405 -65.6739
12.500000 82.452 -66.1426
12.650000 82.528 -66.7808
12.800000 82.616 -67.3137
13.150000 82.913 -68.2746
13.200000 82.965 -68.4321
13.400000 83.202 -69.1048
13.600000 83.456 -70.0135
13.800000 83.719 -71.2373
14.000000 83.956 -72.7228
14.300000 84.244 -75.3537
14.500000 84.368 -77.1835
14.750000 84.460 -79.2583
15.000000 84.492 -80.9473
15.250000 84.507 -82.0356
15.500000 84.554 -82.6244
15.750000 84.660 -82.8369
16.000000 84.854 -82.9817
16.250000 85.109 -83.3839
16.500000 85.402 -84.1724
16.750000 85.689 -85.4684
17.000000 85.932 -87.1303
17.250000 86.119 -89.0221
17.500000 86.237 -90.9588
17.750000 86.301 -92.7185
18.000000 86.324 -94.2258
18.250000 86.324 -95.4031
18.500000 86.328 -96.2758
18.750000 86.347 -96.9154
19.000000 86.392 -97.3903
19.250000 86.462 -97.8190
19.500000 86.555 -98.2538
19.750000 86.666 -98.7381
20.000000 86.788 -99.3017
20.299999 86.943 -100.0905
20.600000 87.101 -101.0107
20.900000 87.257 -102.0644
21.200001 87.403 -103.2463
21.400000 87.491 -104.0915
21.799999 87.641 -105.8698
22.000000 87.701 -106.7713
22.400000 87.795 -108.5297
22.700001 87.847 -109.7674
23.000000 87.888 -110.9131
23.299999 87.924 -111.9689
23.600000 87.958 -112.9448
24.000000 88.004 -114.1443
24.299999 88.039 -114.9847
24.700001 88.087 -116.0426
25.000000 88.124 -116.7958
25.400000 88.173 -117.7506
25.799999 88.224 -118.6517
26.200001 88.277 -119.5084
26.500000 88.318 -120.1333
26.900000 88.376 -120.9607
27.200001 88.420 -121.5867
27.600000 88.476 -122.4301
28.000000 88.527 -123.2698
28.500000 88.588 -124.2902
29.000000 88.650 -125.2854
29.500000 88.715 -126.2998
30.000000 88.778 -127.3628
30.400000 88.821 -128.2281
30.700001 88.849 -128.8641
31.100000 88.884 -129.6747
31.500000 88.922 -130.4456
32.000000 88.976 -131.3925
32.500000 89.033 -132.3659
33.000000 89.085 -133.3592
33.500000 89.128 -134.3176
34.000000 89.168 -135.1949
34.500000 89.211 -136.0022
35.000000 89.261 -136.7880
35.500000 89.312 -137.5900
36.000000 89.355 -138.4017
36.500000 89.390 -139.1895
37.000000 89.418 -139.9271
37.500000 89.445 -140.6181
38.200001 89.482 -141.5525
38.700001 89.506 -142.2203
39.500000 89.536 -143.2790
40.000000 89.553 -143.9196
40.599998 89.574 -144.6755
41.200001 89.598 -145.4483
41.799999 89.620 -146.2516
42.500000 89.639 -147.1980
43.099998 89.651 -147.9782
43.700001 89.663 -148.7191
44.400002 89.681 -149.5537
45.000000 89.698 -150.2649
45.500000 89.712 -150.8605
46.200001 89.726 -151.6912
46.799999 89.734 -152.3863
47.500000 89.738 -153.1676
48.200001 89.737 -153.9192
48.700001 89.735 -154.4329
49.400002 89.731 -155.1003
50.000000 89.733 -155.6299
50.799999 89.752 -156.3590
51.500000 89.772 -157.0926
52.200001 89.781 -157.8837
53.000000 89.776 -158.7450
53.799999 89.767 -159.5179
54.500000 89.760 -160.1535
55.200001 89.752 -160.7664
56.000000 89.740 -161.4334
57.000000 89.725 -162.2417
58.000000 89.709 -163.0626
59.000000 89.688 -163.8919
60.000000 89.665 -164.7182
60.799999 89.647 -165.3643
61.500000 89.633 -165.9240
62.200001 89.618 -166.4854
63.000000 89.596 -167.0906
64.000000 89.570 -167.7479
65.000000 89.552 -168.3928
66.000000 89.526 -169.0394
67.000000 89.496 -169.6318
68.000000 89.467 -170.2248
69.000000 89.434 -170.8279
70.000000 89.400 -171.4283
71.000000 89.364 -172.0185
72.000000 89.328 -172.5865
73.000000 89.293 -173.1263
74.000000 89.259 -173.6378
75.000000 89.227 -174.1381
76.199997 89.184 -174.7342
77.500000 89.133 -175.3428
78.800003 89.080 -175.9198
80.000000 89.031 -176.4296
81.199997 88.983 -176.9256
82.500000 88.932 -177.4490
83.800003 88.880 -177.9592
85.000000 88.833 -178.4124
86.199997 88.783 -178.8466
87.500000 88.731 -179.2849
88.500000 88.690 -179.6095
90.000000 88.629 179.9222
91.199997 88.579 179.5580
92.500000 88.526 179.1874
93.800003 88.473 178.8260
95.000000 88.425 178.5084
96.199997 88.376 178.1945
97.500000 88.322 177.8861
98.800003 88.270 177.6027
100.000000 88.224 177.3536
101.500000 88.167 177.0276
103.000000 88.105 176.7155
104.400002 88.049 176.4480
106.000000 87.986 176.1566
107.500000 87.929 175.9028
109.000000 87.871 175.6586
110.599998 87.810 175.4304
112.000000 87.757 175.2394
113.800003 87.691 175.0170
115.000000 87.648 174.8742
117.199997 87.566 174.6285
118.000000 87.536 174.5529
120.599998 87.446 174.2968
122.000000 87.399 174.1789
124.099998 87.334 174.0129
125.000000 87.306 173.9408
126.500000 87.257 173.8304
128.000000 87.206 173.7279
131.500000 87.090 173.5427
132.000000 87.075 173.5195
134.000000 87.016 173.4307
136.000000 86.957 173.3582
138.000000 86.899 173.2880
140.000000 86.840 173.2312
143.000000 86.756 173.1831
145.000000 86.701 173.1315
147.500000 86.631 173.0461
150.000000 86.562 172.9972
152.500000 86.503 173.0374
155.000000 86.450 173.0754
157.500000 86.392 173.0965
160.000000 86.334 173.1243
162.500000 86.278 173.1648
165.000000 86.222 173.2232
167.500000 86.169 173.2903
170.000000 86.119 173.3453
172.500000 86.071 173.3951
175.000000 86.023 173.4470
177.500000 85.975 173.5026
180.000000 85.927 173.5735
182.500000 85.880 173.6580
185.000000 85.836 173.7470
187.500000 85.794 173.8362
190.000000 85.754 173.9265
192.500000 85.715 174.0208
195.000000 85.680 174.1180
197.500000 85.646 174.2205
200.000000 85.609 174.3190
203.000000 85.559 174.4381
206.000000 85.511 174.5694
209.000000 85.466 174.7108
212.000000 85.423 174.8422
214.000000 85.395 174.9208
218.000000 85.342 175.0891
220.000000 85.318 175.1859
224.000000 85.271 175.3818
227.000000 85.237 175.5242
230.000000 85.201 175.6692
233.000000 85.167 175.8181
236.000000 85.135 175.9658
240.000000 85.094 176.1562
243.000000 85.062 176.3129
247.000000 85.023 176.5602
250.000000 84.994 176.7353
254.000000 84.953 176.9224
258.000000 84.914 177.1196
262.000000 84.880 177.2961
265.000000 84.855 177.4169
269.000000 84.822 177.6132
272.000000 84.796 177.7795
276.000000 84.760 178.0068
280.000000 84.727 178.2332
285.000000 84.691 178.5002
290.000000 84.655 178.7612
295.000000 84.619 179.0138
300.000000 84.584 179.2584
304.000000 84.559 179.4760
