* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -27.6 dBFS, measurement signal peak level -23.8 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 16/06/2024 6:57:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.2472 ms (-85 mm, -3.34 in) using estimated IR delay relative to Acoustic reference on SPEAKER R with no timing offset
* Measurement: SplendorII DSP R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 42.549 102.8804
1.015000 42.586 101.2785
1.030000 42.627 99.7098
1.044000 42.669 98.2803
1.060000 42.722 96.6934
1.075000 42.777 95.2563
1.090000 42.837 93.8738
1.106000 42.907 92.4609
1.120000 42.974 91.2546
1.138000 43.067 89.7367
1.150000 43.133 88.7447
1.172000 43.262 86.9656
1.180000 43.312 86.3309
1.206000 43.481 84.3108
1.220000 43.577 83.2488
1.241000 43.727 81.6876
1.250000 43.793 81.0297
1.265000 43.906 79.9471
1.280000 44.021 78.8812
1.315000 44.299 76.4540
1.320000 44.340 76.1136
1.340000 44.504 74.7663
1.360000 44.670 73.4402
1.380000 44.837 72.1333
1.400000 45.005 70.8432
1.430000 45.257 68.9346
1.450000 45.425 67.6767
1.475000 45.632 66.1178
1.500000 45.843 64.5821
1.525000 46.061 63.0735
1.550000 46.283 61.5936
1.575000 46.510 60.1441
1.600000 46.740 58.7267
1.625000 46.973 57.3429
1.650000 47.208 55.9945
1.675000 47.444 54.6831
1.700000 47.682 53.4103
1.725000 47.919 52.1779
1.750000 48.156 50.9875
1.775000 48.391 49.8408
1.800000 48.624 48.7393
1.825000 48.855 47.6848
1.850000 49.083 46.6844
1.875000 49.312 45.7485
1.900000 49.541 44.8719
1.925000 49.771 44.0488
1.950000 50.000 43.2733
1.975000 50.230 42.5394
2.000000 50.459 41.8412
2.030000 50.733 41.0424
2.060000 51.006 40.2765
2.090000 51.277 39.5333
2.120000 51.546 38.8026
2.140000 51.724 38.3174
2.180000 52.077 37.3380
2.200000 52.251 36.8381
2.240000 52.597 35.8563
2.270000 52.855 35.1473
2.300000 53.111 34.4594
2.330000 53.365 33.7904
2.360000 53.617 33.1382
2.400000 53.950 32.2910
2.430000 54.198 31.6696
2.470000 54.525 30.8556
2.500000 54.768 30.2533
2.540000 55.089 29.4570
2.580000 55.405 28.6657
2.620000 55.717 27.8921
2.650000 55.949 27.3246
2.690000 56.255 26.5832
2.720000 56.483 26.0374
2.760000 56.782 25.3215
2.800000 57.078 24.6172
2.850000 57.442 23.7495
2.900000 57.801 22.8921
2.950000 58.153 22.0425
3.000000 58.500 21.2135
3.040000 58.772 20.5645
3.070000 58.974 20.0842
3.110000 59.240 19.4504
3.150000 59.503 18.8214
3.200000 59.826 18.0380
3.250000 60.143 17.2527
3.300000 60.455 16.4602
3.350000 60.761 15.6586
3.400000 61.061 14.8521
3.450000 61.355 14.0449
3.500000 61.644 13.2414
3.550000 61.928 12.4458
3.600000 62.207 11.6623
3.650000 62.481 10.8953
3.700000 62.751 10.1476
3.750000 63.015 9.4164
3.820000 63.376 8.4145
3.870000 63.628 7.7103
3.950000 64.023 6.5952
4.000000 64.265 5.9009
4.060000 64.550 5.0658
4.120000 64.828 4.2299
4.180000 65.100 3.3977
4.250000 65.411 2.4370
4.310000 65.671 1.6272
4.370000 65.928 0.8347
4.440000 66.221 -0.0636
4.500000 66.467 -0.8134
4.550000 66.668 -1.4263
4.620000 66.945 -2.2698
4.680000 67.178 -2.9825
4.750000 67.446 -3.8062
4.820000 67.709 -4.6228
4.870000 67.893 -5.1994
4.940000 68.147 -5.9969
5.000000 68.361 -6.6711
5.080000 68.642 -7.5562
5.150000 68.884 -8.3170
5.220000 69.122 -9.0629
5.300000 69.389 -9.8994
5.380000 69.652 -10.7226
5.450000 69.878 -11.4354
5.520000 70.102 -12.1434
5.600000 70.353 -12.9426
5.700000 70.662 -13.9278
5.800000 70.964 -14.9023
5.900000 71.261 -15.8703
6.000000 71.553 -16.8291
6.080000 71.782 -17.5900
6.150000 71.979 -18.2521
6.220000 72.174 -18.9115
6.300000 72.393 -19.6616
6.400000 72.662 -20.5928
6.500000 72.926 -21.5183
6.600000 73.184 -22.4393
6.700000 73.437 -23.3573
6.800000 73.684 -24.2709
6.900000 73.926 -25.1770
7.000000 74.163 -26.0734
7.100000 74.394 -26.9616
7.200000 74.620 -27.8411
7.300000 74.842 -28.7104
7.400000 75.059 -29.5688
7.500000 75.272 -30.4173
7.620000 75.522 -31.4210
7.750000 75.787 -32.4880
7.880000 76.045 -33.5334
8.000000 76.279 -34.4826
8.120000 76.510 -35.4192
8.250000 76.755 -36.4168
8.380000 76.996 -37.4034
8.500000 77.216 -38.3086
8.620000 77.432 -39.2056
8.750000 77.663 -40.1745
8.850000 77.838 -40.9215
9.000000 78.096 -42.0412
9.120000 78.298 -42.9385
9.250000 78.512 -43.9147
9.380000 78.722 -44.8943
9.500000 78.910 -45.7976
9.620000 79.093 -46.6997
9.750000 79.287 -47.6764
9.880000 79.474 -48.6443
10.000000 79.642 -49.5283
10.150000 79.845 -50.6214
10.300000 80.042 -51.6911
10.440000 80.220 -52.6679
10.600000 80.418 -53.7591
10.750000 80.600 -54.7549
10.900000 80.778 -55.7271
11.060000 80.966 -56.7459
11.200000 81.128 -57.6196
11.380000 81.333 -58.7337
11.500000 81.469 -59.4725
11.720000 81.713 -60.8245
11.800000 81.800 -61.3190
12.060000 82.078 -62.9314
12.200000 82.222 -63.8043
12.410000 82.430 -65.1161
12.500000 82.516 -65.6745
12.650000 82.655 -66.6032
12.800000 82.789 -67.5206
13.150000 83.084 -69.5973
13.200000 83.125 -69.8853
13.400000 83.283 -71.0138
13.600000 83.438 -72.1092
13.800000 83.590 -73.1710
14.000000 83.740 -74.2127
14.300000 83.962 -75.7463
14.500000 84.107 -76.7632
14.750000 84.285 -78.0348
15.000000 84.458 -79.3095
15.250000 84.624 -80.5844
15.500000 84.781 -81.8511
15.750000 84.932 -83.1044
16.000000 85.075 -84.3368
16.250000 85.212 -85.5461
16.500000 85.344 -86.7318
16.750000 85.471 -87.8942
17.000000 85.593 -89.0345
17.250000 85.710 -90.1528
17.500000 85.824 -91.2492
17.750000 85.934 -92.3239
18.000000 86.040 -93.3782
18.250000 86.144 -94.4133
18.500000 86.244 -95.4327
18.750000 86.342 -96.4377
19.000000 86.437 -97.4294
19.250000 86.528 -98.4070
19.500000 86.616 -99.3686
19.750000 86.700 -100.3128
20.000000 86.782 -101.2380
20.299999 86.878 -102.3260
20.600000 86.971 -103.3939
20.900000 87.061 -104.4476
21.200001 87.148 -105.4918
21.400000 87.203 -106.1825
21.799999 87.308 -107.5449
22.000000 87.357 -108.2127
22.400000 87.450 -109.5133
22.700001 87.515 -110.4564
23.000000 87.579 -111.3744
23.299999 87.640 -112.2721
23.600000 87.700 -113.1524
24.000000 87.777 -114.3000
24.299999 87.832 -115.1398
24.700001 87.903 -116.2318
25.000000 87.956 -117.0343
25.400000 88.024 -118.0918
25.799999 88.090 -119.1422
26.200001 88.151 -120.1812
26.500000 88.193 -120.9438
26.900000 88.245 -121.9283
27.200001 88.283 -122.6407
27.600000 88.332 -123.5632
28.000000 88.382 -124.4672
28.500000 88.440 -125.5790
29.000000 88.494 -126.6574
29.500000 88.546 -127.6898
30.000000 88.597 -128.6902
30.400000 88.638 -129.4850
30.700001 88.667 -130.0806
31.100000 88.701 -130.8637
31.500000 88.732 -131.6193
32.000000 88.769 -132.5158
32.500000 88.809 -133.3824
33.000000 88.851 -134.2579
33.500000 88.887 -135.1479
34.000000 88.917 -136.0191
34.500000 88.942 -136.8404
35.000000 88.969 -137.6182
35.500000 88.999 -138.3830
36.000000 89.028 -139.1500
36.500000 89.056 -139.9088
37.000000 89.082 -140.6488
37.500000 89.108 -141.3775
38.200001 89.142 -142.3952
38.700001 89.161 -143.1030
39.500000 89.189 -144.1589
40.000000 89.210 -144.7966
40.599998 89.235 -145.5811
41.200001 89.254 -146.3767
41.799999 89.266 -147.1422
42.500000 89.279 -147.9909
43.099998 89.290 -148.7123
43.700001 89.299 -149.4283
44.400002 89.307 -150.2293
45.000000 89.317 -150.8932
45.500000 89.327 -151.4522
46.200001 89.343 -152.2513
46.799999 89.356 -152.9426
47.500000 89.370 -153.7670
48.200001 89.376 -154.6134
48.700001 89.372 -155.1989
49.400002 89.359 -155.9349
50.000000 89.349 -156.4851
50.799999 89.341 -157.1454
51.500000 89.341 -157.6743
52.200001 89.350 -158.1956
53.000000 89.367 -158.8711
53.799999 89.372 -159.6252
54.500000 89.363 -160.2578
55.200001 89.353 -160.8411
56.000000 89.344 -161.5054
57.000000 89.324 -162.3488
58.000000 89.297 -163.1136
59.000000 89.278 -163.8381
60.000000 89.258 -164.6065
60.799999 89.235 -165.1956
61.500000 89.216 -165.6758
62.200001 89.200 -166.1550
63.000000 89.178 -166.7072
64.000000 89.147 -167.3556
65.000000 89.120 -167.9642
66.000000 89.093 -168.5720
67.000000 89.064 -169.1711
68.000000 89.033 -169.7497
69.000000 89.000 -170.3115
70.000000 88.964 -170.8600
71.000000 88.927 -171.3894
72.000000 88.889 -171.8886
73.000000 88.853 -172.3679
74.000000 88.818 -172.8404
75.000000 88.783 -173.3012
76.199997 88.739 -173.8345
77.500000 88.688 -174.3827
78.800003 88.635 -174.8956
80.000000 88.588 -175.3436
81.199997 88.540 -175.7964
82.500000 88.485 -176.2719
83.800003 88.431 -176.7053
85.000000 88.383 -177.0915
86.199997 88.333 -177.4583
87.500000 88.278 -177.8238
88.500000 88.236 -178.0891
90.000000 88.174 -178.4729
91.199997 88.123 -178.7682
92.500000 88.068 -179.0741
93.800003 88.014 -179.3652
95.000000 87.963 -179.6190
96.199997 87.913 -179.8577
97.500000 87.858 179.8958
98.800003 87.803 179.6627
100.000000 87.753 179.4678
101.500000 87.692 179.2432
103.000000 87.632 179.0372
104.400002 87.579 178.8565
106.000000 87.517 178.6465
107.500000 87.457 178.4760
109.000000 87.399 178.3289
110.599998 87.340 178.1794
112.000000 87.287 178.0552
113.800003 87.217 177.9226
115.000000 87.172 177.8556
117.199997 87.094 177.7287
118.000000 87.065 177.6913
120.599998 86.977 177.6117
122.000000 86.930 177.5670
124.099998 86.857 177.5142
125.000000 86.827 177.5024
126.500000 86.779 177.4830
128.000000 86.733 177.4594
131.500000 86.627 177.4431
132.000000 86.611 177.4439
134.000000 86.548 177.4600
136.000000 86.486 177.4963
138.000000 86.430 177.5442
140.000000 86.374 177.6003
143.000000 86.291 177.7150
145.000000 86.240 177.7816
147.500000 86.185 177.8637
150.000000 86.130 177.9514
152.500000 86.058 178.1334
155.000000 85.988 178.3351
157.500000 85.925 178.4937
160.000000 85.871 178.6497
162.500000 85.818 178.8281
165.000000 85.764 179.0230
167.500000 85.711 179.2192
170.000000 85.661 179.4213
172.500000 85.613 179.6278
175.000000 85.566 179.8387
177.500000 85.520 -179.9459
180.000000 85.475 -179.7258
182.500000 85.431 -179.5068
185.000000 85.388 -179.2917
187.500000 85.346 -179.0617
190.000000 85.306 -178.8112
192.500000 85.266 -178.5610
195.000000 85.225 -178.3173
197.500000 85.184 -178.0665
200.000000 85.147 -177.8092
203.000000 85.107 -177.5147
206.000000 85.068 -177.2187
209.000000 85.029 -176.9061
212.000000 84.989 -176.5945
214.000000 84.963 -176.3880
218.000000 84.915 -175.9700
220.000000 84.891 -175.7582
224.000000 84.843 -175.3218
227.000000 84.809 -174.9913
230.000000 84.777 -174.6584
233.000000 84.746 -174.3233
236.000000 84.714 -173.9844
240.000000 84.673 -173.5240
243.000000 84.644 -173.1821
247.000000 84.603 -172.7578
250.000000 84.573 -172.4390
254.000000 84.541 -171.9682
258.000000 84.511 -171.4893
262.000000 84.484 -171.0179
265.000000 84.464 -170.6646
269.000000 84.433 -170.1967
272.000000 84.411 -169.8517
276.000000 84.386 -169.3971
280.000000 84.363 -168.9379
285.000000 84.334 -168.3763
290.000000 84.305 -167.8446
