* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -25.3 dBFS, measurement signal peak level -21.2 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 16/06/2024 6:50:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0481 ms (-17 mm, -0.65 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: SplendorII L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 42.969 122.8863
1.015000 43.021 121.8563
1.030000 43.076 120.8477
1.044000 43.128 119.9287
1.060000 43.189 118.9082
1.075000 43.249 117.9835
1.090000 43.310 117.0934
1.106000 43.378 116.1837
1.120000 43.439 115.4128
1.138000 43.519 114.4514
1.150000 43.575 113.8279
1.172000 43.679 112.7182
1.180000 43.718 112.3246
1.206000 43.848 111.0783
1.220000 43.920 110.4261
1.241000 44.031 109.4691
1.250000 44.079 109.0659
1.265000 44.161 108.4021
1.280000 44.244 107.7469
1.315000 44.443 106.2440
1.320000 44.472 106.0314
1.340000 44.590 105.1841
1.360000 44.710 104.3390
1.380000 44.832 103.4924
1.400000 44.955 102.6409
1.430000 45.144 101.3463
1.450000 45.272 100.4666
1.475000 45.435 99.3433
1.500000 45.602 98.2036
1.525000 45.774 97.0538
1.550000 45.950 95.8975
1.575000 46.130 94.7384
1.600000 46.314 93.5801
1.625000 46.501 92.4264
1.650000 46.690 91.2809
1.675000 46.882 90.1473
1.700000 47.075 89.0293
1.725000 47.270 87.9305
1.750000 47.466 86.8547
1.775000 47.662 85.8055
1.800000 47.859 84.7865
1.825000 48.055 83.8015
1.850000 48.251 82.8527
1.875000 48.450 81.9365
1.900000 48.651 81.0500
1.925000 48.853 80.1904
1.950000 49.058 79.3546
1.975000 49.263 78.5397
2.000000 49.469 77.7428
2.030000 49.718 76.8063
2.060000 49.967 75.8864
2.090000 50.216 74.9781
2.120000 50.464 74.0765
2.140000 50.628 73.4766
2.180000 50.955 72.2728
2.200000 51.118 71.6660
2.240000 51.442 70.4596
2.270000 51.685 69.5667
2.300000 51.928 68.6836
2.330000 52.172 67.8098
2.360000 52.414 66.9449
2.400000 52.736 65.8049
2.430000 52.977 64.9593
2.470000 53.295 63.8436
2.500000 53.531 63.0150
2.540000 53.843 61.9205
2.580000 54.151 60.8372
2.620000 54.456 59.7670
2.650000 54.684 58.9733
2.690000 54.985 57.9267
2.720000 55.208 57.1504
2.760000 55.504 56.1268
2.800000 55.797 55.1159
2.850000 56.158 53.8699
2.900000 56.513 52.6430
2.950000 56.862 51.4358
3.000000 57.206 50.2540
3.040000 57.477 49.3259
3.070000 57.678 48.6384
3.110000 57.943 47.7318
3.150000 58.204 46.8348
3.200000 58.526 45.7239
3.250000 58.843 44.6208
3.300000 59.155 43.5216
3.350000 59.461 42.4244
3.400000 59.762 41.3322
3.450000 60.057 40.2486
3.500000 60.347 39.1772
3.550000 60.632 38.1216
3.600000 60.912 37.0854
3.650000 61.189 36.0721
3.700000 61.460 35.0847
3.750000 61.727 34.1214
3.820000 62.092 32.8072
3.870000 62.348 31.8886
3.950000 62.749 30.4445
4.000000 62.995 29.5529
4.060000 63.286 28.4899
4.120000 63.570 27.4381
4.180000 63.850 26.4005
4.250000 64.169 25.2110
4.310000 64.437 24.2118
4.370000 64.702 23.2340
4.440000 65.006 22.1235
4.500000 65.262 21.1987
4.550000 65.472 20.4441
4.620000 65.760 19.4079
4.680000 66.004 18.5341
4.750000 66.285 17.5259
4.820000 66.561 16.5290
4.870000 66.755 15.8272
4.940000 67.023 14.8587
5.000000 67.249 14.0408
5.080000 67.546 12.9667
5.150000 67.802 12.0416
5.220000 68.054 11.1331
5.300000 68.337 10.1135
5.380000 68.615 9.1106
5.450000 68.854 8.2436
5.520000 69.090 7.3845
5.600000 69.355 6.4152
5.700000 69.680 5.2224
5.800000 69.998 4.0485
5.900000 70.309 2.8914
6.000000 70.612 1.7517
6.080000 70.851 0.8530
6.150000 71.056 0.0763
6.220000 71.258 -0.6913
6.300000 71.485 -1.5570
6.400000 71.764 -2.6219
6.500000 72.036 -3.6690
6.600000 72.303 -4.6998
6.700000 72.565 -5.7138
6.800000 72.821 -6.7109
6.900000 73.073 -7.6919
7.000000 73.321 -8.6572
7.100000 73.563 -9.6047
7.200000 73.802 -10.5372
7.300000 74.037 -11.4581
7.400000 74.268 -12.3688
7.500000 74.495 -13.2672
7.620000 74.763 -14.3322
7.750000 75.047 -15.4740
7.880000 75.325 -16.6012
8.000000 75.577 -17.6314
8.120000 75.824 -18.6544
8.250000 76.085 -19.7538
8.380000 76.340 -20.8430
8.500000 76.570 -21.8395
8.620000 76.795 -22.8279
8.750000 77.033 -23.8868
8.850000 77.212 -24.6917
9.000000 77.474 -25.8849
9.120000 77.678 -26.8251
9.250000 77.895 -27.8274
9.380000 78.106 -28.8138
9.500000 78.297 -29.7105
9.620000 78.485 -30.5932
9.750000 78.685 -31.5339
9.880000 78.882 -32.4622
10.000000 79.060 -33.3086
10.150000 79.280 -34.3523
10.300000 79.495 -35.3867
10.440000 79.693 -36.3433
10.600000 79.914 -37.4284
10.750000 80.117 -38.4411
10.900000 80.316 -39.4479
11.060000 80.523 -40.5144
11.200000 80.700 -41.4421
11.380000 80.921 -42.6217
11.500000 81.064 -43.3994
11.720000 81.320 -44.8039
11.800000 81.411 -45.3062
12.060000 81.699 -46.9094
12.200000 81.851 -47.7534
12.410000 82.073 -48.9960
12.500000 82.168 -49.5225
12.650000 82.323 -50.3899
12.800000 82.476 -51.2500
13.150000 82.825 -53.2394
13.200000 82.874 -53.5223
13.400000 83.066 -54.6522
13.600000 83.252 -55.7760
13.800000 83.433 -56.8938
14.000000 83.608 -57.9979
14.300000 83.860 -59.6236
14.500000 84.021 -60.6803
14.750000 84.218 -61.9711
15.000000 84.409 -63.2297
15.250000 84.597 -64.4647
15.500000 84.780 -65.6849
15.750000 84.959 -66.8947
16.000000 85.132 -68.0985
16.250000 85.299 -69.2909
16.500000 85.459 -70.4674
16.750000 85.613 -71.6203
17.000000 85.762 -72.7445
17.250000 85.906 -73.8408
17.500000 86.047 -74.9109
17.750000 86.187 -75.9640
18.000000 86.323 -77.0052
18.250000 86.457 -78.0401
18.500000 86.587 -79.0701
18.750000 86.713 -80.0924
19.000000 86.835 -81.1040
19.250000 86.952 -82.0994
19.500000 87.066 -83.0774
19.750000 87.178 -84.0377
20.000000 87.286 -84.9832
20.299999 87.414 -86.1022
20.600000 87.538 -87.2069
20.900000 87.658 -88.2971
21.200001 87.774 -89.3695
21.400000 87.850 -90.0727
21.799999 87.998 -91.4530
22.000000 88.070 -92.1325
22.400000 88.212 -93.4787
22.700001 88.315 -94.4811
23.000000 88.413 -95.4751
23.299999 88.507 -96.4520
23.600000 88.597 -97.4046
24.000000 88.714 -98.6338
24.299999 88.800 -99.5335
24.700001 88.914 -100.7229
25.000000 88.996 -101.6161
25.400000 89.097 -102.8005
25.799999 89.189 -103.9429
26.200001 89.275 -105.0097
26.500000 89.341 -105.7624
26.900000 89.436 -106.7370
27.200001 89.512 -107.4826
27.600000 89.613 -108.5319
28.000000 89.705 -109.6409
28.500000 89.800 -111.0345
29.000000 89.878 -112.3357
29.500000 89.954 -113.5266
30.000000 90.035 -114.6730
30.400000 90.102 -115.5989
30.700001 90.150 -116.3000
31.100000 90.210 -117.2280
31.500000 90.266 -118.1345
32.000000 90.334 -119.2368
32.500000 90.399 -120.3201
33.000000 90.460 -121.3826
33.500000 90.515 -122.4000
34.000000 90.570 -123.3614
34.500000 90.628 -124.2935
35.000000 90.688 -125.2318
35.500000 90.744 -126.1845
36.000000 90.794 -127.1283
36.500000 90.839 -128.0412
37.000000 90.883 -128.9252
37.500000 90.926 -129.7960
38.200001 90.982 -131.0052
38.700001 91.018 -131.8522
39.500000 91.071 -133.1619
40.000000 91.103 -133.9559
40.599998 91.140 -134.8902
41.200001 91.176 -135.8072
41.799999 91.211 -136.7098
42.500000 91.250 -137.7465
43.099998 91.279 -138.6174
43.700001 91.306 -139.4648
44.400002 91.336 -140.4189
45.000000 91.360 -141.2143
45.500000 91.380 -141.8720
46.200001 91.405 -142.7883
46.799999 91.421 -143.5534
47.500000 91.439 -144.4076
48.200001 91.459 -145.2483
48.700001 91.473 -145.8546
49.400002 91.486 -146.6866
50.000000 91.498 -147.3566
50.799999 91.522 -148.2346
51.500000 91.545 -149.0579
52.200001 91.559 -149.9033
53.000000 91.565 -150.8075
53.799999 91.573 -151.6541
54.500000 91.580 -152.3871
55.200001 91.583 -153.1028
56.000000 91.585 -153.8807
57.000000 91.588 -154.8104
58.000000 91.592 -155.7127
59.000000 91.598 -156.6108
60.000000 91.602 -157.5229
60.799999 91.601 -158.2443
61.500000 91.597 -158.8590
62.200001 91.593 -159.4588
63.000000 91.586 -160.1181
64.000000 91.579 -160.8971
65.000000 91.573 -161.6619
66.000000 91.565 -162.4179
67.000000 91.555 -163.1532
68.000000 91.543 -163.8770
69.000000 91.528 -164.5751
70.000000 91.514 -165.2582
71.000000 91.501 -165.9461
72.000000 91.485 -166.6240
73.000000 91.470 -167.2873
74.000000 91.454 -167.9396
75.000000 91.437 -168.5733
76.199997 91.414 -169.3001
77.500000 91.389 -170.0455
78.800003 91.364 -170.7769
80.000000 91.338 -171.4447
81.199997 91.311 -172.0880
82.500000 91.282 -172.7739
83.800003 91.253 -173.4475
85.000000 91.227 -174.0578
86.199997 91.199 -174.6539
87.500000 91.167 -175.2778
88.500000 91.142 -175.7389
90.000000 91.105 -176.4118
91.199997 91.074 -176.9440
92.500000 91.039 -177.5083
93.800003 91.004 -178.0589
95.000000 90.972 -178.5546
96.199997 90.939 -179.0356
97.500000 90.903 -179.5374
98.800003 90.867 179.9818
100.000000 90.836 179.5379
101.500000 90.794 178.9755
103.000000 90.747 178.4433
104.400002 90.705 177.9773
106.000000 90.660 177.4398
107.500000 90.615 176.9505
109.000000 90.570 176.4952
110.599998 90.527 176.0109
112.000000 90.486 175.5774
113.800003 90.431 175.0632
115.000000 90.397 174.7373
117.199997 90.334 174.1395
118.000000 90.310 173.9290
120.599998 90.232 173.2754
122.000000 90.190 172.9408
124.099998 90.125 172.4426
125.000000 90.097 172.2300
126.500000 90.050 171.8800
128.000000 90.004 171.5414
131.500000 89.904 170.8060
132.000000 89.890 170.7017
134.000000 89.830 170.2932
136.000000 89.766 169.9226
138.000000 89.704 169.5724
140.000000 89.644 169.2223
143.000000 89.557 168.7220
145.000000 89.498 168.4220
147.500000 89.417 168.0767
150.000000 89.339 167.7563
152.500000 89.271 167.3806
155.000000 89.201 167.0165
157.500000 89.130 166.7051
160.000000 89.058 166.4118
162.500000 88.985 166.1258
165.000000 88.913 165.8636
167.500000 88.842 165.6201
170.000000 88.772 165.3809
172.500000 88.702 165.1447
175.000000 88.633 164.9248
177.500000 88.565 164.7283
180.000000 88.497 164.5511
182.500000 88.429 164.3875
185.000000 88.361 164.2297
187.500000 88.294 164.0712
190.000000 88.229 163.9109
192.500000 88.165 163.7646
195.000000 88.101 163.6370
197.500000 88.035 163.5222
200.000000 87.969 163.4178
203.000000 87.894 163.2952
206.000000 87.821 163.1791
209.000000 87.746 163.0967
212.000000 87.672 163.0256
214.000000 87.623 162.9768
218.000000 87.528 162.8861
220.000000 87.482 162.8468
224.000000 87.389 162.7883
227.000000 87.320 162.7542
230.000000 87.251 162.7211
233.000000 87.182 162.7014
236.000000 87.115 162.7000
240.000000 87.028 162.7039
243.000000 86.963 162.7004
247.000000 86.875 162.6882
250.000000 86.810 162.7068
254.000000 86.727 162.7920
258.000000 86.645 162.8720
262.000000 86.565 162.9433
265.000000 86.506 163.0023
269.000000 86.426 163.0899
272.000000 86.366 163.1620
276.000000 86.289 163.2670
280.000000 86.214 163.3809
285.000000 86.122 163.5352
290.000000 86.031 163.7068
295.000000 85.943 163.8952
300.000000 85.858 164.0926
304.000000 85.789 164.2528
307.000000 85.738 164.3767
311.000000 85.672 164.5480
