* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -25.1 dBFS, measurement signal peak level -21.3 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 16/06/2024 6:52:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0444 ms (-15 mm, -0.6 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: SplendorII R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 41.589 128.2486
1.015000 41.634 127.2910
1.030000 41.681 126.3517
1.044000 41.728 125.4940
1.060000 41.784 124.5394
1.075000 41.840 123.6722
1.090000 41.899 122.8348
1.106000 41.965 121.9760
1.120000 42.026 121.2459
1.138000 42.107 120.3321
1.150000 42.163 119.7375
1.172000 42.271 118.6752
1.180000 42.312 118.2972
1.206000 42.448 117.0959
1.220000 42.525 116.4646
1.241000 42.643 115.5353
1.250000 42.695 115.1427
1.265000 42.783 114.4949
1.280000 42.874 113.8541
1.315000 43.092 112.3789
1.320000 43.124 112.1698
1.340000 43.254 111.3352
1.360000 43.387 110.5015
1.380000 43.522 109.6657
1.400000 43.660 108.8246
1.430000 43.872 107.5463
1.450000 44.015 106.6786
1.475000 44.198 105.5721
1.500000 44.387 104.4494
1.525000 44.583 103.3157
1.550000 44.785 102.1745
1.575000 44.992 101.0291
1.600000 45.205 99.8829
1.625000 45.421 98.7392
1.650000 45.641 97.6014
1.675000 45.864 96.4728
1.700000 46.089 95.3569
1.725000 46.316 94.2569
1.750000 46.543 93.1763
1.775000 46.771 92.1184
1.800000 46.999 91.0866
1.825000 47.225 90.0842
1.850000 47.451 89.1129
1.875000 47.681 88.1691
1.900000 47.913 87.2503
1.925000 48.148 86.3539
1.950000 48.384 85.4775
1.975000 48.622 84.6187
2.000000 48.860 83.7748
2.030000 49.147 82.7785
2.060000 49.434 81.7960
2.090000 49.721 80.8229
2.120000 50.005 79.8551
2.140000 50.194 79.2107
2.180000 50.567 77.9181
2.200000 50.750 77.2674
2.240000 51.117 75.9701
2.270000 51.391 75.0055
2.300000 51.665 74.0482
2.330000 51.937 73.0981
2.360000 52.208 72.1554
2.400000 52.567 70.9100
2.430000 52.834 69.9847
2.470000 53.187 68.7626
2.500000 53.448 67.8549
2.540000 53.791 66.6565
2.580000 54.128 65.4717
2.620000 54.461 64.2993
2.650000 54.708 63.4283
2.690000 55.034 62.2783
2.720000 55.275 61.4246
2.760000 55.593 60.2985
2.800000 55.906 59.1867
2.850000 56.292 57.8177
2.900000 56.670 56.4727
2.950000 57.040 55.1531
3.000000 57.402 53.8619
3.040000 57.687 52.8481
3.070000 57.897 52.0980
3.110000 58.174 51.1100
3.150000 58.446 50.1345
3.200000 58.780 48.9304
3.250000 59.109 47.7402
3.300000 59.431 46.5608
3.350000 59.748 45.3909
3.400000 60.057 44.2327
3.450000 60.359 43.0891
3.500000 60.656 41.9629
3.550000 60.947 40.8569
3.600000 61.233 39.7738
3.650000 61.515 38.7166
3.700000 61.793 37.6882
3.750000 62.065 36.6887
3.820000 62.436 35.3307
3.870000 62.696 34.3849
3.950000 63.104 32.9026
4.000000 63.354 31.9896
4.060000 63.650 30.9030
4.120000 63.941 29.8333
4.180000 64.225 28.7822
4.250000 64.551 27.5794
4.310000 64.826 26.5688
4.370000 65.096 25.5772
4.440000 65.408 24.4469
4.500000 65.670 23.5045
4.550000 65.885 22.7348
4.620000 66.182 21.6756
4.680000 66.432 20.7798
4.750000 66.720 19.7421
4.820000 67.003 18.7112
4.870000 67.202 17.9831
4.940000 67.477 16.9747
5.000000 67.709 16.1200
5.080000 68.012 14.9932
5.150000 68.274 14.0185
5.220000 68.530 13.0556
5.300000 68.817 11.9692
5.380000 69.099 10.8968
5.450000 69.340 9.9689
5.520000 69.577 9.0501
5.600000 69.843 8.0106
5.700000 70.166 6.7292
5.800000 70.481 5.4707
5.900000 70.788 4.2374
6.000000 71.086 3.0270
6.080000 71.319 2.0761
6.150000 71.519 1.2582
6.220000 71.717 0.4545
6.300000 71.938 -0.4459
6.400000 72.209 -1.5456
6.500000 72.474 -2.6191
6.600000 72.734 -3.6694
6.700000 72.990 -4.6938
6.800000 73.241 -5.6933
6.900000 73.489 -6.6735
7.000000 73.734 -7.6385
7.100000 73.975 -8.5825
7.200000 74.213 -9.5108
7.300000 74.449 -10.4320
7.400000 74.682 -11.3496
7.500000 74.912 -12.2584
7.620000 75.183 -13.3436
7.750000 75.472 -14.5203
7.880000 75.755 -15.6960
8.000000 76.011 -16.7796
8.120000 76.260 -17.8625
8.250000 76.523 -19.0368
8.380000 76.778 -20.2038
8.500000 77.007 -21.2694
8.620000 77.228 -22.3278
8.750000 77.462 -23.4570
8.850000 77.637 -24.3080
9.000000 77.892 -25.5608
9.120000 78.090 -26.5392
9.250000 78.301 -27.5710
9.380000 78.507 -28.5753
9.500000 78.695 -29.4829
9.620000 78.881 -30.3719
9.750000 79.081 -31.3132
9.880000 79.278 -32.2446
10.000000 79.459 -33.0983
10.150000 79.684 -34.1556
10.300000 79.905 -35.2182
10.440000 80.109 -36.2149
10.600000 80.337 -37.3604
10.750000 80.545 -38.4458
10.900000 80.748 -39.5381
11.060000 80.956 -40.7000
11.200000 81.131 -41.7174
11.380000 81.347 -43.0048
11.500000 81.485 -43.8479
11.720000 81.729 -45.3525
11.800000 81.814 -45.8810
12.060000 82.085 -47.5377
12.200000 82.228 -48.3885
12.410000 82.439 -49.6167
12.500000 82.530 -50.1325
12.650000 82.682 -50.9732
12.800000 82.833 -51.8051
13.150000 83.187 -53.7468
13.200000 83.237 -54.0273
13.400000 83.435 -55.1596
13.600000 83.628 -56.3065
13.800000 83.815 -57.4704
14.000000 83.993 -58.6341
14.300000 84.245 -60.3672
14.500000 84.403 -61.4947
14.750000 84.591 -62.8608
15.000000 84.772 -64.1745
15.250000 84.949 -65.4384
15.500000 85.122 -66.6661
15.750000 85.293 -67.8665
16.000000 85.461 -69.0530
16.250000 85.626 -70.2301
16.500000 85.785 -71.3982
16.750000 85.940 -72.5553
17.000000 86.089 -73.6956
17.250000 86.233 -74.8174
17.500000 86.373 -75.9183
17.750000 86.510 -77.0006
18.000000 86.643 -78.0664
18.250000 86.773 -79.1183
18.500000 86.900 -80.1588
18.750000 87.024 -81.1883
19.000000 87.144 -82.2072
19.250000 87.261 -83.2150
19.500000 87.375 -84.2117
19.750000 87.485 -85.1970
20.000000 87.592 -86.1712
20.299999 87.716 -87.3244
20.600000 87.835 -88.4587
20.900000 87.950 -89.5713
21.200001 88.060 -90.6596
21.400000 88.132 -91.3713
21.799999 88.273 -92.7649
22.000000 88.342 -93.4491
22.400000 88.476 -94.7986
22.700001 88.574 -95.7975
23.000000 88.668 -96.7853
23.299999 88.759 -97.7598
23.600000 88.847 -98.7188
24.000000 88.960 -99.9720
24.299999 89.042 -100.8942
24.700001 89.147 -102.1037
25.000000 89.222 -102.9971
25.400000 89.319 -104.1680
25.799999 89.410 -105.3107
26.200001 89.498 -106.4227
26.500000 89.563 -107.2394
26.900000 89.647 -108.3122
27.200001 89.709 -109.1099
27.600000 89.788 -110.1669
28.000000 89.862 -111.2116
28.500000 89.949 -112.4859
29.000000 90.032 -113.7134
29.500000 90.113 -114.8989
30.000000 90.195 -116.0616
30.400000 90.260 -116.9884
30.700001 90.307 -117.6850
31.100000 90.368 -118.6144
31.500000 90.425 -119.5375
32.000000 90.489 -120.6646
32.500000 90.548 -121.7435
33.000000 90.606 -122.7722
33.500000 90.665 -123.7689
34.000000 90.725 -124.7562
34.500000 90.781 -125.7404
35.000000 90.832 -126.7109
35.500000 90.879 -127.6560
36.000000 90.923 -128.5759
36.500000 90.964 -129.4766
37.000000 91.001 -130.3585
37.500000 91.036 -131.2160
38.200001 91.083 -132.3763
38.700001 91.118 -133.1898
39.500000 91.171 -134.4944
40.000000 91.202 -135.3127
40.599998 91.234 -136.2823
41.200001 91.263 -137.2153
41.799999 91.292 -138.1038
42.500000 91.329 -139.1071
43.099998 91.361 -139.9597
43.700001 91.392 -140.8011
44.400002 91.426 -141.7632
45.000000 91.451 -142.5768
45.500000 91.467 -143.2380
46.200001 91.485 -144.1141
46.799999 91.499 -144.8292
47.500000 91.512 -145.6537
48.200001 91.519 -146.4257
48.700001 91.526 -146.9188
49.400002 91.553 -147.5999
50.000000 91.586 -148.2869
50.799999 91.615 -149.3623
51.500000 91.617 -150.3008
52.200001 91.609 -151.1340
53.000000 91.604 -151.9713
53.799999 91.608 -152.7524
54.500000 91.618 -153.4302
55.200001 91.628 -154.1101
56.000000 91.637 -154.8840
57.000000 91.644 -155.8451
58.000000 91.642 -156.7755
59.000000 91.636 -157.6714
60.000000 91.626 -158.5400
60.799999 91.617 -159.2107
61.500000 91.610 -159.7783
62.200001 91.605 -160.3274
63.000000 91.603 -160.9508
64.000000 91.603 -161.7609
65.000000 91.594 -162.5821
66.000000 91.577 -163.3466
67.000000 91.562 -164.0485
68.000000 91.551 -164.7443
69.000000 91.537 -165.4400
70.000000 91.523 -166.1197
71.000000 91.508 -166.7911
72.000000 91.492 -167.4493
73.000000 91.474 -168.0845
74.000000 91.456 -168.6984
75.000000 91.438 -169.2980
76.199997 91.414 -169.9966
77.500000 91.388 -170.7325
78.800003 91.360 -171.4512
80.000000 91.333 -172.0908
81.199997 91.307 -172.7193
82.500000 91.278 -173.4019
83.800003 91.244 -174.0580
85.000000 91.214 -174.6380
86.199997 91.184 -175.2069
87.500000 91.152 -175.8159
88.500000 91.126 -176.2690
90.000000 91.088 -176.9235
91.199997 91.058 -177.4382
92.500000 91.023 -177.9802
93.800003 90.988 -178.5118
95.000000 90.954 -178.9924
96.199997 90.920 -179.4626
97.500000 90.883 -179.9623
98.800003 90.847 179.5457
100.000000 90.811 179.1053
101.500000 90.767 178.5914
103.000000 90.725 178.1009
104.400002 90.685 177.6544
106.000000 90.639 177.1494
107.500000 90.595 176.6823
109.000000 90.551 176.2259
110.599998 90.504 175.7546
112.000000 90.463 175.3607
113.800003 90.411 174.8717
115.000000 90.375 174.5516
117.199997 90.310 173.9816
118.000000 90.286 173.7776
120.599998 90.207 173.1308
122.000000 90.165 172.8085
124.099998 90.103 172.3417
125.000000 90.076 172.1434
126.500000 90.030 171.8177
128.000000 89.983 171.5096
131.500000 89.876 170.8282
132.000000 89.861 170.7342
134.000000 89.800 170.3624
136.000000 89.738 170.0036
138.000000 89.678 169.6578
140.000000 89.620 169.3223
143.000000 89.531 168.8550
145.000000 89.469 168.5580
147.500000 89.392 168.1528
150.000000 89.313 167.7736
152.500000 89.243 167.5022
155.000000 89.178 167.2412
157.500000 89.109 166.9731
160.000000 89.039 166.7052
162.500000 88.969 166.4452
165.000000 88.899 166.2006
167.500000 88.827 165.9492
170.000000 88.756 165.7242
172.500000 88.689 165.5397
175.000000 88.623 165.3553
177.500000 88.552 165.1705
180.000000 88.484 164.9887
182.500000 88.420 164.7964
185.000000 88.351 164.6039
187.500000 88.278 164.4673
190.000000 88.208 164.3668
192.500000 88.145 164.2888
195.000000 88.092 164.2169
197.500000 88.038 164.1089
200.000000 87.980 163.9787
203.000000 87.908 163.8739
206.000000 87.834 163.8591
209.000000 87.758 163.8000
212.000000 87.684 163.6675
214.000000 87.637 163.5902
218.000000 87.540 163.5465
220.000000 87.494 163.5567
224.000000 87.407 163.5571
227.000000 87.345 163.5542
230.000000 87.295 163.5091
233.000000 87.253 163.4560
236.000000 87.195 163.5150
240.000000 87.085 163.6582
243.000000 86.995 163.7263
247.000000 86.891 163.7847
250.000000 86.828 163.7664
254.000000 86.764 163.7004
258.000000 86.695 163.7478
262.000000 86.610 163.8806
265.000000 86.549 163.9728
269.000000 86.472 164.0980
272.000000 86.415 164.1937
276.000000 86.341 164.3130
280.000000 86.270 164.4452
285.000000 86.180 164.6331
290.000000 86.093 164.8552
295.000000 86.010 165.0525
300.000000 85.925 165.2624
304.000000 85.861 165.4360
307.000000 85.816 165.5597
311.000000 85.757 165.7382
