* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -32.1 dBFS, measurement signal peak level -16.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 08/07/2024 12:13:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0376 ms (-13 mm, -0.51 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: Supermix 4 75ohm L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 53.229 122.4047
1.015000 53.673 119.1181
1.030000 54.108 115.9745
1.044000 54.504 113.1822
1.060000 54.943 110.1743
1.075000 55.340 107.5472
1.090000 55.720 105.1218
1.106000 56.107 102.7718
1.120000 56.439 100.9125
1.138000 56.861 98.7730
1.150000 57.139 97.4928
1.172000 57.641 95.4229
1.180000 57.821 94.7523
1.206000 58.399 92.8419
1.220000 58.705 91.9655
1.241000 59.157 90.8201
1.250000 59.348 90.3835
1.265000 59.664 89.7170
1.280000 59.977 89.1152
1.315000 60.690 87.8856
1.320000 60.791 87.7224
1.340000 61.188 87.0808
1.360000 61.579 86.4323
1.380000 61.963 85.7445
1.400000 62.342 84.9848
1.430000 62.899 83.6395
1.450000 63.263 82.5580
1.475000 63.709 80.9620
1.500000 64.144 79.2452
1.525000 64.566 77.4616
1.550000 64.976 75.6252
1.575000 65.375 73.7501
1.600000 65.764 71.8506
1.625000 66.144 69.9408
1.650000 66.515 68.0347
1.675000 66.877 66.1465
1.700000 67.233 64.2905
1.725000 67.582 62.4806
1.750000 67.925 60.7311
1.775000 68.263 59.0561
1.800000 68.597 57.4697
1.825000 68.927 55.9860
1.850000 69.253 54.6115
1.875000 69.571 53.3294
1.900000 69.881 52.1292
1.925000 70.184 51.0013
1.950000 70.481 49.9357
1.975000 70.771 48.9227
2.000000 71.055 47.9522
2.030000 71.389 46.8303
2.060000 71.715 45.7387
2.090000 72.035 44.6604
2.120000 72.350 43.5784
2.140000 72.557 42.8466
2.180000 72.964 41.3355
2.200000 73.166 40.5463
2.240000 73.560 38.9463
2.270000 73.847 37.7462
2.300000 74.127 36.5480
2.330000 74.401 35.3535
2.360000 74.669 34.1642
2.400000 75.017 32.5899
2.430000 75.273 31.4198
2.470000 75.607 29.8772
2.500000 75.853 28.7357
2.540000 76.176 27.2374
2.580000 76.493 25.7679
2.620000 76.801 24.3130
2.650000 77.027 23.2312
2.690000 77.321 21.8041
2.720000 77.536 20.7476
2.760000 77.817 19.3604
2.800000 78.091 18.0014
2.850000 78.426 16.3482
2.900000 78.754 14.7528
2.950000 79.075 13.2253
3.000000 79.387 11.7857
3.040000 79.629 10.6879
3.070000 79.807 9.8887
3.110000 80.039 8.8467
3.150000 80.267 7.8217
3.200000 80.546 6.5476
3.250000 80.819 5.2616
3.300000 81.087 3.9424
3.350000 81.349 2.5829
3.400000 81.604 1.2000
3.450000 81.853 -0.1898
3.500000 82.095 -1.5696
3.550000 82.332 -2.9227
3.600000 82.565 -4.2323
3.650000 82.794 -5.4817
3.700000 83.019 -6.6565
3.750000 83.239 -7.7628
3.820000 83.539 -9.2288
3.870000 83.747 -10.2395
3.950000 84.074 -11.8403
4.000000 84.273 -12.8569
4.060000 84.509 -14.1162
4.120000 84.739 -15.4024
4.180000 84.964 -16.6978
4.250000 85.220 -18.2002
4.310000 85.435 -19.4628
4.370000 85.646 -20.6860
4.440000 85.888 -22.0468
4.500000 86.090 -23.1628
4.550000 86.256 -24.0671
4.620000 86.483 -25.3079
4.680000 86.673 -26.3612
4.750000 86.891 -27.5956
4.820000 87.105 -28.8442
4.870000 87.255 -29.7365
4.940000 87.460 -30.9806
5.000000 87.632 -32.0374
5.080000 87.857 -33.4245
5.150000 88.049 -34.6103
5.220000 88.238 -35.7710
5.300000 88.448 -37.0726
5.380000 88.652 -38.3527
5.450000 88.827 -39.4594
5.520000 88.999 -40.5568
5.600000 89.191 -41.7960
5.700000 89.424 -43.3214
5.800000 89.650 -44.8220
5.900000 89.871 -46.2992
6.000000 90.084 -47.7535
6.080000 90.251 -48.8994
6.150000 90.394 -49.8879
6.220000 90.535 -50.8627
6.300000 90.692 -51.9577
6.400000 90.884 -53.2993
6.500000 91.072 -54.6176
6.600000 91.255 -55.9200
6.700000 91.434 -57.2083
6.800000 91.608 -58.4789
6.900000 91.778 -59.7297
7.000000 91.945 -60.9589
7.100000 92.108 -62.1642
7.200000 92.268 -63.3504
7.300000 92.424 -64.5225
7.400000 92.576 -65.6835
7.500000 92.726 -66.8312
7.620000 92.900 -68.1891
7.750000 93.084 -69.6346
7.880000 93.263 -71.0532
8.000000 93.424 -72.3415
8.120000 93.580 -73.6117
8.250000 93.745 -74.9663
8.380000 93.905 -76.2987
8.500000 94.049 -77.5086
8.620000 94.189 -78.6992
8.750000 94.337 -79.9684
8.850000 94.448 -80.9308
9.000000 94.611 -82.3503
9.120000 94.738 -83.4678
9.250000 94.873 -84.6618
9.380000 95.004 -85.8376
9.500000 95.122 -86.9085
9.620000 95.238 -87.9659
9.750000 95.360 -89.0957
9.880000 95.480 -90.2119
10.000000 95.588 -91.2314
10.150000 95.719 -92.4900
10.300000 95.847 -93.7321
10.440000 95.962 -94.8763
10.600000 96.090 -96.1669
10.750000 96.207 -97.3612
10.900000 96.319 -98.5399
11.060000 96.435 -99.7795
11.200000 96.534 -100.8490
11.380000 96.656 -102.2040
11.500000 96.735 -103.0948
11.720000 96.875 -104.7023
11.800000 96.924 -105.2787
12.060000 97.079 -107.1224
12.200000 97.159 -108.0977
12.410000 97.275 -109.5378
12.500000 97.324 -110.1472
12.650000 97.403 -111.1521
12.800000 97.480 -112.1445
13.150000 97.652 -114.4139
13.200000 97.676 -114.7332
13.400000 97.770 -115.9974
13.600000 97.860 -117.2436
13.800000 97.948 -118.4721
14.000000 98.033 -119.6857
14.300000 98.157 -121.4800
14.500000 98.236 -122.6614
14.750000 98.332 -124.1235
15.000000 98.424 -125.5701
15.250000 98.512 -127.0015
15.500000 98.595 -128.4153
15.750000 98.673 -129.8097
16.000000 98.748 -131.1813
16.250000 98.818 -132.5274
16.500000 98.885 -133.8470
16.750000 98.950 -135.1396
17.000000 99.012 -136.4076
17.250000 99.073 -137.6535
17.500000 99.132 -138.8809
17.750000 99.190 -140.0942
18.000000 99.246 -141.2953
18.250000 99.300 -142.4863
18.500000 99.352 -143.6672
18.750000 99.400 -144.8370
19.000000 99.446 -145.9946
19.250000 99.489 -147.1376
19.500000 99.530 -148.2652
19.750000 99.568 -149.3765
20.000000 99.603 -150.4716
20.299999 99.644 -151.7649
20.600000 99.681 -153.0366
20.900000 99.716 -154.2876
21.200001 99.748 -155.5186
21.400000 99.769 -156.3284
21.799999 99.807 -157.9236
22.000000 99.825 -158.7096
22.400000 99.859 -160.2610
22.700001 99.882 -161.4082
23.000000 99.904 -162.5425
23.299999 99.924 -163.6639
23.600000 99.942 -164.7722
24.000000 99.964 -166.2299
24.299999 99.979 -167.3096
24.700001 99.997 -168.7341
25.000000 100.009 -169.7928
25.400000 100.020 -171.1901
25.799999 100.027 -172.5637
26.200001 100.031 -173.9052
26.500000 100.032 -174.8879
26.900000 100.033 -176.1701
27.200001 100.033 -177.1168
27.600000 100.034 -178.3677
28.000000 100.033 -179.6108
28.500000 100.027 178.8510
29.000000 100.018 177.3434
29.500000 100.006 175.8710
30.000000 99.993 174.4226
30.400000 99.981 173.2720
30.700001 99.972 172.4132
31.100000 99.956 171.2785
31.500000 99.939 170.1618
32.000000 99.914 168.7968
32.500000 99.890 167.4604
33.000000 99.865 166.1412
33.500000 99.838 164.8345
34.000000 99.809 163.5452
34.500000 99.777 162.2810
35.000000 99.743 161.0444
35.500000 99.709 159.8314
36.000000 99.674 158.6366
36.500000 99.638 157.4561
37.000000 99.600 156.2889
37.500000 99.561 155.1365
38.200001 99.503 153.5530
38.700001 99.460 152.4448
39.500000 99.390 150.7020
40.000000 99.346 149.6259
40.599998 99.291 148.3485
41.200001 99.233 147.0934
41.799999 99.174 145.8671
42.500000 99.104 144.4722
43.099998 99.045 143.2988
43.700001 98.984 142.1423
44.400002 98.912 140.8189
45.000000 98.851 139.7052
45.500000 98.799 138.7816
46.200001 98.724 137.4894
46.799999 98.655 136.4003
47.500000 98.572 135.1754
48.200001 98.490 133.9841
48.700001 98.433 133.1414
49.400002 98.351 131.9814
50.000000 98.283 131.0121
50.799999 98.196 129.7192
51.500000 98.119 128.5674
52.200001 98.036 127.4373
53.000000 97.941 126.2056
53.799999 97.851 124.9926
54.500000 97.771 123.9229
55.200001 97.687 122.8685
56.000000 97.588 121.7025
57.000000 97.464 120.2894
58.000000 97.340 118.9141
59.000000 97.216 117.5698
60.000000 97.093 116.2493
60.799999 96.994 115.2145
61.500000 96.909 114.3215
62.200001 96.823 113.4340
63.000000 96.725 112.4319
64.000000 96.600 111.2105
65.000000 96.476 110.0199
66.000000 96.352 108.8568
67.000000 96.228 107.7221
68.000000 96.105 106.6063
69.000000 95.982 105.5074
70.000000 95.858 104.4333
71.000000 95.736 103.3775
72.000000 95.614 102.3297
73.000000 95.490 101.2951
74.000000 95.363 100.2901
75.000000 95.238 99.3325
76.199997 95.093 98.2053
77.500000 94.937 96.9831
78.800003 94.780 95.8073
80.000000 94.638 94.7503
81.199997 94.494 93.7031
82.500000 94.336 92.6082
83.800003 94.181 91.5443
85.000000 94.038 90.5724
86.199997 93.895 89.6221
87.500000 93.743 88.6162
88.500000 93.626 87.8513
90.000000 93.452 86.7375
91.199997 93.315 85.8774
92.500000 93.168 84.9564
93.800003 93.022 84.0517
95.000000 92.888 83.2388
96.199997 92.755 82.4435
97.500000 92.612 81.5959
98.800003 92.469 80.7738
100.000000 92.338 80.0307
101.500000 92.174 79.1165
103.000000 92.012 78.2213
104.400002 91.864 77.4027
106.000000 91.697 76.4918
107.500000 91.543 75.6562
109.000000 91.386 74.8498
110.599998 91.221 74.0416
112.000000 91.078 73.3515
113.800003 90.897 72.4729
115.000000 90.778 71.8915
117.199997 90.562 70.8428
118.000000 90.485 70.4705
120.599998 90.235 69.3026
122.000000 90.102 68.6981
124.099998 89.905 67.8185
125.000000 89.822 67.4484
126.500000 89.686 66.8385
128.000000 89.551 66.2432
131.500000 89.240 64.9246
132.000000 89.196 64.7411
134.000000 89.022 64.0114
136.000000 88.848 63.3002
138.000000 88.679 62.6202
140.000000 88.512 61.9620
143.000000 88.267 60.9984
145.000000 88.108 60.3782
147.500000 87.919 59.6420
150.000000 87.732 58.9126
152.500000 87.533 58.2295
155.000000 87.337 57.5911
157.500000 87.152 56.9517
160.000000 86.974 56.3327
162.500000 86.797 55.7379
165.000000 86.621 55.1578
167.500000 86.450 54.6040
170.000000 86.284 54.0826
172.500000 86.122 53.5778
175.000000 85.961 53.0815
177.500000 85.803 52.6011
180.000000 85.649 52.1432
182.500000 85.497 51.7049
185.000000 85.349 51.2810
187.500000 85.203 50.8718
190.000000 85.060 50.4774
192.500000 84.920 50.0891
195.000000 84.783 49.7060
197.500000 84.648 49.3370
200.000000 84.516 48.9886
203.000000 84.362 48.5962
206.000000 84.211 48.2244
209.000000 84.061 47.8857
212.000000 83.915 47.5613
214.000000 83.818 47.3469
218.000000 83.629 46.9023
220.000000 83.539 46.6777
224.000000 83.365 46.2774
227.000000 83.238 46.0152
230.000000 83.113 45.7603
233.000000 82.989 45.5173
236.000000 82.870 45.2703
240.000000 82.722 44.9013
243.000000 82.613 44.6293
247.000000 82.466 44.3376
250.000000 82.356 44.1735
254.000000 82.211 43.9998
258.000000 82.071 43.8038
262.000000 81.936 43.5806
265.000000 81.841 43.4127
269.000000 81.720 43.2048
272.000000 81.632 43.0717
276.000000 81.516 42.9061
280.000000 81.403 42.7624
285.000000 81.268 42.6046
290.000000 81.138 42.4510
295.000000 81.013 42.3010
300.000000 80.892 42.1697
304.000000 80.797 42.0650
307.000000 80.728 41.9852
311.000000 80.640 41.8902
