* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -32.4 dBFS, measurement signal peak level -16.8 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 08/07/2024 12:12:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0400 ms (-14 mm, -0.54 in) using estimated IR delay relative to Acoustic reference on SPEAKER R with no timing offset
* Measurement: Supermix 4 75ohm R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 48.914 121.8224
1.015000 49.593 117.8117
1.030000 50.249 114.0063
1.044000 50.837 110.6573
1.060000 51.473 107.0908
1.075000 52.031 104.0204
1.090000 52.546 101.2347
1.106000 53.046 98.5997
1.120000 53.465 96.5855
1.138000 53.987 94.3703
1.150000 54.324 93.1113
1.172000 54.923 91.2153
1.180000 55.134 90.6478
1.206000 55.799 89.2016
1.220000 56.145 88.6474
1.241000 56.648 88.0646
1.250000 56.858 87.8940
1.265000 57.201 87.6983
1.280000 57.537 87.5955
1.315000 58.294 87.5999
1.320000 58.400 87.6170
1.340000 58.815 87.6964
1.360000 59.223 87.7555
1.380000 59.623 87.7451
1.400000 60.018 87.6157
1.430000 60.602 87.0905
1.450000 60.989 86.4474
1.475000 61.470 85.2603
1.500000 61.937 83.8879
1.525000 62.385 82.4117
1.550000 62.818 80.8493
1.575000 63.236 79.2186
1.600000 63.640 77.5372
1.625000 64.032 75.8229
1.650000 64.414 74.0934
1.675000 64.785 72.3663
1.700000 65.149 70.6595
1.725000 65.505 68.9907
1.750000 65.856 67.3775
1.775000 66.203 65.8377
1.800000 66.546 64.3890
1.825000 66.888 63.0492
1.850000 67.226 61.8215
1.875000 67.557 60.6760
1.900000 67.879 59.6023
1.925000 68.194 58.5919
1.950000 68.502 57.6358
1.975000 68.803 56.7251
2.000000 69.099 55.8509
2.030000 69.446 54.8377
2.060000 69.785 53.8490
2.090000 70.119 52.8697
2.120000 70.446 51.8842
2.140000 70.662 51.2163
2.180000 71.088 49.8339
2.200000 71.298 49.1106
2.240000 71.711 47.6428
2.270000 72.012 46.5406
2.300000 72.306 45.4384
2.330000 72.594 44.3371
2.360000 72.876 43.2376
2.400000 73.244 41.7761
2.430000 73.514 40.6846
2.470000 73.867 39.2372
2.500000 74.127 38.1590
2.540000 74.469 36.7326
2.580000 74.805 35.3188
2.620000 75.133 33.8991
2.650000 75.373 32.8315
2.690000 75.686 31.4108
2.720000 75.916 30.3517
2.760000 76.216 28.9545
2.800000 76.510 27.5818
2.850000 76.870 25.9125
2.900000 77.222 24.3094
2.950000 77.566 22.7899
3.000000 77.901 21.3713
3.040000 78.163 20.2958
3.070000 78.355 19.5146
3.110000 78.606 18.4966
3.150000 78.852 17.4927
3.200000 79.154 16.2370
3.250000 79.449 14.9558
3.300000 79.739 13.6226
3.350000 80.023 12.2268
3.400000 80.298 10.7889
3.450000 80.567 9.3313
3.500000 80.830 7.8764
3.550000 81.087 6.4465
3.600000 81.340 5.0641
3.650000 81.587 3.7515
3.700000 81.831 2.5261
3.750000 82.068 1.3763
3.820000 82.392 -0.1431
3.870000 82.617 -1.1903
3.950000 82.969 -2.8539
4.000000 83.184 -3.9163
4.060000 83.438 -5.2415
4.120000 83.685 -6.6047
4.180000 83.927 -7.9842
4.250000 84.201 -9.5880
4.310000 84.432 -10.9353
4.370000 84.658 -12.2368
4.440000 84.917 -13.6769
4.500000 85.133 -14.8540
4.550000 85.310 -15.8059
4.620000 85.552 -17.1101
4.680000 85.756 -18.2169
4.750000 85.989 -19.5150
4.820000 86.217 -20.8295
4.870000 86.377 -21.7692
4.940000 86.596 -23.0796
5.000000 86.781 -24.1922
5.080000 87.021 -25.6514
5.150000 87.228 -26.8971
5.220000 87.429 -28.1146
5.300000 87.655 -29.4782
5.380000 87.875 -30.8184
5.450000 88.063 -31.9771
5.520000 88.248 -33.1263
5.600000 88.455 -34.4235
5.700000 88.706 -36.0199
5.800000 88.951 -37.5913
5.900000 89.189 -39.1406
6.000000 89.421 -40.6687
6.080000 89.602 -41.8735
6.150000 89.757 -42.9135
6.220000 89.909 -43.9387
6.300000 90.080 -45.0901
6.400000 90.289 -46.5007
6.500000 90.492 -47.8875
6.600000 90.690 -49.2582
6.700000 90.884 -50.6154
6.800000 91.073 -51.9546
6.900000 91.257 -53.2726
7.000000 91.438 -54.5656
7.100000 91.614 -55.8322
7.200000 91.787 -57.0774
7.300000 91.955 -58.3072
7.400000 92.120 -59.5251
7.500000 92.282 -60.7281
7.620000 92.471 -62.1509
7.750000 92.670 -63.6647
7.880000 92.864 -65.1491
8.000000 93.038 -66.4969
8.120000 93.208 -67.8269
8.250000 93.386 -69.2458
8.380000 93.560 -70.6423
8.500000 93.716 -71.9115
8.620000 93.868 -73.1616
8.750000 94.029 -74.4948
8.850000 94.149 -75.5057
9.000000 94.325 -76.9978
9.120000 94.462 -78.1720
9.250000 94.606 -79.4258
9.380000 94.746 -80.6600
9.500000 94.873 -81.7825
9.620000 94.996 -82.8887
9.750000 95.127 -84.0687
9.880000 95.254 -85.2324
10.000000 95.369 -86.2930
10.150000 95.508 -87.5997
10.300000 95.644 -88.8872
10.440000 95.767 -90.0708
10.600000 95.904 -91.4045
10.750000 96.029 -92.6382
10.900000 96.149 -93.8553
11.060000 96.274 -95.1360
11.200000 96.380 -96.2416
11.380000 96.512 -97.6435
11.500000 96.598 -98.5662
11.720000 96.749 -100.2328
11.800000 96.802 -100.8309
12.060000 96.970 -102.7460
12.200000 97.056 -103.7596
12.410000 97.182 -105.2578
12.500000 97.235 -105.8922
12.650000 97.321 -106.9390
12.800000 97.404 -107.9739
13.150000 97.591 -110.3453
13.200000 97.616 -110.6795
13.400000 97.717 -112.0048
13.600000 97.815 -113.3132
13.800000 97.909 -114.6056
14.000000 97.999 -115.8824
14.300000 98.129 -117.7687
14.500000 98.212 -119.0071
14.750000 98.312 -120.5339
15.000000 98.407 -122.0370
15.250000 98.499 -123.5166
15.500000 98.586 -124.9731
15.750000 98.670 -126.4071
16.000000 98.750 -127.8187
16.250000 98.827 -129.2088
16.500000 98.901 -130.5777
16.750000 98.972 -131.9260
17.000000 99.041 -133.2543
17.250000 99.106 -134.5632
17.500000 99.169 -135.8538
17.750000 99.229 -137.1268
18.000000 99.287 -138.3829
18.250000 99.342 -139.6223
18.500000 99.395 -140.8452
18.750000 99.445 -142.0513
19.000000 99.492 -143.2405
19.250000 99.537 -144.4126
19.500000 99.580 -145.5679
19.750000 99.620 -146.7068
20.000000 99.659 -147.8303
20.299999 99.703 -149.1599
20.600000 99.745 -150.4710
20.900000 99.784 -151.7653
21.200001 99.820 -153.0436
21.400000 99.843 -153.8867
21.799999 99.884 -155.5505
22.000000 99.903 -156.3709
22.400000 99.939 -157.9886
22.700001 99.963 -159.1826
23.000000 99.985 -160.3618
23.299999 100.006 -161.5275
23.600000 100.024 -162.6799
24.000000 100.046 -164.1950
24.299999 100.060 -165.3136
24.700001 100.076 -166.7800
25.000000 100.087 -167.8617
25.400000 100.099 -169.2824
25.799999 100.110 -170.6821
26.200001 100.119 -172.0634
26.500000 100.124 -173.0870
26.900000 100.128 -174.4337
27.200001 100.129 -175.4296
27.600000 100.130 -176.7393
28.000000 100.128 -178.0307
28.500000 100.123 -179.6212
29.000000 100.114 178.8177
29.500000 100.102 177.2901
30.000000 100.088 175.7935
30.400000 100.075 174.6129
30.700001 100.064 173.7355
31.100000 100.048 172.5783
31.500000 100.030 171.4401
32.000000 100.005 170.0490
32.500000 99.980 168.6873
33.000000 99.956 167.3389
33.500000 99.930 165.9941
34.000000 99.900 164.6595
34.500000 99.866 163.3505
35.000000 99.830 162.0745
35.500000 99.794 160.8262
36.000000 99.757 159.5951
36.500000 99.719 158.3771
37.000000 99.679 157.1758
37.500000 99.637 155.9958
38.200001 99.578 154.3790
38.700001 99.534 153.2439
39.500000 99.464 151.4535
40.000000 99.417 150.3515
40.599998 99.359 149.0522
41.200001 99.300 147.7830
41.799999 99.240 146.5413
42.500000 99.170 145.1154
43.099998 99.109 143.9070
43.700001 99.047 142.7135
44.400002 98.971 141.3461
45.000000 98.906 140.1990
45.500000 98.851 139.2590
46.200001 98.775 137.9589
46.799999 98.708 136.8559
47.500000 98.628 135.5948
48.200001 98.550 134.3658
48.700001 98.495 133.4934
49.400002 98.415 132.2659
50.000000 98.342 131.2305
50.799999 98.241 129.9197
51.500000 98.157 128.8204
52.200001 98.075 127.7219
53.000000 97.979 126.4695
53.799999 97.880 125.2477
54.500000 97.794 124.1967
55.200001 97.706 123.1580
56.000000 97.604 122.0011
57.000000 97.480 120.5957
58.000000 97.358 119.1944
59.000000 97.233 117.8069
60.000000 97.107 116.4570
60.799999 97.006 115.4020
61.500000 96.917 114.4960
62.200001 96.828 113.6064
63.000000 96.727 112.6097
64.000000 96.600 111.3939
65.000000 96.474 110.2095
66.000000 96.349 109.0496
67.000000 96.225 107.9036
68.000000 96.099 106.7745
69.000000 95.972 105.6716
70.000000 95.845 104.5935
71.000000 95.719 103.5383
72.000000 95.594 102.5023
73.000000 95.469 101.4851
74.000000 95.344 100.4911
75.000000 95.219 99.5213
76.199997 95.071 98.3829
77.500000 94.911 97.1754
78.800003 94.751 96.0005
80.000000 94.605 94.9451
81.199997 94.461 93.9076
82.500000 94.303 92.8061
83.800003 94.146 91.7415
85.000000 94.004 90.7833
86.199997 93.862 89.8373
87.500000 93.709 88.8271
88.500000 93.591 88.0667
90.000000 93.415 86.9596
91.199997 93.275 86.0984
92.500000 93.126 85.1898
93.800003 92.978 84.2990
95.000000 92.843 83.4891
96.199997 92.708 82.6978
97.500000 92.564 81.8658
98.800003 92.421 81.0538
100.000000 92.291 80.3143
101.500000 92.126 79.4130
103.000000 91.964 78.5378
104.400002 91.813 77.7364
106.000000 91.643 76.8444
107.500000 91.486 76.0326
109.000000 91.331 75.2421
110.599998 91.167 74.4214
112.000000 91.025 73.7217
113.800003 90.845 72.8427
115.000000 90.725 72.2674
117.199997 90.509 71.2401
118.000000 90.431 70.8750
120.599998 90.180 69.7241
122.000000 90.047 69.1291
124.099998 89.851 68.2623
125.000000 89.768 67.8996
126.500000 89.630 67.3083
128.000000 89.494 66.7339
131.500000 89.185 65.4263
132.000000 89.142 65.2423
134.000000 88.968 64.5219
136.000000 88.797 63.8378
138.000000 88.627 63.1738
140.000000 88.459 62.5199
143.000000 88.214 61.5718
145.000000 88.055 60.9878
147.500000 87.857 60.3251
150.000000 87.665 59.6763
152.500000 87.476 58.9501
155.000000 87.288 58.2490
157.500000 87.106 57.6120
160.000000 86.927 57.0173
162.500000 86.750 56.4384
165.000000 86.578 55.8771
167.500000 86.410 55.3392
170.000000 86.244 54.8205
172.500000 86.082 54.3203
175.000000 85.923 53.8350
177.500000 85.767 53.3634
180.000000 85.614 52.9103
182.500000 85.464 52.4755
185.000000 85.317 52.0565
187.500000 85.171 51.6562
190.000000 85.028 51.2719
192.500000 84.888 50.8983
195.000000 84.751 50.5269
197.500000 84.617 50.1583
200.000000 84.486 49.8124
203.000000 84.333 49.4406
206.000000 84.183 49.0837
209.000000 84.035 48.7377
212.000000 83.891 48.4087
214.000000 83.798 48.1927
218.000000 83.613 47.7635
220.000000 83.523 47.5534
224.000000 83.350 47.1577
227.000000 83.222 46.8893
230.000000 83.098 46.6324
233.000000 82.976 46.3801
236.000000 82.855 46.1422
240.000000 82.699 45.8495
243.000000 82.587 45.6332
247.000000 82.450 45.3605
250.000000 82.348 45.1692
254.000000 82.201 44.9352
258.000000 82.062 44.7139
262.000000 81.931 44.5056
265.000000 81.834 44.3629
269.000000 81.710 44.1786
272.000000 81.622 44.0459
276.000000 81.507 43.8840
280.000000 81.394 43.7294
285.000000 81.257 43.5542
290.000000 81.125 43.4120
295.000000 80.999 43.2756
300.000000 80.880 43.1512
304.000000 80.788 43.0676
307.000000 80.721 43.0065
311.000000 80.634 42.9327
