* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -29.9 dBFS, measurement signal peak level -26.3 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 08/07/2024 12:09:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0835 ms (-29 mm, -1.13 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: Supermix 4 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 43.832 122.5765
1.015000 44.072 120.7708
1.030000 44.311 119.0038
1.044000 44.534 117.3948
1.060000 44.787 115.6107
1.075000 45.023 113.9972
1.090000 45.257 112.4477
1.106000 45.505 110.8671
1.120000 45.723 109.5193
1.138000 46.007 107.8250
1.150000 46.199 106.7187
1.172000 46.552 104.7366
1.180000 46.682 104.0300
1.206000 47.106 101.7830
1.220000 47.336 100.6029
1.241000 47.682 98.8691
1.250000 47.830 98.1388
1.265000 48.078 96.9376
1.280000 48.325 95.7554
1.315000 48.902 93.0644
1.320000 48.984 92.6870
1.340000 49.310 91.1934
1.360000 49.635 89.7233
1.380000 49.956 88.2737
1.400000 50.274 86.8421
1.430000 50.742 84.7221
1.450000 51.048 83.3231
1.475000 51.422 81.5884
1.500000 51.792 79.8920
1.525000 52.158 78.2380
1.550000 52.521 76.6247
1.575000 52.880 75.0500
1.600000 53.236 73.5123
1.625000 53.587 72.0095
1.650000 53.934 70.5399
1.675000 54.277 69.1016
1.700000 54.616 67.6927
1.725000 54.950 66.3113
1.750000 55.279 64.9555
1.775000 55.603 63.6236
1.800000 55.922 62.3136
1.825000 56.236 61.0237
1.850000 56.545 59.7587
1.875000 56.848 58.5325
1.900000 57.146 57.3427
1.925000 57.439 56.1862
1.950000 57.727 55.0600
1.975000 58.010 53.9610
2.000000 58.289 52.8863
2.030000 58.618 51.6242
2.060000 58.941 50.3873
2.090000 59.259 49.1704
2.120000 59.571 47.9681
2.140000 59.777 47.1721
2.180000 60.182 45.5865
2.200000 60.382 44.7938
2.240000 60.773 43.2287
2.270000 61.060 42.0788
2.300000 61.341 40.9480
2.330000 61.616 39.8352
2.360000 61.886 38.7393
2.400000 62.238 37.3022
2.430000 62.497 36.2411
2.470000 62.836 34.8464
2.500000 63.086 33.8139
2.540000 63.414 32.4531
2.580000 63.736 31.1090
2.620000 64.051 29.7883
2.650000 64.281 28.8137
2.690000 64.581 27.5347
2.720000 64.802 26.5900
2.760000 65.090 25.3492
2.800000 65.372 24.1286
2.850000 65.718 22.6296
2.900000 66.056 21.1584
2.950000 66.387 19.7141
3.000000 66.709 18.3063
3.040000 66.960 17.2052
3.070000 67.144 16.3925
3.110000 67.386 15.3242
3.150000 67.623 14.2711
3.200000 67.913 12.9724
3.250000 68.198 11.6885
3.300000 68.477 10.4147
3.350000 68.751 9.1537
3.400000 69.017 7.9099
3.450000 69.277 6.6835
3.500000 69.531 5.4749
3.550000 69.780 4.2839
3.600000 70.025 3.1110
3.650000 70.265 1.9562
3.700000 70.501 0.8220
3.750000 70.732 -0.2882
3.820000 71.048 -1.8090
3.870000 71.267 -2.8763
3.950000 71.611 -4.5615
4.000000 71.820 -5.6063
4.060000 72.068 -6.8559
4.120000 72.310 -8.0944
4.180000 72.546 -9.3201
4.250000 72.815 -10.7338
4.310000 73.040 -11.9308
4.370000 73.260 -13.1143
4.440000 73.512 -14.4763
4.500000 73.722 -15.6268
4.550000 73.894 -16.5748
4.620000 74.128 -17.8875
4.680000 74.325 -19.0012
4.750000 74.549 -20.2898
4.820000 74.767 -21.5684
4.870000 74.919 -22.4748
4.940000 75.126 -23.7323
5.000000 75.300 -24.7981
5.080000 75.525 -26.1994
5.150000 75.717 -27.4049
5.220000 75.903 -28.5936
5.300000 76.109 -29.9315
5.380000 76.309 -31.2456
5.450000 76.479 -32.3746
5.520000 76.645 -33.4830
5.600000 76.830 -34.7264
5.700000 77.052 -36.2451
5.800000 77.267 -37.7229
5.900000 77.478 -39.1580
6.000000 77.681 -40.5492
6.080000 77.839 -41.6324
6.150000 77.975 -42.5602
6.220000 78.110 -43.4705
6.300000 78.263 -44.4868
6.400000 78.450 -45.7200
6.500000 78.633 -46.9208
6.600000 78.816 -48.0985
6.700000 78.996 -49.2496
6.800000 79.175 -50.3735
6.900000 79.352 -51.4800
7.000000 79.528 -52.5767
7.100000 79.703 -53.6566
7.200000 79.876 -54.7241
7.300000 80.047 -55.7866
7.400000 80.216 -56.8481
7.500000 80.383 -57.9042
7.620000 80.580 -59.1669
7.750000 80.789 -60.5326
7.880000 80.992 -61.8959
8.000000 81.175 -63.1494
8.120000 81.352 -64.3962
8.250000 81.537 -65.7419
8.380000 81.716 -67.0762
8.500000 81.875 -68.2934
8.620000 82.028 -69.4995
8.750000 82.188 -70.7882
8.850000 82.306 -71.7637
9.000000 82.477 -73.2047
9.120000 82.607 -74.3347
9.250000 82.744 -75.5333
9.380000 82.874 -76.7068
9.500000 82.989 -77.7660
9.620000 83.101 -78.8009
9.750000 83.217 -79.8955
9.880000 83.329 -80.9623
10.000000 83.429 -81.9216
10.150000 83.550 -83.0875
10.300000 83.666 -84.2191
10.440000 83.772 -85.2429
10.600000 83.888 -86.3807
10.750000 83.995 -87.4194
10.900000 84.099 -88.4316
11.060000 84.207 -89.4926
11.200000 84.300 -90.4032
11.380000 84.415 -91.5588
11.500000 84.490 -92.3219
11.720000 84.621 -93.7039
11.800000 84.667 -94.2021
12.060000 84.808 -95.8013
12.200000 84.878 -96.6443
12.410000 84.976 -97.8823
12.500000 85.016 -98.3979
12.650000 85.080 -99.2394
12.800000 85.141 -100.0553
13.150000 85.279 -101.8495
13.200000 85.299 -102.0961
13.400000 85.379 -103.0530
13.600000 85.462 -103.9913
13.800000 85.550 -104.9172
14.000000 85.641 -105.8605
14.300000 85.783 -107.3241
14.500000 85.879 -108.3540
14.750000 85.993 -109.6996
15.000000 86.099 -111.1054
15.250000 86.192 -112.5459
15.500000 86.274 -113.9875
15.750000 86.343 -115.4083
16.000000 86.403 -116.7779
16.250000 86.457 -118.0849
16.500000 86.510 -119.3284
16.750000 86.565 -120.5129
17.000000 86.623 -121.6590
17.250000 86.685 -122.7799
17.500000 86.752 -123.8920
17.750000 86.819 -125.0066
18.000000 86.887 -126.1227
18.250000 86.953 -127.2386
18.500000 87.015 -128.3409
18.750000 87.074 -129.4205
19.000000 87.131 -130.4690
19.250000 87.186 -131.4808
19.500000 87.242 -132.4607
19.750000 87.299 -133.4133
20.000000 87.357 -134.3519
20.299999 87.426 -135.4728
20.600000 87.494 -136.5958
20.900000 87.558 -137.7213
21.200001 87.614 -138.8395
21.400000 87.648 -139.5714
21.799999 87.707 -140.9894
22.000000 87.733 -141.6718
22.400000 87.783 -142.9852
22.700001 87.820 -143.9374
23.000000 87.855 -144.8752
23.299999 87.889 -145.8058
23.600000 87.920 -146.7305
24.000000 87.958 -147.9496
24.299999 87.983 -148.8485
24.700001 88.014 -150.0232
25.000000 88.036 -150.8885
25.400000 88.064 -152.0278
25.799999 88.092 -153.1565
26.200001 88.118 -154.2755
26.500000 88.136 -155.1069
26.900000 88.159 -156.2029
27.200001 88.176 -157.0145
27.600000 88.196 -158.0830
28.000000 88.216 -159.1370
28.500000 88.239 -160.4352
29.000000 88.257 -161.7092
29.500000 88.272 -162.9525
30.000000 88.283 -164.1568
30.400000 88.291 -165.0927
30.700001 88.296 -165.7820
31.100000 88.302 -166.6907
31.500000 88.306 -167.5898
32.000000 88.306 -168.6929
32.500000 88.304 -169.7576
33.000000 88.302 -170.7817
33.500000 88.302 -171.7871
34.000000 88.304 -172.7983
34.500000 88.304 -173.8186
35.000000 88.300 -174.8331
35.500000 88.292 -175.8280
36.000000 88.282 -176.7986
36.500000 88.269 -177.7375
37.000000 88.256 -178.6334
37.500000 88.246 -179.4908
38.200001 88.240 179.3112
38.700001 88.236 178.4158
39.500000 88.214 176.9537
40.000000 88.191 176.0838
40.599998 88.163 175.1044
41.200001 88.140 174.1500
41.799999 88.119 173.1792
42.500000 88.088 172.0397
43.099998 88.057 171.1007
43.700001 88.029 170.2018
44.400002 88.001 169.1616
45.000000 87.976 168.2601
45.500000 87.951 167.5252
46.200001 87.914 166.5604
46.799999 87.887 165.7918
47.500000 87.864 164.9219
48.200001 87.851 164.0210
48.700001 87.842 163.3184
49.400002 87.818 162.2457
50.000000 87.776 161.3331
50.799999 87.702 160.2933
51.500000 87.646 159.5229
52.200001 87.603 158.7565
53.000000 87.555 157.8572
53.799999 87.508 156.9713
54.500000 87.467 156.1929
55.200001 87.423 155.4288
56.000000 87.375 154.6007
57.000000 87.324 153.5303
58.000000 87.261 152.3982
59.000000 87.186 151.3599
60.000000 87.117 150.3879
60.799999 87.065 149.6053
61.500000 87.020 148.9222
62.200001 86.974 148.2467
63.000000 86.921 147.4877
64.000000 86.857 146.5593
65.000000 86.793 145.6476
66.000000 86.730 144.7517
67.000000 86.665 143.8762
68.000000 86.600 143.0321
69.000000 86.536 142.2127
70.000000 86.473 141.4017
71.000000 86.408 140.6050
72.000000 86.342 139.8301
73.000000 86.277 139.0706
74.000000 86.212 138.3282
75.000000 86.149 137.5977
76.199997 86.074 136.7160
77.500000 85.990 135.7863
78.800003 85.907 134.8986
80.000000 85.834 134.0953
81.199997 85.760 133.2938
82.500000 85.675 132.4574
83.800003 85.593 131.6623
85.000000 85.520 130.9288
86.199997 85.447 130.1859
87.500000 85.365 129.4001
88.500000 85.303 128.8170
90.000000 85.212 127.9691
91.199997 85.141 127.3002
92.500000 85.065 126.5835
93.800003 84.988 125.8853
95.000000 84.920 125.2542
96.199997 84.851 124.6339
97.500000 84.777 123.9808
98.800003 84.704 123.3444
100.000000 84.638 122.7558
101.500000 84.552 122.0225
103.000000 84.464 121.3154
104.400002 84.385 120.6744
106.000000 84.296 119.9597
107.500000 84.216 119.3039
109.000000 84.136 118.6620
110.599998 84.051 117.9938
112.000000 83.978 117.4187
113.800003 83.885 116.6930
115.000000 83.823 116.2227
117.199997 83.711 115.3922
118.000000 83.671 115.0934
120.599998 83.541 114.1340
122.000000 83.473 113.6302
124.099998 83.373 112.8912
125.000000 83.331 112.5812
126.500000 83.261 112.0750
128.000000 83.191 111.5793
131.500000 83.031 110.4514
132.000000 83.009 110.2931
134.000000 82.922 109.6678
136.000000 82.834 109.0593
138.000000 82.747 108.4712
140.000000 82.663 107.9061
143.000000 82.539 107.0985
145.000000 82.454 106.5539
147.500000 82.342 105.8199
150.000000 82.231 105.1501
152.500000 82.149 104.5887
155.000000 82.072 104.0087
157.500000 81.984 103.4453
160.000000 81.892 102.8864
162.500000 81.805 102.3382
165.000000 81.722 101.8011
167.500000 81.639 101.2700
170.000000 81.557 100.7598
172.500000 81.478 100.2687
175.000000 81.401 99.7943
177.500000 81.326 99.3344
180.000000 81.252 98.8829
182.500000 81.180 98.4409
185.000000 81.110 98.0085
187.500000 81.041 97.5873
190.000000 80.973 97.1743
192.500000 80.907 96.7729
195.000000 80.844 96.3937
197.500000 80.783 96.0333
200.000000 80.724 95.6693
203.000000 80.652 95.2126
206.000000 80.583 94.7786
209.000000 80.518 94.3790
212.000000 80.452 93.9973
214.000000 80.408 93.7507
218.000000 80.328 93.2645
220.000000 80.289 93.0225
224.000000 80.212 92.5530
227.000000 80.157 92.2120
230.000000 80.106 91.8792
233.000000 80.056 91.5565
236.000000 80.008 91.2388
240.000000 79.945 90.8342
243.000000 79.899 90.5489
247.000000 79.838 90.1350
250.000000 79.794 89.8232
254.000000 79.742 89.4901
258.000000 79.694 89.1838
262.000000 79.646 88.8785
265.000000 79.611 88.6499
269.000000 79.567 88.3468
272.000000 79.535 88.1334
276.000000 79.494 87.8666
280.000000 79.457 87.6063
285.000000 79.416 87.2617
290.000000 79.374 86.9183
295.000000 79.332 86.5975
300.000000 79.294 86.2921
304.000000 79.269 86.0681
307.000000 79.253 85.9097
