* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -30.9 dBFS, measurement signal peak level -26.6 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 08/07/2024 12:11:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0382 ms (-13 mm, -0.52 in) using estimated IR delay relative to Acoustic reference on SPEAKER R with no timing offset
* Measurement: Supermix 4 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 43.407 106.7493
1.015000 43.685 105.5661
1.030000 43.961 104.4143
1.044000 44.216 103.3712
1.060000 44.503 102.2212
1.075000 44.768 101.1878
1.090000 45.029 100.2020
1.106000 45.303 99.2060
1.120000 45.540 98.3765
1.138000 45.842 97.3618
1.150000 46.042 96.7156
1.172000 46.403 95.5878
1.180000 46.533 95.1945
1.206000 46.952 93.9713
1.220000 47.175 93.3436
1.241000 47.506 92.4360
1.250000 47.647 92.0579
1.265000 47.880 91.4397
1.280000 48.111 90.8340
1.315000 48.643 89.4531
1.320000 48.718 89.2579
1.340000 49.017 88.4781
1.360000 49.312 87.6946
1.380000 49.605 86.9004
1.400000 49.895 86.0886
1.430000 50.326 84.8228
1.450000 50.610 83.9366
1.475000 50.961 82.7726
1.500000 51.308 81.5709
1.525000 51.649 80.3432
1.550000 51.985 79.0948
1.575000 52.317 77.8311
1.600000 52.643 76.5575
1.625000 52.965 75.2794
1.650000 53.283 74.0021
1.675000 53.597 72.7310
1.700000 53.906 71.4716
1.725000 54.212 70.2292
1.750000 54.514 69.0092
1.775000 54.812 67.8169
1.800000 55.107 66.6577
1.825000 55.398 65.5370
1.850000 55.686 64.4564
1.875000 55.970 63.4078
1.900000 56.249 62.3877
1.925000 56.524 61.3932
1.950000 56.795 60.4210
1.975000 57.062 59.4681
2.000000 57.326 58.5315
2.030000 57.637 57.4246
2.060000 57.944 56.3313
2.090000 58.246 55.2462
2.120000 58.543 54.1641
2.140000 58.739 53.4416
2.180000 59.127 51.9872
2.200000 59.318 51.2521
2.240000 59.694 49.7797
2.270000 59.971 48.6794
2.300000 60.242 47.5833
2.330000 60.509 46.4923
2.360000 60.772 45.4072
2.400000 61.115 43.9706
2.430000 61.369 42.9021
2.470000 61.701 41.4905
2.500000 61.946 40.4428
2.540000 62.268 39.0618
2.580000 62.584 37.7001
2.620000 62.894 36.3530
2.650000 63.122 35.3518
2.690000 63.419 34.0298
2.720000 63.638 33.0485
2.760000 63.925 31.7544
2.800000 64.207 30.4773
2.850000 64.551 28.9063
2.900000 64.889 27.3650
2.950000 65.220 25.8559
3.000000 65.542 24.3851
3.040000 65.794 23.2336
3.070000 65.979 22.3826
3.110000 66.222 21.2624
3.150000 66.460 20.1558
3.200000 66.752 18.7872
3.250000 67.038 17.4292
3.300000 67.320 16.0760
3.350000 67.595 14.7259
3.400000 67.863 13.3835
3.450000 68.125 12.0534
3.500000 68.381 10.7398
3.550000 68.632 9.4473
3.600000 68.878 8.1804
3.650000 69.121 6.9433
3.700000 69.359 5.7408
3.750000 69.592 4.5723
3.820000 69.910 2.9830
3.870000 70.131 1.8734
3.950000 70.478 0.1266
4.000000 70.690 -0.9562
4.060000 70.941 -2.2535
4.120000 71.186 -3.5410
4.180000 71.426 -4.8143
4.250000 71.700 -6.2783
4.310000 71.929 -7.5116
4.370000 72.155 -8.7219
4.440000 72.414 -10.1004
4.500000 72.631 -11.2521
4.550000 72.809 -12.1943
4.620000 73.053 -13.4927
4.680000 73.259 -14.5920
4.750000 73.494 -15.8659
4.820000 73.725 -17.1328
4.870000 73.886 -18.0294
4.940000 74.108 -19.2724
5.000000 74.295 -20.3257
5.080000 74.538 -21.7117
5.150000 74.747 -22.9063
5.220000 74.951 -24.0833
5.300000 75.178 -25.4083
5.380000 75.400 -26.7134
5.450000 75.590 -27.8404
5.520000 75.775 -28.9545
5.600000 75.982 -30.2114
5.700000 76.233 -31.7569
5.800000 76.476 -33.2726
5.900000 76.712 -34.7572
6.000000 76.940 -36.2120
6.080000 77.117 -37.3539
6.150000 77.269 -38.3365
6.220000 77.419 -39.3030
6.300000 77.586 -40.3869
6.400000 77.789 -41.7112
6.500000 77.988 -43.0060
6.600000 78.182 -44.2755
6.700000 78.372 -45.5181
6.800000 78.558 -46.7335
6.900000 78.740 -47.9264
7.000000 78.920 -49.1005
7.100000 79.096 -50.2505
7.200000 79.270 -51.3813
7.300000 79.440 -52.5005
7.400000 79.608 -53.6112
7.500000 79.773 -54.7093
7.620000 79.967 -56.0144
7.750000 80.172 -57.4183
7.880000 80.371 -58.8103
8.000000 80.549 -60.0840
8.120000 80.722 -61.3477
8.250000 80.903 -62.7070
8.380000 81.077 -64.0490
8.500000 81.231 -65.2680
8.620000 81.380 -66.4713
8.750000 81.535 -67.7493
8.850000 81.651 -68.7098
9.000000 81.817 -70.1180
9.120000 81.946 -71.2135
9.250000 82.082 -72.3655
9.380000 82.214 -73.4826
9.500000 82.335 -74.4874
9.620000 82.455 -75.4664
9.750000 82.583 -76.4975
9.880000 82.710 -77.5109
10.000000 82.829 -78.4327
10.150000 82.976 -79.5660
10.300000 83.123 -80.6981
10.440000 83.259 -81.7520
10.600000 83.413 -82.9608
10.750000 83.555 -84.1072
10.900000 83.693 -85.2623
11.060000 83.835 -86.5024
11.200000 83.953 -87.5965
11.380000 84.098 -88.9978
11.500000 84.188 -89.9287
11.720000 84.342 -91.6114
11.800000 84.395 -92.2097
12.060000 84.553 -94.1054
12.200000 84.633 -95.0812
12.410000 84.745 -96.4879
12.500000 84.792 -97.0689
12.650000 84.868 -98.0061
12.800000 84.943 -98.9128
13.150000 85.117 -100.9246
13.200000 85.142 -101.2042
13.400000 85.242 -102.3026
13.600000 85.342 -103.3819
13.800000 85.441 -104.4477
14.000000 85.539 -105.5005
14.300000 85.682 -107.0541
14.500000 85.775 -108.0679
14.750000 85.890 -109.3099
15.000000 86.005 -110.5261
15.250000 86.122 -111.7287
15.500000 86.241 -112.9369
15.750000 86.360 -114.1624
16.000000 86.478 -115.4208
16.250000 86.592 -116.7079
16.500000 86.698 -118.0146
16.750000 86.796 -119.3233
17.000000 86.886 -120.6070
17.250000 86.971 -121.8553
17.500000 87.052 -123.0560
17.750000 87.136 -124.2183
18.000000 87.221 -125.3569
18.250000 87.310 -126.4884
18.500000 87.400 -127.6363
18.750000 87.488 -128.8026
19.000000 87.571 -129.9884
19.250000 87.646 -131.1737
19.500000 87.714 -132.3356
19.750000 87.773 -133.4559
20.000000 87.828 -134.5113
20.299999 87.893 -135.6934
20.600000 87.962 -136.7985
20.900000 88.036 -137.8593
21.200001 88.116 -138.9177
21.400000 88.170 -139.6395
21.799999 88.272 -141.1250
22.000000 88.317 -141.8812
22.400000 88.389 -143.3821
22.700001 88.428 -144.4571
23.000000 88.458 -145.4574
23.299999 88.483 -146.3767
23.600000 88.509 -147.2264
24.000000 88.549 -148.2887
24.299999 88.585 -149.0710
24.700001 88.637 -150.1396
25.000000 88.676 -150.9807
25.400000 88.724 -152.1631
25.799999 88.760 -153.4015
26.200001 88.782 -154.6638
26.500000 88.789 -155.6005
26.900000 88.788 -156.8064
27.200001 88.783 -157.6637
27.600000 88.774 -158.7380
28.000000 88.768 -159.7452
28.500000 88.770 -160.9423
29.000000 88.783 -162.1022
29.500000 88.805 -163.2430
30.000000 88.837 -164.3878
30.400000 88.867 -165.3283
30.700001 88.890 -166.0560
31.100000 88.918 -167.0538
31.500000 88.941 -168.0698
32.000000 88.961 -169.3427
32.500000 88.972 -170.6124
33.000000 88.973 -171.8860
33.500000 88.960 -173.1509
34.000000 88.932 -174.3662
34.500000 88.896 -175.5039
35.000000 88.857 -176.5801
35.500000 88.818 -177.6271
36.000000 88.775 -178.6425
36.500000 88.729 -179.5947
37.000000 88.686 179.5229
37.500000 88.651 178.6696
38.200001 88.604 177.4627
38.700001 88.563 176.6335
39.500000 88.494 175.4834
40.000000 88.462 174.8201
40.599998 88.426 173.9778
41.200001 88.377 173.0985
41.799999 88.316 172.2699
42.500000 88.247 171.3581
43.099998 88.194 170.5050
43.700001 88.133 169.5540
44.400002 88.047 168.4265
45.000000 87.974 167.5121
45.500000 87.925 166.7589
46.200001 87.875 165.6325
46.799999 87.838 164.5742
47.500000 87.787 163.3363
48.200001 87.735 162.2659
48.700001 87.713 161.6197
49.400002 87.711 160.7273
50.000000 87.718 159.8438
50.799999 87.692 158.5889
51.500000 87.635 157.6660
52.200001 87.576 156.9636
53.000000 87.525 156.2401
53.799999 87.485 155.4170
54.500000 87.444 154.5767
55.200001 87.388 153.6578
56.000000 87.304 152.6359
57.000000 87.199 151.5915
58.000000 87.140 150.6784
59.000000 87.113 149.6182
60.000000 87.077 148.4209
60.799999 87.028 147.4707
61.500000 86.969 146.7195
62.200001 86.903 146.0834
63.000000 86.833 145.4745
64.000000 86.766 144.7650
65.000000 86.718 143.9749
66.000000 86.677 143.0461
67.000000 86.632 141.9830
68.000000 86.566 140.8597
69.000000 86.478 139.8206
70.000000 86.378 138.9344
71.000000 86.278 138.2054
72.000000 86.187 137.6059
73.000000 86.110 137.0696
74.000000 86.050 136.5483
75.000000 86.004 136.0005
76.199997 85.963 135.2796
77.500000 85.929 134.3914
78.800003 85.895 133.4258
80.000000 85.862 132.4811
81.199997 85.827 131.5012
82.500000 85.783 130.4297
83.800003 85.738 129.3866
85.000000 85.696 128.4273
86.199997 85.653 127.5007
87.500000 85.609 126.5229
88.500000 85.578 125.8090
90.000000 85.540 124.8195
91.199997 85.511 124.1371
92.500000 85.479 123.5356
93.800003 85.433 123.0531
95.000000 85.375 122.6743
96.199997 85.295 122.2756
97.500000 85.190 121.7756
98.800003 85.078 121.1510
100.000000 84.981 120.4846
101.500000 84.888 119.5834
103.000000 84.817 118.6833
104.400002 84.758 117.9810
106.000000 84.688 117.3047
107.500000 84.605 116.7271
109.000000 84.516 116.1280
110.599998 84.420 115.3956
112.000000 84.342 114.7575
113.800003 84.257 113.9589
115.000000 84.199 113.4681
117.199997 84.091 112.6760
118.000000 84.052 112.3702
120.599998 83.916 111.3615
122.000000 83.851 110.8310
124.099998 83.751 110.0205
125.000000 83.705 109.7099
126.500000 83.633 109.2297
128.000000 83.569 108.7046
131.500000 83.402 107.4999
132.000000 83.382 107.3544
134.000000 83.308 106.7147
136.000000 83.219 106.0108
138.000000 83.120 105.4403
140.000000 83.043 104.9077
143.000000 82.927 103.8927
145.000000 82.832 103.3129
147.500000 82.745 102.8115
150.000000 82.688 102.1320
152.500000 82.583 101.2514
155.000000 82.446 100.5628
157.500000 82.333 100.1315
160.000000 82.270 99.7402
162.500000 82.230 99.1404
165.000000 82.176 98.3100
167.500000 82.089 97.4047
170.000000 81.971 96.5854
172.500000 81.837 95.9308
175.000000 81.701 95.4505
177.500000 81.570 95.1158
180.000000 81.444 94.8739
182.500000 81.323 94.6743
185.000000 81.203 94.4765
187.500000 81.082 94.2513
190.000000 80.957 93.9530
192.500000 80.830 93.5168
195.000000 80.714 92.9004
197.500000 80.623 92.1406
200.000000 80.562 91.3756
203.000000 80.525 90.6870
206.000000 80.502 90.3130
209.000000 80.446 90.0934
212.000000 80.356 89.7300
214.000000 80.301 89.3589
218.000000 80.233 88.6547
220.000000 80.201 88.4172
224.000000 80.117 87.9355
227.000000 80.061 87.4959
230.000000 80.015 87.1092
233.000000 79.964 86.7546
236.000000 79.913 86.3786
240.000000 79.851 85.8935
243.000000 79.803 85.5456
247.000000 79.736 85.0958
250.000000 79.688 84.7759
254.000000 79.641 84.3170
258.000000 79.596 83.8667
262.000000 79.549 83.4531
265.000000 79.515 83.1502
269.000000 79.469 82.7609
272.000000 79.436 82.4823
276.000000 79.395 82.1201
280.000000 79.355 81.7654
285.000000 79.311 81.3256
290.000000 79.266 80.9078
295.000000 79.221 80.5204
300.000000 79.180 80.1328
304.000000 79.155 79.8272
307.000000 79.138 79.6031
311.000000 79.114 79.3117
