* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -31.6 dBFS, measurement signal peak level -29.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 27/10/2023 9:09:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0257 ms (-8.8 mm, -0.35 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: Supernova L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 48.108 85.7473
1.015000 48.328 84.4323
1.030000 48.546 83.1542
1.044000 48.747 81.9985
1.060000 48.974 80.7265
1.075000 49.184 79.5860
1.090000 49.390 78.5003
1.106000 49.606 77.4068
1.120000 49.793 76.5004
1.138000 50.032 75.3981
1.150000 50.190 74.6998
1.172000 50.478 73.4888
1.180000 50.582 73.0688
1.206000 50.918 71.7699
1.220000 51.097 71.1076
1.241000 51.364 70.1548
1.250000 51.478 69.7593
1.265000 51.666 69.1143
1.280000 51.853 68.4839
1.315000 52.285 67.0496
1.320000 52.346 66.8468
1.340000 52.589 66.0361
1.360000 52.830 65.2192
1.380000 53.069 64.3875
1.400000 53.306 63.5324
1.430000 53.658 62.1872
1.450000 53.890 61.2361
1.475000 54.176 59.9753
1.500000 54.460 58.6640
1.525000 54.740 57.3167
1.550000 55.017 55.9405
1.575000 55.290 54.5423
1.600000 55.560 53.1292
1.625000 55.827 51.7082
1.650000 56.091 50.2864
1.675000 56.351 48.8706
1.700000 56.608 47.4681
1.725000 56.862 46.0858
1.750000 57.112 44.7306
1.775000 57.359 43.4097
1.800000 57.603 42.1301
1.825000 57.844 40.8987
1.850000 58.082 39.7171
1.875000 58.316 38.5738
1.900000 58.546 37.4646
1.925000 58.773 36.3859
1.950000 58.997 35.3340
1.975000 59.217 34.3053
2.000000 59.435 33.2961
2.030000 59.691 32.1057
2.060000 59.944 30.9318
2.090000 60.192 29.7681
2.120000 60.437 28.6082
2.140000 60.598 27.8340
2.180000 60.916 26.2749
2.200000 61.073 25.4862
2.240000 61.380 23.9060
2.270000 61.606 22.7253
2.300000 61.828 21.5497
2.330000 62.045 20.3803
2.360000 62.259 19.2183
2.400000 62.538 17.6825
2.430000 62.744 16.5423
2.470000 63.013 15.0397
2.500000 63.211 13.9275
2.540000 63.471 12.4664
2.580000 63.727 11.0318
2.620000 63.976 9.6170
2.650000 64.158 8.5683
2.690000 64.397 7.1873
2.720000 64.572 6.1653
2.760000 64.801 4.8217
2.800000 65.026 3.5008
2.850000 65.300 1.8836
2.900000 65.568 0.3059
2.950000 65.831 -1.2290
3.000000 66.086 -2.7134
3.040000 66.284 -3.8677
3.070000 66.430 -4.7167
3.110000 66.621 -5.8293
3.150000 66.809 -6.9234
3.200000 67.038 -8.2711
3.250000 67.263 -9.6036
3.300000 67.484 -10.9285
3.350000 67.700 -12.2471
3.400000 67.910 -13.5533
3.450000 68.115 -14.8422
3.500000 68.316 -16.1088
3.550000 68.512 -17.3480
3.600000 68.706 -18.5550
3.650000 68.896 -19.7246
3.700000 69.084 -20.8511
3.750000 69.267 -21.9338
3.820000 69.517 -23.3901
3.870000 69.692 -24.3980
3.950000 69.967 -25.9753
4.000000 70.135 -26.9508
4.060000 70.335 -28.1203
4.120000 70.531 -29.2775
4.180000 70.723 -30.4176
4.250000 70.943 -31.7219
4.310000 71.128 -32.8143
4.370000 71.311 -33.8797
4.440000 71.521 -35.0834
4.500000 71.698 -36.0794
4.550000 71.844 -36.8888
4.620000 72.044 -37.9977
4.680000 72.213 -38.9327
4.750000 72.408 -40.0145
4.820000 72.599 -41.0894
4.870000 72.734 -41.8481
4.940000 72.919 -42.8964
5.000000 73.075 -43.7814
5.080000 73.280 -44.9404
5.150000 73.456 -45.9338
5.220000 73.629 -46.9066
5.300000 73.823 -47.9951
5.380000 74.013 -49.0619
5.450000 74.176 -49.9798
5.520000 74.336 -50.8852
5.600000 74.516 -51.9018
5.700000 74.735 -53.1456
5.800000 74.950 -54.3617
5.900000 75.160 -55.5520
6.000000 75.364 -56.7146
6.080000 75.524 -57.6256
6.150000 75.662 -58.4098
6.220000 75.798 -59.1828
6.300000 75.952 -60.0511
6.400000 76.139 -61.1128
6.500000 76.323 -62.1538
6.600000 76.503 -63.1801
6.700000 76.679 -64.1919
6.800000 76.852 -65.1871
6.900000 77.020 -66.1666
7.000000 77.185 -67.1313
7.100000 77.346 -68.0804
7.200000 77.503 -69.0144
7.300000 77.656 -69.9339
7.400000 77.805 -70.8401
7.500000 77.949 -71.7332
7.620000 78.118 -72.7834
7.750000 78.295 -73.8893
7.880000 78.465 -74.9642
8.000000 78.617 -75.9279
8.120000 78.766 -76.8624
8.250000 78.923 -77.8414
8.380000 79.076 -78.7903
8.500000 79.216 -79.6411
8.620000 79.354 -80.4649
8.750000 79.501 -81.3387
8.850000 79.614 -82.0033
9.000000 79.783 -82.9796
9.120000 79.917 -83.7562
9.250000 80.060 -84.6027
9.380000 80.202 -85.4491
9.500000 80.331 -86.2370
9.620000 80.456 -87.0361
9.750000 80.589 -87.9110
9.880000 80.717 -88.7921
10.000000 80.830 -89.6129
10.150000 80.965 -90.6457
10.300000 81.091 -91.6676
10.440000 81.201 -92.6154
10.600000 81.318 -93.6759
10.750000 81.420 -94.6359
10.900000 81.515 -95.5655
11.060000 81.612 -96.5098
11.200000 81.693 -97.2962
11.380000 81.795 -98.2596
11.500000 81.862 -98.8696
11.720000 81.986 -99.9395
11.800000 82.032 -100.3177
12.060000 82.183 -101.5110
12.200000 82.266 -102.1505
12.410000 82.393 -103.1066
12.500000 82.447 -103.5218
12.650000 82.537 -104.2197
12.800000 82.626 -104.9245
13.150000 82.826 -106.5980
13.200000 82.854 -106.8378
13.400000 82.961 -107.8003
13.600000 83.064 -108.7565
13.800000 83.162 -109.7024
14.000000 83.258 -110.6346
14.300000 83.396 -112.0062
14.500000 83.485 -112.9047
14.750000 83.595 -114.0144
15.000000 83.701 -115.1111
15.250000 83.804 -116.1965
15.500000 83.904 -117.2678
15.750000 84.000 -118.3230
16.000000 84.092 -119.3581
16.250000 84.182 -120.3717
16.500000 84.269 -121.3639
16.750000 84.354 -122.3359
17.000000 84.438 -123.2908
17.250000 84.519 -124.2306
17.500000 84.599 -125.1573
17.750000 84.677 -126.0723
18.000000 84.753 -126.9755
18.250000 84.827 -127.8672
18.500000 84.898 -128.7468
18.750000 84.966 -129.6142
19.000000 85.033 -130.4692
19.250000 85.097 -131.3116
19.500000 85.159 -132.1420
19.750000 85.219 -132.9604
20.000000 85.277 -133.7679
20.299999 85.345 -134.7236
20.600000 85.410 -135.6658
20.900000 85.472 -136.5952
21.200001 85.531 -137.5117
21.400000 85.569 -138.1152
21.799999 85.643 -139.3038
22.000000 85.678 -139.8895
22.400000 85.747 -141.0451
22.700001 85.796 -141.9001
23.000000 85.843 -142.7459
23.299999 85.889 -143.5817
23.600000 85.932 -144.4061
24.000000 85.988 -145.4855
24.299999 86.028 -146.2802
24.700001 86.080 -147.3225
25.000000 86.118 -148.0937
25.400000 86.167 -149.1096
25.799999 86.214 -150.1111
26.200001 86.259 -151.0982
26.500000 86.291 -151.8306
26.900000 86.332 -152.7982
27.200001 86.360 -153.5157
27.600000 86.395 -154.4550
28.000000 86.427 -155.3643
28.500000 86.467 -156.4565
29.000000 86.511 -157.5279
29.500000 86.555 -158.6183
30.000000 86.594 -159.7349
30.400000 86.618 -160.6226
30.700001 86.632 -161.2704
31.100000 86.649 -162.1032
31.500000 86.666 -162.9082
32.000000 86.688 -163.8968
32.500000 86.708 -164.8744
33.000000 86.725 -165.8295
33.500000 86.742 -166.7569
34.000000 86.760 -167.6743
34.500000 86.778 -168.5984
35.000000 86.791 -169.5205
35.500000 86.802 -170.4207
36.000000 86.814 -171.3008
36.500000 86.826 -172.1850
37.000000 86.836 -173.0862
37.500000 86.838 -173.9824
38.200001 86.834 -175.1621
38.700001 86.832 -175.9413
39.500000 86.839 -177.1512
40.000000 86.846 -177.9163
40.599998 86.852 -178.8415
41.200001 86.855 -179.7559
41.799999 86.854 179.3547
42.500000 86.853 178.3463
43.099998 86.852 177.4843
43.700001 86.846 176.6204
44.400002 86.832 175.6507
45.000000 86.821 174.8675
45.500000 86.817 174.2146
46.200001 86.810 173.2563
46.799999 86.796 172.4247
47.500000 86.776 171.5049
48.200001 86.759 170.6099
48.700001 86.746 169.9686
49.400002 86.723 169.1152
50.000000 86.708 168.4450
50.799999 86.702 167.5249
51.500000 86.692 166.6310
52.200001 86.666 165.7468
53.000000 86.629 164.8304
53.799999 86.593 163.9694
54.500000 86.561 163.2483
55.200001 86.533 162.5522
56.000000 86.506 161.7355
57.000000 86.466 160.6954
58.000000 86.424 159.7350
59.000000 86.393 158.8000
60.000000 86.363 157.8351
60.799999 86.336 157.0922
61.500000 86.315 156.4618
62.200001 86.296 155.8110
63.000000 86.269 155.0490
64.000000 86.230 154.1576
65.000000 86.200 153.3122
66.000000 86.177 152.3878
67.000000 86.137 151.4238
68.000000 86.087 150.5594
69.000000 86.041 149.7546
70.000000 85.992 148.9427
71.000000 85.937 148.1511
72.000000 85.878 147.3706
73.000000 85.816 146.6163
74.000000 85.754 145.8634
75.000000 85.683 145.1355
76.199997 85.598 144.4200
77.500000 85.518 143.7341
78.800003 85.436 143.2003
80.000000 85.371 142.8722
81.199997 85.320 142.6622
82.500000 85.292 142.5200
83.800003 85.290 142.3421
85.000000 85.304 142.1658
86.199997 85.355 141.9781
87.500000 85.455 141.4512
88.500000 85.534 140.7559
90.000000 85.633 139.2957
91.199997 85.666 137.9400
92.500000 85.674 136.5101
93.800003 85.656 135.1206
95.000000 85.623 133.9723
96.199997 85.587 132.8681
97.500000 85.525 131.7040
98.800003 85.449 130.7376
100.000000 85.392 129.9408
101.500000 85.320 128.8818
103.000000 85.225 127.9142
104.400002 85.143 127.1690
106.000000 85.073 126.2838
107.500000 85.006 125.3691
109.000000 84.931 124.5958
110.599998 84.870 124.1033
112.000000 84.855 123.6857
113.800003 84.785 122.8085
115.000000 84.686 122.3200
117.199997 84.510 121.7568
118.000000 84.467 121.5706
120.599998 84.400 120.8567
122.000000 84.379 120.4662
124.099998 84.338 120.0869
125.000000 84.327 120.0006
126.500000 84.339 119.7836
128.000000 84.373 119.2996
131.500000 84.446 117.6868
132.000000 84.454 117.4434
134.000000 84.479 116.4276
136.000000 84.487 115.4507
138.000000 84.513 114.5649
140.000000 84.529 113.4087
143.000000 84.410 111.6071
145.000000 84.358 110.5130
147.500000 84.423 109.1833
150.000000 84.485 107.4670
152.500000 84.340 106.4885
155.000000 84.184 105.7966
157.500000 84.071 104.6920
160.000000 84.004 103.5073
162.500000 83.938 102.3950
165.000000 83.859 101.3538
167.500000 83.785 100.3394
170.000000 83.705 99.4518
172.500000 83.626 98.6573
175.000000 83.559 97.7823
177.500000 83.496 96.8928
180.000000 83.428 96.0743
182.500000 83.358 95.2455
185.000000 83.287 94.3784
187.500000 83.221 93.6648
190.000000 83.167 93.0719
192.500000 83.108 92.4568
195.000000 83.042 91.7864
197.500000 82.979 91.0990
200.000000 82.919 90.4545
203.000000 82.852 89.7475
206.000000 82.789 89.0558
209.000000 82.726 88.3803
212.000000 82.662 87.7345
214.000000 82.618 87.3200
218.000000 82.541 86.5370
220.000000 82.509 86.1784
224.000000 82.451 85.5412
227.000000 82.415 85.1095
230.000000 82.396 84.6425
233.000000 82.391 84.0940
236.000000 82.388 83.4576
240.000000 82.377 82.4974
243.000000 82.359 81.7271
247.000000 82.322 80.6787
250.000000 82.287 79.9206
254.000000 82.234 78.9940
258.000000 82.177 78.1333
262.000000 82.117 77.3101
265.000000 82.072 76.7086
269.000000 82.015 75.9426
272.000000 81.975 75.3945
276.000000 81.922 74.6785
280.000000 81.872 73.9836
285.000000 81.812 73.1458
290.000000 81.750 72.3309
295.000000 81.691 71.5525
300.000000 81.634 70.8018
304.000000 81.590 70.2125
