* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -30.4 dBFS, measurement signal peak level -29.7 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 27/10/2023 9:07:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0237 ms (-8.1 mm, -0.32 in) using estimated IR delay relative to Acoustic reference on SPEAKER R with no timing offset
* Measurement: Supernova R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 45.714 91.2435
1.015000 45.953 89.4951
1.030000 46.190 87.7952
1.044000 46.410 86.2578
1.060000 46.658 84.5659
1.075000 46.888 83.0494
1.090000 47.114 81.6069
1.106000 47.351 80.1539
1.120000 47.559 78.9403
1.138000 47.828 77.4504
1.150000 48.008 76.4984
1.172000 48.339 74.8319
1.180000 48.460 74.2496
1.206000 48.853 72.4356
1.220000 49.065 71.5039
1.241000 49.382 70.1581
1.250000 49.518 69.5983
1.265000 49.745 68.6850
1.280000 49.971 67.7935
1.315000 50.494 65.7783
1.320000 50.568 65.4960
1.340000 50.864 64.3755
1.360000 51.157 63.2629
1.380000 51.448 62.1499
1.400000 51.734 61.0283
1.430000 52.157 59.3120
1.450000 52.433 58.1332
1.475000 52.771 56.6115
1.500000 53.105 55.0747
1.525000 53.434 53.5365
1.550000 53.759 52.0003
1.575000 54.080 50.4695
1.600000 54.397 48.9476
1.625000 54.709 47.4380
1.650000 55.017 45.9442
1.675000 55.321 44.4696
1.700000 55.621 43.0176
1.725000 55.916 41.5916
1.750000 56.208 40.1952
1.775000 56.494 38.8318
1.800000 56.777 37.5048
1.825000 57.055 36.2176
1.850000 57.329 34.9738
1.875000 57.598 33.7732
1.900000 57.862 32.6120
1.925000 58.121 31.4864
1.950000 58.376 30.3925
1.975000 58.627 29.3264
2.000000 58.873 28.2842
2.030000 59.163 27.0596
2.060000 59.449 25.8573
2.090000 59.729 24.6705
2.120000 60.004 23.4924
2.140000 60.185 22.7086
2.180000 60.541 21.1359
2.200000 60.717 20.3431
2.240000 61.060 18.7643
2.270000 61.311 17.5935
2.300000 61.557 16.4345
2.330000 61.798 15.2875
2.360000 62.033 14.1526
2.400000 62.341 12.6588
2.430000 62.566 11.5532
2.470000 62.861 10.0992
2.500000 63.077 9.0241
2.540000 63.361 7.6115
2.580000 63.640 6.2229
2.620000 63.911 4.8566
2.650000 64.109 3.8463
2.690000 64.366 2.5190
2.720000 64.555 1.5387
2.760000 64.802 0.2524
2.800000 65.042 -1.0097
2.850000 65.336 -2.5525
2.900000 65.622 -4.0554
2.950000 65.902 -5.5160
3.000000 66.174 -6.9258
3.040000 66.384 -8.0197
3.070000 66.539 -8.8228
3.110000 66.740 -9.8737
3.150000 66.938 -10.9052
3.200000 67.179 -12.1731
3.250000 67.415 -13.4239
3.300000 67.647 -14.6652
3.350000 67.873 -15.8967
3.400000 68.092 -17.1123
3.450000 68.305 -18.3085
3.500000 68.513 -19.4814
3.550000 68.717 -20.6274
3.600000 68.917 -21.7426
3.650000 69.114 -22.8235
3.700000 69.308 -23.8646
3.750000 69.497 -24.8641
3.820000 69.754 -26.2064
3.870000 69.934 -27.1342
3.950000 70.215 -28.5850
4.000000 70.388 -29.4817
4.060000 70.593 -30.5560
4.120000 70.793 -31.6169
4.180000 70.989 -32.6604
4.250000 71.213 -33.8541
4.310000 71.402 -34.8551
4.370000 71.587 -35.8340
4.440000 71.801 -36.9441
4.500000 71.980 -37.8647
4.550000 72.128 -38.6142
4.620000 72.330 -39.6436
4.680000 72.501 -40.5141
4.750000 72.696 -41.5244
4.820000 72.888 -42.5318
4.870000 73.022 -43.2448
4.940000 73.207 -44.2330
5.000000 73.363 -45.0700
5.080000 73.566 -46.1705
5.150000 73.739 -47.1179
5.220000 73.909 -48.0509
5.300000 74.098 -49.1003
5.380000 74.282 -50.1327
5.450000 74.438 -51.0229
5.520000 74.592 -51.9014
5.600000 74.762 -52.8917
5.700000 74.968 -54.1070
5.800000 75.166 -55.2948
5.900000 75.359 -56.4527
6.000000 75.544 -57.5828
6.080000 75.688 -58.4661
6.150000 75.810 -59.2230
6.220000 75.931 -59.9641
6.300000 76.066 -60.7906
6.400000 76.229 -61.7941
6.500000 76.389 -62.7689
6.600000 76.545 -63.7194
6.700000 76.697 -64.6438
6.800000 76.847 -65.5420
6.900000 76.993 -66.4187
7.000000 77.138 -67.2774
7.100000 77.280 -68.1128
7.200000 77.421 -68.9299
7.300000 77.559 -69.7367
7.400000 77.695 -70.5362
7.500000 77.830 -71.3241
7.620000 77.989 -72.2591
7.750000 78.158 -73.2658
7.880000 78.324 -74.2632
8.000000 78.473 -75.1776
8.120000 78.618 -76.0887
8.250000 78.771 -77.0717
8.380000 78.919 -78.0474
8.500000 79.052 -78.9400
8.620000 79.180 -79.8263
8.750000 79.315 -80.7749
8.850000 79.416 -81.4940
9.000000 79.562 -82.5582
9.120000 79.674 -83.3939
9.250000 79.793 -84.2812
9.380000 79.909 -85.1509
9.500000 80.013 -85.9378
9.620000 80.115 -86.7087
9.750000 80.224 -87.5260
9.880000 80.331 -88.3285
10.000000 80.428 -89.0563
10.150000 80.549 -89.9490
10.300000 80.668 -90.8295
10.440000 80.779 -91.6392
10.600000 80.904 -92.5552
10.750000 81.020 -93.4090
10.900000 81.135 -94.2570
11.060000 81.255 -95.1588
11.200000 81.359 -95.9456
11.380000 81.490 -96.9531
11.500000 81.575 -97.6230
11.720000 81.728 -98.8435
11.800000 81.782 -99.2840
12.060000 81.953 -100.7026
12.200000 82.042 -101.4542
12.410000 82.171 -102.5649
12.500000 82.225 -103.0331
12.650000 82.314 -103.8036
12.800000 82.401 -104.5612
13.150000 82.598 -106.2781
13.200000 82.625 -106.5182
13.400000 82.734 -107.4649
13.600000 82.842 -108.3948
13.800000 82.947 -109.3092
14.000000 83.051 -110.2121
14.300000 83.203 -111.5467
14.500000 83.301 -112.4255
14.750000 83.420 -113.5105
15.000000 83.534 -114.5797
15.250000 83.644 -115.6302
15.500000 83.749 -116.6602
15.750000 83.851 -117.6691
16.000000 83.949 -118.6571
16.250000 84.043 -119.6270
16.500000 84.135 -120.5807
16.750000 84.224 -121.5207
17.000000 84.310 -122.4489
17.250000 84.393 -123.3655
17.500000 84.473 -124.2704
17.750000 84.550 -125.1630
18.000000 84.624 -126.0433
18.250000 84.696 -126.9115
18.500000 84.766 -127.7693
18.750000 84.835 -128.6178
19.000000 84.901 -129.4582
19.250000 84.965 -130.2911
19.500000 85.027 -131.1154
19.750000 85.086 -131.9301
20.000000 85.144 -132.7332
20.299999 85.212 -133.6805
20.600000 85.278 -134.6105
20.900000 85.342 -135.5258
21.200001 85.407 -136.4306
21.400000 85.449 -137.0306
21.799999 85.531 -138.2248
22.000000 85.571 -138.8190
22.400000 85.646 -139.9989
22.700001 85.700 -140.8719
23.000000 85.750 -141.7302
23.299999 85.798 -142.5711
23.600000 85.844 -143.3936
24.000000 85.903 -144.4627
24.299999 85.947 -145.2466
24.700001 86.003 -146.2734
25.000000 86.044 -147.0331
25.400000 86.096 -148.0342
25.799999 86.146 -149.0192
26.200001 86.193 -149.9848
26.500000 86.228 -150.6972
26.900000 86.274 -151.6382
27.200001 86.307 -152.3436
27.600000 86.349 -153.2877
28.000000 86.385 -154.2265
28.500000 86.425 -155.3620
29.000000 86.463 -156.4403
29.500000 86.507 -157.5020
30.000000 86.551 -158.6121
30.400000 86.578 -159.5369
30.700001 86.590 -160.2251
31.100000 86.598 -161.0840
31.500000 86.602 -161.8469
32.000000 86.620 -162.6957
32.500000 86.656 -163.5414
33.000000 86.698 -164.4785
33.500000 86.732 -165.4873
34.000000 86.753 -166.4792
34.500000 86.769 -167.4050
35.000000 86.790 -168.2907
35.500000 86.812 -169.1820
36.000000 86.832 -170.0843
36.500000 86.848 -170.9728
37.000000 86.861 -171.8329
37.500000 86.873 -172.6734
38.200001 86.889 -173.8328
38.700001 86.897 -174.6422
39.500000 86.909 -175.9006
40.000000 86.915 -176.6766
40.599998 86.921 -177.6003
41.200001 86.925 -178.5063
41.799999 86.929 -179.3972
42.500000 86.933 179.5672
43.099998 86.935 178.6835
43.700001 86.935 177.8171
44.400002 86.934 176.8309
45.000000 86.935 175.9977
45.500000 86.934 175.3117
46.200001 86.931 174.3730
46.799999 86.929 173.5872
47.500000 86.924 172.6828
48.200001 86.916 171.8047
48.700001 86.911 171.2023
49.400002 86.908 170.3667
50.000000 86.906 169.6188
50.799999 86.895 168.5849
51.500000 86.877 167.7117
52.200001 86.858 166.8869
53.000000 86.841 165.9606
53.799999 86.824 165.0317
54.500000 86.809 164.2292
55.200001 86.793 163.4426
56.000000 86.774 162.5642
57.000000 86.752 161.4900
58.000000 86.729 160.4331
59.000000 86.705 159.3972
60.000000 86.679 158.3779
60.799999 86.657 157.5742
61.500000 86.637 156.8820
62.200001 86.617 156.1998
63.000000 86.595 155.4296
64.000000 86.568 154.4751
65.000000 86.539 153.5277
66.000000 86.507 152.5942
67.000000 86.473 151.6868
68.000000 86.439 150.8092
69.000000 86.408 149.9453
70.000000 86.377 149.0824
71.000000 86.346 148.2245
72.000000 86.314 147.3785
73.000000 86.281 146.5469
74.000000 86.249 145.7306
75.000000 86.216 144.9300
76.199997 86.176 143.9857
77.500000 86.130 142.9767
78.800003 86.084 141.9855
80.000000 86.042 141.0830
81.199997 86.000 140.1907
82.500000 85.956 139.2434
83.800003 85.912 138.3230
85.000000 85.871 137.4835
86.199997 85.828 136.6588
87.500000 85.781 135.7799
88.500000 85.745 135.1061
90.000000 85.691 134.1019
91.199997 85.648 133.3113
92.500000 85.602 132.4794
93.800003 85.556 131.6806
95.000000 85.511 130.9530
96.199997 85.462 130.2277
97.500000 85.408 129.4298
98.800003 85.353 128.5977
100.000000 85.298 127.8295
101.500000 85.233 126.9890
103.000000 85.189 126.1954
104.400002 85.149 125.4379
106.000000 85.097 124.5795
107.500000 85.041 123.8017
109.000000 84.993 123.0440
110.599998 84.946 122.2249
112.000000 84.908 121.5471
113.800003 84.854 120.6964
115.000000 84.814 120.1576
117.199997 84.737 119.0578
118.000000 84.703 118.6370
120.599998 84.602 117.4001
122.000000 84.565 116.8148
124.099998 84.518 115.9269
125.000000 84.491 115.5378
126.500000 84.436 114.9349
128.000000 84.378 114.3836
131.500000 84.242 112.8859
132.000000 84.218 112.6531
134.000000 84.122 111.8931
136.000000 84.086 111.2507
138.000000 84.072 110.3939
140.000000 84.036 109.5560
143.000000 83.958 108.4046
145.000000 83.895 107.6197
147.500000 83.816 106.6590
150.000000 83.742 105.7712
152.500000 83.672 104.9980
155.000000 83.598 104.2950
157.500000 83.520 103.6432
160.000000 83.449 103.0255
162.500000 83.385 102.5315
165.000000 83.317 102.2903
167.500000 83.275 102.1362
170.000000 83.265 101.5006
172.500000 83.242 100.6539
175.000000 83.226 100.0420
177.500000 83.223 99.5847
180.000000 83.230 99.1223
182.500000 83.257 98.6159
185.000000 83.304 98.0323
187.500000 83.359 97.2759
190.000000 83.406 96.3060
192.500000 83.435 95.1693
195.000000 83.441 93.9649
197.500000 83.430 92.8100
200.000000 83.407 91.7322
203.000000 83.352 90.4605
206.000000 83.265 89.2742
209.000000 83.184 88.1985
212.000000 83.112 87.2234
214.000000 83.065 86.6243
218.000000 82.971 85.4952
220.000000 82.926 84.9527
224.000000 82.839 83.9177
227.000000 82.778 83.1744
230.000000 82.720 82.4647
233.000000 82.665 81.7911
236.000000 82.611 81.1258
240.000000 82.538 80.2558
243.000000 82.485 79.6285
247.000000 82.417 78.8168
250.000000 82.368 78.2240
254.000000 82.308 77.4598
258.000000 82.250 76.7219
262.000000 82.193 75.9914
265.000000 82.150 75.4556
269.000000 82.096 74.7745
272.000000 82.055 74.2864
276.000000 82.000 73.6560
280.000000 81.947 73.0468
285.000000 81.884 72.3223
290.000000 81.826 71.6268
295.000000 81.771 70.9532
300.000000 81.720 70.3216
