* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 07/01/2023 2:06:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Talos BA L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 49.759 -17.5866
1.015000 49.996 -18.4583
1.030000 50.227 -19.1742
1.044000 50.436 -19.7064
1.060000 50.667 -20.1671
1.075000 50.877 -20.4692
1.090000 51.081 -20.6583
1.106000 51.291 -20.7496
1.120000 51.471 -20.7478
1.138000 51.695 -20.6504
1.150000 51.840 -20.5359
1.172000 52.099 -20.2468
1.180000 52.191 -20.1226
1.206000 52.483 -19.6789
1.220000 52.636 -19.4314
1.241000 52.861 -19.0765
1.250000 52.956 -18.9378
1.265000 53.113 -18.7344
1.280000 53.268 -18.5766
1.315000 53.624 -18.4563
1.320000 53.674 -18.4742
1.340000 53.875 -18.6522
1.360000 54.075 -18.9973
1.380000 54.267 -19.4469
1.400000 54.453 -19.9838
1.430000 54.721 -20.9232
1.450000 54.893 -21.6192
1.475000 55.102 -22.5440
1.500000 55.304 -23.5049
1.525000 55.500 -24.4757
1.550000 55.692 -25.4298
1.575000 55.881 -26.3411
1.600000 56.067 -27.1831
1.625000 56.251 -27.9293
1.650000 56.435 -28.5536
1.675000 56.620 -29.0294
1.700000 56.804 -29.3459
1.725000 56.983 -29.5403
1.750000 57.157 -29.6295
1.775000 57.328 -29.6282
1.800000 57.495 -29.5513
1.825000 57.660 -29.4135
1.850000 57.823 -29.2296
1.875000 57.984 -29.0144
1.900000 58.146 -28.7827
1.925000 58.307 -28.5493
1.950000 58.469 -28.3290
1.975000 58.632 -28.1366
2.000000 58.798 -27.9868
2.030000 59.000 -27.8769
2.060000 59.203 -27.7851
2.090000 59.406 -27.6939
2.120000 59.609 -27.6044
2.140000 59.744 -27.5463
2.180000 60.016 -27.4348
2.200000 60.152 -27.3822
2.240000 60.426 -27.2847
2.270000 60.633 -27.2195
2.300000 60.841 -27.1624
2.330000 61.051 -27.1143
2.360000 61.263 -27.0763
2.400000 61.550 -27.0329
2.430000 61.768 -27.0045
2.470000 62.062 -26.9749
2.500000 62.283 -26.9609
2.540000 62.580 -26.9561
2.580000 62.877 -26.9704
2.620000 63.172 -27.0074
2.650000 63.393 -27.0522
2.690000 63.685 -27.1375
2.720000 63.902 -27.2135
2.760000 64.194 -27.3174
2.800000 64.485 -27.4331
2.850000 64.849 -27.6095
2.900000 65.208 -27.8390
2.950000 65.563 -28.1410
3.000000 65.909 -28.5346
3.040000 66.180 -28.9292
3.070000 66.380 -29.2816
3.110000 66.644 -29.8197
3.150000 66.904 -30.4205
3.200000 67.224 -31.2347
3.250000 67.536 -32.0890
3.300000 67.840 -32.9511
3.350000 68.135 -33.7888
3.400000 68.421 -34.5852
3.450000 68.698 -35.3713
3.500000 68.967 -36.1586
3.550000 69.228 -36.9566
3.600000 69.481 -37.7748
3.650000 69.726 -38.6227
3.700000 69.964 -39.5097
3.750000 70.192 -40.4516
3.820000 70.498 -41.8537
3.870000 70.708 -42.8881
3.950000 71.027 -44.5462
4.000000 71.219 -45.5538
4.060000 71.441 -46.7049
4.120000 71.652 -47.8136
4.180000 71.854 -48.8951
4.250000 72.078 -50.1324
4.310000 72.262 -51.1802
4.370000 72.441 -52.2242
4.440000 72.641 -53.4444
4.500000 72.804 -54.4870
4.550000 72.935 -55.3472
4.620000 73.113 -56.5287
4.680000 73.261 -57.5114
4.750000 73.430 -58.6129
4.820000 73.593 -59.6707
4.870000 73.705 -60.4046
4.940000 73.860 -61.4083
5.000000 73.990 -62.2527
5.080000 74.162 -63.3627
5.150000 74.309 -64.3080
5.220000 74.453 -65.2321
5.300000 74.616 -66.2715
5.380000 74.777 -67.3034
5.450000 74.916 -68.2001
5.520000 75.054 -69.0857
5.600000 75.210 -70.0890
5.700000 75.401 -71.3382
5.800000 75.588 -72.5852
5.900000 75.771 -73.8248
6.000000 75.949 -75.0644
6.080000 76.087 -76.0616
6.150000 76.204 -76.9420
6.220000 76.318 -77.8256
6.300000 76.445 -78.8322
6.400000 76.597 -80.0731
6.500000 76.741 -81.2984
6.600000 76.877 -82.5093
6.700000 77.007 -83.6943
6.800000 77.130 -84.8486
6.900000 77.245 -85.9792
7.000000 77.356 -87.0742
7.100000 77.463 -88.1211
7.200000 77.564 -89.1217
7.300000 77.663 -90.0800
7.400000 77.760 -90.9981
7.500000 77.857 -91.8725
7.620000 77.971 -92.8672
7.750000 78.097 -93.8988
7.880000 78.225 -94.8793
8.000000 78.344 -95.7486
8.120000 78.466 -96.6073
8.250000 78.600 -97.5178
8.380000 78.736 -98.4204
8.500000 78.860 -99.2602
8.620000 78.983 -100.1009
8.750000 79.115 -101.0115
8.850000 79.213 -101.7141
9.000000 79.357 -102.7670
9.120000 79.468 -103.5981
9.250000 79.583 -104.4894
9.380000 79.694 -105.3654
9.500000 79.794 -106.1525
9.620000 79.890 -106.9211
9.750000 79.993 -107.7383
9.880000 80.095 -108.5377
10.000000 80.187 -109.2632
10.150000 80.302 -110.1734
10.300000 80.415 -111.0833
10.440000 80.516 -111.9478
10.600000 80.628 -112.9648
10.750000 80.725 -113.9371
10.900000 80.811 -114.9322
11.060000 80.891 -116.0021
11.200000 80.946 -116.9181
11.380000 81.000 -118.0659
11.500000 81.026 -118.7667
11.720000 81.052 -119.9253
11.800000 81.060 -120.2846
12.060000 81.076 -121.2190
12.200000 81.095 -121.5856
12.410000 81.139 -121.9752
12.500000 81.169 -122.1268
12.650000 81.235 -122.3360
12.800000 81.317 -122.5914
13.150000 81.566 -123.5210
13.200000 81.605 -123.7142
13.400000 81.762 -124.6342
13.600000 81.899 -125.8003
13.800000 82.010 -127.1580
14.000000 82.081 -128.6354
14.300000 82.113 -130.8143
14.500000 82.092 -132.1183
14.750000 82.031 -133.4494
15.000000 81.966 -134.4036
15.250000 81.922 -135.0678
15.500000 81.912 -135.5583
15.750000 81.944 -136.0566
16.000000 81.997 -136.7127
16.250000 82.050 -137.5376
16.500000 82.086 -138.4965
16.750000 82.091 -139.4670
17.000000 82.071 -140.2878
17.250000 82.043 -140.8935
17.500000 82.025 -141.2618
17.750000 82.041 -141.4646
18.000000 82.097 -141.6777
18.250000 82.185 -142.0277
18.500000 82.292 -142.6190
18.750000 82.389 -143.4926
19.000000 82.457 -144.5611
19.250000 82.489 -145.7195
19.500000 82.481 -146.8494
19.750000 82.442 -147.8201
20.000000 82.390 -148.5911
20.299999 82.329 -149.2666
20.600000 82.288 -149.7565
20.900000 82.272 -150.1883
21.200001 82.275 -150.6591
21.400000 82.281 -151.0107
21.799999 82.294 -151.7547
22.000000 82.302 -152.1216
22.400000 82.329 -152.8277
22.700001 82.368 -153.3721
23.000000 82.422 -153.9985
23.299999 82.486 -154.7632
23.600000 82.547 -155.6847
24.000000 82.603 -157.0946
24.299999 82.621 -158.1925
24.700001 82.614 -159.5754
25.000000 82.595 -160.5010
25.400000 82.563 -161.5834
25.799999 82.525 -162.5287
26.200001 82.475 -163.3314
26.500000 82.428 -163.7893
26.900000 82.363 -164.1170
27.200001 82.327 -164.1273
27.600000 82.324 -163.9304
28.000000 82.384 -163.7402
28.500000 82.516 -163.9536
29.000000 82.619 -164.8280
29.500000 82.622 -165.9856
30.000000 82.534 -166.7961
30.400000 82.452 -167.0032
30.700001 82.414 -166.9800
31.100000 82.411 -166.9402
31.500000 82.447 -167.1473
32.000000 82.489 -167.8915
32.500000 82.474 -168.9503
33.000000 82.404 -169.9206
33.500000 82.318 -170.6272
34.000000 82.247 -171.1937
34.500000 82.184 -171.7611
35.000000 82.105 -172.2184
35.500000 82.027 -172.3292
36.000000 82.006 -172.1315
36.500000 82.067 -172.0521
37.000000 82.159 -172.5036
37.500000 82.197 -173.4310
38.200001 82.113 -174.6568
38.700001 82.007 -175.0860
39.500000 81.854 -175.2021
40.000000 81.782 -174.9877
40.599998 81.776 -174.4765
41.200001 81.905 -174.3608
41.799999 82.065 -175.4113
42.500000 82.077 -177.6461
43.099998 81.915 -179.0512
43.700001 81.741 -179.3710
44.400002 81.672 -179.0748
45.000000 81.703 -178.9059
45.500000 81.752 -178.8893
46.200001 81.842 -178.9801
46.799999 81.930 -179.2800
47.500000 81.992 179.9453
48.200001 81.939 178.9940
48.700001 81.825 178.5768
49.400002 81.626 178.6656
50.000000 81.482 179.2025
50.799999 81.363 -179.8313
51.500000 81.356 -179.0041
52.200001 81.453 -178.8183
53.000000 81.538 179.9939
53.799999 81.426 178.3677
54.500000 81.247 177.7475
55.200001 81.137 177.6557
56.000000 81.084 177.3264
57.000000 80.976 176.7959
58.000000 80.881 176.7957
59.000000 80.856 176.6998
60.000000 80.820 176.3409
60.799999 80.783 176.0816
61.500000 80.760 175.8750
62.200001 80.747 175.6725
63.000000 80.752 175.4222
64.000000 80.770 175.0096
65.000000 80.778 174.6201
66.000000 80.780 174.2899
67.000000 80.741 174.0307
68.000000 80.673 174.1667
69.000000 80.636 174.4481
70.000000 80.600 174.5104
71.000000 80.540 174.4910
72.000000 80.478 174.4643
73.000000 80.425 174.3835
74.000000 80.382 174.2309
75.000000 80.339 174.0648
76.199997 80.296 173.9550
77.500000 80.256 173.7965
78.800003 80.179 173.6724
80.000000 80.096 173.8282
81.199997 80.058 174.0311
82.500000 80.039 173.8291
83.800003 79.986 173.5182
85.000000 79.945 173.3857
86.199997 79.925 173.3089
87.500000 79.900 173.2417
88.500000 79.867 173.2893
90.000000 79.808 173.5644
91.199997 79.774 173.8285
92.500000 79.750 173.8342
93.800003 79.702 173.6122
95.000000 79.657 173.4405
96.199997 79.633 173.3027
97.500000 79.628 173.1837
98.800003 79.635 173.0789
100.000000 79.614 172.9815
101.500000 79.552 173.1832
103.000000 79.505 173.4888
104.400002 79.462 173.5686
106.000000 79.393 173.5582
107.500000 79.348 173.6389
109.000000 79.323 173.6875
110.599998 79.292 173.8213
112.000000 79.258 173.9863
113.800003 79.198 174.1765
115.000000 79.153 174.2567
117.199997 79.108 174.3461
118.000000 79.115 174.3088
120.599998 79.150 174.0556
122.000000 79.167 174.1828
124.099998 79.202 174.3632
125.000000 79.181 174.3307
126.500000 79.094 174.4087
128.000000 79.000 174.6206
131.500000 78.872 174.8323
132.000000 78.864 174.8473
134.000000 78.850 174.9526
136.000000 78.840 175.1155
138.000000 78.813 175.2834
140.000000 78.764 175.4432
143.000000 78.723 175.7637
145.000000 78.706 175.7937
147.500000 78.653 175.8555
150.000000 78.591 176.0114
152.500000 78.553 176.2022
155.000000 78.530 176.3730
157.500000 78.511 176.5658
160.000000 78.486 176.7307
162.500000 78.445 176.8804
165.000000 78.394 177.0478
167.500000 78.349 177.2789
170.000000 78.321 177.5810
172.500000 78.286 177.9248
175.000000 78.234 178.2905
177.500000 78.194 178.7018
180.000000 78.184 179.2454
182.500000 78.180 179.9514
185.000000 78.189 -179.3640
187.500000 78.214 -179.0133
190.000000 78.257 -178.7459
192.500000 78.320 -178.6313
195.000000 78.351 -178.7612
197.500000 78.368 -178.9025
200.000000 78.404 -179.0143
203.000000 78.432 -179.1757
206.000000 78.416 -179.2553
209.000000 78.389 -179.2039
212.000000 78.359 -179.1762
214.000000 78.351 -179.2079
218.000000 78.401 -179.2978
220.000000 78.406 -179.2667
224.000000 78.322 -178.8042
227.000000 78.269 -178.5583
230.000000 78.238 -178.4131
233.000000 78.220 -178.1950
236.000000 78.208 -178.0103
240.000000 78.184 -177.7686
243.000000 78.160 -177.5295
247.000000 78.124 -177.2417
250.000000 78.103 -177.0668
254.000000 78.097 -176.9037
258.000000 78.092 -176.7183
262.000000 78.076 -176.5039
265.000000 78.064 -176.3176
269.000000 78.052 -176.0558
272.000000 78.044 -175.8695
276.000000 78.034 -175.6062
280.000000 78.016 -175.2998
285.000000 77.999 -174.9621
290.000000 77.991 -174.7057
