* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 07/01/2023 2:03:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Talos BA R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 43.644 21.9443
1.015000 43.940 23.2520
1.030000 44.257 24.4991
1.044000 44.574 25.6274
1.060000 44.957 26.8727
1.075000 45.336 27.9953
1.090000 45.730 29.0725
1.106000 46.167 30.1692
1.120000 46.560 31.0826
1.138000 47.078 32.1911
1.150000 47.429 32.8874
1.172000 48.081 34.0712
1.180000 48.320 34.4709
1.206000 49.098 35.6523
1.220000 49.515 36.2110
1.241000 50.133 36.9434
1.250000 50.393 37.2172
1.265000 50.821 37.6186
1.280000 51.238 37.9496
1.315000 52.158 38.4371
1.320000 52.282 38.4731
1.340000 52.758 38.5302
1.360000 53.202 38.4171
1.380000 53.630 38.0670
1.400000 54.044 37.5000
1.430000 54.639 36.2984
1.450000 55.020 35.3004
1.475000 55.481 33.8759
1.500000 55.926 32.3010
1.525000 56.357 30.6254
1.550000 56.776 28.8985
1.575000 57.183 27.1700
1.600000 57.582 25.4894
1.625000 57.973 23.9063
1.650000 58.358 22.4704
1.675000 58.740 21.2311
1.700000 59.117 20.1927
1.725000 59.481 19.2466
1.750000 59.835 18.3734
1.775000 60.177 17.5608
1.800000 60.510 16.7961
1.825000 60.833 16.0670
1.850000 61.148 15.3609
1.875000 61.456 14.6653
1.900000 61.756 13.9677
1.925000 62.050 13.2555
1.950000 62.338 12.5165
1.975000 62.622 11.7379
2.000000 62.902 10.9073
2.030000 63.234 9.8277
2.060000 63.556 8.6811
2.090000 63.867 7.4847
2.120000 64.169 6.2487
2.140000 64.366 5.4079
2.180000 64.748 3.6991
2.200000 64.933 2.8374
2.240000 65.296 1.1141
2.270000 65.560 -0.1662
2.300000 65.819 -1.4247
2.330000 66.073 -2.6512
2.360000 66.324 -3.8360
2.400000 66.647 -5.3822
2.430000 66.881 -6.5294
2.470000 67.184 -8.0408
2.500000 67.403 -9.1597
2.540000 67.687 -10.6304
2.580000 67.962 -12.0752
2.620000 68.229 -13.4922
2.650000 68.425 -14.5357
2.690000 68.681 -15.8995
2.720000 68.868 -16.8971
2.760000 69.108 -18.1888
2.800000 69.341 -19.4441
2.850000 69.619 -20.9739
2.900000 69.887 -22.4749
2.950000 70.145 -23.9626
3.000000 70.396 -25.4528
3.040000 70.591 -26.6574
3.070000 70.733 -27.5737
3.110000 70.916 -28.8067
3.150000 71.093 -30.0426
3.200000 71.307 -31.5751
3.250000 71.512 -33.0740
3.300000 71.712 -34.5181
3.350000 71.906 -35.8859
3.400000 72.096 -37.1598
3.450000 72.277 -38.3480
3.500000 72.452 -39.4698
3.550000 72.621 -40.5448
3.600000 72.785 -41.5924
3.650000 72.946 -42.6321
3.700000 73.104 -43.6832
3.750000 73.259 -44.7503
3.820000 73.467 -46.2421
3.870000 73.612 -47.2929
3.950000 73.837 -48.9214
4.000000 73.976 -49.8910
4.060000 74.141 -50.9890
4.120000 74.302 -52.0090
4.180000 74.461 -52.9692
4.250000 74.642 -54.0422
4.310000 74.796 -54.9459
4.370000 74.949 -55.8572
4.440000 75.126 -56.9307
4.500000 75.276 -57.8419
4.550000 75.399 -58.5938
4.620000 75.570 -59.6335
4.680000 75.715 -60.5109
4.750000 75.882 -61.5153
4.820000 76.047 -62.4947
4.870000 76.164 -63.1834
4.940000 76.325 -64.1395
5.000000 76.461 -64.9580
5.080000 76.637 -66.0568
5.150000 76.789 -67.0204
5.220000 76.937 -67.9827
5.300000 77.102 -69.0785
5.380000 77.260 -70.1678
5.450000 77.394 -71.1186
5.520000 77.524 -72.0690
5.600000 77.667 -73.1470
5.700000 77.837 -74.4692
5.800000 77.998 -75.7574
5.900000 78.149 -77.0198
6.000000 78.291 -78.2474
6.080000 78.400 -79.1988
6.150000 78.491 -80.0135
6.220000 78.577 -80.8104
6.300000 78.673 -81.6932
6.400000 78.789 -82.7450
6.500000 78.900 -83.7342
6.600000 79.007 -84.6688
6.700000 79.113 -85.5580
6.800000 79.219 -86.4040
6.900000 79.325 -87.2009
7.000000 79.432 -87.9628
7.100000 79.542 -88.7028
7.200000 79.654 -89.4069
7.300000 79.770 -90.0900
7.400000 79.888 -90.7767
7.500000 80.009 -91.4682
7.620000 80.159 -92.2977
7.750000 80.322 -93.2283
7.880000 80.487 -94.1991
8.000000 80.638 -95.1273
8.120000 80.785 -96.0943
8.250000 80.941 -97.1890
8.380000 81.089 -98.3172
8.500000 81.218 -99.3822
8.620000 81.338 -100.4738
8.750000 81.459 -101.6560
8.850000 81.545 -102.5617
9.000000 81.662 -103.9144
9.120000 81.747 -104.9651
9.250000 81.831 -106.0744
9.380000 81.907 -107.1470
9.500000 81.974 -108.0933
9.620000 82.037 -109.0005
9.750000 82.102 -109.9460
9.880000 82.167 -110.8507
10.000000 82.226 -111.6533
10.150000 82.301 -112.6334
10.300000 82.377 -113.5836
10.440000 82.447 -114.4605
10.600000 82.527 -115.4595
10.750000 82.601 -116.3906
10.900000 82.671 -117.3224
11.060000 82.742 -118.3088
11.200000 82.798 -119.1547
11.380000 82.865 -120.2181
11.500000 82.907 -120.8955
11.720000 82.978 -122.0747
11.800000 83.004 -122.4807
12.060000 83.088 -123.7129
12.200000 83.137 -124.3419
12.410000 83.218 -125.2495
12.500000 83.255 -125.6452
12.650000 83.320 -126.3065
12.800000 83.386 -126.9939
13.150000 83.533 -128.7320
13.200000 83.551 -128.9954
13.400000 83.618 -130.0735
13.600000 83.664 -131.1432
13.800000 83.693 -132.1697
14.000000 83.702 -133.0905
14.300000 83.702 -134.1844
14.500000 83.703 -134.7104
14.750000 83.724 -135.1475
15.000000 83.784 -135.4726
15.250000 83.881 -135.8256
15.500000 84.010 -136.3251
15.750000 84.152 -137.0791
16.000000 84.283 -138.0911
16.250000 84.389 -139.2929
16.500000 84.459 -140.5995
16.750000 84.490 -141.8866
17.000000 84.493 -143.0500
17.250000 84.479 -144.0554
17.500000 84.460 -144.8930
17.750000 84.448 -145.6017
18.000000 84.446 -146.2529
18.250000 84.451 -146.8894
18.500000 84.462 -147.5424
18.750000 84.469 -148.2123
19.000000 84.471 -148.8643
19.250000 84.471 -149.4725
19.500000 84.472 -150.0155
19.750000 84.480 -150.4961
20.000000 84.501 -150.9561
20.299999 84.544 -151.5427
20.600000 84.601 -152.2435
20.900000 84.659 -153.1018
21.200001 84.704 -154.1019
21.400000 84.720 -154.8133
21.799999 84.716 -156.2064
22.000000 84.700 -156.8301
22.400000 84.653 -157.8550
22.700001 84.624 -158.4192
23.000000 84.613 -158.8650
23.299999 84.627 -159.2820
23.600000 84.661 -159.7667
24.000000 84.719 -160.6349
24.299999 84.751 -161.4571
24.700001 84.757 -162.6744
25.000000 84.728 -163.5488
25.400000 84.656 -164.4987
25.799999 84.573 -165.1224
26.200001 84.509 -165.4923
26.500000 84.479 -165.6967
26.900000 84.457 -165.9673
27.200001 84.448 -166.1850
27.600000 84.442 -166.4669
28.000000 84.451 -166.7321
28.500000 84.492 -167.1584
29.000000 84.550 -167.9123
29.500000 84.579 -169.0354
30.000000 84.546 -170.2743
30.400000 84.481 -171.1435
30.700001 84.420 -171.6642
31.100000 84.339 -172.1798
31.500000 84.270 -172.5314
32.000000 84.213 -172.8312
32.500000 84.197 -173.1110
33.000000 84.213 -173.5526
33.500000 84.234 -174.2508
34.000000 84.229 -175.1081
34.500000 84.190 -175.9237
35.000000 84.131 -176.5508
35.500000 84.075 -176.9560
36.000000 84.041 -177.1952
36.500000 84.041 -177.4253
37.000000 84.058 -177.8586
37.500000 84.046 -178.5170
38.200001 83.940 -179.1422
38.700001 83.879 -179.0301
39.500000 83.947 -179.0466
40.000000 83.979 -179.8481
40.599998 83.875 179.1945
41.200001 83.743 179.1994
41.799999 83.754 179.3727
42.500000 83.779 178.3163
43.099998 83.619 177.4749
43.700001 83.471 177.9680
44.400002 83.571 178.3572
45.000000 83.631 177.1507
45.500000 83.511 176.2474
46.200001 83.345 176.7823
46.799999 83.472 177.3145
47.500000 83.617 175.8063
48.200001 83.432 174.3948
48.700001 83.293 174.8492
49.400002 83.410 175.5991
50.000000 83.567 174.4706
50.799999 83.419 172.3213
51.500000 83.169 172.3370
52.200001 83.134 172.9605
53.000000 83.179 172.3770
53.799999 83.061 171.4454
54.500000 82.913 171.3795
55.200001 82.841 171.6766
56.000000 82.834 171.6396
57.000000 82.758 171.1240
58.000000 82.663 171.4225
59.000000 82.754 171.4082
60.000000 82.739 169.9745
60.799999 82.547 169.4455
61.500000 82.415 169.9572
62.200001 82.415 170.5729
63.000000 82.486 170.5179
64.000000 82.479 169.6701
65.000000 82.366 169.1272
66.000000 82.265 169.0776
67.000000 82.215 169.0264
68.000000 82.163 168.7466
69.000000 82.079 168.5766
70.000000 82.013 168.7055
71.000000 82.001 168.8516
72.000000 82.022 168.7448
73.000000 82.036 168.3029
74.000000 82.003 167.6859
75.000000 81.919 167.2372
76.199997 81.813 167.1149
77.500000 81.728 167.1556
78.800003 81.655 167.2742
80.000000 81.606 167.3286
81.199997 81.546 167.3125
82.500000 81.491 167.3563
83.800003 81.458 167.2706
85.000000 81.420 167.0910
86.199997 81.367 166.9920
87.500000 81.311 167.0257
88.500000 81.268 167.0507
90.000000 81.181 167.0027
91.199997 81.092 166.9656
92.500000 81.007 166.8889
93.800003 80.944 166.6538
95.000000 80.888 166.3833
96.199997 80.850 166.3508
97.500000 80.866 166.4069
98.800003 80.886 166.2462
100.000000 80.850 166.0750
101.500000 80.760 166.2157
103.000000 80.684 166.5037
104.400002 80.629 166.6919
106.000000 80.576 166.7973
107.500000 80.525 166.8984
109.000000 80.479 167.0419
110.599998 80.428 167.0840
112.000000 80.375 167.0710
113.800003 80.318 167.0222
115.000000 80.286 166.9861
117.199997 80.235 166.9922
118.000000 80.212 166.9922
120.599998 80.140 166.8919
122.000000 80.102 166.5769
124.099998 79.979 166.2818
125.000000 79.935 166.5391
126.500000 79.930 167.1242
128.000000 79.945 167.5284
131.500000 79.874 167.9764
132.000000 79.856 168.0159
134.000000 79.800 168.1137
136.000000 79.766 168.1401
138.000000 79.729 168.2595
140.000000 79.682 168.5152
143.000000 79.609 168.8924
145.000000 79.566 168.9266
147.500000 79.504 168.9828
150.000000 79.456 169.1530
152.500000 79.408 169.4184
155.000000 79.360 169.6542
157.500000 79.310 169.8730
160.000000 79.269 170.0876
162.500000 79.233 170.2968
165.000000 79.196 170.5444
167.500000 79.161 170.7658
170.000000 79.117 170.9787
172.500000 79.077 171.1913
175.000000 79.044 171.3532
177.500000 79.004 171.5222
180.000000 78.960 171.8044
182.500000 78.928 172.0719
185.000000 78.897 172.2607
187.500000 78.864 172.4734
190.000000 78.829 172.7250
192.500000 78.792 172.9689
195.000000 78.764 173.1606
197.500000 78.731 173.3138
200.000000 78.686 173.5929
203.000000 78.636 174.0425
206.000000 78.595 174.4287
209.000000 78.558 174.7520
212.000000 78.518 175.0742
214.000000 78.488 175.3168
218.000000 78.438 175.9340
220.000000 78.427 176.2800
224.000000 78.394 176.8724
227.000000 78.349 177.3250
230.000000 78.351 177.8017
233.000000 78.412 178.1828
236.000000 78.481 178.4526
240.000000 78.520 178.5814
243.000000 78.516 178.5596
247.000000 78.501 178.5579
250.000000 78.487 178.6464
254.000000 78.467 178.9267
258.000000 78.440 179.1882
262.000000 78.408 179.4080
265.000000 78.395 179.5697
269.000000 78.384 179.7984
272.000000 78.369 179.9867
276.000000 78.335 -179.7779
280.000000 78.306 -179.5316
285.000000 78.282 -179.1588
290.000000 78.264 -178.7029
295.000000 78.240 -178.2674
300.000000 78.228 -177.9113
304.000000 78.210 -177.6393
307.000000 78.193 -177.4297
311.000000 78.175 -177.1264
315.000000 78.157 -176.8184
320.000000 78.138 -176.4685
