* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 07/01/2023 2:05:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Talos No BA L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 53.863 -21.4783
1.015000 53.963 -22.1844
1.030000 54.058 -22.8807
1.044000 54.144 -23.5261
1.060000 54.236 -24.2578
1.075000 54.319 -24.9373
1.090000 54.399 -25.6097
1.106000 54.479 -26.3184
1.120000 54.546 -26.9306
1.138000 54.628 -27.7060
1.150000 54.680 -28.2150
1.172000 54.771 -29.1303
1.180000 54.802 -29.4571
1.206000 54.899 -30.4951
1.220000 54.948 -31.0379
1.241000 55.019 -31.8292
1.250000 55.047 -32.1595
1.265000 55.094 -32.6978
1.280000 55.139 -33.2201
1.315000 55.237 -34.3727
1.320000 55.250 -34.5294
1.340000 55.303 -35.1354
1.360000 55.352 -35.7158
1.380000 55.395 -36.2923
1.400000 55.432 -36.8618
1.430000 55.476 -37.6925
1.450000 55.499 -38.2234
1.475000 55.523 -38.8531
1.500000 55.542 -39.4360
1.525000 55.557 -39.9629
1.550000 55.570 -40.4243
1.575000 55.581 -40.8108
1.600000 55.593 -41.1131
1.625000 55.606 -41.3218
1.650000 55.622 -41.4274
1.675000 55.641 -41.4205
1.700000 55.661 -41.2906
1.725000 55.671 -41.0353
1.750000 55.672 -40.6656
1.775000 55.668 -40.1930
1.800000 55.661 -39.6291
1.825000 55.655 -38.9852
1.850000 55.653 -38.2730
1.875000 55.656 -37.5040
1.900000 55.670 -36.6897
1.925000 55.695 -35.8416
1.950000 55.736 -34.9712
1.975000 55.795 -34.0900
2.000000 55.876 -33.2096
2.030000 56.003 -32.1563
2.060000 56.159 -30.9851
2.090000 56.340 -29.6899
2.120000 56.542 -28.3045
2.140000 56.688 -27.3474
2.180000 57.004 -25.3978
2.200000 57.173 -24.4252
2.240000 57.527 -22.5345
2.270000 57.805 -21.2034
2.300000 58.092 -19.9843
2.330000 58.384 -18.9108
2.360000 58.681 -18.0150
2.400000 59.103 -17.0036
2.430000 59.443 -16.3411
2.470000 59.919 -15.5855
2.500000 60.288 -15.1140
2.540000 60.789 -14.6119
2.580000 61.291 -14.2536
2.620000 61.785 -14.0384
2.650000 62.144 -13.9704
2.690000 62.601 -14.0038
2.720000 62.930 -14.1432
2.760000 63.364 -14.5124
2.800000 63.792 -15.0608
2.850000 64.316 -15.9481
2.900000 64.824 -16.9994
2.950000 65.313 -18.1502
3.000000 65.782 -19.3361
3.040000 66.139 -20.2728
3.070000 66.397 -21.0096
3.110000 66.730 -22.0581
3.150000 67.050 -23.1684
3.200000 67.433 -24.6204
3.250000 67.798 -26.1167
3.300000 68.146 -27.6281
3.350000 68.478 -29.1256
3.400000 68.795 -30.6063
3.450000 69.092 -32.1213
3.500000 69.372 -33.6586
3.550000 69.636 -35.2021
3.600000 69.885 -36.7358
3.650000 70.122 -38.2434
3.700000 70.349 -39.7089
3.750000 70.563 -41.1454
3.820000 70.836 -43.1384
3.870000 71.017 -44.5350
3.950000 71.284 -46.6942
4.000000 71.441 -47.9806
4.060000 71.622 -49.4457
4.120000 71.788 -50.8419
4.180000 71.940 -52.1737
4.250000 72.104 -53.6429
4.310000 72.240 -54.8270
4.370000 72.374 -55.9393
4.440000 72.526 -57.1364
4.500000 72.648 -58.0771
4.550000 72.747 -58.8090
4.620000 72.884 -59.7669
4.680000 73.006 -60.5377
4.750000 73.154 -61.3806
4.820000 73.304 -62.1271
4.870000 73.412 -62.6159
4.940000 73.567 -63.2661
5.000000 73.705 -63.8159
5.080000 73.896 -64.5680
5.150000 74.071 -65.2016
5.220000 74.252 -65.8216
5.300000 74.462 -66.5461
5.380000 74.672 -67.3242
5.450000 74.857 -68.0550
5.520000 75.046 -68.8143
5.600000 75.261 -69.7209
5.700000 75.521 -70.9188
5.800000 75.767 -72.2047
5.900000 76.005 -73.5757
6.000000 76.228 -74.9886
6.080000 76.392 -76.1229
6.150000 76.525 -77.1390
6.220000 76.649 -78.1713
6.300000 76.781 -79.3456
6.400000 76.930 -80.7619
6.500000 77.060 -82.1326
6.600000 77.172 -83.4628
6.700000 77.273 -84.7128
6.800000 77.365 -85.8567
6.900000 77.443 -86.9126
7.000000 77.516 -87.8804
7.100000 77.591 -88.7565
7.200000 77.663 -89.5254
7.300000 77.736 -90.2135
7.400000 77.815 -90.8578
7.500000 77.902 -91.4516
7.620000 78.014 -92.0966
7.750000 78.144 -92.8012
7.880000 78.285 -93.5237
8.000000 78.421 -94.2080
8.120000 78.556 -94.9496
8.250000 78.703 -95.8180
8.380000 78.845 -96.7306
8.500000 78.965 -97.6081
8.620000 79.078 -98.5234
8.750000 79.190 -99.5055
8.850000 79.267 -100.2465
9.000000 79.370 -101.3383
9.120000 79.449 -102.1567
9.250000 79.526 -102.9835
9.380000 79.602 -103.7609
9.500000 79.677 -104.4334
9.620000 79.752 -105.0582
9.750000 79.840 -105.7263
9.880000 79.936 -106.3956
10.000000 80.030 -107.0161
10.150000 80.151 -107.8565
10.300000 80.279 -108.7641
10.440000 80.395 -109.6820
10.600000 80.523 -110.8344
10.750000 80.633 -111.9830
10.900000 80.728 -113.1844
11.060000 80.815 -114.5049
11.200000 80.876 -115.6438
11.380000 80.936 -117.0913
11.500000 80.968 -118.0061
11.720000 81.009 -119.5859
11.800000 81.023 -120.1231
12.060000 81.059 -121.7283
12.200000 81.081 -122.5246
12.410000 81.115 -123.6365
12.500000 81.131 -124.0958
12.650000 81.159 -124.8358
12.800000 81.189 -125.5467
13.150000 81.261 -127.0949
13.200000 81.272 -127.2987
13.400000 81.317 -128.0705
13.600000 81.371 -128.7622
13.800000 81.437 -129.3960
14.000000 81.520 -129.9968
14.300000 81.677 -130.9774
14.500000 81.794 -131.7485
14.750000 81.944 -132.9148
15.000000 82.071 -134.2994
15.250000 82.161 -135.8083
15.500000 82.202 -137.3276
15.750000 82.195 -138.6936
16.000000 82.158 -139.7577
16.250000 82.111 -140.4925
16.500000 82.078 -140.9198
16.750000 82.078 -141.1533
17.000000 82.115 -141.3852
17.250000 82.176 -141.7269
17.500000 82.246 -142.2532
17.750000 82.301 -142.9645
18.000000 82.329 -143.7516
18.250000 82.331 -144.5187
18.500000 82.311 -145.1778
18.750000 82.287 -145.6715
19.000000 82.276 -146.0494
19.250000 82.285 -146.3900
19.500000 82.318 -146.7878
19.750000 82.367 -147.3563
20.000000 82.415 -148.1277
20.299999 82.454 -149.2987
20.600000 82.457 -150.6357
20.900000 82.416 -151.9814
21.200001 82.342 -153.1840
21.400000 82.283 -153.8520
21.799999 82.171 -154.8574
22.000000 82.131 -155.2279
22.400000 82.099 -155.8486
22.700001 82.116 -156.3651
23.000000 82.154 -157.0233
23.299999 82.194 -157.8481
23.600000 82.220 -158.7919
24.000000 82.212 -160.0363
24.299999 82.178 -160.7816
24.700001 82.123 -161.3395
25.000000 82.104 -161.4345
25.400000 82.142 -161.3250
25.799999 82.255 -161.3188
26.200001 82.400 -161.7238
26.500000 82.493 -162.3278
26.900000 82.560 -163.3529
27.200001 82.560 -164.1083
27.600000 82.511 -164.8614
28.000000 82.442 -165.2348
28.500000 82.384 -165.3395
29.000000 82.372 -165.4661
29.500000 82.367 -165.8527
30.000000 82.330 -166.3522
30.400000 82.285 -166.6342
30.700001 82.259 -166.7283
31.100000 82.260 -166.7655
31.500000 82.314 -166.9081
32.000000 82.431 -167.5858
32.500000 82.530 -168.9487
33.000000 82.539 -170.6543
33.500000 82.449 -172.1204
34.000000 82.320 -172.9432
34.500000 82.222 -173.1754
35.000000 82.185 -173.1611
35.500000 82.191 -173.1450
36.000000 82.220 -173.1836
36.500000 82.266 -173.3461
37.000000 82.305 -173.7518
37.500000 82.299 -174.3420
38.200001 82.201 -174.9135
38.700001 82.126 -174.9754
39.500000 82.055 -175.1296
40.000000 81.994 -175.3604
40.599998 81.916 -175.4300
41.200001 81.900 -175.5205
41.799999 81.899 -176.1678
42.500000 81.791 -177.0397
43.099998 81.697 -177.0577
43.700001 81.732 -177.0711
44.400002 81.773 -178.1266
45.000000 81.673 -178.9095
45.500000 81.600 -178.8158
46.200001 81.674 -178.6665
46.799999 81.751 -179.5940
47.500000 81.654 179.2760
48.200001 81.548 179.3251
48.700001 81.568 179.3855
49.400002 81.585 178.7897
50.000000 81.521 178.4666
50.799999 81.522 178.6935
51.500000 81.610 178.1171
52.200001 81.552 176.9241
53.000000 81.336 176.7398
53.799999 81.268 177.5730
54.500000 81.320 177.6216
55.200001 81.292 177.0079
56.000000 81.138 176.7482
57.000000 81.033 177.3804
58.000000 81.064 177.1575
59.000000 80.965 176.2960
60.000000 80.830 176.3510
60.799999 80.840 176.5014
61.500000 80.875 176.1208
62.200001 80.856 175.4882
63.000000 80.772 175.0812
64.000000 80.700 175.2355
65.000000 80.723 175.2982
66.000000 80.725 174.7367
67.000000 80.617 174.2529
68.000000 80.497 174.4601
69.000000 80.461 174.7820
70.000000 80.446 174.7396
71.000000 80.408 174.6145
72.000000 80.376 174.5432
73.000000 80.357 174.3718
74.000000 80.327 174.0679
75.000000 80.268 173.8330
76.199997 80.206 173.8981
77.500000 80.191 173.9712
78.800003 80.169 173.8925
80.000000 80.131 173.8763
81.199997 80.099 173.8682
82.500000 80.047 173.7065
83.800003 79.969 173.6137
85.000000 79.909 173.6219
86.199997 79.868 173.5737
87.500000 79.825 173.5112
88.500000 79.800 173.5422
90.000000 79.784 173.6541
91.199997 79.786 173.6929
92.500000 79.774 173.6241
93.800003 79.745 173.5788
95.000000 79.716 173.5262
96.199997 79.679 173.4688
97.500000 79.636 173.5047
98.800003 79.616 173.6667
100.000000 79.615 173.6911
101.500000 79.569 173.5818
103.000000 79.486 173.7145
104.400002 79.426 173.9060
106.000000 79.369 173.9114
107.500000 79.323 173.8727
109.000000 79.299 173.8265
110.599998 79.278 173.7948
112.000000 79.248 173.8519
113.800003 79.194 173.9683
115.000000 79.149 174.0501
117.199997 79.091 174.2042
118.000000 79.084 174.2497
120.599998 79.091 174.5070
122.000000 79.104 174.8615
124.099998 79.164 175.1625
125.000000 79.163 174.9789
126.500000 79.088 174.6524
128.000000 78.991 174.5885
131.500000 78.875 174.8383
132.000000 78.869 174.8683
134.000000 78.849 174.9493
136.000000 78.826 174.9847
138.000000 78.792 175.0948
140.000000 78.763 175.3599
143.000000 78.734 175.6850
145.000000 78.704 175.7678
147.500000 78.669 175.9187
150.000000 78.651 176.0618
152.500000 78.616 176.1236
155.000000 78.566 176.1902
157.500000 78.533 176.3297
160.000000 78.516 176.5507
162.500000 78.492 176.8383
165.000000 78.455 177.1545
167.500000 78.420 177.4150
170.000000 78.383 177.6247
172.500000 78.349 177.7971
175.000000 78.312 177.9572
177.500000 78.286 178.1379
180.000000 78.262 178.3627
182.500000 78.237 178.7158
185.000000 78.210 179.0631
187.500000 78.181 179.3744
190.000000 78.157 179.7170
192.500000 78.130 -179.8765
195.000000 78.098 -179.3687
197.500000 78.104 -178.7720
200.000000 78.160 -178.3651
203.000000 78.234 -178.2663
206.000000 78.287 -178.5615
209.000000 78.313 -178.8483
212.000000 78.332 -178.8443
214.000000 78.328 -178.8308
218.000000 78.297 -178.7977
220.000000 78.293 -178.7954
224.000000 78.281 -178.7605
227.000000 78.262 -178.6049
230.000000 78.241 -178.4236
233.000000 78.218 -178.2395
236.000000 78.198 -178.0490
240.000000 78.176 -177.8453
243.000000 78.155 -177.6899
247.000000 78.129 -177.3772
250.000000 78.114 -177.1273
254.000000 78.097 -176.9454
258.000000 78.085 -176.7851
262.000000 78.074 -176.5753
265.000000 78.061 -176.4126
269.000000 78.045 -176.1929
272.000000 78.036 -176.0129
276.000000 78.026 -175.7344
280.000000 78.019 -175.4728
285.000000 78.004 -175.1875
290.000000 77.985 -174.9244
295.000000 77.974 -174.6257
