* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 07/01/2023 2:02:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Talos No BA R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 48.259 43.2283
1.015000 48.559 41.7404
1.030000 48.856 40.4117
1.044000 49.133 39.3055
1.060000 49.448 38.1874
1.075000 49.742 37.2690
1.090000 50.034 36.4646
1.106000 50.344 35.7195
1.120000 50.614 35.1525
1.138000 50.959 34.5244
1.150000 51.187 34.1598
1.172000 51.601 33.5823
1.180000 51.751 33.3958
1.206000 52.232 32.8481
1.220000 52.488 32.5753
1.241000 52.867 32.1697
1.250000 53.027 31.9906
1.265000 53.293 31.6759
1.280000 53.555 31.3311
1.315000 54.153 30.3458
1.320000 54.237 30.1782
1.340000 54.568 29.4238
1.360000 54.892 28.5466
1.380000 55.210 27.6245
1.400000 55.522 26.6684
1.430000 55.978 25.1832
1.450000 56.275 24.1675
1.475000 56.638 22.8796
1.500000 56.994 21.5819
1.525000 57.343 20.2859
1.550000 57.685 19.0030
1.575000 58.022 17.7447
1.600000 58.352 16.5223
1.625000 58.677 15.3473
1.650000 58.998 14.2312
1.675000 59.315 13.1853
1.700000 59.628 12.2161
1.725000 59.934 11.3115
1.750000 60.233 10.4629
1.775000 60.526 9.6623
1.800000 60.813 8.9016
1.825000 61.095 8.1729
1.850000 61.371 7.4681
1.875000 61.642 6.7793
1.900000 61.909 6.0984
1.925000 62.171 5.4175
1.950000 62.430 4.7284
1.975000 62.685 4.0233
2.000000 62.936 3.2940
2.030000 63.234 2.3791
2.060000 63.525 1.4463
2.090000 63.809 0.5058
2.120000 64.087 -0.4406
2.140000 64.268 -1.0737
2.180000 64.624 -2.3429
2.200000 64.798 -2.9778
2.240000 65.139 -4.2450
2.270000 65.390 -5.1910
2.300000 65.636 -6.1311
2.330000 65.878 -7.0633
2.360000 66.116 -7.9857
2.400000 66.427 -9.2124
2.430000 66.654 -10.1327
2.470000 66.948 -11.3564
2.500000 67.164 -12.2694
2.540000 67.444 -13.4767
2.580000 67.718 -14.6686
2.620000 67.985 -15.8405
2.650000 68.181 -16.7037
2.690000 68.438 -17.8301
2.720000 68.627 -18.6525
2.760000 68.872 -19.7181
2.800000 69.110 -20.7553
2.850000 69.398 -22.0238
2.900000 69.677 -23.2752
2.950000 69.948 -24.5247
3.000000 70.211 -25.7873
3.040000 70.417 -26.8171
3.070000 70.567 -27.6035
3.110000 70.763 -28.6658
3.150000 70.954 -29.7360
3.200000 71.184 -31.0726
3.250000 71.408 -32.3930
3.300000 71.625 -33.6813
3.350000 71.837 -34.9215
3.400000 72.043 -36.1013
3.450000 72.242 -37.2292
3.500000 72.434 -38.3176
3.550000 72.620 -39.3788
3.600000 72.800 -40.4250
3.650000 72.977 -41.4687
3.700000 73.149 -42.5221
3.750000 73.316 -43.5897
3.820000 73.541 -45.0907
3.870000 73.696 -46.1564
3.950000 73.935 -47.8279
4.000000 74.080 -48.8389
4.060000 74.251 -50.0051
4.120000 74.415 -51.1218
4.180000 74.574 -52.1995
4.250000 74.754 -53.4213
4.310000 74.904 -54.4497
4.370000 75.050 -55.4714
4.440000 75.216 -56.6574
4.500000 75.355 -57.6603
4.550000 75.467 -58.4843
4.620000 75.620 -59.6169
4.680000 75.749 -60.5650
4.750000 75.896 -61.6410
4.820000 76.039 -62.6850
4.870000 76.139 -63.4136
4.940000 76.276 -64.4135
5.000000 76.391 -65.2552
5.080000 76.542 -66.3597
5.150000 76.671 -67.3049
5.220000 76.797 -68.2304
5.300000 76.937 -69.2665
5.380000 77.076 -70.2821
5.450000 77.195 -71.1543
5.520000 77.311 -72.0099
5.600000 77.442 -72.9678
5.700000 77.603 -74.1360
5.800000 77.760 -75.2698
5.900000 77.915 -76.3686
6.000000 78.066 -77.4412
6.080000 78.187 -78.2860
6.150000 78.290 -79.0140
6.220000 78.393 -79.7308
6.300000 78.510 -80.5374
6.400000 78.654 -81.5285
6.500000 78.797 -82.4967
6.600000 78.939 -83.4448
6.700000 79.080 -84.3822
6.800000 79.219 -85.3142
6.900000 79.358 -86.2360
7.000000 79.494 -87.1510
7.100000 79.630 -88.0628
7.200000 79.764 -88.9688
7.300000 79.896 -89.8710
7.400000 80.025 -90.7731
7.500000 80.152 -91.6766
7.620000 80.301 -92.7602
7.750000 80.458 -93.9315
7.880000 80.608 -95.1018
8.000000 80.742 -96.1780
8.120000 80.870 -97.2446
8.250000 81.002 -98.3925
8.380000 81.127 -99.5250
8.500000 81.236 -100.5516
8.620000 81.340 -101.5627
8.750000 81.445 -102.6305
8.850000 81.522 -103.4307
9.000000 81.630 -104.5977
9.120000 81.713 -105.4964
9.250000 81.796 -106.4353
9.380000 81.876 -107.3375
9.500000 81.947 -108.1357
9.620000 82.016 -108.9007
9.750000 82.088 -109.6969
9.880000 82.160 -110.4588
10.000000 82.225 -111.1334
10.150000 82.307 -111.9504
10.300000 82.389 -112.7340
10.440000 82.467 -113.4529
10.600000 82.558 -114.2625
10.750000 82.644 -115.0216
10.900000 82.731 -115.7942
11.060000 82.823 -116.6340
11.200000 82.902 -117.3962
11.380000 83.000 -118.4100
11.500000 83.061 -119.1094
11.720000 83.163 -120.4397
11.800000 83.195 -120.9312
12.060000 83.283 -122.5611
12.200000 83.318 -123.4285
12.410000 83.354 -124.7071
12.500000 83.365 -125.2285
12.650000 83.374 -126.0682
12.800000 83.379 -126.8511
13.150000 83.377 -128.4281
13.200000 83.377 -128.6243
13.400000 83.381 -129.3452
13.600000 83.396 -129.9972
13.800000 83.424 -130.6080
14.000000 83.468 -131.2255
14.300000 83.552 -132.2516
14.500000 83.614 -133.0297
14.750000 83.689 -134.1265
15.000000 83.747 -135.3136
15.250000 83.786 -136.5204
15.500000 83.804 -137.6778
15.750000 83.807 -138.7071
16.000000 83.807 -139.5660
16.250000 83.816 -140.2685
16.500000 83.841 -140.8466
16.750000 83.890 -141.3683
17.000000 83.960 -141.9132
17.250000 84.045 -142.5201
17.500000 84.137 -143.2139
17.750000 84.230 -143.9930
18.000000 84.317 -144.8329
18.250000 84.399 -145.7211
18.500000 84.474 -146.6490
18.750000 84.541 -147.6228
19.000000 84.596 -148.6530
19.250000 84.632 -149.7307
19.500000 84.643 -150.8355
19.750000 84.622 -151.9026
20.000000 84.570 -152.8359
20.299999 84.475 -153.6674
20.600000 84.367 -154.0792
20.900000 84.280 -154.0659
21.200001 84.248 -153.7610
21.400000 84.266 -153.5181
21.799999 84.383 -153.2785
22.000000 84.465 -153.3904
22.400000 84.634 -154.1315
22.700001 84.732 -155.0538
23.000000 84.795 -156.1486
23.299999 84.822 -157.2985
23.600000 84.823 -158.4334
24.000000 84.793 -159.8945
24.299999 84.752 -160.9521
24.700001 84.667 -162.2727
25.000000 84.584 -163.1235
25.400000 84.461 -163.9669
25.799999 84.354 -164.4528
26.200001 84.292 -164.7108
26.500000 84.279 -164.8808
26.900000 84.296 -165.2020
27.200001 84.323 -165.5422
27.600000 84.364 -166.1067
28.000000 84.407 -166.7771
28.500000 84.454 -167.7813
29.000000 84.462 -168.9239
29.500000 84.411 -169.9325
30.000000 84.335 -170.4566
30.400000 84.308 -170.5478
30.700001 84.326 -170.6039
31.100000 84.386 -170.9399
31.500000 84.439 -171.7353
32.000000 84.408 -173.0957
32.500000 84.253 -174.0887
33.000000 84.083 -174.1466
33.500000 84.036 -173.6763
34.000000 84.120 -173.7456
34.500000 84.187 -174.8612
35.000000 84.108 -176.3458
35.500000 83.905 -177.0633
36.000000 83.750 -176.6483
36.500000 83.790 -175.9479
37.000000 83.972 -176.1625
37.500000 84.113 -177.6459
38.200001 84.034 179.6104
38.700001 83.810 178.4911
39.500000 83.483 179.0135
40.000000 83.456 -179.9347
40.599998 83.606 -179.1580
41.200001 83.805 -179.4471
41.799999 83.935 179.5913
42.500000 84.023 178.3430
43.099998 84.084 176.9199
43.700001 84.038 174.8801
44.400002 83.715 173.0183
45.000000 83.337 173.3480
45.500000 83.165 174.7581
46.200001 83.241 176.4646
46.799999 83.399 176.5933
47.500000 83.482 175.9189
48.200001 83.491 175.3250
48.700001 83.494 174.9411
49.400002 83.479 174.3093
50.000000 83.435 173.7924
50.799999 83.350 173.2990
51.500000 83.271 173.0620
52.200001 83.210 172.9733
53.000000 83.183 172.7621
53.799999 83.152 172.1416
54.500000 83.073 171.5092
55.200001 82.964 171.1617
56.000000 82.870 171.1068
57.000000 82.820 171.0503
58.000000 82.785 170.9217
59.000000 82.766 170.9452
60.000000 82.771 170.8953
60.799999 82.753 170.7956
61.500000 82.727 170.8314
62.200001 82.719 170.8900
63.000000 82.720 170.6824
64.000000 82.661 170.0351
65.000000 82.534 169.5176
66.000000 82.410 169.1049
67.000000 82.253 168.7272
68.000000 82.115 169.0393
69.000000 82.124 169.2798
70.000000 82.122 168.7493
71.000000 82.046 168.3732
72.000000 81.973 168.2304
73.000000 81.901 168.1977
74.000000 81.850 168.1330
75.000000 81.785 167.8988
76.199997 81.693 167.7610
77.500000 81.621 167.6555
78.800003 81.572 167.6133
80.000000 81.555 167.5392
81.199997 81.531 167.3758
82.500000 81.488 167.1930
83.800003 81.409 166.9873
85.000000 81.322 167.0192
86.199997 81.264 166.9859
87.500000 81.187 166.8653
88.500000 81.137 166.8712
90.000000 81.088 166.8443
91.199997 81.061 166.8357
92.500000 81.042 166.7250
93.800003 81.006 166.5805
95.000000 80.968 166.4927
96.199997 80.922 166.4188
97.500000 80.871 166.4912
98.800003 80.845 166.5093
100.000000 80.795 166.3692
101.500000 80.712 166.4845
103.000000 80.668 166.5077
104.400002 80.601 166.4619
106.000000 80.541 166.6893
107.500000 80.526 166.7948
109.000000 80.483 166.6932
110.599998 80.400 166.8311
112.000000 80.363 167.0998
113.800003 80.335 167.1522
115.000000 80.292 167.1928
117.199997 80.215 167.4794
118.000000 80.190 167.5109
120.599998 80.084 167.1733
122.000000 80.024 166.7437
124.099998 79.903 166.3625
125.000000 79.874 166.5807
126.500000 79.898 167.0399
128.000000 79.931 167.2962
131.500000 79.863 167.7799
132.000000 79.847 167.8623
134.000000 79.800 168.1387
136.000000 79.778 168.2950
138.000000 79.751 168.3670
140.000000 79.699 168.4566
143.000000 79.610 168.6017
145.000000 79.545 168.6519
147.500000 79.461 168.8801
150.000000 79.380 169.2778
152.500000 79.312 169.7369
155.000000 79.247 169.9690
157.500000 79.171 170.0508
160.000000 79.132 169.9860
162.500000 79.135 169.7471
165.000000 79.173 169.6482
167.500000 79.224 169.8880
170.000000 79.244 170.5231
172.500000 79.200 171.3740
175.000000 79.089 171.9972
177.500000 78.969 172.0687
180.000000 78.909 171.7947
182.500000 78.907 171.7932
185.000000 78.896 172.1505
187.500000 78.845 172.4509
190.000000 78.810 172.5189
192.500000 78.819 172.6245
195.000000 78.823 172.9312
197.500000 78.779 173.2537
200.000000 78.715 173.4590
203.000000 78.656 173.7622
206.000000 78.612 174.1531
209.000000 78.575 174.4389
212.000000 78.555 174.7332
214.000000 78.544 174.9847
218.000000 78.512 175.4603
220.000000 78.498 175.6784
224.000000 78.469 176.3501
227.000000 78.435 176.9280
230.000000 78.416 177.3043
233.000000 78.437 177.5555
236.000000 78.478 177.8175
240.000000 78.493 178.1129
243.000000 78.495 178.1818
247.000000 78.497 178.2234
250.000000 78.494 178.3068
254.000000 78.487 178.4226
258.000000 78.464 178.6233
262.000000 78.434 178.8461
265.000000 78.419 179.0063
269.000000 78.390 179.3362
272.000000 78.358 179.6089
276.000000 78.321 179.8187
280.000000 78.293 179.9793
285.000000 78.281 -179.5862
290.000000 78.268 -179.1685
295.000000 78.225 -179.0401
300.000000 78.197 -178.7383
304.000000 78.185 -178.3688
307.000000 78.172 -178.0954
311.000000 78.155 -177.7669
315.000000 78.144 -177.4843
320.000000 78.133 -177.1017
