* Measurement data measured by REW V5.31.3
* Source: A [plughw:0,0], Headset (Headset), 0, volume: 0.200
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09/12/2024 9:20:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Terra L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 45.434 94.8439
0.732422 53.189 48.5256
1.098633 59.536 25.0963
1.464844 64.400 9.2067
1.831055 68.192 -3.7007
2.197266 71.186 -14.9788
2.563477 73.568 -25.0015
2.929688 75.483 -33.8431
3.295898 77.052 -41.5376
3.662109 78.373 -48.1894
4.028320 79.522 -53.9940
4.394531 80.547 -59.1858
4.760742 81.467 -63.9568
5.126953 82.292 -68.4059
5.493164 83.028 -72.5492
5.859375 83.690 -76.3752
6.225586 84.293 -79.8991
6.591797 84.855 -83.1826
6.958008 85.382 -86.3115
7.324219 85.874 -89.3536
7.690430 86.327 -92.3311
8.056641 86.738 -95.2242
8.422852 87.110 -97.9984
8.789062 87.450 -100.6336
9.155273 87.767 -103.1364
9.521484 88.064 -105.5339
9.887695 88.346 -107.8553
10.253906 88.611 -110.1187
10.620117 88.859 -112.3280
10.986328 89.091 -114.4801
11.352539 89.308 -116.5724
11.718750 89.512 -118.6075
12.084961 89.705 -120.5912
12.451172 89.887 -122.5300
12.817383 90.059 -124.4279
13.183594 90.219 -126.2859
13.549805 90.369 -128.1021
13.916016 90.509 -129.8724
14.282227 90.640 -131.5928
14.648438 90.763 -133.2626
15.014648 90.881 -134.8873
15.380859 90.994 -136.4785
15.747070 91.102 -138.0495
16.113281 91.202 -139.6071
16.479492 91.295 -141.1471
16.845703 91.377 -142.6552
17.211914 91.452 -144.1153
17.578125 91.521 -145.5200
17.944336 91.588 -146.8765
18.310547 91.654 -148.2039
18.676758 91.720 -149.5226
19.042969 91.781 -150.8428
19.409180 91.837 -152.1598
19.775391 91.885 -153.4577
20.141602 91.927 -154.7200
20.507812 91.964 -155.9393
20.874023 92.000 -157.1208
21.240234 92.036 -158.2776
21.606445 92.070 -159.4224
21.972656 92.102 -160.5601
22.338867 92.130 -161.6868
22.705078 92.153 -162.7937
23.071289 92.174 -163.8748
23.437500 92.192 -164.9297
23.803711 92.209 -165.9641
24.169922 92.224 -166.9845
24.536133 92.238 -167.9935
24.902344 92.249 -168.9889
25.268555 92.258 -169.9663
25.634766 92.265 -170.9237
26.000977 92.271 -171.8645
26.367188 92.277 -172.7958
26.733398 92.282 -173.7235
27.099609 92.284 -174.6478
27.465820 92.284 -175.5622
27.832031 92.280 -176.4581
28.198242 92.275 -177.3300
28.564453 92.269 -178.1795
28.930664 92.263 -179.0136
29.296875 92.257 -179.8396
29.663086 92.250 179.3397
30.029297 92.242 178.5267
30.395508 92.231 177.7261
30.761719 92.220 176.9412
31.127930 92.207 176.1711
31.494141 92.194 175.4126
31.860352 92.180 174.6626
32.226562 92.166 173.9201
32.592773 92.150 173.1858
32.958984 92.132 172.4616
33.325195 92.113 171.7495
33.691406 92.094 171.0516
34.057617 92.074 170.3694
34.423828 92.054 169.7017
34.790039 92.035 169.0434
35.156250 92.018 168.3865
35.522461 92.001 167.7245
35.888672 91.983 167.0569
36.254883 91.962 166.3899
36.621094 91.939 165.7328
36.987305 91.915 165.0920
37.353516 91.890 164.4683
37.719727 91.865 163.8595
38.085938 91.840 163.2647
38.452148 91.814 162.6857
38.818359 91.790 162.1221
39.184570 91.768 161.5663
39.550781 91.747 161.0046
39.916992 91.726 160.4268
40.283203 91.700 159.8384
40.649414 91.670 159.2624
41.015625 91.636 158.7250
41.381836 91.603 158.2342
41.748047 91.577 157.7684
42.114258 91.557 157.2881
42.480469 91.539 156.7636
42.846680 91.517 156.1983
43.212891 91.488 155.6263
43.579102 91.453 155.0856
43.945312 91.418 154.5889
44.311523 91.387 154.1160
44.677734 91.360 153.6347
45.043945 91.333 153.1325
45.410156 91.303 152.6277
45.776367 91.269 152.1506
46.142578 91.238 151.7109
46.508789 91.213 151.2842
46.875000 91.192 150.8328
47.241211 91.168 150.3450
47.607422 91.138 149.8543
47.973633 91.101 149.4164
48.339844 91.067 149.0586
48.706055 91.046 148.7429
49.072266 91.039 148.3831
49.438477 91.037 147.9074
49.804688 91.024 147.3187
50.170898 90.989 146.7003
50.537109 90.934 146.1628
50.903320 90.873 145.7699
51.269531 90.822 145.4964
51.635742 90.788 145.2506
52.001953 90.767 144.9453
52.368164 90.745 144.5582
52.734375 90.714 144.1358
53.100586 90.675 143.7437
53.466797 90.635 143.4110
53.833008 90.603 143.1107
54.199219 90.580 142.7885
54.565430 90.559 142.4104
54.931641 90.533 141.9887
55.297852 90.499 141.5669
55.664062 90.461 141.1827
56.030273 90.425 140.8410
56.396484 90.393 140.5165
56.762695 90.365 140.1803
57.128906 90.338 139.8232
57.495117 90.308 139.4590
57.861328 90.276 139.1085
58.227539 90.243 138.7803
58.593750 90.213 138.4662
58.959961 90.185 138.1501
59.326172 90.158 137.8226
59.692383 90.129 137.4865
60.058594 90.098 137.1530
60.424805 90.065 136.8319
60.791016 90.032 136.5262
61.157227 90.000 136.2324
61.523438 89.969 135.9439
61.889648 89.940 135.6553
62.255859 89.911 135.3628
62.622070 89.882 135.0646
62.988281 89.853 134.7617
63.354492 89.823 134.4578
63.720703 89.792 134.1584
64.086914 89.760 133.8672
64.453125 89.730 133.5845
64.819336 89.700 133.3061
65.185547 89.671 133.0273
65.551758 89.643 132.7457
65.917969 89.614 132.4631
66.284180 89.586 132.1832
66.650391 89.557 131.9080
67.016602 89.528 131.6361
67.382812 89.500 131.3637
67.749023 89.472 131.0885
68.115234 89.443 130.8120
68.481445 89.412 130.5400
68.847656 89.381 130.2787
69.213867 89.350 130.0295
69.580078 89.320 129.7881
69.946289 89.291 129.5464
70.312500 89.264 129.2981
70.678711 89.235 129.0438
71.044922 89.206 128.7902
71.411133 89.175 128.5449
71.777344 89.145 128.3109
72.143555 89.117 128.0836
72.509766 89.091 127.8541
72.875977 89.065 127.6160
73.242188 89.040 127.3691
73.608398 89.014 127.1189
73.974609 88.987 126.8712
74.340820 88.959 126.6281
74.707031 88.932 126.3878
75.073242 88.905 126.1486
75.439453 88.877 125.9117
75.805664 88.848 125.6817
76.171875 88.820 125.4619
76.538086 88.792 125.2507
76.904297 88.766 125.0419
77.270508 88.741 124.8288
77.636719 88.715 124.6098
78.002930 88.688 124.3891
78.369141 88.660 124.1741
78.735352 88.631 123.9692
79.101562 88.603 123.7738
79.467773 88.577 123.5827
79.833984 88.551 123.3903
80.200195 88.526 123.1935
80.566406 88.501 122.9921
80.932617 88.477 122.7863
81.298828 88.452 122.5761
81.665039 88.427 122.3621
82.031250 88.400 122.1467
82.397461 88.373 121.9345
82.763672 88.345 121.7305
83.129883 88.317 121.5364
83.496094 88.291 121.3497
83.862305 88.266 121.1651
84.228516 88.241 120.9788
84.594727 88.217 120.7903
84.960938 88.193 120.6023
85.327148 88.170 120.4164
85.693359 88.147 120.2307
86.059570 88.124 120.0413
86.425781 88.102 119.8455
86.791992 88.078 119.6460
87.158203 88.052 119.4505
87.524414 88.026 119.2664
87.890625 87.999 119.0960
88.256836 87.974 118.9346
88.623047 87.950 118.7740
88.989258 87.927 118.6085
89.355469 87.905 118.4373
89.721680 87.881 118.2637
90.087891 87.857 118.0908
90.454102 87.834 117.9189
90.820312 87.810 117.7472
91.186523 87.786 117.5758
91.552734 87.761 117.4065
91.918945 87.737 117.2406
92.285156 87.714 117.0764
92.651367 87.692 116.9102
93.017578 87.669 116.7401
93.383789 87.646 116.5692
93.750000 87.623 116.4035
94.116211 87.600 116.2460
94.482422 87.579 116.0924
94.848633 87.560 115.9342
95.214844 87.540 115.7661
95.581055 87.520 115.5924
95.947266 87.498 115.4236
96.313477 87.475 115.2675
96.679688 87.454 115.1214
97.045898 87.433 114.9762
97.412109 87.412 114.8275
97.778320 87.389 114.6843
98.144531 87.365 114.5640
98.510742 87.344 114.4741
98.876953 87.328 114.3970
99.243164 87.320 114.2943
99.609375 87.315 114.1309
99.975586 87.305 113.9023
100.341797 87.284 113.6433
100.708008 87.252 113.4087
101.074219 87.214 113.2392
101.440430 87.179 113.1370
101.806641 87.151 113.0667
102.172852 87.132 112.9825
102.539062 87.116 112.8579
102.905273 87.098 112.6978
103.271484 87.076 112.5274
103.637695 87.051 112.3694
104.003906 87.027 112.2294
104.370117 87.005 112.0969
104.736328 86.985 111.9582
105.102539 86.966 111.8076
105.468750 86.945 111.6506
105.834961 86.924 111.4970
106.201172 86.903 111.3537
106.567383 86.882 111.2206
106.933594 86.863 111.0926
107.299805 86.846 110.9636
107.666016 86.829 110.8295
108.032227 86.813 110.6900
108.398438 86.796 110.5479
108.764648 86.778 110.4075
109.130859 86.759 110.2725
109.497070 86.740 110.1437
109.863281 86.721 110.0193
110.229492 86.703 109.8964
110.595703 86.684 109.7741
110.961914 86.665 109.6541
111.328125 86.646 109.5382
111.694336 86.628 109.4254
112.060547 86.610 109.3107
112.426758 86.593 109.1885
112.792969 86.576 109.0573
113.159180 86.557 108.9216
113.525391 86.538 108.7893
113.891602 86.517 108.6651
114.257812 86.498 108.5475
114.624023 86.479 108.4309
114.990234 86.461 108.3108
115.356445 86.443 108.1877
115.722656 86.425 108.0663
116.088867 86.407 107.9497
116.455078 86.391 107.8356
116.821289 86.375 107.7173
117.187500 86.360 107.5899
117.553711 86.344 107.4549
117.919922 86.326 107.3206
118.286133 86.307 107.1957
118.652344 86.288 107.0830
119.018555 86.271 106.9775
119.384766 86.255 106.8701
119.750977 86.240 106.7546
120.117188 86.225 106.6315
120.483398 86.208 106.5067
120.849609 86.190 106.3867
121.215820 86.172 106.2745
121.582031 86.154 106.1690
121.948242 86.137 106.0669
122.314453 86.121 105.9647
122.680664 86.106 105.8598
123.046875 86.091 105.7495
123.413086 86.077 105.6322
123.779297 86.061 105.5090
124.145508 86.044 105.3850
124.511719 86.026 105.2677
124.877930 86.008 105.1625
125.244141 85.990 105.0681
125.610352 85.975 104.9765
125.976562 85.962 104.8773
126.342773 85.949 104.7644
126.708984 85.936 104.6405
127.075195 85.920 104.5144
127.441406 85.903 104.3951
127.807617 85.886 104.2856
128.173828 85.870 104.1825
128.540039 85.854 104.0795
128.906250 85.840 103.9736
129.272461 85.824 103.8671
129.638672 85.809 103.7643
130.004883 85.794 103.6674
130.371094 85.780 103.5733
130.737305 85.767 103.4756
131.103516 85.754 103.3697
131.469727 85.741 103.2568
131.835938 85.726 103.1433
132.202148 85.710 103.0365
132.568359 85.694 102.9388
132.934570 85.679 102.8466
133.300781 85.665 102.7533
133.666992 85.651 102.6547
134.033203 85.637 102.5515
134.399414 85.622 102.4483
134.765625 85.607 102.3484
135.131836 85.593 102.2509
135.498047 85.579 102.1510
135.864258 85.566 102.0447
136.230469 85.552 101.9322
136.596680 85.537 101.8178
136.962891 85.522 101.7070
137.329102 85.506 101.6021
137.695312 85.491 101.5019
138.061523 85.477 101.4035
138.427734 85.464 101.3058
138.793945 85.450 101.2094
139.160156 85.437 101.1161
139.526367 85.425 101.0261
139.892578 85.414 100.9381
140.258789 85.403 100.8502
140.625000 85.393 100.7598
140.991211 85.383 100.6642
141.357422 85.373 100.5616
141.723633 85.361 100.4538
142.089844 85.347 100.3482
142.456055 85.330 100.2553
142.822266 85.314 100.1809
143.188477 85.300 100.1188
143.554688 85.288 100.0524
143.920898 85.277 99.9666
144.287109 85.264 99.8616
144.653320 85.248 99.7544
145.019531 85.231 99.6635
145.385742 85.216 99.5882
145.751953 85.205 99.5036
146.118164 85.196 99.3817
146.484375 85.183 99.2225
146.850586 85.162 99.0654
147.216797 85.137 98.9626
147.583008 85.119 98.9286
147.949219 85.116 98.9085
148.315430 85.127 98.8040
148.681641 85.140 98.5479
149.047852 85.132 98.1702
149.414062 85.095 97.7992
149.780273 85.034 97.5907
150.146484 84.973 97.6259
150.512695 84.937 97.8480
150.878906 84.937 98.0914
151.245117 84.964 98.1935
151.611328 84.994 98.1006
