* Measurement data measured by REW V5.31.3
* Source: A [plughw:0,0], Headset (Headset), 0, volume: 0.200
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09/12/2024 9:21:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Terra R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 43.819 35.5118
0.732422 53.261 20.5938
1.098633 59.943 8.5721
1.464844 64.979 -2.2366
1.831055 68.873 -12.6147
2.197266 71.913 -22.5646
2.563477 74.295 -31.8564
2.929688 76.173 -40.2506
3.295898 77.680 -47.6035
3.662109 78.928 -53.9241
4.028320 80.007 -59.3748
4.394531 80.971 -64.2051
4.760742 81.845 -68.6458
5.126953 82.638 -72.8351
5.493164 83.353 -76.8162
5.859375 83.996 -80.5861
6.225586 84.579 -84.1452
6.591797 85.111 -87.5154
6.958008 85.598 -90.7266
7.324219 86.045 -93.7961
7.690430 86.455 -96.7234
8.056641 86.832 -99.5041
8.422852 87.183 -102.1464
8.789062 87.514 -104.6766
9.155273 87.826 -107.1269
9.521484 88.118 -109.5178
9.887695 88.389 -111.8504
10.253906 88.640 -114.1129
10.620117 88.872 -116.2952
10.986328 89.088 -118.3986
11.352539 89.292 -120.4360
11.718750 89.485 -122.4231
12.084961 89.664 -124.3692
12.451172 89.831 -126.2741
12.817383 89.985 -128.1314
13.183594 90.128 -129.9346
13.549805 90.260 -131.6818
13.916016 90.385 -133.3777
14.282227 90.503 -135.0314
14.648438 90.615 -136.6525
15.014648 90.720 -138.2461
15.380859 90.817 -139.8117
15.747070 90.907 -141.3442
16.113281 90.991 -142.8382
16.479492 91.069 -144.2937
16.845703 91.143 -145.7160
17.211914 91.212 -147.1127
17.578125 91.278 -148.4878
17.944336 91.337 -149.8395
18.310547 91.392 -151.1621
18.676758 91.443 -152.4527
19.042969 91.490 -153.7139
19.409180 91.534 -154.9527
19.775391 91.575 -156.1743
20.141602 91.611 -157.3777
20.507812 91.642 -158.5567
20.874023 91.670 -159.7053
21.240234 91.695 -160.8232
21.606445 91.719 -161.9162
21.972656 91.741 -162.9911
22.338867 91.760 -164.0516
22.705078 91.778 -165.0967
23.071289 91.793 -166.1251
23.437500 91.806 -167.1385
23.803711 91.818 -168.1411
24.169922 91.827 -169.1349
24.536133 91.832 -170.1153
24.902344 91.833 -171.0723
25.268555 91.832 -171.9978
25.634766 91.831 -172.8927
26.000977 91.832 -173.7683
26.367188 91.832 -174.6388
26.733398 91.832 -175.5115
27.099609 91.828 -176.3807
27.465820 91.821 -177.2323
27.832031 91.810 -178.0536
28.198242 91.800 -178.8432
28.564453 91.792 -179.6121
28.930664 91.785 179.6234
29.296875 91.778 178.8529
29.663086 91.769 178.0770
30.029297 91.757 177.3055
30.395508 91.742 176.5496
30.761719 91.726 175.8145
31.127930 91.709 175.0970
31.494141 91.693 174.3901
31.860352 91.676 173.6882
32.226562 91.658 172.9917
32.592773 91.639 172.3059
32.958984 91.619 171.6369
33.325195 91.599 170.9864
33.691406 91.579 170.3505
34.057617 91.561 169.7215
34.423828 91.544 169.0930
34.790039 91.526 168.4634
35.156250 91.507 167.8366
35.522461 91.485 167.2186
35.888672 91.463 166.6132
36.254883 91.440 166.0205
36.621094 91.416 165.4377
36.987305 91.392 164.8626
37.353516 91.366 164.2971
37.719727 91.338 163.7462
38.085938 91.310 163.2146
38.452148 91.282 162.7024
38.818359 91.256 162.2030
39.184570 91.232 161.7050
39.550781 91.210 161.1968
39.916992 91.188 160.6729
40.283203 91.163 160.1364
40.649414 91.136 159.5982
41.015625 91.106 159.0717
41.381836 91.075 158.5657
41.748047 91.046 158.0784
42.114258 91.019 157.5981
42.480469 90.994 157.1108
42.846680 90.970 156.6100
43.212891 90.944 156.1028
43.579102 90.916 155.6049
43.945312 90.887 155.1296
44.311523 90.859 154.6770
44.677734 90.833 154.2350
45.043945 90.809 153.7911
45.410156 90.784 153.3456
45.776367 90.756 152.9124
46.142578 90.728 152.5056
46.508789 90.703 152.1226
46.875000 90.680 151.7416
47.241211 90.658 151.3394
47.607422 90.632 150.9179
47.973633 90.598 150.5128
48.339844 90.559 150.1715
48.706055 90.523 149.9122
49.072266 90.502 149.6946
49.438477 90.496 149.4339
49.804688 90.498 149.0539
50.170898 90.493 148.5427
50.537109 90.468 147.9650
50.903320 90.422 147.4235
51.269531 90.365 146.9947
51.635742 90.313 146.6823
52.001953 90.275 146.4207
52.368164 90.250 146.1263
52.734375 90.228 145.7569
53.100586 90.201 145.3334
53.466797 90.165 144.9136
53.833008 90.124 144.5446
54.199219 90.086 144.2303
54.565430 90.056 143.9373
54.931641 90.033 143.6254
55.297852 90.011 143.2794
55.664062 89.986 142.9145
56.030273 89.957 142.5583
56.396484 89.927 142.2274
56.762695 89.899 141.9183
57.128906 89.873 141.6152
57.495117 89.849 141.3053
57.861328 89.824 140.9879
58.227539 89.797 140.6713
58.593750 89.769 140.3641
58.959961 89.740 140.0687
59.326172 89.711 139.7819
59.692383 89.683 139.4991
60.058594 89.655 139.2180
60.424805 89.628 138.9376
60.791016 89.600 138.6571
61.157227 89.573 138.3753
61.523438 89.545 138.0916
61.889648 89.517 137.8073
62.255859 89.489 137.5251
62.622070 89.461 137.2466
62.988281 89.434 136.9703
63.354492 89.407 136.6929
63.720703 89.381 136.4126
64.086914 89.354 136.1312
64.453125 89.326 135.8536
64.819336 89.298 135.5850
65.185547 89.271 135.3264
65.551758 89.245 135.0745
65.917969 89.220 134.8230
66.284180 89.196 134.5668
66.650391 89.172 134.3054
67.016602 89.147 134.0427
67.382812 89.120 133.7849
67.749023 89.093 133.5369
68.115234 89.065 133.2998
68.481445 89.039 133.0704
68.847656 89.014 132.8432
69.213867 88.990 132.6126
69.580078 88.966 132.3758
69.946289 88.941 132.1329
70.312500 88.916 131.8871
70.678711 88.890 131.6430
71.044922 88.863 131.4046
71.411133 88.836 131.1744
71.777344 88.809 130.9515
72.143555 88.784 130.7323
72.509766 88.760 130.5110
72.875977 88.738 130.2831
73.242188 88.715 130.0474
73.608398 88.691 129.8076
73.974609 88.666 129.5705
74.340820 88.640 129.3423
74.707031 88.614 129.1247
75.073242 88.590 128.9141
75.439453 88.566 128.7039
75.805664 88.543 128.4900
76.171875 88.520 128.2734
76.538086 88.496 128.0599
76.904297 88.471 127.8549
77.270508 88.447 127.6587
77.636719 88.425 127.4648
78.002930 88.403 127.2645
78.369141 88.382 127.0535
78.735352 88.359 126.8361
79.101562 88.334 126.6225
79.467773 88.308 126.4214
79.833984 88.282 126.2337
80.200195 88.259 126.0512
80.566406 88.237 125.8632
80.932617 88.216 125.6646
81.298828 88.193 125.4602
81.665039 88.169 125.2598
82.031250 88.145 125.0702
82.397461 88.122 124.8892
82.763672 88.101 124.7076
83.129883 88.080 124.5172
83.496094 88.059 124.3180
83.862305 88.036 124.1190
84.228516 88.011 123.9313
84.594727 87.987 123.7592
84.960938 87.965 123.5970
85.327148 87.945 123.4326
85.693359 87.927 123.2566
86.059570 87.908 123.0677
86.425781 87.887 122.8728
86.791992 87.864 122.6808
87.158203 87.840 122.4972
87.524414 87.816 122.3227
87.890625 87.793 122.1545
88.256836 87.771 121.9896
88.623047 87.749 121.8252
88.989258 87.728 121.6588
89.355469 87.708 121.4879
89.721680 87.688 121.3117
90.087891 87.667 121.1325
90.454102 87.645 120.9553
90.820312 87.623 120.7845
91.186523 87.602 120.6203
91.552734 87.583 120.4583
91.918945 87.564 120.2920
92.285156 87.545 120.1181
92.651367 87.526 119.9388
93.017578 87.505 119.7610
93.383789 87.484 119.5919
93.750000 87.462 119.4355
94.116211 87.441 119.2898
94.482422 87.422 119.1489
94.848633 87.404 119.0049
95.214844 87.387 118.8521
95.581055 87.370 118.6893
95.947266 87.351 118.5215
96.313477 87.330 118.3570
96.679688 87.308 118.2028
97.045898 87.287 118.0587
97.412109 87.267 117.9172
97.778320 87.247 117.7681
98.144531 87.227 117.6076
98.510742 87.205 117.4437
98.876953 87.180 117.2918
99.243164 87.155 117.1640
99.609375 87.132 117.0581
99.975586 87.115 116.9565
100.341797 87.101 116.8371
100.708008 87.089 116.6871
101.074219 87.075 116.5112
101.440430 87.059 116.3263
101.806641 87.039 116.1487
102.172852 87.019 115.9839
102.539062 87.000 115.8269
102.905273 86.982 115.6699
103.271484 86.964 115.5115
103.637695 86.945 115.3572
104.003906 86.926 115.2129
104.370117 86.908 115.0781
104.736328 86.892 114.9454
105.102539 86.877 114.8066
105.468750 86.861 114.6596
105.834961 86.845 114.5105
106.201172 86.827 114.3674
106.567383 86.810 114.2339
106.933594 86.793 114.1059
107.299805 86.777 113.9752
107.666016 86.762 113.8361
108.032227 86.746 113.6896
108.398438 86.727 113.5423
108.764648 86.708 113.4020
109.130859 86.687 113.2735
109.497070 86.668 113.1565
109.863281 86.649 113.0458
110.229492 86.633 112.9335
110.595703 86.619 112.8113
110.961914 86.605 112.6745
111.328125 86.590 112.5245
111.694336 86.572 112.3701
112.060547 86.553 112.2228
112.426758 86.533 112.0906
112.792969 86.514 111.9729
113.159180 86.498 111.8606
113.525391 86.483 111.7426
113.891602 86.470 111.6135
114.257812 86.455 111.4764
114.624023 86.440 111.3399
114.990234 86.424 111.2102
115.356445 86.408 111.0871
115.722656 86.394 110.9652
116.088867 86.379 110.8396
116.455078 86.365 110.7107
116.821289 86.349 110.5830
117.187500 86.334 110.4602
117.553711 86.319 110.3407
117.919922 86.304 110.2181
118.286133 86.289 110.0877
118.652344 86.273 109.9515
119.018555 86.255 109.8187
119.384766 86.235 109.6993
119.750977 86.216 109.5966
120.117188 86.199 109.5036
120.483398 86.185 109.4071
120.849609 86.173 109.2963
121.215820 86.161 109.1689
121.582031 86.147 109.0311
121.948242 86.131 108.8927
122.314453 86.115 108.7610
122.680664 86.098 108.6379
123.046875 86.082 108.5207
123.413086 86.068 108.4047
123.779297 86.054 108.2854
124.145508 86.041 108.1603
124.511719 86.027 108.0295
124.877930 86.012 107.8969
125.244141 85.995 107.7701
125.610352 85.977 107.6570
125.976562 85.959 107.5618
126.342773 85.944 107.4810
126.708984 85.930 107.4047
127.075195 85.920 107.3214
127.441406 85.910 107.2236
127.807617 85.900 107.1118
128.173828 85.889 106.9916
128.540039 85.876 106.8703
128.906250 85.862 106.7518
129.272461 85.847 106.6360
129.638672 85.833 106.5200
130.004883 85.819 106.4006
130.371094 85.804 106.2775
130.737305 85.788 106.1534
131.103516 85.772 106.0340
131.469727 85.755 105.9245
131.835938 85.739 105.8260
132.202148 85.725 105.7333
132.568359 85.714 105.6361
132.934570 85.704 105.5250
133.300781 85.693 105.3981
133.666992 85.681 105.2639
134.033203 85.666 105.1366
134.399414 85.650 105.0272
134.765625 85.636 104.9364
135.131836 85.624 104.8541
135.498047 85.614 104.7662
135.864258 85.605 104.6645
136.230469 85.596 104.5511
136.596680 85.584 104.4353
136.962891 85.570 104.3265
137.329102 85.556 104.2270
137.695312 85.543 104.1313
138.061523 85.531 104.0309
138.427734 85.518 103.9220
138.793945 85.504 103.8082
139.160156 85.488 103.6984
139.526367 85.472 103.5989
139.892578 85.457 103.5075
140.258789 85.444 103.4140
140.625000 85.432 103.3078
140.991211 85.420 103.1883
141.357422 85.406 103.0671
141.723633 85.390 102.9601
142.089844 85.376 102.8726
142.456055 85.365 102.7927
142.822266 85.358 102.7000
143.188477 85.352 102.5844
143.554688 85.342 102.4585
143.920898 85.329 102.3492
144.287109 85.316 102.2728
144.653320 85.308 102.2161
145.019531 85.304 102.1438
145.385742 85.301 102.0308
145.751953 85.291 101.8911
146.118164 85.273 101.7725
146.484375 85.252 101.7153
146.850586 85.237 101.7090
147.216797 85.232 101.6899
147.583008 85.230 101.5939
147.949219 85.217 101.4234
148.315430 85.184 101.2665
148.681641 85.139 101.2413
149.047852 85.101 101.3979
149.414062 85.093 101.6528
149.780273 85.122 101.8220
150.146484 85.168 101.7466
150.512695 85.203 101.4059
150.878906 85.202 100.9304
151.245117 85.164 100.5132
151.611328 85.110 100.2888
