* Measurement data measured by REW V5.31.3
* Source: A [plughw:5,0], Headset (Headset), 0, volume: 0.200
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04/11/2024 9:09:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Titan L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 32.331 -56.0819
0.732422 47.415 110.2019
1.098633 58.837 82.6456
1.464844 65.938 61.9146
1.831055 71.059 44.6145
2.197266 74.957 29.6508
2.563477 78.013 16.5499
2.929688 80.466 5.0608
3.295898 82.481 -5.0092
3.662109 84.177 -13.8658
4.028320 85.642 -21.7406
4.394531 86.931 -28.8628
4.760742 88.076 -35.4172
5.126953 89.099 -41.5204
5.493164 90.012 -47.2282
5.859375 90.832 -52.5644
6.225586 91.572 -57.5519
6.591797 92.249 -62.2295
6.958008 92.871 -66.6485
7.324219 93.445 -70.8579
7.690430 93.975 -74.8905
8.056641 94.462 -78.7597
8.422852 94.910 -82.4671
8.789062 95.322 -86.0136
9.155273 95.704 -89.4082
9.521484 96.060 -92.6684
9.887695 96.393 -95.8141
10.253906 96.702 -98.8610
10.620117 96.990 -101.8168
10.986328 97.257 -104.6825
11.352539 97.505 -107.4575
11.718750 97.736 -110.1440
12.084961 97.952 -112.7492
12.451172 98.155 -115.2833
12.817383 98.345 -117.7556
13.183594 98.523 -120.1720
13.549805 98.689 -122.5339
13.916016 98.844 -124.8403
14.282227 98.989 -127.0906
14.648438 99.124 -129.2861
15.014648 99.250 -131.4308
15.380859 99.369 -133.5292
15.747070 99.481 -135.5847
16.113281 99.585 -137.5989
16.479492 99.682 -139.5723
16.845703 99.772 -141.5049
17.211914 99.856 -143.3976
17.578125 99.934 -145.2521
17.944336 100.006 -147.0707
18.310547 100.074 -148.8554
18.676758 100.136 -150.6073
19.042969 100.192 -152.3273
19.409180 100.244 -154.0157
19.775391 100.291 -155.6727
20.141602 100.334 -157.2989
20.507812 100.373 -158.8952
20.874023 100.408 -160.4634
21.240234 100.440 -162.0056
21.606445 100.469 -163.5240
21.972656 100.494 -165.0203
22.338867 100.516 -166.4949
22.705078 100.535 -167.9473
23.071289 100.551 -169.3766
23.437500 100.563 -170.7823
23.803711 100.574 -172.1650
24.169922 100.582 -173.5259
24.536133 100.588 -174.8667
24.902344 100.592 -176.1886
25.268555 100.593 -177.4921
25.634766 100.593 -178.7771
26.000977 100.590 179.9565
26.367188 100.585 178.7085
26.733398 100.579 177.4784
27.099609 100.570 176.2659
27.465820 100.559 175.0711
27.832031 100.547 173.8945
28.198242 100.532 172.7362
28.564453 100.516 171.5960
28.930664 100.499 170.4724
29.296875 100.481 169.3634
29.663086 100.462 168.2672
30.029297 100.441 167.1827
30.395508 100.419 166.1104
30.761719 100.396 165.0510
31.127930 100.370 164.0059
31.494141 100.344 162.9759
31.860352 100.317 161.9611
32.226562 100.288 160.9604
32.592773 100.260 159.9722
32.958984 100.230 158.9945
33.325195 100.200 158.0262
33.691406 100.169 157.0677
34.057617 100.137 156.1207
34.423828 100.103 155.1873
34.790039 100.069 154.2685
35.156250 100.034 153.3633
35.522461 99.999 152.4689
35.888672 99.963 151.5827
36.254883 99.927 150.7044
36.621094 99.889 149.8360
36.987305 99.850 148.9803
37.353516 99.811 148.1389
37.719727 99.771 147.3100
38.085938 99.731 146.4901
38.452148 99.691 145.6758
38.818359 99.651 144.8670
39.184570 99.609 144.0662
39.550781 99.566 143.2764
39.916992 99.523 142.4984
40.283203 99.480 141.7303
40.649414 99.437 140.9690
41.015625 99.393 140.2136
41.381836 99.349 139.4659
41.748047 99.304 138.7285
42.114258 99.260 138.0019
42.480469 99.215 137.2836
42.846680 99.171 136.5704
43.212891 99.126 135.8614
43.579102 99.080 135.1590
43.945312 99.034 134.4667
44.311523 98.988 133.7855
44.677734 98.942 133.1124
45.043945 98.896 132.4438
45.410156 98.849 131.7800
45.776367 98.801 131.1262
46.142578 98.752 130.4880
46.508789 98.705 129.8647
46.875000 98.658 129.2468
47.241211 98.613 128.6229
47.607422 98.566 127.9902
47.973633 98.515 127.3611
48.339844 98.461 126.7563
48.706055 98.407 126.1900
49.072266 98.357 125.6550
49.438477 98.314 125.1234
49.804688 98.275 124.5625
50.170898 98.236 123.9570
50.537109 98.192 123.3195
50.903320 98.141 122.6828
51.269531 98.084 122.0785
51.635742 98.026 121.5189
52.001953 97.971 120.9922
52.368164 97.921 120.4746
52.734375 97.874 119.9474
53.100586 97.826 119.4072
53.466797 97.777 118.8628
53.833008 97.727 118.3251
54.199219 97.676 117.7990
54.565430 97.625 117.2828
54.931641 97.575 116.7733
55.297852 97.525 116.2699
55.664062 97.475 115.7744
56.030273 97.425 115.2870
56.396484 97.377 114.8049
56.762695 97.328 114.3235
57.128906 97.280 113.8409
57.495117 97.231 113.3593
57.861328 97.181 112.8834
58.227539 97.131 112.4164
58.593750 97.081 111.9577
58.959961 97.032 111.5039
59.326172 96.982 111.0520
59.692383 96.933 110.6021
60.058594 96.883 110.1565
60.424805 96.833 109.7170
60.791016 96.784 109.2835
61.157227 96.735 108.8536
61.523438 96.687 108.4245
61.889648 96.638 107.9951
62.255859 96.590 107.5665
62.622070 96.540 107.1414
62.988281 96.491 106.7227
63.354492 96.441 106.3120
63.720703 96.392 105.9090
64.086914 96.344 105.5113
64.453125 96.296 105.1157
64.819336 96.249 104.7196
65.185547 96.201 104.3230
65.551758 96.154 103.9282
65.917969 96.105 103.5384
66.284180 96.057 103.1553
66.650391 96.009 102.7776
67.016602 95.962 102.4027
67.382812 95.914 102.0286
67.749023 95.866 101.6560
68.115234 95.818 101.2880
68.481445 95.770 100.9266
68.847656 95.723 100.5710
69.213867 95.676 100.2174
69.580078 95.629 99.8619
69.946289 95.583 99.5039
70.312500 95.536 99.1470
70.678711 95.488 98.7964
71.044922 95.440 98.4550
71.411133 95.393 98.1213
71.777344 95.347 97.7907
72.143555 95.301 97.4588
72.509766 95.256 97.1247
72.875977 95.210 96.7914
73.242188 95.164 96.4630
73.608398 95.118 96.1414
73.974609 95.073 95.8250
74.340820 95.029 95.5096
74.707031 94.985 95.1919
75.073242 94.940 94.8718
75.439453 94.895 94.5528
75.805664 94.849 94.2395
76.171875 94.803 93.9348
76.538086 94.757 93.6380
76.904297 94.713 93.3452
77.270508 94.669 93.0524
77.636719 94.625 92.7574
78.002930 94.581 92.4616
78.369141 94.536 92.1679
78.735352 94.492 91.8785
79.101562 94.448 91.5936
79.467773 94.404 91.3112
79.833984 94.361 91.0291
80.200195 94.318 90.7467
80.566406 94.274 90.4653
80.932617 94.231 90.1871
81.298828 94.188 89.9129
81.665039 94.145 89.6420
82.031250 94.102 89.3723
82.397461 94.060 89.1026
82.763672 94.018 88.8337
83.129883 93.975 88.5677
83.496094 93.933 88.3063
83.862305 93.890 88.0493
84.228516 93.849 87.7952
84.594727 93.807 87.5419
84.960938 93.766 87.2888
85.327148 93.725 87.0366
85.693359 93.684 86.7864
86.059570 93.643 86.5381
86.425781 93.602 86.2904
86.791992 93.561 86.0423
87.158203 93.520 85.7948
87.524414 93.478 85.5506
87.890625 93.436 85.3126
88.256836 93.395 85.0809
88.623047 93.355 84.8525
88.989258 93.316 84.6223
89.355469 93.277 84.3872
89.721680 93.239 84.1476
90.087891 93.199 83.9074
90.454102 93.159 83.6709
90.820312 93.119 83.4400
91.186523 93.080 83.2140
91.552734 93.041 82.9907
91.918945 93.002 82.7688
92.285156 92.963 82.5478
92.651367 92.925 82.3277
93.017578 92.887 82.1081
93.383789 92.848 81.8890
93.750000 92.809 81.6729
94.116211 92.770 81.4636
94.482422 92.731 81.2639
94.848633 92.693 81.0710
95.214844 92.657 80.8769
95.581055 92.622 80.6725
95.947266 92.587 80.4553
96.313477 92.549 80.2333
96.679688 92.509 80.0201
97.045898 92.469 79.8242
97.412109 92.430 79.6408
97.778320 92.395 79.4536
98.144531 92.360 79.2471
98.510742 92.324 79.0209
98.876953 92.283 78.7932
99.243164 92.239 78.5898
99.609375 92.195 78.4252
99.975586 92.156 78.2903
100.341797 92.123 78.1566
100.708008 92.095 77.9948
101.074219 92.068 77.7943
101.440430 92.037 77.5686
101.806641 92.001 77.3436
102.172852 91.963 77.1393
102.539062 91.926 76.9578
102.905273 91.891 76.7862
103.271484 91.858 76.6093
103.637695 91.826 76.4217
104.003906 91.792 76.2301
104.370117 91.757 76.0450
104.736328 91.722 75.8715
105.102539 91.688 75.7061
105.468750 91.655 75.5408
105.834961 91.622 75.3702
106.201172 91.590 75.1954
106.567383 91.556 75.0210
106.933594 91.522 74.8510
107.299805 91.489 74.6848
107.666016 91.456 74.5197
108.032227 91.423 74.3533
108.398438 91.389 74.1861
108.764648 91.356 74.0207
109.130859 91.322 73.8591
109.497070 91.289 73.7012
109.863281 91.256 73.5446
110.229492 91.224 73.3871
110.595703 91.192 73.2281
110.961914 91.160 73.0689
111.328125 91.128 72.9110
111.694336 91.096 72.7551
112.060547 91.065 72.6002
112.426758 91.034 72.4445
112.792969 91.004 72.2864
113.159180 90.973 72.1259
113.525391 90.942 71.9648
113.891602 90.911 71.8060
114.257812 90.879 71.6522
114.624023 90.847 71.5046
114.990234 90.816 71.3618
115.356445 90.786 71.2206
115.722656 90.756 71.0774
116.088867 90.727 70.9302
116.455078 90.698 70.7795
116.821289 90.668 70.6280
117.187500 90.637 70.4790
117.553711 90.606 70.3349
117.919922 90.576 70.1960
118.286133 90.546 70.0605
118.652344 90.517 69.9259
119.018555 90.489 69.7896
119.384766 90.460 69.6505
119.750977 90.432 69.5092
120.117188 90.404 69.3673
120.483398 90.376 69.2256
120.849609 90.348 69.0839
121.215820 90.319 68.9412
121.582031 90.291 68.7971
121.948242 90.262 68.6531
122.314453 90.233 68.5126
122.680664 90.203 68.3787
123.046875 90.173 68.2525
123.413086 90.145 68.1320
123.779297 90.117 68.0127
124.145508 90.091 67.8902
124.511719 90.064 67.7622
124.877930 90.038 67.6292
125.244141 90.010 67.4941
125.610352 89.982 67.3608
125.976562 89.953 67.2330
126.342773 89.924 67.1131
126.708984 89.896 67.0011
127.075195 89.869 66.8934
127.441406 89.843 66.7838
127.807617 89.819 66.6660
128.173828 89.794 66.5369
128.540039 89.769 66.3990
128.906250 89.742 66.2598
129.272461 89.713 66.1270
129.638672 89.685 66.0046
130.004883 89.657 65.8904
130.371094 89.631 65.7784
130.737305 89.605 65.6628
131.103516 89.580 65.5421
131.469727 89.555 65.4180
131.835938 89.530 65.2937
132.202148 89.504 65.1714
132.568359 89.478 65.0515
132.934570 89.452 64.9349
133.300781 89.426 64.8234
133.666992 89.400 64.7184
134.033203 89.376 64.6182
134.399414 89.353 64.5176
134.765625 89.330 64.4104
135.131836 89.308 64.2941
135.498047 89.284 64.1727
135.864258 89.259 64.0544
136.230469 89.232 63.9457
136.596680 89.207 63.8467
136.962891 89.182 63.7513
137.329102 89.159 63.6516
137.695312 89.136 63.5442
138.061523 89.112 63.4317
138.427734 89.088 63.3196
138.793945 89.063 63.2119
139.160156 89.038 63.1081
139.526367 89.015 63.0040
139.892578 88.992 62.8953
140.258789 88.969 62.7808
140.625000 88.945 62.6629
140.991211 88.921 62.5469
141.357422 88.896 62.4383
141.723633 88.872 62.3394
142.089844 88.850 62.2470
142.456055 88.829 62.1532
142.822266 88.810 62.0494
143.188477 88.790 61.9343
143.554688 88.767 61.8172
143.920898 88.743 61.7135
144.287109 88.719 61.6324
144.653320 88.697 61.5663
145.019531 88.680 61.4932
145.385742 88.663 61.3932
145.751953 88.644 61.2670
146.118164 88.619 61.1398
146.484375 88.590 61.0425
146.850586 88.562 60.9840
147.216797 88.540 60.9380
147.583008 88.523 60.8608
147.949219 88.505 60.7301
148.315430 88.477 60.5724
148.681641 88.438 60.4518
149.047852 88.395 60.4248
149.414062 88.363 60.4903
149.780273 88.348 60.5784
150.146484 88.351 60.5917
150.512695 88.359 60.4723
150.878906 88.357 60.2407
151.245117 88.337 59.9781
151.611328 88.304 59.7703
151.977539 88.268 59.6538
