* Measurement data measured by REW V5.31.3
* Source: A [plughw:5,0], Headset (Headset), 0, volume: 0.200
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04/11/2024 9:06:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Titan R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 34.128 -52.7327
0.732422 46.166 117.5393
1.098633 57.730 88.8661
1.464844 64.821 67.8640
1.831055 69.945 50.5160
2.197266 73.866 35.6303
2.563477 76.964 22.6773
2.929688 79.471 11.3657
3.295898 81.551 1.4736
3.662109 83.321 -7.2245
4.028320 84.865 -14.9731
4.394531 86.237 -22.0099
4.760742 87.469 -28.5272
5.126953 88.578 -34.6480
5.493164 89.575 -40.4308
5.859375 90.474 -45.8947
6.225586 91.286 -51.0492
6.591797 92.026 -55.9144
6.958008 92.704 -60.5245
7.324219 93.329 -64.9189
7.690430 93.905 -69.1294
8.056641 94.434 -73.1725
8.422852 94.920 -77.0515
8.789062 95.367 -80.7655
9.155273 95.781 -84.3196
9.521484 96.166 -87.7298
9.887695 96.526 -91.0199
10.253906 96.862 -94.2125
10.620117 97.175 -97.3210
10.986328 97.464 -100.3469
11.352539 97.730 -103.2840
11.718750 97.976 -106.1268
12.084961 98.204 -108.8768
12.451172 98.418 -111.5438
12.817383 98.619 -114.1407
13.183594 98.807 -116.6775
13.549805 98.983 -119.1578
13.916016 99.146 -121.5805
14.282227 99.299 -123.9447
14.648438 99.442 -126.2529
15.014648 99.576 -128.5111
15.380859 99.702 -130.7253
15.747070 99.819 -132.8977
16.113281 99.927 -135.0260
16.479492 100.027 -137.1063
16.845703 100.120 -139.1369
17.211914 100.207 -141.1203
17.578125 100.288 -143.0620
17.944336 100.363 -144.9670
18.310547 100.433 -146.8371
18.676758 100.497 -148.6713
19.042969 100.555 -150.4686
19.409180 100.609 -152.2301
19.775391 100.658 -153.9595
20.141602 100.703 -155.6612
20.507812 100.744 -157.3372
20.874023 100.780 -158.9865
21.240234 100.811 -160.6062
21.606445 100.839 -162.1950
21.972656 100.863 -163.7548
22.338867 100.884 -165.2896
22.705078 100.903 -166.8025
23.071289 100.918 -168.2939
23.437500 100.930 -169.7613
23.803711 100.939 -171.2020
24.169922 100.945 -172.6159
24.536133 100.950 -174.0061
24.902344 100.953 -175.3765
25.268555 100.953 -176.7292
25.634766 100.951 -178.0630
26.000977 100.947 -179.3753
26.367188 100.941 179.3352
26.733398 100.933 178.0664
27.099609 100.923 176.8147
27.465820 100.912 175.5775
27.832031 100.898 174.3559
28.198242 100.882 173.1533
28.564453 100.864 171.9723
28.930664 100.845 170.8121
29.296875 100.824 169.6683
29.663086 100.803 168.5364
30.029297 100.781 167.4149
30.395508 100.756 166.3062
30.761719 100.730 165.2141
31.127930 100.702 164.1404
31.494141 100.674 163.0833
31.860352 100.645 162.0392
32.226562 100.616 161.0056
32.592773 100.585 159.9826
32.958984 100.553 158.9727
33.325195 100.520 157.9774
33.691406 100.486 156.9964
34.057617 100.452 156.0278
34.423828 100.417 155.0708
34.790039 100.380 154.1268
35.156250 100.343 153.1978
35.522461 100.305 152.2837
35.888672 100.268 151.3812
36.254883 100.230 150.4857
36.621094 100.192 149.5944
36.987305 100.152 148.7099
37.353516 100.110 147.8383
37.719727 100.067 146.9852
38.085938 100.024 146.1504
38.452148 99.981 145.3276
38.818359 99.940 144.5086
39.184570 99.898 143.6885
39.550781 99.855 142.8701
39.916992 99.810 142.0611
40.283203 99.763 141.2691
40.649414 99.717 140.4956
41.015625 99.671 139.7355
41.381836 99.626 138.9813
41.748047 99.581 138.2285
42.114258 99.535 137.4786
42.480469 99.488 136.7369
42.846680 99.440 136.0081
43.212891 99.392 135.2930
43.579102 99.343 134.5889
43.945312 99.295 133.8932
44.311523 99.247 133.2051
44.677734 99.199 132.5246
45.043945 99.151 131.8501
45.410156 99.104 131.1782
45.776367 99.055 130.5063
46.142578 99.005 129.8373
46.508789 98.954 129.1794
46.875000 98.901 128.5403
47.241211 98.850 127.9187
47.607422 98.802 127.3023
47.973633 98.755 126.6743
48.339844 98.707 126.0275
48.706055 98.655 125.3727
49.072266 98.598 124.7355
49.438477 98.538 124.1396
49.804688 98.480 123.5896
50.170898 98.428 123.0659
50.537109 98.383 122.5361
50.903320 98.340 121.9770
51.269531 98.297 121.3880
51.635742 98.249 120.7892
52.001953 98.197 120.2047
52.368164 98.145 119.6461
52.734375 98.093 119.1077
53.100586 98.044 118.5747
53.466797 97.995 118.0375
53.833008 97.945 117.4983
54.199219 97.894 116.9666
54.565430 97.842 116.4492
54.931641 97.791 115.9445
55.297852 97.741 115.4448
55.664062 97.691 114.9438
56.030273 97.641 114.4425
56.396484 97.590 113.9470
56.762695 97.538 113.4622
57.128906 97.487 112.9872
57.495117 97.437 112.5159
57.861328 97.387 112.0428
58.227539 97.338 111.5672
58.593750 97.287 111.0936
58.959961 97.236 110.6270
59.326172 97.184 110.1698
59.692383 97.133 109.7197
60.058594 97.083 109.2733
60.424805 97.034 108.8282
60.791016 96.984 108.3844
61.157227 96.934 107.9433
61.523438 96.884 107.5058
61.889648 96.834 107.0728
62.255859 96.783 106.6455
62.622070 96.732 106.2261
62.988281 96.682 105.8155
63.354492 96.632 105.4124
63.720703 96.583 105.0131
64.086914 96.535 104.6132
64.453125 96.486 104.2116
64.819336 96.438 103.8106
65.185547 96.388 103.4146
65.551758 96.339 103.0267
65.917969 96.290 102.6461
66.284180 96.242 102.2687
66.650391 96.194 101.8900
67.016602 96.147 101.5079
67.382812 96.100 101.1243
67.749023 96.051 100.7428
68.115234 96.003 100.3663
68.481445 95.954 99.9954
68.847656 95.906 99.6287
69.213867 95.858 99.2648
69.580078 95.809 98.9039
69.946289 95.761 98.5481
70.312500 95.713 98.1992
70.678711 95.665 97.8570
71.044922 95.618 97.5185
71.411133 95.572 97.1800
71.777344 95.526 96.8397
72.143555 95.480 96.4995
72.509766 95.432 96.1639
72.875977 95.385 95.8372
73.242188 95.338 95.5198
73.608398 95.292 95.2080
73.974609 95.247 94.8959
74.340820 95.202 94.5799
74.707031 95.157 94.2608
75.073242 95.111 93.9432
75.439453 95.065 93.6320
75.805664 95.018 93.3285
76.171875 94.973 93.0305
76.538086 94.928 92.7333
76.904297 94.884 92.4341
77.270508 94.839 92.1329
77.636719 94.794 91.8329
78.002930 94.749 91.5374
78.369141 94.704 91.2477
78.735352 94.660 90.9627
79.101562 94.617 90.6796
79.467773 94.574 90.3950
79.833984 94.531 90.1071
80.200195 94.488 89.8165
80.566406 94.445 89.5265
80.932617 94.400 89.2419
81.298828 94.356 88.9669
81.665039 94.312 88.7021
82.031250 94.269 88.4440
82.397461 94.228 88.1860
82.763672 94.188 87.9226
83.129883 94.147 87.6528
83.496094 94.106 87.3808
83.862305 94.063 87.1129
84.228516 94.021 86.8531
84.594727 93.979 86.6008
84.960938 93.937 86.3515
85.327148 93.896 86.1013
85.693359 93.855 85.8502
86.059570 93.814 85.6016
86.425781 93.772 85.3595
86.791992 93.731 85.1241
87.158203 93.691 84.8916
87.524414 93.652 84.6564
87.890625 93.614 84.4153
88.256836 93.575 84.1699
88.623047 93.535 83.9241
88.989258 93.495 83.6819
89.355469 93.454 83.4438
89.721680 93.414 83.2081
90.087891 93.374 82.9729
90.454102 93.334 82.7385
90.820312 93.294 82.5077
91.186523 93.253 82.2826
91.552734 93.214 82.0629
91.918945 93.174 81.8457
92.285156 93.136 81.6282
92.651367 93.098 81.4097
93.017578 93.059 81.1925
93.383789 93.021 80.9789
93.750000 92.984 80.7685
94.116211 92.947 80.5575
94.482422 92.911 80.3419
94.848633 92.874 80.1216
95.214844 92.836 79.9018
95.581055 92.798 79.6902
95.947266 92.759 79.4909
96.313477 92.722 79.3002
96.679688 92.686 79.1085
97.045898 92.652 78.9072
97.412109 92.616 78.6962
97.778320 92.578 78.4850
98.144531 92.539 78.2864
98.510742 92.500 78.1070
98.876953 92.464 77.9410
99.243164 92.430 77.7736
99.609375 92.399 77.5902
99.975586 92.368 77.3864
100.341797 92.334 77.1700
100.708008 92.297 76.9555
101.074219 92.259 76.7540
101.440430 92.221 76.5677
101.806641 92.185 76.3903
102.172852 92.149 76.2136
102.539062 92.115 76.0329
102.905273 92.081 75.8492
103.271484 92.046 75.6656
103.637695 92.011 75.4842
104.003906 91.977 75.3046
104.370117 91.943 75.1255
104.736328 91.909 74.9470
105.102539 91.875 74.7704
105.468750 91.840 74.5974
105.834961 91.807 74.4279
106.201172 91.773 74.2596
106.567383 91.741 74.0903
106.933594 91.708 73.9195
107.299805 91.674 73.7491
107.666016 91.641 73.5822
108.032227 91.607 73.4207
108.398438 91.574 73.2644
108.764648 91.542 73.1110
109.130859 91.510 72.9575
109.497070 91.479 72.8012
109.863281 91.449 72.6411
110.229492 91.418 72.4779
110.595703 91.387 72.3132
110.961914 91.355 72.1491
111.328125 91.323 71.9870
111.694336 91.292 71.8272
112.060547 91.260 71.6691
112.426758 91.229 71.5119
112.792969 91.197 71.3557
113.159180 91.165 71.2017
113.525391 91.134 71.0511
113.891602 91.103 70.9037
114.257812 91.073 70.7574
114.624023 91.043 70.6089
114.990234 91.014 70.4563
115.356445 90.984 70.3002
115.722656 90.953 70.1447
116.088867 90.922 69.9947
116.455078 90.890 69.8531
116.821289 90.860 69.7187
117.187500 90.830 69.5866
117.553711 90.802 69.4511
117.919922 90.774 69.3089
118.286133 90.746 69.1613
118.652344 90.717 69.0132
119.018555 90.687 68.8697
119.384766 90.657 68.7328
119.750977 90.628 68.6009
120.117188 90.600 68.4695
120.483398 90.572 68.3347
120.849609 90.545 68.1956
121.215820 90.517 68.0538
121.582031 90.489 67.9124
121.948242 90.460 67.7738
122.314453 90.432 67.6386
122.680664 90.403 67.5065
123.046875 90.375 67.3769
123.413086 90.348 67.2495
123.779297 90.320 67.1241
124.145508 90.294 66.9999
124.511719 90.268 66.8754
124.877930 90.242 66.7487
125.244141 90.217 66.6185
125.610352 90.191 66.4850
125.976562 90.165 66.3501
126.342773 90.138 66.2166
126.708984 90.110 66.0878
127.075195 90.083 65.9650
127.441406 90.056 65.8472
127.807617 90.030 65.7314
128.173828 90.004 65.6139
128.540039 89.979 65.4930
128.906250 89.953 65.3698
129.272461 89.927 65.2464
129.638672 89.901 65.1250
130.004883 89.876 65.0050
130.371094 89.850 64.8846
130.737305 89.825 64.7620
131.103516 89.799 64.6382
131.469727 89.773 64.5158
131.835938 89.746 64.3979
132.202148 89.720 64.2851
132.568359 89.694 64.1755
132.934570 89.670 64.0664
133.300781 89.646 63.9559
133.666992 89.622 63.8437
134.033203 89.598 63.7303
134.399414 89.574 63.6168
134.765625 89.550 63.5039
135.131836 89.525 63.3927
135.498047 89.501 63.2843
135.864258 89.477 63.1783
136.230469 89.454 63.0731
136.596680 89.431 62.9662
136.962891 89.408 62.8567
137.329102 89.384 62.7461
137.695312 89.360 62.6376
138.061523 89.336 62.5332
138.427734 89.313 62.4317
138.793945 89.290 62.3294
139.160156 89.268 62.2226
139.526367 89.246 62.1102
139.892578 89.223 61.9940
140.258789 89.200 61.8776
140.625000 89.176 61.7650
140.991211 89.151 61.6595
141.357422 89.128 61.5620
141.723633 89.106 61.4695
142.089844 89.086 61.3743
142.456055 89.068 61.2674
142.822266 89.049 61.1459
143.188477 89.027 61.0189
143.554688 89.002 60.9038
143.920898 88.977 60.8145
144.287109 88.954 60.7479
144.653320 88.935 60.6832
145.019531 88.919 60.5974
145.385742 88.901 60.4860
145.751953 88.878 60.3705
146.118164 88.852 60.2812
146.484375 88.826 60.2286
146.850586 88.807 60.1880
147.216797 88.792 60.1163
147.583008 88.776 59.9916
147.949219 88.749 59.8419
148.315430 88.712 59.7335
148.681641 88.672 59.7229
149.047852 88.643 59.8037
149.414062 88.635 59.8962
149.780273 88.643 59.8947
150.146484 88.654 59.7405
150.512695 88.652 59.4637
150.878906 88.628 59.1613
151.245117 88.587 58.9330
151.611328 88.543 58.8210
151.977539 88.509 58.7921
