* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.800. Timing signal peak level -24.5 dBFS, measurement signal peak level -21.4 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 13/07/2022 8:22:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0356 ms (-12 mm, -0.48 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: Titan S L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 58.502 42.2247
1.015000 58.822 39.9579
1.030000 59.137 37.7881
1.044000 59.425 35.8594
1.060000 59.745 33.7799
1.075000 60.036 31.9615
1.090000 60.316 30.2801
1.106000 60.602 28.6482
1.120000 60.850 27.3550
1.138000 61.167 25.8641
1.150000 61.377 24.9702
1.172000 61.759 23.5208
1.180000 61.897 23.0499
1.206000 62.342 21.7028
1.220000 62.580 21.0811
1.241000 62.932 20.2636
1.250000 63.082 19.9500
1.265000 63.329 19.4686
1.280000 63.574 19.0308
1.315000 64.137 18.1253
1.320000 64.216 18.0041
1.340000 64.529 17.5253
1.360000 64.838 17.0398
1.380000 65.141 16.5250
1.400000 65.438 15.9585
1.430000 65.874 14.9627
1.450000 66.156 14.1688
1.475000 66.500 13.0045
1.500000 66.834 11.7511
1.525000 67.158 10.4459
1.550000 67.473 9.0993
1.575000 67.779 7.7217
1.600000 68.077 6.3236
1.625000 68.367 4.9155
1.650000 68.649 3.5078
1.675000 68.925 2.1110
1.700000 69.195 0.7355
1.725000 69.459 -0.6083
1.750000 69.718 -1.9098
1.775000 69.972 -3.1586
1.800000 70.221 -4.3443
1.825000 70.468 -5.4564
1.850000 70.709 -6.4916
1.875000 70.944 -7.4651
1.900000 71.172 -8.3838
1.925000 71.394 -9.2537
1.950000 71.610 -10.0812
1.975000 71.821 -10.8723
2.000000 72.026 -11.6333
2.030000 72.266 -12.5155
2.060000 72.499 -13.3740
2.090000 72.727 -14.2195
2.120000 72.949 -15.0627
2.140000 73.094 -15.6289
2.180000 73.379 -16.7852
2.200000 73.519 -17.3815
2.240000 73.791 -18.5856
2.270000 73.986 -19.4866
2.300000 74.175 -20.3836
2.330000 74.358 -21.2744
2.360000 74.536 -22.1569
2.400000 74.765 -23.3170
2.430000 74.932 -24.1717
2.470000 75.149 -25.2870
2.500000 75.308 -26.1023
2.540000 75.516 -27.1573
2.580000 75.720 -28.1729
2.620000 75.916 -29.1623
2.650000 76.058 -29.8883
2.690000 76.240 -30.8327
2.720000 76.373 -31.5221
2.760000 76.545 -32.4137
2.800000 76.713 -33.2718
2.850000 76.919 -34.2931
2.900000 77.122 -35.2530
2.950000 77.324 -36.1434
3.000000 77.519 -36.9411
3.040000 77.671 -37.5211
3.070000 77.783 -37.9294
3.110000 77.930 -38.4467
3.150000 78.076 -38.9434
3.200000 78.256 -39.5515
3.250000 78.437 -40.1656
3.300000 78.619 -40.8068
3.350000 78.802 -41.4650
3.400000 78.984 -42.1216
3.450000 79.166 -42.7738
3.500000 79.346 -43.4192
3.550000 79.527 -44.0549
3.600000 79.708 -44.6785
3.650000 79.889 -45.2873
3.700000 80.072 -45.8701
3.750000 80.256 -46.4143
3.820000 80.514 -47.1411
3.870000 80.698 -47.6579
3.950000 80.990 -48.5270
4.000000 81.170 -49.1226
4.060000 81.381 -49.9130
4.120000 81.593 -50.7683
4.180000 81.802 -51.6722
4.250000 82.042 -52.7704
4.310000 82.242 -53.7336
4.370000 82.436 -54.7029
4.440000 82.652 -55.8330
4.500000 82.832 -56.8168
4.550000 82.977 -57.6480
4.620000 83.173 -58.8278
4.680000 83.334 -59.8528
4.750000 83.511 -61.0632
4.820000 83.677 -62.3004
4.870000 83.789 -63.2073
4.940000 83.937 -64.4930
5.000000 84.056 -65.5950
5.080000 84.204 -67.0390
5.150000 84.324 -68.2584
5.220000 84.433 -69.4577
5.300000 84.545 -70.8062
5.380000 84.647 -72.1178
5.450000 84.729 -73.2244
5.520000 84.807 -74.2846
5.600000 84.887 -75.4487
5.700000 84.974 -76.8351
5.800000 85.055 -78.1417
5.900000 85.135 -79.3629
6.000000 85.209 -80.4887
6.080000 85.266 -81.3329
6.150000 85.317 -82.0407
6.220000 85.370 -82.7282
6.300000 85.434 -83.4792
6.400000 85.515 -84.3563
6.500000 85.600 -85.2020
6.600000 85.687 -86.0560
6.700000 85.779 -86.9145
6.800000 85.874 -87.7676
6.900000 85.969 -88.6297
7.000000 86.061 -89.5150
7.100000 86.152 -90.4226
7.200000 86.241 -91.3428
7.300000 86.324 -92.2661
7.400000 86.398 -93.1954
7.500000 86.467 -94.1400
7.620000 86.540 -95.2534
7.750000 86.608 -96.3888
7.880000 86.662 -97.4743
8.000000 86.706 -98.4050
8.120000 86.747 -99.2350
8.250000 86.786 -100.0303
8.380000 86.827 -100.7305
8.500000 86.874 -101.2901
8.620000 86.927 -101.7559
8.750000 86.995 -102.2141
8.850000 87.059 -102.5615
9.000000 87.172 -103.0346
9.120000 87.274 -103.4363
9.250000 87.394 -103.9432
9.380000 87.526 -104.4982
9.500000 87.649 -105.0778
9.620000 87.771 -105.7425
9.750000 87.903 -106.5450
9.880000 88.027 -107.4070
10.000000 88.131 -108.2587
10.150000 88.250 -109.3904
10.300000 88.351 -110.5187
10.440000 88.429 -111.5795
10.600000 88.503 -112.7544
10.750000 88.559 -113.7767
10.900000 88.603 -114.7357
11.060000 88.649 -115.6633
11.200000 88.685 -116.3908
11.380000 88.736 -117.2546
11.500000 88.774 -117.7825
11.720000 88.854 -118.7063
11.800000 88.886 -119.0459
12.060000 89.002 -120.1602
12.200000 89.066 -120.8107
12.410000 89.164 -121.8450
12.500000 89.202 -122.3118
12.650000 89.263 -123.1260
12.800000 89.318 -123.9624
13.150000 89.411 -125.9547
13.200000 89.421 -126.2342
13.400000 89.451 -127.3403
13.600000 89.470 -128.3981
13.800000 89.478 -129.3956
14.000000 89.481 -130.3290
14.300000 89.476 -131.6069
14.500000 89.469 -132.3801
14.750000 89.458 -133.2544
15.000000 89.448 -134.0241
15.250000 89.443 -134.6809
15.500000 89.450 -135.2390
15.750000 89.472 -135.7192
16.000000 89.515 -136.1673
16.250000 89.580 -136.6569
16.500000 89.660 -137.2292
16.750000 89.751 -137.9385
17.000000 89.836 -138.7885
17.250000 89.911 -139.7532
17.500000 89.965 -140.7937
17.750000 89.996 -141.8181
18.000000 90.007 -142.7747
18.250000 90.004 -143.6075
18.500000 89.998 -144.2848
18.750000 89.998 -144.8286
19.000000 90.011 -145.2610
19.250000 90.043 -145.6595
19.500000 90.090 -146.0783
19.750000 90.149 -146.5597
20.000000 90.210 -147.1400
20.299999 90.275 -147.9398
20.600000 90.321 -148.8008
20.900000 90.344 -149.6420
21.200001 90.350 -150.3786
21.400000 90.351 -150.7862
21.799999 90.359 -151.4271
22.000000 90.371 -151.6929
22.400000 90.419 -152.2240
22.700001 90.467 -152.7036
23.000000 90.514 -153.2885
23.299999 90.549 -153.9466
23.600000 90.569 -154.6243
24.000000 90.575 -155.4778
24.299999 90.572 -156.0538
24.700001 90.566 -156.7664
25.000000 90.560 -157.2974
25.400000 90.541 -158.0133
25.799999 90.504 -158.6656
26.200001 90.454 -159.1416
26.500000 90.422 -159.3586
26.900000 90.404 -159.5244
27.200001 90.415 -159.6511
27.600000 90.452 -159.9425
28.000000 90.495 -160.4251
28.500000 90.532 -161.2122
29.000000 90.542 -162.0290
29.500000 90.536 -162.7563
30.000000 90.527 -163.3147
30.400000 90.536 -163.6236
30.700001 90.562 -163.8143
31.100000 90.629 -164.1568
31.500000 90.715 -164.7639
32.000000 90.794 -165.9812
32.500000 90.782 -167.3840
33.000000 90.685 -168.3588
33.500000 90.583 -168.6189
34.000000 90.557 -168.4867
34.500000 90.605 -168.5446
35.000000 90.659 -169.0146
35.500000 90.666 -169.6590
36.000000 90.635 -170.1522
36.500000 90.600 -170.4187
37.000000 90.586 -170.5947
37.500000 90.587 -170.8137
38.200001 90.594 -171.2594
38.700001 90.593 -171.6523
39.500000 90.580 -172.2836
40.000000 90.578 -172.6495
40.599998 90.592 -173.1903
41.200001 90.596 -173.9875
41.799999 90.549 -174.8624
42.500000 90.447 -175.5020
43.099998 90.382 -175.6778
43.700001 90.358 -175.8180
44.400002 90.353 -176.0952
45.000000 90.362 -176.4012
45.500000 90.379 -176.8038
46.200001 90.376 -177.6745
46.799999 90.318 -178.4206
47.500000 90.232 -178.9775
48.200001 90.163 -179.5075
48.700001 90.090 -179.9142
49.400002 89.948 -179.9956
50.000000 89.890 -179.4641
50.799999 89.989 -178.9863
51.500000 90.107 -179.5152
52.200001 90.144 179.5632
53.000000 90.114 178.7227
53.799999 90.066 178.2614
54.500000 90.053 178.0858
55.200001 90.076 177.7709
56.000000 90.070 177.0703
57.000000 89.973 176.4842
58.000000 89.896 176.4297
59.000000 89.870 176.5032
60.000000 89.923 176.3177
60.799999 89.948 175.5281
61.500000 89.888 174.7849
62.200001 89.794 174.4722
63.000000 89.728 174.4573
64.000000 89.691 174.3498
65.000000 89.660 174.2000
66.000000 89.636 173.9013
67.000000 89.574 173.4628
68.000000 89.493 173.1732
69.000000 89.433 172.8268
70.000000 89.370 172.3248
71.000000 89.302 171.8832
72.000000 89.254 171.5417
73.000000 89.214 171.2266
74.000000 89.153 171.0667
75.000000 89.073 171.2481
76.199997 88.992 171.8129
77.500000 88.925 172.4670
78.800003 88.946 172.9936
80.000000 89.030 172.3322
81.199997 89.007 171.1672
82.500000 88.941 170.7231
83.800003 89.004 171.1007
85.000000 89.102 170.7794
86.199997 89.055 170.3531
87.500000 88.955 169.9113
88.500000 88.810 169.3365
90.000000 88.564 168.9634
91.199997 88.471 168.7385
92.500000 88.390 168.2180
93.800003 88.225 168.2646
95.000000 88.079 169.2548
96.199997 88.009 170.2228
97.500000 87.903 170.5548
98.800003 87.784 171.2406
100.000000 87.907 171.5768
101.500000 88.109 170.0857
103.000000 88.190 168.8756
104.400002 88.245 168.4650
106.000000 88.226 168.4453
107.500000 88.151 168.4951
109.000000 88.054 168.3503
110.599998 87.984 167.7876
112.000000 87.894 167.1996
113.800003 87.743 167.3607
115.000000 87.666 167.9502
117.199997 87.568 168.9816
118.000000 87.544 169.1583
120.599998 87.408 169.0299
122.000000 87.348 169.5439
124.099998 87.448 170.6318
125.000000 87.512 170.9370
126.500000 87.597 171.2837
128.000000 87.635 171.3206
131.500000 87.519 171.0798
132.000000 87.517 171.0650
134.000000 87.578 170.5118
136.000000 87.629 169.5746
138.000000 87.642 168.9586
140.000000 87.612 168.7021
143.000000 87.544 168.5482
145.000000 87.480 168.3094
147.500000 87.354 168.0799
150.000000 87.224 168.1057
152.500000 87.191 168.0067
155.000000 87.177 167.8708
157.500000 87.142 168.0531
160.000000 87.078 168.2452
162.500000 87.023 168.2642
165.000000 86.985 168.2175
167.500000 86.943 168.2639
170.000000 86.895 168.3085
172.500000 86.845 168.2720
175.000000 86.794 168.2701
177.500000 86.744 168.3352
180.000000 86.692 168.3925
182.500000 86.640 168.4543
185.000000 86.594 168.5466
187.500000 86.550 168.6441
190.000000 86.503 168.7526
192.500000 86.458 168.8633
195.000000 86.417 168.9673
197.500000 86.377 169.0916
200.000000 86.336 169.2058
203.000000 86.280 169.3281
206.000000 86.231 169.4831
209.000000 86.191 169.6505
212.000000 86.146 169.8132
214.000000 86.113 169.9212
218.000000 86.050 170.1355
220.000000 86.023 170.2479
224.000000 85.974 170.4988
227.000000 85.939 170.7317
230.000000 85.903 170.9657
233.000000 85.862 171.1376
236.000000 85.819 171.2961
240.000000 85.774 171.5342
243.000000 85.747 171.6987
247.000000 85.731 171.9538
250.000000 85.719 172.1725
254.000000 85.665 172.4634
258.000000 85.608 172.7218
262.000000 85.566 172.9674
265.000000 85.533 173.1586
269.000000 85.492 173.4050
272.000000 85.467 173.5741
276.000000 85.438 173.7815
280.000000 85.407 174.0026
285.000000 85.362 174.3346
