* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.800. Timing signal peak level -40.2 dBFS, measurement signal peak level -21.6 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 13/07/2022 8:19:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0852 ms (-29 mm, -1.15 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: Titan S R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 66.166 -48.3395
1.015000 66.027 -48.4849
1.030000 65.895 -48.5648
1.044000 65.777 -48.5761
1.060000 65.650 -48.5090
1.075000 65.540 -48.3636
1.090000 65.440 -48.1335
1.106000 65.342 -47.7862
1.120000 65.257 -47.3796
1.138000 65.148 -46.7209
1.150000 65.075 -46.2032
1.172000 64.943 -45.1062
1.180000 64.896 -44.6638
1.206000 64.748 -43.0853
1.220000 64.671 -42.1570
1.241000 64.563 -40.6791
1.250000 64.519 -40.0192
1.265000 64.450 -38.8901
1.280000 64.386 -37.7316
1.315000 64.262 -34.9590
1.320000 64.247 -34.5593
1.340000 64.197 -32.9634
1.360000 64.162 -31.3862
1.380000 64.143 -29.8469
1.400000 64.142 -28.3642
1.430000 64.177 -26.2880
1.450000 64.226 -25.0301
1.475000 64.320 -23.6126
1.500000 64.457 -22.2116
1.525000 64.635 -20.7980
1.550000 64.847 -19.3851
1.575000 65.090 -17.9861
1.600000 65.359 -16.6142
1.625000 65.649 -15.2828
1.650000 65.956 -14.0050
1.675000 66.274 -12.7941
1.700000 66.599 -11.6633
1.725000 66.926 -10.6260
1.750000 67.250 -9.6953
1.775000 67.568 -8.8845
1.800000 67.873 -8.2069
1.825000 68.162 -7.6757
1.850000 68.438 -7.3018
1.875000 68.719 -7.0791
1.900000 69.006 -6.9948
1.925000 69.295 -7.0360
1.950000 69.587 -7.1898
1.975000 69.880 -7.4435
2.000000 70.172 -7.7840
2.030000 70.519 -8.2893
2.060000 70.861 -8.8789
2.090000 71.195 -9.5307
2.120000 71.518 -10.2223
2.140000 71.727 -10.6946
2.180000 72.125 -11.6363
2.200000 72.312 -12.0932
2.240000 72.670 -13.0954
2.270000 72.925 -13.9503
2.300000 73.171 -14.8785
2.330000 73.406 -15.8664
2.360000 73.633 -16.9004
2.400000 73.923 -18.3269
2.430000 74.132 -19.4150
2.470000 74.400 -20.8642
2.500000 74.594 -21.9321
2.540000 74.844 -23.3047
2.580000 75.086 -24.5994
2.620000 75.314 -25.8828
2.650000 75.476 -26.8471
2.690000 75.681 -28.1299
2.720000 75.827 -29.0863
2.760000 76.012 -30.3488
2.800000 76.189 -31.5912
2.850000 76.400 -33.1059
2.900000 76.603 -34.5668
2.950000 76.798 -35.9652
3.000000 76.979 -37.3261
3.040000 77.114 -38.3889
3.070000 77.210 -39.1686
3.110000 77.333 -40.1823
3.150000 77.450 -41.1631
3.200000 77.593 -42.3375
3.250000 77.733 -43.4483
3.300000 77.874 -44.4885
3.350000 78.011 -45.4526
3.400000 78.141 -46.3455
3.450000 78.266 -47.1753
3.500000 78.389 -47.9502
3.550000 78.512 -48.6786
3.600000 78.638 -49.3685
3.650000 78.770 -50.0283
3.700000 78.908 -50.6485
3.750000 79.048 -51.2004
3.820000 79.247 -51.8891
3.870000 79.393 -52.3456
3.950000 79.634 -53.0643
4.000000 79.790 -53.5341
4.060000 79.983 -54.1348
4.120000 80.185 -54.7256
4.180000 80.395 -55.3130
4.250000 80.644 -56.0172
4.310000 80.858 -56.6568
4.370000 81.071 -57.3479
4.440000 81.317 -58.2310
4.500000 81.532 -59.0340
4.550000 81.711 -59.7341
4.620000 81.960 -60.7620
4.680000 82.168 -61.6877
4.750000 82.399 -62.8199
4.820000 82.618 -64.0199
4.870000 82.771 -64.9244
4.940000 82.978 -66.2403
5.000000 83.147 -67.3995
5.080000 83.357 -68.9654
5.150000 83.525 -70.3354
5.220000 83.678 -71.7384
5.300000 83.838 -73.3744
5.380000 83.980 -75.0124
5.450000 84.091 -76.4205
5.520000 84.187 -77.7866
5.600000 84.280 -79.3372
5.700000 84.371 -81.2400
5.800000 84.439 -83.0498
5.900000 84.489 -84.7175
6.000000 84.514 -86.2755
6.080000 84.520 -87.4370
6.150000 84.520 -88.3795
6.220000 84.517 -89.2434
6.300000 84.509 -90.1283
6.400000 84.488 -91.0944
6.500000 84.464 -91.9227
6.600000 84.446 -92.6322
6.700000 84.435 -93.1965
6.800000 84.427 -93.6287
6.900000 84.428 -93.9857
7.000000 84.444 -94.3122
7.100000 84.473 -94.5615
7.200000 84.513 -94.7676
7.300000 84.563 -94.9880
7.400000 84.623 -95.2494
7.500000 84.695 -95.5183
7.620000 84.789 -95.8802
7.750000 84.892 -96.3606
7.880000 85.002 -96.9266
8.000000 85.103 -97.5085
8.120000 85.198 -98.1402
8.250000 85.297 -98.8913
8.380000 85.391 -99.6833
8.500000 85.471 -100.4299
8.620000 85.546 -101.2029
8.750000 85.622 -102.0543
8.850000 85.677 -102.7097
9.000000 85.753 -103.7022
9.120000 85.810 -104.4995
9.250000 85.868 -105.3638
9.380000 85.922 -106.2307
9.500000 85.969 -107.0246
9.620000 86.011 -107.8121
9.750000 86.052 -108.6596
9.880000 86.090 -109.4791
10.000000 86.121 -110.2069
10.150000 86.156 -111.0795
10.300000 86.191 -111.8781
10.440000 86.222 -112.5542
10.600000 86.264 -113.2517
10.750000 86.313 -113.8221
10.900000 86.371 -114.3259
11.060000 86.452 -114.8422
11.200000 86.538 -115.2616
11.380000 86.667 -115.8488
11.500000 86.766 -116.2820
11.720000 86.962 -117.1936
11.800000 87.035 -117.5837
12.060000 87.275 -119.0315
12.200000 87.393 -119.9212
12.410000 87.552 -121.3706
12.500000 87.609 -121.9948
12.650000 87.690 -123.0660
12.800000 87.755 -124.0997
13.150000 87.845 -126.1961
13.200000 87.854 -126.4436
13.400000 87.881 -127.2894
13.600000 87.913 -127.9258
13.800000 87.956 -128.3387
14.000000 88.025 -128.6582
14.300000 88.176 -129.0575
14.500000 88.305 -129.4287
14.750000 88.473 -130.1000
15.000000 88.634 -131.0311
15.250000 88.759 -132.1750
15.500000 88.838 -133.3823
15.750000 88.872 -134.5535
16.000000 88.866 -135.5337
16.250000 88.844 -136.2770
16.500000 88.819 -136.7975
16.750000 88.810 -137.1524
17.000000 88.819 -137.4832
17.250000 88.842 -137.8473
17.500000 88.868 -138.3125
17.750000 88.885 -138.8372
18.000000 88.891 -139.3655
18.250000 88.888 -139.8313
18.500000 88.893 -140.1972
18.750000 88.917 -140.5290
19.000000 88.967 -140.8903
19.250000 89.037 -141.4477
19.500000 89.108 -142.2444
19.750000 89.160 -143.2989
20.000000 89.165 -144.4960
20.299999 89.103 -145.8129
20.600000 88.985 -146.6902
20.900000 88.857 -146.8920
21.200001 88.795 -146.4430
21.400000 88.823 -146.0176
21.799999 89.024 -145.4415
22.000000 89.166 -145.5284
22.400000 89.425 -146.6278
22.700001 89.529 -147.9095
23.000000 89.537 -149.0210
23.299999 89.499 -149.5620
23.600000 89.486 -149.5026
24.000000 89.603 -148.9561
24.299999 89.797 -148.8492
24.700001 90.095 -149.7443
25.000000 90.251 -151.1558
25.400000 90.293 -153.3784
25.799999 90.169 -154.9997
26.200001 90.006 -155.5141
26.500000 89.942 -155.4023
26.900000 89.970 -155.2484
27.200001 90.037 -155.5278
27.600000 90.098 -156.5058
28.000000 90.065 -157.6927
28.500000 89.935 -158.6161
29.000000 89.847 -158.8582
29.500000 89.848 -159.1943
30.000000 89.835 -159.9836
30.400000 89.763 -160.5147
30.700001 89.693 -160.5779
31.100000 89.648 -160.2026
31.500000 89.706 -159.6986
32.000000 89.886 -159.7116
32.500000 90.039 -160.7277
33.000000 90.062 -162.0764
33.500000 89.988 -162.9754
34.000000 89.918 -163.3110
34.500000 89.899 -163.5609
35.000000 89.891 -164.0480
35.500000 89.850 -164.6364
36.000000 89.790 -165.0728
36.500000 89.750 -165.3951
37.000000 89.733 -165.8437
37.500000 89.711 -166.4934
38.200001 89.640 -167.3966
38.700001 89.583 -167.8306
39.500000 89.532 -168.2516
40.000000 89.528 -168.4234
40.599998 89.552 -168.5890
41.200001 89.596 -168.8541
41.799999 89.621 -169.2132
42.500000 89.615 -169.3959
43.099998 89.634 -169.2952
43.700001 89.690 -169.4075
44.400002 89.716 -170.0910
45.000000 89.651 -170.7642
45.500000 89.563 -171.0656
46.200001 89.467 -171.1365
46.799999 89.454 -171.2651
47.500000 89.485 -172.0407
48.200001 89.454 -173.5231
48.700001 89.348 -174.5298
49.400002 89.144 -174.9615
50.000000 89.070 -174.4240
50.799999 89.204 -173.8391
51.500000 89.376 -174.2591
52.200001 89.472 -175.0559
53.000000 89.508 -175.7925
53.799999 89.495 -176.2531
54.500000 89.463 -176.3706
55.200001 89.449 -176.3687
56.000000 89.441 -176.6039
57.000000 89.373 -177.0557
58.000000 89.319 -177.2268
59.000000 89.337 -177.7122
60.000000 89.336 -178.6372
60.799999 89.302 -179.3199
61.500000 89.263 -179.7843
62.200001 89.217 179.8873
63.000000 89.164 179.7018
64.000000 89.117 179.6002
65.000000 89.071 179.4635
66.000000 89.028 179.3975
67.000000 89.016 179.2117
68.000000 89.003 178.7836
69.000000 88.978 178.3177
70.000000 88.946 177.8656
71.000000 88.902 177.5607
72.000000 88.875 177.4332
73.000000 88.873 177.2306
74.000000 88.856 176.8594
75.000000 88.814 176.5346
76.199997 88.763 176.2286
77.500000 88.691 175.9232
78.800003 88.601 175.9798
80.000000 88.588 176.4024
81.199997 88.638 176.3135
82.500000 88.635 176.1259
83.800003 88.715 175.8913
85.000000 88.704 174.7348
86.199997 88.507 174.2806
87.500000 88.354 174.8060
88.500000 88.296 174.9944
90.000000 88.234 174.7628
91.199997 88.179 174.1256
92.500000 88.110 173.6924
93.800003 88.098 173.8218
95.000000 88.141 174.4930
96.199997 88.203 175.4420
97.500000 88.235 176.7533
98.800003 88.300 177.7217
100.000000 88.304 177.1631
101.500000 88.104 175.3244
103.000000 87.883 173.2051
104.400002 87.691 171.2908
106.000000 87.546 171.0101
107.500000 87.639 171.9648
109.000000 87.737 172.6003
110.599998 87.709 173.2879
112.000000 87.653 173.5789
113.800003 87.544 173.4135
115.000000 87.486 173.3011
117.199997 87.428 173.4863
118.000000 87.401 173.7485
120.599998 87.307 175.1885
122.000000 87.258 175.6521
124.099998 87.211 176.0417
125.000000 87.243 176.1306
126.500000 87.342 176.0398
128.000000 87.408 176.0215
131.500000 87.511 178.0291
132.000000 87.550 178.1610
134.000000 87.585 177.1977
136.000000 87.425 175.8102
138.000000 87.324 174.9327
140.000000 87.301 174.6037
143.000000 87.276 174.6619
145.000000 87.208 174.6521
147.500000 87.104 174.2938
150.000000 87.005 174.1142
152.500000 87.014 174.3022
155.000000 87.037 174.3069
157.500000 87.014 174.3526
160.000000 86.966 174.3176
162.500000 86.897 174.2151
165.000000 86.832 174.2275
167.500000 86.797 174.2957
170.000000 86.770 174.2985
172.500000 86.732 174.3231
175.000000 86.686 174.3949
177.500000 86.636 174.4593
180.000000 86.587 174.5503
182.500000 86.547 174.6854
185.000000 86.511 174.8263
187.500000 86.477 174.9234
190.000000 86.436 174.9648
192.500000 86.381 175.0155
195.000000 86.323 175.0917
197.500000 86.273 175.1885
200.000000 86.232 175.3642
203.000000 86.193 175.6550
206.000000 86.151 175.9181
209.000000 86.115 176.1201
212.000000 86.078 176.2712
214.000000 86.049 176.3698
218.000000 85.987 176.5695
220.000000 85.958 176.6798
224.000000 85.907 176.9415
227.000000 85.872 177.1244
230.000000 85.836 177.3170
233.000000 85.804 177.5469
236.000000 85.775 177.7655
240.000000 85.734 178.0518
243.000000 85.707 178.3247
247.000000 85.677 178.7965
250.000000 85.650 179.0825
254.000000 85.595 179.2855
258.000000 85.551 179.5300
262.000000 85.519 179.8228
265.000000 85.493 -179.9429
269.000000 85.461 -179.6535
272.000000 85.438 -179.4589
