* Measurement data measured by REW V5.31.3
* Source: A [plughw:5,0], Headset (Headset), 0, volume: 0.129
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 27/12/2025 2:39:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tourbillon-Pro L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 43.141 162.4341
0.732422 41.330 129.3405
1.098633 43.415 75.5076
1.464844 49.223 44.2874
1.831055 54.249 29.4999
2.197266 58.242 19.7761
2.563477 61.445 11.8160
2.929688 64.035 4.8064
3.295898 66.155 -1.3237
3.662109 67.940 -6.5245
4.028320 69.520 -10.9293
4.394531 70.986 -14.9387
4.760742 72.365 -19.0436
5.126953 73.627 -23.5217
5.493164 74.729 -28.2774
5.859375 75.653 -32.9266
6.225586 76.435 -37.0328
6.591797 77.151 -40.3872
6.958008 77.880 -43.1948
7.324219 78.651 -45.9714
7.690430 79.419 -49.1459
8.056641 80.107 -52.7272
8.422852 80.666 -56.3162
8.789062 81.110 -59.3805
9.155273 81.515 -61.6191
9.521484 81.974 -63.2407
9.887695 82.521 -64.8853
10.253906 83.102 -67.1341
10.620117 83.618 -70.0742
10.986328 83.999 -73.2995
11.352539 84.242 -76.2113
11.718750 84.411 -78.3741
12.084961 84.599 -79.7950
12.451172 84.869 -80.9411
12.817383 85.207 -82.3845
13.183594 85.544 -84.3738
13.549805 85.819 -86.7367
13.916016 86.013 -89.0962
14.282227 86.153 -91.1470
14.648438 86.285 -92.8155
15.014648 86.438 -94.2328
15.380859 86.616 -95.5647
15.747070 86.805 -96.8630
16.113281 87.000 -98.0686
16.479492 87.212 -99.1315
16.845703 87.458 -100.1126
17.211914 87.743 -101.1752
17.578125 88.052 -102.4876
17.944336 88.357 -104.1377
18.310547 88.628 -106.1166
18.676758 88.836 -108.3378
19.042969 88.957 -110.6382
19.409180 88.978 -112.7598
19.775391 88.909 -114.3648
20.141602 88.798 -115.1495
20.507812 88.729 -115.0695
20.874023 88.780 -114.5302
21.240234 88.964 -114.2505
21.606445 89.211 -114.7824
21.972656 89.417 -116.1506
22.338867 89.517 -117.9155
22.705078 89.516 -119.4947
23.071289 89.480 -120.5260
23.437500 89.499 -121.1261
23.803711 89.611 -121.8323
24.169922 89.774 -123.1683
24.536133 89.898 -125.2234
24.902344 89.913 -127.6065
25.268555 89.812 -129.6920
25.634766 89.655 -130.9549
26.000977 89.548 -131.2935
26.367188 89.579 -131.1680
26.733398 89.752 -131.3202
27.099609 89.990 -132.2435
27.465820 90.194 -133.9201
27.832031 90.299 -135.9529
28.198242 90.294 -137.8322
28.564453 90.216 -139.1535
28.930664 90.126 -139.7619
29.296875 90.084 -139.8006
29.663086 90.119 -139.6180
30.029297 90.219 -139.5664
30.395508 90.347 -139.8353
30.761719 90.468 -140.4249
31.127930 90.558 -141.2278
31.494141 90.613 -142.1251
31.860352 90.634 -143.0377
32.226562 90.626 -143.9217
32.592773 90.591 -144.7350
32.958984 90.533 -145.4155
33.325195 90.464 -145.8965
33.691406 90.404 -146.1535
34.057617 90.374 -146.2457
34.423828 90.386 -146.3107
34.790039 90.438 -146.5047
35.156250 90.513 -146.9296
35.522461 90.592 -147.5984
35.888672 90.658 -148.4513
36.254883 90.704 -149.3991
36.621094 90.732 -150.3601
36.987305 90.744 -151.2780
37.353516 90.746 -152.1243
37.719727 90.744 -152.8934
38.085938 90.740 -153.5952
38.452148 90.735 -154.2430
38.818359 90.726 -154.8424
39.184570 90.714 -155.3860
39.550781 90.698 -155.8611
39.916992 90.682 -156.2650
40.283203 90.669 -156.6134
40.649414 90.660 -156.9327
41.015625 90.653 -157.2408
41.381836 90.646 -157.5364
41.748047 90.641 -157.8086
42.114258 90.640 -158.0594
42.480469 90.648 -158.3158
42.846680 90.664 -158.6155
43.212891 90.682 -158.9787
43.579102 90.698 -159.3933
43.945312 90.711 -159.8302
44.311523 90.723 -160.2742
44.677734 90.738 -160.7403
45.043945 90.753 -161.2536
45.410156 90.759 -161.8095
45.776367 90.752 -162.3525
46.142578 90.733 -162.8010
46.508789 90.715 -163.1055
46.875000 90.715 -163.2969
47.241211 90.739 -163.4815
47.607422 90.781 -163.7769
47.973633 90.825 -164.2377
48.339844 90.853 -164.8284
48.706055 90.856 -165.4552
49.072266 90.837 -166.0237
49.438477 90.807 -166.4836
49.804688 90.775 -166.8368
50.170898 90.750 -167.1175
50.537109 90.732 -167.3677
50.903320 90.723 -167.6244
51.269531 90.719 -167.9163
51.635742 90.716 -168.2594
52.001953 90.709 -168.6461
52.368164 90.694 -169.0418
52.734375 90.672 -169.4000
53.100586 90.652 -169.6920
53.466797 90.640 -169.9310
53.833008 90.642 -170.1689
54.199219 90.655 -170.4656
54.565430 90.672 -170.8516
54.931641 90.682 -171.3125
55.297852 90.680 -171.8018
55.664062 90.668 -172.2691
56.030273 90.649 -172.6822
56.396484 90.630 -173.0354
56.762695 90.614 -173.3455
57.128906 90.603 -173.6435
57.495117 90.597 -173.9650
57.861328 90.590 -174.3354
58.227539 90.575 -174.7535
58.593750 90.545 -175.1806
58.959961 90.500 -175.5497
59.326172 90.446 -175.7963
59.692383 90.397 -175.8988
60.058594 90.366 -175.9027
60.424805 90.359 -175.9060
60.791016 90.370 -176.0078
61.157227 90.386 -176.2531
61.523438 90.391 -176.6094
61.889648 90.378 -176.9892
62.255859 90.353 -177.3006
62.622070 90.326 -177.4991
62.988281 90.313 -177.6137
63.354492 90.319 -177.7297
63.720703 90.338 -177.9362
64.086914 90.357 -178.2691
64.453125 90.360 -178.6866
64.819336 90.342 -179.0899
65.185547 90.309 -179.3785
65.551758 90.277 -179.5107
65.917969 90.263 -179.5344
66.284180 90.272 -179.5643
66.650391 90.296 -179.7124
67.016602 90.317 179.9805
67.382812 90.317 179.5688
67.749023 90.292 179.1678
68.115234 90.248 178.8885
68.481445 90.202 178.7765
68.847656 90.172 178.7874
69.213867 90.165 178.8144
69.580078 90.175 178.7498
69.946289 90.190 178.5428
70.312500 90.194 178.2174
70.678711 90.181 177.8493
71.044922 90.151 177.5215
71.411133 90.115 177.2834
71.777344 90.082 177.1320
72.143555 90.061 177.0218
72.509766 90.050 176.8965
72.875977 90.044 176.7233
73.242188 90.037 176.5068
73.608398 90.026 176.2782
73.974609 90.011 176.0687
74.340820 89.997 175.8871
74.707031 89.988 175.7156
75.073242 89.982 175.5267
75.439453 89.975 175.3073
75.805664 89.962 175.0709
76.171875 89.943 174.8510
76.538086 89.919 174.6801
76.904297 89.897 174.5684
77.270508 89.881 174.4968
77.636719 89.875 174.4260
78.002930 89.875 174.3163
78.369141 89.877 174.1453
78.735352 89.875 173.9157
79.101562 89.864 173.6527
79.467773 89.843 173.3936
79.833984 89.814 173.1735
80.200195 89.782 173.0130
80.566406 89.752 172.9107
80.932617 89.729 172.8451
81.298828 89.713 172.7860
81.665039 89.703 172.7088
82.031250 89.697 172.6028
82.397461 89.692 172.4698
82.763672 89.687 172.3149
83.129883 89.682 172.1399
83.496094 89.675 171.9428
83.862305 89.666 171.7253
84.228516 89.651 171.4984
84.594727 89.631 171.2809
84.960938 89.606 171.0911
85.327148 89.580 170.9377
85.693359 89.554 170.8186
86.059570 89.530 170.7266
86.425781 89.508 170.6567
86.791992 89.489 170.6067
87.158203 89.476 170.5701
87.524414 89.469 170.5283
87.890625 89.469 170.4524
88.256836 89.472 170.3170
88.623047 89.471 170.1163
88.989258 89.461 169.8723
89.355469 89.441 169.6267
89.721680 89.411 169.4227
90.087891 89.377 169.2851
90.454102 89.347 169.2119
90.820312 89.323 169.1785
91.186523 89.308 169.1515
91.552734 89.300 169.1029
91.918945 89.295 169.0189
92.285156 89.290 168.9014
92.651367 89.282 168.7640
93.017578 89.272 168.6248
93.383789 89.259 168.4974
93.750000 89.248 168.3840
94.116211 89.239 168.2742
94.482422 89.232 168.1513
94.848633 89.226 168.0035
95.214844 89.216 167.8327
95.581055 89.202 167.6543
95.947266 89.184 167.4888
96.313477 89.162 167.3498
96.679688 89.141 167.2374
97.045898 89.121 167.1411
97.412109 89.103 167.0488
97.778320 89.086 166.9548
98.144531 89.068 166.8620
98.510742 89.050 166.7766
98.876953 89.033 166.7018
99.243164 89.017 166.6347
99.609375 89.004 166.5681
99.975586 88.992 166.4944
100.341797 88.981 166.4097
100.708008 88.971 166.3149
101.074219 88.959 166.2138
101.440430 88.947 166.1109
101.806641 88.935 166.0081
102.172852 88.923 165.9032
102.539062 88.911 165.7914
102.905273 88.899 165.6696
103.271484 88.884 165.5414
103.637695 88.866 165.4184
104.003906 88.847 165.3138
104.370117 88.828 165.2331
104.736328 88.812 165.1670
105.102539 88.799 165.0951
105.468750 88.788 164.9997
105.834961 88.774 164.8814
106.201172 88.756 164.7620
106.567383 88.733 164.6713
106.933594 88.711 164.6247
107.299805 88.695 164.6078
107.666016 88.686 164.5829
108.032227 88.681 164.5146
108.398438 88.674 164.3971
108.764648 88.660 164.2610
109.130859 88.637 164.1545
109.497070 88.613 164.1094
109.863281 88.595 164.1179
110.229492 88.588 164.1349
110.595703 88.589 164.1078
110.961914 88.591 164.0110
111.328125 88.587 163.8596
111.694336 88.574 163.6968
112.060547 88.554 163.5641
112.426758 88.531 163.4772
112.792969 88.512 163.4225
113.159180 88.496 163.3727
113.525391 88.483 163.3090
113.891602 88.469 163.2310
114.257812 88.453 163.1519
114.624023 88.436 163.0831
114.990234 88.420 163.0253
115.356445 88.405 162.9691
115.722656 88.392 162.9050
116.088867 88.377 162.8324
116.455078 88.362 162.7596
116.821289 88.345 162.6959
117.187500 88.330 162.6435
117.553711 88.316 162.5952
117.919922 88.303 162.5409
118.286133 88.291 162.4757
118.652344 88.278 162.4040
119.018555 88.263 162.3354
119.384766 88.248 162.2773
119.750977 88.234 162.2290
120.117188 88.221 162.1832
120.483398 88.210 162.1315
120.849609 88.199 162.0705
121.215820 88.187 162.0024
121.582031 88.175 161.9317
121.948242 88.162 161.8620
122.314453 88.148 161.7951
122.680664 88.134 161.7326
123.046875 88.120 161.6760
123.413086 88.107 161.6244
123.779297 88.096 161.5716
124.145508 88.086 161.5084
124.511719 88.075 161.4292
124.877930 88.061 161.3399
125.244141 88.045 161.2570
125.610352 88.026 161.1982
125.976562 88.008 161.1679
126.342773 87.995 161.1514
126.708984 87.986 161.1230
127.075195 87.979 161.0644
127.441406 87.969 160.9782
127.807617 87.953 160.8867
128.173828 87.934 160.8164
128.540039 87.913 160.7804
128.906250 87.896 160.7712
129.272461 87.882 160.7689
129.638672 87.871 160.7555
130.004883 87.861 160.7249
130.371094 87.851 160.6820
130.737305 87.839 160.6348
131.103516 87.826 160.5879
131.469727 87.813 160.5415
131.835938 87.799 160.4954
132.202148 87.785 160.4506
132.568359 87.771 160.4088
132.934570 87.757 160.3702
133.300781 87.744 160.3329
133.666992 87.731 160.2940
134.033203 87.719 160.2516
134.399414 87.707 160.2048
134.765625 87.695 160.1542
135.131836 87.682 160.1013
135.498047 87.668 160.0498
135.864258 87.653 160.0047
136.230469 87.639 159.9687
136.596680 87.626 159.9395
136.962891 87.614 159.9100
137.329102 87.602 159.8741
137.695312 87.591 159.8320
138.061523 87.578 159.7904
138.427734 87.564 159.7563
138.793945 87.551 159.7291
139.160156 87.539 159.7005
139.526367 87.528 159.6622
139.892578 87.515 159.6158
140.258789 87.500 159.5729
140.625000 87.483 159.5452
140.991211 87.469 159.5322
141.357422 87.457 159.5188
141.723633 87.448 159.4874
142.089844 87.437 159.4340
142.456055 87.423 159.3734
142.822266 87.406 159.3272
143.188477 87.390 159.3054
143.554688 87.377 159.2968
143.920898 87.369 159.2784
144.287109 87.361 159.2353
144.653320 87.352 159.1736
145.019531 87.340 159.1145
145.385742 87.326 159.0747
145.751953 87.315 159.0521
146.118164 87.307 159.0282
146.484375 87.300 158.9865
146.850586 87.292 158.9286
147.216797 87.280 158.8741
147.583008 87.265 158.8438
147.949219 87.252 158.8408
148.315430 87.243 158.8472
148.681641 87.237 158.8387
149.047852 87.229 158.8049
