* Measurement data measured by REW V5.31.3
* Source: A [plughw:5,0], Headset (Headset), 0, volume: 0.129
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 27/12/2025 2:38:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tourbillon-Pro R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 41.017 156.3611
0.732422 39.789 116.9023
1.098633 42.712 68.3616
1.464844 47.930 42.8397
1.831055 52.500 30.7122
2.197266 56.317 22.9507
2.563477 59.526 16.4036
2.929688 62.212 10.1458
3.295898 64.436 4.1248
3.662109 66.270 -1.4024
4.028320 67.808 -6.1564
4.394531 69.158 -10.0318
4.760742 70.422 -13.2202
5.126953 71.662 -16.1756
5.493164 72.881 -19.3865
5.859375 74.037 -23.1142
6.225586 75.079 -27.3002
6.591797 75.981 -31.6570
6.958008 76.746 -35.8289
7.324219 77.413 -39.5449
7.690430 78.034 -42.7286
8.056641 78.652 -45.5225
8.422852 79.285 -48.1940
8.789062 79.917 -50.9704
9.155273 80.518 -53.9236
9.521484 81.063 -56.9716
9.887695 81.543 -59.9628
10.253906 81.967 -62.7686
10.620117 82.350 -65.3335
10.986328 82.707 -67.6695
11.352539 83.045 -69.8165
11.718750 83.371 -71.8105
12.084961 83.688 -73.6860
12.451172 84.003 -75.4989
12.817383 84.315 -77.3288
13.183594 84.614 -79.2413
13.549805 84.886 -81.2332
13.916016 85.119 -83.2129
14.282227 85.318 -85.0450
14.648438 85.502 -86.6434
15.014648 85.700 -88.0520
15.380859 85.924 -89.4409
15.747070 86.164 -90.9964
16.113281 86.389 -92.7808
16.479492 86.572 -94.6781
16.845703 86.708 -96.4646
17.211914 86.820 -97.9560
17.578125 86.946 -99.1453
17.944336 87.112 -100.2289
18.310547 87.311 -101.4725
18.676758 87.507 -103.0116
19.042969 87.662 -104.7531
19.409180 87.760 -106.4423
19.775391 87.819 -107.8310
20.141602 87.881 -108.8443
20.507812 87.980 -109.6371
20.874023 88.121 -110.4788
21.240234 88.276 -111.5431
21.606445 88.412 -112.7906
21.972656 88.516 -114.0329
22.338867 88.606 -115.1109
22.705078 88.713 -116.0499
23.071289 88.851 -117.0628
23.437500 88.998 -118.3747
23.803711 89.106 -120.0113
24.169922 89.138 -121.7276
24.536133 89.092 -123.1191
24.902344 89.017 -123.8536
25.268555 88.991 -123.9240
25.634766 89.076 -123.7431
26.000977 89.265 -123.9059
26.367188 89.488 -124.7770
26.733398 89.663 -126.2879
27.099609 89.743 -128.0532
27.465820 89.732 -129.6172
27.832031 89.674 -130.6817
28.198242 89.631 -131.2388
28.564453 89.640 -131.5419
28.930664 89.701 -131.9104
29.296875 89.782 -132.5177
29.663086 89.851 -133.3310
30.029297 89.895 -134.2037
30.395508 89.920 -135.0088
30.761719 89.941 -135.7133
31.127930 89.970 -136.3669
31.494141 90.005 -137.0349
31.860352 90.040 -137.7422
32.226562 90.069 -138.4674
32.592773 90.093 -139.1755
32.958984 90.116 -139.8518
33.325195 90.140 -140.5073
33.691406 90.165 -141.1607
34.057617 90.189 -141.8172
34.423828 90.211 -142.4641
34.790039 90.230 -143.0840
35.156250 90.250 -143.6711
35.522461 90.273 -144.2372
35.888672 90.299 -144.8037
36.254883 90.326 -145.3876
36.621094 90.350 -145.9900
36.987305 90.369 -146.5948
37.353516 90.383 -147.1785
37.719727 90.394 -147.7258
38.085938 90.407 -148.2412
38.452148 90.422 -148.7490
38.818359 90.439 -149.2762
39.184570 90.453 -149.8302
39.550781 90.458 -150.3876
39.916992 90.457 -150.9056
40.283203 90.453 -151.3532
40.649414 90.457 -151.7399
41.015625 90.473 -152.1183
41.381836 90.499 -152.5530
41.748047 90.526 -153.0777
42.114258 90.543 -153.6709
42.480469 90.547 -154.2712
42.846680 90.540 -154.8161
43.212891 90.531 -155.2813
43.579102 90.528 -155.6905
43.945312 90.535 -156.0936
44.311523 90.545 -156.5303
44.677734 90.555 -157.0068
45.043945 90.558 -157.4979
45.410156 90.556 -157.9696
45.776367 90.551 -158.4008
46.142578 90.547 -158.7932
46.508789 90.548 -159.1648
46.875000 90.554 -159.5381
47.241211 90.562 -159.9283
47.607422 90.570 -160.3392
47.973633 90.576 -160.7647
48.339844 90.580 -161.1943
48.706055 90.581 -161.6189
49.072266 90.581 -162.0348
49.438477 90.579 -162.4424
49.804688 90.576 -162.8411
50.170898 90.571 -163.2255
50.537109 90.566 -163.5865
50.903320 90.561 -163.9196
51.269531 90.560 -164.2333
51.635742 90.563 -164.5498
52.001953 90.569 -164.8923
52.368164 90.573 -165.2679
52.734375 90.570 -165.6584
53.100586 90.561 -166.0304
53.466797 90.548 -166.3568
53.833008 90.537 -166.6377
54.199219 90.532 -166.9012
54.565430 90.531 -167.1837
54.931641 90.531 -167.5026
55.297852 90.525 -167.8449
55.664062 90.515 -168.1788
56.030273 90.501 -168.4803
56.396484 90.491 -168.7539
56.762695 90.486 -169.0288
57.128906 90.484 -169.3357
57.495117 90.480 -169.6804
57.861328 90.470 -170.0388
58.227539 90.455 -170.3750
58.593750 90.439 -170.6702
58.959961 90.428 -170.9371
59.326172 90.423 -171.2092
59.692383 90.420 -171.5122
60.058594 90.414 -171.8420
60.424805 90.403 -172.1674
60.791016 90.389 -172.4548
61.157227 90.376 -172.6958
61.523438 90.370 -172.9152
61.889648 90.370 -173.1519
62.255859 90.371 -173.4282
62.622070 90.367 -173.7321
62.988281 90.355 -174.0253
63.354492 90.338 -174.2712
63.720703 90.323 -174.4610
64.086914 90.315 -174.6202
64.453125 90.315 -174.7921
64.819336 90.318 -175.0105
65.185547 90.319 -175.2810
65.551758 90.313 -175.5808
65.917969 90.298 -175.8738
66.284180 90.278 -176.1303
66.650391 90.258 -176.3416
67.016602 90.242 -176.5223
67.382812 90.232 -176.7014
67.749023 90.226 -176.9064
68.115234 90.220 -177.1467
68.481445 90.210 -177.4088
68.847656 90.195 -177.6650
69.213867 90.179 -177.8925
69.580078 90.166 -178.0910
69.946289 90.159 -178.2852
70.312500 90.156 -178.5081
70.678711 90.153 -178.7756
71.044922 90.144 -179.0727
71.411133 90.128 -179.3615
71.777344 90.107 -179.6067
72.143555 90.087 -179.8000
72.509766 90.072 -179.9640
72.875977 90.064 179.8668
73.242188 90.056 179.6725
73.608398 90.047 179.4609
73.974609 90.034 179.2566
74.340820 90.020 179.0777
74.707031 90.009 178.9192
75.073242 90.002 178.7565
75.439453 89.996 178.5667
75.805664 89.989 178.3476
76.171875 89.976 178.1208
76.538086 89.958 177.9149
76.904297 89.939 177.7446
77.270508 89.923 177.6013
77.636719 89.912 177.4604
78.002930 89.903 177.3009
78.369141 89.895 177.1176
78.735352 89.884 176.9216
79.101562 89.871 176.7276
79.467773 89.857 176.5428
79.833984 89.843 176.3645
80.200195 89.829 176.1882
80.566406 89.815 176.0154
80.932617 89.800 175.8543
81.298828 89.786 175.7094
81.665039 89.776 175.5720
82.031250 89.770 175.4209
82.397461 89.765 175.2364
82.763672 89.756 175.0186
83.129883 89.741 174.7941
83.496094 89.719 174.6029
83.862305 89.695 174.4719
84.228516 89.677 174.3930
84.594727 89.669 174.3240
84.960938 89.669 174.2141
85.327148 89.670 174.0377
85.693359 89.665 173.8111
86.059570 89.648 173.5814
86.425781 89.625 173.3951
86.791992 89.601 173.2697
87.158203 89.581 173.1864
87.524414 89.569 173.1082
87.890625 89.561 173.0069
88.256836 89.552 172.8792
88.623047 89.541 172.7410
88.989258 89.529 172.6092
89.355469 89.517 172.4870
89.721680 89.507 172.3630
90.087891 89.498 172.2234
90.454102 89.488 172.0645
90.820312 89.475 171.8952
91.186523 89.459 171.7305
91.552734 89.441 171.5812
91.918945 89.423 171.4497
92.285156 89.406 171.3314
92.651367 89.392 171.2189
93.017578 89.379 171.1051
93.383789 89.368 170.9834
93.750000 89.357 170.8489
94.116211 89.346 170.7015
94.482422 89.333 170.5475
94.848633 89.317 170.3986
95.214844 89.301 170.2654
95.581055 89.284 170.1506
95.947266 89.270 170.0469
96.313477 89.258 169.9419
96.679688 89.247 169.8266
97.045898 89.236 169.7006
97.412109 89.223 169.5715
97.778320 89.208 169.4489
98.144531 89.193 169.3379
98.510742 89.178 169.2373
98.876953 89.164 169.1411
99.243164 89.152 169.0430
99.609375 89.139 168.9391
99.975586 89.126 168.8305
100.341797 89.112 168.7216
100.708008 89.098 168.6183
101.074219 89.083 168.5233
101.440430 89.069 168.4340
101.806641 89.056 168.3433
102.172852 89.045 168.2447
102.539062 89.032 168.1378
102.905273 89.019 168.0295
103.271484 89.005 167.9279
103.637695 88.991 167.8344
104.003906 88.979 167.7420
104.370117 88.967 167.6415
104.736328 88.955 167.5319
105.102539 88.940 167.4240
105.468750 88.925 167.3304
105.834961 88.911 167.2520
106.201172 88.900 167.1721
106.567383 88.891 167.0693
106.933594 88.880 166.9388
107.299805 88.863 166.8029
107.666016 88.840 166.6968
108.032227 88.819 166.6374
108.398438 88.804 166.6025
108.764648 88.795 166.5428
109.130859 88.787 166.4230
109.497070 88.771 166.2596
109.863281 88.741 166.1197
110.229492 88.705 166.0755
110.595703 88.675 166.1457
110.961914 88.665 166.2684
111.328125 88.676 166.3351
111.694336 88.697 166.2641
112.060547 88.710 166.0548
112.426758 88.706 165.7831
112.792969 88.684 165.5455
113.159180 88.657 165.3956
113.525391 88.633 165.3174
113.891602 88.619 165.2513
114.257812 88.610 165.1478
114.624023 88.597 165.0054
114.990234 88.577 164.8650
115.356445 88.552 164.7719
115.722656 88.528 164.7392
116.088867 88.513 164.7402
116.455078 88.506 164.7305
116.821289 88.503 164.6801
117.187500 88.499 164.5885
117.553711 88.491 164.4773
117.919922 88.478 164.3706
118.286133 88.463 164.2812
118.652344 88.448 164.2092
119.018555 88.433 164.1482
119.384766 88.420 164.0924
119.750977 88.407 164.0372
120.117188 88.396 163.9778
120.483398 88.385 163.9094
120.849609 88.374 163.8293
121.215820 88.361 163.7408
121.582031 88.345 163.6523
121.948242 88.328 163.5735
122.314453 88.310 163.5098
122.680664 88.294 163.4600
123.046875 88.279 163.4178
123.413086 88.266 163.3748
123.779297 88.255 163.3245
124.145508 88.244 163.2640
124.511719 88.233 163.1941
124.877930 88.221 163.1187
125.244141 88.208 163.0434
125.610352 88.194 162.9734
125.976562 88.180 162.9122
126.342773 88.166 162.8597
126.708984 88.153 162.8121
127.075195 88.141 162.7635
127.441406 88.131 162.7084
127.807617 88.120 162.6440
128.173828 88.109 162.5724
128.540039 88.096 162.4999
128.906250 88.081 162.4341
129.272461 88.066 162.3802
129.638672 88.051 162.3376
130.004883 88.039 162.3000
130.371094 88.028 162.2578
130.737305 88.019 162.2027
131.103516 88.009 162.1328
131.469727 87.997 162.0536
131.835938 87.983 161.9756
132.202148 87.966 161.9093
132.568359 87.950 161.8591
132.934570 87.935 161.8210
133.300781 87.923 161.7839
133.666992 87.912 161.7371
134.033203 87.900 161.6769
134.399414 87.887 161.6102
134.765625 87.871 161.5499
135.131836 87.855 161.5070
135.498047 87.839 161.4821
135.864258 87.826 161.4659
136.230469 87.815 161.4450
136.596680 87.805 161.4124
136.962891 87.795 161.3703
137.329102 87.784 161.3261
137.695312 87.773 161.2843
138.061523 87.763 161.2420
138.427734 87.753 161.1928
138.793945 87.743 161.1341
139.160156 87.731 161.0710
139.526367 87.718 161.0125
139.892578 87.704 160.9626
140.258789 87.692 160.9161
140.625000 87.680 160.8633
140.991211 87.668 160.8003
141.357422 87.653 160.7350
141.723633 87.636 160.6823
142.089844 87.620 160.6513
142.456055 87.606 160.6359
142.822266 87.596 160.6177
143.188477 87.588 160.5798
143.554688 87.578 160.5204
143.920898 87.566 160.4544
144.287109 87.551 160.4014
144.653320 87.536 160.3707
145.019531 87.523 160.3546
145.385742 87.513 160.3360
145.751953 87.504 160.3037
146.118164 87.494 160.2605
146.484375 87.482 160.2200
146.850586 87.469 160.1935
147.216797 87.458 160.1802
147.583008 87.450 160.1671
147.949219 87.443 160.1399
148.315430 87.436 160.0940
