* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -25.2 dBFS, measurement signal peak level -25.1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 18/02/2024 2:31:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0776 ms (-27 mm, -1.05 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: Trio 0010 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 35.469 132.3286
1.015000 35.551 131.4002
1.030000 35.636 130.4858
1.044000 35.718 129.6471
1.060000 35.816 128.7087
1.075000 35.911 127.8512
1.090000 36.010 127.0177
1.106000 36.120 126.1565
1.120000 36.220 125.4191
1.138000 36.355 124.4895
1.150000 36.448 123.8805
1.172000 36.626 122.7842
1.180000 36.692 122.3915
1.206000 36.915 121.1348
1.220000 37.039 120.4691
1.241000 37.231 119.4824
1.250000 37.314 119.0633
1.265000 37.456 118.3690
1.280000 37.600 117.6791
1.315000 37.943 116.0803
1.320000 37.993 115.8526
1.340000 38.195 114.9418
1.360000 38.399 114.0294
1.380000 38.605 113.1128
1.400000 38.812 112.1895
1.430000 39.124 110.7868
1.450000 39.332 109.8359
1.475000 39.593 108.6260
1.500000 39.860 107.3958
1.525000 40.134 106.1496
1.550000 40.413 104.8911
1.575000 40.697 103.6241
1.600000 40.986 102.3521
1.625000 41.277 101.0790
1.650000 41.571 99.8084
1.675000 41.866 98.5439
1.700000 42.162 97.2893
1.725000 42.457 96.0482
1.750000 42.751 94.8244
1.775000 43.043 93.6216
1.800000 43.331 92.4433
1.825000 43.616 91.2933
1.850000 43.897 90.1722
1.875000 44.179 89.0732
1.900000 44.461 87.9944
1.925000 44.744 86.9342
1.950000 45.026 85.8907
1.975000 45.307 84.8623
2.000000 45.587 83.8473
2.030000 45.921 82.6446
2.060000 46.253 81.4557
2.090000 46.581 80.2778
2.120000 46.906 79.1079
2.140000 47.120 78.3309
2.180000 47.542 76.7803
2.200000 47.749 76.0048
2.240000 48.158 74.4611
2.270000 48.460 73.3128
2.300000 48.760 72.1731
2.330000 49.055 71.0426
2.360000 49.348 69.9217
2.400000 49.732 68.4430
2.430000 50.016 67.3464
2.470000 50.388 65.9017
2.500000 50.664 64.8320
2.540000 51.024 63.4249
2.580000 51.379 62.0405
2.620000 51.725 60.6760
2.650000 51.980 59.6655
2.690000 52.315 58.3356
2.720000 52.561 57.3515
2.760000 52.884 56.0573
2.800000 53.201 54.7842
2.850000 53.590 53.2228
2.900000 53.971 51.6955
2.950000 54.344 50.2037
3.000000 54.707 48.7524
3.040000 54.991 47.6189
3.070000 55.200 46.7833
3.110000 55.474 45.6870
3.150000 55.744 44.6088
3.200000 56.074 43.2836
3.250000 56.399 41.9792
3.300000 56.719 40.6915
3.350000 57.032 39.4228
3.400000 57.338 38.1769
3.450000 57.637 36.9540
3.500000 57.931 35.7544
3.550000 58.219 34.5782
3.600000 58.503 33.4257
3.650000 58.783 32.2970
3.700000 59.059 31.1957
3.750000 59.330 30.1269
3.820000 59.702 28.6753
3.870000 59.962 27.6629
3.950000 60.371 26.0702
4.000000 60.622 25.0830
4.060000 60.919 23.9008
4.120000 61.212 22.7323
4.180000 61.498 21.5789
4.250000 61.827 20.2509
4.310000 62.103 19.1267
4.370000 62.374 18.0144
4.440000 62.685 16.7323
4.500000 62.946 15.6501
4.550000 63.160 14.7584
4.620000 63.454 13.5227
4.680000 63.700 12.4726
4.750000 63.981 11.2544
4.820000 64.255 10.0405
4.870000 64.447 9.1771
4.940000 64.709 7.9767
5.000000 64.928 6.9583
5.080000 65.213 5.6205
5.150000 65.455 4.4724
5.220000 65.690 3.3400
5.300000 65.950 2.0655
5.380000 66.202 0.8170
5.450000 66.417 -0.2502
5.520000 66.627 -1.2911
5.600000 66.859 -2.4529
5.700000 67.138 -3.8627
5.800000 67.409 -5.2214
5.900000 67.674 -6.5242
6.000000 67.930 -7.7693
6.080000 68.130 -8.7280
6.150000 68.303 -9.5428
6.220000 68.474 -10.3379
6.300000 68.669 -11.2177
6.400000 68.908 -12.2715
6.500000 69.145 -13.2912
6.600000 69.380 -14.2947
6.700000 69.615 -15.2759
6.800000 69.849 -16.2334
6.900000 70.080 -17.1832
7.000000 70.309 -18.1387
7.100000 70.537 -19.0909
7.200000 70.762 -20.0426
7.300000 70.983 -21.0011
7.400000 71.200 -21.9720
7.500000 71.412 -22.9523
7.620000 71.661 -24.1336
7.750000 71.920 -25.4132
7.880000 72.168 -26.7000
8.000000 72.388 -27.8788
8.120000 72.599 -29.0352
8.250000 72.817 -30.2722
8.380000 73.025 -31.4785
8.500000 73.211 -32.5526
8.620000 73.390 -33.5940
8.750000 73.577 -34.6840
8.850000 73.720 -35.4928
9.000000 73.927 -36.6567
9.120000 74.091 -37.5564
9.250000 74.267 -38.5049
9.380000 74.442 -39.4223
9.500000 74.601 -40.2559
9.620000 74.761 -41.0830
9.750000 74.932 -41.9667
9.880000 75.101 -42.8472
10.000000 75.254 -43.6623
10.150000 75.443 -44.6790
10.300000 75.627 -45.6911
10.440000 75.793 -46.6345
10.600000 75.978 -47.7000
10.750000 76.145 -48.6797
10.900000 76.306 -49.6415
11.060000 76.474 -50.6352
11.200000 76.617 -51.4779
11.380000 76.797 -52.5273
11.500000 76.916 -53.2030
11.720000 77.133 -54.4067
11.800000 77.212 -54.8365
12.060000 77.467 -56.2071
12.200000 77.604 -56.9434
12.410000 77.807 -58.0449
12.500000 77.892 -58.5191
12.650000 78.032 -59.3130
12.800000 78.169 -60.1048
13.150000 78.472 -61.9313
13.200000 78.514 -62.1853
13.400000 78.675 -63.1844
13.600000 78.832 -64.1436
13.800000 78.985 -65.0558
14.000000 79.138 -65.9314
14.300000 79.368 -67.1886
14.500000 79.524 -68.0156
14.750000 79.719 -69.0696
15.000000 79.913 -70.1612
15.250000 80.097 -71.3035
15.500000 80.267 -72.4705
15.750000 80.422 -73.6399
16.000000 80.559 -74.7663
16.250000 80.685 -75.8131
16.500000 80.803 -76.7693
16.750000 80.921 -77.6283
17.000000 81.045 -78.4284
17.250000 81.176 -79.2007
17.500000 81.315 -79.9868
17.750000 81.456 -80.8246
18.000000 81.594 -81.7155
18.250000 81.725 -82.6595
18.500000 81.845 -83.6201
18.750000 81.954 -84.5687
19.000000 82.053 -85.4785
19.250000 82.149 -86.3256
19.500000 82.245 -87.1183
19.750000 82.344 -87.8647
20.000000 82.450 -88.5968
20.299999 82.582 -89.4898
20.600000 82.717 -90.4213
20.900000 82.847 -91.3938
21.200001 82.968 -92.3813
21.400000 83.043 -93.0232
21.799999 83.184 -94.2331
22.000000 83.254 -94.7927
22.400000 83.397 -95.8364
22.700001 83.511 -96.5960
23.000000 83.627 -97.3798
23.299999 83.738 -98.1995
23.600000 83.840 -99.0354
24.000000 83.958 -100.1147
24.299999 84.036 -100.8512
24.700001 84.139 -101.7268
25.000000 84.221 -102.3463
25.400000 84.337 -103.2062
25.799999 84.447 -104.1576
26.200001 84.540 -105.1598
26.500000 84.599 -105.8923
26.900000 84.674 -106.8158
27.200001 84.735 -107.5013
27.600000 84.822 -108.4869
28.000000 84.903 -109.6011
28.500000 84.977 -111.0534
29.000000 85.040 -112.3476
29.500000 85.135 -113.5412
30.000000 85.259 -114.9685
30.400000 85.334 -116.3155
30.700001 85.361 -117.2877
31.100000 85.378 -118.2411
31.500000 85.432 -118.7302
32.000000 85.636 -119.2218
32.500000 85.934 -120.5875
33.000000 86.126 -123.0939
33.500000 86.082 -125.6566
34.000000 85.871 -126.7549
34.500000 85.740 -126.0886
35.000000 85.852 -124.8882
35.500000 86.117 -124.6029
36.000000 86.335 -125.3804
36.500000 86.435 -126.3925
37.000000 86.484 -127.0131
37.500000 86.559 -127.3943
38.200001 86.699 -128.2785
38.700001 86.765 -129.1852
39.500000 86.813 -130.4923
40.000000 86.850 -131.2088
40.599998 86.905 -132.1381
41.200001 86.953 -133.1239
41.799999 87.001 -134.0686
42.500000 87.068 -135.1486
43.099998 87.125 -136.1074
43.700001 87.172 -137.0341
44.400002 87.222 -137.9944
45.000000 87.271 -138.7545
45.500000 87.314 -139.4039
46.200001 87.362 -140.3377
46.799999 87.394 -141.1018
47.500000 87.431 -141.9683
48.200001 87.465 -142.9050
48.700001 87.476 -143.5816
49.400002 87.486 -144.3999
50.000000 87.512 -145.0139
50.799999 87.573 -145.9790
51.500000 87.610 -146.9715
52.200001 87.628 -147.8796
53.000000 87.655 -148.7786
53.799999 87.688 -149.6889
54.500000 87.709 -150.4789
55.200001 87.727 -151.2260
56.000000 87.749 -152.0917
57.000000 87.763 -153.1976
58.000000 87.771 -154.2395
59.000000 87.783 -155.2751
60.000000 87.791 -156.2763
60.799999 87.803 -157.0232
61.500000 87.817 -157.6918
62.200001 87.826 -158.3744
63.000000 87.829 -159.1364
64.000000 87.819 -160.1190
65.000000 87.771 -160.9413
66.000000 87.751 -161.4356
67.000000 87.788 -162.1751
68.000000 87.802 -163.2553
69.000000 87.791 -164.3123
70.000000 87.773 -165.3031
71.000000 87.753 -166.1895
72.000000 87.740 -166.9855
73.000000 87.729 -167.7459
74.000000 87.716 -168.4957
75.000000 87.695 -169.2244
76.199997 87.669 -170.0572
77.500000 87.641 -171.0131
78.800003 87.603 -171.9508
80.000000 87.576 -172.7578
81.199997 87.550 -173.6048
82.500000 87.507 -174.4725
83.800003 87.464 -175.2433
85.000000 87.426 -175.9920
86.199997 87.379 -176.7762
87.500000 87.320 -177.5838
88.500000 87.278 -178.1336
90.000000 87.229 -178.9514
91.199997 87.183 -179.6489
92.500000 87.114 179.6149
93.800003 87.034 178.9529
95.000000 86.969 178.3707
96.199997 86.918 177.7231
97.500000 86.868 176.9383
98.800003 86.814 176.0742
100.000000 86.723 175.3442
101.500000 86.582 174.9919
103.000000 86.485 174.8389
104.400002 86.392 174.4713
106.000000 86.248 173.9672
107.500000 86.102 173.6561
109.000000 85.963 173.5757
110.599998 85.839 173.9038
112.000000 85.777 174.4962
113.800003 85.780 175.3303
115.000000 85.831 175.7264
117.199997 85.986 175.7121
118.000000 86.044 175.4504
120.599998 86.173 173.9625
122.000000 86.189 172.9969
124.099998 86.154 171.5889
125.000000 86.122 171.0342
126.500000 86.055 170.2046
128.000000 85.978 169.4788
131.500000 85.781 168.0461
132.000000 85.752 167.8632
134.000000 85.635 167.1773
136.000000 85.522 166.6176
138.000000 85.418 166.1238
140.000000 85.310 165.6790
143.000000 85.142 165.1112
145.000000 85.028 164.7903
147.500000 84.879 164.4694
150.000000 84.741 164.2075
152.500000 84.616 163.8413
155.000000 84.486 163.5100
157.500000 84.353 163.2821
160.000000 84.219 163.1057
162.500000 84.091 162.9442
165.000000 83.969 162.8191
167.500000 83.850 162.7321
170.000000 83.726 162.6692
172.500000 83.603 162.6453
175.000000 83.484 162.6553
177.500000 83.367 162.6865
180.000000 83.250 162.7430
182.500000 83.136 162.8322
185.000000 83.024 162.9494
187.500000 82.916 163.0862
190.000000 82.810 163.2347
192.500000 82.705 163.3896
195.000000 82.603 163.5554
197.500000 82.505 163.7463
200.000000 82.411 163.9705
203.000000 82.297 164.2696
206.000000 82.180 164.6049
209.000000 82.066 164.9607
212.000000 81.957 165.3307
214.000000 81.888 165.5884
218.000000 81.757 166.1561
220.000000 81.696 166.4731
224.000000 81.585 167.1582
227.000000 81.509 167.6834
230.000000 81.442 168.1841
233.000000 81.383 168.6673
236.000000 81.324 169.1228
240.000000 81.240 169.6787
243.000000 81.179 170.1079
247.000000 81.111 170.7099
250.000000 81.063 171.1727
254.000000 81.010 171.8016
258.000000 80.963 172.3469
262.000000 80.910 172.8097
265.000000 80.873 173.1476
269.000000 80.828 173.6207
272.000000 80.792 174.0178
276.000000 80.742 174.5636
280.000000 80.693 175.0874
285.000000 80.635 175.7504
290.000000 80.584 176.4515
295.000000 80.538 177.1244
300.000000 80.497 177.7782
