* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -26.9 dBFS, measurement signal peak level -26.8 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 18/02/2024 2:11:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0801 ms (-27 mm, -1.08 in) using estimated IR delay relative to Acoustic reference on SPEAKER R with no timing offset
* Measurement: Trio 1000 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 36.688 131.2080
1.015000 36.689 130.1236
1.030000 36.694 129.0515
1.044000 36.702 128.0642
1.060000 36.715 126.9549
1.075000 36.731 125.9361
1.090000 36.752 124.9407
1.106000 36.779 123.9051
1.120000 36.805 123.0070
1.138000 36.843 121.8589
1.150000 36.871 121.0976
1.172000 36.926 119.7105
1.180000 36.948 119.2088
1.206000 37.023 117.5883
1.220000 37.067 116.7220
1.241000 37.137 115.4308
1.250000 37.169 114.8805
1.265000 37.223 113.9672
1.280000 37.281 113.0590
1.315000 37.424 110.9590
1.320000 37.445 110.6611
1.340000 37.534 109.4754
1.360000 37.626 108.2983
1.380000 37.723 107.1298
1.400000 37.823 105.9700
1.430000 37.981 104.2462
1.450000 38.091 103.1076
1.475000 38.234 101.6946
1.500000 38.385 100.2794
1.525000 38.545 98.8626
1.550000 38.714 97.4485
1.575000 38.890 96.0414
1.600000 39.072 94.6459
1.625000 39.261 93.2662
1.650000 39.454 91.9068
1.675000 39.653 90.5720
1.700000 39.855 89.2661
1.725000 40.061 87.9936
1.750000 40.268 86.7589
1.775000 40.478 85.5662
1.800000 40.689 84.4200
1.825000 40.900 83.3247
1.850000 41.113 82.2839
1.875000 41.330 81.2954
1.900000 41.553 80.3551
1.925000 41.779 79.4588
1.950000 42.009 78.6022
1.975000 42.242 77.7810
2.000000 42.478 76.9911
2.030000 42.763 76.0784
2.060000 43.050 75.1972
2.090000 43.337 74.3403
2.120000 43.624 73.5002
2.140000 43.815 72.9459
2.180000 44.194 71.8413
2.200000 44.381 71.2869
2.240000 44.756 70.2078
2.270000 45.039 69.4329
2.300000 45.323 68.6838
2.330000 45.608 67.9574
2.360000 45.892 67.2503
2.400000 46.271 66.3319
2.430000 46.554 65.6572
2.470000 46.929 64.7700
2.500000 47.208 64.1097
2.540000 47.576 63.2300
2.580000 47.939 62.3467
2.620000 48.299 61.4784
2.650000 48.568 60.8389
2.690000 48.925 59.9995
2.720000 49.191 59.3782
2.760000 49.542 58.5585
2.800000 49.890 57.7460
2.850000 50.318 56.7359
2.900000 50.739 55.7267
2.950000 51.152 54.7143
3.000000 51.559 53.7111
3.040000 51.879 52.9154
3.070000 52.117 52.3215
3.110000 52.430 51.5320
3.150000 52.738 50.7435
3.200000 53.117 49.7564
3.250000 53.489 48.7644
3.300000 53.853 47.7639
3.350000 54.210 46.7518
3.400000 54.559 45.7308
3.450000 54.900 44.7052
3.500000 55.235 43.6794
3.550000 55.562 42.6576
3.600000 55.883 41.6442
3.650000 56.197 40.6437
3.700000 56.504 39.6572
3.750000 56.803 38.6792
3.820000 57.211 37.3232
3.870000 57.494 36.3634
3.950000 57.934 34.8418
4.000000 58.202 33.8988
4.060000 58.517 32.7738
4.120000 58.822 31.6518
4.180000 59.118 30.5368
4.250000 59.453 29.2512
4.310000 59.733 28.1679
4.370000 60.006 27.1070
4.440000 60.318 25.9015
4.500000 60.577 24.8915
4.550000 60.788 24.0648
4.620000 61.075 22.9292
4.680000 61.316 21.9744
4.750000 61.592 20.8807
4.820000 61.862 19.8084
4.870000 62.050 19.0567
4.940000 62.308 18.0241
5.000000 62.524 17.1569
5.080000 62.807 16.0257
5.150000 63.052 15.0593
5.220000 63.291 14.1184
5.300000 63.559 13.0716
5.380000 63.821 12.0501
5.450000 64.048 11.1725
5.520000 64.272 10.3071
5.600000 64.524 9.3396
5.700000 64.834 8.1594
5.800000 65.138 7.0029
5.900000 65.438 5.8623
6.000000 65.734 4.7438
6.080000 65.967 3.8630
6.150000 66.168 3.0995
6.220000 66.368 2.3405
6.300000 66.594 1.4798
6.400000 66.872 0.4169
6.500000 67.147 -0.6369
6.600000 67.418 -1.6872
6.700000 67.685 -2.7331
6.800000 67.948 -3.7735
6.900000 68.208 -4.8109
7.000000 68.463 -5.8475
7.100000 68.714 -6.8814
7.200000 68.962 -7.9137
7.300000 69.205 -8.9461
7.400000 69.443 -9.9802
7.500000 69.677 -11.0154
7.620000 69.952 -12.2562
7.750000 70.241 -13.5958
7.880000 70.522 -14.9343
8.000000 70.773 -16.1611
8.120000 71.016 -17.3732
8.250000 71.271 -18.6756
8.380000 71.516 -19.9546
8.500000 71.736 -21.1057
8.620000 71.948 -22.2335
8.750000 72.172 -23.4213
8.850000 72.340 -24.3056
9.000000 72.585 -25.5876
9.120000 72.777 -26.5778
9.250000 72.983 -27.6140
9.380000 73.186 -28.6115
9.500000 73.373 -29.5113
9.620000 73.559 -30.3945
9.750000 73.759 -31.3289
9.880000 73.959 -32.2590
10.000000 74.142 -33.1195
10.150000 74.369 -34.1930
10.300000 74.591 -35.2783
10.440000 74.794 -36.3051
10.600000 75.018 -37.4844
10.750000 75.220 -38.5952
10.900000 75.413 -39.7063
11.060000 75.608 -40.8646
11.200000 75.770 -41.8607
11.380000 75.969 -43.0890
11.500000 76.096 -43.8691
11.720000 76.321 -45.2216
11.800000 76.402 -45.6844
12.060000 76.662 -47.0975
12.200000 76.806 -47.8174
12.410000 77.023 -48.8542
12.500000 77.118 -49.3009
12.650000 77.279 -50.0401
12.800000 77.441 -50.7918
13.150000 77.816 -52.6420
13.200000 77.868 -52.9160
13.400000 78.072 -54.0429
13.600000 78.265 -55.1866
13.800000 78.447 -56.3406
14.000000 78.618 -57.4677
14.300000 78.857 -59.0891
14.500000 79.008 -60.1012
14.750000 79.195 -61.2998
15.000000 79.382 -62.4332
15.250000 79.571 -63.5361
15.500000 79.761 -64.6354
15.750000 79.949 -65.7445
16.000000 80.133 -66.8731
16.250000 80.309 -68.0063
16.500000 80.477 -69.1331
16.750000 80.636 -70.2353
17.000000 80.788 -71.3020
17.250000 80.936 -72.3332
17.500000 81.080 -73.3314
17.750000 81.223 -74.3110
18.000000 81.363 -75.2798
18.250000 81.500 -76.2463
18.500000 81.631 -77.2124
18.750000 81.757 -78.1722
19.000000 81.877 -79.1202
19.250000 81.991 -80.0435
19.500000 82.101 -80.9385
19.750000 82.208 -81.8029
20.000000 82.315 -82.6425
20.299999 82.445 -83.6363
20.600000 82.576 -84.6358
20.900000 82.706 -85.6597
21.200001 82.831 -86.7149
21.400000 82.911 -87.4275
21.799999 83.058 -88.8448
22.000000 83.128 -89.5343
22.400000 83.262 -90.8525
22.700001 83.363 -91.7963
23.000000 83.468 -92.7283
23.299999 83.573 -93.6746
23.600000 83.674 -94.6398
24.000000 83.795 -95.9276
24.299999 83.874 -96.8444
24.700001 83.971 -97.9402
25.000000 84.045 -98.6582
25.400000 84.156 -99.5242
25.799999 84.280 -100.3846
26.200001 84.408 -101.3109
26.500000 84.499 -102.0464
26.900000 84.607 -103.0422
27.200001 84.680 -103.7756
27.600000 84.772 -104.7367
28.000000 84.858 -105.7184
28.500000 84.944 -107.0040
29.000000 84.993 -108.2325
29.500000 85.021 -109.1888
30.000000 85.082 -109.8246
30.400000 85.186 -110.3044
30.700001 85.299 -110.8179
31.100000 85.469 -111.9068
31.500000 85.616 -113.5156
32.000000 85.695 -116.0035
32.500000 85.622 -118.3194
33.000000 85.456 -119.6371
33.500000 85.335 -119.7095
34.000000 85.391 -119.1598
34.500000 85.618 -119.0195
35.000000 85.892 -119.7986
35.500000 86.099 -121.2171
36.000000 86.221 -122.6687
36.500000 86.307 -123.8525
37.000000 86.394 -124.8746
37.500000 86.477 -125.9209
38.200001 86.547 -127.3585
38.700001 86.574 -128.1857
39.500000 86.639 -129.2617
40.000000 86.691 -129.9829
40.599998 86.746 -130.9333
41.200001 86.790 -131.8849
41.799999 86.832 -132.8264
42.500000 86.877 -133.9466
43.099998 86.909 -134.8852
43.700001 86.939 -135.7641
44.400002 86.980 -136.7363
45.000000 87.021 -137.5589
45.500000 87.056 -138.2528
46.200001 87.101 -139.2395
46.799999 87.133 -140.0720
47.500000 87.172 -141.0210
48.200001 87.209 -142.0318
48.700001 87.223 -142.7966
49.400002 87.220 -143.7722
50.000000 87.217 -144.4119
50.799999 87.255 -145.1761
51.500000 87.308 -146.0249
52.200001 87.343 -146.9823
53.000000 87.365 -147.9796
53.799999 87.391 -148.8810
54.500000 87.414 -149.6634
55.200001 87.433 -150.4326
56.000000 87.450 -151.2995
57.000000 87.461 -152.3689
58.000000 87.466 -153.3837
59.000000 87.474 -154.4106
60.000000 87.475 -155.4519
60.799999 87.476 -156.2497
61.500000 87.481 -156.9387
62.200001 87.486 -157.6418
63.000000 87.489 -158.4442
64.000000 87.487 -159.4014
65.000000 87.484 -160.3366
66.000000 87.471 -161.2424
67.000000 87.456 -162.0983
68.000000 87.438 -162.9555
69.000000 87.416 -163.8130
70.000000 87.388 -164.6538
71.000000 87.361 -165.4566
72.000000 87.339 -166.2476
73.000000 87.318 -167.0646
74.000000 87.291 -167.8658
75.000000 87.258 -168.6131
76.199997 87.213 -169.4199
77.500000 87.159 -170.2190
78.800003 87.092 -171.0082
80.000000 87.015 -171.7206
81.199997 86.927 -172.4303
82.500000 86.819 -173.0420
83.800003 86.746 -173.3740
85.000000 86.723 -173.5185
86.199997 86.753 -173.4839
87.500000 86.840 -173.5500
88.500000 86.897 -173.8270
90.000000 86.918 -174.3859
91.199997 86.905 -174.9702
92.500000 86.854 -175.9420
93.800003 86.786 -177.0367
95.000000 86.754 -178.1570
96.199997 86.752 -179.2810
97.500000 86.800 179.6367
98.800003 86.862 178.3691
100.000000 86.776 177.3171
101.500000 86.577 177.6988
103.000000 86.519 178.3798
104.400002 86.479 178.3455
106.000000 86.419 177.8535
107.500000 86.383 177.1947
109.000000 86.370 176.4082
110.599998 86.346 175.5776
112.000000 86.304 174.9399
113.800003 86.223 174.2037
115.000000 86.163 173.7188
117.199997 86.060 172.7889
118.000000 86.024 172.4662
120.599998 85.907 171.5848
122.000000 85.837 171.1743
124.099998 85.721 170.5807
125.000000 85.670 170.3239
126.500000 85.590 169.8956
128.000000 85.513 169.4886
131.500000 85.328 168.7258
132.000000 85.299 168.6358
134.000000 85.178 168.3710
136.000000 85.075 168.2126
138.000000 84.987 168.0497
140.000000 84.907 167.9046
143.000000 84.800 167.6818
145.000000 84.743 167.4804
147.500000 84.684 167.1406
150.000000 84.615 166.7033
152.500000 84.513 166.3199
155.000000 84.404 165.9911
157.500000 84.297 165.6321
160.000000 84.193 165.3081
162.500000 84.089 165.0536
165.000000 83.985 164.8398
167.500000 83.875 164.6255
170.000000 83.757 164.4506
172.500000 83.640 164.3362
175.000000 83.528 164.2689
177.500000 83.417 164.2291
180.000000 83.307 164.2109
182.500000 83.198 164.2107
185.000000 83.088 164.2399
187.500000 82.980 164.2946
190.000000 82.872 164.3792
192.500000 82.765 164.5154
195.000000 82.656 164.7072
197.500000 82.546 164.9807
200.000000 82.443 165.3652
203.000000 82.332 165.9372
206.000000 82.240 166.6343
209.000000 82.198 167.3125
212.000000 82.201 167.7830
214.000000 82.208 167.9536
218.000000 82.191 168.0125
220.000000 82.164 167.9669
224.000000 82.089 167.8712
227.000000 82.020 167.8694
230.000000 81.945 167.9499
233.000000 81.871 168.0939
236.000000 81.799 168.2717
240.000000 81.704 168.5312
243.000000 81.634 168.7434
247.000000 81.544 169.0288
250.000000 81.479 169.2758
254.000000 81.403 169.6691
258.000000 81.327 170.0661
262.000000 81.256 170.4419
265.000000 81.204 170.7225
269.000000 81.135 171.1187
272.000000 81.087 171.4251
276.000000 81.027 171.8323
280.000000 80.967 172.2292
285.000000 80.897 172.7227
290.000000 80.834 173.2278
295.000000 80.776 173.7352
300.000000 80.718 174.2340
