* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 16/07/2022 3:11:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Trio L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 61.238 -122.0554
1.015000 61.432 -123.5111
1.030000 61.626 -124.8730
1.044000 61.809 -126.0674
1.060000 62.019 -127.3487
1.075000 62.217 -128.4752
1.090000 62.415 -129.5358
1.106000 62.627 -130.6016
1.120000 62.812 -131.4846
1.138000 63.051 -132.5606
1.150000 63.210 -133.2458
1.172000 63.501 -134.4471
1.180000 63.607 -134.8696
1.206000 63.949 -136.2048
1.220000 64.132 -136.9083
1.241000 64.405 -137.9572
1.250000 64.521 -138.4080
1.265000 64.714 -139.1663
1.280000 64.905 -139.9386
1.315000 65.343 -141.8307
1.320000 65.405 -142.1147
1.340000 65.649 -143.2943
1.360000 65.890 -144.5388
1.380000 66.129 -145.8082
1.400000 66.365 -147.0959
1.430000 66.716 -149.0522
1.450000 66.948 -150.3668
1.475000 67.234 -152.0140
1.500000 67.517 -153.6578
1.525000 67.797 -155.2900
1.550000 68.072 -156.9022
1.575000 68.344 -158.4859
1.600000 68.612 -160.0328
1.625000 68.876 -161.5346
1.650000 69.135 -162.9828
1.675000 69.391 -164.3691
1.700000 69.642 -165.6882
1.725000 69.889 -166.9473
1.750000 70.132 -168.1532
1.775000 70.370 -169.3124
1.800000 70.605 -170.4314
1.825000 70.836 -171.5167
1.850000 71.063 -172.5748
1.875000 71.286 -173.6121
1.900000 71.506 -174.6351
1.925000 71.722 -175.6504
1.950000 71.935 -176.6644
1.975000 72.145 -177.6837
2.000000 72.351 -178.7146
2.030000 72.595 -179.9735
2.060000 72.833 178.7649
2.090000 73.066 177.5087
2.120000 73.293 176.2594
2.140000 73.442 175.4310
2.180000 73.733 173.7868
2.200000 73.876 172.9718
2.240000 74.155 171.3582
2.270000 74.359 170.1639
2.300000 74.559 168.9849
2.330000 74.756 167.8224
2.360000 74.949 166.6779
2.400000 75.199 165.1718
2.430000 75.381 164.0553
2.470000 75.617 162.5864
2.500000 75.789 161.5010
2.540000 76.012 160.0776
2.580000 76.229 158.6839
2.620000 76.440 157.3226
2.650000 76.594 156.3245
2.690000 76.796 155.0263
2.720000 76.944 154.0798
2.760000 77.134 152.8549
2.800000 77.318 151.6679
2.850000 77.540 150.2297
2.900000 77.753 148.8330
2.950000 77.960 147.4680
3.000000 78.161 146.1247
3.040000 78.318 145.0593
3.070000 78.433 144.2647
3.110000 78.582 143.2144
3.150000 78.726 142.1790
3.200000 78.900 140.9124
3.250000 79.069 139.6851
3.300000 79.235 138.5058
3.350000 79.399 137.3836
3.400000 79.560 136.3288
3.450000 79.717 135.3431
3.500000 79.869 134.4133
3.550000 80.018 133.5256
3.600000 80.166 132.6664
3.650000 80.313 131.8217
3.700000 80.459 130.9778
3.750000 80.606 130.1395
3.820000 80.808 128.9985
3.870000 80.952 128.2047
3.950000 81.180 126.9669
4.000000 81.322 126.2109
4.060000 81.493 125.3215
4.120000 81.665 124.4691
4.180000 81.837 123.6450
4.250000 82.036 122.6976
4.310000 82.205 121.8792
4.370000 82.371 121.0378
4.440000 82.563 120.0262
4.500000 82.727 119.1470
4.550000 82.861 118.4069
4.620000 83.046 117.3612
4.680000 83.198 116.4575
4.750000 83.368 115.3940
4.820000 83.534 114.3130
4.870000 83.648 113.5341
4.940000 83.801 112.4412
5.000000 83.925 111.5085
5.080000 84.079 110.2763
5.150000 84.203 109.1888
5.220000 84.318 108.1038
5.300000 84.438 106.8907
5.380000 84.546 105.7332
5.450000 84.630 104.7610
5.520000 84.703 103.8122
5.600000 84.777 102.7791
5.700000 84.859 101.6039
5.800000 84.931 100.5818
5.900000 84.988 99.6891
6.000000 85.043 98.9287
6.080000 85.092 98.4202
6.150000 85.135 98.0641
6.220000 85.179 97.7791
6.300000 85.234 97.5145
6.400000 85.319 97.2314
6.500000 85.423 97.0395
6.600000 85.542 96.9204
6.700000 85.675 96.7726
6.800000 85.827 96.5433
6.900000 85.997 96.2866
7.000000 86.175 95.9467
7.100000 86.351 95.4640
7.200000 86.534 94.8466
7.300000 86.714 94.1144
7.400000 86.878 93.2782
7.500000 87.026 92.3131
7.620000 87.184 91.0091
7.750000 87.316 89.5548
7.880000 87.402 88.0330
8.000000 87.445 86.6353
8.120000 87.450 85.4072
8.250000 87.409 84.1971
8.380000 87.338 83.2537
8.500000 87.253 82.7472
8.620000 87.145 82.5380
8.750000 87.048 82.6812
8.850000 86.990 83.1153
9.000000 86.934 84.1822
9.120000 86.958 85.1695
9.250000 87.059 86.4736
9.380000 87.226 87.7542
9.500000 87.443 88.6581
9.620000 87.723 89.4018
9.750000 88.053 89.8338
9.880000 88.398 89.7542
10.000000 88.730 89.3017
10.150000 89.109 88.2706
10.300000 89.455 86.6786
10.440000 89.729 84.8989
10.600000 89.973 82.5503
10.750000 90.137 80.1809
10.900000 90.235 77.8004
11.060000 90.272 75.2727
11.200000 90.256 73.2470
11.380000 90.171 70.8678
11.500000 90.093 69.5302
11.720000 89.905 67.5736
11.800000 89.840 67.0183
12.060000 89.634 65.8140
12.200000 89.558 65.3833
12.410000 89.492 64.9652
12.500000 89.483 64.7510
12.650000 89.496 64.3858
12.800000 89.525 63.8915
13.150000 89.620 62.0679
13.200000 89.629 61.7335
13.400000 89.650 60.2530
13.600000 89.622 58.7036
13.800000 89.549 57.1868
14.000000 89.429 55.8874
14.300000 89.206 54.6230
14.500000 89.063 54.3018
14.750000 88.933 54.5084
15.000000 88.913 55.1071
15.250000 89.015 55.7639
15.500000 89.230 56.1830
15.750000 89.528 56.0771
16.000000 89.855 55.3636
16.250000 90.182 54.1042
16.500000 90.483 52.3917
16.750000 90.745 50.3760
17.000000 90.966 48.1964
17.250000 91.146 45.9332
17.500000 91.290 43.6528
17.750000 91.399 41.4066
18.000000 91.476 39.2341
18.250000 91.521 37.1727
18.500000 91.539 35.2602
18.750000 91.531 33.5457
19.000000 91.507 32.0640
19.250000 91.474 30.8258
19.500000 91.441 29.8296
19.750000 91.417 29.0399
20.000000 91.407 28.3983
20.299999 91.414 27.7538
20.600000 91.437 27.1678
20.900000 91.468 26.5958
21.200001 91.499 26.0334
21.400000 91.515 25.6755
21.799999 91.542 25.0371
22.000000 91.553 24.7671
22.400000 91.577 24.3242
22.700001 91.601 24.0555
23.000000 91.632 23.8085
23.299999 91.673 23.5451
23.600000 91.721 23.2245
24.000000 91.788 22.6450
24.299999 91.831 22.0760
24.700001 91.864 21.1656
25.000000 91.862 20.4331
25.400000 91.827 19.5022
25.799999 91.762 18.7256
26.200001 91.685 18.1387
26.500000 91.625 17.8157
26.900000 91.546 17.5491
27.200001 91.492 17.4995
27.600000 91.446 17.6613
28.000000 91.457 17.9988
28.500000 91.579 18.2585
29.000000 91.770 17.7598
29.500000 91.920 16.3934
30.000000 91.955 14.7327
30.400000 91.919 13.6445
30.700001 91.886 13.0574
31.100000 91.868 12.4596
31.500000 91.886 11.7992
32.000000 91.914 10.6182
32.500000 91.885 9.2089
33.000000 91.793 8.0688
33.500000 91.701 7.4391
34.000000 91.668 7.0781
34.500000 91.693 6.6006
35.000000 91.730 5.8704
35.500000 91.747 5.0300
36.000000 91.747 4.2567
36.500000 91.743 3.5924
37.000000 91.739 2.9928
37.500000 91.728 2.4504
38.200001 91.695 1.9089
38.700001 91.675 1.7461
39.500000 91.698 1.6940
40.000000 91.751 1.5300
40.599998 91.821 0.9764
41.200001 91.856 0.0906
41.799999 91.839 -0.8873
42.500000 91.777 -1.8944
43.099998 91.715 -2.6016
43.700001 91.665 -3.1954
44.400002 91.640 -3.8674
45.000000 91.641 -4.6124
45.500000 91.633 -5.3902
46.200001 91.574 -6.4735
46.799999 91.496 -7.1115
47.500000 91.422 -7.4869
48.200001 91.386 -7.7141
48.700001 91.377 -7.8950
49.400002 91.371 -8.2777
50.000000 91.347 -8.7426
50.799999 91.264 -9.2516
51.500000 91.197 -9.4138
52.200001 91.170 -9.7217
53.000000 91.097 -10.4599
53.799999 90.956 -10.7438
54.500000 90.911 -10.5176
55.200001 90.960 -10.6697
56.000000 90.993 -11.5015
57.000000 90.966 -12.3662
58.000000 90.993 -13.1270
59.000000 91.003 -14.3329
60.000000 90.913 -15.5166
60.799999 90.789 -15.8552
61.500000 90.735 -15.6895
62.200001 90.759 -15.7558
63.000000 90.753 -16.4998
64.000000 90.586 -17.0837
65.000000 90.483 -16.6726
66.000000 90.480 -16.8454
67.000000 90.387 -17.3803
68.000000 90.272 -17.4024
69.000000 90.231 -17.3416
70.000000 90.247 -17.6682
71.000000 90.248 -18.5845
72.000000 90.171 -19.5205
73.000000 90.097 -20.0006
74.000000 90.073 -20.4335
75.000000 90.061 -20.9481
76.199997 90.039 -21.6209
77.500000 89.979 -22.2563
78.800003 89.913 -22.6727
80.000000 89.861 -23.1323
81.199997 89.784 -23.7003
82.500000 89.688 -24.1810
83.800003 89.605 -24.6439
85.000000 89.527 -25.0945
86.199997 89.438 -25.5181
87.500000 89.325 -25.8260
88.500000 89.247 -25.8134
90.000000 89.218 -25.8231
91.199997 89.204 -26.2561
92.500000 89.154 -26.7645
93.800003 89.095 -27.1755
95.000000 89.045 -27.5183
96.199997 88.992 -27.9307
97.500000 88.913 -28.3119
98.800003 88.841 -28.5452
100.000000 88.775 -28.6893
101.500000 88.705 -28.6135
103.000000 88.664 -28.5983
104.400002 88.596 -28.7747
106.000000 88.491 -28.9438
107.500000 88.422 -29.3038
109.000000 88.346 -30.0030
110.599998 88.234 -30.4391
112.000000 88.195 -30.2339
113.800003 88.239 -30.3890
115.000000 88.200 -30.8126
117.199997 88.040 -31.2096
118.000000 87.994 -31.1846
120.599998 87.921 -31.0334
122.000000 87.901 -30.6119
124.099998 87.836 -30.2009
125.000000 87.781 -30.2346
126.500000 87.651 -30.9574
128.000000 87.486 -32.3670
131.500000 87.148 -35.0372
132.000000 87.138 -35.0036
134.000000 87.129 -34.2648
136.000000 87.090 -32.7302
138.000000 87.039 -31.7739
140.000000 86.959 -31.4248
143.000000 87.021 -31.5099
145.000000 87.019 -31.9084
147.500000 86.945 -32.0538
150.000000 86.872 -32.3071
152.500000 86.836 -32.7762
155.000000 86.772 -33.2401
157.500000 86.673 -33.5266
160.000000 86.578 -33.6874
162.500000 86.510 -33.8805
165.000000 86.447 -34.0965
167.500000 86.384 -34.2699
170.000000 86.314 -34.3326
172.500000 86.226 -34.2861
175.000000 86.141 -34.2716
177.500000 86.061 -34.3584
180.000000 86.003 -34.4435
182.500000 85.946 -34.5439
185.000000 85.879 -34.5771
187.500000 85.814 -34.6460
190.000000 85.745 -34.7519
192.500000 85.678 -34.7452
195.000000 85.617 -34.6656
197.500000 85.552 -34.6097
200.000000 85.484 -34.5759
203.000000 85.417 -34.5045
206.000000 85.363 -34.5444
209.000000 85.289 -34.7244
212.000000 85.218 -34.7496
214.000000 85.186 -34.6443
218.000000 85.134 -34.5327
220.000000 85.108 -34.6091
224.000000 85.059 -34.6395
227.000000 84.988 -34.3852
230.000000 84.880 -34.0899
233.000000 84.795 -33.9124
236.000000 84.748 -33.8775
240.000000 84.678 -33.8707
243.000000 84.620 -33.7275
247.000000 84.552 -33.4952
250.000000 84.502 -33.4679
254.000000 84.443 -33.4657
258.000000 84.389 -33.3145
262.000000 84.321 -33.2216
265.000000 84.272 -33.2263
269.000000 84.217 -33.1601
272.000000 84.185 -33.0181
276.000000 84.146 -32.7806
280.000000 84.097 -32.6174
285.000000 84.025 -32.5364
290.000000 83.969 -32.4865
295.000000 83.937 -32.2657
300.000000 83.923 -32.0013
304.000000 83.900 -31.8408
307.000000 83.869 -31.7289
311.000000 83.828 -31.5615
315.000000 83.793 -31.3690
320.000000 83.756 -31.2100
325.000000 83.729 -31.1187
