* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 16/07/2022 3:10:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Trio R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 53.075 -176.0685
1.015000 53.230 -174.9406
1.030000 53.417 -173.7921
1.044000 53.618 -172.6880
1.060000 53.878 -171.3961
1.075000 54.148 -170.1632
1.090000 54.441 -168.9169
1.106000 54.776 -167.5811
1.120000 55.085 -166.4134
1.138000 55.503 -164.9241
1.150000 55.791 -163.9443
1.172000 56.337 -162.1893
1.180000 56.539 -161.5681
1.206000 57.206 -159.6293
1.220000 57.568 -158.6460
1.241000 58.107 -157.2667
1.250000 58.336 -156.7151
1.265000 58.713 -155.8542
1.280000 59.081 -155.0728
1.315000 59.893 -153.5999
1.320000 60.002 -153.4335
1.340000 60.419 -152.8889
1.360000 60.807 -152.5508
1.380000 61.188 -152.4188
1.400000 61.563 -152.4745
1.430000 62.114 -152.8687
1.450000 62.473 -153.3110
1.475000 62.915 -154.0328
1.500000 63.347 -154.9077
1.525000 63.770 -155.8989
1.550000 64.184 -156.9695
1.575000 64.589 -158.0825
1.600000 64.985 -159.2012
1.625000 65.371 -160.2887
1.650000 65.750 -161.3080
1.675000 66.119 -162.2223
1.700000 66.478 -163.0399
1.725000 66.827 -163.8686
1.750000 67.164 -164.7139
1.775000 67.491 -165.5745
1.800000 67.809 -166.4491
1.825000 68.118 -167.3361
1.850000 68.419 -168.2342
1.875000 68.712 -169.1421
1.900000 68.998 -170.0582
1.925000 69.278 -170.9811
1.950000 69.553 -171.9096
1.975000 69.822 -172.8422
2.000000 70.088 -173.7773
2.030000 70.401 -174.9028
2.060000 70.705 -176.0458
2.090000 70.998 -177.2073
2.120000 71.281 -178.3834
2.140000 71.465 -179.1737
2.180000 71.822 179.2360
2.200000 71.995 178.4381
2.240000 72.332 176.8429
2.270000 72.578 175.6513
2.300000 72.818 174.4681
2.330000 73.053 173.2971
2.360000 73.284 172.1418
2.400000 73.582 170.6042
2.430000 73.797 169.4480
2.470000 74.074 167.9085
2.500000 74.274 166.7596
2.540000 74.532 165.2413
2.580000 74.782 163.7455
2.620000 75.023 162.2798
2.650000 75.200 161.2048
2.690000 75.430 159.8100
2.720000 75.598 158.7945
2.760000 75.813 157.4763
2.800000 76.020 156.1941
2.850000 76.268 154.6335
2.900000 76.504 153.1100
2.950000 76.732 151.6131
3.000000 76.952 150.1322
3.040000 77.123 148.9518
3.070000 77.248 148.0665
3.110000 77.408 146.8896
3.150000 77.562 145.7227
3.200000 77.747 144.2880
3.250000 77.926 142.8914
3.300000 78.099 141.5454
3.350000 78.267 140.2626
3.400000 78.432 139.0537
3.450000 78.590 137.9148
3.500000 78.742 136.8336
3.550000 78.889 135.7980
3.600000 79.032 134.7958
3.650000 79.173 133.8147
3.700000 79.312 132.8425
3.750000 79.450 131.8804
3.820000 79.636 130.5699
3.870000 79.765 129.6625
3.950000 79.969 128.2654
4.000000 80.096 127.4295
4.060000 80.248 126.4687
4.120000 80.398 125.5661
4.180000 80.547 124.7115
4.250000 80.719 123.7547
4.310000 80.865 122.9514
4.370000 81.011 122.1474
4.440000 81.182 121.2117
4.500000 81.328 120.4248
4.550000 81.449 119.7776
4.620000 81.617 118.8812
4.680000 81.760 118.1187
4.750000 81.925 117.2345
4.820000 82.089 116.3630
4.870000 82.206 115.7461
4.940000 82.367 114.8862
5.000000 82.503 114.1486
5.080000 82.681 113.1591
5.150000 82.833 112.2904
5.220000 82.983 111.4211
5.300000 83.151 110.4281
5.380000 83.313 109.4371
5.450000 83.450 108.5691
5.520000 83.584 107.6992
5.600000 83.732 106.7086
5.700000 83.909 105.4855
5.800000 84.077 104.2831
5.900000 84.237 103.0954
6.000000 84.389 101.9304
6.080000 84.505 101.0200
6.150000 84.602 100.2350
6.220000 84.695 99.4620
6.300000 84.798 98.5982
6.400000 84.921 97.5568
6.500000 85.039 96.5591
6.600000 85.150 95.6010
6.700000 85.258 94.6818
6.800000 85.365 93.8028
6.900000 85.467 92.9652
7.000000 85.569 92.1623
7.100000 85.671 91.3883
7.200000 85.773 90.6522
7.300000 85.876 89.9430
7.400000 85.980 89.2430
7.500000 86.086 88.5536
7.620000 86.216 87.7427
7.750000 86.357 86.8497
7.880000 86.502 85.9380
8.000000 86.635 85.0780
8.120000 86.765 84.1830
8.250000 86.904 83.1743
8.380000 87.037 82.1334
8.500000 87.151 81.1433
8.620000 87.258 80.1239
8.750000 87.364 79.0173
8.850000 87.438 78.1657
9.000000 87.535 76.8919
9.120000 87.604 75.9131
9.250000 87.667 74.8877
9.380000 87.722 73.9129
9.500000 87.769 73.0783
9.620000 87.811 72.3000
9.750000 87.856 71.5153
9.880000 87.904 70.7981
10.000000 87.949 70.1874
10.150000 88.013 69.4553
10.300000 88.086 68.7683
10.440000 88.159 68.1246
10.600000 88.250 67.3698
10.750000 88.340 66.6368
10.900000 88.428 65.8555
11.060000 88.522 64.9846
11.200000 88.597 64.1998
11.380000 88.685 63.1645
11.500000 88.738 62.4909
11.720000 88.822 61.2855
11.800000 88.851 60.8727
12.060000 88.937 59.6283
12.200000 88.987 59.0133
12.410000 89.066 58.1530
12.500000 89.104 57.7834
12.650000 89.171 57.1763
12.800000 89.241 56.5404
13.150000 89.406 54.8881
13.200000 89.428 54.6298
13.400000 89.504 53.5568
13.600000 89.557 52.4753
13.800000 89.588 51.4321
14.000000 89.596 50.5113
14.300000 89.591 49.4765
14.500000 89.592 49.0256
14.750000 89.622 48.7077
15.000000 89.702 48.4601
15.250000 89.825 48.0965
15.500000 89.976 47.4756
15.750000 90.127 46.4959
16.000000 90.243 45.2319
16.250000 90.312 43.8291
16.500000 90.329 42.4388
16.750000 90.304 41.2436
17.000000 90.262 40.3258
17.250000 90.225 39.6476
17.500000 90.209 39.1336
17.750000 90.222 38.6251
18.000000 90.247 38.0021
18.250000 90.268 37.2565
18.500000 90.270 36.4253
18.750000 90.240 35.6582
19.000000 90.194 35.1155
19.250000 90.152 34.8539
19.500000 90.141 34.8797
19.750000 90.193 35.0363
20.000000 90.312 35.0700
20.299999 90.518 34.6874
20.600000 90.742 33.6349
20.900000 90.921 31.9500
21.200001 91.011 29.9105
21.400000 91.014 28.5595
21.799999 90.916 26.3732
22.000000 90.842 25.6810
22.400000 90.718 25.0907
22.700001 90.703 25.0747
23.000000 90.765 25.0684
23.299999 90.882 24.8003
23.600000 91.010 24.1565
24.000000 91.138 22.8513
24.299999 91.182 21.7826
24.700001 91.185 20.5656
25.000000 91.171 19.9037
25.400000 91.166 19.2892
25.799999 91.192 18.7487
26.200001 91.233 18.0717
26.500000 91.256 17.4425
26.900000 91.256 16.5311
27.200001 91.231 15.8861
27.600000 91.176 15.2018
28.000000 91.119 14.7668
28.500000 91.082 14.4703
29.000000 91.102 14.1374
29.500000 91.155 13.4854
30.000000 91.190 12.4865
30.400000 91.184 11.6001
30.700001 91.161 10.9983
31.100000 91.123 10.3637
31.500000 91.099 9.8988
32.000000 91.106 9.3530
32.500000 91.137 8.6088
33.000000 91.147 7.6433
33.500000 91.113 6.6747
34.000000 91.046 5.9540
34.500000 90.982 5.5517
35.000000 90.949 5.3358
35.500000 90.956 5.1023
36.000000 90.986 4.6905
36.500000 91.017 4.0404
37.000000 91.028 3.2044
37.500000 91.010 2.3050
38.200001 90.948 1.1510
38.700001 90.897 0.4552
39.500000 90.827 -0.4839
40.000000 90.797 -0.9956
40.599998 90.779 -1.5902
41.200001 90.774 -2.2412
41.799999 90.767 -2.9553
42.500000 90.744 -3.7547
43.099998 90.721 -4.3657
43.700001 90.698 -4.9657
44.400002 90.657 -5.6603
45.000000 90.610 -6.1565
45.500000 90.577 -6.4862
46.200001 90.549 -6.9529
46.799999 90.531 -7.4526
47.500000 90.504 -8.0764
48.200001 90.481 -8.6808
48.700001 90.468 -9.1599
49.400002 90.433 -9.8592
50.000000 90.389 -10.2664
50.799999 90.379 -10.5150
51.500000 90.429 -10.9990
52.200001 90.443 -11.9369
53.000000 90.362 -12.8994
53.799999 90.263 -13.3396
54.500000 90.209 -13.6423
55.200001 90.155 -14.0580
56.000000 90.072 -14.4848
57.000000 89.981 -14.7875
58.000000 89.944 -15.1154
59.000000 89.925 -15.7692
60.000000 89.870 -16.5557
60.799999 89.812 -17.0279
61.500000 89.774 -17.3946
62.200001 89.734 -17.8386
63.000000 89.662 -18.2537
64.000000 89.607 -18.3250
65.000000 89.653 -18.8170
66.000000 89.617 -20.0140
67.000000 89.488 -20.6727
68.000000 89.409 -20.9327
69.000000 89.351 -21.2717
70.000000 89.298 -21.5777
71.000000 89.251 -21.9453
72.000000 89.199 -22.3630
73.000000 89.143 -22.7885
74.000000 89.090 -23.1766
75.000000 89.050 -23.6134
76.199997 88.995 -24.2450
77.500000 88.919 -24.9039
78.800003 88.824 -25.4802
80.000000 88.728 -25.8900
81.199997 88.634 -26.1323
82.500000 88.564 -26.3180
83.800003 88.506 -26.6602
85.000000 88.421 -26.9768
86.199997 88.314 -27.0684
87.500000 88.214 -26.8162
88.500000 88.209 -26.6765
90.000000 88.193 -27.4769
91.199997 88.111 -28.0896
92.500000 88.061 -28.6127
93.800003 88.023 -29.2312
95.000000 87.965 -29.7139
96.199997 87.890 -29.9597
97.500000 87.812 -30.0965
98.800003 87.737 -30.3586
100.000000 87.667 -30.8218
101.500000 87.574 -31.5745
103.000000 87.512 -32.1951
104.400002 87.516 -32.6607
106.000000 87.520 -33.3239
107.500000 87.433 -33.7691
109.000000 87.276 -33.7661
110.599998 87.118 -33.5762
112.000000 87.018 -33.7019
113.800003 86.917 -34.2899
115.000000 86.859 -34.7141
117.199997 86.712 -35.3199
118.000000 86.617 -35.3343
120.599998 86.232 -34.1059
122.000000 86.081 -32.9772
124.099998 86.008 -32.1257
125.000000 85.966 -32.3258
126.500000 85.792 -32.8401
128.000000 85.579 -32.9785
131.500000 85.632 -35.1205
132.000000 85.675 -35.8536
134.000000 85.784 -38.1554
136.000000 85.885 -37.6134
138.000000 86.054 -35.3965
140.000000 86.102 -33.8715
143.000000 85.908 -32.9708
145.000000 85.897 -33.0327
147.500000 85.938 -33.5834
150.000000 85.828 -34.3564
152.500000 85.618 -35.0249
155.000000 85.469 -35.5322
157.500000 85.400 -35.5784
160.000000 85.333 -35.7667
162.500000 85.257 -36.0394
165.000000 85.227 -36.3006
167.500000 85.162 -36.5652
170.000000 85.039 -36.6522
172.500000 84.944 -36.7054
175.000000 84.886 -36.8219
177.500000 84.827 -36.8695
180.000000 84.761 -36.9070
182.500000 84.690 -36.9313
185.000000 84.617 -36.8984
187.500000 84.538 -36.8872
190.000000 84.457 -36.8895
192.500000 84.388 -36.8893
195.000000 84.322 -36.8221
197.500000 84.264 -36.7253
200.000000 84.206 -36.7249
203.000000 84.139 -36.7355
206.000000 84.080 -36.7466
209.000000 84.011 -36.7547
212.000000 83.939 -36.7247
214.000000 83.896 -36.7011
218.000000 83.816 -36.6558
220.000000 83.778 -36.6417
224.000000 83.698 -36.6052
227.000000 83.630 -36.5269
230.000000 83.560 -36.4891
233.000000 83.495 -36.5358
236.000000 83.437 -36.4967
240.000000 83.382 -36.2351
243.000000 83.347 -36.0668
247.000000 83.275 -35.9853
250.000000 83.215 -36.0207
254.000000 83.170 -36.0353
258.000000 83.128 -35.9374
262.000000 83.057 -35.8697
265.000000 83.008 -35.7892
269.000000 82.951 -35.6259
272.000000 82.918 -35.5087
276.000000 82.885 -35.3125
280.000000 82.840 -35.0932
285.000000 82.774 -34.9370
290.000000 82.730 -34.9069
295.000000 82.698 -34.7860
300.000000 82.651 -34.5743
304.000000 82.621 -34.4345
307.000000 82.600 -34.4148
311.000000 82.563 -34.3788
315.000000 82.523 -34.2104
320.000000 82.485 -33.9517
325.000000 82.458 -33.8232
