* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -27.4 dBFS, measurement signal peak level -25.8 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 06/01/2024 4:10:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0425 ms (-15 mm, -0.57 in) using estimated IR delay relative to Acoustic reference on SPEAKER R with no timing offset
* Measurement: Turbo 0110 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 51.167 -107.4380
1.015000 51.419 -108.9527
1.030000 51.668 -110.4166
1.044000 51.897 -111.7321
1.060000 52.156 -113.1695
1.075000 52.394 -114.4470
1.090000 52.627 -115.6509
1.106000 52.870 -116.8485
1.120000 53.082 -117.8263
1.138000 53.352 -118.9948
1.150000 53.531 -119.7222
1.172000 53.857 -120.9586
1.180000 53.975 -121.3794
1.206000 54.356 -122.6534
1.220000 54.559 -123.2867
1.241000 54.861 -124.1785
1.250000 54.989 -124.5423
1.265000 55.203 -125.1280
1.280000 55.414 -125.6925
1.315000 55.902 -126.9546
1.320000 55.971 -127.1313
1.340000 56.246 -127.8368
1.360000 56.517 -128.5488
1.380000 56.785 -129.2792
1.400000 57.051 -130.0398
1.430000 57.443 -131.2634
1.450000 57.700 -132.1515
1.475000 58.018 -133.3575
1.500000 58.330 -134.6244
1.525000 58.637 -135.9322
1.550000 58.940 -137.2728
1.575000 59.238 -138.6381
1.600000 59.531 -140.0201
1.625000 59.820 -141.4105
1.650000 60.104 -142.8014
1.675000 60.384 -144.1846
1.700000 60.660 -145.5520
1.725000 60.932 -146.8956
1.750000 61.199 -148.2071
1.775000 61.463 -149.4786
1.800000 61.723 -150.7019
1.825000 61.980 -151.8690
1.850000 62.232 -152.9773
1.875000 62.480 -154.0390
1.900000 62.723 -155.0592
1.925000 62.962 -156.0427
1.950000 63.197 -156.9940
1.975000 63.427 -157.9180
2.000000 63.654 -158.8194
2.030000 63.921 -159.8776
2.060000 64.183 -160.9181
2.090000 64.440 -161.9489
2.120000 64.693 -162.9783
2.140000 64.859 -163.6677
2.180000 65.186 -165.0649
2.200000 65.347 -165.7774
2.240000 65.661 -167.2109
2.270000 65.891 -168.2842
2.300000 66.116 -169.3546
2.330000 66.336 -170.4203
2.360000 66.552 -171.4800
2.400000 66.832 -172.8810
2.430000 67.038 -173.9207
2.470000 67.306 -175.2898
2.500000 67.503 -176.3016
2.540000 67.762 -177.6279
2.580000 68.014 -178.9264
2.620000 68.260 179.7935
2.650000 68.439 178.8449
2.690000 68.672 177.5967
2.720000 68.842 176.6740
2.760000 69.064 175.4634
2.800000 69.281 174.2768
2.850000 69.544 172.8302
2.900000 69.801 171.4278
2.950000 70.052 170.0740
3.000000 70.294 168.7769
3.040000 70.481 167.7759
3.070000 70.618 167.0435
3.110000 70.797 166.0879
3.150000 70.972 165.1517
3.200000 71.185 164.0020
3.250000 71.394 162.8666
3.300000 71.599 161.7365
3.350000 71.798 160.6094
3.400000 71.991 159.4924
3.450000 72.179 158.3921
3.500000 72.361 157.3150
3.550000 72.540 156.2678
3.600000 72.716 155.2570
3.650000 72.889 154.2892
3.700000 73.060 153.3723
3.750000 73.227 152.5068
3.820000 73.455 151.3634
3.870000 73.614 150.5819
3.950000 73.864 149.3652
4.000000 74.019 148.6105
4.060000 74.202 147.6988
4.120000 74.383 146.7960
4.180000 74.561 145.9079
4.250000 74.766 144.8936
4.310000 74.939 144.0460
4.370000 75.111 143.2212
4.440000 75.310 142.2942
4.500000 75.478 141.5345
4.550000 75.617 140.9199
4.620000 75.810 140.0772
4.680000 75.973 139.3615
4.750000 76.160 138.5217
4.820000 76.346 137.6725
4.870000 76.476 137.0671
4.940000 76.657 136.2227
5.000000 76.810 135.5031
5.080000 77.010 134.5516
5.150000 77.182 133.7283
5.220000 77.350 132.9129
5.300000 77.538 131.9897
5.380000 77.721 131.0754
5.450000 77.878 130.2822
5.520000 78.031 129.4948
5.600000 78.202 128.5999
5.700000 78.408 127.4926
5.800000 78.607 126.4042
5.900000 78.800 125.3402
6.000000 78.985 124.2959
6.080000 79.128 123.4763
6.150000 79.251 122.7732
6.220000 79.372 122.0851
6.300000 79.506 121.3187
6.400000 79.670 120.3879
6.500000 79.829 119.4828
6.600000 79.985 118.5983
6.700000 80.138 117.7369
6.800000 80.289 116.8984
6.900000 80.436 116.0775
7.000000 80.582 115.2700
7.100000 80.726 114.4821
7.200000 80.868 113.7080
7.300000 81.008 112.9386
7.400000 81.146 112.1692
7.500000 81.282 111.4048
7.620000 81.441 110.4922
7.750000 81.608 109.5057
7.880000 81.770 108.5208
8.000000 81.914 107.6183
8.120000 82.053 106.7253
8.250000 82.196 105.7639
8.380000 82.333 104.8215
8.500000 82.453 103.9773
8.620000 82.568 103.1525
8.750000 82.688 102.2897
8.850000 82.778 101.6534
9.000000 82.907 100.7401
9.120000 83.009 100.0426
9.250000 83.119 99.3217
9.380000 83.229 98.6372
9.500000 83.330 98.0251
9.620000 83.434 97.4288
9.750000 83.548 96.8042
9.880000 83.663 96.1814
10.000000 83.772 95.6030
10.150000 83.909 94.8789
10.300000 84.047 94.1344
10.440000 84.176 93.4202
10.600000 84.321 92.5828
10.750000 84.454 91.7727
10.900000 84.583 90.9428
11.060000 84.715 90.0489
11.200000 84.825 89.2562
11.380000 84.961 88.2419
11.500000 85.047 87.5711
11.720000 85.197 86.3594
11.800000 85.250 85.9285
12.060000 85.414 84.5595
12.200000 85.499 83.8442
12.410000 85.624 82.7978
12.500000 85.676 82.3571
12.650000 85.763 81.6338
12.800000 85.847 80.9225
13.150000 86.038 79.3051
13.200000 86.064 79.0796
13.400000 86.168 78.1906
13.600000 86.269 77.3272
13.800000 86.368 76.4914
14.000000 86.466 75.6819
14.300000 86.610 74.5141
14.500000 86.707 73.7592
14.750000 86.827 72.8309
15.000000 86.946 71.9140
15.250000 87.062 71.0028
15.500000 87.174 70.1025
15.750000 87.282 69.2175
16.000000 87.385 68.3569
16.250000 87.485 67.5231
16.500000 87.582 66.7139
16.750000 87.678 65.9236
17.000000 87.773 65.1402
17.250000 87.864 64.3595
17.500000 87.952 63.5764
17.750000 88.035 62.7968
18.000000 88.112 62.0274
18.250000 88.183 61.2765
18.500000 88.250 60.5521
18.750000 88.315 59.8528
19.000000 88.378 59.1767
19.250000 88.440 58.5134
19.500000 88.502 57.8560
19.750000 88.563 57.1992
20.000000 88.622 56.5403
20.299999 88.691 55.7515
20.600000 88.757 54.9686
20.900000 88.822 54.1937
21.200001 88.887 53.4223
21.400000 88.931 52.9035
21.799999 89.017 51.8461
22.000000 89.058 51.3069
22.400000 89.134 50.2206
22.700001 89.184 49.4248
23.000000 89.231 48.6727
23.299999 89.278 47.9733
23.600000 89.329 47.3137
24.000000 89.408 46.4502
24.299999 89.470 45.7724
24.700001 89.546 44.8101
25.000000 89.591 44.0808
25.400000 89.629 43.1967
25.799999 89.658 42.5174
26.200001 89.701 42.0327
26.500000 89.752 41.7039
26.900000 89.838 41.1691
27.200001 89.900 40.6470
27.600000 89.960 39.8504
28.000000 89.989 39.1229
28.500000 90.027 38.4654
29.000000 90.113 37.7884
29.500000 90.215 36.6082
30.000000 90.238 35.0115
30.400000 90.185 33.9419
30.700001 90.138 33.4763
31.100000 90.138 33.1655
31.500000 90.240 32.6686
32.000000 90.409 30.9289
32.500000 90.416 28.1499
33.000000 90.170 26.0942
33.500000 89.871 26.2863
34.000000 89.890 28.0426
34.500000 90.284 28.8258
35.000000 90.715 27.1911
35.500000 90.871 24.1697
36.000000 90.744 21.9203
36.500000 90.548 21.4949
37.000000 90.513 22.1450
37.500000 90.643 22.4952
38.200001 90.815 21.7040
38.700001 90.830 20.9338
39.500000 90.781 20.3368
40.000000 90.759 20.1487
40.599998 90.738 19.9282
41.200001 90.731 19.7047
41.799999 90.748 19.3427
42.500000 90.775 18.6169
43.099998 90.791 17.8435
43.700001 90.810 16.9694
44.400002 90.821 15.7892
45.000000 90.801 14.8156
45.500000 90.776 14.1964
46.200001 90.768 13.5681
46.799999 90.785 13.0419
47.500000 90.802 12.3853
48.200001 90.808 11.8036
48.700001 90.812 11.4337
49.400002 90.816 10.9255
50.000000 90.816 10.5142
50.799999 90.825 9.9927
51.500000 90.845 9.4434
52.200001 90.864 8.7554
53.000000 90.870 7.8975
53.799999 90.867 7.0567
54.500000 90.860 6.3514
55.200001 90.849 5.6915
56.000000 90.834 5.0187
57.000000 90.821 4.2671
58.000000 90.811 3.5159
59.000000 90.794 2.7488
60.000000 90.769 2.0167
60.799999 90.752 1.4762
61.500000 90.743 1.0043
62.200001 90.734 0.5082
63.000000 90.719 -0.0626
64.000000 90.694 -0.7407
65.000000 90.660 -1.3824
66.000000 90.618 -1.9884
67.000000 90.571 -2.5846
68.000000 90.521 -3.1743
69.000000 90.474 -3.7862
70.000000 90.427 -4.4130
71.000000 90.381 -4.9806
72.000000 90.347 -5.4926
73.000000 90.324 -6.0197
74.000000 90.296 -6.5848
75.000000 90.251 -7.1154
76.199997 90.188 -7.5964
77.500000 90.134 -8.0365
78.800003 90.084 -8.5227
80.000000 90.033 -8.9409
81.199997 89.982 -9.2931
82.500000 89.933 -9.5537
83.800003 89.904 -9.7380
85.000000 89.903 -9.9614
86.199997 89.916 -10.3658
87.500000 89.921 -10.9650
88.500000 89.920 -11.4503
90.000000 89.912 -12.1967
91.199997 89.897 -12.7983
92.500000 89.867 -13.4296
93.800003 89.823 -14.0002
95.000000 89.784 -14.5254
96.199997 89.735 -15.1492
97.500000 89.663 -15.7871
98.800003 89.597 -16.3254
100.000000 89.546 -16.8070
101.500000 89.489 -17.4182
103.000000 89.427 -18.0305
104.400002 89.361 -18.5488
106.000000 89.279 -19.0654
107.500000 89.202 -19.5378
109.000000 89.114 -20.0068
110.599998 89.013 -20.4058
112.000000 88.928 -20.6760
113.800003 88.826 -20.9028
115.000000 88.766 -20.9664
117.199997 88.681 -20.9722
118.000000 88.655 -20.9614
120.599998 88.572 -20.8643
122.000000 88.530 -20.7668
124.099998 88.491 -20.5895
125.000000 88.492 -20.5419
126.500000 88.524 -20.5842
128.000000 88.586 -20.8505
131.500000 88.717 -22.3670
132.000000 88.723 -22.6454
134.000000 88.703 -23.7918
136.000000 88.620 -24.8850
138.000000 88.508 -25.7850
140.000000 88.398 -26.5249
143.000000 88.239 -27.4245
145.000000 88.139 -27.9374
147.500000 88.024 -28.5300
150.000000 87.909 -29.0938
152.500000 87.781 -29.5109
155.000000 87.656 -29.8711
157.500000 87.536 -30.2711
160.000000 87.421 -30.6561
162.500000 87.309 -30.9990
165.000000 87.197 -31.3092
167.500000 87.087 -31.5972
170.000000 86.980 -31.8699
172.500000 86.874 -32.1199
175.000000 86.769 -32.3547
177.500000 86.666 -32.5828
180.000000 86.564 -32.8051
182.500000 86.463 -33.0225
185.000000 86.361 -33.2377
187.500000 86.259 -33.4452
190.000000 86.155 -33.6363
192.500000 86.051 -33.8040
195.000000 85.948 -33.9520
197.500000 85.845 -34.0892
200.000000 85.742 -34.2190
203.000000 85.620 -34.3527
206.000000 85.499 -34.4679
209.000000 85.374 -34.5684
212.000000 85.250 -34.6454
214.000000 85.168 -34.6844
218.000000 85.007 -34.7419
220.000000 84.926 -34.7639
224.000000 84.765 -34.7838
227.000000 84.644 -34.7703
230.000000 84.523 -34.7399
233.000000 84.402 -34.6970
236.000000 84.279 -34.6334
240.000000 84.117 -34.5035
243.000000 83.993 -34.3771
247.000000 83.821 -34.1819
250.000000 83.692 -33.9972
254.000000 83.529 -33.6612
258.000000 83.364 -33.2388
262.000000 83.195 -32.7227
265.000000 83.072 -32.2327
269.000000 82.913 -31.4039
272.000000 82.801 -30.6249
276.000000 82.690 -29.3827
280.000000 82.654 -28.0243
285.000000 82.735 -26.5937
290.000000 82.891 -26.0731
295.000000 82.999 -26.5980
300.000000 82.989 -27.5569
304.000000 82.909 -28.2410
